building:ruian:type,ref:IČO,amenity,lon,contact:website,building:flats,uir_adr:ADRESA_KOD,addr:streetnumber,height,alt_name,social_facility:for,operator,addr:conscriptionnumber,addr:housenumber,ref:DIČ,building:levels,opening_hours,addr:housename,building:place,note,source,start_date,is_in,ref:ruian:building,email,website,description,emergency,building:colour,name:cs,phone,historic,official_name,old_name,lat,addr:street,building,ref:ruian:addr,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:city,internet_access:fee,healthcare,source:addr,addr:country,internet_access
,,clinic,15.4697994,,,,,,,,,703,703,,,,,,,cuzk:km,,,,,,,yes,,,+420 602 420 758,,,,50.7305413,,yes,27821846,Medical centrum,,51245,,Horní Rokytnice,Rokytnice nad Jizerou,,,,CZ,
,,clinic,18.1444542,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.4640643,,hospital,,Městská poliklinika,,,,,,,,,,
5,,clinic,12.7336135,,,,,,,,,,,,3,,,,,cuzk:ruian,,,20481462,,,,,,,,,,,50.3268539,,yes,,Městská poliklinika Nejdek,,,,,,,,,,
,,clinic,17.1224364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7667589,,,,Městská poliklinika Uničov,,,,,,,,,,
15,,clinic,14.4195543,,,,,,NÚDZ,mental_health,,,,,3,,,,,cuzk:ruian,2014-11-25,,79340105,,http://www.nudz.cz,,,#e3e5da,,,,,,50.1792856,,civic,,Národní ústav duševního zdraví,,,yes,,,,clinic,,,wlan
,,clinic,15.4821012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2844124,,,,POLIKLINIKA Třešť,,,,,,,clinic,,,
15,,clinic,12.7453488,,,,,,,,,,,,2,,,,,cuzk:ruian,,,20724594,,,,,,,,,,,50.2377789,,hospital,,Poliklinika,,,,,,,,,,
3,,clinic,15.3926546,,9,,,,,,,,,,5,,,,,cuzk:ruian,,,11554835,,,,,,,,,,,49.9132086,,residential,,Poliklinika,,,,,,,,,,
5,,clinic,15.3341240,,,,,,,,,,,,3,,,,,cuzk:ruian,,,16843304,,,,,,,,,,,50.6017510,,civic,,Poliklinika,,,,,,,,,,
5,,clinic,16.8792411,,,,,,,,,,,,2,,,,,cuzk:ruian,,,13851896,,,,,,,,,,,49.1563832,,civic,,Poliklinika,,,,,,,,,,
,,clinic,16.1501797,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.2095830,,yes,,Poliklinika,,,,,,,,,,
,,clinic,16.2207563,,,,,,,,,,,,,,,,,,,,,,http://www.poliklinika-ch.cz/,,,,,,,,,50.0038440,,,,Poliklinika,,,,,,,clinic,,,
15,,clinic,14.0929768,,,,,,,,,,,,4,,,,,cuzk:ruian,,,1407066,,,,,,,,,,,50.1437433,,civic,,Poliklinika,,,,,,,,,,
5,,clinic,15.9017124,,,,,,,,,,,,1,,,,,cuzk:ruian,,,5349559,,,,,,,,,,,49.7660044,,civic,,Poliklinika,,,,,,,,,,
3,,clinic,14.3613422,,1,,,,,,,158,158,,3,,,,,cuzk:ruian,,,5530024,,,,yes,,,,,,,49.4528053,Jeřábkova,residential,5563267,Poliklinika,,39901,,Milevsko,Milevsko,,,,CZ,
5,,clinic,16.0200246,,1,,,,,,,,,,1,,,,,cuzk:ruian,,,15069508,,,,,,,,,,,50.5099661,,civic,,Poliklinika,,,,,,,,,,
,,clinic,18.2126839,,,,,,,,,,,,,,,,,knowledge,,,,,,,,,,,,,,49.5459592,,,,Poliklinika,,,,,,,clinic,,,
15,,clinic,15.9212094,,1,,,10,,,,,,,3,,,town,,cuzk:ruian,,,7233833,,,,,,,,,,,50.3531203,,civic,,Poliklinika,gabled,,,,,,,,,
,,clinic,17.0766260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7025833,,,,Poliklinika,,,,,,,,,,
5,,clinic,17.3874847,,,,,,,,,,,,6,,,,,cuzk:ruian,,,10321667,,,,,,,,,,,49.2972338,,civic,,Poliklinika,,,,,,,,,,
7,,clinic,14.6705579,,,,,,,,,,,,,,,,,cuzk:ruian,,,19579926,,,,,,,,,,,49.4109719,,house,,Poliklinika,,,,,,,,,,
15,,clinic,14.6703584,,,,,,,,,,,,,,,,,cuzk:ruian,,,47448067,,,,,,,,,,,49.4108592,,civic,,Poliklinika,,,,,,,,,,
15,,clinic,17.9988215,,,,,,,,,,,,5,,,,,cuzk:ruian,,,23893257,,,,,,,,,,,49.3338323,,civic,,Poliklinika,,,,,,,clinic,,,
5,,clinic,15.4309813,,,,,,,,,,,,,,,,,cuzk:ruian,,,43033164,,,,,,,,,,,49.0766398,,civic,,Poliklinika,,,,,,,,,,
5,,clinic,15.4302117,,,,,,,,,,,,,,,,,cuzk:ruian,,,49490559,,,,,,,,,,,49.0763892,,civic,,Poliklinika,,,,,,,,,,
5,,clinic,15.4305503,,,,,,,,,,,,,,,,,cuzk:ruian,,,49490567,,,,,,,,,,,49.0762065,,civic,,Poliklinika,,,,,,,,,,
15,,clinic,17.0883265,,,,,,,,,,,,,,,,,cuzk:ruian,2002-01-01,,25098756,,,,,,,,,,,49.4754064,,civic,,"Poliklinika ""A""",,,,,,,clinic,,,
,,clinic,14.4375410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0810799,,,,Poliklinika AGEL,,,,,,,clinic,,,
,,clinic,15.0378110,,1,,,,,,,,,,1,,,,,cuzk:ruian,,,1227696,,,,no,,,,,,,50.1884634,,civic,,Poliklinika AGEL Nymburk,,,,,,,,,,
,,clinic,18.3053252,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.7964604,,public,,Poliklinika ArcellorMittal Ostrava,,,,,,,,,,
,,clinic,16.8817671,,,,,,,,,,,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,48.7514291,,,,Poliklinika Břeclav p.o.,,,,,,,,,,
5,,clinic,14.3577147,,1,,,,Poliklinika Petřiny,,,,,,,,,,,cuzk:ruian,,,22042105,,http://www.poliklinikadam.cz/,,,,,+420 233 018 211,,,,50.0900127,,civic,,Poliklinika DAM,,,,,,,,,,
,,clinic,16.5933020,,,,,,,,,,23,,,,,,,cuzk:km,,,,,http://www.polido.cz/,,,,,,,,,49.2193990,Dobrovského,yes,,Poliklinika Dobrovského,,61200,,,Brno,,clinic,,,
15,,clinic,17.5727035,,,,,,,,,,,,5,,,,,cuzk:ruian,,,10349871,,,,no,,,,,,,49.3310133,,civic,,Poliklinika Holešov,,,,,,,,,,
15,,clinic,15.1646210,,1,,,,,,,,,,5,,,,,cuzk:ruian,,,12100650,,,,,,,,,,,50.7251107,,civic,,Poliklinika II,,,,,,,,,,
5,,clinic,18.7634474,,,,,,,,Jablunkov,,,,3,,,,,cuzk:ruian,,,20373988,jablunkov.poli@volny.cz,,,,,,+420558358011,yes,,,49.5747018,,civic,,"Poliklinika Jablunkov, s.r.o.",,,,,,,,,,
15,,clinic,13.4455008,,,,,,,,,,,,5,,,,,cuzk:ruian,1980-01-01,,24533475,,,,,,,,,,,50.5021223,,civic,,Poliklinika Jirkov,,,,,,,,,,
5,,clinic,14.9254883,,2,,,,,,,,,,3,,,,,cuzk:ruian,,,15458466,,,,,,,,,,,50.4401150,,civic,,Poliklinika Kosmonosy,,,,,,,,,,
19,,clinic,14.0359315,,,,,,,,,,,,4,,,,,cuzk:ruian,2015-11-09,,80500897,,,,,,,,,,,49.9457106,,civic,,Poliklinika Králův Dvůr,,,,,,,,,,
3,,clinic,17.1250971,,,,,,,,,,740,,4,,,,,cuzk:ruian,,,13605518,,,,,,,,,,,49.0145819,třída Komenského,residential,,Poliklinika Kyjov,,,,,,,,,,
5,,clinic,14.5205333,,,,,,,,,,,,1,Mo-Fr 07:00-21:00,,,,cuzk:ruian,,,21832196,polymedicachodov@poliklinikapraha.cz,https://www.poliklinikapraha.cz/,,,,,+420 271 750 858,,,,50.0315752,,civic,,Poliklinika Michnova s.r.o.,,,,,,,,,,
,,clinic,14.3652078,,,,,,,,,,11,,5,,,,,cuzk:ruian,,,,,,,,,,,,,,50.0964576,Na Dlouhém lánu,yes,,Poliklinika Na Dlouhém lánu,,16000,,,Praha,,,,,
19,,clinic,15.0366557,,,,,,,,Nemocnice Nymburk,,,,1,,,,,cuzk:ruian,,,1212559,,,,,,,,,,,50.1859651,,civic,,Poliklinika Na Valech,,,,,,,,,,
15,,clinic,17.8928092,,,,,,,,,,1540/3,,,,,,,cuzk:ruian,,,23966521,,,,,,,,,,,49.9399002,náměstí Slezského odboje,civic,,Poliklinika Opava,,74601,,,Opava,,,,,
5,,clinic,14.4230319,,1,,,,,,,,,,5,,,,,cuzk:ruian,,,21653721,,http://www.poliklinika-palackeho.cz,komplexní rehabilitační péči pro ambulantní klienty,,,,+420 222 928 400,,,,50.0812864,,civic,,Poliklinika Palackého,,,,,,,clinic,,,
,,clinic,14.5716118,,1,,,,,,,,,,6,,,,,cuzk:ruian,,,22265911,,poliklinikaparnik.cz,,,,,,,,,50.1070608,,residential,,Poliklinika Parnik,,,,,,no,,,,wlan
3,,clinic,14.3665053,,1,,,,,,,,,,1,,,,,cuzk:ruian,,,22041486,,http://www.poliklinikamarjanka.cz/,,,,,+420 220 518 080,,,,50.0846513,,residential,,Poliklinika Pod Marjánkou,,,,,,,,,,
5,,clinic,14.3147947,,1,,,,,,,,,,5,"""different for each doctor, has no website, each doctor has own but a 3rd party catalog has pointers to all: see https://www.navstevalekare.cz/zdravotnicke-zarizeni/stredocesky-kraj-k309/praha-5-o581/stodulky-m11209/poliklinika-stodulky-zz494.html""",,,,cuzk:ruian,,,21995443,,,,,,,,,,,50.0458810,,civic,,Poliklinika Stodůlky,,,,,,,,,,
15,,clinic,12.6341185,,,,,,,,,,,,1,,,,,cuzk:ruian,,,15594131,,,,,,,,,,,49.7972138,,civic,,Poliklinika Tachov,,,,,,,,,,
,,clinic,16.6558530,,,,,,,,Poliklinika Viniční a.s.,,,,,,,,,,,,,,http://www.poliklinikavinicni.cz/,,,,,,,,,49.1985243,,,,Poliklinika Viniční,,,yes,,,,,,,
15,,clinic,14.4543515,,,,,,,,,,2,,4,,,,,cuzk:ruian,2000-10-03,,24817295,,,,,,,,,,,48.9889732,Fr. Ondříčka,civic,,Poliklinika Vltava,,37011,,,České Budějovice,,clinic,,,
,,clinic,15.8786825,,,,,,,,,,1289,,3,,,,,,,,,,,,,,,,,"Poliklinika Třebíč - Lékařský dům, spol. s r. o.",,49.2041979,Vltavínská,civic,,Poliklinika Vltavínská,,67401,yes,,Třebíč,,hospital,,,
,,clinic,16.2614898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5251242,,,,Poliklinika: Dětské oddělení,,,,,,,clinic,,,
5,,clinic,15.5662839,,1,,,,,,,,,,3,,,,,cuzk:ruian,,,7703295,,,,,,,,,,,50.0358099,,civic,,Přeloučská poliklinika,,,,,,,,,,
3,,clinic,16.6130209,,1,,,,,,,,,,1,,,,,cuzk:ruian,,,17975425,,,,,,,,,,,49.9114674,,residential,,Sdružení ambulantních lékařů spol. s r.o.,,,,,,,,,,
15,,clinic,18.1688303,,,,4a,,,,,6145,6145/4a,,1,,,,,cuzk:ruian,2004-04-01,,3282341,,https://www.silesiamedical.cz/,,,,,,,,,49.8338208,Havanská,civic,3307638,Silesia Medical,,70800,,Poruba,,,,,CZ,
15,,clinic,17.1200085,,1,,,,,,,,,,4,,,,,cuzk:ruian,,,24382531,,,,,,,,,,,49.4714077,,civic,,Stará poliklinika,,,,,,,,,,
5,,clinic,17.2442028,,1,,,,,,,,,,3,,,,,cuzk:ruian,,,22955437,,,,,,,,,,,49.5962159,,clinic,,Stomatologická klinika,,,,,,,,,,
,,clinic,16.6113910,,,,,,,,,,307/38,,,Mo-Fr 07:00-18:00,,,,cuzk:km,,,,,https://www.surgalclinic.cz,Surgal Clinic,,,,+420532149348,,,,49.2077810,Drobného,yes,,Surgal Clinic,,,,,,,yes,,,
,,clinic,13.4383314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4876367,,yes,,Zdravotni stredisko,,,,,,,,,,
,,clinic,14.4006059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0735430,,,,Zdravotnické zařízení Smíchov,,,,,,,,,,
15,,clinic,16.2413407,,5,,,,,,,196,196,,3,,,,,cuzk:ruian,,,7267096,,,,,,,,,,,50.6276713,Školní,civic,7313128,Zdravotní střediko,,54981,,Meziměstí,Meziměstí,,,,CZ,
15,,clinic,14.7594649,,,,,,,,,,,,1,,,,,cuzk:ruian,,,12947423,,,,,,,,,,,50.7662540,,civic,,Zdravotní středisko,,,,,,,,,,
15,,clinic,17.3343698,,,,,,,,,,,,2,,,,,cuzk:ruian,,,16193733,,,,,,,,,,,49.5514446,,civic,,Zdravotní středisko,,,,,,,,,,
,,clinic,14.8254149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1599071,,yes,,Zdravotní středisko,,,,,,,,,,
15,,clinic,18.0134846,,,,,,,,,,,,2,,,,,cuzk:ruian,,,4417674,,,,,,,,,,,49.9336698,,civic,,Zdravotní středisko,,,,,,,,,,
15,,clinic,18.5599286,,,,,,,,,,,,2,,,,MUDr. Kamila Burová Alena Sikorová Magdaléna Pilchová MUDr. Dorota Lacinová MUDr. Zdeňka Kobierská MUDr. Jitka Turečková MUDr. Lucie Serišová MUDr. Dagmar Voznicová,cuzk:ruian,,,23873132,,,,,,,,,,,49.8500818,,civic,,Zdravotní středisko,,,,,,,,,,
,,clinic,15.7377420,,,,,,,,,,,,2,,,,,cuzk:ruian,,,9449132,,,,,,,,,"Zdravotní středisko Přibyslav Salus, s.r.o.",,49.5769295,,civic,,Zdravotní středisko,,,,,,,,,,
15,,clinic,14.1259822,,,,,,,,,,,,1,,,,,cuzk:ruian,,,24583804,,,,,,,,,,,50.5375319,,civic,,Zdravotní středisko,,,,,,,,,,
5,,clinic,14.2467080,,,,,,,,,,65,,2,,Straškov,,,cuzk:ruian,,,16671350,,,,,,,,,,,50.3618710,,civic,,Zdravotní středisko,,41184,,Straškov,Straškov-Vodochody,,,,,
15,,clinic,13.4119045,,,,,,,,,4804,4804,,3,,,,,cuzk:ruian,,,23158328,,,,,,,,,,,50.4765722,Březenecká,civic,23528648,Zdravotní středisko Březenecká,,43004,,Chomutov,,,,,CZ,
5,,clinic,18.0419292,,2,,,,,,,,,,2,,,,,cuzk:ruian,,,17060265,,,,,,,,,,,49.4721393,,civic,,Zdravotní středisko Zašová,,,,,,,,,,
15,,clinic,14.4229735,,,,,,,,,,,,3,,,,,cuzk:ruian,,,21670293,,,,,,Dermatovenerologická klinika,,,,,50.0703133,,civic,,klinika adiktologie,,,,,,,clinic,,,
,,clinic,15.8237817,,,,,10.7,,,,,,,,,,town,,cuzk:km,,,,,,,,,,,,,,50.2099172,,yes,,poliklinika,flat,,,,,,,,,
,,clinic,16.4000798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9715514,,,,poliklinika Galen,,,,,,,clinic,,,
15,,clinic,16.3997317,,,,,,,,,,,,7,,,,,cuzk:ruian,,,24308790,,,,,,,,,,,49.9717317,,civic,,poliklinika Galen,,,,,,,clinic,,,
,,clinic,16.4004590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9716600,,,,poliklinika Galen,,,,,,,clinic,,,
,,clinic,16.4006140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9715790,,,,poliklinika Galen,,,,,,,clinic,,,
