health_facility:type,health_specialty:skin,amenity,health_specialty:general,payment:payconiq,office,healthcare:speciality,building:part,ref:bag,contact:website,roof:colour,addr:suburb,height,payment:cash,health_specialty:children_medicine,building:roof:shape,smoking,operator,source:geometry:lbltype,payment:debit_cards,addr:housenumber,note,payment:maestro,medical_system:western,lon,building:levels,opening_hours,health_specialty:family_medicine,contact:phone,addr:housename,ref:OnroerendErfgoed,heritage:website,name,access,source,old_name,name:fr,start_date,building:roof,source:geometry:ref,general_medicine,doctors:specialism,image,website,wheelchair,fax,name:nl,description,emergency,contact:email,building:material,health_specialty:neurology,home_visit,medical_system,specialty,source:date,phone,doctors,historic,source:geometry,building:roof:orientation,addr:province,building:use,lat,health_specialty:internal_medicine,OnroerendErfgoed:criteria,payment:visa,payment:BC,addr:street,building,ref:UrbIS,fixme,addr:city,roof:shape,url,addr:postcode,roof:material,addr:place,email,roof:orientation,source:geometry:date,health_person:type,healthcare,addr:country,heritage:operator
,,doctors,,,,,,,,,,,,,,,,,,134,,,,4.6846587,,,,,,,,Bart Hillewaere Huisarts,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,50.9050953,,,,,Bijlokstraat,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,85,,,,4.5591865,,,,,,,,Beirinckx - Verhelst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antwerpen,,51.1289981,,,,,Mechelsesteenweg,yes,,,Lier,,,2500,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,20,,,,5.5581005,,,,,,,,Bury Véronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6346614,,,,,Rue d'Omalius,yes,,,Liège,,,4000,,,,,,,physiotherapist,,
,,doctors,,,,,,,,,,,,,,,,,,16,,,,5.8133559,,,,,,,,Cabinet Médical du Perron,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,50.5354792,,,,,Place du Perron,yes,,,,,,,,,,,,,,,
,,doctors,,,,ophthalmology,,,,,,,,,,,,,,26,,,,4.6089060,,,,,,,,Cabinet d'Ophtalmologie,,,,,,,,,,,,,,,"Maladies et chirurgie des yeux - lentilles de contact. Docteur P. Stadion, Docteur L. Muenabantu, Docteur D. Huart, Docteur Fr. Sutto, Docteur H. El Ouardighi. Sur rendez-vous et sans rendez-vous.",,,,,,,,,+32 10 22 71 09,,,,,,,50.7129173,,,,,Quai des Tanneries,yes,,,Wavre,,,1300,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,56,,,,4.7804300,,,,,,,,Caroline De Boey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2637969,,,,,Beulk,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,49,,,,5.5260967,,,,,,,,Centre Kinesithérapie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5537742,,,,,Rue d'Harnoncourt,yes,,,Saint-Mard,,,6762,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,39,,,,5.2944369,,"Mo-Fr 08:30-11:00, 15:00-18:00",,,,,,Centre Médical de Aye,,,,,,,,,,,http://www.cmaye.be/,,,,,,,,,,,,,+32 84 32 22 01,,,,,,,50.2241648,,,,,Rue des Jolis Bois,yes,,,Aye,,,6900,,,info@cmaye.be,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,13,,,,4.2700410,,,,,,,,Centre Médical de Braine-le-Château,,,,,,,,,,,http://www.jolimont.be/hopitaux-et-polycliniques/centre-medical-de-braine-le-chateau,,,,,,,,,,,,,+32 2 366 04 48,,,,,,,50.6817609,,,,,Rue de la Station,yes,,,,,,,,,,,,,centre,,
,,doctors,,,,,,,,,,,,,,,,,,,,,,5.0851152,,,,,,,,Centre Médical de Hannut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6683609,,,,,,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,69,,,,5.7303568,,,,,,,,Centre Médicalisé de Bra sur Lienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3219895,,,,,Bierleux,house,,,,,,4990,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,,4.4159574,,,,,,,,Centre Médicis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8367009,,,,,,yes,8505810,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,4,,,,3.9277252,,,,,,,,Centre d'Ophtalmologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4582895,,,,,Avenue Nicolas Copernic,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,http://www.csic.be,,,,,,,,,,,1,,,,5.6593869,,,,+32 4 382 15 17,,,,Centre de Santé Intégrée des Carrières,,20cm-near PICC http://geoportail.wallonie.be 2019,,,,,,,,,,,,,,,accueil@csic.be,,,,,,,,,,,,,,50.5076931,,,,,Rue Vieille Voie de Liège,yes,,,Sprimont,,,4140,,,,,,,doctor,,
,,doctors,,,,,,,http://www.csic.be,,,,,,,,,,,88,,,,5.7179119,,,,+32 4 382 15 17,,,,Centre de Santé Intégrée des Carrières,,20cm-near PICC http://geoportail.wallonie.be 2019,,,,,,,,,,,,,,,accueil@csic.be,,,,,,,,,,,,,,50.5298099,,,,,Rue du Perréon,yes,,,Louveigné (Sprimont),,,4141,,,,,,,,,
,,doctors,,,,,,,http://www.csic.be,,,,,,,,,,,15,,,,5.6349426,,,,+32 4 382 15 17,,,,Centre de Santé Intégrée des Carrières,,20cm-near PICC http://geoportail.wallonie.be 2019,,,,,,,,,,,,,,,accueil@csic.be,,,,,,,,,,,,,,50.5372526,,,,,Rue Piretfontaine,yes,,,,,,4140,,,,,,,,,
,,doctors,,,,,,,http://www.csic.be,,,,,,,,,,,23,,,,5.6234637,,,,+32 4 382 15 17,,,,Centre de Santé Intégrée des Carrières,,20cm-near PICC http://geoportail.wallonie.be 2019,,,,,,,,,,,,,,,accueil@csic.be,,,,,,,,,,,,,,50.4950415,,,,,Rue de l'Abèvrêye,yes,,,Presseux (Sprimont),,,4140,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,44,,,,4.9272500,,,,,,,,"Centre de soins ( Ostéopathe, Pédicure )",customers,,,,,,,,,,,,,,,,,,,,,,,+32 81 21 03 30,,,,,,,50.4957375,,,,,Rue Arthur Mahaux,office,,,Boninne,,,5021,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,"Dr. J. Koller, Dr. P. Peeters",,,32,,,,3.7863117,,,,,,,,Centre médical ophtalmologique et pédiatrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6326599,,,,,Avenue des Sorbiers,house,,,Ath,,,7800,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,19,,,,5.3658633,,,,,,,,Centrum voor Klassieke Homeopathie,,,,,,,,,,,,,+32 11 73 48 65,,,,,,,,,,,+32 11 73 23 55,,,,,,,51.1274316,,,,,Twaalf septemberstraat,yes,,,Hechtel,,http://www.geukens.net/nederlands/praxis.php,3940,,,,,,,,BE,
,,doctors,,,,general,,,,,,,,,,,,,,66,,,,4.0845157,,"Mo-Fr 08:30-09:30,17:00-19:00; Tu,Th 17:00-19:00",,,,,,Christian Collys,,,,,,,,,,,,,,,,,,,,,,,,+3223956037,,,,,,,50.6908371,,,,,Rue de la Procession,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,164,,,,4.5718293,,,,,,,,De Brug,,,,,,,,,,,https://dehuisartsenpraktijk.be/,,,,,,,,,,,,,,,,,,,,51.3002028,,,,,Brugstraat,yes,,,,,,,,,,,,,,,
,,doctors,,,,psychiatry,,,,,,,,,,,,,,19,,,,3.1274816,,,,,,,,De Deur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9457415,,,,,Sint-Alfonsusstraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,general,,,,,,,,,,,,,,27,,,,5.3905610,,Mo-Fr 08:00-17:00,,,,,,De Oude school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8591140,,,,,Kerkplein,yes,,,Kortessem,,,3720,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,21,,,,3.6891187,,,,,,,,De Ruyck Dirk,,,,,,,Gbg/1412350,,,,,,,,,,,,,,,,,,,,GRB,,,,51.0858367,,,,,Mispelbilk,yes,,,Gent,,,9030,,,,,2007-06-04,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,14-14B,,,,5.3136283,,,,,,,,De Zorgpoort,,,,,,,,,,,http://www.dezorgpoort.be/,,,,,,,,,,,,,+32 11 55 02 30,,,,,,,51.2281727,,,,,Kerkplein,yes,,,Lommel,,,3920,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,25,,,,4.6443816,,,,,,,,De kruin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9458848,,,,,Kruineikestraat,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,,5.0489508,,,,,,,,Dermatologie Dr Bataille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6690719,,,,,,yes,,,,,,,,,,,,,,,
,,doctors,,,,dermatology,,,,,,,,,,,,,,442,,,,4.6705278,,,,,,,,Dermatologie@herent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9058304,,,,,Mechelsesteenweg,yes,,,,,,3020,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,1,,,,4.5072037,,,,,,,,Dimanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2610352,,,,,Rue Saint Remy,,,,Fraire,,,5650,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,11,,,,4.3094647,,,,,,,,Docteur Demolin A.,,,,,,,,,,,,,,,,,,,,,,,,+32 2 366 02 88,,,,,,,50.6898314,,,,,Rue Henri Gouvart,yes,,,,,,1440,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,13,,,,4.2736656,,,,,,,,Docteur Deridder J-A,,,,,,,,,,,,,,,,,,,,,,,,+32 2 366 19 18,,,,,,,50.6835211,,,,,Rue de Mont-Saint-Pont,house,,,,,,,,,,,,,,,
office,,doctors,,,physician,,,,,,,,,,,,,,,14,,,yes,4.4693320,,,,+3226331218,,,,Docteur F. Anthoine,,,,,,,,,,,,,,,,,,,,,western,,,,,,,,,,50.6868758,,,,,Rue Bois Paris,house,,,Lasne,,,1380,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,255,,,,4.9144447,,,,,,,,Docteur Françis Marchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5040188,,,,,Rue de Fernelmont,house,,,Champion,,,5020,,,,,,,,,
,,doctors,,,,general,,,,,,,,,,,,,,1,,,,5.0086202,,,,,,,,Docteur Manuel Motte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0988590,,,,,Rue de Snaye,detached,,,Pondrôme,,,5574,,,,,,,doctor,,
,,doctors,,,,general;cardiology,,,,,,,,,,,,,,,,,,3.9049019,,,,,,,,Docteur Nicolo Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4809969,,,,,,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,5,,,,5.7400132,,,,,,,,Docteur Pierre Masoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8331502,,,,,Route de Bastogne,yes,,,Martelange,,,6630,,,,,,,doctor,BE,
,,doctors,,,,,,,,,,,,,,,,,,33,,,,4.8920213,,,,,,,,Docteur Pierson Thierry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0990668,,,,,Quartier de la Brasserie,yes,,,Winenne,,,5570,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,24,,,,4.2733470,,,,,,,,Docteur Tamigniau L.,,,,,,,,,,,,,,,,,,,,,,,,+32 2 366 10 91,,,,,,,50.6808803,,,,,Rue de Nivelles,house,,,,,,,,,,,,,,,
,,doctors,,,,paediatrics,,,,,,,yes,,,,Docteur Valérie Blavier,,yes,24,,,,5.5826381,2,Mo-Fr 09:00-19:00,,,,,,Docteur Valérie Blavier (Pédiatre),,,,,,,,,,,,,,,,,,brick,,,,,,+32 487 255 866,,,,,,,50.5679456,,,,,Avenue Joseph Wauters,yes,,,Tilff (Esneux),,,4130,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,6B,,,,4.2937042,,,,,,,,Docteur Zygrajch S.,,,,,,,,,,,,,,,,,,,,,,,,+32 2 366 22 13,,,,,,,50.6848350,,,,,Rue Cour au Bois,house,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,,2.8519021,,,,,,,,Dokter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9530275,,,,,,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,29,,,,2.8557685,,,,,,,,Dokter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9542786,,,,,Stationsstraat,yes,,,Merkem,,,8650,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,65,,,,3.1491889,,,,,,,,Dokter Coussement,,,,,,,Gbg/2178973,,,,,,,,,,,,,,,,,,,,,,,,50.9315590,,,,,Hoogstraat,house,,,,,,,,,,,2010-06-15,,,,
,,doctors,,,,,,,,,,,,,,,,,,65,,,,4.5624405,,,,,,,,Dokter Ellen Peeters,,,,,,,,,,,https://ellenpeeters.be/,,,,,,,,,,,,,+31 4 68 49 15 48,,,,,,,51.2920409,,,,,Zandstraat,house,,,,,,,,,,,,,,,
,,doctors,,,,general,,,,,,,,,,,,,,31,,,,4.7567182,,,,,,,,Dokter Maurissen Chris,,,,,,,,,,,,,,,,,,,,,,,,+32 (0)14 51 61 77,,,,,,,51.1441476,,,,,Ristenstraat,yes,,,Herenthout,,,2270,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,73,,,,3.1339872,,,,,,,,Dokters aan de Mandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9561682,,,,,Mandellaan,yes,,,,,,,,,,,,,,,
,,doctors,,,,general;psychiatry;paediatrics;ophthalmology;gynaecology;emergency;surgery;cardiology;orthopaedics;dermatology,,,,,,,,,,,,,,7,,,,3.0442350,,Mo-Fr 08:00-19:00,,,,,,Dokterspraktijk De Nieuwstraat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0275915,,,,yes,Nieuwstraat,yes,,,Kortemark,,,8610,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,100,,,,5.3041381,,,,,Dokterspraktijk Johan Poncelet,,,Dokterspraktijk Johan Poncelet,,,,,,,,,,,,,,,,,,,,,,,,+32 11 31 67 10,,,,,,,50.9071820,,,,,Sint-Lambrechts-Herkstraat,yes,,,Hasselt,,,3500,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,11-13,,,,4.1365532,,,,,,,,Dokterspraktijk Smits Veerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0969733,,,,,Plezantstraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,203,,,,5.3067641,,,,,,,,Dorsimont Camille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5528962,,,,,Chaussée de Tongres,yes,,,Amay,,,4540,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,134,,,,5.6561610,3,,,,,,,Dr CERFONTAINE Michel,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,50.6677161,,,,,Rue des prés,yes,,,Wandre,,,4020,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,61,,,,3.3604639,,,,,,,,Dr Devos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8841370,,,,,Desselgem-Dries,house,,,Desselgem,,,8792,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,19,,,,4.7828843,,Mo-Sa 17:00-19:00,,,,,,Dr Dupuis,,,,,,,,,,,,,,,,,,,,,,,,+32 81 56 06 88,,,,,,,50.5343800,,,,,Place Albert Ier,house,,,Saint-Denis,,,5081,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,651,,,,5.6600497,,"Mo-Fr 08:00-10:00,16:00-18:00 open ""Consultations libres"" || Mo-Fr 10:00-12:00,14:00-16:00 open ""Sur rendez-vous""",,,,,,Dr Gilson Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6690358,,,,,Rue de Visé,yes,,,Liège,,,4020,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,13,,,,4.7799530,,,,,Dr J. Lambert,,,Dr J. Lambert,,,,,,,,,,,,,,,,,,,,,,,,+32 81 56 64 27,,,,,,,50.5360347,,,,,Rue de Beauffaux,house,,,Saint-Denis,,,5081,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,556,,,,4.3643633,,,,,Dr Libois,,,Dr Libois,,,,,,,,,,,,,,,,,,,,,,,,+32 71 51 72 53,,,,,,,50.3701236,,,,,Rue de Gozée,house,,,,,,,,,,,,,,,
,,doctors,,,,general,,,,,,,yes,,gabled,,,,,20,,yes,,5.5945299,2,Mo-Fr 08:00-10:00; Mo 17:00-19:00; We 17:00-19:00; Fr 17:00-19:00,,,,,,Dr Michelle Jammaer,,,,,,tiles,,,,,,yes,,,,,,brick,,,,,,,,,,aside,,,50.6411047,,,yes,,Rue du Ponçay,residential,,,Liège,,,4020,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,23,,,,4.7561120,,,,,,,,Dr P. Jossart,,,,,,,,,,,,,,,,,,,,,,,,+32 81 44 17 93,,,,,,,50.4167552,,,,,Rue de la Damejelle,house,,,Floreffe,,,5150,,,,,,,,BE,
,,doctors,,,,,,,,,,,,,,,,,,,,,,3.9192732,,,,,,,,Dr Pierre Bruwier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6429831,,,,,,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,,,,,5.5351681,,,,,,,,Dr Puissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4244453,,,,,,yes,,,,,,,,,,,,,,,
,,doctors,,,,general,,,,,,,,,,,,,,33,,,,4.9232406,,"Mo 08:00-09:30,17:00-19:00; Tu 17:00-19:00, We 08:00-09:30, Th-Fr 08:00-09:30,17:00-19:00",,,,,,Dr V. Baugnet,,,,,,,,,,,http://www.fr.docvadis.be/veronique-baugnet/index.html,,,,,,,,,,,,,+32 81 877726,,,,,,,50.6625588,,,,,rue Armand Guerlache,yes,,,Autre-Eglise,,,1367,,,,,,,doctor,,
,,doctors,,,,general,,,,,,,,,,,,,,11,,,,4.5478293,,,,,,,,Dr. Amandine Schellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0750430,,,,,Rue Bassidaine,yes,,,Nismes,,,5670,,,,,,,doctor,BE,
,,doctors,,,,,,,,,,,,,,,,,,35,,,,3.4177315,,,,,,,,Dr. Bart Du Chau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9943374,,,,,Sterrestraat,yes,,,,,,8700,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,51,,,,4.1547961,,,,,,,,Dr. Beysens B.,,,,,,,Gbg/2113172,,,,,,,,,,,,,,,,,,,,,,,,51.0653828,,,,,Burgemeester Lemmensstraat,yes,,,,,,,,,,,2010-06-17,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,3,,,,3.2075731,,"08:30-11:30,17:00-19:00",,,,,,Dr. Dingens,,,,,,,Gbg/3138208,,,,https://www.thuiszorgzakboekje.be/site/zoeken_detail.asp?id=5430,,+32 50 31 18 99,,,,,,,,,,,+32 50 31 01 77,,,,,,,51.2302673,,,,,Sint-Pieterskerklaan,residential,,,,,,,,,djeanpaul@hotmail.com,,2017-06-16,,,,
,,doctors,,,,,,,,,,,,,,,,,,4,,,,4.7598892,,,,,,,,Dr. Hendrickx - Dr- Govaerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3479412,,,,,Emiel van Roeystraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,yes,,,,,,,,,,,,,64B,,,,3.4602998,,,,,,,,Dr. Huyberechts Sabine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0495840,,,,,Lodorp,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,24,,,,4.8512604,,,,,,,,Dr. Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3596305,,,,,Molenzijde,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,163,,,,4.1421443,,,,,,,,Dr. K. Joostens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0934799,,,,,Loystraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,39,,,,3.0622555,,,,,,,,Dr. Karin Van Den Bulcke,,,,,,,,,,,,yes,,,,,,,,,,,,+32 51 24 48 25,,,,,,,50.9412163,,,,,Roeselarestraat,house,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,42,,,,4.6672360,,,,,,,,Dr. Koshraveshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0580766,,,,,Hoogstraat,yes,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,4,,,,4.4539277,,,,,,,,Dr. Kristel Van Craenenbroeck,,http://www.drvancraenenbroeck.be/home/info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9697179,,,,,Windmolenstraat,house,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,30,,,,4.6688827,,,,,,,,Dr. Mertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0587295,,,,,Jan De Cordesstr.,yes,,"This street contains abbreviations, please try to expand them.",,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,104-106,,,,4.1428273,,,,,,,,Dr. Naudts Stijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0939406,,,,,Loystraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,otolaryngology,,,,,,,,,,,,,,1,,,,3.2095163,,"""by appointment""",,,,,,Dr. Stephan Vlaminck,,,,,,,Gbg/3144882,,,,http://www.doktervlaminck.be,,,,,,,,,,,,,+32 50 31 41 94,,,,,,,51.2144006,,,,,Baron Joseph Ryelandtstraat,house,,,Brugge,,,8000,,,,,2011-08-12,,doctor,,
office,,doctors,yes,,physician,,,,,,,,,,,,Dr Van de Noortgate; Dr. Van Ghyseghem,,,217,,,yes,4.3944632,,,yes,,,,,Dr. Steven Van den Noortgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1835348,yes,,,,Kruishofstraat,yes,,,,,,,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,93,,,,4.4444186,,,,,,,,Eddy De Prins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1696374,,,,,Armand Segerslei,house,,,Mortsel,,,2640,,,,,,,doctor,BE,
