shop,roof:levels,amenity,drive_through,building:part,addr:housename,contact:website,roof:colour,indoor,addr:suburb,height,ref:UID,wikidata,alt_name,payment:notes,operator,payment:credit_cards,addr:housenumber,townhall:type,payment:american_express,payment:debit_cards,room,addr:district,area,building:levels,opening_hours,image,contact:phone,wikipedia,name,note,source,lon,roof:material,heritage,ref:ogdsteiermark,payment:coins,email,website,fax,at_bev:addr_date,contact:email,building:material,payment:cash,former:amenity,payment:visa,phone,former:name,old_name,lat,payment:maestro,payment:jcb,tourism,addr:street,building,building:colour,fixme,ref:FB,contact:fax,addr:city,payment:mastercard,roof:shape,addr:postcode,wheelchair,level,addr:place,payment:visa_electron,start_date,Leibnitz_lädt_ein,roof:orientation,payment:diners_club,dispensing,healthcare,toilets:wheelchair,addr:country
,,pharmacy,,,,,,,,,,,,,,,308,,,,,,,,,,,,Apotheke Thondorf Zum Heiligen Chirstophorus,,GeoImage.at High-Res,15.4714636,,,,,,,,,,,,,,+43 316 406033,,,47.0202613,,,,Liebenauer Hauptstraße,yes,,,,,Graz,,,8041,yes,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,1,,,,,,,,,,,,Apotheke Walding,,,14.1381034,,,,,,,,,,,,,,,,,48.3588197,,,,Rohrbacherstraße,yes,,,,,Walding,,,4112,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,23,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Apotheke Waldstern,vormals Laurentius,,16.1520626,,,,,office@apowaldstern.at,https://www.apowaldstern.at/,+43 2231 6764030,,,,,,,+43 2231 67640,,,48.2280414,,,,Hauptstraße,commercial,,,,,Gablitz,,,3003,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,15,,,,,,,,,,,,Apotheke Westendorf,,,12.2154370,,,,,,,,,,,,,,,,,47.4329543,,,,Dorfstraße,yes,,,,,Westendorf,,,6363,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,no,,Apotheke Wies,,,,,,,,,,,yes,31,,,yes,,,,,"Mo-Th 08:00-12:30, 14:30-18:30; Fr 08:00-12:30, 14:30-18:00; Sa 08:00-12:00; Su,PH off",,,,Apotheke Wies,,,15.2554127,,,,,,https://www.apowies.at/,,,,,yes,,,0043 3465 3611,,,46.7184003,,,,Altenmarkt,yes,,,,,Wies,,,8551,yes,,,,,,,,yes,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,31,,,,,,,,"Mo-Fr 08:00-18:00, Sa 08:00-12:00",,,,Apotheke Zu Maria Trost,,survey,15.4592916,,,,,,,,,,,,,,+43 316 323047,,,47.0896992,,,,Mariatroster Straße,yes,,,,,Graz,,,8043,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,Apotheke der Barmherzigen Brüder,,,,4,,,,,,,,,,,,Apotheke Zum Granatapfel,,GeoImage.at,15.4319372,,,,,,,,,,,,,,+43 316 713289,,,47.0712504,,,,Annenstraße,yes,,,,,Graz,,,8020,yes,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,8,,,,,,,,"Mo-Fr 08:00-12:00,14:30-18:00; Sa 08:00-12:00",,,,Apotheke Zum Heiligen Leopold,,,16.0799270,,,,,,http://www.apotheke-neunkirchen.at,,,,,,,,+43 2635 624410,,,47.7214569,,,,Holzplatz,yes,,,,,,,,2620,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,6,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Apotheke Zum Schutzengel,,,16.1776757,,,,,,http://www.apo-purkersdorf.at/,,,,,,,,,,,48.2067433,,,,Wiener Straße,commercial,,,,,Purkersdorf,,,3002,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,5,,,,,,,,"Mo-Fr 08:00-12:00,14:00-18:00;Sa 08:00-12:00",,+43 2672 82426,,Apotheke Zum heiligen Antonius,,,16.0949003,,,,,,,,,apotheke.pottenstein@aon.at,,,,,,,,47.9589342,,,,Hainfelder Straße,yes,,,,+43 2672 82426 5,Pottenstein,,,2563,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,34,,,,,,,,,,,,Apotheke Zum heiligen Florian,,geoimage.at,13.1000020,,,,,,,,,,,,,,,,,47.6980189,,,,Halleiner Landesstraße,yes,,,,,Oberalm,,,5411,no,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,Hofmühlapotheke,,Mag. parm. Johannes Jatschka,,3,,,,,,,,,,,,Apotheke Zur Hofmühle,,basemap.at,14.8147058,,,,,office@hofmuehlapo.at,http://www.hofmuehlapo.at,+437475523834,,,,,,,+43747552383,,,48.0764688,,,,Theresienthalstraße,yes,,,,,Hausmening,,,3363,no,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,4,,,,,,,,,,,,Apotheke Zur Mariahilf,,,16.0126588,,,,,,,,,,,,,,,,,48.2548700,,,,Hauptplatz,yes,,,,,,,,3443,,,,,,,,,yes,,,
,,pharmacy,,,,,,,,,,,,,,,2,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Apotheke am Grünanger,,GeoImage.at,15.4493451,,,,,,,,,,,,,,+43 316 472118,,,47.0444352,,,,Ziehrerstraße,yes,,,,,Graz,,,8041,yes,,,,,,,,yes,pharmacy,no,AT
,,pharmacy,,,,,,,,,,,,,,,1a,,,,,,,,"Mo-Fr 08:00-12:30, 14:30-18:00; Sa 08:00-12:00",,+43 7252 864 02,,Apotheke am Resthof,,,14.4213553,,,,,,http://www.apothekeamresthof.at/kontakt/,,,,,,,,,,,48.0600687,,,,Werner-von-Siemens-Straße,yes,,,,,,,,,yes,,,,,,,,yes,,,
,,pharmacy,,,,http://www.hatlerdorf-apotheke.at,,,,,,,,,,,25,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",,+43 5572 31809,,Apotheke im Hatlerdorf,,,9.7378010,,,,,,,,,info@hatlerdorf-apotheke.at,,,,,,,,47.4019076,,,,Hatlerstraße,yes,,,,+43 5572 31809 4,Dornbirn,,,6850,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,Mag. pharm. Dorit Waldbauer,,2,,,,,,,,"Mo-Th 08:00-12:30,14:30-18:00; Fr 08:00-18:00; Sa 08:00-12:00",,,,Apotheke im Sonnengarten,,,14.3446640,,,,,office@apotheke-im-sonnengarten.at,http://www.apotheke-im-sonnengarten.at,+43 7230 70959 11,,,,,,,+43 7230 70959,,,48.3743287,,,,Wagnerweg,office,,,,,Altenberg bei Linz,,,4203,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 07:30-12:00, 14:30-18:00, Sa 07:30-12:00",,,,Apotheke zum Auge Gottes,,local knowledge,15.7206893,,,,,,,,,,,,,,,,,48.4618557,,,,,yes,,,,,,,,,yes,,,,,,,,yes,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,33,,,,,,,,,,+43 316 40 65 50,,Apotheke zum Chiron,,GeoImage.at High Res,15.4949650,,,67,,,,,,,,,,,,,,47.0314989,,,,Josef-Krainer-Straße,yes,,,,,Raaba,,,8074,yes,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,Mag. pharm. Alfred Szczepanski,,1,,,,,,,,"Mo-Fr 8:00-13:00, 14:00-18:00, Sa 8:00-12:00",,,,Apotheke zum Mohren,,basemap.at,16.5036820,,,,,,apotheke-oberpullendorf.at,,2017-10-01,,,,,,+43 2612 42339,,,47.5027164,,,,Schloßplatz,yes,,,,,Oberpullendorf,,,7350,,,,,,,,,,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,7,,,,,,,,,,,,Apotheke zum guten Hirten,,,13.4901298,,,,,,,,2016-10-02,,,,,,,,,48.0676474,,,,Hauptstraße,yes,,,,,Frankenburg am Hausruck,,,4873,yes,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,Apotheke zum heiligen Geist,,,13.0745098,,,,,,,,,,,,,,,,,47.7901931,,,,,yes,,,,,,,,,,,,,,,,,,,,
,,pharmacy,,,,http://www.apothekepoellau.at/,,,,,,,Apotheke Pöllau,,,,128,,,,,,,,"Mo-Fr 08:00-12:30, 15:00-18:00; Sa 08:00-12:00",,+43 3335 23 15,,Apotheke zum schwarzen Adler,,"geoimage.at, survey",15.8350611,,,85,,,,,2019-04-01,office@apothekepoellau.at,,,,,,,,47.3027192,,,,Sparkassenplatz,yes,,,,,Pöllau,,,8225,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,15,,,,,,,,"Mo-Tu 08:00-12:00,14:30-18:00; We 08:00-12:00; Th-Fr 08:00-12:00,14:30-18:00; Sa 08:00-12:00",,,,Apotheke zum weißen Adler,,Bing,14.0009452,,,,,,http://www.apotheke-neufelden.at,+43 7282 626413,,,,,,,+43 7282 6264,,,48.4845626,,,,Markt,yes,,,,,Neufelden,,,4120,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,43,,,,,,,,,,,,Apotheke zur Gemse,,geoimage.at,13.1682243,,,,,,,,,,,,,,,,,47.5988322,,,,Markt,yes,,,,,Golling an der Salzach,,,5440,,,,,,,,,,,,AT
,,pharmacy,,,,http://www.apotheke-hinterbruehl.at,,,,,,,,,,,5,,,,,,,,"Mo-Fr 08:00-12:00, 15:00-18:00; Sa 08:00-12:00",,,,Apotheke zur Heiligen Dreifaltigkeit,,,16.2393473,,,,,,,,,,,,,,,,,48.0989590,,,,Perchtoldsdorfer Straße,yes,,,,,Gießhübl,,,2372,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,Bürgerhaus,,Mag. pharm. Gabriela Krb,,4,,,,,,,,,,,,Apotheke zur Mutter Gottes,,,15.7431371,,,,,,http://www.apotheke-traismauer.at/,,,,,,,,,,,48.3501613,,,,Hauptplatz,house,,,,,Traismauer,,,3133,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,1a,,,,,,,,,,,,Armonia Apotheke,,,16.3015080,,,,,,,,,,,,,,+43 (1) 4862414,,,48.2284488,,,,Vollbadgasse,yes,,,,,Wien,,,1170,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,7,,,,,,,,,,,,Arnika Apotheke,,Geoimage.at,13.0904342,,,,,,https://www.arnika.apo.or.at,,2018-04-02,,,,,,,,,47.7145478,,,,Halleiner Landesstraße,yes,,,,,Puch bei Hallein,,,5412,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,27a,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Atrium Apotheke,,,13.7682137,,,,,,https://www.atrium-apotheke.at/,,2017-10-01,,,,,,,,,48.0512843,,,,Salzburger Straße,yes,,,,,Schwanenstadt,,,4690,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,11,,,,,,,,,,,,Augustiner Apotheke,,,16.0722842,,,,,,,,,,,,,,+43 3382 52934,,,47.0562387,,,,Ledergasse,yes,,,,,Fürstenfeld,,,8280,,,,,,,,,yes,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,8,,,,,,yes,,Mo-Sa 08:00-18:00,,,,Auwald Apotheke,,,16.5116916,,,,,,https://www.apotheke-auwald.at/,,,,,,,,,,,48.2145695,,,,Esslinger Hauptstraße,yes,,,,,Wien,,,1220,,,,,,,,,yes,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachapotheke,,geoimage.at,16.2017281,,,,,,,,,,,,,,,,,47.2913268,,,,,yes,,,,,,,,,no,,,,,,,,,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,8,,,,,,,,"Mo-Sa 08:00-12:00, Mo-Fr 15:00-18:00",,+43 3852 23610,,Berg Apotheke,,,15.6754040,,,,,,,,2016-10-02,,,,,,,,,47.6073415,,,,Untere Berggasse,yes,,,,,Mürzzuschlag,,,8680,no,,,,,,,,,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,8,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Birken Apotheke,,,16.2847399,,,,,birkenapotheke@aon.at,http://www.birken-apotheke.at/,,,,,,,,+43 1 8885144,,,48.1464551,,,,Khemetergasse,yes,,,,,Wien,,,1230,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,13,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",,+43 5577 820210,,Braun Apotheke,,GeoImage.at,9.6596354,,,,,,,,,,,,,,,,,47.4280235,,,,Maria-Theresien-Straße,yes,,,,,Lustenau,,,6890,yes,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,73,,,,,,,,,,,,Bären Apotheke,,geoimage.at,14.3012755,,,,,,,,,,,,,,,,,46.6121744,,,,Rosentaler Straße,yes,,,,,Klagenfurt am Wörthersee,,,,,,,,,,,,,,,AT
,,pharmacy,,,,www.christopherus-apotheke.at,,,,,,,,,,,47,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",,+43 5572 208640,,Christopherus Apotheke,,,9.7309695,,,,,,,,,info@christopherus-apotheke.at,,,,,,,,47.4231017,,,,Rohrbach,yes,,,,+43 5572 208640 15,Dornbirn,,,6850,yes,,,,,,,,,,,AT
,,pharmacy,no,,,,,,,,,,,,,,13,,,,,,,,,,,,Die Apotheke,,,16.3698327,,,,,,https://www.dieapotheke.co.at/,,,,,,,,,,,47.8777176,,,,Hauptstraße,yes,,,,,Ebenfurth,,,2490,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,35,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Die Apotheke am Liesingbach,,,16.3829112,,,,,liesingbach@apothekenoberlaa.at,https://www.apothekeamliesingbach.at/,,,,,,,,+43 1 6884900,,,48.1410987,,,,Himberger Straße,yes,,,,,Wien,,,1100,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,153,,,,,,,,,,,,Die Blaue Apotheke,,,16.2726309,,,,,,http://www.blaueapotheke.at/,,,,,,,,,,,48.3088338,,,,Hauptstraße,yes,,,,,Klosterneuburg,,,3400,,,,,,,,,,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,Mag. pharm. Sabine Rieder e.U.,,22,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00; Su,PH off",,,,Die Ruster Apotheke,,,16.6722536,,,,,,,,2019-04-01,,,,,,,,,47.8034716,,,,Oggauerstraße,commercial,,,,,Rust,,,7071,yes,,,,,,,,yes,,,AT
,1,pharmacy,,,,http://www.donauapo.at,,,,,,,,,Mag. pharm. Harald Buchrucker,,15,,,,,,,2,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,+43 732 783484,,Donau-Apotheke,,,14.3041775,,,,,,,,,donau.apo@gmx.net,,,,,,,,48.3102295,,,,Holzstraße,house,,,,+43 732 783484-40,Linz,,,4020,,,,,,,,,yes,pharmacy,,
,,pharmacy,,,,http://www.apobrunn.com,,,,,,,,,,,98,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,+43 (2236) 31 24 45,,Drei Löwen Apotheke,,,16.2980970,,,,,,,,,,,,,,,,,48.1116864,,,,Wiener Straße,yes,,,,,Brunn am Gebirge,,,2345,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,4a,,,,,,,,,,,,Edelweiss Apotheke,,,13.4842159,,,,,,,,,,,,,,,,,48.0025873,,,,Hauptstraße,yes,,,,,Vöcklamarkt,,,4870,yes,,,,,,,,,,,AT
,,pharmacy,no,,,,,,,,,,,,Mag. pharm. Elisabeth Prokes,,16b,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Feld Apotheke,,,16.3579465,,,,,,http://www.feldapotheke.at/,,2018-04-02,,,,,,,,,48.0852092,,,,Siegfried Marcus-Straße,yes,,,,,Biedermannsdorf,,,2362,yes,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,28,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Flötzersteig Apotheke,,,16.2890077,,,,,,,,,,,,,,+43 (1) 9141497,,,48.2023293,,,,Staargasse,yes,,,,,Wien,,,1140,no,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,30,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Franziskus-Apotheke,,,16.4540399,,,,,,,,,,,,,,,,,48.1581356,,,,Thürnlhofstraße,,,,,,Wien,,,1110,yes,,,,,,,,yes,pharmacy,no,AT
,,pharmacy,,,,,,,,,,,,,,,36,,,,,,,,"Mo-Fr 08:00-18:00, Sa 08:00-13:00",,,,Fürnitz-Apotheke,,,13.8025261,,,,,,http://www.fuernitz-apotheke.at/,+43 4257 20700-20,2017-10-01,,,,,,+43 4257 20700,,,46.5613193,,,,Oberrainer Straße,yes,,,,,Fürnitz,,,9586,,,,,,,,,,,,AT
,,pharmacy,,,Georg-Apotheke,,,,,,,,,,,,49,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,+43 2236 24139,,Georg-Apotheke,,,16.2892475,,,,,,,,,office@georgapotheke.at,,,,,,,,48.0777307,,,,Badstraße,yes,,,,+43 2236 241394,Mödling,,,2340,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,9,,,,,,,,,,,,Gerlitzen Apotheke,,basemap.at,13.8817480,,,,,,,,2016-10-02,,,,,,,,,46.6564620,,,,Eichrainweg,yes,,,,,Treffen am Ossiacher See,,,9521,yes,,,,,,,,,,,AT
