beds:health_specialty:intensive_care_medicine,health_specialty:neurology,amenity,bicycle,health_specialty:clinical_pathology,opening_hours:emergency,health_specialty:intensive_care_medicine,health_specialty:gynaecology,health_specialty:emergency_medicine,health_specialty:paediatric_intensive_care_medicine,surface,lon,health_specialty:diabetology,email,wikidata,alt_name,operator,emergency:paediatric,opening_hours:surgery,health_specialty:medical_microbiology,addr:housenumber,health_specialty:cardiology,health_specialty:audiology,short_name,description:sv,health_specialty:cardiothoracic_surgery,health_specialty:family_medicine,contact:phone,wikipedia,health_specialty:ear_nose_throat,health_specialty:intensive,source,health_specialty:dermatology,segregated,health_specialty:anaesthesiology,start_date,healthcare:speciality,operator:type,addr:street,contact:website,highway,health_specialty:transfusion_medicine,website,fax,loc_name,description,emergency,brand,opening_hours,health_specialty:infectiology,health_specialty:neurosurgery,phone,health_specialty:orthopaedics,ownership,old_name,foot,name:sv,hospital,lat,health_specialty:haematology,name,building,name:fi,name:en,health_specialty:paediatrics,health_specialty:vascular_surgery,oneway:bicycle,health_specialty:endocrinology,addr:postcode,wheelchair,health_specialty:hepatology,health_specialty:general_surgery,addr:city,aeroway,health_specialty:surgery,healthcare,health_specialty:radiology,toilets:wheelchair,health_specialty:ophthalmology,health_specialty:oncology,addr:country,health_specialty:urology
,,hospital,,,,,,,,,17.3138881,,habilitering.sundsvall@rvn.se,,,Region Västernorrland,,,,30,,,,,,,,,,,https://www.rvn.se/sv/Om-regionen/regionens-organisation/specialistvarden/Habilitering/Habilitering-Sundsvall/,,,,,,,Kungsvägen,,,,https://www.rvn.se/sv/Om-regionen/regionens-organisation/specialistvarden/Habilitering/Habilitering-Sundsvall/,060-18 29 35,,Det finns en mottagning för barn med fyra barnteam och en mottagning för unga och vuxna med tre ungdomsteam och tre vuxenteam.,no,,,,,060-18 29 00,,,,,,,62.3996292,,Habiliteringsmottagning Sundsvall,,,,,,,,856 40,,,,Sundsvall,,,,,,,,,
,,hospital,,,,yes,,yes,,,12.2762308,,,,,,,,,,,,,,,yes,,,,,Bing,,,,,,,,,,,http://www.regionhalland.se/vard-halsa/hitta-din-vard/sjukhuset-i-varberg,,,,yes,,24/7,,,,yes,,,,,,57.0963362,,Hallands sjukhus Varberg,,,,yes,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,17.9302963,,,,,,,,,,,,,Rättspsykiatrisk klinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2146337,,Helix,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,12.7036352,,,,,,,,,,,,,,,yes,,,,,Bing,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,56.0446526,,Helsingborgs lasarett,,,,yes,yes,,,,yes,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,17.0966634,,,Q31898376,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,http://www.regiongavleborg.se/Halsa-vard-och-tandvard/Sjukhus/Sjukhuset-i-Hudiksvall/,,,,yes,,24/7,,,,yes,,,,,,61.7284921,,Hudiksvalls sjukhus,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,yes,,,13.7763263,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.skane.se/webbplatser/hassleholm/hassleholm_internet/,,,,yes,,Mo-Su 08:00-20:00,,,,yes,,,,,,56.1599371,,Hässleholms Sjukhus,,,,yes,,,,,yes,,,,,,,,yes,,,,
,,hospital,,,,yes,,yes,,,14.9693386,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,,,,,,,57.6654478,,Höglandssjukhuset Eksjö,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,14.7132043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rjl.se/hoglandssjukhuset,,,,,,24/7,,,,yes,,,,,,57.6542264,,Höglandssjukhuset Eksjö-Nässjö,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,11.9305844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6675791,,Högsbo sjukhus,hospital,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,17.8472524,,,Q10539306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakobsbergs sjukhus,,59.4229976,,Jakobsbergs sjukhus,,Jakobsbergin sairaala,,,,,,,,,,,,,,,,,,,
,,hospital,,,24/7,yes,,yes,,,23.1542119,,,Q18291116,,Norrbottens läns landsting,,Mo-Th 08:00-15:00; Fr 08:00-11:00,,,,,,,,yes,,sv:Kalix sjukhus,,,Bing,,,,,,,,,,,,,,,yes,,Mo-Su 06:00-20:00,,,,,,,,,,65.8542689,,Kalix sjukhus,,,,yes,,,,,,,,,,yes,,yes,,,,,
,,hospital,,,,yes,,yes,,,14.5034747,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.regionorebrolan.se/karlskoga/,,,,yes,,24/7,,,,yes,,,,,,59.3169402,,Karlskoga Lasarett,,,,yes,,,,,yes,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,yes,,18.0313548,,,Q1734280,,,yes,,,,,,,,yes,yes,,sv:Karolinska universitetssjukhuset,,,,,,,,,,,,,,https://www.karolinska.se/,,,,yes,,24/7,,yes,,yes,,,,Karolinska universitetssjukhuset,,59.3536241,,Karolinska universitetssjukhuset,,Karoliininen yliopistosairaala,Karolinska University Hospital,yes,yes,,,,,,,,,yes,hospital,,,,,,
,,hospital,,,,yes,,yes,,,17.9313539,,,,,Region Stockholm,yes,,,,,,,,,yes,,,,,,,,,,,public,,,,,https://www.karolinska.se/,,,,yes,,24/7,,,,yes,,,,Karolinska universitetssjukhuset Huddinge,,59.2248589,,Karolinska universitetssjukhuset Huddinge,,Huddingen karoliininen yliopistosairaala,,,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,16.2074635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0164861,,Karsuddens sjukhus,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,16.2047468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0177208,,Karsuddens sjukhus,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,13.3160174,,,,,,,,,,,,,,,,,,,,,,,,,emergency,,,,,,,,,,yes,,,,,,,,,,,,56.5209357,,Knäred Vårdcentral,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,yes,,yes,,,11.9700739,,,,,Västra Götalandsregionen,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.vgregion.se/sv/Kungalvs-sjukhus/Kungalvs-sjukhus1/,,,,yes,,24/7,,,,yes,,,,,,57.8791847,,Kungälvs sjukhus,,,,,,,,,,,,,,yes,hospital,,,,,,
,,hospital,,,,,,,,,12.8431768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8782693,,Landskrona lasarett,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,yes,,,13.1638935,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,Mo-Su 08:00-20:00,,,,,,,,,,55.3820195,,Lasarettet Trelleborg,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,no,,yes,,,15.0271397,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.regionostergotland.se/Halsa-och-vard/Vara-sjukhus/Lasarettet-i-Motala/,,,,yes,,,,,,yes,,,,,,58.5455429,,Lasarettet i Motala,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,13.8191683,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,,,,,,,55.4362111,,Lasarettet i Ystad,,,,,,,,,yes,,,,,yes,,,yes,,,,
,,hospital,,,,,,,,,18.1495998,,,,,,,,,2,,,,,,,,,,,,,,,,,,Högsätravägen,,,,,,,,,,,,,,,,,,,,59.3509691,,Lidingö Sjukhus,hospital,,Lidingö Hospital,,,,,,,,,Lidingö,,,,,,,,SE,
,,hospital,,,24/7,yes,,yes,,,18.6816453,,,,,,,Mo-Th 07:30-16:00; Fr 07:30-15:00,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.vll.se/default.aspx?id=25717&refid=1426,,,,yes,,Mo-Su 06:00-22:00,,,,yes,,,,,,64.5837282,,Lycksele lasarett,,,,yes,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,11.4398025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2802561,,Lysekils sjukhus,,,Lysekil's Hospital,,,,,,,,,,,,,,,,,,
,,hospital,,,24/7,yes,,yes,,,17.3034485,,,Q10571976,,,,24/7,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,Mo-Fr 07:30-16:00,,,,yes,,,,,,62.4059761,,Länssjukhuset Sundsvall-Härnösand,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,16.3345270,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,56.6579411,,Länssjukhuset i Kalmar,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,17.9054802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,59.5463619,,Löwenströmska sjukhuset,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,14.5841803,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.ltdalarna.se/Halso--och-sjukvard/Hitta-ratt-i-varden/Sjukhus/Mora-lasarett/,,,,yes,,24/7,,,,yes,,,,,,61.0173353,,Mora lasarett,yes,,,yes,,,,,yes,,,,,yes,,,yes,,,,
,,hospital,,,,yes,,,,,16.5349165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,59.3639683,,Mälarsjukhuset,,,,,yes,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,12.0092939,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.sahlgrenska.se/sjukhus/molndals-sjukhus/,,,,yes,,24/7,,,,yes,,,,,,57.6620168,,Mölndals Sjukhus,,,,,,,,,,,,,,no,,,,,,,
,,hospital,,,,,,,,,18.1988271,,,,,Aleris,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,yes,,,,,,yes,,,,,,59.3114132,,Nacka sjukhus,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,12.8596110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2370107,,Norra sjukhusområdet,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,12.2596930,,,,,,,,,,,,NÄL,,,yes,,,,,,,,,,,,,,,,https://www.nusjukvarden.se/sv/NU-sjukvarden/Hitta-varden/Nal/,,,,yes,,24/7,,,,,,,,,,58.3169157,,Norra Älvsborgs Länssjukhus,,,,yes,yes,,,,yes,,,,,yes,hospital,,yes,,,,
,,hospital,,,24/7,yes,,yes,,,20.3032206,,,Q2000141,,Västerbottens läns landsting,,24/7,,,,,NUS,,yes,yes,,,,,,,,,,,,,,,,http://www.vll.se/default.aspx?id=25719,,,,yes,,24/7,,yes,,yes,,,,Norrlands universitetssjukhus,,63.8155225,,Norrlands universitetssjukhus,,Norlannin yliopistollinen sairaala,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,18.6860666,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.7571271,,Norrtälje Sjukhus,,,,yes,,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,16.9963229,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,58.7585969,,Nyköpings lasarett,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,yes,,,16.4231328,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,57.2628360,,Oskarshamns Sjukhus,yes,,,,,,,,,,,,,additional,,,,,,,
,,hospital,,,24/7,yes,,,,,21.4927767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,65.3136389,,Piteå Älvdals Sjukhus,,,,,,,,,yes,,,,,,,yes,yes,,,,
,,hospital,,,,,,,,,11.1693155,,,,,Praktikertjänst Närsjukhus,,,,10-12,,,,,,,+46 10 167 39 00,,,,,,,,,,,Västra Hamngatan,https://www.narsjukhusvast.se/Start/Stromstad/,,,,,,,,Västra Götalandsregionen,,,,,,private,,,,,58.9411553,,Praktikertjänst Närsjukhus Strömstad,yes,,,,,,,452 37,,,,Strömstad,,,hospital,,,,,SE,
,,hospital,,,,,,,,,18.0631818,,,Q10657005,,,,,,,,,,,,,,sv:Rosenlunds sjukhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3114232,,Rosenlunds sjukhus,,Rosenlundin sairaala,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,18.7141001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7633105,,Roslagens Sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,16.6037722,,,,,,,,,,,,,,,,,,,,https://www.1177.se/Hitta-vard/Vastmanland/Kontakt/Landstinget-Vastmanland/,,,,,,,,,,,,,,,no,,,,,,,,,,,,59.9346278,,Rättspsykiatri Västmanland,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,17.2418457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,62.3929648,,Rättspsykiatriska regionkliniken i Sundsvall,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,11.9554892,,,Q3290496,,,,,,,,,,,yes,yes,+46-31-342 10 00,sv:Sahlgrenska Universitetssjukhuset,,yes,,,,,,,,,http://www.sahlgrenska.se/sv/SU/Sahlgrenska-Universitetssjukhuset/,,,,,,,yes,,24/7,,yes,,yes,,,,,,57.6830636,,Sahlgrenska Universitetssjukhuset,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,18.3057641,,,,,Carema Vård och Omsorg AB,,,,2,,,,,,,,,,,,,,,,,,Rösundavägen,,,,,,,,,,,,,,,,,,,,59.2739158,,Saltsjöbadens sjukhus,,,,,,,,133 36,,,,Saltsjöbaden,,,hospital,,,,,SE,
,,hospital,,,,,,,,,18.0389373,,,Q10659379,,,,,,,,,,,,,,sv:S:t Eriks ögonsjukhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt Eriks ögonsjukhus,,59.3347154,,Sankt Eriks ögonsjukhus,,Eerik Pyhän silmäsairaala,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,18.0244994,,,Q7401336,,,,,,,,,,,,yes,,sv:Sankt Görans Sjukhus,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.3336847,,Sankt Görans sjukhus,,Pyhän Yrjön sairaala,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,14.3378546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5527252,,Simrishamns Sjukhus,,,,,,,,,,,,,,,,,,,,,
6,,hospital,,,,yes,,yes,,,12.6133587,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.liv.se/Om-Landstinget-i-Varmland/Halsa-vard-och-patientinformation/Sjukhus-i-Varmland/Sjukhuset-i-Arvika/,,,,yes,,24/7,,,,yes,,,,,,59.6663965,,Sjukhuset Arvika,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,13.5550599,,,,,Västra Götalandsregionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Västra Götalandsregionen,,,,+46-515-87000,,,,,,,58.1916925,,Skaraborgs Sjukhus Falköping,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,yes,,yes,,,20.9460903,,,,,,,,,,,,,,,yes,,,,,Bing,,,,,,,,,,,https://www.vll.se/default.aspx?id=25725&refid=1931,,,,yes,,24/7,,,,yes,,,,,,64.7547546,,Skellefteå Lasarett,,,,yes,,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,12.9982011,,,Q781200,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,55.5920053,,Skånes Universitetsjukhus Malmö,,,,yes,yes,,,,yes,,,,,yes,,,,,,,
,,hospital,,,24/7,yes,,yes,,,17.2339234,,,Q7558331,,,,Mo-Th 07:00-17:00; Fr 07:00-14:00,,6,,,,,,yes,,,,,,,,,,,,Lassarettsgatan,,,,http://www.lvn.se/delplatser/Halsocentralerna/Halsocentraler/Solleftea/Solleftea/,,,,yes,,Mo-We 07:45-16:30; Th 09:00-16:30; Fr 08:00-16:30,,,,,,,,,,63.1762201,,Sollefteå sjukhus,,,,yes,,,,881 60,,,,Sollefteå,,yes,hospital,,,,,SE,
,,hospital,,,,,,,,,18.0762261,,,Q10673801,,,,,,,,,,,,,,sv:Sophiahemmet,,,,,,,,orthopaedics,,,,,,,,,,no,,,,,,,,,,,,59.3446770,,Sophiahemmet,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,18.0793182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3486208,,Sophiahemmet,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,18.0267361,,,Q10680638,,,,,,,,,,,,,,sv:Stockholms sjukhem,,,,,,,,,,,,,,https://www.stockholmssjukhem.se/,,,,,,,,,,,,,,,,59.3322001,,Stockholms sjukhem,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,18.1287109,,,,,,,,,41A,,,,,,,,,,,,,,,,,,Stortorpsvägen,,,,,,,,no,,,,,,,,,,,,59.2410914,,Stortorpskliniken,,,,,,,,,,,,,,,,,,,,SE,
,,hospital,,,24/7,yes,,yes,,,21.9215732,,,Q10683767,,,,24/7,,,,,,,,yes,,,,,,,,,,,,,,,,http://www.nll.se/sunderbysjukhus,,,,yes,,Mo-Su 06:00-22:00,,,,yes,,,,,,65.6720577,,Sunderby sjukhus,,,,yes,yes,,,,,,,,,yes,,yes,,,,,
