health_facility:type,healthcare:speciality,building:part,social_facility,payment:cash,housenumer,addr:housenumber,description,fenced,addr:state,ele,source,covered,image,fax,emergency,jastrzebiegis:opis,contact:facebook,leisure,historic,addr:street,fixme,name:en,contact:fax,name,designation,website:operator,addr:postcode,ref:nid,name:etymology:wikidata,internet_access,int_name,fence,ewmapa:warstwa,parking,loc_name,name:ru,building:fireproof,phone_1,note:official_name,wikipedia,access,mapillary,operator:centre,boundary,addr:street:sym_ul,ref,email,fixme2,barrier,contact:email,addr:province,jastrzebiegis:id,phone1,addr:city:simc,source:geometry,addr:city,building:use:pl,toilets:wheelchair,source_ref,building:type:pl,lon,contact:website,roof:colour,layer,height,email_1,alt_name,construction_date,operator,name:pl,name:de,boat,fee,protect_class,heritage:since,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,addr:province:en,phone,old_name,smoking,aeroway,dispensing,note:name,landuse,roof:levels,amenity,operator:type,reg_name,addr:suburb,official_name,wikidata,waterway,short_name,building:levels,note,building:usage:pl,data_zmiany,source:addr,building:material,addr:full,fence_type,lat,medical_system:western,building,building:colour,url,wheelchair,addr:place,healthcare,addr:country,heritage:operator
,,,,,,19,,,,,,,,+48 42 2549682,,,,,,Stanisława Wigury,,,,Centrum Medyczne Szpital św. Rodziny,,,,,,,,,,,,,,,,,,,,,,,rejestracja@swietarodzina.com.pl,,,,,,,,,Łódź,,,,,19.4635888,,,,,,,,,,,,,,,,,,,,,https://www.swietarodzina.com.pl/,,+48 42 2549681,,,,,,,,hospital,,,,,,,,,,,,,,,,51.7562587,,yes,,,,,,,
,,,,,,,,,,,,,,,yes,,,,,,,,,Centrum Medyczne w Łańcucie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2329009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.0672027,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Onkologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6615338,,,,,,,,,,,,,,,,,,,,,http://www.io.gliwice.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3027415,,,,,,,,,
,oncology,,,,,5,,,,,,,,,,,,,,Wilhelma Konrada Roentgena,,,,Centrum Onkologii,,,02-781,,Q7186,,,,,,,,,,,pl:Centrum Onkologii – Instytut im. Marii Skłodowskiej-Curie,,,,,,,,,,,,,,,,Warszawa,,,,,21.0354016,,,,,,,,,,,,,,,,,,,,,https://www.coi.pl/,,,,,,,,,,hospital,,,,Centrum Onkologii imienia Marii Skłodowskiej-Curie,Q1054401,,,,,,,,,,,52.1472241,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Onkologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1124637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.1457609,,,,,,,hospital,,
,,,,,,11,,,,,,,,,,,,,,Garncarska,,,,Centrum Onkologii Instytut imienia Marii Skłodowskiej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kraków,,,,,19.9273596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,5,,,,,,,,50.0617535,,yes,,,,,hospital,PL,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Opieki Medycznej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6933452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.0136554,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Pediatrii im. Jana Pawła II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1968861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2737397,,,,,,,,,
,,,,,,,,,,,UM Katowice,,,,,,,,,,,,,Centrum Psychiatrii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0839802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2717742,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Pulmonologii i Torakochirurgii w Bystrej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0674264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.7655585,,,,,,,,,
,,,,,,30,,,,,,,,,,,,,,Franciszkańska,,,,Centrum Pulmonologii i alergologii,,,58-580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szklarska Poręba,,,,,15.5297053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.8295664,,yes,,,,,,PL,
,,,,,,66A,,,,,,,,,,,,,,Tajęcina,,,,Centrum Rehabilitacji REHAMED-CENTER,,,36-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tajęcina,,,,,22.0066891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,EMUiA (trzebownisko.e-mapa.net),,,,50.1258066,,yes,,,,,hospital,,
,,,,,,1a,,,,,,,,+48 77 466 85 00,,,,,,Zamkowa,,,,Centrum Terapii Nerwic,,,47-370,,,,,,,,,,,,,,,,,,25547,,sekretariat@ctn-moszna.pl,,,,,,,0503534,estimated,Moszna,,,,,17.7718881,,,,,,,,,,,,,,,,,,,,2013,http://www.ctn-moszna.pl/,,+48 77 466 84 18; +48 77 466 84 63,,,,,,,,hospital,,,,,,,,,,,,strzeleczki.e-mapa.net,,,,50.4416554,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Zdrowia Dziecka,,,,,,,,,,,,,,,,pl:Instytut „Pomnik – Centrum Zdrowia Dziecka”,,,,,,,,,,,,,,,,,,,,,21.1880582,,,,,,,,,,,,,,,,,,,,,http://www.czd.pl/,,,,,,,,,,hospital,,,,Pomnik-Szpital Centrum Zdrowia Dziecka,Q5098163,,CZD,,,,,,,,,52.2069459,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,Szpitalna,,,,Centrum Zdrowia Tuchów,,,33-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuchów,,,,,21.0605353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.8925689,,,,,,,hospital,,
,,,,,,156,,,,,,,,,,,,,,Grunwaldzka,,,,Certus,,,60-309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,,16.8594452,,,,,,,,,,,,,,,,,,,,,https://certus.med.pl/,,+48 61 860 42 00,,,,,,,,hospital,,,,Prywatna Lecznica Certus Sp. z o.o. Szpital i Ambulatorium,,,Szpital i Ambulatorium Prywatnej Lecznicy Certus,,,,,,,,,52.3927630,,yes,,,,,,PL,
,,,,,,7,,,,,,,,,,,,,,Władysława Truchana,,,,Chorzowskie Centrum Pediatrii i Onkologii im. dr Edwarda Hankego,,,41-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chorzów,,,,,18.9486623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2972830,,,,,,,,PL,
,,,,,,,,,,,,,,+48713064867,yes,,,,,Generała Augusta Emila Fieldorfa,,,,Dolnośląski Szpital Specjalistyczny im. T. Marciniaka,,http://www.nszw.pl/,50-996,,,,,,,,,,,,,,,,,,,,szpital_marciniaka@pro.onet.pl,,,,,,,,,Wrocław,,,,,16.9059648,,,,,,,,"""Nowy Szpital Wojewódzki"" sp. z o.o.",,,,,,,,,,,,,http://www.szpital-marciniak.wroclaw.pl,,+48713064419,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1422775,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Dolnośląskie Centrum Onkologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0162879,,,,,,,,,,,,,,,,,,,,,https://www.dco.com.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.0946573,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dolnośląskie Centrum Rehabilitacji Sp. z o.o. w Kamiennej Górze,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,16.0674418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.7789146,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Dolnośląskie Centrum Zdrowia Psychicznego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0278072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1296303,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dom Pomocy Społecznej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2339524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.7498767,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dom Pomocy Społecznej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4344586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.7068489,,,,,,,hospital,,
,,,,,,5,,,,,,,,,,,,,,Spółdzielcza,,,,Domowy Szpital,,,21-500,,,,,,,,,,,,,,,,,,20696,,,,,,,,,0922018,,Biała Podlaska,,,,,23.1104192,,,,,,,,Wojewódzki Szpital Specjalistyczny w Białje Podlaskiej,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,2,,,,mbialapodlaska.e-mapa.net,,,,52.0341791,,hospital,,,,,hospital,,
,paediatrics,,,,,4,,,,,,,,,no,,,,,Wojska Polskiego,,,,Dziecięcy Szpital Uzdrowiskowy „Mieszko”,,,58-310,,,,,,,,,,,,,,,,,,24628,,,,,,,,,0984574,,Szczawno-Zdrój,,,,,16.2549841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,mszczawnozdroj.e-mapa.net,,,,50.8049220,,yes,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Esculap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9731649,,,,,,,,,,,,,,,,,,,,,http://www.klinika-eskulap.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.8073872,,,,,,,,,
,,,,,,,,,,,,,,,no,,,,,,,,,EuroMediCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9560493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.1421892,,,,,,,hospital,,
,,,,,,92,,,,,,,,,,,,,,Tadeusza Kościuszki,,,,Euromedic,,,40-519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0119544,,,,,,,,,,,,,,,,,,,,,http://euromedic.com.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2452523,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Filia Domu Pomocy Społecznej Nr 1,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,19.9992428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.5345777,,,,,,,,,
