roof:levels,amenity,office,healthcare:speciality,lon,contact:website,addr:suburb,email_1,free_refill_note,name:it,operator,addr:housenumber,barrier,area,building:levels,opening_hours,contact:phone,addr:housename,note,source,mapillary,email,website,fax,description,emergency,contact:email,source:date,phone,lat,name:hu,addr:street,building,fixme,name,roof:shape,url,addr:postcode,wheelchair,level,free_refill,addr:city,healthcare,toilets:wheelchair,addr:country,alt_name
,doctors,,,19.1437368,,,,,,,122-124,,,5,,,,,,,,,,,,,,+361-347-5900,47.4528115,,Ady Endre út,yes,,Kispesti Egészségügyi Intézet,,,1195,yes,,,Budapest,doctor,,,
,doctors,,,21.7198908,http://koranyirendelo.hu/,,,,,,6/a,,,,,+3642443024,,,,,,,,,,,,,47.9784186,,Csaló köz,doctors,,Korányi Magánorvosi Rendelő,,,4400,,,,Nyíregyháza,,,,
,doctors,,,19.1459971,,,,,,,,,,,,,,,,,,,,,,,,,47.5040059,,,yes,,Körzeti Gyermekorvosi Rendelő,,,,,,,,doctor,,,
,doctors,,,18.3517882,,,,,,,170,,,,,,,,,,,,,,,,,,46.1634643,,Fő utca,yes,,Körzeti Orvosi Rendelő,,,7694,,,,Hosszúhetény,,,HU,Mozi
,doctors,,,17.6552084,,,,,,,10,,,,,,,,,,,,,,,,,,47.6916596,,Kölcsey utca,yes,,Körzeti Orvosi Rendelők,,,9027,,,,Győr,,,,
,doctors,,,21.0393537,,,,,,,,,,,,,,,,,,,,,,,,,46.7619001,,,,,Körzeti orvos,,,,yes,,,,,,,
,doctors,,,19.4713387,,,,,,,,,,,,,,,,,,,,,,,,,46.1275152,,,yes,,Körzeti orvosi rendelő,,,,,,,,,,,
,doctors,,,19.1021358,,,,,,,,,,,,,,,Bing,,,,,,,,,,47.5630744,,,yes,,Körzeti orvosi rendelő,,,,,,,,,,,
,doctors,,,17.1510626,,,,,,,,,,,,,,,,,,,,,,,,,47.2582246,,,yes,,Körzeti orvosi rendelő,,,,,,,,doctor,,,
,doctors,,,16.2728604,,,,,,,5-7,,,,,,,,,,,,,,,,,,46.9536790,,Rákóczi Ferenc utca,yes,,Központi háziorvosi ügyelet,,,9970,,,,Szentgotthárd,,,,
,doctors,,,18.0830549,,,,,,,,,,,,,,,,,,,,,,,,,47.6387402,,,yes,,Községi Rendelőintézet,,,,,,,,,,,
,doctors,,,19.1629134,,,,,,,,,,,,,,,,,,,,,no,,,,47.4703277,,,yes,,Kőbányai Egészségügyi Szolgálat - Háziorvosi rendelők,,,,,,,,doctor,,,
,doctors,,,19.1359670,,,,,,,2,,,,,,,,,,,,,,,,,,47.4881842,,Zsivaj utca,yes,,Kőbányai Egészségügyi Szolgálat Zsivaj utcai Rendelő,,,1105,,,,Budapest,,,,
,doctors,,,20.4297206,,,,,,,,,,,,,,,,,,,,,,,,,48.2940601,,,residential,,Med Klein,,,,,,,,,,,
,doctors,physician,,17.6466305,,,,,,,43,,,,,,,,,,,,,,,,,,47.6705360,,Szent Imre út,,,Megyei rendelőintézet,,,9024,,,,Győr,,,,
,doctors,,,19.9197085,,,,,,,,,,,,,,,,,,,,,,,,,47.7783190,,,,,Mentők,,,,,,,,doctor,,,
,doctors,,,18.2186176,,,,"Egy pohár csapvizzel embert, állatot vendégül látunk nyáron.",,,7,,,,,,,,,,,,,"Mosolymanó Egyesület. Angol nyelvi foglalkozás anyukáknak, gyerekfelügyelettel.",,,,06204508688,46.0405869,,Várkonyi Nándor utca,yes,,Mosolymanó Egyesület,,,7632,,,yes,Pécs,doctor,,HU,
,doctors,,,19.0707372,,,,,,,,,,,,,,,,,,,,,,,,,47.5160719,,,hospital,,MÁV Kórház Rendelőintézete,,,,limited,,,,,,,
,doctors,,,19.1991877,,,,,,,18,,,,,,,,,,,,,,no,,,,47.5068961,,Prodám utca,yes,,Mátyásföld Klinika,,,1165,,,,Budapest,doctor,,,
,doctors,,,17.6634532,,,,,,,,,,,,,,,,,,,,,,,,,47.7279819,,,yes,,Nagybácsai Egészségügyi Centrum,,,,,,,,,,,
,doctors,,,20.1114017,,,,,,,167,,,,24/7,,,,,,,,,,,,,,47.9362482,,Kossuth Lajos út,civic,,OMSZ Állomás és Egészségügyi Központ,,,3245,,,,Recsk,,,,
,doctors,,,17.4574364,,,,,,,,,,3,,,,,,,,,,,,,,,47.8320784,,,yes,,Orvos,,,,,,,,,,,
,doctors,,,17.4643081,,,,,,,,,,,,,,,,,,,,,,,,,47.8626047,,,yes,,Orvosi Rendelő,,,,,,,,,,,
,doctors,,,20.7504177,,,,,,,9,,,,,,,,,,,,,,,,,,48.1005918,,Kiss Ernő utca,yes,,Orvosi Rendelő,,,3531,,,,Miskolc,doctor,,,
,doctors,,,21.7269739,,,,,,,4,,,,,,,,,,,,,,,,,+3642461362,47.9464263,,Kert köz,yes,,Orvosi Rendelő (Dr. Kiss József),,,4400,,,,Nyíregyháza,,,,
,doctors,,,17.8827698,,,,,,,2,,,,,,,,,,,,,,,,,,46.9157804,,Csokonai utca,house,,Orvosi rendelő,,,8237,,,,Tihany,,,,
,doctors,,,18.2574858,,,,,Orvosi Rendelő,,,,,,,,,,,,,,,,,,,,47.2039664,,Fő tér,yes,,Orvosi rendelő,,,8041,,,,,,,,
,doctors,,,20.7526667,,,,,,,,,,,Mo-Fr 08:30-20:00,,,,,,,,,,no,,,,47.6251401,,,yes,,Orvosi rendelő,,,,,,,,doctor,,,
,doctors,,,16.8356466,,,,,,,,,,,,,,,,,,,,,,,,,46.8310828,,,yes,,Orvosi rendelő,,,,,,,,,,,
,doctors,,,17.6491722,,,,,,,58,,,,,,,,,,,,,,,,,,47.7178678,,Kultúrház utca,yes,,Orvosi rendelő,,,9029,,,,Győr,,,HU,
,doctors,,,18.5290008,,,,,,,,,,,,,,,,,,,,,,,,,47.5200212,,,yes,,Orvosi rendelő,,,,,,,,,,,
,doctors,,,17.3680070,,,,,,,2,,,,,,,,,,,,,,,,,,47.4342613,,Kossuth Lajos utca,yes,,Orvosi rendelő,,,8532,,,,Marcaltő,doctor,,HU,
,doctors,,,17.7670047,,,,,,,15,,,,,,,,,,,,,,,,,,46.3680982,,Hajnóczy József utca,yes,,Orvosi rendelő,,,7400,,,,Kaposvár,,,,
,doctors,,,18.1366036,,,,,,,,,,,,,,,,,,,,,,,,,45.9704885,,,yes,,Orvosi rendelő,,,,,,,,,,,
,doctors,,,17.4750806,,,,,,,,,,,,,,,,,,,,,,,,,47.7962243,,,yes,,Orvosi rendelő,,,,,,,,,,,
,doctors,,,20.7692622,,,,,,,2,,,,,,,,,,,,,,,,,,48.1031077,,Malomszög utca,yes,,Orvosi rendelő,,,3530,,,,Miskolc,doctor,,,
,doctors,,,19.4252470,,,,,,,,,,,,,,,,,,,,,,,,,47.9758067,,,yes,,Orvosi rendelő,,,,,,,,,,,
