amenity,contact:phone,operator:type,amenity_1,lon,contact:website,alt_name,operator,addr:housenumber,addr:postcode:source,barrier,is_in:country,building:levels,opening_hours,is_in:city,addr:housename,name:de,access,source,is_in:county,opening_hours:url,healthcare:speciality,addr:street,email,website,wheelchair,description,emergency,contact:email,is_in:country_code,phone,levels,lat,addr:city,building,source:name,name:en,contact:fax,name,level,addr:postcode,roof:levels,start_date,healthcare,addr:country
clinic,,,,23.8196844,,,,35A,,,,,Mo-Th 07:30-20:00; Fr 07:30-17:00,,,,,,,,,Strada Spania,,http://www.cardiom.ro,,,,,,+40 351 414 733,,44.3139553,Craiova,yes,,,,CardioMed,,200513,,,,
clinic,,,,23.5773444,,,,,,,,,,,,,,,,,,Calea Moților,,,,,,,,,,46.7653350,Cluj-Napoca,yes,,,,Centru Medical Interservisan,,,,,,RO
clinic,0244 545 384,,,26.0182686,http://www.synevo.ro/,,,,,,,,Mo-Fr 07:00 - 18:00,,Centru de recoltare Synevo,,,,,,,,,,,,,,,,,44.9456568,,yes,,,,Centru de recoltare Synevo,,,,,,
clinic,,,,20.8735819,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0425818,,yes,,,,Centru medical,,,,,,
clinic,,,,26.0751333,,,,41,,,,,,,,,,,,,,Strada Caius Marcius Coriolan,,,,,,,,,,44.4209625,București,yes,,,,Centrul Medical Apolo,,050883,,,clinic,
clinic,,,,26.0157555,,,,13,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,3,,,,,,,,,,Strada Spartachiadei,,,,,no,,,,,44.4366334,București,yes,,,,Centrul Medical Humanitas,,062272,,,clinic,
clinic,,,,28.6333479,http://www.iowemed.ro,,,2-4,,,,,24/7,,,,,,,,,Bulevardul I. C. Brătianu,,,,,,,,,,44.1726706,Constanța,yes,,Iowemed Medical Center,,Centrul Medical Iowemed,,,,,centre,
clinic,,,,21.3211848,,,,28,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Tudor Vladimirescu,,,,,,,,,,46.1831643,Arad,yes,,,,Centrul Medical Mediar,,310010,,,,
clinic,,,,21.2319816,,,,4,,,,,,,,,,,,,,Piața Vasile Adamachi,,,,,,,,,,45.7404605,Timișoara,yes,,,,Centrul Medical Mișcă,,,,,clinic,
clinic,,,,26.0255896,,,,2C,,,,,,,,,,,,,,Strada Dreptății,,,,,,,,,,44.4350765,București,yes,,,,Centrul Medical Sfantul Alexandru,,060885,,,clinic,
clinic,,,,21.2155521,,,,62,,,,,,,,,,,,,,Strada Romulus,,,,,,,,,,45.7417197,Timișoara,yes,,,,Centrul Medical Sfânta Maria,,,,,clinic,
clinic,,,,24.2994513,,,,,,,,,,,,,,,,,,,,,,"Centru medical cu doua Cabinete a Medicinei Familiei, un Cabinet de Medicina Dentara, Farmacie.",,,,,,45.6419897,Turnu Roșu,yes,,,,Centrul Medical Turnu Roșu,,557285,,,,
clinic,,,,23.5908834,,,,38A,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Cometei,,,,,,,,,,46.7538123,Cluj-Napoca,yes,,,,Centrul Medical de Balneofizioterapie si Recuperare Edelweiss,,400493,,,,RO
clinic,,,,24.8642598,,,,,,,,3,,,,,,,,,,,,,,,,,,,,44.8501266,Pitești,yes,,,,Centrul Medical „Doctor Luca”,,,,,clinic,
clinic,,,,26.0288779,,,,,,,,,,,,,,,,,,,,,,,no,,,,,44.4387113,,yes,,,,Centrul Multifuncțional de Sănătate ''Sfântul Nectarie'',,,,,clinic,
clinic,,,,27.5713506,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1518276,,yes,,,,Centrul de Diagnosticare Radiologic și Imagistic Nicolina,,,,,clinic,
clinic,,,,26.0547254,,,,140,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,4,,,,,,,,,,Strada Jiului,,,,,no,,,,,44.4847372,București,yes,,,,Centrul de Dializa dr.Carol Davila,,013221,,,clinic,
clinic,,,,21.2179270,,,,59,,,,"2, 5",,,,,,,,,,Strada Ciprian Porumbescu,,http://www.oncohelp.ro/,,,,,,,,45.7389178,Timișoara,yes,,,,Centrul de Oncologie OncoHelp,,300239,,,clinic,
clinic,,,,21.2409147,,,,10,,,,5,,,,,,,,,,Bd. Iosif Bulbucă,,http://www.oncogen.ro/,,,,,,,,45.7370842,Timișoara,yes,,,,Centrul de Terapii Genice și Celulare în Tratamentul Cancerului (OncoGen),,300736,,,clinic,
clinic,,,,21.3065646,,,,2/4,,,,,,,,,,,,,,Strada Andreyi Karoly,,,,,,,,,,46.1829539,Arad,yes,,,,Centrul de Transfuzie Sanguină,,,,,,
clinic,,,,23.5611727,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6578339,,yes,,,,Centrul de Transfuzii Sanguine,,,,,,
clinic,,,,25.4696431,,,D.G.A.S.P.C. SUceava,,,,,2,,,,,,,,,,,,,,,,,,,,47.5240060,Pojorâta,yes,,,,Centrul de recuperare și reabilitare neuropsihiatrică,,,,,clinic,
clinic,,,,22.6628861,,,,,,fence,,,,,,,private,,,,,,,,,,,,,,,44.6244964,,,,,,Centrul de transfuzie sanguină,,,,,,
clinic,,,,26.0982290,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3952647,,yes,,,,Centrul medical Neomed,,,,,,
clinic,,,,26.1113954,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4796312,,yes,,,,Centrul naturist de sănătate Santo Raphael,,,,,clinic,
clinic,,,,28.6117586,,,,11,,,,,"Mo-Fr 07:30-20:00, Su off; Sa 08:00-15:00",,,,,,,,,Strada Constantin Hurmuzache,,http://www.cermed.ro,,,,,,,,44.1736086,Constanța,yes,,,,Cermed,,,,,,
clinic,,,,24.3304185,,,,734,,,,,,,,,,survey,,,,Calea lui Traian,,,,,,,,,,45.2579777,Căciulata,yes,,,,Clinca Păușa,,,,,,
clinic,,,,21.2330343,,,,26,,,,,,,,,,,,,,Strada Popa Șapcă,,,,,,,,,,45.7614424,,yes,,,,Clinica First Medical,,,,,,
clinic,,,,25.9799500,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3734514,,yes,,,,Clinica Gimed,,,,,,
clinic,,,,21.2396241,,,,10,,,,,,,,,,,,,,Strada Jose Silva,,,,,,,,,,45.7302001,Timișoara,yes,,,,Clinica Jose Silva,,,,,clinic,
clinic,,private,,22.8726679,,,,22,,,,,,,,,,,,,,Piața Eroilor Revoluției,,https://www.clinicakorall.ro,,,,,,+40771630034,,47.7995105,Satu Mare,yes,,,,Clinica Korall,,,,,clinic,
clinic,,,,28.6450929,,,,58,,,,,,,,,,,,,,Strada General Manu,,http://www.medicalanalysis.ro,,,,,,,,44.1826747,Constanța,yes,,,,Clinica MACTA Medical Analysis,,,,,,
clinic,,,,28.6128729,,,,78,,,,,Mo-Fr 08:00-21:30,,,,,,,,orthopaedics;psychiatry;endocrinology;cardiology;rheumathology,Bulevardul I. C. Brătianu,office@clinicaman.ro,http://www.clinicaman.ro,,,,,,+40 241 541 999,,44.1715030,Constanța,yes,,,,Clinica MAN,,,,,clinic,RO
clinic,,,,25.6230571,,,,10,,,,,,,,,,,,,,Strada Livada Vulturului,,,,,,,,,,45.6409905,,yes,,,,Clinica MedLife Vulturului,,,,,,
clinic,,,,24.1546216,,,,3B,,,,,,,,,,,,http://www.misanmed.ro/program,,Strada Hipodromului,,,,,,,,,,45.7844175,Sibiu,yes,,,,Clinica Misan Med,,,,,,
clinic,,,,24.1675118,,,,4,,,,,,,,,,,,,,Semaforului,dradrianastanila@yahoo.com,http://www.drstanila.ro/,,,,,,0269 436 480,,45.7819503,Sibiu,hospital,,,,Clinica Ofta Total,,,,,,
clinic,,,,24.3707371,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0931896,,apartments,,,,Clinica Ostroveni,,,,,,
clinic,,,,26.0955548,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3975799,,yes,,,,Clinica Sante,,,,,clinic,
clinic,,,,26.1455712,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4693867,,yes,,,,Clinica Total Medical Ozon,,,,,,
clinic,,,,24.3392278,,,,688,,,,,,,,,,,,,,Calea lui Traian,,,,,,,,,,45.2466201,,yes,,,,Clinica balneologică Călimănești,,,,,,
clinic,,,,21.2333088,,,,3,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,3,,,,,,,,,,Bulevardul Take Ionescu,,,,,,,,,,45.7582825,Timișoara,yes,,,,Clinica de Chirurgie Oro-Maxilo-Facială,,300062,,,clinic,
clinic,,,,24.6230575,,,,313,,,,,,,,,,,,,,centura Tg-Mures,,,,,,,,,,46.5454167,Livezeni,yes,,,,Clinica de Medicină Hiperbară,,,,,,
clinic,,,,21.2358973,,,,6,,,,,,,,,,,,,,Bulevardul Revoluției din 1989,,,,,,,,,,45.7553903,,yes,,,,Clinica de Oto-Rino-Laringologie,,,,,,
clinic,,,,21.2090512,,,,21,,,,,,,,,,,,,,Strada Iancu Văcărescu,,,,,,,,,,45.7429269,Timișoara,yes,,,,Clinica de Psihiatrie Eduard Pamfil,,,,,,
clinic,,,,21.2357440,,,,42-44,,,,,,,,,,,,,,Bulevardul Constantin Diaconovici Loga,,,,,,,,,,45.7530810,Timișoara,yes,,,,"Clinica de Recuperare, Medicină Fizică și Balneologie",,,,,clinic,
clinic,,,,21.5939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1576140,,yes,,,,Clinică Ghioroc,,,,,,
clinic,,,,25.6101634,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6655152,,yes,,,,Clinică Medlife,,,,,,
clinic,,,,26.1261106,,,,,,,,,,,,,,,,,,Strada Țepeș Vodă,,,,,,,,,,44.4356740,,yes,,,,Columna Medical Center,,,,,,
clinic,,,,21.2990516,,,,3,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Călărașilor,,,,,,,,,,46.1979303,Arad,yes,,,,Complex Stomatologic,,310360,,,,
clinic,,,,26.3647120,,,,9,,,,,,,,,,,,,general;dentistry,Bulevardul Decebal,,,,,,,,,,46.9290540,Piatra Neamț,yes,,,,Crismed Clinic,,,,,clinic,
clinic,,,,21.2269661,,,,29,,,,,,,,,,,,,,Strada Drubeta,,,,,,,,,,45.7349964,Timișoara,yes,,,,DermaHealth,,,,,clinic,
clinic,,,,25.9909996,,,,448,,,,,,,,,,,,,,Bulevardul Iuliu Maniu,,,,,,,,,,44.4349386,București,yes,,,,Dia Medical Port,,061099,,,clinic,RO
clinic,,,,26.1586069,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4305553,,yes,,,,Dispensar,,,,,,
clinic,,,,24.0179315,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2469821,,yes,,,,Dispensar,,,,,clinic,
clinic,,,,28.6183719,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2035055,,yes,,,,Dispensar,,,,,,
clinic,,,,26.1627129,,,,,,,,,,,,,,,,,,Intrarea Horbotei,,,,,,,,,,44.4323941,,yes,,,,Dispensar,,,,,,
clinic,,,,22.2397025,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1576402,,yes,,,,Dispensar Brusturi,,,,,,
clinic,,,,24.1572690,,,,50,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,Romania,,,Sibiu,,,,,Sibiu,,,Strada Nicolae Iorga,,,,,,,RO,0369435101,,45.7812656,Sibiu,hospital,,,,Dispensar Cedonia,,550361,,,,
clinic,,,,26.3882358,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9385208,,yes,,,,Dispensar Urban nr. 6,,,,,clinic,
clinic,,,,26.0153935,,,,,,,,,,București,,,,,,,,,,,,,,,,,,44.4381249,,yes,,,,Dispensarul Apusului,,,,,,
clinic,,,,26.1227421,,,,,,,,,,,,,,,,,,Aleea Râul Sadului,,,,,,,,,,44.3803335,,yes,,,,Dispensarul Berceni,,,,,,
clinic,,,,26.3780172,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,47.0284308,,yes,,,,Dispensarul Negrești,,,,,,
clinic,,,,24.2952708,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6433663,Turnu Roșu,yes,,,,Dispensarul Turnu Roșu,,,,,,
clinic,,public,,23.8146010,,,"Direcția sanitară a județului Cluj, Spitalul municipal Turda",11,,,,,,,,,,,,,,Strada Lianelor,,,,,,,,,,46.5575135,Turda,hospital,,,,Dispensarul medical urban nr. VI adulți-copii,0;1,,,,clinic,
clinic,,,,28.6063269,,,,2,,,,2,,,,,,,,,,Aleea Egretei,,https://eurodializa.eu,,,,,,,,44.1619039,,yes,,,,EURODIALIZA,,,,,,
clinic,,,,21.2590464,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7656353,,yes,,,,Explomed,,,,,clinic,
clinic,,,,28.5760476,,,,1,,,,,,,,,,,,,,Strada Theofil Sauciuc Săveanu,,,,,,,,,,43.8093784,Mangalia,yes,,,,Gama Diamed,,905500,,,,
clinic,,,,26.0193071,,,,6,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,Mo-Sa 07:00-20:00,,,,,,,,,Strada Cuza Vodă,,,,,,,,,,44.9415007,Ploiești,yes,,,,Gral,,100010,,,,
clinic,,,,27.6112758,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1600497,,yes,,,,Hyperclinica MedLife,,,,,clinic,
clinic,,,,26.0462360,,,,,,,,,,,,,,,,,,Drumul Taberei,,,,,,,,,,44.4248225,București,yes,survey,,,Hyperclinica MedLife,,061386,,,clinic,
clinic,,,,21.3010747,,,,138-140,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Calea Aurel Vlaicu,,,,,,,,,,46.1959877,Arad,yes,,,,Infomedica,,310365,,,,
clinic,,,,26.0731132,,,,88,,,,,,,,,,,,,,Strada Mircea Vulcănescu,,,,,,,,,,44.4421257,București,yes,,,,Institutul Național de Medicină Aeronautică și Spațială,,010241,,,clinic,
clinic,,,,26.1129032,,,,,,,,,,,,,,,,,,Strada Păduroiu,,http://www.kineto-help.ro/,,,,,,+40760828784,,44.3949639,,yes,,,,Kineto Help - fizioterapie si gimnastica medicală,,,,,,
clinic,,,doctors,24.3768634,,,,1D,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,5,,,,,,,,,,Aleea Tineretului,,,,,,,,0249402000,,44.4243712,Slatina,yes,,,,LISIMED,,230053,,,clinic,
clinic,,,,21.3193260,,,,16,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Andrei Mureșanu,,,,,,,,,,46.1820378,Arad,yes,,,,Labormed,,310011,,,,
clinic,,,,21.3246407,,,,10,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,Mo-Fr 08:00-20:00; Sa-Su 08:00-14:00,,,,,,,,,Bulevardul Revoluției,,,,,,,,,,46.1861146,Arad,yes,,,,MEDIQA Centru Medical,,310144,,,,
clinic,,,,23.7981120,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3027518,,yes,,,,Maternitate Alpha Medical,,,,,clinic,
clinic,,,,28.6162368,,,,90G,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Dezrobirii,,https://medcenter.ro/,,,,,,,,44.1798929,Constanța,yes,,,,Med Center,,900234,,,,
clinic,,,,24.1572541,,,,19,,,,,L-V 14-18,,,,,,,,,Strada Hipodromului,,,,,,,,,,45.7830277,Sibiu,,,,,Med Clinic,,,,,,
clinic,,,,23.6084770,,,,11A,,,,,Mo-Fr 09:00-21:00; Sa-Su off,,,,,,,,dermatology;gynaecology;plastic_surgery,Strada Măcinului,,,,,,,,,,46.7593249,Cluj-Napoca,,,,,Med'Art,,400475,,,clinic,
clinic,,,,26.1251866,,,,8,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,2,,,,,,,,,,Șoseaua Berceni,,,,,,,,,,44.3892985,București,yes,,,,MedCenter,,041914,,,,
clinic,,,,21.2464287,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7486799,,yes,,,,MedLife,,,,,clinic,
clinic,,,,21.2081213,,,,37A,,,,,Mo-Fr 08:00-16:00,,,,,,,,general;otolaryngology;orthopaedics;psychiatry,Bulevardul General Ion Dragalina,,https://www.medlife.ro,,,,,,,,45.7489053,Timișoara,yes,,,,MedLife,,,,,clinic,
clinic,,,,21.2328032,,,,12,,,,,,,,,,,,,,Strada Popa Șapcă,,,,,,,,,,45.7595541,,yes,,,,Medcom CBS Hospital,,,,,,
clinic,,,,21.3202620,,,,39A,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Tudor Vladimirescu,,,,,,,,,,46.1832747,Arad,yes,,,,Medfemme,,310010,,,,
clinic,0269 212079,,,24.1440164,http://www.policlinicamedica.ro/,,,107,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,Romania,,,Sibiu,,,,Bing,Sibiu,,,Calea Dumbrăvii,,,,,,programari@policlinicamedica.ro,RO,,,45.7772628,Sibiu,yes,,,0269 235234,Medica,,550399,,,,
clinic,,,,21.2132462,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7560241,,yes,,,,Medici's Artzthaus,,,,,clinic,
clinic,,,,21.2076371,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7672136,,yes,,,,Medicover,,,,,,
clinic,,,,21.2263787,,,,1,,,,,,,,,,,,,,Bulevardul Mihai Eminescu,,,,,,,,,,45.7517924,,yes,,,,Medicover,,,,,clinic,
clinic,,,,26.1253425,,,,10-12,,,,,24/7,,,,,,,,,Șoseaua Berceni,programari@medinst.ro,https://medinst.ro/,,Investigatii imagistice prin Tomografie computerizata (CT) si rezonanta magnetica (IRM/RMN).,,,,"+40 21 334 7194, +40 722 395 696",,44.3873851,București,hospital,,,,Medinst,,041914,,,,
clinic,,,,23.5714974,,,,28,,,,,,,,,,,,,,Strada Ilie Măcelaru,,,,,,,,,,46.7654903,Cluj-Napoca,yes,,,,Medsan,,400380,,,clinic,RO
clinic,,,,26.0884084,,,,9,,,,,,,,,,,,,,Bulevardul Primăverii,,,,,,,,,,44.4675532,București,yes,,,,Medsana,,011971,,,clinic,
clinic,,,,28.4133915,,,,44,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Dimitrie Cantemir,,,,,,,,,,44.1731521,Murfatlar,yes,,,,Neptrun MED,,905100,,,,
clinic,,,,21.2332849,,,,104,,,,,,,,,,,,,,Bulevardul Liviu Rebreanu,,https://www.neuromed.ro/,,"Centrul de Diagnostic Imagistic Neuromed - Radiologie, Mamografie si Ecografie",,,,,,45.7369526,Timișoara,yes,,,,Neuromed,,300755,,,,
clinic,,,,21.2127719,,,,43,,,,,24/7,,,,,,,,,Bulevardul 16 Decembrie 1989,,https://www.neuromed.ro/,,Centrul de Diagnostic Imagistic Neuromed - CT si RMN  Serviciul de Ambulanta Neuromed  Sediul central Neuromed,,,,,,45.7411926,Timișoara,yes,,,,Neuromed,,300218,,,,
clinic,,,,21.2257120,,,,27,,,,,,,,,,,,,,Strada Ulpia Traiana,,,,,,,,,,45.7342698,Timișoara,yes,,,,NovaLife Clinics,,,,,clinic,
clinic,,,,25.6104097,,,,,,,,,,,,,,http://www.pug-puz.ro/ ; legea544/2001,,,ophthalmology,,,,,,,,,,,45.6480138,,yes,,,,Opticristal,,,,,clinic,
clinic,,,,26.1146274,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4544768,,yes,,,,Pavilion D - Policlinica Grozovici,,,,,,
clinic,,,,26.0208029,,,,,,,,,,,,,,,,,,Strada Dezrobirii,,,,,,,,,,44.4357484,București,yes,,,,Poli-Med Apaca,,060981,,,clinic,
clinic,,,,20.6229347,,,,,,,,,,,,,,Cerere legea 544/2001,,,,,,,,,,,,,,46.0711407,,hospital,,,,Policlinica,,,,,,
clinic,,,,25.7239846,,,,20,,,,,,,,,,,,,,Aleea Episcop Popeea,,,,,,,,0268 270 570,,45.6154280,Săcele,yes,,,,Policlinica,,,,,,
clinic,,,,21.8810593,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3255826,,yes,,,,Policlinica,,,,,,
clinic,,,,26.1086896,,,,1,,,,,,,,,,,,,,Strada Petrolului,,,,,,,,,,44.3883151,București,yes,,,,Policlinica Alfa,,,,,,
clinic,0269 233016,,,24.1431134,http://www.policlinica-astra.ro/,,,1,,,Romania,,,Sibiu,,,,,Sibiu,,,Strada Grigore Alexandrescu,,,,,,office@policlinicaastra.ro,RO,,,45.7796825,Sibiu,yes,,,0269 206203,Policlinica Astra,,550371,,,,RO
clinic,,,,22.7911080,,,,,,,,,,,,,,,,,,Strada Spitalului,,,,,,,,,,46.1266184,Brad,yes,,,,Policlinica Brad,,335200,,,,
clinic,,,,23.5852198,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7806937,,,,,,Policlinica CFR,,,,,,
clinic,,,,21.2183115,,,,,,,,3,,,,,,,,,,,,,,,,,,,,45.7637136,,yes,,,,Policlinica Circumvalațiunii,,,,,clinic,
clinic,,,,25.0465444,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2758754,,yes,,,,Policlinica Câmpulung,,,,,,
clinic,,private,,21.2083132,,,Regina Maria,20,,,,3,,,,,,,,,,Calea Șagului,,,,,,,,,,45.7329054,Timișoara,yes,,,,Policlinica Dr. Grigoraș,,,,,clinic,
clinic,,,,26.0261348,,,,,,,,3,,,,,,,,,,Strada Dreptății,,,,,,,,,,44.4349364,București,yes,,,,Policlinica Dreptatii,,060951,,,clinic,
clinic,,,,24.9580844,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8412021,,yes,,,,Policlinica Făgăraș,,,,,,
clinic,,,,28.6443053,,,,143A,,,,,,,,,,,,,,Bulevardul Tomis,,,,,,,,,,44.1855578,,yes,,,,Policlinica Gastromond,,,,,clinic,
clinic,,,,23.5549886,,,,2,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Mora Ștefan,,,,,,,,,,46.7699818,Cluj-Napoca,yes,,,,Policlinica Grigorescu,,400295,,,,RO
