health_facility:type,shop,addr:city:it,building:part,indoor,payment:debit_cards,rooms,addr:housenumber,healthcare:speciality,name:de,source,ref:msal,it:fvg:ctrn:code,fax,fixme,addr:street,contact:facebook,contact:fax,addr:city,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,payment:contactless,roof:orientation,payment:mastercard,addr:street:it,name:it,payment:maestro,brand:wikidata,tipologia,stato,ref,email,barrier,contact:email,name:sc,roof:shape,building:use,min_level,addr:inclusion,toilets:wheelchair,payment:cards,drive_through,lon,contact:website,roof:colour,layer,height,uploaded_by,operator,brand:wikipedia,ref:vatin,area,opening_hours,contact:phone,addr:housename,name,addr:city:de,start_date,website,addr:unit,brand,phone,smoking,room,it:fvg:ctrn:revision,buildingpart,dispensing,source:url,landuse,wheelchair,amenity,PRO_COM,addr:suburb,official_name,COMUNE,building:levels,note,ref:datiopen,description,max_level,addr:street:de,payment:visa,levels,lat,building,building:colour,roof:levels,addr:interpolation,addr:place,healthcare,addr:country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4175788,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.5044319,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3988279,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,42.0809985,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7855018,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.5403281,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1894006,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,38.7058613,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2462763,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6863027,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9819220,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5578764,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0407878,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5061068,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0890057,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.4889633,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1628596,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.4920622,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0546450,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5386722,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0204349,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5558163,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sa Potecaria de Salaris,,,,,,,,8.6721773,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,40.0206259,retail,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3978795,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.8665716,yes,,,,,,
,,,,,,,1,,,,,,,,Via Molini,,,Verla di Giovo,,38030,,,,,,,,,,,,,,,,,,,,,,,,,11.1511414,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,46.1574124,yes,,,,,,IT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0373071,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5909593,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3785649,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,2,45.0109382,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0984926,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5819078,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1372312,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6467082,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6645315,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,2,,,,,,,,45.1491280,yes,,,,,,
,herbalist,,yes,room,,amenity,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,pyramidal,,,,,,,11.1113974,,#B4B4B4,,7,,Betta Dr. Marco,,,,,,,Farmacia,,,,,,,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,46.0409262,,#FF9541,,,,,
,,,,,,,181,,,,,,,,Via E. Colpi,,,Folgaria,,38064,,,,,,,,,,,,,,,,,,,,,,,,,11.1737142,,,,,,,,,,,,,Farmacia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.9149439,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0098518,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5625404,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0020655,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5829888,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0523822,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5907110,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0893277,,,,,,,,,,,,,Farmacia,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5921037,yes,,,,,,
,,,,,,,,,,Regione Emilia Romagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10.3940187,,,,,,,,,,,,,"Farmacia ""Parenti""",,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,44.8286202,yes,,,,,,
,,,,,,,5A,,,,,,,,Via I° Maggio,,,Lallio,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6301691,,,,,,,,,,,,,"Farmacia ""degli Spezieri""",,,,,,+39 035 691420,,,,,,,,,pharmacy,,,,,,,,,,,,,45.6671455,yes,,,,,,
,,,,,,,77,,,,,,,,Via Don Riccardo Lotti,,,Andria,,76123,,,,,,,,,,,,,,,,,,,,,,,,,16.2868640,,,,,,,,,,,,,Farmacia A. Trione,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,41.2213473,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0315286,,,,,,,,,,,,,Farmacia Abela Dott. Francesco,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,37.5889787,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7653444,,,,,,,,,,,,,Farmacia Althea,,,,,,,,,,,yes,,retail,,pharmacy,,,,,,,,,,,,,44.5486774,,,,,,pharmacy,
,,,,,,,563,,,,,,,,Contrada Berbarello,,,Marsala,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4755996,,,,,,,,,,,,,Farmacia Ardizzone Antonino,,,,,,+39 0923 969359,,,,,,,,,pharmacy,,,,,,,,,,,,,37.7577861,,,,,,,IT
,,,,,,,,,,,,,,,Via Alcide De Gasperi,,,Povegliano Veronese,,37064,,,,,,,,,,,,,,,,,,,,,,,,,10.8859018,,,,,,,,,,,,,Farmacia Balladoro,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.3492710,yes,,,,,pharmacy,
,,,,,,,16,,,,,,,,Via Dosso,,,Cura Carpignano,,27010,,,,,,,,,,,,,,,,,,,,,,,,no,9.2545034,,,,,,,,,,,,,Farmacia Barisonzi,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.2141453,shop,,,,,,
,,,,,,,25,,,,,,,,Via quattro Novembre,,,Galbiate,,23851,,,,,,,,,,,,,,,,,,,,,,,,,9.3775015,,,,,,,,,,,,,Farmacia Bellan,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.8153043,,,,,,pharmacy,
,,,,,,,6,,,,,,,,Via per Zanica,,,Bergamo,,24126,,,,,,,,,,,,,,,,,,,,,,,,,9.6726770,,,,,,,,,,,,,Farmacia Benetti,,,,,,+39 035318261,,,,,,,,,pharmacy,,,,,,,,,,,,,45.6845108,yes,,,,,,
,,,,,,,,,,,,,,,Via Stazione,,,Pombia,,28050,,,,,,,,,,,,,,,,,,,,,,,,,8.6328683,,,,,,,,,,,,,Farmacia Berti,,,,1,,+39 0321 921220,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6506789,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,Morbegno,,23017,,,,,,,,,,,,,,,,,,,,,,,,,9.5698825,,,,,,,,,,,,,Farmacia Biglioli,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,46.1334648,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1435090,,,,,,,,,,,,,Farmacia Bolego Villazzano,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,46.0497479,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6441076,,,,,,,,,,,,,Farmacia Breda,,,,,,+39 06 2051685,,,,,,,,,pharmacy,,,,,,,,,,,,,41.8597224,commercial,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3355728,,,,,,Francesca Carmela Brunetto,,,,,,,Farmacia Brunetto,,,,,,+39 0942 721082,,,,,yes,,,,pharmacy,,,,,,,,,,,,,37.9142613,yes,,,,,,
,,,,,,,7,,,,,,,,Piazza Zaleuco,,,Marina di Gioiosa Ionica,,89046,,,,,,,,,,,,,,,,,,,,,,,,,16.3291138,,,,,,,,,,,,,Farmacia Calderone,,,,,,+39 0964 415046,,,,,yes,,,,pharmacy,,,,,,,,,,,,,38.2998428,yes,,,,,,
,,,,,yes,,100,,,,,,,,Strada di San Pelaio,,,Treviso,yes,31100,,,yes,yes,,yes,,,yes,,,,,,,,,gabled,,,,,,no,12.2323104,,,,,,,,,,"Sep-Jun: Mo-Sa 08:30-12:30, Sep-Jun: Mo-Fr 15:30-19:30; Jul-Aug: Mo-Sa 08:30-12:30, Jul-Aug: Mo-Fr 16:00-19:30",,,Farmacia Callegari s.n.c.,,,https://www.farmacieunite.it/scheda/17409,,,+39 0422 302847,,,,,,,,yes,pharmacy,,,,,2,,,,,,yes,,45.6928746,apartments,,1,,,pharmacy,IT
,,,,,,,2,,,,,,,,Piazza Antonio Locatelli,,,Comun Nuovo,,24040,,,,,,,,,,,,,,,,,,,,,,,,,9.6603087,,,,,,,,,,"Mo-Fr 09:00-12:30,15:00-19:30;Sa 09:00-12:30",,,Farmacia Cambiè Dottor Mauro,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6233778,yes,,,,,,
,,,,,,,107,,,,,,,,Via 42 Martiri,,,Fondotoce,yes,28924,,,yes,,,,,,,,,,,,,,,,,,,,,,8.4904334,,,,,,,,,,Mo-Sa 08:30-12:30; 14:30-19:00; Su 09:00-12:30,,,Farmacia Cammareri e Bardelli,,,https://farmacia-cammareri-e-bardelli-di-fondotoce-verbania.business.site/,,,+39 0323 496063,,,,,no,,,,pharmacy,,,,,,,,,,,,,45.9456947,yes,,,,,pharmacy,
,,,,,,,,,,Regione Emilia Romagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8978728,,,,,pragmatik,,,,,,,,Farmacia Casari,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,44.8869000,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7807503,,,,,,,,,,,,,Farmacia Centrale,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,44.7713726,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0819974,,,,,,,,,,,,,Farmacia Centrale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.8130138,yes,,,,,,
,,,,,,,6,,,,,,,,Via Stazione,,,Nago-Torbole,,38069,,,,,,,,,,,,,,,,,,,,,,,,no,10.8922189,,,,,,,,,,,,,Farmacia Chinaglia,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.8787343,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7940996,,,,,,,,,,,,,Farmacia Cianci Dei Dr. Salvatore Alessi E Sebastiano Palacino Snc,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,37.2732797,yes,,,,,pharmacy,
,,,,,,,167/169,,,,,,,,Via di Tor San Giovanni,,,Roma,,00139,,,,,,,,,,,,,,,,,,,,,,,,,12.5635244,,,,,,,,,,,,,Farmacia Cinquina,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,41.9816855,yes,,,,,pharmacy,
,,,,,,,38,,,,,,,,Piazza Aldo Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6804025,,,,,,,,,,,,,Farmacia Cirillo,,,,,,,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,40.9970895,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1529507,,,,,,,,,,,,,Farmacia Cliviati Graziano,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.6422005,yes,,,,,,
,,,,,,,141,,,,,,,,Via Bonsignori,,,Prevalle,,25080,,,,,,,,,,,,,,,,,,,,,,,,no,10.4186010,,,,,,,,,,"Mo-Fr 08:30-13:00,15:00-19:30; Sa 09:00-13:00",,,Farmacia Colla,,,,,,,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,45.5486972,,,,,,pharmacy,
,,,,room,,,500/55,,,dati.emilia-romagna.it,,,,,Strada Morane,,,Modena,,41126,,,,,,,,,,,,,,,,,,,,,,,,,10.9256329,,,,,,,,,,,,,Farmacia Comunale,,,,,,+39 059 441501,,,,,,,,,pharmacy,,Buon Pastore- Sant’Agnese-San Damaso,,,,,,,,,,,44.6206507,,,,,,,IT
,,,,,,,33,,,,,,,,Viale Guglielmo Marconi,,,San Miniato,,56028,,,,,,,,,,,,,,,,,,,,,,,,no,10.8389010,,,,,,,,,,Mo-Sa 08:00-20:00,,,Farmacia Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,43.6951006,,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1212181,,,,,,,,,,"09:00-12:30,15:30-19:00",,,Farmacia Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.4217824,yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0928101,,,,,,,,,,,,,Farmacia Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,45.7045848,yes,,,,,,
,,,,,,,42,,,,,,,,Via Giovanni Paisiello,,,Acerra,,80011,,,,,,,,,,,,,,,,,,,,,,,,,14.3815947,,,,,,Farmacia Comunale,,,,,,,Farmacia Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,40.9527234,yes,,,,,pharmacy,
,,,,,,,62,,,,,,,,Via Chieri,,,Pino Torinese,,10025,,,,,,,,,,,,,,,,,,,,,,,,,7.7903722,,,,,,ASM Venariaw,,,,"Mo-Fr 08:30-20:00; Sa 08:30-13:00, 15:30-19:30",,,Farmacia Comunale,,,http://www.farmacieasm.it/pino-t-se/,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.0327399,yes,,,,,pharmacy,
,,,,,,,4/f,,,,,,,,Via Grandi,,,Albinea,,42020,,,,,,,,,,,,,,farmacia@comune.albinea.re.it,,,,,,,,,,no,10.6122405,,,,,,,,,,"Mo-Sa 08:15-12:45, 15:30-19:30; We 15:30-19:30, Su, PH off",,,Farmacia Comunale,,,https://www.comune.albinea.re.it/entra-in-comune/servizi-del-comune/farmacia-comunale/,,,+39 0522 347355,,,,,,,,,pharmacy,,,,,,,,,,,,,44.6272190,yes,,,,,pharmacy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8816868,,,,,,,,,,,,,Farmacia Comunale,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,41.4641579,yes,,,,,,
,,,,,,,6,,,,,,,,Piazza Roma,,,Pontinia,,04014,,,,,,,,,,,,,,info@farmaciacomunalepontinia.it,,,,,,,,,,no,13.0409051,,,,,,,,,,,,,Farmacia Comunale,,,https://www.farmaciacomunalepontinia.it/,,,0773 867384,,,,,yes,,,yes,pharmacy,,,,,,,,,,,,,41.4060998,yes,,,,,pharmacy,
,,,,,,,4,,,,,,,,Piazza Castello,,,Pessano con Bornago,,20060,,,,,,,,,,,,,,,,,,,,,,,,no,9.3849017,,,,,,,,,,"Mo-Fr 08:30-19:30; Sa 08:30-12:30,15:30-19:30",,,Farmacia Comunale,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,45.5516274,yes,,,,,pharmacy,
,,,,,,,"91, 93",,,,,,,,Via Cavour,,,Prato,,59100,,,,,,,,,,,,,,,,,,,,,,,,,11.0900457,,,,,,,,,,24/7,,,Farmacia Comunale 12,,,,,,+39 0574 27986,,,,,,,,,pharmacy,,,,,,,,,,,,,43.8786571,yes,,,,,,
