comment,amenity,healthcare:speciality,wikipedia,lon,loc_name,wikidata,alt_name,full_name,operator,addr:housenumber,barrier,area,building:levels,short_name,source,roof:material,email,highway,website,fax,description,emergency,phone,doctors,lat,name:hu,name:hr,name:sr,addr:street,building,name:en,name,wheelchair:description,roof:shape,addr:postcode,wheelchair,addr:city,name:lt,healthcare,name:sr-Latn,toilets:wheelchair,addr:country,name:it
,hospital,,,17.2243599,,,,,,,,,,,,,,,,,,yes,,,45.5901457,,,,,,,Dom zdravlja Daruvar,,,,yes,,,,,,,
,hospital,,,16.2367820,,,,,,,,,,,,,,,,,,yes,,,45.8068975,,,,,,,Dom zdravlja Dugo Selo,,,,,,,,,,,
,hospital,,,16.0847780,,,,,,,,,,,,,,,,,,,,,45.3336928,,,,,yes,,Dom zdravlja Glina,,,,,,,,,,,
,hospital,,,18.8396015,,,,,,,,,,,,,,,,,,,,,44.8844701,,,,,yes,,Dom zdravlja Gunja,,,,,,,,,,,
,hospital,,,14.1184860,,,,,,,,,,,,,,,,,,,,,45.1006834,,,,,,,Dom zdravlja Labin,,,,,,,,,,,
,hospital,,,17.6470336,,,,,,,,,,,,,,,,,,,,,43.0538695,,,,,,,Dom zdravlja Metković,,,,,,,,,,,
,hospital,general,,18.6902161,,,,,,6,,,,,,,,,,,,yes,,,45.5594183,,,,Park kralja Petra Krešimira IV,,,Dom zdravlja Osijek,,,31000,,Osijek,,hospital,,,,
,hospital,,,16.6265752,,,,,,,,,,,,,,,,,,,,,45.5698848,,,,,yes,,Dom zdravlja Popovača,,,,,,,,,,,
,hospital,,,18.6528335,,,,,,,,,,,,,,,,,,,,,45.5638422,,,,,hospital,,Dom zdravlja Retfala,,,,,,,hospital,,,,
,hospital,,,18.0059993,,,,,,7,,,,,local_knowledge,,,,http://www.dzsb.hr/,,,yes,,,45.1594570,Bródi Egészségház,,,Borovska,yes,,Dom zdravlja Slavonski Brod,,,35000,yes,Slavonski Brod,,,,,HR,
,hospital,,,15.5830058,,,,,,18a,,,,,,,,,http://www.domzdravlja-slunj.hr,,,yes,,,45.1123887,,,,Plitvička ulica,hospital,,Dom zdravlja Slunj,,,,,,,,,,,
,hospital,,,18.8167723,,,,,,,,,,,,,,,,,,,,,45.2925039,,,,,,,Dom zdravlja Vinkovci,,,,yes,,,hospital,,yes,,
,hospital,,,16.0521770,,,,,,4,,,,,,,,,,,,,,,45.8307401,,,,Grižanska ulica,hospital,,Dom zdravlja Zagreb - istok,,,10040,,Zagreb,,,,,,
,hospital,,,18.7002599,,,,,,32,,,,,,,,,,,,yes,,,45.0739739,,,,Ulica dr. Franje Račkog,industrial,,Dom zdravlja Županja,,,32270,yes,Županja,,hospital,,,,
,hospital,,,18.4167430,,,,,,,,,,,Bing,,,,,,,,,,45.6611682,,,,,yes,,Hitna pomoć,,,,,,,,,,,
,hospital,,,16.0020822,,,,,Klinički bolnički centar Zagreb,104,,,,,,,,,http://www.kbc-zagreb.hr/klinike_i_zavodi/jord.,,,,,,45.8258600,,,,Jordanovac,,,Jordanovac,,,,,,,,,,,
,hospital,,,14.4287840,,,,,,42,,,,,,,,,,,,yes,,,45.3309295,,,,Krešimirova ulica,,,KBC Rijeka,,,51000,,Rijeka,,hospital,,,,Centro clinico ospedaliero Fiume
,hospital,,,16.4595499,,,,,,,,,,,,,,,http://www.kbsplit.hr/Firule,,,,,,43.5050658,,,,,,,KBC Split - Firule,,,,,,,hospital,,,,
,hospital,,,16.4675765,,,,,,1,,,,,,,,,http://www.kbsplit.hr/Krizine,,,,,,43.5066650,,,,Šoltanska,,,KBC Split - Križine,,,21000,,Split,,,,,HR,
"no helipad, open area nearby",hospital,,,15.9643516,,,Dječja bolnica Klaićeva,,,16,,,,,,,,,https://www.kdb.hr/,,,yes,01/4600-111,,45.8092517,,,,Ulica Vjekoslava Klaića,,,Klinika za dječje bolesti,,,10000,,Zagreb,,hospital,,,HR,
,hospital,,,15.9801285,,,,,,,,,,,,,,,http://www.bfm.hr,,,,,,45.8292179,,,,,,,Klinika za infektivne bolesti Dr. Fran Mihaljević,,,,,,,,,,,
,hospital,,,14.2776235,,,,,,,,,,,,,,,http://www.orto-lovran.hr/,,,,,,45.2994964,,,,,,,Klinika za ortopediju Lovran,,,,,,,hospital,,,,
,hospital,psychiatry,,15.8948947,,,,,,32,fence,,,,,,bolnica@bolnica-vrapce.hr,,http://bolnica-vrapce.hr/web/,+385 1 3483 660,,,+385 1 3780 666,,45.8152381,,Klinika za psihijatriju Vrapče,,Bolnička cesta,,University Pshyciatric Hospital Vrapče,Klinika za psihijatriju Vrapče,,,10090,,Zagreb,,,,,,
,hospital,radiology;orthopaedics,,15.9838758,,Q20526650,,,,19,,,,,,,,,,,,yes,+385 1 4697 000,,45.8099031,,,,Ulica Janka Draškovića,,,Klinika za traumatologiju,,,10000,yes,Zagreb,Traumatologijos departamentas,clinic,,,,
,hospital,oncology,,15.9439086,,,,,Sveti duh,197,,,,,,,,,,,,,,,45.8130043,,,,Ilica,,,Klinika za tumore,,,,,,,hospital,,,,
,hospital,,,15.9917497,Petrova bolnica,,,,,,,,,,,,,,http://www.kbc-zagreb.hr/klinike_i_zavodi/klinika_za_zenske_bolesti_i_porode,,,,,,45.8163585,,,,,,,Klinika za ženske bolesti i porode,,,,,,,,,,,
,hospital,,,16.0344346,,Q5133765,,,,,,,,,,,,,,,,yes,,,45.8313478,,,,,,,Klinička bolnica Dubrava,,,,,,,,,,,
,hospital,general,,15.9980024,,,,,,,,,,,,,,,http://kb-merkur.hr/,,,,,,45.8210226,,,,,,,Klinička bolnica Merkur,,,,,,,hospital,,,,
"no helipad, red cross marked on two flat roofs",hospital,,,15.9381450,,,,,,,,,,,,,,,https://www.kbsd.hr/,,,yes,,,45.8201508,,,,,,,Klinička bolnica Sveti Duh,,,,,,,hospital,,,,
"no helipad, no open areas",hospital,,,15.9535176,,Q7531321,Vinogradska bolnica,,,29,,,,KBC Sestre milosrdnice,,,,,http://www.kbcsm.hr/,,,yes,+385 1 3787 111,,45.8161275,,,,Vinogradska cesta,,,Klinički bolnički centar Sestre milosrdnice,,,10000,,Zagreb,,hospital,,,HR,
,hospital,,,15.9824994,,,,,,,,,,,,,,,,,,no,,,45.8179458,,,,,,,Klinički bolnički centar Šalata,,,,,,,,,,,
,hospital,general;psychiatry;paediatrics;ophthalmology;orthopaedics;radiology;emergency;gynaecology;dermatology;surgery;oncology;maternity;neurology;otolaryngology;cardiology;geriatrics;dentistry;community;orthodontics;internal,,18.7108748,,,,,,,,,,,,,,,,,,,,,45.5584046,,,,,,,Kliničko bolnički centar Osijek,,,,,,,hospital,,,,
,hospital,,,16.3108375,,,,,,,,,,,,,,,,,,no,,,43.7928040,,,,,yes,,Kljake,,,,,,,,,,,
,hospital,,,16.6379597,,,,,,,,,,,,,,,,,,,,,45.5765733,,,,,,,Neuropsihijatrijska bolnica dr. Ivan Barbot,,,,,,,,,,,
,hospital,,,15.3619315,,,,,,,,,,,,,,,,,,,,,44.5439948,,,,,yes,,OB Gospić,,,,,,,,,,,
,hospital,,,16.3844493,,,,,,,,,,,,,,,,,,,,,45.4915280,,,,,yes,,Odjel za fizikalnu medicinu i rehabilitaciju,,,,,,,,,,,
,hospital,,,18.0269463,,,,,,,,,,,bing,,,,https://www.bolnicasb.hr/,,,yes,,,45.1545555,,,,,,,"Opća bolnica ""Dr. Josip Benčević""",,,,yes,Slavonski Brod,,,,,HR,
,hospital,,,16.3699752,,,,,,,,,,,,,,,,,,,,,45.4775055,,,,,,,Opća bolnica ''Dr. Ivo Pedišić'',,,,,,,,,,,
no helipad,hospital,,,16.8480447,,,,,,,,,,,,,,,https://www.obbj.hr/,,,,,,45.9023678,,,,,,,Opća bolnica Bjelovar,,,,,,,hospital,,,,
possible unmarked helipad on grounds,hospital,,,16.8368050,,,,,,bb,,,,,,,,,,,,yes,+38548251000,,46.1632187,,,,Dr. Željka Selingera,hospital,,Opća bolnica Dr. Tomislav Bardek,,,48000,,Koprivnica,,hospital,,,HR,
,hospital,,,18.0766844,,,,,,2,,,,,,,,,,,,yes,,,42.6490378,,,,Dr. Roka Mišetića,hospital,,Opća bolnica Dubrovnik,,,20000,,Dubrovnik,,hospital,,,,
,hospital,,,16.2148101,,,,,,12,,,,,,,,,http://www.obhpknin.hr/,,,no,,,44.0524129,,,,Ulica kralja Svetoslava Suronje;KRALJA SVETOSLAVA SURONJE 12,hospital,,Opća bolnica Hrvatski ponos,OGRANIČEN PRISTUP,,22300,limited,Knin,,,,,,
,hospital,,,17.3892436,,,,,,15,,,,,,,bolnicang@bolnicang.hr,,http://www.bolnicang.hr/,035/364-361,,no,035/217-900,,45.2606260,,,,Ulica Josipa Jurja Strossmayera,,,Opća bolnica Nova Gradiška,,,35400,,Nova Gradiška,,hospital,,,,
,hospital,,hr:Opća bolnica Pula,13.8535810,,Q12638948,,,,,,,,,,,,,https://www.obpula.hr,,,,,,44.8681513,,,,,,,Opća bolnica Pula,,,,,,,hospital,,,,
,hospital,,,13.8344339,,,,,,,wall,,,,,,,,,,,,,,44.8610455,,,,,,,"Opća bolnica Pula, Negrijeva",,,,,,,,,,,
,hospital,,,16.3249182,,,,,,1,,,,,,,,,http://www.obv.hr,,,yes,,,46.3015338,,,,Ulica Ivana Meštrovića,,Varaždin general hospital,Opća bolnica Varaždin,,,42000,,Varaždin,,hospital,,,,
,hospital,,,17.3874821,,,,,,,,,,,,,,,http://www.bolnica-virovitica.hr/,,,,,,45.8291140,,,,,,,Opća bolnica Virovitica,,,,,,,,,,,
no helipad but open areas nearby,hospital,,,15.9395121,,,,,,8,,,,,,,,,https://www.bolnica-zabok.hr/,,,,049/204-000,,46.0164309,,,,Bračak,,,Opća bolnica Zabok,,,49210,,Bračak,,hospital,,,,
,hospital,,,15.2323634,,,,,,,,,,,,,,,https://www.bolnica-zadar.hr/,,,,,,44.1082975,,,,,,,Opća bolnica Zadar,,,,,,,,,,,
,hospital,,,15.8987002,,,,,,,,,,,,,,,http://www.bolnica-sibenik.hr/,,,,,,43.7328695,,,,,,,Opća bolnica Šibenik,,,,,,,,,,,
,hospital,,,17.1887587,,,Županijska bolnica Pakrac,,,,,,4,,,,,,,,,yes,,,45.4308902,,,,Bolnička,yes,,Opća županijska bolnica Pakrac,,,34550,,Pakrac,,,,,,
,hospital,,,17.6980074,,,,,,107,,,,,,,info@pozeska-bolnica.hr,,http://www.pozeska-bolnica.hr/,,,,+385 34 254 555,,45.3444037,,,,Osječka ulica,,,Opća županijska bolnica Požega,,,34000,,Požega,,hospital,,,,
,hospital,,,18.9930674,,,,,,,fence,,,,,,,,,,,,,,45.3582819,,,Опћа болница Вуковар,,,,Opća županijska bolnica Vukovar,,,,,,,,Opća bolnica Vukovar,,,
,hospital,,,14.7191002,,,,,,,,,,,,,,,,,,,,,44.7805069,,,,,,,Psihijatrijska bolnica Rab,,,,,,,,,,,
,hospital,,,15.0998860,,,,,,,,yes,,,,,,,,,,,,,44.1127479,,,,,,,Psihijatrijska bolnica Ugljan,,,,,,,,,,,
,hospital,,,16.0032701,,,,,Klinički bolnički centar Zagreb,,,,,,,,,,http://www.kbc-zagreb.hr/o-nama/klinike-i-zavodi/,,,yes,,,45.8248529,,,,,,,Rebro,,,,,,,,,,,
,hospital,,,16.3856771,,,,,,,,,,,,,,,,,,,,,45.7060954,,,,,yes,,Specijalna bolnica za kožna i reumatska oboljenja,,,,,,,,,,,
,hospital,,hr:Dvorac Oršić u Gornjoj Bistri,15.9040805,,Q12630305,,,,21,,,,,,,info@bolnica-bistra.hr,,http://www.bolnica-bistra.hr/,,,yes,01/3391-111,,45.9168105,,,,Bolnička ulica,yes,,Specijalna bolnica za kronične bolesti dječje dobi,,,10298,,Gornja Bistra,,hospital,,,,
,hospital,,,16.7127248,,,,,,,,,,,,,,,,,,,,,42.9684115,,,,,yes,,Specijalna bolnica za medicinsku rehabilitaciju Kalos,,,,,,,hospital,,,,
,hospital,,,15.8370606,,,,,,2,,,,,,,info@sbkt.hr,,https://www.sbkt.hr/,+385 49 232 140,,,+385 49 383 100,,46.0950061,,,,Ulica Ljudevita Gaja,,,Specijalna bolnica za medicinsku rehabilitaciju Krapinske Toplice,,,49217,,Krapinske Toplice,,,,,,
,hospital,,,15.9339287,,,,,,1,,,,,,,info@sbst.hr,,http://sbst.hr/,+385 49 201 005,,,+385 49 201 000,,45.9774803,,,,Park Matije Gupca,,,Specijalna bolnica za medicinsku rehabilitaciju Stubičke Toplice,,,49244,,Stubičke Toplice,,hospital,,,,
,hospital,,,15.4469084,,,,,,,,,,,,,,,https://www.ortopedija-biograd.hr/,,,,,,43.9484945,,,,,,,Specijalna bolnica za ortopediju,,,,,,,,,,,
,hospital,,,18.4608802,,,,,Klinička bolnica Osijek,,,,,,Bing,,,,,,,,,,45.5836349,,,,,,,Specijalna bolnica za rehabilitaciju Bizovac,,,,,,,,,,,
,hospital,,,14.4699610,,,,,,3,,,,,,,,,,,,,,,45.3264642,,,,Tome Strižića,,,Sušačka bolnica,,,51000,,Rijeka,,hospital,,,,
,hospital,,,15.9967865,,,,,,4a,,,,,,tar_paper,,,http://www.idb.hr,,"KLINIČKA BOLNICA MERKUR MEDICINSKI FAKULTET SVEUČILIŠTA U ZAGREBU SVEUČILIŠNA KLINIKA ZA DIJABETES, ENDOKRINOLOGIJU I BOLESTI METABOLIZMA VUK VRHOVAC",,+385 1 2353 800,,45.8202629,,,,Dugi dol,yes,,Vuk Vrhovac,,flat,,,,,,,,,
,hospital,,,16.2898868,,,,,,,,,,,,,,,,,,no,,,45.8228724,,,,,,,dom zdravlja Brckovljani,,,,,,,,,,,
,hospital,,,16.4320657,,,,,,1E,,,,,,,,,http://www.bolnica-cakovec.hr/,,,yes,,,46.3942602,Kórház,,,Ivana Gorana Kovačića,,,Županijska bolnica Čakovec,,,40000,,Čakovec,,hospital,,,,
