health_facility:type,office,healthcare:speciality,building:part,social_facility,name:ca,addr:housenumber,created_by,name:de,source,emergency_telephone_code,addr:village,addr:street:ca,contact:website,fax,short_name:es,short_name,building:roof,leisure,municipio,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,catastro:ref:street,addr:postcode,roof:material,name:etymology:wikidata,roof:orientation,source:geometry:date,name:eu,disused,name:es,int_name,designation,owner,loc_name,name:ast,description,network,lon,ine:municipio,access,mapillary,brand:wikidata,mappinggroup,ref,email,highway,entidad,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:ca,air_conditioning,emergency,b5m:urlOrto,addr:city,building:cladding,toilets:wheelchair,building:facade:material,image,roof:colour,layer,height,lat,alt_name,operator,ele,brand:wikipedia,fee,area,opening_hours,contact:phone,addr:housename,parroquia,catastro:ref,start_date,website,entrance,nohousenumber,source:date,phone,source:data,old_name,smoking,architect,landuse,source:amenity,wheelchair,history,amenity,operator:type,source:geometry,addr:hamlet,addr:unit,source:opening_hours,building:level,wikidata,addr:street:es,sport,medical_system:western,addr:district,building:levels,note,phone_1,b5m:url,source:addr,building:material,fence_type,emergency_phone,b5m:id,short_name:gl,date,local_code,03_tr_E_ID,building:shape,building,building:colour,addr:city:es,roof:levels,addr:place,name:gl,building:levels:underground,healthcare,addr:country,urgency
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori de Premià de Mar,,,,,,,,,,,,,,,,,,,2.3535766,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4943195,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori de Vilassar de Mar,,,,,,,,,,,,,,,,,,,2.3857377,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5020346,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-8.1627326,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4041900,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,30,,,Getxo open data,,,,,,,,,,,Alango Kalea,,,,,Ambulatorio,,,,48992,,,,,,,,,,,,,,,-3.0073780,,,,,,,,,,,,,,,,,no,,Getxo,,,,,,,,43.3464521,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,0,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-2.9884600,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2451073,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-1.0961421,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4890539,,,,,,,24/7,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-2.2421383,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2123039,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-2.7302843,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2179712,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-6.0410842,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4322358,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-4.2011208,,,,,,,,,,,,,,,,,yes,,,,,,,,,,37.4400283,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-2.0948292,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6942341,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-3.5389554,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6262401,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,Eusko Jaurlaritza-Gobierno Vasco,,,,,,,,,,,Espetxe plaza/Plaza la Cárcel,,,,,Ambulatorio,,,,01300,,,,,,,,,,,,,,,-2.5842605,,,,,,,,,,,,Araba/Álava,,,,,,,Laguardia,,,,,,,,42.5520871,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,ES,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-4.5841900,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3410396,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Avenida Encartaciones,,,,,Ambulatorio,,,,48800,,,,,,,,,,,,,,,-3.1984038,,,,,,,,,,,,,,,,,,,Balmaseda,,,,,,,,43.1915764,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,-4.2067348,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0831112,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio CAP Nord,,,,,,,,,,,,,,,,,,,2.0834513,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5724337,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Calle Ferial,,,,,,,,,,,,,,,,,,,-3.1588153,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6250991,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Séneca,,,,,Ambulatorio Casines,,,,11510,,,,,,,,,,,,,,,-6.1754657,,,,,,,,,,,,,,,,,,,Puerto Real,,,,,,,,36.5248506,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,,,,PNOA;catastro,,,,,,,,,,,,,,,,Ambulatorio Doutor López Suarez,,,,,,,,,,,,,,,,,,,-7.5140663,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5237801,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Dr. Avelino Gonzalez,,,,,,,,,,,,,,,,,,,-5.6788659,,,,,,,,,,,,,,,,,,,Gijón,,,,,,,,43.5295997,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Nafarroa hiribidea,,,,,Ambulatorio Dumboa,,,,20304,,,,,,,,,,,,,,,-1.7810874,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3402233,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,field_work,,,,,,,,,,,,,,,,Ambulatorio Florida-Babel,,,,,,,,,,,,,,,,,,,-0.5097520,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3409751,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,Gipuzkoa,,,,,Ambulatorio Irún Centro Hermanos Iturrino,,,,20302,,,,,,,Ambulatorio Irún-Centro Hermanos Iturrino,,,,,,,,-1.7952900,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3374878,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio La Zubia,,,,,,,,,,,,,,,,,,,-3.5819558,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1148872,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Los Ángeles,,,,,,,,,,,,,Ambulatorio,,,,,,-3.7175320,,,,,,,,,,,,,,,,,yes,,,,,,,,,,40.3098770,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Markonzaga,,,,,,,,,,,,,,,,,,,-3.0064550,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3061158,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Mieres Norte,,,,,,,,,,,,,,,,,,,-5.7783854,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2535482,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,4,,,,,,,,,,,,,,public,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Puerta de la Villa,,,,,,,,,,,,,,,,,,,-5.6650860,,,,,,,,,,,,,,,,,,,Gijón/Xixón,,,,,,,,43.5387085,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Salud,,,,,,,,,,,,,,,,,,,-3.2246832,,,,,,,,,,,,,,,,,yes,,,,,,,,,,39.3906399,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Seguridad Social,,,,,,,,,,,,,,,,,,,-3.3298199,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5508421,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Seguridad Social,,,,,,,,,,,,,,,,,Solo mañanas,,-4.1245386,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4688213,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Virxe Peregrina,,,,,,,,,,,Ambulatorio Virgen Peregrina,,,,,,,,-8.6493216,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4314563,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,Ambulatorio Virxe Peregrina,,clinic,,
,,,,,,9,,,,,,,,,,,,,,Calle La Felicidad / La Felicidad kalea,,,,,Ambulatorio Zabala II,,,,48901,,,,,,,Zabala II Anbulatorioa,,,,,,,,-2.9905741,,,,,,,,,,,,,,,,,,,Barakaldo,,,,,,,,43.2985540,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,apartments,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Zalla,,,,,,,,,Anbulategia,,,,,,,,,,-3.1328435,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2154068,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Zuazo-Arteagabeitia,,,,,,,,,,,,,,,,,,,-2.9885731,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2925688,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,b5m.gipuzkoa.net,,,,,,,,,,,,,,,,Ambulatorio Zumarraga,,,,,,,,,,,,,,,,,,,-2.3203658,,,,,,,,,,,,,,,,,yes,,,,,,,,,,43.0878488,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Aguacate,,,,,,,,,,,,,,,,,,,-3.7481732,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3732824,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Astrabudua,,,,,,,,,,,,,,,,,,,-2.9812101,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3171961,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,apartments,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Basauri,,,,,,,,,Basauriko Anbulatorioa,,,,,,,,,,-2.8837405,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2379787,,Osakidetza - SVS,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,49,,,,,,,,,,,,,,Rúa Médico Francisco González Rey,,,,,Ambulatorio de Celanova,,,,,,,,,,,,,,,,,,,-7.9538752,,,,,,,,,,,,,,,,,,,Celanova,,,,,,,,42.1553628,,Sergas,,,,,,,,,,,https://www.sergas.es/,,,,+34 988451619,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Ciudad Jardín,,,,,,,,,,,,,,,,,,,-2.4531902,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8317158,,,,,,,,,,,,,,,,,+34 950186780,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Cruces,,,,,,,,,,,,,,,,,,,-2.9859596,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2796934,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Especialidades,,,,,,,,,,,,,Ambulatorio de Especialidades,,,,,,-5.4625317,,,,,,,,,,,,,,,,,no,,,,,,,,,,37.1211425,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Galdakao,,,,,,,,,,,,,,,,,,,-2.8446490,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2342259,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Lartzabal auzoa,,,Lartzabal Anbulategia,,Ambulatorio de Larzabal,,,,20100,,,,,,,,,,,,,,,-1.8827885,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3100072,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,Barrio Larzabal,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Linares,,,,,,,,,,,,,,,,,,,-3.6366929,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0980320,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Montcada i Reixac,,,,,,,,,,,,,,,,,,,2.1880160,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4819665,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Eusko Jaurlaritza/Gobierno Vasco,,,,,,,,,,,,,,,,Ambulatorio de Plentzia,,,,,,,,,,,,,,,,,,,-2.9503328,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4057318,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Repélega,,,,,,,,,Errepelegako osasun etxea,,,,,,,,,,-3.0162655,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3148596,,,,,,,Mo-Fr 08:30-20:00,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de San Antonio de Benagéber,,,,,,,,,,,,,,,,,,,-0.5015749,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5603047,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de San Miguel,,,,,,,,,,,,,,,,,,,-2.8865319,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2218394,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,1,,,,,,,,,,,,,,Calle Elexalde / Elexalde kalea,,,,,Ambulatorio de San Vicente,,,,48902,,,,,,,,,,,,,,,-2.9972294,,,,,,,,,,,,,,,,,,,Barakaldo,,,,,,,,43.2962137,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,clinic,,
,,general,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de la Cuadriella,,,,,,,,,,,,,,,,,,,-5.7498690,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2093801,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio del SAS,,,,,,,,,,,,,,,,,,,-5.4939680,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1831362,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Anbulategia,,,,,,,,,,,,,,,,,,,-2.4341303,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3196419,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Anbulategia,,,,,,,,,,,,,,,,,,,-2.7757526,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1625253,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Anbulategia,,,,,,,,,,,,,,,,,,,-2.7904210,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1563144,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Anbulategia,,,,,,,,,,,,,,,,,,,-2.0347602,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1031657,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Area Basica de Salud,,,,,,,,,,,,,,,,,,,2.9535208,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0703782,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Areetako anbulategia,,,,,,,,,,,,,,,,,,,-3.0084957,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3239528,,Osakidetza,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Avenida de la Cruz Roja Española,,,,,Asamblea local Cruz Roja,,,,23440,,,,,,,,,,,,,,,-3.4551666,,,,,,,,,,,,,,,,,,,Baeza,,,,,,,,37.9986971,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Asepeyo,,,,,,,,,,,,,Instituto de salud laboral,,,,,,-6.0082069,,,,,,,,,,,,,,,,,yes,,,,,,,,,,37.4027576,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Asepeyo,,,,,,,,,,,,,,,,,,,2.1547771,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3971690,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,11,,,,,,,,,,,,,,office,,,,,,4,,,
