amenity,layer,operator,addr:housenumber,barrier,building:levels,opening_hours,contact:phone,lon,source,email,website,name:lt,phone,lat,smoking,addr:street,building,name,roof:shape,addr:postcode,level,addr:city,healthcare,addr:country
clinic,,,21,,,Mo-Fr 8:00-16:00,,21.1298916,,,https://kraujotyrimai.lt/,,+370 616 23 356,55.7163282,,Šaulių g.,yes,Medicininių tyrimų laboratorija „Antėja“,,,,Klaipėda,,
clinic,,,245,,,,,23.9365507,,,,,,54.9126201,,Savanorių pr.,yes,Motina ir vaikas,,,,Kaunas,,
clinic,,,4,,,,,21.1278245,,,https://www.rkligonine.lt/odos-ir-veneriniu-ligu-poliklinika,,+370 46 410 587,55.7103455,,Jūros g.,yes,Odos ir venerinių ligų poliklinika,,,,Klaipėda,,
clinic,,,6,,,,,24.3652325,,,,,,55.7336978,,A. Jakšto g.,yes,Panevėžio m. konsultacinė poliklinika,,,,Panevėžys,,
clinic,,,4,,,Mo 8:00-18:00; Tu 8:00-18:00; We 8:00-18:00; Th 8:00-18:00; Fr 8:00-18:00; Sa 8:00-13:00,,23.9438370,,,http://www.prienupspc.lt/?page_id=96,,+370 319 60 156,54.6329533,,Revuonos g.,yes,Prienų PSPC Vaikų poliklinika,,,,Prienai,,
clinic,,,2,,,,,23.9615448,,,,,,54.6313781,,Pušyno g.,yes,Prienų pirminės sveikatos priežiūros centras,,59124,,Prienai,,
clinic,,,49,,,Mo-Fr 8:00-18:00,+370 46 402 344,21.1247203,,,https://www.rkligonine.lt/konsultacine-poliklinika,,+370 46 410 683,55.7202741,,H. Manto g.,yes,"Respublikinė Klaipėdos Ligoninė, VšĮ Konsultacinė poliklinika",,,,Klaipėda,,
clinic,,,3,,2,,,25.2375145,,,https://riesesklinika.lt/,,,54.8097535,,Sporto g.,yes,Riešės šeimos klinika,,,,Riešė,,
clinic,,,1A,,,,,25.5813302,,,,,,55.9687664,,Juodupės g.,yes,Rokiškio pirminės asmens sveikatos priežiūros centras,,,,Rokiškis,,
clinic,,,27,,,,,25.2866592,,,,,,54.7313516,,Pušyno kel.,yes,"Sanatorija „Pušyno kelias“, vaikų skyrius",,,,Vilnius,,
clinic,,,51B,,,,,23.9627459,,,,,,54.9122128,,Taikos pr.,yes,Saulės Šeimos medicinos centras,,,,Kaunas,,LT
clinic,,,27D,,,,,23.9599959,,saulescentras@gmail.com,https://www.saulescentras.lt/,,+370 37 244942,54.9215235,,Partizanų g.,yes,Saulės šeimos medicinos centras,,,,Kaunas,,
clinic,,,54,,,,,25.5973730,,,,,,55.4980503,,J. Basanavičiaus g.,yes,Sveikatos centras Šalavijas,,,,Utena,,LT
clinic,,,5,,,,,23.9397099,,,,,,54.9040412,,J. Basanavičiaus al.,yes,"UAB Mezoderma, dermatologija, estetinė medicina",,,,Kaunas,,
clinic,,,48B,,,Mo-Fr 08:00-19:00,,21.1500696,,,https://uostopoliklinika.lt/,,+37064021277,55.6941986,,Taikos pr.,yes,Uosto poliklinika,,,,Klaipėda,clinic,
clinic,,,5,,,,,25.5908272,,,,,,55.5090118,,Aukštakalnio g.,hospital,Utenos pirminės sveikatos priežiūros centras,,28151,,Utena,,
clinic,1,,2,,,,,23.0315022,,,,,,54.6502338,,P. Jašinsko g.,yes,Vilkaviškio poliklinika,,70103,,Vilkaviškis,,
clinic,,,80,,,,,24.7530951,,,,,,55.2448065,,Kauno g.,yes,Vilkmergės klinika,,20115,,Ukmergė,,
clinic,,,18,,,"Mo-Fr 07:00-20:00, Sa 08:00-12:00",,25.2750392,,,,Vilniaus m. Naujininkų poliklinika,,54.6607548,,Dariaus ir Girėno g.,yes,Vilniaus m. Naujininkų poliklinika,,,,Vilnius,,
clinic,,,48,,,,,25.3046389,,,,,,54.7410520,,Svajonių g.,yes,Vitkus Clinic,,,,Vilnius,clinic,
clinic,,,10A,,,Mo-Th 8:00-19:00; Fr 8:00-18:00 (registratūra) Fr 8:00-19:00 (baseinas),,21.1512392,,,https://www.vetrungesklinika.lt/,,+370 46 410 570,55.6994164,,Paryžiaus Komunos g.,yes,Vėtrungės klinika,,,,Klaipėda,clinic,
clinic,,,86,,,,,25.4719822,,,http://www.nempol.lt/,,,54.8528123,,Švenčionių g.,hospital,VŠĮ Vilniaus rajono Nemenčinės poliklinika,,15168,,Nemenčinė,,
clinic,,,46,,,Mo-Fr 8:00-20:00; Sa 9:00-13:00,,21.1492715,,,http://www.jspc.lt/,,+370 46 383 460,55.6942736,,Taikos pr.,yes,VšĮ Jūrininkų sveikatos priežiūros centras,,91213,,Klaipėda,,
clinic,,,4,,,,,26.2555492,,,,,,55.7329190,,Malūno g.,yes,Zarasų pirminės sveikatos priežiūros centras,,,,Zarasai,,LT
clinic,,,423,,,,,23.9667269,,,,,,54.9260783,,Savanorių pr.,yes,Šeimos klinika,,,,Kaunas,,
clinic,,,6,,,,,21.1575837,,,http://jolsana.lt/,,,55.6730687,,Deimės g.,house,„Jolsana“ medicinos centras,,,,Klaipėda,,
