roof:levels,amenity,features,healthcare:speciality,building:part,addr:place,contact:website,roof:colour,telephone,official_name,WroclawGIS:building:ID,alt_name,operator,name:pl,building:fireproof,source:addr,addr:housenumber,building:levels,opening_hours,image,contact:phone,lon,name,note,source,mapillary,roof:material,addr:street:sym_ul,email,website,description,emergency,building:material,phone,facebook,lat,addr:city:simc,addr:street,building,building:colour,name:en,addr:city,roof:shape,url,addr:postcode,wheelchair,source:geometry,building:usage:pl,building:use:pl,building:levels:underground,healthcare,addr:country
,dentist,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),67,,,,,20.8782774,Centrum Stomatologii New Dent,,,,,,,,,,,+48 41 2515263,,51.1236919,,Spółdzielcza,yes,,,Skarżysko-Kamienna,,,26-110,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),70,,,,,16.8897495,Centrum Stomatologii Uniwersytetu Medycznego,,http://ump.waw.pl/ retrieved 15:05:23 06/30/09 (UMP-Poznan/src/POZNAN.ulice.txt),,,,,,,,,+48 61 854 70 01,,52.4080713,,Bukowska,university,,,Poznań,,,60-812,,,,,,,PL
,dentist,,,,,,,,,,,,,,,31C,,,,,19.4051495,Centrum Uśmiechu Stomatologia,,,,,,,,,,,,,50.1312160,,Mydlana,yes,,,Chrzanów,,,32-500,,,,,,,
,dentist,,,,,,,,,,,,,,,5,,Mo-Fr 08:00-20:00; Sa 08:00-13:00,,,18.4152998,Danuta Marcjasz Gabinet Stomatologiczny,,,,,,,,,,,,,50.8823165,,Lipowa,commercial,,,Olesno,,,46-300,,,,,,,
,dentist,,,,,,,,,,,,,,,17,,,,,15.4911398,Den-Med,,,,,,,,,,,,,51.9357754,,Łużycka,yes,,,Zielona Góra,,,65-601,,,,,,dentist,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),29,2,Mo-Fr 08:00-20:00,,,18.0778334,Dental Care,,,,,,,http://dentalcare.kalisz.pl/,,,,,,51.7545975,,Stanisława Staszica,commercial,,,Kalisz,,,62-800,,,,,,,
,dentist,,,,,,,,,,,,,,,19,2,,,,18.5053864,Dental Centrum,,survey,,,,,http://www.dentalcentrumpl.com/,,,,,,54.3551948,,Inżynierska,commercial,,,Gdańsk,,,80-298,,geoportal.gov.pl:ortofoto,,,,dentist,
,dentist,,,,,,,,,,,,,,,1b,1,,,,19.0882169,Dental Danecka - klinika stomatologiczna,,Starostwo Powiatowe Będzin,,,,rejestracja@dentaldanecka.pl,www.dentaldanecka.pl,,,,(32) 360 60 24; (32) 360 13 20; 514 775 797,,50.3821490,,Szosowa,healthcare,,,Strzyżowice,,,42-575,,,,"Szpital lub zakład opieki medycznej, socjalnej",,,
,dentist,,,,,,,,,,,,,,,23,,,,,19.0121861,Dental-MED,,UM Katowice,,,,,,,,,,,50.2499682,,Generała Józefa Zajączka,yes,,,Katowice,,,,,,,,,,
,dentist,,,,,,,,,,,,,,,2,,,,,16.3076384,Dentalvit,,,,,,,,,,,602 22 60 70,,50.8596775,,Wzgórze Gustava Beckera,house,,,Świebodzice,,,58-160,,,,,,,PL
,dentist,,,,,,,,,,,,,,emuia.gugik.gov.pl,76,,,,,19.3159162,Denti-Med,,,,,15498,,,,,,,,51.8137121,0958654,Pabianicka,retail,,,Aleksandrów Łódzki,,,95-070,,,,,,,PL
,dentist,,,,,,,,,,,,,,EMUiA@iMPA (mgrybow.e-mapa.net),17,,,,,20.9518992,Dentysta,,,,,,,,,,,,,49.6231571,,Tadeusza Kościuszki,yes,,,Grybów,,,,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,19.2036667,Dentyści,,Bing,,,,,,,,,,,50.3250707,,,commercial,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,,,,,,18.9734838,Diament,,,,,,,,,,,,,50.1147798,,,yes,,,,,,,,,,,,,
,dentist,,,,,,,,,,,,,,mapa.um.warszawa.pl,76,,,,,20.9789214,Dorodent,,,,,12740,,https://dorodent.com.pl/,,,,,,52.2787220,0918123,Adama Mickiewicza,yes,,,Warszawa,,,01-650,,,,,,,
,dentist,,dentistry,,,,,,,,,,,,,7A,,We-Th 17:00-19:00,,,18.9367386,EWADEMKO,,local knowledge,,,,,www.ewadent.pl,"Budynek pod adresem Grunwaldzka 7 jest budynkiem mieszkalnym, natomiast znajduje się tam również stomatolog pod adresem 7A.  Building in Grunwaldzka 7 is a normal house building, but on 7A is dentist. It is same building.",,,+48 606 417 484,,53.7329120,,Grunwaldzka,yes,,,Kwidzyn,,,82-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,,,,,,19.6971723,Emidental,,,,,,,http://emidental.pl,,,,+48505065351,,51.9576916,,,yes,,,,,,,,geoportal.gov.pl:BDOT,,,,,
,dentist,,,,,,,,,,,,,,,48,,,,,18.9702641,Enco-Medica,,UM Tychy,,,,,,,,,,,50.1165341,,Ksawerego Dunikowskiego,yes,,,Tychy,,,43-100,,,,,,,
,dentist,,,,,,,,,,,,,,,,2,Mo-Fr 10:00-20:00,,,21.0292664,Endomed,,,,,,,,,,,,,52.0735103,,,office,,,,,,,yes,,,,,dentist,
,dentist,,,,,,,,,,,,,,,45,,Mo-Fr 10:00-19:00,,,19.4080491,Endopoint,,,,,,,,,,,"+48 32 623 61 40,+48 570 412 342",,50.1370276,,Kadłubek,yes,,,Chrzanów,,,32-500,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,21.4848039,Esdentica,,,,,,,,,,,,,49.7546859,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,,,,,,19.4158829,Estetik,,,,,,,,,,,,,54.1863268,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,+48 61 812 25 35;+48 501 283 284,,,,,,,,,,Mo-Fr 10:00-19:00,,,16.9911335,Euro-Dent,,,,,,klinika@euro-dent.pl,http://euro-dent.pl/,,,,,,52.5693114,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,mkonstantynowlodzki.e-mapa.net,52,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,19.3319165,Euroklinika Implantologiczna,,,,,,kontakt@euroklinika.eu,http://www.euroklinika.eu/,,,,+48 608 017 232,,51.7390671,,Srebrzyńska,house,,,Konstantynów Łódzki,,,95-050,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (mturek.e-mapa.net),27,,Mo 12:00-18:00; Tu 07:30-13:30; We 13:00-19:00; Th 13:30-18:00,,,18.5056371,FAdent,,,,,,,,,,,+48601450751,,52.0110800,,Dobrska,yes,,,Turek,,,62-700,,geoportal.gov.pl:ortofoto,,,,dentist,
,dentist,,dentistry,,,,,,,,,Frankowski - Malo Clinic,,,Urząd Miasta Gdańsk,19,1,Mo-Fr 08:00-20:00,,,18.5724052,Frankowski - Malo Clinic - Dentysta,,,,,,gdansk@frankowski-maloclinic.pl,https://frankowski-maloclinic.pl/,,,,+48 58 622 06 26;+48 606 607 810,,54.4176332,,Subisława,commercial,,,Gdańsk,,,80-354,,,,,,dentist,PL
,dentist,,,,,,,,,,,,,,,25,,,,,18.1406368,Gabinet Stomatologiczny,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,,50.3371671,,Piastowska,residential,,,Kędzierzyn-Koźle,,,47-200,,,,,,,
,dentist,,,,,,,,,,,,,,,23,,,,,19.3060188,Gabinet Stomatologiczny,,,,,,,,,,,+48427124983,,51.8151725,,Pabianicka,commercial,,,Aleksandrów Łódzki,,,95-070,,,,,,,PL
,dentist,,,,,,,,,,,,,,,1,2.0,,,,19.2707465,Gabinet Stomatologiczny,,UM Jaworzno,,,,,,,,brick,,,50.2051655,,Ignacego Jana Paderewskiego,yes,,,Jaworzno,,,43-600,,,,,,,
,dentist,,,,,,,,,,,,,,,2b,,,,,19.4582974,Gabinet Stomatologiczny,,,,,,,,,,,,,52.4260666,,Parkowa,yes,,,Gostynin,,,09-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,kepno.e-mapa.net,19c,,,,,17.9922271,Gabinet Stomatologiczny,,,,,34169,,,,,,,,51.2846906,0936871,Aleje Karola Marcinkowskiego,yes,,,Kępno,,,63-600,,,,,,,
,dentist,,,,,,,,,,,,,,,59,,,,,18.7834278,Gabinet Stomatologiczny Alicja Litwin,,,,,,,,,,,,,52.8726257,,Zdrojowa,house,,,Ciechocinek,,,87-720,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,18.9303833,Gabinet Stomatologiczny Alicja Wojewoda,,,,,,,,,,,,,50.3228892,,Świętych Cyryla i Metodego,yes,,,Bytom,,,41-909,,,,,,,PL
,dentist,,,,,,,,,,,,,,,,,,,,21.9592254,Gabinet Stomatologiczny Dentar,,,,,,,,,,,,,50.1527111,,,yes,,,,,,,,geoportal.gov.pl:ortofoto,,,,,
,dentist,,,,,,,,,,,,,,UM Biłgoraj (emuia.gugik.gov.pl),13a,,,,,22.7122169,Gabinet Stomatologiczny Ewa Fedak,,,,,,,,,,,+48846861966,,50.5269875,,Henryka Sienkiewicza,yes,,,Biłgoraj,,,23-400,,,,,,,
,dentist,,,,Spytkowice,,,,,,,,,,emuia.gugik.gov.pl,429,,Mo 14:00-20:00; Tu-We 08:00-13:00; Th 14:00-20:00; Fr 08:00-13:00; Sa-Su off,,,19.8346358,Gabinet Stomatologiczny Krystyna Wawrzykowska,,,,,,,,,,,182688252,,49.5818734,0462982,,yes,,,,,,34-745,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),36a,,Mo-Fr 10:00-20:00,,,16.9309491,Gabinet Stomatologiczny Laser Plus,,,,,,,https://www.laserplus.com.pl/,,,,+48 61 826 99 26,,52.4304103,,Pasieka,yes,,,Poznań,,,61-657,,,,,,,PL
,dentist,,,,,,,,,,,,,,,22a,,,,,22.5300354,Gabinet Stomatologiczny MARDENT,,,,,,,https://mardent.lublin.pl,,,,+48 81 741 22 57,,51.2610340,,Generała Bolesława Ducha,yes,,,Lublin,,,20-817,,,,,,,
,dentist,,,,,,,,,,,,,,,28,,Mo 08:30-13:30,,,18.7962775,Gabinet Stomatologiczny MOLAR,,,,,,kontakt@stomatologiamolar.pl,http://www.stomatologiamolar.pl,,,,+48609571115,,50.2941036,,Szkolna,commercial,,,Zabrze,,,41-800,,,,,,,
,dentist,,,,,,,,,,,,,,,23A,,,,,18.4152578,Gabinet Stomatologiczny Marianna Sosnowska-Wieczorek,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,,,50.8802268,,Ignacego Krasickiego,detached,,,Olesno,,,46-300,,,,,,,
,dentist,,,,,,,,,,,,,,,21,1,,,,19.7629708,Gabinet dentystyczny,,,,,,,,,,,,,52.5420927,,Aleja Armii Krajowej,yes,,,Płock,,,09-410,,,,,,,
,dentist,,,,,,,,,,,,,,,31,,,,,19.4695218,Gabinet stomatologiczny Ana-dent,,,,,,,,,,,,,52.4184760,,18 Stycznia,yes,,,Gostynin,,,09-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,,,,,,19.0844036,Gabinet stomatologiczny Dekodent,,,,,,,,,,,,,50.8930737,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),9,,,,,18.5977820,Gabinet stomatologiczny EG,,,,,,,,,,,566600455,,53.0340761,,Sylwestra Kaliskiego,yes,,,Toruń,,,87-100,,,,,,,
,dentist,,,,,,,,,,,,,,,25,,,,,18.4695984,Gabinety dentystyczne KJ,,,,,,,,,,,,,54.4292617,,Wacława Balcerskiego,yes,,,Gdańsk,,,80-299,,,,,,,
,dentist,,,,,,,,,,,,,,,1-2,,,,,18.6612374,Gajda Aleksandra Pracownia Protetyczna,,,,,,,,,,,,,54.3461528,,Szopy,yes,,,Gdańsk,,,80-762,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,17,,,,,17.8406137,Grupowa Praktyka Stomatologiczna Małgorzata i Paweł Gawrońscy,,,,,,,,,,,,,51.6381531,,Aleja Solidarności,yes,,,Ostrów Wielkopolski,,,63-400,,,,,,,
,dentist,,,,Włodowice,,,,,,,,,,emuia.gugik.gov.pl,12a,,,,,16.4827058,Indywidualna Praktyka Lekarska Małgorzata Wojdyła-Turek,,,,,,,,,,,,,50.5790703,0854529,,residential,,,,,,57-400,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),23,,,,,18.7747084,Ja-Fi Dent,,Bing,,,,,http://www.janeczekdentysta.pl/index.html,,,,,,50.3793365,,Bytomska,yes,,,Wieszowa,,,42-672,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,12,,Mo-Fr 8:00-20:00; Sa 8:00-13:00,,,16.5786665,K-Med,,,,,,,http://www.artofsmile.pl,,,,61 29 29 036,,52.6125099,0971531,Garncarska,yes,,,Szamotuły,,,64-500,,,,,,,
,dentist,,,,,,red,,,,,,,,lwowekslaski.e-mapa.net,23b,1,,,,15.5710368,Kantor,,,,,02849,,,,,,,,51.1105508,0936227,Fryderyka Chopina,yes,gray,,Lwówek Śląski,hipped,,59-600,,"geoportal.gov.pl, GPS",,,,dentist,
,dentist,,,,,,,,,11849,,,,,,20,,,,,17.0375112,Katarzyna Trojniak,,,,,10727,,,Usługi stomatologiczne i laseroterapia,,,,,51.0751870,,Lądecka,yes,,,Wrocław,,,50-559,,,,,,,PL
,dentist,,,,,http://www.kordent.com.pl/,,,,,,,,,,6,,,,+48 22 7819635;+48 608535345,21.1549494,Kordent,,,,,,,,,,,,,52.3137935,,Lipowa,yes,,,Zielonka,,,05-220,,,,,,,PL
,dentist,,,,,,,,,,,,,,,,2,"Mo-Fr 08:00-20:00;Su, Sa Off",,,16.9255385,MEDIDENT,,,,,,,http://www.medident.pl/,,,,+48 61 823 17 01,,52.4538657,,,yes,,,,,,,yes,,,,,dentist,
,dentist,,,,,,,,,,,,,,szamotuly.e-mapa.net,16,1,,,,16.5900745,Ma-Dent - Gabinet stomatologiczny,,,,,,,,,,,,,52.6059909,0971531,Łąkowa,yes,,,Szamotuły,,,64-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,35,,,https://images.mapillary.com/rOk0TDW8aGHv0AtMwJEYuA/thumb-2048.jpg,,15.4737746,Malanowscy Stomatologia i medycyna estetyczna,,,https://www.mapillary.com/map/im/rOk0TDW8aGHv0AtMwJEYuA,,,,http://malanowscy.pl/,,,,,https://www.facebook.com/malanowscyZG/?_rdc=1&_rdr,51.9433855,,Prosta,yes,,,Zielona Góra,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,20,,Mo-Fr 8:00-16:00,,,16.5912562,Marek Fijałkowski,,,,,,,,,,,,,52.6147823,0971531,Aleja Jana Pawła II,commercial,,,Szamotuły,,,64-500,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,+48508721009,16.3474165,Mariusz Wójcik,,Bing,,,,,,,,,,,50.9691309,,,yes,,,,,,,,"geoportal.gov.pl, GPS",,,,,
,dentist,,,,,,brown,,,,,,,,lwowekslaski.e-mapa.net,1,,,,,15.5879752,Matkowska,,,,roof_tiles,,,,,,,,,51.1098586,0936227,Bronisława Malinowskiego,apartments,yellow,,Lwówek Śląski,gabled,,59-600,,,,,,dentist,
,dentist,,,,,,,,,,Mały Pacjent. Stomatologia Anna Słoniowska,,,,EMUiA (emuia.geoportal.gov.pl),31,,,,,19.4313006,Mały Pacjent,,,,,,srebrna31@gmail.com,http://www.malypacjent.pl/,,,,,,51.7939138,,Srebrna,yes,,,Łódź,,,91-334,,,,,,,
,dentist,,,,,,,,,,,,,,mapy.geoportal.gov.pl: Punkty adresowe,1,,,,,15.5826669,Medent,Centrum Medyczno-Stomatologiczne MEDENT,,,,,,http://www.medent.eu,,,,+48 75 644 76 02,,51.2533105,,Czesława Miłosza,yes,,,Bolesławiec,,,59-700,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,19.1988456,Medica Stomatologia,,Bing,,,,,,,,,,,50.3237648,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,mapa.um.warszawa.pl,3C,,,,,20.9153146,Metrodent,,,,,08335,,,,,,,,52.2518249,0918123,Apoloniusza Kędzierskiego,yes,,,Warszawa,,,01-493,,,,,,,
,dentist,,,,,,,,,,,,,,,35,,,,,18.0584659,Mident,,,,,,,,,,,,,51.7594978,,Korczak,yes,,,Kalisz,,,62-800,,,,,,,
,dentist,,,,,,,,,,,,,,strzegom.e-mapa.net,23,,Mo-Fr 09:00-20:00,,,16.3586321,NAVA-DENT,,,,,00432,,,,,,,,50.9648262,0984551,Armii Krajowej,yes,,,Strzegom,,,58-150,,,,,,,PL
,dentist,,,,,http://www.nzoz-alamed.pl/,,,,,,,,,strykow.e-mapa.net,29a,,,,,19.5976172,NZOZ Alamed,,,,,,,,,,,,,51.9055868,,Mikołaja Kopernika,yes,,,Stryków,,,95-010,,,,,,,
,dentist,,,,,,,,,,,,,,,11b,1,,,,19.1163277,NZOZ Medi-Dent,,Starostwo Powiatowe Będzin,,,,,,,,,,,50.3198416,,Biskupa Adama Śmigielskiego,retail,,,Będzin,,,42-500,,,,Handlowo-usługowy,,,
,dentist,,,,,,,,,,,,,,,36,,,,,18.6491344,Na Wzgórzu 36,,UM Cieszyn,,,,,http://nawzgorzu36.pl/,,,,,,49.7432780,,Na Wzgórzu,commercial,,,Cieszyn,,,43-400,,,,,,,
,dentist,,,,,,,,,,,,,,,4a,,,,,19.0439824,Novamed,,,,,,,,,,,,,49.8031831,,Generała Józefa Kustronia,commercial,,,Bielsko-Biała,,,43-316,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,18.8013915,Opiat-Salej Krystyna Gabinet Stomatologiczny,,Bing/UM TG,,,,,,,,,,,50.4782636,,,yes,,,,,,,,,,,,,
,dentist,,,,,,,,,,,,,,,26 A,,,,,16.5799958,Oris,,,,,,,,,,,,,51.8255472,,1 Maja,yes,,,Leszno,,,64-100,,,,,,,
,dentist,,,,,,,,,,,,,,,27,,,,,19.3989330,Ortoclinica,,,,,,,,,,,,,50.1374961,,Sokoła,yes,,,Chrzanów,,,32-500,,,,,,dentist,
1,dentist,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),45,1,,,,17.9191928,Ortodonta,,,,,,,,,,,,,51.4350905,,Leśna,residential,,,Ostrzeszów,hipped,,63-500,,,,,,,
,dentist,,,,,,,,,,,,,,znin.e-mapa.net,1,,,,,17.7122005,PRZYCHODNIA RODZINNA+GABINET STOMATOLOGICZNY,PRYWATNY GABINET STOMATOLOGICZNY MAŁGORZATA KOWALSKA TEL. 511979033,,,,,,,,,,,,52.8504691,,Żytnia,yes,,,Żnin,,,88-400,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,19.6964019,Petromedika,,,,,,,,,,,,,52.5481210,,,yes,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,emuia.gugik.gov.pl,1,,,,,21.7273685,Platinum Clinic Gabinety Specjalistyczne,,,,,05300,platinum_clinic@wp.pl,,,,,884-747-470,,50.6907282,0980926,Konstantego Ildefonsa Gałczyńskiego,yes,,,Sandomierz,,,27-600,,,,,,,
,dentist,,,,,,,,,,,,,,,193,,,,,19.0317097,Poliklinika Stomatologiczna Pod Szyndzielnią,,,,,,,https://www.polmedico.pl/,,,,,,49.7848416,,Aleja Armii Krajowej,,,,Bielsko-Biała,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,mapa.um.warszawa.pl,5,,Mo-Fr 9:00-19:00,,,20.9730573,Polsko-Szwajcarski Instytut Rehabilitacji Dentystycznej,,,,,,,http://irdent.pl/,,,,+48 500 193 813,,52.1922883,,Ustrzycka,yes,,,Warszawa,,,02-141,,,,,,,
,dentist,,,,,,,,,,,,,,,75,,,,,19.3987694,Poradnia Chirurgii Stomatologicznej,,,,,,,,,,,,,50.1348950,,Aleja Henryka,yes,,,Chrzanów,,,32-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,14A,,,,,19.0074383,Primadent,,UM Czechowice-Dziedzice,,,,,,,,,,,49.9131171,,Juliusza Słowackiego,yes,,,Czechowice-Dziedzice,,,43-500,,,,,,,
,dentist,,,,,,,,,,,,,,mapa.um.warszawa.pl,83A,,,,,20.9450441,Prodent,,,,,02125,,,,,,,,52.2699169,0918123,Władysława Broniewskiego,yes,,,Warszawa,,,01-876,,,,,,dentist,
,dentist,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),3,,,,,20.7097534,"Prywatna Przychodnia Stomatologiczna ""DENTRA"" s.c.",,,,,,,,,,,,,49.6268533,,Władysława Broniewskiego,yes,,,Nowy Sącz,,,33-300,,,,,,,
,dentist,healthcare,,,,,,,,,,,,,,23,,,,,16.4943488,Prywatny Gabinet Stomatologiczny,,,,,,,,,,,+48 607 266 532,,50.9399247,,Dworcowa,commercial,,,Żarów,,,58-130,yes,,,,,dentist,PL
,dentist,,,,Zbrachlin,,,,,,,,,,,49a,,,,884 206 781,18.8759213,Prywatny Gabinet Stomatologiczny Emilia Woźniak,,,,,,,,,,,,,52.7883358,,,yes,,,Zbrachlin,,,87-731,,geoportal.gov.pl:ortofoto,,,,,
,dentist,,,,,,,,,,,,,,,9a,,,,,16.0761199,Przychodnia Stomatologiczna Dorodent,,mglogow.e-mapa.net,,,,,http://www.dorodent.pl/index.html,,,,+48 76 835 82 66,,51.6626400,,Wojska Polskiego,yes,,,Głogów,,,67-200,yes,,,,,dentist,
,dentist,,,,,,,,,,,,,,EMUiA@iMPA (kazimierzdolny.e-mapa.net),6,,,,,21.9472830,Przychodnia Stomatologiczna Na sadowej,,,,,,,,,,,,,51.3237862,,Sadowa,yes,,,Kazimierz Dolny,,,24-120,,,,,,,
,dentist,,,,,,,,,,,,Przychodnia lekarsko - stomatologiczna ZOZ,,,3a,,,,,21.2682867,Przychodnia lekarsko - stomatologiczna ZOZ,,,,,,,,,,,,,52.1071218,,Doktora Józefa Geislera,yes,,Dentist,,,,,,,,,,,
,dentist,,,,,,,,,,,,,,EMUiA (mturek.e-mapa.net),2a,,,,,18.4888165,Ru-Dent,,,,,,,,,,,,,52.0106602,,Poduchowne,yes,,,Turek,,,62-700,,geoportal.gov.pl:ortofoto,,,,,
,dentist,,,,,,,,,,,,,,,16,,Mo-Th 12:00-18:00; We 09:00-15:00; Fr 09:00-15:15; Sa 07:00-13:00,,,16.3107559,Stodent,,,,,,,,,,,,,50.8648972,,Henryka Probusa,commercial,,,Świebodzice,,,58-160,,"geoportal.gov.pl, GPS",,,,,PL
,dentist,,,,,,,,,,,,,,,16,,,,,15.4141208,Stomatolog,,,,,,,,,,,,,51.0294506,,Lubańska,residential,,,Gryfów Śląski,,,59-620,,geoportal.gov.pl:BDOT,,,,dentist,
,dentist,,,,,,,,,,,,,,,8,,,,,20.8648517,Stomatolog Dorota Śliwińska,,,,,,,,,,,+48 509752001; +48 41 2521442,,51.1239786,,Świętokrzyska,yes,,,Skarżysko-Kamienna,,,26-110,,,,,,,
,dentist,,,,,,,,,,,,,,,28,,,,,20.8144087,Stomatolog Jacek Napora,,,,,,,,,,,+48 41 2522984,,51.0922162,,17 Stycznia,yes,,,Skarżysko-Kamienna,,,26-110,,,,,,,
