amenity,source_dat,healthcare:speciality,amenity_1,contact:website,wikidata,alt_name,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,source,addr:street,email,website,name:sl,emergency,source:date,phone,lat,addr:city,building,name:en,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:country,healthcare,roof:material,name:it
doctors,,general,,,,Splošna ambulanta Turnišče,Zdravstveni dom Lendava,95,,,,16.3123751,,Ulica Štefana Kovača,,http://www.zd-lendava.si/,,no,,,46.6260350,Turnišče,yes,,Zdravstvena postaja Turnišče,,9224,yes,,,doctor,,
doctors,,general,,,,Splošna ambulanta Črenšovci,Zdravsteni dom Lendava,6,,,,16.2958424,,Ulica Juša Kramarja,,http://www.zd-lendava.si/,,,,+3862 5789 417,46.5688187,Črenšovci,yes,,Zdravstvena postaja Črenšovci,,9232,,,,doctor,,
doctors,,paediatrics;psychiatry;dentistry;gynaecology;emergency;general,,https://www.zd-sezana.si/,,,,"24,26",,24/7,+386 5 73 11 400,13.8711881,,Partizanska cesta,,,,,,,45.7084111,Sežana,yes,,Zdravstveni Dom Sežana,,6210,yes,,SI,doctor,,
doctors,,,,,,,,,,,,15.4283278,,,,,,,,,46.3401570,,yes,,Zdravstveni dom,,,limited,,,,,
doctors,,,,,,,,7,,,,14.1422577,,Trata,,,,,,,46.1024970,Škofja Loka,yes,,Zdravstveni dom,,4224,,,,,,
doctors,,,,,,,,31,,,,14.5441222,,Kvedrova cesta,,,,,,,46.0718751,Ljubljana,yes,,Zdravstveni dom,,1000,,,,,,
doctors,,,,,,,,,,,,14.9508400,,,,,,,,,46.2458763,,yes,,Zdravstveni dom,,,,,,doctor,,
doctors,,,,,,,,24,,,,14.1945567,,Kolodvorska cesta,,,,,,,45.6804740,Pivka,yes,,Zdravstveni dom,,6257,,,,,,
doctors,,,,,,,,4,,,,15.0243633,,Trg 4. julija,,,,,,02 872 34 00,46.5897394,Dravograd,yes,,Zdravstveni dom Dravograd,,2370,,,SI,,,
doctors,,,,,,,,40,,,,15.9928706,website,Partizanska cesta,,https://www.zd-gr.si/,,,,+386 2 5648600,46.6736998,Gornja Radgona,yes,,Zdravstveni dom Gornja Radgona,,9250,,,SI,,,
doctors,,,,,,,,11,,,,15.0850390,,Novi dom,,,,,,,46.1405824,Hrastnik,yes,,Zdravstveni dom Hrastnik,,1430,,,,,,
doctors,,,,,,,,3,,,,14.0301472,,Otona Župančiča,,,,,,,46.0023428,Idrija,yes,,Zdravstveni dom Idrija,,5280,,,,,,
doctors,,,,,,,,148,,,,14.2469876,,Knežak,,,,,,,45.6257123,Knežak,yes,,Zdravstveni dom Ilirska Bistrica,,6253,,,,,,
doctors,,,,,,,,20,,,,15.6172109,,Kalohova ulica,,,,,,,46.5552536,Maribor,yes,,Zdravstveni dom Kalohova,,2000,,,,,,
doctors,,,dentist,,,,,9,,,,15.7948249,,Mladinska ulica,,,,,,+386 (0)2 796 12 21,46.4043345,Kidričevo,yes,,Zdravstveni dom Kidričevo,,2325,,,,,,
doctors,,,,,,,,3,,,,13.7309028,,Dellavallejeva ulica,,http://www.zd-koper.si/,,,,,45.5489476,Koper,yes,,Zdravstveni dom Koper,gabled,6000,,,,doctor,roof_tiles,Casa della Sanitá di Capodistria
doctors,,,,,,,,3,,,,13.7312202,,Dellavallejeva ulica,,http://www.zd-koper.si/,,,,,45.5487532,Koper,yes,,Zdravstveni dom Koper,gabled,6000,,,,doctor,roof_tiles,Casa della Sanitá di Capodistria
doctors,,,,,,,,18,,,,14.8660282,,Roška cesta,,,,,,,45.6397207,Kočevje,yes,,Zdravstveni dom Kočevje,,1330,,,,,,
doctors,,,,,,,,34A,,,,16.1369473,,Križevci pri Ljutomeru,,,,,,,46.5667520,Križevci pri Ljutomeru,yes,,Zdravstveni dom Križevci pri Ljutomeru,,9242,,,,,,
doctors,,,,,,,,,,,,16.1929291,,,,,,,,,46.5217748,,yes,,Zdravstveni dom Ljutomer,,,,,,,,
doctors,,,,,,,,2,,,,14.2277036,,Notranjska cesta,,,,,,,45.9169749,Logatec,yes,,Zdravstveni dom Logatec,,1370,,,,,,
doctors,,,,,,,,"20, 22, 24",,,,16.1615055,,Grajska ulica,,,,,,,46.6641722,Murska Sobota,yes,,Zdravstveni dom Murska Sobota,,9000,,,,,,
doctors,,,,,,,,7,,,,13.6462217,,Ulica Gradnikove brigade,,,,no,,,45.9587260,Nova Gorica,yes,,Zdravstveni dom Nova Gorica,,5000,,,,,,
doctors,,,,,,,,4,,,,13.6451512,,Rejčeva ulica,,,,no,,,45.9581475,Nova Gorica,yes,,Zdravstveni dom Nova Gorica,,5000,,,,,,
doctors,,,,,,,,,,,,13.5689377,GURS,,,,,,20010829,,45.5270161,,yes,,Zdravstveni dom Piran,,,,,,,,
doctors,,,,,,,,2,,,,16.0438339,,Radgonska cesta,,,,,,,46.6413579,Radenci,yes,,Zdravstveni dom Radenci,,9252,,,,,,
doctors,,,,,,,,8,,,,15.1804470,,Ulica OF,,,,,,,46.0660021,Radeče,yes,,Zdravstveni dom Radeče,,1433,,,,,,
doctors,,,,,,,,14a,,,,16.0361288,,,,,,,,,46.8052519,Rogašovci,yes,,Zdravstveni dom Rogašovci,,9262,,Rogašovci,,,,
doctors,,,,,,,,30,,,,16.0868922,,Tišina,,,,,,,46.6535596,Tišina,yes,,Zdravstveni dom Tišina,,9251,,,,,,
doctors,,,,,,,,3,,,,15.0064517,,Goliev trg,,,,,,,45.9085546,Trebnje,yes,,Zdravstveni dom Trebnje,,8210,,,,,,
doctors,,,,,,,,,,24/7,,14.9952134,,,,,Zdravstveni dom Zagorje,,,+386 3 5655000,46.1338532,,yes,Health Care Centre Zagorje,Zdravstveni dom Zagorje,,,,,,,,
doctors,,,,,,,,12,,,,15.6109720,GURS,Mladinska ulica,,,,,2009-10-07,,46.4270827,Zgornja Polskava,yes,,Zdravstveni dom Zgornja Polskava,,2314,,,,,,
doctors,,,,,,,,,6,,,15.6524807,,,info@zd-mb.si,http://www.zd-mb.si/,,,,+386 2 228 6200,46.5599937,,hospital,,Zdravstveni dom dr. Adolfa Drolca Maribor,,,,,,,,
doctors,,,,,,,,3,,,,15.6608759,,Bistrica ob Sotli,,,,,,,46.0565710,Bistrica ob Sotli,house,,zdravstveni dom,,3256,,,,,,
doctors,,,,,,,,297a,,,,16.3512932,,Dobrovnik,,,,,,,46.6517755,Dobrovnik,yes,,zdravstveni dom Dobrovnik,,9223,,,,,,
doctors,,,,,,,,11,,,,14.9678296,,Ob Suhi,,,,,,,46.5431553,Ravne na Koroškem,yes,,zdravstveni dom ravne na koroškem,,2390,,,,,,
doctors,,,,,,,,4,,,,14.5015128,,Celovška cesta,,,,,,,46.0572521,Ljubljana,yes,,Železniški zdravstveni dom,,1000,,,,,,
