amenity,healthcare:speciality,house,contact:website,payment:cash,alt_name,building:roof:shape,operator,payment:credit_cards,addr:housenumber,addr:town,lon,building:levels,opening_hours,contact:phone,addr:housename,note,source,addr:street,email,website,fax,emergency,addr:full,payment:visa,phone,addr:county,addr:city,building,fixme,name:en,lat,name,roof:shape,addr:postcode,wheelchair,source:geometry,addr:country,healthcare,building:cladding,toilets:wheelchair,landuse,roof:material
doctors,,,,,,,,,,,-7.4457814,,,,,,,,,,,,,,,,,yes,,,52.2818838,Clonea Health Centre,,,,,,,,,,
doctors,,,,,,,,,,,-7.4847746,,,,,,,,,,,,,,+353579352868,,,yes,,,53.2633878,Clonminch Medical Centre,,,,,,,,,,
doctors,,,,,,,,,,,-7.4955237,,,,,,,,,,,,,,+353579321060,,,yes,,,53.2713226,Cormac Street Medical Centre,,,yes,,,doctor,,,,
doctors,,,,,,,,,16,,-6.2652662,,,,,,,Dame Street,,http://damestreetmedical.ie/,,,,,+353-1-6790754,,,,,,53.3440671,Dame Street Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-9.3184372,,,,,,,,,,,,,,,,,yes,,,54.1006168,Deel Medical Centre,,,,,,,,,,
doctors,,,,,,,,,104,,-6.3062082,,,,,,,Navan Road,,,,,,,,,,house,,,53.3640368,Doctor Michael Hayes,,,,,,doctor,,,,
doctors,,,,,,,,,126,,-6.1999372,,,,,,,Mount Merrion Avenue,,,,,,,012889838,,,yes,,,53.2974097,Doctor Richard Casey,,,,,,doctor,,,,
doctors,general,,,,,,Dr. Zita O'Reilly;Dr. Dorothy Crushell;Dr. John Dillon,,,,-6.3507583,,Mo-Fr 09:30-11:30; 14:00-16:30; Sa 09:00-10:30,,,,,Lucan Road,,,,,,,,,,commercial,,,53.3507081,Doctors Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.1484250,,,,,,,Main Street,,,,,,,,,,yes,,,53.4867194,Donabate Clinic,,,,,,doctor,,,,
doctors,,,,,,,,,17,,-6.2436151,,Mo-Fr 09:00-18:00; Sa 09:00-13:00; Su off,,,,,Pembroke Cottages,,http://www.drciaranbent.ie/,,,,,+353 1 298 0226,,,yes,,,53.2895428,Dr Ciaran Bent,,,,,,doctor,,,,
doctors,,,,,,,,,,,-9.5118240,,,,,,,,,,,,,,,,,yes,,,53.7983918,Dr Collins,,,,,,,,,,
doctors,,,,,,,,,2,Youghal,-7.8429523,,,+353 0 24-92702,,,,South Abbey,,,,,,,,,,yes,,,51.9488445,Dr Deirdre O'Brien,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.4917856,,,,,,,,,,,,,,,,,yes,,,53.2746297,Dr Fahey,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.4895180,,,,,,,,,,,,,,,,,yes,,,53.2751069,Dr Garry,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.9520954,,,,,,,Chapel Street,,,,,,,,,Swinford,yes,,,53.9415734,Dr Glaveys Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,138D,,-8.6370519,2,,,,,survey,Ballinacurra Gardens,,,,,,,+353 61 228093,,Limerick,house,,,52.6460284,Dr Margaret Callaghan,gabled,,,bing,IE,doctor,brick,,,roof_tiles
doctors,,,,,,,,,,,-8.9540051,,,,,,,Circular Road,,,,,,,,,Swinford,yes,,,53.9441199,Dr Mc Loughlans Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.9452102,,,,,,,Dublin Road,,,,,,,,,Swinford,yes,,,53.9442020,Dr Rowley Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.4874676,,,,,,Bing,,,,,,,,+353579321181,,,yes,,,53.2755329,Dr Twomey,,,,,,doctor,,,,
doctors,,,,,,,,,63,,-6.2417387,,,,,,,Haddington Road,,,,,,,,,,yes,,,53.3347356,Dr. Harte,,,,,,doctor,,,,
doctors,general,,,,,,,,,,-7.6093788,,,,,,,,,,,,,,,,,yes,,,53.6934295,Dr. Sharkey,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.0341874,,"Mo-Fr 09:00-12:00, 14:30-17:00",,,,,,,,,,,,,,,yes,,,52.9410703,Drs C Corcoran/P Costello,,,,,,doctor,,,,
doctors,,,,,,,,,3,,-6.2225340,,,,,,,Drummartin Road,,http://www.drummartinclinic.ie/,,,,,,,,retail,,,53.2887586,Drummartin Clinic,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.2585905,2,,,,,,,,,,,,,,,,yes,,,53.3698910,Dublin 9 Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.4199331,,,,,,,,,,,,,,,,,yes,,,51.8943016,Dundanion Medical Centre,,,,,,,,,,
doctors,,,,,,,,,,,-9.1088186,,,,,,,,,,,,,,+353 23 8855500,,,yes,,,51.7217345,Dunmanway Primary Care Centre,,,,,,,,,,
doctors,,,,,,,,,,,-8.9549470,,,,,,,,,,,,,,,,,yes,,,54.2861417,Easkey House Primary Care and Day Care Centre,,,,,,,,,,
doctors,,,http://www.youghal.ie/organisation/emmet-place-family-practice/,,,,,,1,Youghal,-7.8522157,,,+353 24 93552,,,,Emmet Place,,,,,,,,Cork,,yes,,,51.9552340,Emmet Place Family Practice,,,,,,doctor,,,,
doctors,,,,,,,,,,,-9.2932168,,,,,,,,,,,,,,,,,yes,,,52.9407851,Ennistymon Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,37-39,,-6.2388413,,Mo-Th 08:00-17:30; Fr 08:00-17:00; Sa 08:00-09:30,,,,,Fairview Strand,info@fairviewmedical.ie,http://dublinfamilydoctor.com,+353 1 8530891,,,,+353 1 8339856,,Dublin,yes,,,53.3628107,Fairview Medical Centre,,D03 F8C2,,,,doctor,,,,
doctors,,,,,,,,,,,-8.4324031,,,,,,,,,,,,,,,,Douglas,yes,,,51.8757975,Fingerpost Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.4023808,,,,,,,,,,,,,,,,,yes,,,53.8739317,Frenchpark Medical Practice,,,yes,,,,,,,
doctors,orthopaedics,,,,,,,,64,,-6.2534585,,"Mo 08:00-17:00; Tu,Th 07:30-18:00; We 08:00-18:00, Fr 09:00-17:00",,,,,Drumcondra Road Upper,,http://www.glasnevinorthodontics.ie/,,,,,+353 1 834 0577,,Dublin 9,yes,,,53.3707890,Glasnevin Orthodontics,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.1646966,,,,,,,Grange Road,,http://www.grangeclinic.ie/,,,,,,,Dublin,,,,53.3945342,Grange Medical,,,,,,doctor,,,commercial,
doctors,,,,,,,,,,,-6.0600402,,,(01) 287 4275,,,,,,,,True,"Mill Rd, Killincarrig, Greystones, Co. Wicklow",,,,,,,,53.1397546,Greystones Medical Centre,,,,,,,,,,
doctors,,,,,,,Health Service Executive,,,,-7.6802347,,,,,,Bing,,,,,,,,,,Ballymore,,,,53.4902063,HSE,,,,,,doctor,,,,
doctors,,,,,,,HSE,,35,,-6.1442591,,,,Centenary House,,,York Road,,,,,,,+353-1-2808471,,,yes,,,53.2898526,HSE Dún Laoghaire Health Centre,,A96 D850,,,,doctor,,,,
doctors,,,,,,,,,5,,-6.1058008,,,,,,,Shenick Road,,,,,,,,,,yes,,,53.5706176,Holmpatrick Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.1454127,,,,,,,Johnstown Road,,http://www.johnstownmed.ie,,,,,+353 1 285 5800,,Dún Laoghaire,yes,,,53.2689955,Johnstown Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.2496347,,,,,,,,,,,,,,+00353 567788222,,,house,,,52.6377600,Kilkenny Ostheopathic Clinic,,,,,,,,,,
doctors,,,,,,pitched,,,26,,-6.2077098,2,Mo-Fr 09:00-17:30,,,,,Kilmacud Road Lower,,http://www.kmc.ie/,+353-1-288-3566,,,,+353-1-288-1550;+353-1-283-6058,,,yes,,,53.2887761,Kilmcud Medical Centre,,A94 KD78,,,,doctor,,,,
doctors,,,,,,,HSE,,,,-6.8410774,,,,,,,,,,,,,,,,Kilmeague,yes,,,53.2502932,Kilmeague Health Centre,,,,,,doctor,,,,
doctors,general,,,,,,Dr Michael Colclough,,20,,-6.2020428,,Mo-Fr 08:30-18:30,,Kinsealy Medical Centre,,,The Rise,,,,,,,,,Kinsealy,yes,,,53.4459318,Kinsealy Medical Centre,,K67 F683,,,,doctor,,,,
doctors,,,,,,,,,,,-6.4899087,,,,,,,,,,,,,,,,,yes,,,53.3636538,Leixlip Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.2418035,,,,,,,,,,,,,,+353 56 7770020,,,yes,,,52.6415602,Loughboy Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3686143,,,,,,,,,,,,,,,,,yes,,,53.3509976,Manor Road Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.4949533,,,,,,,,,,,,,,,,,yes,,,53.2770995,Medicentre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.8019665,,,,,,,,,,,,,,,,,yes,,,53.1821813,Newbridge Medical & Dental,,,,,,,,,,
doctors,,,,,,,,,,,-7.2399136,,,,,,,Lintown Avenue,,http://newparkclinic.ie/,,,,,,,,yes,,,52.6604408,Newpark Medical and Dental Clinic,,,,,,doctor,,,,
doctors,,,,,,,,,226,,-6.3495184,,"Mo-Fr 09:00-13:00, 14:00-18:00",,,,,Pearse Park,,http://northgatesurgery.com,,,,,0419839444,,Drogheda,yes,,Northgate Surgery,53.7199135,Northgate Surgery,,,yes,,,,,,,
doctors,,,,,,,,,,,-6.1968585,,,,,,,,,,,,,,,,,yes,,,53.3594573,O'Driscoll Clinic,,,,,,,,,,
doctors,,,,,,,,,,,-6.3213394,,,,,,,,,,,,,,,,,yes,,,53.2988355,Orwell Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.3948118,,,,,,,Ballea Road,,http://www.owenabue.ie,,,,,+353 21  437 4997,,Carrigaline,yes,,,51.8171637,Owenabue Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,66,,-6.2540115,,Mo-Sa 09:00-21:00; Su Off,,,,survey,Gardiner Street Lower,,http://www.pwmedical.ie/,,,,,,,Dublin,yes,,,53.3504065,PW Medical,,,,,IE,doctor,,,,
doctors,,,,,,,,,,,-6.5305711,,Mo-Fr 09:15-12:00,,,,,Willow Court,,,,,,,01-6012903,,Celbridge,yes,,,53.3363207,Primrose Gate Medical Centre,,W23 A2Y6,yes,,,doctor,,,,
doctors,,,,,,,,,14,,-6.2275511,,,,,,,Thorncastle Street,,,,,,,,,,yes,,,53.3421557,Ringsend Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.1935030,,,,,,,,,,,,,,,,,yes,,,53.6312214,Roscommon Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.4046196,,,,,,,Brookfield Road,,,,,,,,,,retail,,,53.2883454,Rossfield Surgery,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.4434838,,,,,,,Church Road,,http://www.saggartmedical.ie/,,,,,,,,yes,,,53.2804880,Saggart Medical Centre,,,,,,doctor,,,,
doctors,general,,,,,,,,10a,,-6.3075523,,Mo-Fr 08:30-18:30,,,,,Templeroan Lodge,,http://www.scholarstownfamilypractice.com/,,,,,+35314936711,,Rathfarnham,yes,,,53.2797856,Scholarstown Family Practice,,,,,,doctor,,,,
doctors,,,,yes,,,,no,,,-8.6554939,,"Mo-Fr 18:00-08:00; Sa-Su,PH 00:00-24:00",,,,,,,http://www.shannondoc.ie,,,,no,,,,yes,,,52.6368151,Shannon Doc,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.2570129,,,,,,,,,,,,,,,,,yes,,,52.1389009,South Doc,,,,,,doctor,,,,
doctors,,,,,,,HSE,,,,-8.9144937,,,,,,,,,,,,,,,,,,,,52.1762266,SouthDoc Kanturk,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3236886,,,,,,,,,,,,,,,,,yes,,,53.2996147,St. Jude Family Practice,,,,,,,,,,
doctors,,,,,,,,,,,-6.2708384,,,,,,,,,,,,,,,,,yes,,,53.6213974,Stamullen Surgery,,,,,,,,,,
doctors,,,,,,,,,,,-6.7399467,,,,,,,,,,,,,,,,,yes,,,53.4826626,Summerhill Primary Care Centre,,,yes,,,,,yes,,
doctors,,,,,,,,,,,-6.4656866,,,,,,,Waterloo Road,,,,,,,,,Wexford,yes,,,52.3373271,Sunnyside Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.4322070,,,,,,,,,,,,,,,,,yes,,,53.2863910,Swiftbrook Medical Saggart,,,,,,doctor,,,,
doctors,,,,,,,Dr. Mary O'Donovan,,,,-6.6510921,,,,,,,,,,,,,,+353 913 44 92,,Taghmon,yes,,,52.3224405,Taghmon Health Centre,,,,,,clinic,,,,
doctors,,,,,,,,,,,-8.0074753,,,,,,,,,,,,,,,,,yes,,,52.0958811,Tallow Health Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3897742,,,,,,,,,,,,,,,,,yes,,,53.3724976,The Parks Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.6478945,,,,,,,Shortcastle Street,,,,,,,,,,yes,Check name - similar name on Mill Street,,52.1390666,The Red House,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.6463485,,,,,,,,,,,,,,,,,house,Check name - similar name on Shortcastle Street,,52.1314154,The Red House Family Practice,,,,,,doctor,,,,
doctors,,,,,,,,,,,-6.3800499,,,,,,,,,http://therisefamilypractice.ie,,,,,,,,yes,,,53.3889594,The Rise Family Practice,,,,,,doctor,,,,
doctors,,,,,,,,,,,-7.2503004,,,,,,,,,,,,,,,,,house,,,52.6366618,The Springhill Clinic,,,,,,,,,,
doctors,,,,,,,,,,,-6.6870878,,,,,,,,,http://www.thesurgeryclane.ie,,,,,+353 45 868433,,,yes,,,53.2906135,The Surgery Clane,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.6086947,,,,,,,,,,,,,,,,,yes,,,51.9259201,Tower Medical Centre,,,,,,doctor,,,,
doctors,,,,,,,,,,,-8.7323236,,,,,,,Teeling Street,,,,,,,,,Tubbercurry,yes,,,54.0527675,Tubbercurry health centre,,,,,,centre,,,,
doctors,,,,,,,,,,,-7.4925384,,,,,,,Ardan Road,,,+353579326926,,,,+353579351225,,,yes,,,53.2828272,Tullamore Medical Centre,,,yes,,,doctor,,,,
doctors,,,,,,,Dr Mary Ward and Dr Gearóid O'Connor,,67a,,-6.1943593,,Mo-Tu 09:00-13:00; Mo-Tu 14:00-17:00; We 09:00-13:00; Th-Fr 09:00-13:00; Th-Fr 14:00-17:00,+353 1 8532070,,,,Vernon Avenue,,https://www.vernonmedicalclinic.com/,,,,,+353 1 8532070,,,,,,53.3691047,Vernon Medical Clinic,,,,,,doctor,,,,
doctors,,,,,,,,,133,,-6.3317156,,,,,,,Walkinstown Road,,,,,,,,,Dublin 12,yes,,,53.3190084,Walkinstown Medical Centre,,D12 PX7A,,,,doctor,,,,
doctors,,,,,,,,,,,-8.5602366,,,,,,,,,,,,,,,,,yes,,,53.6053011,WestDoc,,,,,,,,,,
doctors,,,,,,,,,,,-6.4879502,,,,,,,,,,,,,,,,,yes,,,52.3248624,Wexford Osteopathic Centre,,,,,,doctor,,,,
doctors,,,,,,,HSE,,,,-6.2501123,,,,,,,Larkhill Road,,,,,,,,,,,Larkhill Health Centre?,,53.3851018,Whitehall Health Centre,,,,,,doctor,,,,
doctors,gynaecology,,,,,,,,2,,-7.2571238,,,,,,Bing,,,,,,,,,,,house,,,52.6553189,Women's Health Group,,,,,,doctor,,,,
