building:ruian:type,amenity,lon,contact:website,indoor,building:flats,payment:mastercard,addr:streetnumber,room,operator,is_in,addr:conscriptionnumber,addr:housenumber,payment:maestro,building:levels,opening_hours,contact:phone,addr:housename,source,start_date,brand:wikipedia,ref:ruian:building,email,brand:wikidata,website,addr:unit,roof:colour,source:addr,contact:email,brand,payment:visa,phone,lat,roof:shape,addr:street,building,ref:ruian:addr,ref,name,designation,level,addr:postcode,wheelchair,addr:place,payment:visa_electron,addr:city,payment:visa_debit,buildingpart,dispensing,healthcare,addr:country
7,pharmacy,15.8103525,http://www.novalekarnamb.cz/,,1,,,,,,180,180,,4,Mo-Fr 07:00-17:30; Sa 08:00-11:00,+420 568 420 100,Nová lékárna Moravské Budějovice,cuzk:km,,,2632179,,,,,,,alenavajova@seznam.cz,,,,49.0542421,,1. máje,house,2653664,79040000000,Nová lékárna Moravské Budějovice,Lékárna,,67602,,Moravské Budějovice,,,,,,,
5,pharmacy,18.0563839,,,10,,,,,,,,,5,,,,cuzk:ruian,,,16923189,,,,,,,,,,,49.1881673,,,civic,,,PharmDr. Peter Hájek,,,,,,,,,,,,
5,pharmacy,14.2478795,http://www.pnsp.cz/lekarna,,,,,,,,,,,,Mo-Fr 07:00-18:00; Sa 07:00-12:00,+420 416 831 182,,cuzk:ruian,,,47633972,,,,,,,lekarna@pnsp.cz,,,,50.4232942,,,hospital,,55472000000,Podřipská nemocnice s poliklinikou,,,,,,,,,,,,
5,pharmacy,15.4303155,,,,,,,,,,,,,,,,cuzk:ruian,,,43033172,,,,,,,,,,,49.0767492,,,civic,,,Poliklinika,,,,,,,,,,yes,pharmacy,
15,pharmacy,16.6553788,,,,,27,,,,1556,1556/27,,1,,,,cuzk:ruian,2003-07-01,,25427920,,,,,,,,,,,49.7574539,,Svitavská,civic,25919954,,U polikliniky,,,57101,,Předměstí,,,,,yes,,CZ
5,pharmacy,16.5784839,,,,,,,,,,,,1,,,,cuzk:ruian,,,19001975,,,,,,,,,,,49.1986744,,,civic,,,Unica,,,,yes,,,,,,,,
,pharmacy,16.8770510,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.1544750,,,,,,Zámecká lékárna,,,,,,,,,,,,
7,pharmacy,17.5479939,,,1,,,,,,,,,,,,,cuzk:ruian,,,51269791,,,,,,,,,,,49.0982372,,,house,,,lékárna,,,,,,,,,,,,
15,pharmacy,16.3124823,,,,,,,Litomyšlská nemocnice,,,,,1,Mo-Fr 07:00-16:30; Th 07:00-18:00; Su 08:00-13:00,,,cuzk:ruian,,,1894595,,,http://litomysl.nempk.cz/lekarna-pro-verejnost,,,,,,,,49.8646944,,,civic,,,Ústavní lékárna,,,,,,,,,,yes,pharmacy,
10,pharmacy,17.4052177,,,,,,,,,,,,1,,,,cuzk:ruian,,,30668549,,,,,,,,,,,49.2924232,,,commercial,,,Česká lékárna a.s. Dr.Max,,,,,,,,,,yes,,
