amenity,alt_name:en,contact:facebook,healthcare:speciality,wikipedia:en,alt_name:ga,official_name,operator,addr:townland,wikidata,alt_name,HSE_code,is_in,addr:housenumber,barrier,lon,opening_hours,operator:type,wikipedia,addr:full,note,source,logainm:url,addr:postal_district,start_date,website,HSE_region,fax,loc_name,description,emergency,addr:housename,contact:phone,year_of_construction,fixme,phone,logainm:ref,old_name,lat,smoking,addr:country,old_name:ga,addr:street,building,name:ga,name:en,name,addr:postcode,wheelchair,source:geometry,addr:city,beds,HSE_hgid,HSE_hgroup,healthcare,toilets:wheelchair,email
hospital,,,,,,,HSE,,,,,,,,-6.3169378,,,,,,,,,,,,,,,,,,,,,,,53.5185190,,,,,,,,Clonmethan Health Centre,,,,,,,,,,
hospital,,,,,,,,,,,,,,,-6.2393273,,,,,,,,,,,,,,,,,,,,,,,53.3167970,,,,Clonskeagh Road,,,,Clonskeagh Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.4880176,,,,,,,,,,,,,,,,,,,,,,,54.1559377,,,,,,,,Cloonamahon Learning Disability Services,,,,,,,,,,
hospital,,,,,,,HSE,,,,,,,,-7.3527681,,,,,,,,,,,,,,,,,,,,,,,53.5366752,,,,Longford Road,,,,Cluain Lir Care Centre,N91 T267,,,Mullingar,,,,,,
hospital,,,,,,,HSE,,Q5161992,,22,,,,-6.3689484,,government,,,"The former name ""James Connolly Memorial Hospital"" is deprecated as it was causing confusion with St. James's Hospital",,,D15,,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/Connolly/,Dublin North East,+353-1-6465132,Blanchardstown Hospital,,yes,,,,,+353-1-6465000,,James Connolly Memorial Hospital,53.3867253,no,,,Navan Road,,Ospidéal Uí Chonghaile,,Connolly Hospital,,,,,,4,RCSI Hospitals Group,hospital,,
hospital,,,,,,,,,Q5167610,,,,,,-6.2892290,,,en:Coombe Women & Infants University Hospital,,,,,,,http://www.coombe.ie,,,,,maternity,,,,,+353 1 408 5200,,,53.3355303,,,,Cork Street,,Ospidéal Ollscoile Ban & Naíonán an Chúim,,Coombe Women & Infants University Hospital,Dublin 8,,,Dolphin's Barn,,,,hospital,,
hospital,,,,,,,HSE,,Q5170825,CUH,235,,,,-8.5075272,,,en:Cork University Hospital,,,,,,,,South West,,,,yes,,,,,,,,51.8854888,,,,Bishopstown Road,,,,Cork University Hospital,,,,Cork,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-8.0982437,,,,,,donegal town map,,,,,,,,,,,,,,,,,54.6560999,,,,,,,,Donegal District Hospital,,,,,,,,hospital,,
hospital,,https://www.facebook.com/DDUH12/,,,,,,,Q30280055,,,,,,-6.2522252,,,,,Training hospital - combined university and hospital.,,,,,https://www.dentalhospital.ie/,,,,,dental only,,,,,+353-1-6127391,,,53.3420051,,,,Lincoln Place,,,,Dublin Dental University Hospital,,yes,,Dublin,,,,hospital,,patient@dental.tcd.ie
hospital,,,,,,,Health Service Executive,Tincone,,,,,,,-6.4547554,,public,,,,,,,,,,,,,,,,,,,,,52.3448519,,,,,,,,Ely Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q6840846,,307,,,,-8.9846649,,,,,,,,,,,Midwest,,,,,,,,,,,,52.8506072,,,,,,,,Ennis Hospital,,,,,,6,University of Limerick Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.2437129,,,,,,,,,,,,,,,,,,,,,,,53.3684454,,,,,,,,Fairview Community Unit (Mater Hospital),,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.1004214,,,,,,,,,,,,,,,no,,,,,,,,55.1369737,,,,,,,,Falcarragh Medical Centre,,,,,,,,,,
hospital,,,,,,,Health Service Executive,,,,,,,,-8.2582157,,,,,,,,,,,,,,,,,,,,,,,52.1371766,,,,,,,,Fermoy Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q5519479,,,,,,-8.9742758,,,,,,,,,,,,,,,,,,,,,,,53.2831508,,,,,,,,Galway Clinic,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.2422495,,,,,,,,,,http://www.gheel.ie/services.php,,,,,,,,,,,,,53.3681588,,,,,,,,Gheel Autism Services,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.3005930,,,,,,,,,,,,,,,,,,,,,,,52.6741591,,,,,yes,,,Gorey District Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.4095432,,,,,,,,,,https://www.hermitageclinic.ie/,,,,,,,,,,,,,53.3590732,,,,,,,,Hermitage Medical Clinic,,,,,,,,hospital,,
hospital,,,,,,,Highfield Healthcare,,,Highfield Alzheimer Care Centre Private Hospital,,,,,-6.2473548,,,,,,,,,,,,,,,,,,,,,,Highfield Private Hospital,53.3784425,,,,Swords Road,,,,Highfield Healthcare,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.9409868,,,,,,,,,,,,,,,no,,,,,,,,52.3888629,,,,Hospital Road,,,,Hospital Grounds New Ross,,,,New Ross,,,,hospital,,
hospital,,,,,Ospidéal Cluain Tarbh,,,,,Clontarf Hospital,,,,,-6.2025272,,,,,,,,,,http://www.ioh.ie,,+353-1-8333181,,,no,,,,,+353-1-8332521,,,53.3666636,,,,Blackheath Park,,,,Incorporated Orthopaedic Hospital of Ireland,,,,,,,,hospital,,pa@ioh.ie
hospital,,,,,,,,,,,,,,,-6.2007396,,,,,,Bing,,,,,,,,,,,,,,,,,53.3685328,,,,,,,,Irish Wheelchair Association and Respite Centre,,yes,,,,,,hospital,,
hospital,,,,,,,HSE,,,,,,,,-8.9165506,,government,,,,,,,,,,,,,,,,,,,,,52.1753847,,,,,,,,Kanturk Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-9.5825884,,,,,,,,,,,,,,,,,,,,,,,51.8894033,,,,,,,,Kenmare Public Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q6689775,Lourdes Orthopaedic Hospital Kilcreene,104,,,,-7.2764397,,,,,,Bing,,,,,South West,,,,no,,,,,,,,52.6514167,,,,,,Ospidéal Cille Críne,,Kilcreene Hospital,,,,,,5,South/South West Hospital Group,,,
hospital,,,,,,,,,,,,,,,-9.5168748,,,,,,,,,,,,,,,,,,,,,,,52.0653143,,,,,yes,,,Killarney Community Hospital,,,,,,,,,,
hospital,,,psychiatry;psychology,,,,Mental Health Commission,,,,,,,,-6.0602629,24/7,,,,,,,,,,,,,,no,Kilrock House,,,,,,,53.3857860,,,,Kilrock Road,,,,Kilrock House,,,,Howth,,,,rehabilitation,,
hospital,,,,,,,,,,,,,,,-8.5276754,,,,,,,,,,,,,,,no,,,,,+353 21 4772 202,,,51.7123349,,,,,,,,Kinsale Community Hospital,,,,Kinsale,,,,hospital,,
hospital,,,,,,,,,Q14956804,,,,,,-6.2032602,,,,,,,,,,http://www.lph.ie,,,,,no,,,,,,,,53.2696560,,,,,,,,Leopardstown Park Hospital,,,,,,,,hospital,,
hospital,,,psychiatry,,,,Order of St. John of God,,,,,,59,,-6.2735209,,,,,,,,,,http://www.lucenaclinic.ie/clinics-rathgar,,+353-1-4923823,,,no,,,,,+353-1-4923596,,,53.3102029,,,,Orwell Road,,,,Lucena Clinic & St Peter's School,,,,Dublin,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.9681484,,,,,,,,,,,,,,,,,,,,,,,51.9074717,,,,,,,,Macroom Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q6744301,,207,,,,-8.6618732,,,,,,,,,,,South West,,,,,,,,,,,,52.1512763,,,,,,,,Mallow General Hospital,,,,,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,HSE,,Q6786523,The Mater Hospital,5,,,,-6.2669005,,,,,,,,,,,Dublin East,,,,yes,,,,,,,,53.3584846,,,,North Circular Road,,Ospidéal an Mater Misercordiae,,Mater Misericordiae University Hospital,,,,,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-8.4064969,,,,,,,,,,,,,,,,,,,,,,,51.8863704,,,,City Gate,hospital,,,Mater Private Cork,,,,Cork,,,,hospital,,
hospital,,,,,,,,,,,,,81-84,,-6.2651215,,,,,,,,,,,,,,,no,St. Raphael's House,,,Create multi-polygon with main Mater Private Hospital,,,,53.3570097,,,,Dorset Street Upper,,,,Mater Private Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q6786522,,,,,,-6.2649245,,,,,,,,,,,,,,,no,,,,New buildings have been added at Eccles Place,,,,53.3585759,,,,Eccles Street,,,,Mater Private Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q6797517,Mayo General Hospital,405,,,,-9.3018946,,government,,,,,,,,https://www.saolta.ie/hospital/muh,North West,,,,yes,,,,,+353-94-9021733,,,53.8495789,,,,John Moore Road,,,,Mayo University Hospital,,,,,,1,Saolta University Health Care Group,hospital,,
hospital,,,,,,,HSE,,Q38251273,,203,,,,-8.4825851,,,,,,,,,,,South West,,,,,,,,,,,,51.8980916,,,,,,,,Mercy University Hospital,,,,,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,HSE,,,,,,,,-9.0031310,,,,,,,,,,,,,,,,,,,,,,,53.2761351,,,,,,,,Merlin Park Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,,,304,,,,-8.7126936,,,,,,,,,,,Midwest,,,,,,,,,,,,52.5257371,,,,,,,,Mid-Western Regional Orthopaedic Hospital,,,,,,6,University of Limerick Hospital Group,,,
hospital,,,,,,,Health Service Executive,,Q6842434,,503,,,,-7.3508528,,,"en:Midland Regional Hospital, Mullingar",,,visual survey;estimate,,,,,Dublin East,,,,yes,,,,,,,,53.5343723,,,,Longford Road,,,,Midland Regional Hospital Mullingar,,,,Mullingar,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,HSE,,Q6842435,,506,,,,-7.2764170,,,,,,,,,,,,,,,,,,,,,,,53.0368195,,,,,,,,Midland Regional Hospital Portlaoise,,yes,,,,3,Dublin Midlands Hospital Group,,yes,
hospital,,,,,,,HSE,,Q6842444,Midland Regional Hospital at Tullamore,501,,,,-7.4914347,,,"en:Midland Regional Hospital, Tullamore",,,,,,,,Midlands,,,,,,,,,,,,53.2842920,,,,,,,,Midland Regional Hospital Tullamore,,,,,,3,Dublin Midlands Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-8.1737102,,,,,,,,,,,,,,,,,,,,,,,51.9178820,,,,,,,,Midleton Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,,Sreelane,,,,,,,-8.5736179,,,,,,,,,,,,,,,,,,,,,,,52.6690514,,,,,,,,Milford Care Centre,,,,,,,,,,
hospital,,,,,,,,,Q6897900,,,,,,-6.9727318,,,,,,,,,,,,,,,,,,,,,,,54.2490878,,,,High Street,,,,Monaghan General Hospital,,,,,,,,,,
hospital,,,,,,,Mowlam Healthcare,,Q6920044,,,,,,-6.2668347,,,,,,,,D14,,,,,,,no,,,,,,,,53.3036823,,,,Braemor Park,,,,Mount Carmel Community Hospital,,,,Dublin,,,,hospital,,
hospital,,,,,,,HSE,,Q6956667,,4,,,,-6.6624959,,,,,,,,,,http://www.naashospital.ie/,Midlands,,,,,,,,,,,,53.2130204,,,,,,,,Naas General Hospital,,,,,,3,Dublin Midlands Hospital Group,hospital,,
hospital,,,rehabilitation,,,,,,Q30314913,,,,,,-6.1528699,,,,,,,,,,,,,,,,,,,,,,,53.2768721,,,,Rochestown Avenue,,,,National Rehabilitation Hospital,,yes,,,,,,hospital,,
hospital,,,,,,,HSE,,Q6840847,,308,,,,-8.1889170,,,,,,,,,,,Midwest,,,,,,,,,+353 67 31491,,,52.8576879,,IE,,Thurles Road,,,,Nenagh General Hospital,,,,Nenagh,,6,University of Limerick Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.1014167,,,,"Killadreenan, Greystones, Co. Wicklow",,,,,,,,,,,,,(01) 281 9001,,,,,,53.0800851,,,,,,,,Newcastle Hospital,,,,,,,,physiotherapist,,
hospital,,,,,,,HSE,,Q7110864,,701,,,,-6.3527367,,,,,,,,,,,Dublin North East,,,,yes,,,,,,,,53.7227981,,,,,,Ospidéal Mhuire Lourdes,,Our Lady of Lourdes Hospital,,,,,,4,RCSI Hospitals Group,,,
hospital,,,,,,,HSE,,Q7110706,,1,,,,-6.3192423,,,,,,,,,,https://www.olchc.ie/,Paediatrics,,,,yes,,,,,,,,53.3271596,,,,Cooley Road,,Ospidéal Mhuire na Leanaí Cromghlinn,,Our Lady's Children's Hospital Crumlin,,,,,,7,Children's Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.3221557,,,,,,,,,,http://www.olchc.ie,,,,,,,,,,+353 1 409 6100,,,53.3246568,,,,,,,,Our Lady's Children's Hospital Crumlin,D12 N512,,,Dublin,,,,hospital,,
hospital,,,,,,,HSE,,Q30267679,,705,,,,-6.7000687,,,,,,,,,,,Dublin East,,,,,,,,,,,,53.6511184,,,,,,,,Our Lady’s Hospital,,,,,,2,Ireland East Hospital Group,hospital,,
hospital,,,psychiatry,,,,HSE,,,,,,,,-6.2855998,,government,,,,,,,,https://www.hse.ie/phoenixcarecentre,,,,,no,,,,,+353-76-6958700,,,53.3578101,,,,North Circular Road,,,,Phoenix Care Centre,D07 VPT0,,,Dublin,,,,hospital,,
hospital,,,,,,,HSE,,Q7231839,,403,,,,-8.2353485,,,en:Portiuncula Hospital,,,local_knowledge,,,,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/Portiuncula/,North West,,,,yes,,,,,+353-90-964-8200,,,53.3258150,,,,,,,,Portiuncula Hospital,,,Bing,,,1,Saolta University Health Care Group,hospital,,
hospital,,,,,,,,,Q7367574,,401,,,,-8.1768621,,,en:Roscommon University Hospital,,,,,,,,North West,,,,,,,,,,,,53.6257011,,,,,,,,Roscommon Hospital,,yes,,,,1,Saolta University Health Care Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.2629718,,,,,,,,,,,,+353 1 872 6523,,,no,,,,,+353 1 8171700,,,53.3519933,,,,Parnell Square West,,Ospidéal an Rotunda,,Rotunda Hospital,D01 P5W9,,,Dublin,,,,hospital,,
hospital,,,,,,,,,Q7374299,,,,,,-6.2465583,,,,,,,,,,,,,,,no,,,,,,,,53.3253155,,,,Bloomfield Avenue,,,,Royal Hospital Donnybrook,,,,,,,,hospital,,
hospital,,,ophthalmology;otolaryngology,,,,HSE,,Q7374967,,24,,,,-6.2566483,,government,en:Royal Victoria Eye and Ear Hospital,,,,,,,https://www.rveeh.ie/,Dublin East,+353-1-6761858,,,"Eye, Ear, Nose, Throat, Head and Neck",,,,,+353-1-6644600,,,53.3332957,,,,Adelaide Road,,,,Royal Victoria Eye and Ear Hospital,,,,Dublin,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.9246635,,,,,,,,,,,,,,,,,,,,,,,52.8419589,,,,,,Ospidéal an Croí Ró Naofa,,Sacred Heart Hospital,,limited,,,,,,hospital,,
hospital,,,,,,,,,Q65041924,,,,,,-8.2081459,,,,,,local_knowledge,,,,,,,,,no,,,,,,,,53.3295592,,,,,,,,Saint Brigid's hospital,,,,,,,,,,
hospital,,,,,,,,,,,,,,,-8.6402830,,,,,,,,,,,,,,,,,,,,+353 61 326677,,,52.6694935,,IE,,Shelbourne Road,,,,Saint Camillus Hospital,,,,Limerick,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.2322848,,,,,,Bing,,,,,,,,,no,,,,,,,,52.6501335,,,,,,,,Saint Canice's Psychiatric Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.4612195,,,,,,,,,,,,,,,,,,,,+353 21 496 6555,,,51.8851082,,,,Douglas Road,,,,Saint Finbarr's Hospital,T12 XH60,,,Cork,,,,hospital,,
hospital,,,,,,,,,Q65042258,,,,,,-7.2873858,,,,,,,,,,,,,,,,,,,,,,,53.0365530,,,,,,,,Saint Fintan's Hospital,,,,,,,,,,
hospital,,,,,,,,,,,,,,,-9.0540508,,,,,,,,,,,,,,,,,,,,,,,52.4544154,,,,,,,,Saint Ita's Community Hospital,,,,,,,,hospital,,
hospital,,,psychiatry,,,,,,,,,,,,-6.1123216,,,,,,,,,,,,,,,,,,,,,,,53.4845506,,,,,,,,Saint Ita's Psychiatric Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.1935955,,,,,,,,,,,,,,,,,,,,,,,53.2859750,,,,,,,,Saint John of God Hospital,,,,,,,,,,
hospital,,,,,,,Health Service Executive,,,,,,,,-6.5708044,,,,,,,,,,,,,,,,Saint John's Hospital,,,,,,,52.4967349,,,,Munster Hill,,Ospidéal Pobail Naomh Seán agus Seirbhís Pobail,Saint John's Community Hospital and Community Service,Saint John's Community Hospital and Community Service,,,,New Ross,,,,hospital,,
hospital,,,,,,,,,,,,,,,-6.4341079,,,,,,,,,,,,,,,,,,,,,,,53.3875918,,,,,,,,Saint Joseph's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q20047297,,,,,,-7.3242592,,,,,,visual survey;estimate,,,,,,,,,,,,,,,,,53.5301246,,,,,,,,Saint Loman's Hospital,,,,,,,,,,
hospital,,,orthopaedics,,,,,,Q7590381,,,,,,-8.4969637,,,,,,,,,,,,,,,no,,,,,,,Saint Mary's Orthopaedic Hospital,51.9038302,,,,Bakers Road,,,,Saint Mary's Health Campus,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,wall,-6.3341347,,,,,,,,D08,,,,,,,no,,,,,,,Royal Hibernian Military School,53.3495340,,,,Phoenix Park,,,,Saint Mary's Hospital,,,,Dublin,,,,hospital,,
hospital,,,,,,,St. Patrick's Mental Health Services,,Q7590962,,,,,,-6.2927843,,,,,,,,,,,,,,,no,,,,,,,,53.3449986,,,,Steeven's Lane,,,,Saint Patrick’s University Hospital,,,,Dublin 8,,,,hospital,,
hospital,,,,,,,HSE,,,,7,,,,-6.9976353,,,,,,,,,,,Dublin East,,,,,,,,,,,,52.9982242,,,,,,,,Saint Vincent's Hospital,,,,,,2,Ireland East Hospital Group,,,
hospital,,,,,,,,,Q7592069,,,,,,-6.2428094,,,,,,,,,,,,,,,,,,,,,,,53.3672410,,,,,,,,Saint Vincent's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.4098412,,,,,,,,,,,,,,,no,,,,,,,,51.9552622,,,,,,,,Sarsfield's Court,,,,,,,,,,
hospital,,,,,,,HSE,,,SIVUH,206,,,,-8.4656549,,,,,,,,,,,South West,,,,"Ear, Nose and Throat;Sexual Assault Treatment Unit only",,,,,+353 21 4926100,,,51.8933199,,,,Old Blackrock Road,,,,South Infirmary-Victoria University Hospital,T12 X23H,,,Cork,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,HSE,,Q7568661,,105,,,,-7.7111173,,,,,,,,,,,South West,,,,,,,,,,,,52.3558965,,,,,,,,South Tipperary General Hospital,,,,,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,HSE,,,,,,,,-9.9004154,,,,,,,,,,,,,,,yes,,,,,,,,51.6525431,,,,,,,,St Joseph's Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q7589185,,,,,,-6.1816763,,,,,,,,,,,,,,,,,,,,,,,53.3826704,,,,,yes,,,St Joseph's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.6386083,,,,,,,,,,,,,,,,,,,,+353-58-20900,,,52.0867197,,,,Springfield,,,,St Joseph's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q7589801,,,,,,-6.2694644,,,,,,,,,,,,,,,no,,,,,,,,53.3112764,,,,,,,,St Luke's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.0683505,,,,,,,,,,,,,,,,,,,,,,,53.6123933,,,,,,,,St Mary's Hospital,,,,,,,,,,
hospital,,,,,,,,,,,,,,,-7.2984324,,,,,,bing,,,,,,,,,no,,,,,,,,53.6769561,,,,,,,,St Peter's,,,,,,,,,,
hospital,,,,,,,HSE,,,Athlone Hospital,,,,,-7.9409713,,,,,,,,,,,,,,,,,,,,,,,53.4274586,,,,Coosan Point Road,,,,St Vincent's Hospital,,,,,,,,hospital,,
hospital,,,general;psychiatry;oncology;emergency,,,,St. Vincent’s Healthcare Group,,Q7592074,,7,,,,-6.2142474,,,,,,,,,1834,https://www.stvincents.ie/,Dublin East,,,,yes,,,,,+353-1-2214000,,,53.3181377,,,,Merrion Road,,Ospidéal Ollscoile Naomh Uinseann,St Vincent's University Hospital,St Vincent's University Hospital,D04 T6F4,yes,,,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-7.1326821,,,,,,,,,,,,,,,no,,,,,,,,52.5302692,,,,,yes,,,St. Columba's Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q7587658,Loughlinstown Hospital,3,,,,-6.1327649,,government,en:St. Columcille's Hospital,,,,,,,https://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/loughlinstown/,Dublin East,+353-1-2825686,,,no,,,,,+353-1-2825800,,,53.2436132,no,,,Bray Road,,Ospidéal Cholm Cille,St. Columcille's Hospital,St. Columcille's Hospital,,,,,,2,Ireland East Hospital Group,hospital,,
hospital,,,,,,,,,,,,,,,-6.4369582,,,,,,,,,,,,,,,,,,,,,,,53.3631771,,,,,,,,St. Edmundsbury Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.3600629,,,,,,,,,,,,,,,no,,,,,,,,54.0054098,,,,,,,,St. Felim's Hospital,,,,,,,,,,
hospital,,,,,,,,,Q65042917,,,,,,-9.5131632,,,,,,,,,,,,,,,,,,,,,,,52.0677747,,,,,yes,Oispidéal Naomh Fhionán,,St. Finan's Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.3357664,,,,,,visual survey;estimate,,,,http://stfrancisprivatehospital.com/,,,,,no,,,,,+353-44-9385300,,,53.5148720,,,,,,,,St. Francis Private Hospital,N91 FE40,,,,,,,hospital,,
