building:ruian:type,health_facility:type,amenity,healthcare:speciality,lon,contact:website,roof:colour,building:flats,uir_adr:ADRESA_KOD,addr:streetnumber,height,source:position,is_in,addr:housenumber,addr:conscriptionnumber,building:levels,opening_hours,description,addr:housename,layer,name:de,note,source,addr:street,ref:ruian:building,start_date,website,source:addr,emergency,building:colour,phone,name:en,lat,addr:city,building,ref:ruian:addr,ref,name,addr:postcode,wheelchair,addr:place,email,dispensing,healthcare,landuse,addr:country
19,rehabilitation,doctors,,13.3731445,,,,,,,,,,,2,,,,,,,cuzk:ruian,,591203,,,,,,,,49.8492677,,yes,,,Rehabilitace,,,,,,rehabilitation,,
15,,doctors,,18.3564525,,,,,,,,,,,1,,,,,,,cuzk:ruian,,20189117,,,,,,,,49.6883545,,civic,,,Sette medici s.r.o.,,,,,,,,
15,,doctors,,18.0119633,,,1,,,,,,,,2,,,,,,,cuzk:ruian,,8341125,,,,,,,,49.5973184,,civic,,,Stomatologická poliklinika,,,,,,,,
15,,doctors,,17.1985897,,,,,,,,,,,2,,,,,,,cuzk:ruian,,88183777,2016-11-30,http://www.unimedjes.cz/,,,,+420 584 413 101,,50.2289503,,civic,,,UNIMED,,,,,,,,
3,,doctors,,13.6579355,,,1,,,,,,55,55,1,,,,,,,cuzk:ruian,náměstí Míru,23926457,,,,,,,,49.6876088,,residential,24335207,,Zdavotní středisko Mirošov,33843,,Mirošov,,,,,
5,,doctors,,14.4710910,,,,,,,,,,,4,,,,,,,cuzk:ruian,,22996826,,,,,,,,48.9843134,,civic,,,"Zdravotnická společnost na Pražské třídě, spol. s r.o.",,,,,,doctor,,
5,,doctors,,14.5026289,,,,,,,,,,,1,,,,,,,cuzk:ruian,,22366881,,,,,,,,50.0839964,,civic,,,Zdravotnické zařízení Troilova,,,,,,,,
,,doctors,,16.6452019,,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,49.3713245,,yes,,,Zdravotní středisko,,,,,,,,
,,doctors,,14.2389126,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2791422,,yes,,,Zdravotní středisko,,,,,,,,
15,,doctors,,17.5932615,,,,,,,,,,,2,,,,,,,cuzk:ruian,,4678711,,,,,,,,48.9695684,,civic,,,Zdravotní středisko,,,,,,,,
5,,doctors,,14.1486707,,,,,,,,,,,,,,,,,,cuzk:ruian,Brozanská,27538745,,,,,,,,50.4925502,Bohušovice nad Ohří,yes,,,Zdravotní středisko,41156,,,,,,,
5,,doctors,,15.8912609,,,,,,,,,,,2,,,,,,,cuzk:ruian,,18648347,,,,,,,,49.0948332,,civic,,,Zdravotní středisko,,,,,,,,
,,doctors,,16.5838518,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4124996,,yes,,,Zdravotní středisko,,,,,,,,
,,doctors,,12.9714499,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9051287,,yes,,,Zdravotní středisko,,,,,,,,
15,,doctors,,16.7906487,,,,,,,,,7,7,2,,,,,,,cuzk:ruian,V Zámku,24212865,,,,,,,,49.2091682,,civic,30549558,,Zdravotní středisko,66407,,Pozořice,,,doctor,,
5,,doctors,,16.5195131,,,,,,,,,,,2,,,,,,,cuzk:ruian,,7791631,,,,,,,,49.5082592,,civic,,,Zdravotní středisko,,,,,,,,
5,,doctors,,15.4014856,,,,,,,,,58,58,2,,,,,,,cuzk:ruian,Náměstí Dr. Karla Kramáře,16836715,,,,,,,,50.6863447,,civic,16958039,,Zdravotní středisko,51211,,Vysoké nad Jizerou,,,doctor,,CZ
3,,doctors,,14.5769171,,,,,10,,cuzk:km,,907/10,907,2,,,,,,,cuzk:ruian,Dvořákova,215694,,,mvcr:adresa,,,,,50.9951084,,residential,,,Zdravotní středisko,,,,,,,,CZ
15,,doctors,,14.5755589,,,1,,1,,cuzk:km,,730/1,730,3,,,,,,,cuzk:ruian,Březinova,214329,,,mvcr:adresa,,,,,50.9926490,,civic,,,Zdravotní středisko,,,,,,,,CZ
3,,doctors,,17.3926897,,,1,,,,,,,,2,,,,,,,cuzk:ruian,,16086848,,,,,,,,49.6153284,,residential,,,Zdravotní středisko,,,,,,,,
15,,doctors,,17.5822707,,,,,,,,,,,1,,,,,,,cuzk:ruian,,4844327,,,,,,,,49.0484440,,civic,,,Zdravotní středisko,,,,,,,,
5,,doctors,,17.5114425,,,,,,,,,,,1,,,,,,,cuzk:ruian,,4055683,,,,,,,,49.1723687,,civic,,,Zdravotní středisko,,,,,,,,
5,,doctors,,17.0999577,,,,,,,,,1542,1542,,,,,,,,cuzk:ruian,U Zdravotního střediska,13597817,,,,,,,,48.9158426,,civic,13687671,,Zdravotní středisko,69603,,Dubňany,,yes,,,CZ
15,,doctors,,15.5446658,,,9,,,,,,,,3,,,,,,,cuzk:ruian,,15026906,,,,,,,,50.5660851,,civic,,,Zdravotní středisko - Studenec,,,,,,,,
5,,doctors,,14.9220802,,,1,,,,,,,,3,,,,,,,cuzk:ruian,,2183781,,,,,,,,49.2658673,,civic,,,Zdravotní středisko Deštná,,,,,,,,
5,,doctors,,15.0617891,,,2,,,,,,,,1,,,,,,,cuzk:ruian,,23364301,,,,,,,,50.7385912,,civic,,,Zdravotní středisko Vesec,,,,,,,,
3,,doctors,,13.2909202,,,,,,,,,,,,,,,,,,cuzk:ruian,,41745922,,,,ambulance_station,,,,49.4027625,,residential,,,Záchranná služba,,,,,,,,
15,,doctors,,14.5529687,,,1,,,,,,,,1,,,,,,,cuzk:ruian,,22298487,,,,,,,,50.1014794,,civic,,,poliklinika Vajgarská,,,,,,,,
15,,doctors,,17.0156768,,,,,,,,,,,,,,,,,,cuzk:ruian,,47082771,,,,no,,,,48.8031299,,civic,,,soukromý praktický lékař MUDr. Jiří Bartoš,,,,,,,,
,,doctors,,17.5109815,,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,49.1720725,,yes,,,zdravotní středisko,,,,,,,,
