comment,roof:levels,amenity,maxspeed,fence,healthcare:speciality,Inaltime,contact:website,roof:colour,internet_access:fee,USE,height,LEVELS,wikidata,alt_name,operator,ele,is_in,addr:housenumber,addr:postcode:source,note,emergency,designation,is_in:country,building:levels,opening_hours,is_in:city,addr:housename,created_by,name,access,source,lon,CLC:details,start_date,is_in:county,email,highway,website,PERIMETER,fax,name:ro,description,barrier,CLC:explanation,contact:phone,is_in:country_code,pre-CLC:landuse,is_in:state,phone,historic,old_name,lat,name:hu,fence_type,ID,addr:street,building,is_in:state_code,name:en,operator:type,addr:city,ENCLOSED_AREA,roof:shape,url,addr:postcode,wheelchair,addr:interpolation,source:geometry,name:etymology:wikidata,LMI,roof:orientation,healthcare,industrial,addr:country,internet_access
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabinete medicale.,,,22.4556971,,,,,,,,,,,,,,,,,,,,46.5409352,,,,,,,,,Ștei,,,,415600,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Camera de Gardă - Spitalul Clinic de Psihiatrie “Prof. Dr. Alexandru Obregia”,,,26.1278255,,,,,,,,,,,,,,,,,,,,44.3864853,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Camera de Gardă - Spitalul de Urgență Floreasca,,,26.1008975,,,,,,,,,,,,,,,,,,,,44.4538889,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,Centrul Clinic De Excelență HIV,,,,10,,,no,,,,Mo-Fr 08:00-16:30,,,,Centru De Excelență Clinică Fundația Baylor,,Survey 2013,28.6235805,,,,,,https://www.baylor.ro/,,,,"Centrul de Excelenta Baylor asigura tratament antiHIV, precum si vitamine, suplimente nutritive si antibiotice pentru persoanele seropozitive, ingrijiri medicale in cabinete specializate (stomatologie, obstetrica-ginecologie, planificare familiala, pneumo",,,,,,,+40 241 691 730,,,44.1497426,,,,Strada Liliacului,yes,,,,,,,,900068,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centru Medical,,,24.5745144,,,,,,,,,,,,,,,,,,,,46.5510804,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,32,,,,,,,,,,,Centru de dializă Diaverum,,,24.1333259,,,,,,,,,,,,,,,,,,,,45.7960181,,,,Strada Distribuției,yes,,,,Sibiu,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centru de recuperare și reabilitare neuropsihiatrică,,,26.1526137,,,,,,,,,,,,,,,,,,,,44.4679599,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul Dializă IHS,,,27.9794470,,,,,,,,,,,,,,,,,,,,45.2698958,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul Medial de Permanență Plătărești,,,26.3769358,,,,,,,,,,,,,,,,,,,,44.3426833,,,,,,,,,Podu Pitarului,,,,,,,,,,,hospital,,,
,1,hospital,,,,,,,,,,,,,,,,20,,,,,,3,,,,,Centrul Medical Academica,,,26.1009529,,,,,,,,,,,,,,,,,,,,44.4433790,,,,,hospital,,,,,,mansard,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Centrul Medical Copou,,,27.5704780,,,,,,,,,,Cabinete medicale,,,,,,,,,,47.1735798,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,2,,,,,Centrul Medical Galenus,,,24.5734768,,,,,,,,,,,,,,,,,,,,46.5515387,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centrul Medical de Diagnostic și Tratament ""Dr. Victor Babeș""",,,26.1392145,,,,,,,,,,,,,,,,,,,,44.4280686,,,,,hospital,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centrul Medico-Social ""Sfântul Andrei""",,,26.1306613,,,,,,,,,,,,,,,,,,,,44.3827382,,,,Șoseaua Berceni,hospital,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,2,,,,,,3,,,,,Centrul Regional de Transfuzie Sanguină Tg-Mureș,,,24.5830475,,,,,,,,,,,,,,,,,,,,46.5605160,,,,Strada Molter Károly,yes,,,,,,gabled,,,,,,,,along,,,,
,,hospital,,,,,,,,,,,,,,,,115,,,,,,,,,,,Centrul de Diagnosticare și Tratament Providența,,,27.5694266,,,,,,,,,,,,,,,,,,,,47.1253657,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,40,,,,,,,,,,,Centrul de Recuperare pentru Copii dr. Nicolae Robănescu,,,26.1078393,,,,,,,,,,,,,,,,,,,,44.3896675,,,,Strada Soldat Mincă Dumitru,yes,,,,București,,,,041408,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul de Sănătate Ciacova,,,21.1239431,,,,,,,,,,,,,,,,,,,,45.5151925,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul de Sănătate Mintală Copii,,Bing,22.9063057,,,,,,,,,,,,,,,,,,,,45.8706127,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,Health Ministery,,,,,,,,,,,,,,Centrul de Transfuzie Sanguină,,,25.4569730,,,,,,,,,,,,,,,,,+40245210913,,,44.9190963,,,,,yes,,,public,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,25,,,,,,,,,,,Centrul de Transfuzie Sanguină,,,27.9693890,,,,,,,,,,,,,,,,,,,,45.2697522,,,,Strada Radu S.Campiniu,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul de Transfuzii Bârlad,,,27.6664953,,,,,,,,,,,,,,,,,,,,46.2321026,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul de dializa Bârlad,,,27.6583914,,,,,,,,,,,,,,,,,,,,46.2158680,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,Fresenius Nephrocare Romania SRL,,,16,,,,,,,,,,,Centrul de dializa Fresenius NephrocareCampulung-Muscel,,,25.0526355,,,,,,https://www.nephrocare.ro/centre-de-dializa.html,,,,http://www.nephrocare.ro/centre-de-dializa.html Tel.:+40 348 730 162,,,,,,,+40 348 730 162,,,45.2732848,,,,Strada Erou Costel Constantinescu,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul de dializă,,,27.9401579,,,,,,,,,,,,,,,,,,,,45.2524122,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centrul de plasament ""Gulliver""",,,27.5616238,,,,,,,,,,,,,,,,,,,,47.1487844,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,palliative_care,,,,,,,,,,,,,49-51,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,Centrul de Îngrijiri Paliative „Sfântul Nectarie”,,,23.6204928,,,,hospicecluj@yahoo.com,,,,,,,,,,,,,+40364733610,,,46.7844588,,,,Strada Fabricii de Zahăr,yes,,,,Cluj-Napoca,,,,400624,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrul pentru Persoane cu Handicap Suferinde de Maladia Alzheimer,,,21.1220389,,,,,,,,,,,,,,,,,,,,45.5115012,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica Amamed Bărbătești,,,24.1172807,,,,,,,,,,,,,,,,,,,,45.1723226,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica Chirurgie I,,,23.5833921,,,,,,,244.64 m,,,,,,,,,,,,,46.7659720,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001554 sq km,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica Dermato-Venerologie,,,23.5830082,,,,,,,226.39 m,,,,,,,,,,,,,46.7651568,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001488 sq km,,,,yes,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Iași,,,Clinica Dermatologică,,,27.6160036,,,,,,,,,,,,,,,,,,,,47.1577255,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica MedLife Turnului,,,25.6126401,,,,,,,,,,,,,,,,,,,,45.6651711,,,,Strada Turnului,yes,,,,Brașov,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Clinica Medicală I,,,23.5823030,,,,,,,269.52 m,,,,,,,,,,,,,46.7656738,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001734 sq km,,,,yes,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,34,,,,,,,,,,,Clinica O.R.L.,,,24.5782568,,,,,,,,,,,,,,,,,,,,46.5539216,,,,Strada Gheorghe Marinescu,,,,,,,,,540140,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica Obstetrică - Ginecologie I,,,23.5814342,,,,,,,263.16 m,,,,,,,,,,,,,46.7654169,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001855 sq km,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica Universitară de Obstetrică Ginecologie Bega,,,21.2285704,,,,,,,,,,,,,,,,,,,,45.7442869,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,89,,,,,,,,,,,Clinica de Boli Infecțioase 1,,,24.5492883,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-265-250533,,,46.5306407,,,,Strada Gheorghe Doja,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,127,,,,,,,,,,,Clinica de Boli Infecțioase 2,,,24.5463123,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-365-882605,,,46.5287599,,,,Strada Gheorghe Doja,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Chirurgie,,,24.5751653,,,,,,,,,,,,,,,,,,,,46.5532098,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,3,,,,,Clinica de Chirurgie oro-maxilo-facială,,,24.5611703,,,,,,,,,,,,,,,,,,,,46.5390842,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Clinica de Chirurgie și Ortopedie Pediatrică Dr. Trestianu Viorel,,,21.2214259,,,,,,,,,,,,,,,,,,,,45.7544314,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,12,,,,,,,,,,,Clinica de Dermato-Venerologie,,,24.5578261,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-365-882534,,,46.5386642,,,,Strada Gheorghe Doja,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Nefrologie,,,23.5849339,,,,,,,80.065 m,,,,,,,,,,,,,46.7659334,,,,Strada Victor Babeș,yes,,,,Cluj-Napoca,0.0003214 sq km,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,24,,,,,,,,,,,Clinica de Neonatologie-Prematuri,,,24.5578442,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-265-237019,,,46.5327565,,,,Bulevardul 1848,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Clinica de Neurochirurgie,,,23.5849480,,,,,,,,,,,,,,,,,,,,46.7620830,,,,,yes,,,,Cluj-Napoca,,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,Clinica de Neurologie,,,23.5845725,,,,,,,,,,,,,,,,,,,,46.7626379,,,,,yes,,,,Cluj-Napoca,,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,43,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,yes,,,,,,,,Clinica de Neurologie - Psihiatrie - Neurochirurgie,,,23.5845951,,,,,,,112.49 m,,,,,,,,,,,,,46.7632148,,,,Strada Profesor Gheorghe Marinescu,yes,,,,Cluj-Napoca,0.000626 sq km,,,400337,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,24,,,,,,,,,,,Clinica de Neuropsihiatrie,,,23.8053568,,,,,,,,,,,,,,,,,,,,44.2959654,,,,Aleea Potelu,,,,,,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,5,,,,,,,,Târgu Mureș,,,Clinica de Neuropsihiatrie Pediatrică,,,24.5646547,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-265-264388,,,46.5369554,,,,Pasajul Panseluțelor,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Obstetrică-Ginecologie,,,24.5603316,,,,,,,,,,,,,,,,,,,,46.5417803,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Oftalmologie,,,23.5836221,,,,,,,217.19 m,,,,,,,,,,,,,46.7653553,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001281 sq km,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Oftalmologie,,,24.5610602,,,,,,,,,,,,,,,,,,,,46.5412439,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Oncologie,,,24.5769675,,,,,,,,,,,,,,,,,,,,46.5531242,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Oncologie Medicală - Clinca Radiologică,,,23.5845597,,,,,,,249.22 m,,,,,,,,,,,,,46.7659234,,,,Strada Clinicilor,yes,,,,Cluj-Napoca,0.001827 sq km,,,,yes,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Ortopedie-Traumatologie,,,24.5739234,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,+40-265-213720,,,46.5519382,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,2,,,,,Clinica de Pediatrie,,,24.5826312,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,,,,46.5552566,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Pediatrie,,,23.8027432,,,,,,,,,,,,,,,,,,,,44.3033883,,,,Strada Corneliu Coposu,,,,,Craiova,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Pneumoftizologie,,,25.7828596,,,,,,,,,,,,,,,,,,,,45.8634711,Tüdőbeteg klinika,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de Pneumologie,,,24.5774755,,,,,,,,,,,,,,,,,,,,46.5536056,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,3,,,,,Clinica de Psihiatrie,,,24.5842211,,,,,,http://www.spitaljudeteanmures.ro/,,,,,,,,,,,,,,46.5563383,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinica de oftalmologie,,,21.2248780,,,,,,,,,,,,,,,,,,,,45.7553133,,,,Scuarul Martir Radian Belici,yes,,,,Timișoara,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Călărași Hospital,,bing,27.3270629,,,,,,,,,,,,,,,,,,,,44.1925241,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,DentiRAD,,,25.9523511,,,,,,,,,,,,,,,,,,,,45.0455274,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,CMI DentalCare,,,6C,,,yes,,,2,,,,,Dentist Iasi,,,27.5838468,,,,,,http://www.dentistiasi.ro,,,,,,,,,,,,,,47.1553625,,,,Strada Sfântul Andrei,,,,,Iași,,,,700028,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dermato-Venerice,,,26.0389381,,,,,,,,,,,,,,,,,,,,44.9457654,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensar,,,22.3673581,,,,,,,,,,,,,,,,,,,,46.7660974,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensar,,,23.7275007,,,,,,,,,,,,,,,,,,,,45.8089373,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensar,,,27.6610987,,,,,,,,,,,,,,,,,,,,44.6401784,,,,,,,,,,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Dispensar,,,22.3995994,,,,,,,,,,,,,,,,,,,,46.5920797,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Dispensar Baia de Criș,,,22.7157663,,,,,,,,,,,,,,,,,,,,46.1748127,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Dispensar Gheorghieni,,,23.6239644,,,,,,,,,,,,,,,,,,,,46.7663231,,,,,yes,,,,Cluj-Napoca,,,,,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,Hoceni,,,,,,no,,,,,,,,Dispensar Hoceni,,,28.0110694,,,,,,,,,,,,,,,,,,,,46.5382419,,,,,,,,,Hoceni,,,,737285,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensar Magurele,,,26.0296072,,,,,,,,,,,,,,,,,,,,44.3503063,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,167,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,Dispensar TBC,,,28.6298580,,,,,,,,,,,,,,,,,,,,44.2011891,,,,Bulevardul Alexandru Lăpușneanu,yes,,,,Constanța,,,,900412,,,,,,,,,RO,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Dispensar medic de familie,,,28.0388752,,,,,,,,,,,,,,,,,,,,46.7060853,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,general,,,,,,,,,,,,,,,,,,,,,,,,Dispensarul Brezoi,,,24.2396852,,,,,,,,,,,,,,,,,,,,45.3436490,,,,Strada Panduri,,,,,Brezoi,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensarul Comunal,,,27.1036214,,,,,,,,,,,,,,,,,,,,45.9567713,,,,,,,,,Movilița,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensarul Uman Malaia,,,24.0422213,,,,,,,,,,,,,,,,,,,,45.3519346,,,,,,,,,,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensarul medical Părău,,,25.1917470,,,,,,,,,,,,,,,,,,,,45.8488122,,,,,yes,,,,Părău,,,,507155,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,no,,,,,,,,Dispensarul uman Vașcău,,,22.4722552,,,,,,,,,,,,,,,,,,,,46.4760113,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,endocrinology,,,,,,,,,,,,,,,,,,Romania,,,Sibiu,,,Endocrinologie,,,24.1573831,,,Sibiu,,,,,,,,,,,RO,,,,,,45.7951528,,,,,hospital,,,,,,,,,,,,,,,hospital,,,
,,hospital,,,gynaecology;maternity,,,,,,,,,,Euromaterna,,,32,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,Euromaterna,,,28.6137831,,,,,,,,,,,,,,,,,,,,44.2015852,,,,Strada Ștefăniță Vodă,,,,,Constanța,,,,900402,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,Santac,,,,,La acesta farmacie se elibereaza retete compensate,no,,,,,,,,Farmacia Hoceni,,,28.0114169,,,,,,,,,,,,,,,,,,,,46.5371525,,,,,,,,,Hoceni,,,,737285,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Fost spital de copii,,,27.9738573,,,,,,,,,,,,,,,,,,,,45.2689105,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Fostă Policlinică Petrila,,"survey, Bing , legea544/2001",23.3784077,,,,,,,,,,,,,,,,,,,,45.4434508,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiperdia,,,26.1343187,,,,,,,,,,,,,,,,,,,,44.4446511,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,București,,,INHT C.T Nicolau,,,26.0796395,,,,,,,,,,,,,,,,,,,,44.4540700,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Infecțioase,,,26.7634806,,,,,,,,,,,,,,,,,,,,46.2543377,,,,,yes,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,258,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,Institutul Clinic Fundeni (Clădirea A),,"survey, field survey",26.1560941,,,,,,www.icfundeni.ro,,,,,,,,,,,,,,44.4655248,,,,Șoseaua Fundeni,hospital,,,,București,,,,022328,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,"Institutul Național de Boli Infecțioase ""Profesor Doctor Matei Balș""",,,26.1154528,,,,,,,,,,,,,,,,,,,,44.4546577,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Institutul Național de Expertiză Medicală și Recuperare a Capacității de Muncă,,,26.0713636,,,,,,,,,,,,,,,,,,,,44.4251286,,,,,,,,,,,,,,,,,,,,,,,
