shop,health_facility:type,office,healthcare:speciality,indoor,payment:cash,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,addr:housenumber,name:de,source,location,building:roof:colour,fax,roof:colour,contact:postcode,emergency,ref:FR:SIREN,ref:FR:SIRET,historic,FID,addr:street,bmo:type,source:name,fixme,name:en,contact:fax,addr:city,wheelchair:description,payment:debit_cards,type:FR:FINESS,addr:postcode,roof:material,level,payment:credit_cards,roof:orientation,source:geometry:date,payment:mastercard,amenity_1,amenity_2,payment:american_express,wheelchair:step_height,source:addr,payment:maestro,operational_status,access,payment:cheque,ref,email,barrier,contact:email,name:br,roof:shape,building:use,wall,source:geometry,source:building,health_person:type,health_specialty:radiology,toilets:wheelchair,massage,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,alt_name,building:roof:shape,contact:country,operator,railway:historic,contact:city,short_name,area,opening_hours,contact:phone,addr:housename,name,whc:inscription_date,heritage,type,start_date,website,noname,contact:housenumber,source:date,phone,health_specialty:allergology,official_name,old_name,smoking,opening_hours:signed,room,source:version,disused:name,buildingpart,dispensing,ref:FR:NAF,wheelchair,amenity,operator:type,addr:unit,ref:whc,payment:notes,source:addr:version,medical_system:western,doctor,building:levels,note,name:fr,contact:street,description,building:material,note:fr,addr:full,payment:visa,lat,reservation,building,building:colour,payment:coins,roof:levels,addr:place,healthcare,disused:railway,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,,2,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Avenue Nowy Targ,,,,,,Évry,,,,91000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4431252,,,,,Laboratoire d'analyse médicale,,,,,,,,Mo-Fr 07:30-18:30; Sa 07:30-12:00,,,Biolab,,,,,,,,,+33 1 60 77 36 02,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6338262,,yes,,,,,,,FR,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8721230,,,,,,,,,,,,,07:30-19:00,,,Brun-Ney,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.5379160,,yes,,,,,,,,,
,,,,,,,,,65,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,Avenue de l'Europe,,,,,,Blois,,,,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3004280,,,,,,,,,,,,,,,,Bâtiment F,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,2,,,,,,,,,47.5899530,,apartments,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Lory les Hauts,,,,,,,,,,97490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4817260,,,,,,,,,,,,,,,,"CENTRE MÉDICAL "" LORY """,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-20.8926131,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8918800,,,,,,,,,,,,,,,,CEP-ADAIR,2012,1,,,,,,,,,,Centre de Soins,,,,,,,,,,doctors,,,1360-055E,,,,,,,,,,,,,,50.4208440,,yes,,,,,,,,whc,
,,,,,,,,,6,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Avenue César Caire,,,,,,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3200110,,,,,,,,,,,,,Mo-Fr 07:30-19:00; Sa 07:30-18:00,,,COSEM Miromesnil,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,7,,,,,,,,,48.8765145,,yes,,,,,,,FR,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3600020,,,,,,,,,,,,,"Mo-Fr 08:00-12:00,14:00-19:00; Sa 08:00-12:00",,,Cabinet Allongue,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,3,,,,Ostéopathes,,,,,43.4907440,,apartments,,,,,,,,,
,,,,,,,,,1,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,Rue des Lauriers,,,,,,Beaulieu-sous-la-Roche,,,,85190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6091860,,,,,,,,,,,,,,,,Cabinet Bourdet Lebreton Mallard,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.6781530,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0637790,,,,,,,,,,,,,,,,Cabinet Brivet-Raffin Mutualité Française,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.6008630,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0778020,,,,,,,,,,,,,,,,Cabinet Docteur Dary,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.3023610,,,,,,,,,,,
,,,,,,,,,,,Cadastre. Mise à jour : 2012;recalage bing;survey 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8183172,,,,,,,,,,,,,,,,Cabinet Infirmier,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.5697944,,yes,,,,,,,,,
,,,,,,,,,95,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue des Écoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9046472,,,,,,,,,,,,,,,,"Cabinet Infirmier (Molina, Gonzalvez, Nicole)",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.8609229,,yes,,,,,,,,,
,,,general,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2672448,,,,,,,,"Dr Jeu, Dr Jurine",,,,,,,,Cabinet Jeu-Jurine,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,-21.0467618,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0180040,,,,,,,,,,,,,,,,Cabinet Kinésithérapeute,,,,,,,,,+33 4 77 24 19 06,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.7434180,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,operational,,,,,,,,,,,Theodolite,,,,,,,-149.6075733,,,,,,,,,,,,,,,,Cabinet Kinésithérapie,,,,,,,,2017/06/13,,,,,,,,,,,,,,doctors,private,,,,,,,,,,,,hard,,,,-17.5608940,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5006270,,,,,,,,,,,,,,,,Cabinet Medical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.4432207,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,#606A6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4254538,,,,,,gabled,,,,,,,,,,Cabinet Medical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,2,,,,,,,,,48.5497022,,yes,,,,,,,,,
,,,,,,,,,1,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Avenue de la République,,,,,,Grisolles,,,,82170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2962370,,,,,,,,,,,,,,,,Cabinet Medical,,,,,,,,,+335 63 23 11 90,,,,,no,,,,,,,,doctors,,,,,,,,1,,,,,,,,,43.8270000,,house,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0404792,,,,,,,,,,,,,,,,Cabinet Medical,,,,,,,,,,,,,,,,,,,yes,,,doctors,,,,,,,,,,,,,,,,,45.5087744,,yes,,,,,,,,,
,,,,,,,,,14,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,Rue de la Sauvée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5220940,,,,,,,,,,,,,"Tu,Th,Sa 08:30-18:30",,,Cabinet Medical,,,,,,,,,,,,,,,,,,,,8621Z,yes,doctors,,,,,,,,,,,,,,,,,47.4098660,,,,,,,,,,,
,,,,,,,,,51,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,Rue Paul Pouteil-Noble,,,,,,Villard-de-Lans,,,,38250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5485400,,,,,,,,,,,,,,,,Cabinet Medical des Bains,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.0679350,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1055622,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.6621115,,yes,,,,,,,,,
,,,,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,slate,,,,,,,,,,,,,,,,,,,,gabled,,,,,,,,,,-1.4967459,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,1,,,,,,,,,47.4386346,,office,,,,,doctor;nurse;speech_therapist;podiatrist,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2675827,,,,,,,,,,,,,"Mo-Sa 08:30-11:30,16:30-18:30; Su 08:30-11:30",,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.0710260,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5797160,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.7685870,,yes,,,,,,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9409398,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.8654227,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8266894,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.5828279,,yes,,,,,,,,,
,,,general,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,Île-de-Bréhat,,,,22870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9983576,,,,,,,,Dr Yves TRIMAILLE,,,,,,,,Cabinet Médical,,,,,,,,,+33 2 96 20 09 51,,,,,,,,,,,,,doctors,,,,,,,,,Également pro-pharmacie,,,Conventionné secteur 1 Carte Vitale acceptée,,,,,48.8462298,,yes,,,,,doctor,,,,
,,,,,,,,,13,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,Lices de l'Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0981570,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,+33 5 63 76 11 12,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.0704950,,yes,,,,,,,,,
,,,,,,,,,,,survey 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1948734,,,,,,,,,,,,yes,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.8931487,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5858060,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.7219240,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2881023,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1887256,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7931132,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.5340011,,,,,,,,,,,
,,,,,,,,,,,Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9759431,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.2684934,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6007530,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.0010050,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6583534,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.0808883,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2662084,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1641837,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2235720,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2426201,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4365971,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.2565567,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6177061,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,"Infirmiers, Kiné, Ostéopathe",,,,,45.8394418,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5405105,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.2486842,,yes,,,,,,,,,
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0713097,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.6592349,,yes,,,,,,,,,
,,,general,,,,,,176,,,,,,,,,,,,,Rue des Bouleaux,,,,,,Dissay,,,,86130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4157341,,,,,,,,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-12:00,,,Cabinet Médical,,,,,,,,,+33 5 49 52 42 32,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.7034312,,yes,,,,,doctor,,,,
,,,general,,,,,,2,,,,,,,,,,,,,Rue de Bel-Air,,,,,,Port-Saint-Père,,,,44710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7578118,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,47.1307892,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6262957,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.8990656,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0107919,,,,,,,,,,,,,,,,Cabinet Médical,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.7447323,,yes,,,,,,,,,
