roof:levels,amenity,drive_through,office,lon,contact:website,roof:colour,layer,internet_access:ssid,payment:debit_cards,payment:cash,payment:notes,payment:credit_cards,operator,name:de,brand:wikipedia,addr:housenumber,toilets,payment:maestro,payment:girocard,building:levels,opening_hours,contact:phone,addr:housename,addr:suburb,payment:apple_pay,name,note,source,brand:wikidata,ref:vatin:hu,email,website,fax,description,barrier,contact:email,brand,payment:visa,phone,lat,smoking,addr:street,building,fixme,name:en,contact:fax,addr:city,wheelchair:description,roof:shape,url,addr:postcode,wheelchair,payment:coins,payment:mastercard,start_date,dispensing,healthcare,toilets:wheelchair,payment:cards,addr:country
,pharmacy,,,17.2826849,,,,,,,,,,,,,,,,,,,,,,Flórián Patika,,,,,,,,,,,,,,46.9762238,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,20.0790202,,,,,,,,,,,,14,,,,,Mo 09:00-11:30; We 13:00-16:00; Fr 08:30-11:00,,,,,Fontana Fiókgyógyszertár,,,,,,,,,,,,,+36 36 476-061,47.9489083,,Baross Gábor utca,yes,,,,Mátraderecske,,,,3246,,,,,yes,pharmacy,,,
,pharmacy,,,21.6016284,,,,,,,,,,,,,,,,,,,,,,Főnix patika,,,,,,,,,,,,,,47.5224440,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.9937840,,,,,yes,,,,Gazdagréti Patika Kft.,,,6,,,,2,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,Gazdagréti Patika,,,,23978270-2-43,,http://homeopatika.hu/,,ügyeletes gyógyszertár,,,,,+36 1 246 33 64,47.4736869,,Gazdagréti tér,retail,,,,Budapest,,,,1118,,,,,,,,,
,pharmacy,,,19.7793242,,,,,,,,,,,,,,,,,,,,,,Gondozási Központ,,,,,,,,,fence,,,,,46.1963837,,,,,,,,,,,,,,,,no,,,,
,pharmacy,,,17.5151672,,,,,,,,,,,,10,,,,,,,,,,Griff gyógyszertár,,,,,,,,,,,,,,46.8037742,,Hősök tere,yes,,,,Badacsonytomaj,,,,8258,,,,,,,,,HU
,pharmacy,,,19.1847152,,,,,,,,,,,,16,,,,,,,,,,Gyémánt Patika,,,,,,,,,,,,,,47.5169554,,Centenáriumi sétány,,,,,Budapest,,,,1165,,,,,no,pharmacy,,,
,pharmacy,,,18.8797540,,,,,,,,,Makrai és Társa,,,36,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,+36-33-471-137,47.7832322,,Rákóczi Ferenc út,yes,,,,Pilismarót,,,,2028,,,,,,,,,
,pharmacy,,,17.2028607,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,bing,,,,,,,,,,,,47.9969580,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.8632199,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,46.5418561,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,17.6106421,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,47.7222196,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,17.4758084,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,47.7967653,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,21.2648116,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,46.9261861,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,20.6707991,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,46.6710495,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,yes,,19.6331946,,,,,,,,,Halasi Patika Gyopár 94 Bt.,,,27,,,,,,,,,,Gyógyszertár,,local knowledge,,,,,,,,,,,,47.7075610,,Arany János utca,yes,,,,Heréd,,,,3011,,,,,yes,pharmacy,,,
,pharmacy,,,18.3259714,,,,,,,,,,,,43,,,,,,,,Vasas,,Gyógyszertár,,,,,,,,,,,,,,46.1350053,,Bethlen Gábor utca,yes,,,,Pécs,,,,7691,,,,,,,,,
,pharmacy,,,18.7895285,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,47.3148561,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.6857332,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,47.0727294,,Sárosdi utca,yes,,,,Szabadegyháza,,,,,,,,,,,,,
,pharmacy,,,20.6194351,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,48.2534693,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,17.3934589,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,46.6440843,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,20.9655419,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,48.1023435,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,16.8353706,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár,,,,,,,,,,,,,,46.8307734,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,20.7538482,,,,,,,,,,,,,,,,,,,,,,Gyógyszertár BENU reménység,,,,,,,,,,,,,,47.6244739,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,18.9892564,,,,,,,,,,,,2,,,,,,,,,,Gyógyszertár-Háziorvosi rendelő,,turistautak.hu,,,,,,,,,,,,47.7236944,,Petőfi Sándor utca,yes,,,,Pilisszentlászló,,,http://turistautak.hu/poi.php?id=131738,2009,,,,,,,,,
,pharmacy,,,18.9206186,,,,,,,,,,,,,,,,,,,,,,Gyömbér Patika,,,,,,,,,,,,,,47.3974045,,,yes,,,,,,,,,,,,,yes,,,,
,pharmacy,,,21.2534312,,,,,,,,,Dr. Czirok Gyula,,,2,,,,,,,,,,Gyöngyvirág,,http://gyongyvirag-elek.gyongypatikak.hu/,,,,,,,,,,,,46.5290239,,Harruckern tér,yes,,,,Elek,,,,5742,,,,,,,,,
,pharmacy,,,17.9706867,,,,,,,,,,,,,,,,,,,,,,György Patika fiókgyógyszertár,,,,,,,,,,,,,,47.0593348,,,residential,,,,,,,,,,,,,,,,,
,pharmacy,,,19.2476880,,,,,,,,,,,,,,,,,,,,,,Halmi Telepi Patika,,,,,,,,,,,,,,47.4083212,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.8283982,,,,,,,,,,,,,,,,,,,,,,Helios Patika,,,,,,,,,,,,,,47.5152911,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,16.6474092,,,,,,,,,,,,283/A,,,,,,,,,,Hermán gyógyszertár,,,,,,http://hermanszombathely.novodata.hu/,,,,,,,,47.2036840,,Rumi út,yes,,,,Szombathely,,,,9700,,,,,,,,,
,pharmacy,,,19.1527176,,,,,,,,,,,,,,,,,,,,,,Hunyadi Patika,,,,,,,,,,,,,,47.4555507,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,19.6105263,,,,,,,,,,,,36,,,,,,,,,,IRSA Gyógyszertár,,,,,,,,,,,,,+36 53 371 645,47.2379525,,Somogyi Béla utca,yes,,,,Albertirsa,,,,2730,,,,,,,,,
1,pharmacy,,,16.5923504,,,,,,,,,,,,,,,,1,,,,,,Intézeti Hospital Gyógyszertár,,,,,,,,,,,,,,47.0104380,,,hospital,,,,,,pyramidal,,,,,,,yes,,,,
,pharmacy,,,21.5440465,,,,,,,,,,,,,,,,,,,,,,Intézeti gyógyszertár,,,,,,,,,,,,,,47.2262688,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.5033223,,,,,,,,,,,,,,,,,,,,,,Iris gyógyszertár,,,,,,,,,,,,,,47.3077908,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.6085323,,,,,,,,,,,,26,,,,,,,,,,Irmák Gyógyszertár,,,,,,,,,,,,,+36 53 571 118,47.2501458,,Dózsa György utca,yes,,,,Albertirsa,,,,2730,,,,,,,,,
,pharmacy,,,19.0215081,http://www.istvankiralypomaz.novodata.hu/,,,,,,,,,,,15,,,,,"Mo,Th 07:00-19:00; Tu,We,Fr 07:00-18:00; Sa 08:00-13:00; PH off",+36 26 325 462,,,,István király gyógyszertár,,,,,,,,,,,,,,47.6481800,,Kossuth Lajos utca,retail,,,,Pomáz,,,,2013,,,,,,,,,
,pharmacy,no,,18.8246420,,,,,,,,,,,,104,,,,,,,,,,Iváncsa Patika,,,,,,,,,,,,,,47.1530672,,Fő utca,yes,,,,Iváncsa,,,,2454,,,,,,,,,
,pharmacy,yes,,18.7172821,,,,,,yes,,yes,,,,15,,,,,Mo-Th 08:00-18:00; Fr 08:00-14:00; PH off,,,,,Janza Gyógyszertár,,,,,,,,,,,,yes,,47.6905842,,Kossuth Lajos utca,retail,,,,Csolnok,,,,2521,,yes,yes,,yes,pharmacy,,,
,pharmacy,,,17.7515232,,,,,,,,,,,,18,,,,,Mo-Fr 08:00-16:00; Tu 08:30-16:30; Th 08:15-16:30,,,,,Julianus Gyógyszertár,,,,,,,,,,,,,+36 88 261750,47.1331888,,Vasút utca,retail,,,,Herend,,,,8440,,,,,,,,,
,pharmacy,,,20.1677737,,,,,,,,,,,,1,,,,,,,,,,KORALL patika,,,,,,,,,,,,,,46.2772878,,Algyői út,yes,,,,Szeged,,,,6727,,,,,,,,,
,pharmacy,,,20.2672963,,,,,,,,,,,,17/A,,,,,,,,,,Kamilla Patika,,,,,,,,,,,,,,47.5979186,,József Attila utca,yes,,,,Heves,,,,3360,,,,,,pharmacy,,,
,pharmacy,,,21.7127146,,,,,,,,,,,,,,,,,,,,,,Kamilla Patika,,,,,,,,,,,,,,47.9676012,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,17.6393310,,,,,,,,,,,,43,,,,,,,Kardirex gyógyszertár,,,Kardirex gyógyszertárt,,,,,,,,,,,,,+36 96 516320,47.6710729,,Táncsics Mihály utca,yes,,,,Győr,info@kardirex.hu,,,9024,yes,,,,,,yes,,
,pharmacy,,,17.4687836,,,,,,,,,,,,24-26,,,,,,,,,,Karlovitz Gyógyszertár,,,,,,,,,,,,,,47.3292268,,Fő utca,yes,,,,Pápa,,,,8500,,,,,,,,,
,pharmacy,,,17.6421922,,,,,,,,,,,,59,,,,,,,,,,Kazay Endre Gyógyszertár,,,,,,,,,,,,,,47.6743895,,Liezen-Mayer utca,yes,,,,Győr,,,,9024,,,,,,,,,
,pharmacy,,,16.7217847,,,,,,,,,,,,11,,,,,Mo-Fr 08:00-18:00; Sa 08:00-13:00,,,,,Kazay Endre gyógyszertár,,,,,,,,,,,,,,46.4334340,,Szabadság tér,yes,,,,Letenye,,,,8868,,,,,yes,pharmacy,,,
,pharmacy,,,19.6855089,,,,,,,yes,,Kehely Patika Kft.,,,102,,,yes,,"Mo,Tu,We,Fr 08:00-12:00; Th 12:00-16:00",,,,,Kehely Gyógyszertár,,FÖMI ortophoto 2005,,,,,,,,,,,+3629421479,47.3625289,,Rákóczi út,yes,,,,Tápióbicske,,,,2764,yes,yes,,,yes,pharmacy,,,
,pharmacy,,,18.7453090,,,,,,,,,,,,30,,,,,,,,,,Kolos Patika,,,,,,,,,,,,,,47.7904612,,Petőfi Sándor utca,retail,,,,Esztergom,,,,2500,,,,,,pharmacy,,,
,pharmacy,,,18.9630814,,,,,,yes,,,,,,1/A,,,,,Mo-Fr 08:00-16:00,,,,,Kossuth Lajos Gyógyszertár,,,,,,,,,,,,,+36 78 428 231,46.8811342,,Nagy Lajos tér,yes,,,,Apostag,,,,6088,,,,,yes,pharmacy,,yes,
,pharmacy,,,19.3098171,,,,,,,,,,,,136,,,,,,,,,,Kristály Gyógyszertár,,,,,,https://patikakristaly.hu/,,,,,,,,48.0802374,,Rákóczi fejedelem útja,yes,,,,Balassagyarmat,,,,2660,,,,,,pharmacy,,,
,pharmacy,,,19.1022909,,,,,,,,,,,,,,,,,,,,,,Kunhalom Patika,,Bing,,,,,,,,,,,,47.5745482,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.5519371,,,,,,,,,,,,5,,,,,,,,,,Kék Írisz Patika,,,,,,,,,,,,,,47.7602032,,Tompa Mihály utca,yes,,,,Nyergesújfalu,,,,2536,,,,,yes,pharmacy,,,
,pharmacy,,,19.3481321,,,,,,,,,,,,3,,,,,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,,,Kígyó gyógyszertár,,,,,,,,,,,,,,47.6003916,,Gábor Áron utca,yes,,,,Gödöllő,,,,2100,,,,,,,,,
,pharmacy,,physician,20.1930852,,,,,,,,,,,,6/A,,,,,,,,,,Levendula Gyógyszertár,,,,,,,,,,,,,,47.1921866,,Széchenyi István körút,,,,,Szolnok,,,,5000,,,,,,,,,
,pharmacy,,,19.0442875,,,,,,,,,,,,,,,,,,,,,,Liliom patika,,,,,,,,,,,,,,47.9406816,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,17.3206072,,,,,,,,,,,,,,,,,,,,,,Magyar Korona Patika,,,,,,,,,,,,,,47.8587240,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,19.0778443,http://www.mara.paticard.hu,,,,,,,,,,,1,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,+36 1 329-8401,,,,Mara Patika,,Bing,,,,,,,,nfo@mara.paticard.hu,,,,47.5491182,,Gyöngyösi sétány,yes,,,,Budapest,,,,1138,,,,,,,,,HU
,pharmacy,,,18.9132380,,,,,,,,,,,,36,,,,,Mo-Fr 07:30-16:00,,,,,Medicinále Patika,,http://www.webbeteg.hu/keresok/patika/791/,,,,,,,,,,,+36 79 481 306,45.9995911,,József Attila utca,yes,,,,Dávod,,,,6524,,,,,,,,,
,pharmacy,,,20.2891017,,,,,,,,,,,,1.,,,,,,,,,,Megyecímer Patika,,,,,,,,,,,,,,47.5943628,,Hősök tere,yes,,,,Heves,,,,3360,,,,,,pharmacy,,,
,pharmacy,,,20.5264400,,,,,,,,,,,,108,,,,,,,,,,Máté Patika,,,,,,,,,,,,,,47.5597084,,Fő út,yes,,,,Tiszanána,,,,3385,,,,,,,,,
,pharmacy,,,19.1703585,,,,,,,,,,,,,,,,,,,,,,Nagyicce patika,,,,,,,,,,,,,,47.5072083,,,commercial,,,,Budapest,,,,,,,,,,pharmacy,,,
,pharmacy,,,18.1363910,,,,,,,,,,,,5,,,,,"Mo,We,Th 07:30-16:30; Tu,Fr 07:30-14:00",+36 72 372525,,,,Napvirág Gyógyszertár,,,,,,,,,,,,,,45.9702621,,Rákóczi utca,yes,,,,Görcsöny,,,,7833,,,,,no,,,,HU
,pharmacy,,,22.1488958,,,,,,,,,,,,8,,,,,Mo-Fr 14:00-16:30,,,,,Nyirfa Gyógyszertár,,,,,,,,,,,,,,47.7676731,,Kossuth Lajos utca,yes,,,,Piricse,,,,4375,,,,,yes,,,,HU
,pharmacy,,,21.4987189,,,,,,,,,,,,7.,,,,,Mo-Fr 08:00-18:00,,,,,Olajág Gyógyszertár,Ingyenes vércukormérési lehetőség.,,,,,,,,,,,,+36 52 572 084,47.8158586,,Vasvári Pál tér,yes,,,,Hajdúdorog,,,,4087,,,,,,,,,
,pharmacy,,,19.1638157,,,,,,,,,,,,90,,,,,,,,,,Pallasz Athéné Gyógyszertár,,,,,,,,,,,,,,47.5198428,,Rákosi út,yes,,,,Budapest,,,,1161,,,,,yes,pharmacy,,,
,pharmacy,,,17.9756974,,,,,,,,,,,,4/d,,,,,Mo-Fr 08:00-17:00; Sa 09:00-13:00,,,,,Paracelsus Gyógyszertár,,,,,,,,,,,,,,46.9908898,,Óvoda utca,house,,,,Alsóörs,,,,8226,yes,,,,yes,,,,
,pharmacy,,,18.8830798,,,,,,,,,,,,,,,,,,,,,,Parkvárosi Patika,,,,,,,,,,,,,,47.4132413,,Bem tér,yes,,,,Érd,,,,2030,,,,,,,,,
,pharmacy,,,17.3742201,,,,,,,,,,,,,,,,,,,,,,Patika,,,,,,,,,,,,,,47.9358730,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,18.8250442,,,,,,,,,,,,,,,,,,,,,,Patika,,,,,,,,,,,,,,46.3844368,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,22.6726078,,,,,,,,,,,,,,,,,,,,,,Patika és Reformház,,,,,,,,,,,,,,47.8299808,,,yes,,,,,,,,,,,,,,pharmacy,,,
,pharmacy,,,17.4346959,,,,,,,,,,,,23,,,,,,,,,,Pelikán Gyógyszertár,,,,,,,,,,,,,,46.8844127,,Bajcsy-Zsilinszky utca,yes,,,,Tapolca,,,,8300,,,,,,,,,
,pharmacy,,,19.2503983,,,,,,,,,,,,,,,,,Tu 08:00-11:00; We 12:00-15:30; Fr 12:00-15:00,,,,,Penci Fiókgyógyszertár,,,,,,,,,,,,,+36 27 368 408,47.8012500,,,yes,,,,,,,,,yes,,,,,,,,
,pharmacy,,,19.2426109,,,,,,,,,,,,41/d,,,,,Mo-Fr 08:00-20:00; Sa 08:00-13:00,,,,,Pharmatrend Patika,,,,,patika.pharmatrend@gmail.com,,,,,,,,+3612567939,47.4819783,,Pesti út,yes,,,,Budapest,,,,1173,,,,,,pharmacy,,,
,pharmacy,,,20.4347613,,,,,,,,,,,,,,,,,,,,,,Piac Patika,,,,,,,,,,,,,,48.2930441,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,no,,20.2649396,,,,,,,,,Pingvin Hód Zrt.,,,12,,,,,Mo-Fr 07:30-18:30; Sa 07:30-12:00,,,,,Pingvin Patika,,,,,,,,,,,,,,46.6572904,,Rákóczi Ferenc utca,,,,,Szentes,,,,6600,,,,,,pharmacy,,,
