shop,name:cy,healthcare:speciality,building:part,wikipedia:en,postal_code,source:outline,fhrs:structural,ref:seedcode,is_in,addr:housenumber,note,old:fhrs:id,man_made,electricity,created_by,pharmacy,source,is_in:town,capacity:disabled,health_specialty:physiotherapy,multipolygon,fhrs:local_authority_id,health_specialty:geriatrics,fax,survey:date,short_name,check_date,leisure,note:outline,historic,facebook,name:uk,motor_vehicle,source:area,smoothness,wikimedia_commons,addr:street,name:em,source:name,fixme,name:en,contact:fax,name,designation,addr:postcode,roof:material,addr:state,name:etymology:wikidata,fhrs:rating,disused,opening_hours:minor_injuries,health_specialty:renal_dialysis,amenity_1,Source,loc_name,description,healthcare:speciality:mental_health,not:addr:postcode,operational_status,wikipedia,minor_injuries_unit,access,fhrs:authority,alt_website,fhrs:confidence_management,email,highway,barrier,contact:email,addr:province,fhrs:id,roof:shape,specialism,insurance:health,source:geometry,addr:city,source:building,military,toilets:wheelchair,internet_access,drive_through,fhrs:businesstype,lon,contact:website,roof:colour,layer,private,height,lat,alt_name,fhrs:hygiene,operator,previous_name,fee,ref:university_of_cambridge,area,opening_hours,hospital,contact:phone,addr:housename,healthcare:speciality:rehabilitation,type,start_date,website,brand,telephone,phone,health_specialty:dentistry,old_name,smoking,disused:fhrs:id,addr:village,abandoned,note:wikidata,source:id,historic:operator,architect,wheelchair:description,dispensing,landuse,source:amenity,hospital:for,amenity,operator:type,reg_name,addr:suburb,surface,building:min_level,wikidata,source:postcode,addr:town,emergency,addr:district,building:levels,lit,FIXME,source:addr,ref:edubase,addr:full,fence_type,last_check,addr:county,source:addr:postcode,ref:charity,building,building:colour,fhrs:inspectiondate,name:gd,url,wheelchair,addr:place,outpatients,beds,healthcare,position,addr:country,operator:wikidata
,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,Skipton Road,,,,,,Airedale General Hospital,,BD20 6TD,,,,,,,,,,,,,,,,,,,,,,,,,,327000,,,,,Keighley,,,,,,,-1.9616604,,,,,,53.8960764,,,,,,,,,,,,,,,,,,,,,,,Steeton With Eastburn,,,,,,,,,,,hospital,,,,,,Q4698667,,,yes,,,,,FHRS Open Data,,,,,,,,,,,,http://www.airedale-trust.nhs.uk/,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park Road,,,,,,Aldeburgh Community Hospital,,IP15 5ES,,,,,,,,,,,,,,,,,,,,,,,,,,1081444,,,,,,,,,,,,1.5954262,,,,,,52.1519171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,,,,,,,Alder Grange Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9036364,,,,,,53.4244590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,,,,,,,Alder Grange Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9036364,,,,,,53.4244590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alder Hey Children's Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8978729,,,,,,53.4173344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q4713621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alder Hey Children's Hospital (Abandoned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8975751,,,,,,53.4216395,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alderney Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9437215,,,,,,50.7504242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q30292792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldershot Centre for Health,,GU11 1AY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7649176,,,,,,51.2544744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandra Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9169897,,,,,,52.2813539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q30254348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandra Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2172611,,,,,,53.3972097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q55603603,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,Station Road,,,,,,All Hallows' Hospital,,NR35 2QL,,,,,,,,,,,,,,,,,,,,,,,,,,647804,,,,,,,,,,,,1.4454282,,,,,,52.4663188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infirmary Drive,,,,,,Alnwick Infirmary,,NE66 2NS,,,,,,,,,,,,,,,,,,,,,,,,,,285924,,,,,Alnwick,,,,,,,-1.6974076,,,,,,55.4111857,,,,,,,,,,,,,,,https://www.northumbria.nhs.uk/our-locations/alnwick-infirmary,,,+44 344 811 8111,,,,,,,,,,,,,,,,hospital,,,,,,Q60764368,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glenshane Road,,,,,,Altnagelvin Hospital,,BT47 6SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derry,,,,,,,-7.2898580,,,,,,54.9883505,,,,,,,,,,,,,,,,,,028 7134 5171,,,,,,,,,,,,,,,,hospital,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulance A&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8585280,,,,,,53.7049287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,NO A&E!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amersham General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6230980,,,,,,51.6619965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,Andover Hospital (Grounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4957231,,,,,,51.2166103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,,,,,,,Anglesea Heights Residential And Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1488738,,,,,,52.0630373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annan Hospital,,DG12 6NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2469060,,,,,,54.9877576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q85011468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antrim Area Hospital,,BT41 2RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antrim,,,,,,,-6.1879101,,,,,,54.7356661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q30280607,,,yes,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antrim Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2144382,,,,,,54.7167922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appleby Care Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2672155,,,,,,51.3430845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,,,,,,,Appleby Court Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8805060,,,,,,53.4879036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbroath Infirmary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5986635,,,,,,56.5548323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q4784932,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarendon Court,,,,,,Archways,,YO31 8YZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,York,,,,,,,-1.0798573,,,,,,53.9722751,Archways Community Intermediate Care Inpatient Facility,,York NHS Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,Kingsbury Road,,,,,,Ardenleigh Hospital,,B24 9SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,-1.8351850,,,,,,52.5162822,,,Birmingham and Solihull Mental Health NHS Foundation Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ards Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.7066184,,,,,,54.5926735,Ards Community Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armagh Community Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6440879,,,,,,54.3512399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordelia Close,,,,,,Arnold Lodge Regional Secure Unit,,LE5 0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leicester,,,,,,,-1.0900391,,,,,,52.6465735,,,Nottinghamshire Healthcare NHS Foundation Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arran War Memorial Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1165120,,,,,,55.5431678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q27990508,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arrowe Park Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0955444,,,,,,53.3685189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Rank House,,,roof_tiles,,,,yes,,,,,,,,,,,,,,,,,,,,,,hipped,,,,,,,,,,,0.1537003,,,,,,52.1982370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashby Turn Doctors Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6542876,,,,,,53.5662176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashcroft Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7127957,,,,,,53.8242494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OS OpenMap Local,,,,,,,,,,,,,,,,,,,,,,,,,,Ashfield Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0530759,,,,,,51.8216966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashford Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,-0.4740123,,,,,,51.4430125,,,,,,,,,,,,,,,http://changingplaces.uktoiletmap.org/toilet/view/903,,,,,,,,,,,,,,Changing Places Toilet is located in the 1st floor outpatients department and is not locked. http://changingplaces.uktoiletmap.org/toilet/view/903,,,,,hospital,,,,,,Q30292831,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashtead Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3038390,,,,,,51.3139463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashtead Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3039261,,,,,,51.3046725,,,Bupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashton Community Care Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7987974,,,,,,54.0398019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashville Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4586243,,,,,,53.5425182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashworth Hospital,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,-2.9164306,,,,,,53.5233897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q4806221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,133,,,,,,,NLS_OS_Edinburgh_map_1940s;Bing,,,,,,,,,,,,,,,,,,,,Grange Loan,,,,,,Astley Ainslie Hospital,,EH9 2HL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edinburgh,,,,,,,-3.1941084,,,,,,55.9308817,,,,,,,,,,,,,,,,,,+44 131 537 9000,,,,,,,,,,,,,,,,hospital,,,,,,Q4810902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,general;psychiatry,,,,,,,,,,,,,,,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,Ayr & Ailsa Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6052528,,,,,,55.4326331,,,Ayrshire NHS trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilwinning Road,,,,,,Ayrshire Central Hospital,,,,,,,,,,,,,,,,,en:Ayrshire Central Hospital,,,,,,,,,,,,,,,,Irvine,,,,,,,-4.6757504,,,,,,55.6309765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q4831679,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,Racecourse Road,,,,,,Ayrshire Hospice,,KA7 2TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayr,,,,,,,-4.6359028,,,,,,55.4527318,,,,,,,,,,,,,,,https://www.ayrshirehospice.org/,,,+44 1292 269200,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bing / local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,BMI  Huddersfield Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8000064,,,,,,53.6591727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMI Bath Clinic,,BA2 7BR,,,,,,,,,,,,,,,,,,,,,,,,,,783727,,,,,,,,,,,,-2.3308109,,,,,,51.3638809,,,BMI,,,,,,,,,,,,http://www.bmihealthcare.co.uk/bath,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMI Hendon Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2249009,,,,,,51.5939005,,,,,,,,,,,,,,,https://www.bmihealthcare.co.uk/hospitals/bmi-hendon-hospital,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polmaise Road,,,,,,BMI Kings Park Hospital,,FK7 9JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9548904,,,,,,56.1068167,,,BMI,,,,,,,,,,,,https://www.bmihealthcare.co.uk/hospitals/bmi-kings-park-hospital,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meadowside,,,,,,BMI Lancaster,,LA1 3RH,,,,,,,,,,,,,,,,,,,,,,,,,,93278,,,,,Lancaster,,,,,,,-2.7958296,,,,,,54.0428500,,,BMI,,,,,,,+44 1524 62345,,,,,https://www.bmihealthcare.co.uk/hospitals/bmi-the-lancaster-hospital,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMI Meriden Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4389501,,,,,,52.4230113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,Q7751074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
