amenity,healthcare:speciality,lon,contact:website,internet_access:ssid,operator,alt_name,loc_name,name:de,description:en,addr:housenumber,building:levels,opening_hours,contact:phone,addr:housename,name,note,source,start_date,website,addr:unit,description,emergency,contact:email,phone,levels,old_name,lat,air_conditioning,addr:street,building,name:en,operator:type,addr:city,addr:postcode,wheelchair,email,internet_access:fee,healthcare,toilets:wheelchair,addr:country,internet_access
clinic,,20.1362598,,,,Új SZTK,,,,1-3,,,,,II. sz. Szakorvosi Rendelő,,,,,,,,,,,,46.2612474,,Vasas Szent Péter utca,hospital,,,Szeged,6724,,,,clinic,,,
clinic,general,20.2147421,,,,,,,,,,,,,Jászkiséri Orvosi Rendelő,,,,,,,,,,,,47.4586579,,,yes,,,,,,,,clinic,,,
clinic,fertility,20.1511044,,,,,,,Parking from Gém utca (Gém street),21,,,,,Kaáli Intézet,,,,https://kaali.hu/,,Lombikbébi-klinika. Parkolás a Gém utca felől,,,,,,46.2621515,,Csongrádi sugárút,yes,Kaáli Institute,,Szeged,6723,,,,clinic,,,
clinic,,20.7876211,,,,,,,,,,,,,Körzeti Orvosi Rendelő (gyermek),,,,,,,,,,,,48.0990862,,Corvin utca,yes,,,Miskolc,3530,,,,clinic,,,
clinic,,21.4381153,,,,,,,,,,,,,Körzeti orvosi rendelő,,,,,,,,,,,,47.1897412,,,yes,,,,,,,,clinic,,,
clinic,,19.1315955,,,,,,,,,,,,,Központi Betegfelvételi Iroda,,,,,,,,,,,,47.4245639,,,yes,,,,,,,,clinic,,,
clinic,,20.1389921,,,,,,,,,,Mo-Th 07:00-21:00; Fr 07:00-19:00; PH off,,,MediCenter Szakorvosi Intézet,,,,https://www.mediteam.hu/,,,,,+36 62 558 888,,,46.2475790,,,hospital,,,,,,medicenter@mediteam.hu,,,,,
clinic,,18.9792186,,,,,,,,36/c,,,,,Medicina Egészségközpont,,,,http://medicinaegeszseg.hu/,,,,,,,,47.5191425,,Budakeszi út,yes,,,Budapest,1121,,,,clinic,,,
clinic,,19.1052547,,,,,,,,137,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,Medikids Gyermekgyógyászati Központ,,Bing,,http://www.medikids.hu,,,,,+3617004411,,,47.5150630,,Thököly út,yes,,,Budapest,1146,,medikids@medikids.hu,,,,,
clinic,,20.8071985,,,,,,,,,,,,,MÁV Rendelőintézet,,,,,,,,,,,,48.1028407,,,yes,,,,,,,,,,,
clinic,,20.1612773,,,Vasútegészségügyi Nonprofit Kiemelten Közhasznú Kft.,,,,,34/A,,,,,MÁV rendelő,,,,http://www.vasuteu.hu/vasuteu/vasuteu.main.page,,,,,+36 62 548 055,,,46.2450787,,Csanádi utca,hospital,,,Szeged,6726,,,,clinic,,,
clinic,,21.6239581,,,,,,,,,,,,,MÁV-rendelő,,,,,,,,,,,,47.5218825,,,yes,,,,,,,,,,,
clinic,,20.6707057,,,,,,,,,,,,,Nagyszénási rendelőintézet,,,,,,,,,,,,46.6707354,,,yes,,,,,,,,clinic,,,
clinic,,19.0916283,,,,,,,,,,,,,Országos Kémiai Biztonsági Intézet,,,,,,,,,,,,47.4779878,,,,,,,,,,,clinic,,,
clinic,,16.8145755,,,,,,,,15,,,,,Orvosi Rendelő,,,,,,,,,,,,46.9801567,,Béke utca,yes,,,Hegyhátszentpéter,9821,,,,clinic,,,
clinic,,17.1854232,,,,,,,,37,,,,,Orvosi Rendelő és Védőnői szolgálat,,,,,,,,,,,,47.0213870,,Deák Ferenc utca,public,,,Gógánfa,8346,,,,clinic,,,
clinic,,20.0158440,,,Önkormányzat,,,,,2,,,,,Orvosi rendelő,,,,,,,,,,,,47.5671895,,Hajnal utca,yes,,,Jászdózsa,5122,,,,clinic,,,
clinic,,16.5045905,,,,,,,,33,,,,,Orvosi rendelő,,,,,,,,,,,,46.9760366,,Vasút utca,yes,,,Csákánydoroszló,9919,,,,clinic,,,
clinic,,20.2665063,,,,,,,,,,,,,Orvosi rendelő,,,,,,,,,,,,47.9909123,,,yes,,,,,,,,clinic,,,
clinic,,19.4862670,,,,,,,,1,,,,,Orvosi rendelő,,,,,,,,,,,,47.6365206,,Hősök tere,yes,,,Bag,2191,,,,clinic,,,
clinic,,17.5887320,,,,,,,,66,,,,,Orvosi rendelő,,,,,,,,,,,,45.9813812,,Rákóczi utca,yes,,,Darány,7988,,,,,,,
clinic,,19.1885538,,,,,,,,18-20,,,,,Pintér Kálmán Szakrendelő,,,,http://www.18euszolg.hu,,,no,,+36 1 297 1252,,,47.4059866,,Nemes út,yes,,,Budapest,1188,yes,,,clinic,,,
clinic,,20.1635946,https://proaktivegeszsegkozpont.hu/,,,,,,,7,1,,+36 70 561 1649,,Proaktív Egészségközpont,,,,,,,,info@proaktivegeszsegkozpont.hu,,,,46.2523456,,Kállay Albert utca,hospital,,,Szeged,6726,,,,clinic,,,
clinic,,19.8089368,,,,,,,,,,,,,Rendelőintézet,,,,,,,,,,,,48.1166639,,,yes,,,,,,,,clinic,,,
clinic,,18.9427068,,,,,,,,10,,,,,Rendelőintézet (Clinics),,,,,,,,,,,,46.9637786,,Vasmű út,hospital,,,Dunaújváros,2400,,,,clinic,,,
clinic,,19.1234782,,,,,,,,,,,,,Rendelőintézet Tüdőszűrő,,,,,,,,,,,,47.5389266,,,yes,,,,,,,,clinic,,,
clinic,fertility,18.2093839,,,,,,,,,,,,,Reprodukciós Központ,,,,,,,,,+36 72 536 377,,,46.0793347,,,yes,,,,,,info@pecsimeddoseg.hu,,clinic,,,
clinic,,19.0740212,,,,Egészségház,,,,1,,Mo-Fr 07:00-19:00,,,Szakorvosi Rendelő,,,,https://szei.szentendre.hu/,,,,,+3626501444,,,47.6666151,,Kanonok utca,hospital,,,Szentendre,2000,,,,clinic,,,
clinic,,20.1437089,,,,,,,,4,,"Mo,Tu, Fr 07:00-14:00; We, Th 10:00-18:00",,,Szegedi Regionális Vérellátó Központ,,http://www.ovsz.hu/ovsz/verellato-kozpontok,,http://www.ovsz.hu/ovsz/szegedi-regionalis-verellato-kozpont,,,,,+36 62 315 080,,,46.2491440,,Honvéd tér,yes,,,Szeged,6722,,,,blood_donation,,,
clinic,,19.0808960,,,,,,,,,,,,,Szegedi úti szakrendelő,,Bing,,http://www.euszolg13.hu,,,,,+3614524200,,,47.5293638,,,yes,,,,,yes,,,,yes,,
clinic,,19.0471693,,,Szent Kristóf Szolgáltató Nonprofit Kft. (Újbuda Önkormányzata),,Fehérvári úti SZTK,,,12,5,,,,Szent Kristóf szakrendelő,,,1947,http://www.szentkristofrendelo.hu/,,,,,+361 279 2100,,Újbudai Egészségközpont,47.4751414,,Fehérvári út,yes,,,Budapest,1117,yes,,,clinic,,HU,
clinic,,19.0512199,http://www.obudairendelok.hu,,,,,,,6,3,,+36 1 454 7500,,Szent Margit Rendelőintézet,,,,,,,,,,,,47.5973696,,Csobánka tér,,,,Budapest,1039,,,,,,HU,
clinic,,19.0049226,,,,,,,,1,,,,,Szigetszentmiklósi Szakorvosi Rendelőintézet,,,,http://www.szszri.hu,,,,,+36 24 406 012,,,47.3335060,,Viola utca,yes,,,Szigetszentmiklós,2310,,,,clinic,,,
clinic,,18.9589748,,,,,,,,,,,,,Szigetszentmártoni orvosi rendelő,,,,,,,,,,,,47.2322403,,,yes,,,,,,,,clinic,,,
clinic,gynaecology,20.1468972,,,,,,,,1,,,,,Szülészeti és Nőgyógyászati Klinika,,,,http://www.klinikaikozpont.u-szeged.hu/obgyn/hu/,,,,,,,,46.2461001,,Semmelweis utca,yes,,,Szeged,6725,,,,clinic,,,
clinic,,18.5234697,,,,,,,,,,,,,Sárvíz Kistérségi Járóbeteg Szakrendelő,,,,,,,,,,,,47.0287891,,,yes,,,,,,,,clinic,,,
clinic,,21.0382129,,WiFi4EU,Tiszaújváros önkormányzata,,,,,11,,,,,Tiszaújvárosi Rendelőintézet,,,,http://www.rendelointezet.tiszaujvaros.hu,,,,,,,,47.9333204,,Bethlen Gábor út,yes,,government,Tiszaújváros,3580,yes,,no,clinic,,,wlan
clinic,,19.2487059,,,V-Medical Kft.,,,,,10/1,,,,,V-Medical Egészségcentrum,,,,https://vmedical.hu,,,,,+36 30 280 98 89,,,47.4018761,,Gammel József utca,yes,,,Vecsés,2220,,,,clinic,,,
clinic,,19.0116861,,,,,,,,18,2,,,,Városmajori szív és érgyógyászati klinika,Szívelégtelenség ambulancia,Bing,,,,,,,,,,47.5071937,,Határőr út,yes,,,Budapest,1122,yes,,,,,HU,
clinic,,19.1816809,,,,kék SZTK,,,,3,,,,,Zsebők Zoltán Szakrendelő,,,,,,,yes,,+36 1 297 1252,,,47.4438581,,Thököly utca,yes,,,Budapest,1183,,,,clinic,,,
clinic,,19.5442178,,,,,,,,,,,,,"fogorvos, házi és gyermekorvos",,,,,,,,,,,,47.5201049,,,yes,,,,,,,,clinic,,,
