amenity,healthcare:speciality,alt_name,operator,addr:housenumber,addr:postcode:source,is_in:country,building:levels,opening_hours,is_in:city,lon,name,note,source,is_in:county,website,description,emergency,opening_days,is_in:country_code,phone,lat,name:hu,addr:street,building,addr:city,level,addr:postcode,addr:place,healthcare,addr:country
doctors,,,,,,,,,,23.4120394,Dispensar Sânpaul (1963),,,,,,,,,,46.8699342,,,yes,,,,,,
doctors,,,,,,,,,,27.9779736,Dispensar TBC,,,,,,,,,,45.2726398,,,yes,,,,,,
doctors,,,,,,,,,,23.9330714,Dispensar clinic uman,,,,,,,,,,46.4050244,,,yes,Noșlac,,,,,
doctors,,,,,,,,,,24.1718657,Dispensar medical,,,,,,,,,,46.2466545,,,yes,,,,,doctor,
doctors,,,,,,,,,,23.6202858,Dispensar medical Galda de Jos,,,,,,,,,,46.1787346,,,yes,,,,,,
doctors,,,,,,,,,,23.5178890,Dispensar medical Ighiu,,,,,,,,,,46.1445594,,,yes,,,,,doctor,
doctors,,,,,,,,,,24.5980397,Dispensarul Chirpăr,,,,,,,,,,45.8932060,,,house,,,,,,
doctors,,,,,,,,,,26.1195727,Dispensarul Medical Ardeleni,,,,,,,,,,44.4455956,,,yes,,,,,,
doctors,,,,,,,,,,23.1314427,Dispensarul Medical Roșia Montană,,,,,,,,,,46.3056743,,,yes,Roșia Montană,,,,doctor,
doctors,,,,,,,,,,24.2593701,Dispnesar,,,,,,,,,,45.6339179,,,yes,,,,,,
doctors,,,,1,,Romania,,,Sibiu,24.1376995,Dr. Popescu Alexandru,,,Sibiu,,,,,RO,+40 269 232 540,45.7738620,,Strada Ciprian Porumbescu,yes,Sibiu,,550401,,,RO
doctors,,,,,,,,,,25.5996993,Hipocrat,,Bing,,,,,,,,45.6527310,,,yes,,,,,,
doctors,,,,136C,,,,,,28.0283938,Medicotest,,,,,,,,,,45.4289714,,Bulevardul Brăilei,yes,Galați,,,,,
doctors,,,,6,,,,,,25.6073344,Medlife,,,,,,,,,,45.6569490,,Strada Moldovei,yes,Brașov,,500205,,,
doctors,,,,,,,,,,26.3359343,Mocanu,,,,,,,,,,47.3498869,,,yes,,,,,doctor,
doctors,,,,35,,,,,,26.3594448,Policlinica,,,,,,,,,,47.2069876,,,yes,Târgu Neamț,,,,,RO
doctors,,,,,,,,,,27.5802140,Policlinica Cantemir,,,,,,,,,,47.1497477,,,yes,,,,,doctor,
doctors,,,,,,,,,,26.0219328,Policlinica Cetatea Histria,,,,,,,,,,44.4203061,,Strada Cetatea Histria,yes,București,,062079,,doctor,
doctors,,,,,,,,,,27.9776231,Policlinica DIACONIA,,,,,,,,,,45.2724515,,,yes,,,,,,
doctors,,,,5,,,,,,27.5707688,Policlinica cu Plată,,,,,,,,,,47.1786442,,Strada Teodor Codrescu,yes,,,700479,,doctor,
doctors,,,,2,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,21.3219108,Policlinica cu Plată,,,,,,,,,,46.1671193,,Strada Paris,yes,Arad,,310117,,,
doctors,,,,7,,,,,,25.2853682,Polimed Center,,,,https://samed.ro/,,,,,,46.3159806,,Strada Bisericii,yes,Odorheiu Secuiesc,,535600,,,
doctors,,SMURD,S.M.U.R.D.,,,,,,,24.2322992,S.M.U.R.D.,,"Bing, survey",,,,ambulance_station,,,,46.4509385,,,yes,Iernut,,,,,
doctors,,,,,,,,,,23.3120226,Salvamont,Mountain & Cave Rescue,,,,,Mountain & Cave Rescue,,,,46.5369908,,,yes,,,,,,
doctors,,,,,,,,,,22.7044829,Salvamont Glăvoi,Mountain & Cave Rescue,,,,,Mountain & Cave Rescue,,,,46.5777705,,,yes,,,,,,
doctors,,,,,,,,,,24.3624700,Serviciul de plasament de tip familial,,,,,,,,,,45.1209204,,,yes,,,,,,
doctors,,,,,,,,,,23.8412696,"salvamar, medic",,,,,,,,,,46.7477349,,,yes,,,,,,
