health_facility:type,shop,office,healthcare:speciality,OGD-Stmk:ARZTNR,description:de,health_specialty:ophthalmology,insurance:OEDA,addr:housenumber,description,addr:state,name:de,source,addr:village,addr:conscriptionnumber,healthcare:speciality:de,insurance:BVA,fax,at_bev:addr_date,emergency,contracts,historic,addr:street,fixme,contact:fax,addr:city,designation,addr:postcode,roof:material,insurance:SVA,health_specialty:surgery,insurance:VA,int_name,owner,full_name,insurance,phone_1,insurance:KFAW,wikipedia,insurance:KFAG,ref,email,source:housenumber,contact:email,contact:phone1,roof:shape,doctors,health_specialty:internal_medicine,general_medicine,health_specialty:general,health_person:type,health_specialty:radiology,toilets:wheelchair,source_ref,origin,lon,contact:website,roof:colour,lat,alt_name,building:roof:shape,source_1,operator,insurance:GKK,short_name,opening_hours,contact:phone,addr:housename,name,contact:mobile,OGD-Stmk:OBJECTID,start_date,website,phone,old_name,smoking,url,dispensing,landuse,amenity,addr:suburb,wikidata,medical_system:western,addr:district,building:levels,image,note,source:addr,building:material,addr:full,health_specialty:massage_therapy,min_height,health_specialty:orthopaedics,date,building,building:colour,health_specialty:optometry,wheelchair,addr:place,healthcare,addr:country
,,,,,,,,1,,,,,,,,,,,,,,Donaustadtstraße,,,Wien,,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,node 1650282177,16.4358381,,,48.2414923,,,,,,,,,,Diagnosezentrum Donaustadt,,,,www.radiologie-wien.at,,,,,,,doctors,,,,,,,,,,,,,,,,,,limited,,,AT
,,,,,,,,54,,,,data.graz.gv.at,,,,,,,,,,Elisabethstraße,,,Graz,,8010,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4566417,,,47.0759918,,,,,,,,,,Dialyseinstitut Dr. Gießauf,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,dialysis,,,,,72,,,,,,,,,,,no,,,Südbahnstraße,,+43 316 574000 6,Graz,,8020,,,,,,,,,,,,,,,,info@dialysegrazwest.at,,,,,,,,,,,,15.4170505,http://www.dialysegrazwest.at/,,47.0600140,,,,Dr. Hanns Manfred Winkler GmbH,,,,+43 316 574000,,Dialysezentrum Graz-West,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9472382,,,47.8990787,,,,,,,,,,Dr Bammer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,,,,,,265,,,,,,,,,,2018-10-01,,,,Kurparkgasse,,,Sulz im Wienerwald,,2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1347541,,,48.0975756,,,,,,,,,,Dr Merz,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,11,,,,,,,,,,,,,,Hornweg,,,Kitzbühel,,6370,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3920371,,,47.4490892,,,,,,,,,,Dr Topay,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,12,,,,geoimage.at,,,,,,2018-04-02,,,,Hauptstraße,,,Zams,,6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5832944,,,47.1524307,,,,,,,,,,Dr med Singer Markus,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,6a,,,,,,,,,,,,,,Dr.-Scheiberstraße,,,Vöcklamarkt,,4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4873632,,,48.0010378,,,,,,,,,,Dr. Ainberger Christian,,,,,+43 7682 6245-0,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,22,,,,,,,,,,,,,,Dorfstraße,,,,,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2815321,,,47.6604264,,,,,,,,,Ordination,Dr. Al-Sayegh,,,,http://www.praktischerarzt.co.at/,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,general,3629.0,,,,54,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,yes,,,,,,Wiener Straße,,+43 3862 224204,Kapfenberg,,8605,,yes,,yes,,,,"BVA, GKK, KFAG, KFAW, SVA, VA",,yes,,yes,,,,,,,,,,,,,,,,15.2929990,,,47.4441184,,,,,yes,,,+43 3862 22420,,Dr. Albert Sacherer,,1958,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,doctor,AT
,,,general,,,,,31/2,,,,http://www.meinbezirk.at/moedling/leute/noe-gebietskrankenkasse-neue-vertragsaerzte-in-wr-neudorf-d787492.html,,,,,,,,,,Hauptstraße,,,Wiener Neudorf,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3209763,,,48.0863801,,,,,,,"Mo 08:00-12:00; Tu 09:00-13:00,15:00-18:00; Th 09:00-13:00; Fr 10:00-15:00",,,Dr. Alireza Nouri,,,,,+43 2236 677776,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,internal,5029.0,,,,3,,,,Land Steiermark - data.steiermark.gv.at;bing,,,Facharzt für Innere Medizin,yes,,,,,,Schillerstraße,,+43 3842 4577014,Leoben,,8700,,yes,,yes,,,,"BVA, GKK, KFAW, SVA, VA",,yes,,,,,,internist-waschnig@aon.at,,,,,,,,,,,,15.0963219,,,47.3750286,,,,,yes,,,+43 3842 45770,,Dr. Alois Franz Waschnig,,2174,,,,,,,,,doctors,Mühltal,,,,,,,,,,,,,,house,,,,,doctor,AT
,,,,,,,,4,,,,geoimage.at,,,,,,,,,,Sonnfeld,,,Sankt Veit im Pongau,,5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1529372,,,47.3314120,,,,,,,,+43 6415 6647,,Dr. Alois Klotz,+43 (0) 664 54 11 222,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,limited,,,AT
,,,general,,,,,24,,,,,,,,,,,,,,Grillparzerstraße,,,Dürnkrut,,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8456192,,,48.4708286,,,,,,,,,,Dr. Andrea Klinger - Praktischer Arzt,,,,,02538/80420,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,
,,physician,general,,,,,12,,,,http://www.docfinder.at/arzt/allgemeinmedizin/2531-gaaden/dr-andrea-mittermayr-63943_1,,,,,,,,,,Am Schneiderbach,,,Gaaden,,2531,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2043131,,,48.0534163,,,,,,,"Mo 07:30-12:00,16:00-19:00; Tu,Th,Fr 07:30-12:00",,,Dr. Andrea Mittermayr,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,72,,,,,,,,,,2017-10-01,,,,Römerstraße,,,Göfis,,6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6402542,http://www.dr.andreas-matt.at,,47.2391345,,,,,,,,+43 5522 75350,,Dr. Andreas Matt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,13,,,,basemap.at 2016,,,,,,2017-04-07,,,,Peter-Melcher-Straße,,,Villach,,9524,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8891090,,,46.6149926,,,,,,,Mo-Fr 09:00-12:00; Th 17:00-18:00,,,Dr. Andreas Perchinig,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,9,"Krankenkassen
GKK BVA VAEB SVA KFA SVB ",,,,,,,,,,,,,Traunseerstraße,,,Pinsdorf,,4812,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7689949,,,47.9322863,,,,Dr. Andreas Weinberger,,,"Mo 08:00–12:00, 17:00–19:00; Tu 08:00–12:00; We 17:00–19:00; Th 08:00–12:00; Fr 08:00–12:00",,,Dr. Andreas Weinberger,,,,,+43761267965,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general,2527.0,,,,8,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,yes,,,,,,Hauptplatz,,+43 3142 6190015,Bärnbach,,8572,,yes,,yes,,,,"BVA,GKK, SVA, VA",,,,,,,,dr.schellnegger@aon.at,,,,,,,,,,,,15.1293262,,,47.0701111,,,,,yes,,,+43 3142 61900,,Dr. Anna Schellnegger,,1802,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,36,,,,,,,,,,,,,,Weitersfelden,,,Weitersfelden,,4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7278381,,,48.4780570,,,,,,,"Mo,We,Sa 07:30-11:00; Tu,Fr 07:30-11:00,17:00-18:30",+43 7952 6218,,Dr. Anton Kammerer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,,,,,35,,,,www.knittelfeld.at,,,,,+43 3512 86461,2017-10-01,,,,Goethestraße,,,Knittelfeld,,8720,,,,,,,,"GKK, BVA, VA, SVA, SVB",+43 664 40233,,,,,,,,,,,,,,,,,,,14.8229634,,,47.2098696,,,www.docfinder.at,,,,"Mo 07:30-11:30, Tu 15:00-18:00, We 07:30-11:30, Th 07:30-11:30, Fr 07:30-10:30",,,Dr. Anton Prietl,,,,www.drprietl.at,+43 3512 85266,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general,,,,,66,,,,,,,,,,,,,,Linzer Straße,,,Marchtrenk,,4614,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1220425,,,48.1921867,,,,,,,,,,Dr. Ardelt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,41,,,,,,,,,,,,GKK;BVA;VA;SVA;KFA;SVB,,Puchberger Straße,,,Wels,,4600,,,,,,,,,,,,,,,,,,,Arzt f. Allgemeinmedizin,,,,,,,,,14.0237481,,,48.1800594,Dr. Michaela Maria Arminger & Dr. Gerhard Arminger,,,,,,"Mo,We,Fr 08:00-11:30; Tu 08:00-11:30,16:00-19:00, Th 16:00-19:00",,,Dr. Arminger OEG,,,,,+43 7242 51192,,,,,,doctors,,,,,2,,,,,,,,,,yes,#ddd37e,,yes,,,AT
,,,,,,,,21,,,,geoimage.at,,,,,,,,,,Bahnstraße,,,Niederkreuzstetten,,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4804191,,,48.4775525,,,,,,,Mo-Tu 08:00-11:00; Th-Fr 08:00-11:00; Sa 08:00-10:00,,,Dr. Arpad Pock,,,,,,,,,,,doctors,,,,,,,,,,,,,,,residential,,,,,,AT
,,,,,,,,14,,,,,,,,,,,,,,Fuxmagengasse,,,Hall in Tirol,,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5046140,,,47.2852657,,,,,,,,,,Dr. Astrid Penz,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,general,1007.0,,,,64,,,,Land Steiermark - data.steiermark.gv.at,,,Arzt für Allgemeinmedizin,yes,,,,,,,,+43 3455 20770,Sankt Johann im Saggautal,Allgemeinmedizin,8453,,yes,,yes,,,,"BVA, GKK, KFAG, KFAW, SVA, VA",,yes,,yes,,,,dr.astrid.schwarz@aon.at,,,,,,,,,,,,15.3999245,,,46.7005733,,,,Dr. Astrid Schwarz,yes,,"Mo off; Tu-We 08:00-12:00; Th,Sa 08:00-11:00; Fr 08:00-12:00,17:30-18:30; PH off",+43 3455 313,Dr. Astrid Schwarz,Dr. Astrid Schwarz,,1643,,,,,,,,,doctors,,,,,,,,,,,,,,,public,,,limited,St. Johann im Saggautal,doctor,AT
,,,general,,,,,12,,,,local knowledge; geoimage.at,,,,,,,,,,Schulgasse,,,Purbach am Neusiedler See,,7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6951985,,,47.9141820,,,,,,,"Mo,Tu,We,Fr 07:30-12:30; Tu 16:00-17:00; Fr 17:00-18:00",+43 2683 5045,,Dr. Auer,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,no,,,AT
,,,general,,,,,36,,,,,,,Arzt für Allgemeinmedizin,,,,,,,Hans-von-der-Sann-Straße,,,Eisenerz,,8790,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8901965,,,47.5425179,,,,,,,"Mo 07:30-11:00, 15:00-17:00; Tu, Th 08:00-11:00; We 07:30-11:00, 14:00-16:00; Fr 08:00-11:00",+43 3848 57650,,Dr. Auer Anneliese,,,,http://www.dr-auer-eisenerz.at/,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,,,,,,3,,,,,,,,,,,,,,Judenbühel,,,,,5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4670206,,,47.3854512,,,,,,,,,,Dr. Aufmesser,,,,https://www.aufmesser.at/,+43 6452 7501,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,
,,,ophthalmology,,,,,11,,,,,,,,,,,,,,Breitenangerstraße,,,Grein,,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8439245,,,48.2279949,,,,,,,,,,Dr. Augl,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,,,,,,2,,,,geoimage.at,,,,,,2017-10-01,,,,August Strindberg-Straße,,,Mondsee,,5310,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3522753,,,47.8545217,,,,,,,,,,Dr. Axel Gmeiner,,,,,+43 6232 2994,,,,,,doctors,,,,,,,,,,,,,,,yes,,,yes,,,AT
,,,,,,,,38,,,,geoimage.at,,,,,,2017-04-07,,,,St.Martiner-Straße,,,Villach,,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8317457,,,46.6169349,,,,,,,Mo-We 08:00-12:30; Th 14:00-18:00; Fr 08:00-12:30,,,Dr. Barbara Dalmatiner-Pausch,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
,,,paediatrics,,,,,18,,,,basemap.at,,,,,,2016-10-02,,,,Pomonaweg,,,Villach,,9523,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8687458,,,46.6437210,,,,,,,,,,Dr. Barbara Schwegel - Kinderarzt,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general,,,,,108,,,,basemap.at,,,,,,,,,,Hauptstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2415331,,,48.0858505,,,http://www.docfinder.at/arzt/allgemeinmedizin/2371-hinterbruehl/dr-barbara-seiger-13910_1,,,,,,,Dr. Barbara Seiger,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,
,,,general,,,,,32,,,,www.knittelfeld.at,,,,,+43 3512 866794,2017-10-01,,,,Kärntner Straße,,,Knittelfeld,,8720,,,,,,,,"GKK, BVA, VA, SVA, KFA, SVB",,,,,,office@drheschl.at,,,,,,,,,,,,,,14.8221148,,,47.2117999,,,www.docfinder.at,,,,"Mo 15:00-19:00, Tu 07:30-12:00, WE 15:00-19:00, Th 07:30-12:00, Fr 10:00-13:00",,,Dr. Bernd Heschl,,,,https://www.drheschl.at/,+43 3512 86697,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,doctor,AT
,,,general;gynaecology,,,,,221,,,,,,,,,,,,,,Hexenwaldweg,,,Arnfels,,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3948980,,,46.6761368,,,,Dr. Bernhard Eissner,,,"Mo 08:00-12:00, 16:00-18:00; Tu-Th 8:00-12:00; Fr 16:00-18:00",,,Dr. Bernhard Eissner,,,,,,,,,,,doctors,,,,,1,,"Dr. Bernhard Eissner, Allgemeinmedizin,Frauenheilkunde und Geburtshilfe",,,,,,,,public,,,,,doctor,
,,,,,,,,11,,,,,,,,,,,,,,Meisterstraße,,,Leonding,,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2487936,,,48.2470529,,,,,,,"Mo 09:00-12:30;Tu,Fr 07:00-10:30;We 16:00-19:30;Th 09:00-12:30,16:00-19:30;Sa,Su off",+43 732 6822600,,Dr. Bernhard Kiesenhofer,,,,,,,,,,,doctors,,,,,,,Allgemeinmedizin,,,,,,,,house,,,,,,AT
,,,,,,,,2,,,,,,,,,,,,,,Larnhauserweg,,,Leonding,,4060,tar_paper,,,,,,,,,,,,,,,,,flat,,,,,,,,,,14.2745382,,#A79D9C,48.2738161,,,,,,,"Mo 08:00-12:00,17:30-19:00;Tu,Th,Fr 08:00-12:00;We 16:00-18:30;Sa,Su off",+43 732 673568,,Dr. Bernhard Kriechbaumer,,,,,,,,,,,doctors,,,,,6,,Allgemeinmedizin,,plaster,,,,,,apartments,#ffffff,,,,,AT
,,,,,,,,128,,,,,,,,,,,yes,,,Liebenau,,,Liebenau,,4252,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8035462,,,48.5315341,,,,,,,"Tu,We,Th,Sa 08:00-11:30;Fr 08:00-11:30,16:00-18:00",+43 7953 205,,Dr. Bernhard Schlosser,,,,,,,,,,,doctors,,,,,,,,,,,,,,,house,,,,,,AT
,,,,,,,,3,,,,,,,,,,,,,,Schloßbergweg,,,Mattsee,,5163,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1054299,,,47.9700615,,,,,,,,,,Dr. Biack,,,,,,,,,,,doctors,,,,,,,,,,,,,,,yes,,,,,,AT
