amenity,healthcare:speciality,ref:bag,contact:website,addr:city,alt_name,source_1,operator,addr:housenumber,lon,building:levels,opening_hours,addr:housename,note,source,ref:cw_id,email,website,fax,description,emergency,source:date,phone,lat,addr:street,building,name,roof:shape,addr:postcode,roof:material,addr:place,start_date,healthcare,addr:country,internet_access
clinic,,216100000002006,,Culemborg,,,Ziekenhuis Rivierenland,4,5.2286622,,Mo-Fr 08:00-17:00,,,BAG,,,,,,,2017-06-20,0344 - 67 4744,51.9585471,Elisabethdreef,yes,Barbara Polikliniek,,4101KL,,,1984,,,
clinic,,275100000021966,,,,,,,6.0915644,,,,,BAG,,,,,,,2014-05-07,,52.0546598,,apartments,Beverode,,,,,1969,,,
clinic,,,,Kralendijk,,,,,-68.2753574,,,,,KG Ground Survey 2015,,,,,,,,,12.1509708,Kaya Libertador Simon Bolivar,yes,Bonaire Medical Clinic,,,,,,,,
clinic,,505100000032897,,,,,,,4.6547863,,,,,BAG,,,,,,,2014-03-24,,51.7848680,,yes,Boumanhuis,,,,,1997,,,
clinic,,,,,,,,8,-68.9087268,,,,,,,,,,,,,737-4700,12.1431818,Mohikanenweg,,Capriles Kliniek,,,,,,,,
clinic,,,,,,,,,-68.9181633,,,,,KG Ground Survey 2015 Curaçao,,,,,,,,,12.1452798,Gosieweg,yes,Centro Medico Rio Canario,,,,,,,,
clinic,,,,Oranjestad,,,,27,-70.0360870,,,,,KG Ground Survey 2015,,,,,,,,,12.5347755,Paradijswijk,yes,Clinica Quiropractico Van Putten,,,,,,,,
clinic,,,,Mahaai,,,,,-68.8993648,,,,,KG Ground Survey 2015 Curaçao,,,,,,,,,12.1242922,Fransche Bloemweg,yes,Curacare Spine and Paramedical Clinic,,,,,,,,
clinic,,0824100000017512,,Oisterwijk,,,,,5.1815492,,,,,BAG,,,,,,,2014-03-24,,51.5740268,,yes,De Voorste Stroom,,5062JW,,,2009,,,
clinic,,637100000162820,,,,,,,4.5069822,,,,,BAG,,,,,,,2013-11-26,,52.0512201,,yes,De Zorgpraktijk,,,,,1880,,,
clinic,,512100000242944,,,,,,,4.9506951,,,,,BAG,,,,,Kliniek voor nierzorg,,2017-06-08,,51.8381282,,yes,Elyse,,,,,2016,,,
clinic,,984100000400870,,,,,,,6.0385358,,,,,BAG,,,,,,,2016-12-26,,51.5280559,,yes,Forensisch Psychiatrisch Centrum De Rooyse Wissel,,,,,1999,,,
clinic,,,,,,,,,5.2374115,,,,,,,,,,,,,,52.3726629,,,Fornhese Boomgaardweg,,,,,,clinic,,
clinic,,200100000800028,,,,,,,6.0070693,,,,,BAG,,,,,,,2014-02-11,,52.1957879,,yes,Gezondheidscentrum De Maten,,,,,1981,,,
clinic,,590100000000195,,,,,,,4.6901408,,,,,BAG,,,,,,,2014-05-07,,51.8367198,,hospital,Gezondheidscentrum De Zorgmolen,,,,,1980,,,
clinic,,542100000681638,,,,,,,4.6010551,,,,,BAG,,,http://www.gckrimpen.nl/,,,,2014-03-24,,51.9205233,,yes,Gezondheidscentrum Krimpen,,,,,2010,,,
clinic,,888100000009568,,,,,,,5.8165220,,,,,BAG,,,,,,,2014-03-24,,50.9529429,,yes,Gezondheidscentrum Neerbeek,,,,,1975,clinic,,
clinic,,,,,,,,5,-70.0593810,,,,,KG Ground Survey 2015,,,,,,,,,12.5401757,Caya Punta Brabo,yes,Heart Clinic Aruba,,,,,,,,
clinic,,559100000003268,,,,,,,4.1569109,,,,,BAG,,,,,,,2014-03-24,,51.7579890,,commercial,Helius Medisch Centrum,,,,,1968,,,
clinic,,275100000025711,,,,,,,6.0996985,,,,,BAG,,,,,,,2014-05-07,,52.0434484,,yes,Het Gelders Hof,,,,,1972,,,
clinic,,,,Kralendijk,,,,,-68.2757593,,,,,KG Ground Survey 2015,,,,,,,,,12.1538443,Kaya Soeur Bartola,yes,Huisartsenpost Bonaire,,,,,,,,
clinic,,1916100000088006,,,,,,,4.3629357,,,,,BAG,,,,,,,2014-02-11,,52.0660996,,house,Huygens Centrum,,,,,1930,,,
clinic,family_clinic,,,,,,,,-69.9812698,,,,,KG Ground Survey 2015 Aruba,,,,,,,,,12.5092749,Santa Cruz,yes,I.L. Laboratorio Familiar N.V.,,,,,,,,
clinic,,796100000434084,,,,,,,5.2734594,,,,,BAG,,,,,,,2014-03-24,,51.6853893,,yes,Instituut Verbeeten,,,,,2011,,,
clinic,,637100000151156,,,,,,,4.5167578,,,,,BAG,,,,,,,2013-11-26,,52.0589306,,commercial,Kliniek Laurium,,,,,1990,,,
clinic,,,,,,,,,-68.9456204,,,,,KG Ground Survey 2015,,,,,,,,7361030,12.1619591,,yes,Lab de Med,,,,,,,,
clinic,,637100000136439,,,,,,,4.4938936,,,,,BAG,,,,,,,2013-11-26,,52.0636945,,yes,Langeland,,,,,1990,clinic,,
clinic,,,,,,,,,-68.8517892,2,,,,KG Ground Survey 2015,,,,,,,,,12.0992284,Weg naar Fuik,yes,Lifeline,,,,,,,,
clinic,,327100000257169,,,,,,,5.4285883,,,,,BAG,,,https://www.meandermc.nl/patientenportaal/dit-is-meander/Locaties-Bereikbaarheid/Leusden,,,,2012-08-08,,52.1314400,,yes,Meander Medisch Centrum De Mulderij,,,,,1995,,,
clinic,,,,Savaneta,,,,,-69.9210719,,,,,KG Ground Survey 2015,,,,,,,,,12.4415398,,yes,Medical Center,,,,,,,,
clinic,,,,Koolbaai,,,,,-63.0836432,,,,,KG Ground Survey 2015,,,,,,,,,18.0413465,Union Road,yes,Medical Clinic,,,metal,,,,,
clinic,,758100000005564,,,,,,,4.7396355,,,,,BAG,,,,,,,2014-02-11,,51.5808493,,yes,Medicentrum Princenhage,,,,,1974,,,
clinic,,,,Savaneta,,,,,-69.9076272,,,,,KG Ground Survey 2015,,,,,,,,,12.4334041,Van de Veen Zeppenfeldstraat,yes,Mediq,,,,,,,,
clinic,,,,Savaneta,,,,,-69.9157984,,,,,KG Ground Survey 2015,,,,,,,,,12.4385102,Bernhardstraat,yes,Mediq Centro Medico,,,,,,,,
clinic,,1916100000087682,,,,,,,4.3650623,,,,,BAG,,,,,,,2014-02-11,,52.0675699,,yes,Medisch Centrum Oud Voorburg,,,,,1955,,,
clinic,,1621100000000417,,,,,,,4.5301436,,,,,BAG,,,,,,,2013-11-26,,52.0085939,,commercial,Medisch Hart Bleiswijk,,,,,1983,,,
clinic,,599100000677535,,,,,,,4.3681298,,,,,BAG,,,,,,,2014-03-24,,51.8642005,,yes,Medisch centrum Stelle,,,,,1990,,,
clinic,,,,Philipsburg,,,,,-63.0436991,,,,,KG Ground Survey 2015,,,,,,,,,18.0247020,E. Camille Richardson Street,yes,Mercury Medical Clinic,,,metal,,,,,
clinic,,,,,,,,,5.2396654,,,,,,,,,,,,,,52.3717818,,no,Meregaard,,,,,,clinic,,
clinic,,899100000299395,,,,,,,5.9784585,,,,,BAG,,,,,,,2017-12-21,,50.9416920,,yes,Mijngebouw,,,,,2015,,,
clinic,,547100000294294,,,,,,,4.5272282,,,,,BAG,,,,,,,2014-06-26,,52.1635678,,yes,Nieuw Buitenzorg,,,,,2002,clinic,,
clinic,,,,Noord,,Central Bureau of Statistics Aruba,,63,-70.0323526,,,,,KG Ground Survey 2015,,,,,,,,,12.5672912,Noord,yes,Noord Medical Center,,,,,,,AW,
clinic,,0203100000322893,,,,,,,5.5984599,,,,,BAG,,,,,,,2019-10-05,,52.1397761,,hospital,Norschoten,,,,,1996,,,
clinic,,383100000043573,,,,,,,4.6448331,,,,,BAG,,,,,,,2019-04-19,,52.5581633,,yes,Opnamekliniek Dijk en Duin,,,,,2014,,,
clinic,,,,,,,,3,-70.0589110,,,,,KG Ground Survey 2015 Aruba,,,,,,,,,12.5405426,Caya Punta Brabo,yes,Physical Therapy,,,,,,,,
clinic,,267100000029452,,,,,,18,5.4665836,,,,,BAG,,,,,,,2012-10-08,,52.2101135,Henri Nouwenstraat,yes,Polikliniek Nijkerk,,3863HV,,,2011,,,
clinic,gynaecology,,,,,,,7,-70.0587063,,,,,KG Ground Survey 2015,,,,,,,,,12.5406414,Caya Punta Brabo,yes,Praktijk Gynecologie Punta Brabo,,,,,,clinic,,
clinic,,,,,,,,,-70.0188791,,,,,,,,,,,,,,12.5204455,,yes,Pre-Care Clinic,,,,,,,,
clinic,,935100000028876,,,,,,,5.7101078,,,,,BAG,,,,,,,2014-03-24,,50.8470594,,commercial,PsyQ,,,,,1987,,,
clinic,,,,Willemstad,,,,,-68.9305845,,,,,KG Ground Survey 2015,,,,,,,,,12.1041161,Kaya Junior Salas,yes,Punda Medical Center,,,,,,,CW,
clinic,,,,Willemstad,,,,20,-68.9305041,3,,,,KG Ground Survey 2015,35998,,,,,,,,12.1042921,Kaya Junior Salas,yes,Punda Medical Centre,,,,Punda,,,CW,
clinic,,,,,,,,,-69.8816957,,,,,,,,,,,,,,12.4243980,,yes,Rehab Center,,,,,,,,
clinic,,,,,,,,,5.7953879,,,,,,,,,,,,,,53.2068022,,,RengersState,,,,,,,,
clinic,,,,,,,,,4.2967323,,,,,,,,,,,,,,52.1018912,,,Rudolf Steinerhuis Verpleeghuis,,,,,,,,
clinic,,,,,,,,,-68.8693870,,,,,,,,,,,,,,12.1223579,Kaminda Rignald S. Recordino,yes,Santa Rosa Sports Medicine Institute,,,,,,,,
clinic,,304100000009089,,,,,,,5.2618704,,,,,BAG,,,,,,,2014-03-24,,51.8307503,,commercial,Sint Jacobigasthuis,,,,,1910,,,
clinic,,,,,,,,,5.7993861,,,,,,,leeuwardensixma@synaeda.nl,https://www.synaeda.nl/leeuwarden-sixmastraat,+31 58 284 8842,,,,+31 58 284 8746,53.1938482,,,Synaeda,,,,,,centre,,
clinic,,637100000127654,,,,,,,4.4793186,,,,,BAG,,,,,,,2013-11-26,,52.0648582,,yes,Therapeuticum Aurum,,,,,2002,centre,,
clinic,,,,,,,,,5.1967593,,,,,,,,,,,,,,52.3678360,,,Triade De Notenkraker,,,,,,clinic,,
clinic,,,,,,,,,5.1967593,,,,,,,,,,,,,,52.3678360,,,Triade Papageno,,,,,,clinic,,
clinic,,,,,,,,,5.1991737,,,,,,,,,,,,,,52.3704131,,,Triade Rondo,,,,,,clinic,,
clinic,,,,,,,,,5.2249511,,,,,,,,,,,,,,52.3415452,,,Triade Woonzorg,,,,,,clinic,,
clinic,,,,,,,,,5.7991579,,,,,,,,,,,,,,53.1891743,,,Verslavingszorg Noord Nederland,,,,,,drug_rehabilitation,,
clinic,,,,,,,Mondriaan,,5.7335917,,,,,,,,,,,,,,50.8518752,,,Vijverdal,,,,,,,,
clinic,radiology;radiotherapy,718100000005458,,,ZRTI,,,,3.5650474,,,,,BAG,,,https://www.zrti.nl/,,,,2014-03-24,,51.4516459,,yes,Zuidwest Radiotherapeutisch Instituut,,,,,1980,clinic,,
