shop,operational_status,office,building:part,contact:postcode,payment:cash,postal_code,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,is_in,addr:housenumber,note,payment:debit_cards,name:de,source,virtuous,fax,indoor,source:amenity,ref:FR:SIREN,ref:FR:SIRET,historic,facebook,FID,contact:fax,currency:EUR,addr:street,bmo:type,source:name,fixme,name:en,vending,name,wheelchair:description,level,type:FR:FINESS,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:geometry:date,ref:mhs,disused,level:ref,payment:mastercard,fuel:lpg,roof:height,source:architect,payment:american_express,description,payment:maestro,fuel:diesel,since,wikipedia,payment:cheque,brand:wikidata,source:heritage,ref,email,ref:FR:prix-carburants,source:geometry,contact:email,addr:unit,name:br,roof:shape,building:use,wall,fuel:e10,payment:visa_electron,addr:city,source:building,payment:visa_debit,building:roof:colour,payment:cards,drive_through,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,entrance:step:height,alt_name,building:roof:shape,source_1,operator,contact:city,brand:wikipedia,area,compressed_air,opening_hours,contact:phone,addr:housename,ref:FINESS,source:name:br,heritage,hgv:lanes,start_date,website,noname,contact:housenumber,brand,telephone,source:date,phone,construction,old_name,start_date:amenity,name:oc,room,mhs:inscription_date,buildingpart,architect,dispensing,ref:FR:NAF,colour,amenity,operator:type,addr:place,addr:suburb,official_name,building:min_level,source:opening_hours,brand:website,wikidata,payment:notes,source:addr:version,emergency,building:levels,fuel:octane_98,name:fr,contact:street,fuel:octane_95,wheelchair,FIXME,disused:amenity,source:addr,building:material,alt_source,addr:full,payment:visa,entrance:width,lat,iof,old_shop,building,payment:coins,roof:levels,start_date:building,entrance:step_count,vending_machine,healthcare,comment:fr,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,130009061,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie de Castellane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3842542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.2861945,,,yes,,,,,,,,,,
,,,,,,,,590027371,,,,,,,Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie de Roubaix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1856902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,50.6917307,,,,,,,,,pharmacy,,,,
,,,,,,,,290011931,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Grande Pharmacie de Saint-Guénolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3755338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,47.8168049,,,yes,,,,,,,,,,
,,,,,,,,260014147,,,,,,,Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie de Saint-Sorlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9526951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.2910013,,,yes,,,,,,,,,,
,,,,,,,,010006054,,,,,,,Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie de Villars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0315540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.0025690,,,,,,,,,,,,,
,,,,,,,,910013994,,Essonne,41,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013;Celtipharm - 10/2014,,,,,,,,,,+33 1 60 10 18 58,,Avenue du Général de Gaulle,,,,,,Grande Pharmacie de Villebon,,,,91140,,,,,,,,,,,,,,,,1992-10-20,,,,,,,,,,,,,,,,,Villebon-sur-Yvette,,,,,,,2.2130400,,,,,,,,,,,,,,,+33 1 60 10 45 74,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.7003000,,,yes,,,,,,pharmacy,,,,
,,,,,,,,060012796,,,3,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,Place Jean Aude,,,,,,Grande Pharmacie de la Fontonne,,,,06600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antibes,,,,,,,7.1224051,,,,,,,,,,,,,,Mo-Sa 08:30-19:30,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.6008686,,,yes,,,,,,,,FR,,
,,,,,,,,330048430,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,Grande Pharmacie de la Rocade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5117160,,,,,,,,,,,,,,08:30-20:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,Pharmacie Holveck,,,,,,,,,,,,,,,,,,,,,,44.8696860,,,yes,,,,,,,,,,
,,,,,,,,590020723,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie des Halles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0551685,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,yes,,,,,,,,,50.6314091,,,yes,,,,,,pharmacy,,,,
,,,,,,,,790010045,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Grande Pharmacie du Progrès,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4930173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.8392838,,,yes,,,,,,,,,,
,,,,,,,,630007771,,,1,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,Place du 8 mai 1945,,,,,,Grande Pharmacie du Progrès,,,,63200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riom,,,,,no,,3.1129195,,,,,,,,,Snc Travert Et Pilandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.8924068,,,yes,,,,,,pharmacy,,,,
,,,,,,,,300007713,,,,,,,Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie du Talabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3722271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.8386494,,,yes,,,,,,,,,,
,,,,,,,,160010872,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande pharmacie centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3272378,,,,,,Pharmacie Marie-Pierre Gavillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.6948340,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grande pharmacie de Paron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2472438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.1877774,,,yes,,,,,,pharmacy,,,,
,,,,,,,,780006797,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande pharmacie des Clayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9727116,,,,,,Pharmacie Daval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.8215984,,,yes,,,,,,,,,,
,,,,,,,,330047663,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,Grande pharmacie du Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5985051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,44.7283876,,,yes,,,,,,pharmacy,,,,
,,,,,,,,950012013,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Guinault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2563540,,,,,,,,,,,,,,"Mo 14:30-20:00; Tu-Fr 09:00-12:30, 14:30-20:00; Sa 09:00-12:30, 14:30-19:30",,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,2,,,,,,,,,,,,,,49.0084237,,,yes,,,,,,pharmacy,,,,
no,,,,,,,,,,,17 Bis,,,,,,,,,,,,,,,,Rue Georges Claude,,,,,,Intermed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouméa,,,,,,,166.4471602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,no,,,,,,,,,-22.2299314,,,yes,,,,,,,,NC,,
no,,,,,,,,,,,17 Bis,,,,,,,,,,,,,,,,Rue Georges Claude,,,,,,Intermed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouméa,,,,,,,166.4476652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,-22.2301233,,,yes,,,,,,,,NC,,
no,,,,,,,,,,,17 Bis,,,,,,,,,,,,,,,,Rue Georges Claude,,,,,,Intermed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouméa,,,,,,,166.4474756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,-22.2299689,,,yes,,,,,,,,NC,,
,,,,,,,,,,,,,,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,Island Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.8332730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,17.9016079,,,yes,,,,,,,,,,
,,,,,,,,910006535,,Essonne,2,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,+33 1 64 57 78 75,,Rue du Chemin Vert,,,,,,Jacques,,,,91590,,,,,,,,,,,,,,,,1993-03-02,,,,,,,,,,,,,,,,,Cerny,,,,,,,2.3263610,,,,,,,,,,,,,,,+33 1 64 57 75 98,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,1,,,,,,,,,,,,,,48.4792340,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,L'Univers Pharmacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2664050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0480461,,,yes,,,,,,pharmacy,,,,
,,,,,,,,340793553,,,15,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012;Celtipharm - 10/2014,,,,,,,,,,,,Rue Gelibert,,,,,,L'Étang De L'Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0718220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.6541160,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,,,,,,,La Pharmacie Foyalaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.0667482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,14.6069333,,,yes,,,,,,,,,,
,,,,,,,,590022406,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,La Pharmacie Par Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9754470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,yes,,,,,,,,,50.6445930,,,yes,,,,,,pharmacy,,,,
,,,,,,,,850014697,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011;Celtipharm - 10/2014,,,,,517984704,51798470400018,,,,,,,,,,,,La Pharmacie Vicomtaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2931700,,,,,,,,,,,,,,"Mo-Fr 08:30-12:00,14:30-19:30; Sa 08:30-12:30",,,,,,,,,,,Giphar,,,+33 2 51 05 70 05,,,,,,,,,yes,4773Z,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.6728580,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Route de Redoute,,,,,,La Pharmacie de Redoute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fort-de-France,,,,,,,-61.0607288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,14.6242960,,,yes,,,,,,,,,,
