health_facility:type,amenity,int_name,office,healthcare:speciality,contact:website,name:it,operator,addr:housenumber,emergency,building:levels,opening_hours,contact:phone,lon,name:de,source,name:fr,addr:street,email,website,fax,description,barrier,contact:email,government,addr:full,phone,operator:en,old_name,lat,addr:city,building,name:el,name:en,contact:fax,name,designation,level,url,addr:postcode,healthcare,addr:country
,clinic,Health Center Voutara,,,,Centro medico di Voutara,,,,,,,20.5910162,Gesundheitszentrum Voutara,,Centre médical de Voutara,,,,,,,,,,,,,39.6715344,,yes,Κέντρο Υγείας Βουτσαρά,Health Center Voutara,,Κέντρο Υγείας Βουτσαρά,,,,,clinic,
,clinic,,,,,,,,,,,,22.9051817,,,,,,,,,,,,,,,,40.6675908,,yes,,,,Κέντρο Υγείας ΔΕυόσμου,,,,,,
,clinic,Health Center Derviziana,,,,Centro medico di Derviziana,,,,,,,20.7846823,Gesundheitszentrum Derviziana,,Centre médical de Derviziana,,,,,,,,,,,,,39.3980436,,yes,Κέντρο Υγείας Δερβίζιανα,Health Center Derviziana,,Κέντρο Υγείας Δερβίζιανα,,,,,clinic,
,clinic,Health Center Derviziana,,,,Centro medico di Derviziana,,,,,,,20.7848067,Gesundheitszentrum Derviziana,,Centre médical de Derviziana,,,,,,,,,,,,,39.3980816,,yes,Κέντρο Υγείας Δερβίζιανα,Health Center Derviziana,,Κέντρο Υγείας Δερβίζιανα,,,,,clinic,
,clinic,Kentro Ygeias Diavaton,,,,,Πρωτοβάθμιο Εθνικό Δίκτυο Υγείας,5,no,,Mo-Fr 07:00-22:00,,22.8550296,,,,Ελευθερίου Βενιζέλου,kydiavaton@gennimatas-thess.gr,,,,,,,,+30 2313310041,Primary Care Naional Network,,40.6877820,Διαβατά,,,Health Centre of Diavata,,Κέντρο Υγείας Διαβατών,,,,57008,,
,clinic,,,,,,,,,,,,20.7203675,,,,,,,,,,,,,+302674360100,,,38.3622817,Ιθάκη,yes,,,,Κέντρο Υγείας Ιθάκης,,,,28300,clinic,
,clinic,,,,,,,39,,,,,23.8701054,,,,Λαμπριανίδου,,,,,,,,,+302523022222,,,41.3363235,Κάτω Νευροκόπι,,,,,Κέντρο Υγείας Κάτω Νευροκοπίου,,,,66033,,
,clinic,,,,,,,,,,,,20.0488173,,,,,,,,,,,,,,,,39.4232665,,yes,,Lefkimmi Health Care Center,,Κέντρο Υγείας Λευκίμμης,,,,,,
,clinic,,,,,,,,,,,,20.3982595,,,,,,,,,,,,,+302684360000,,,39.2861758,,yes,Κέντρο Υγείας Πάργας,Parga's Health Centre,,Κέντρο Υγείας Πάργας,,,,,,
,clinic,,,general;paediatrics;dentistry,,,Νοσοκομείο Μυτιληνης,,,,,,26.1876369,,,,,,,,,,,,,+302252041111,,,39.0775200,Πολιχνίτος,yes,,Polihnitos health center,,Κέντρο Υγείας Πολιχνίτου,,,,81300,clinic,
,clinic,Pramanda health center,,,,,,,,,,,21.0965388,,,,,,http://www.kypramanton.gr/,,,,,,,+302659360100,,,39.5297805,Πράμαντα,,,,,Κέντρο Υγείας Πραμάντων,,,,44001,clinic,
,clinic,,,,,,,4,,,,,25.7008921,,,,Γεωργίου Γεννηματά,,,,,,,,,,,,41.0227387,Σάπες,yes,,,,Κέντρο Υγείας Σαπών Γεώργιος Γεννηματάς,,,,69300,,
,clinic,,,,,,,2,yes,,,,23.3858104,,,,Αλεξίδου,,,,,,,,,+302323350000,,,41.2338576,Σιδηρόκαστρο,public,,,,Κέντρο Υγείας Σιδηροκάστρου,,,,62300,clinic,
,clinic,,,,,,,,,,,,23.4851458,,,,,,,,,,,,,,,,39.1616981,,yes,Κέντρο Υγείας Σκιάθου,,,Κέντρο Υγείας Σκιάθου,,,,,,
,clinic,,,,,,,,,,,,23.4849670,,,,,,,,,,,,,,,,39.1618470,,yes,Κέντρο Υγείας Σκιάθου,Skiathos Health Centre,,Κέντρο Υγείας Σκιάθου,,,,,,
,clinic,,,,,,,,,,,,23.3122538,,,,,,,,,,,,,+30 2321353000,,,41.0413027,Στρυμωνικό,yes,,,,Κέντρο Υγείας Στρυμωνικού,,,,62400,clinic,
,clinic,,,,,,,,,,,,20.8845219,,,,,,,,,,,,,,,,39.2024139,,yes,Κέντρο Υγείας Φιλιππιάδας,Filippiada Medical Centre,,Κέντρο Υγείας Φιλιππιάδας,,,,,,
,clinic,,,,,,,,,,,,23.5758074,,,,,,,,,,,,,,,,41.0975651,,yes,,,,Κέντρο Ψυχικής Υγείας,,,,,clinic,
,clinic,,,,,,,,,,,,23.7314715,,,,,,,,,,,,,,,,37.8797398,,,,,,Κασταλία,,,,,,
,clinic,,,,,,,31,,,,,23.7362019,,,,Ασκληπιού,,,,,,,,,,,,37.9827145,Αθήνα,yes,,,,Κεντρική Κλινική Αθηνών,,,,,clinic,
,clinic,,,,,,,,,,,,23.8063109,,,,Δήμητρας,,,,,,,,,,,,37.8323498,,residential,,,,Κεντρο Υγειας Βαρης,,,,,,
,clinic,,,,,,,10,,,,,24.4105438,,,,Κωστή Παλαμά,,https://www.elefthoclinic.gr/,,,,,,,2510223881,,,40.9371657,Καβάλα,yes,,,,Κλινική Ελευθώ,,,,65302,,
,clinic,,,,,,,,,,,,24.4100433,,,,,,http://ippokratiskavala.gr,,,,,,,+302510221968,,,40.9375560,Καβάλα,yes,,,,Κλινική Ιπποκράτης,,,,,,
,clinic,,,,,,,1-3,,,,,23.7540617,,,,Σισίνη Γεωργίου,,https://lefkosstavros.gr/,,,,,,,+30 2107253961,,,37.9782671,Αθήνα,yes,,Lefkos Stavros,,Λευκός Σταυρός,,,,11528,clinic,
,clinic,,,,,,,28,,,,,22.9466703,,,,Ιουστινιανού,,,,,,,,,,,,40.6355639,Θεσσαλονίκη,yes,,,,Λυσ. Σαραφιανός,,,,,clinic,
,clinic,,,dialysis,,,,,,,,,25.0623936,,,,,,,,,,,,,,,,35.2906664,,yes,,MESOGEIOS,,ΜΕΣΟΓΕΙΟΣ,,,,,clinic,
laboratory,clinic,,,,,,,24,,,,,23.6408526,,,,Σαχτούρη,,https://www.mitosis.gr/,,κέντρο εξωσωματικής γονιμοποίησης,,,,,+30 2104535285,,,37.9377055,Πειραιάς,yes,,,,Μίτωση,,,,185 37,clinic,
,clinic,,,,http://www.reamaternity.gr/,,Ρέα Γυναικολογική Μ.Χ.Θ.Δ. Kλινική Α.Ε,383,,,,+30 210 9495000,23.6976475,,,,Λεωφόρος Ανδρέα Συγγρού,,,,,,info@reamaternity.gr,,"Λεωφόρος Ανδρέα Συγγρού 383 & Πεντέλης 17, 17564, Παλαιό Φάληρο, Αθήνα",,,,37.9411375,Παλαιό Φάληρο,yes,"Μαιευτική Γυναικολογική Κλινική ""Ρέα""","Maternity Hospital ""Rea""",+30 210 9495999,"Μαιευτική Γυναικολογική Κλινική ""Ρέα""",,,,17564,,GR
,clinic,,,,,,,,,,Mo-Th 10:00-20:00; Fr 10:00-19:00; Sa 10:00-14:00,,23.7435886,,,,,,http://www.mkiellinikou.org/,,"free primary medical care and medication to all uninsured, unemployed and needy patients",,,,,+30 21 09631950,,,37.8935516,,yes,,Metropolitan Community Clinic at Helliniko,,Μητροπολιτικό Κοινωνικό Ιατρείο Ελληνικού,,,,,,
,clinic,,,,,,,1,no,,,,22.5112474,,,,Κανελλοπούλου,,,,,fence,,,,,,,40.2636040,Κατερίνη,,,,,Μονάδα Υγείας ΠΕΔΥ Κατερίνης,,,,601 32,,
,clinic,,,,,,,,,,,,23.0069604,,,,,,,,,,,,,,,,40.5679728,,yes,,,,"Μονάδα Φροντίδας Ηλικιωμένων ""ΑΓ. ΝΙΚΟΛΑΟΣ""",,,,,,
,clinic,,,,http://www.ophthalmiatreio.gr/,,,,,,,213 20 52 701,23.7340852,,,,Ελ. Βενιζέλου 26 & Σίνα 2,,,,,,,,,,,,37.9793957,Αθήνα,yes,,,,Οφθαλμιατρείο Αθηνών,,,,10672,clinic,
,clinic,,,,,,,,,,,,24.4071456,,,,,,,,,,,,,,,ΙΚΑ,40.9362803,Καβάλα,public,,,,ΠΕΔΥ,,,,,,
,clinic,,,,,,,,,,,,23.6396271,,,,Αιτωλικού,,,,,,,,,,,,37.9553893,,yes,,,,Πανγια Η. Οδηγητρια Γενικη Κλινικη,,,,,clinic,
,clinic,,,,http://www.aemy.gr/,,,,,,,+30 2102420000,23.7638455,,,,,,,,,,info@aemy.gr,,,,,,38.1124952,,,,,+30 2102420215,Πολυκλινική Ολυμπιακού Χωριου,Πολυκλινική Ολυμπιακού Χωριου,,,,clinic,
,clinic,,,,,,,,,,,,23.6395248,,,,Αιτωλικού,,,,,,,,,,,,37.9564283,,yes,,,,Συγχρονο Νεφολογικο Κεντρο Πειαια Αγιος Παντελεημονας,,,,,clinic,
,clinic,,,ophthalmology,,,,129,,,,,23.7326506,,,,Σόλωνος,,,,,,,,,,,,37.9854035,Αθήνα,yes,,,,Υπαπαντή,,,,,clinic,
,clinic,,,,,,,,,,,,23.8561489,,,,,,,,,,,,,,,,37.9355803,,yes,,,,ΦΙΛΟΚΤΗΤΗΣ,,,,,clinic,
,clinic,,,,,,,,,,,,22.4772679,,,,,,,,,fence,,,,,,,40.2839720,,,,,,Ψυχιατρική Κλινική «Ελπίδα»,,,,,,
,clinic,,,,,,,,,,,,23.8209799,,,,Ελευθερίου Βενιζέλου,,,,,,,,,,,,38.0915213,,yes,,,,βιοιατρικη,,,,,clinic,
rehabilitation,clinic,,,,,,,,,,,,23.0689508,,,,,,,,,,,,,,,,40.5216654,,,,,,η Αναγέννηση,,,,,,
