roof:levels,amenity,healthcare:speciality,building:part,addr:suburb,addr:streetnumber,source:street,operator,addr:conscriptionnumber,addr:housenumber,building:levels,opening_hours,lon,name,note,source,import,is_in,source:conscriptionnumber,website,wheelchair,FIXME,source:amenity,phone,source:streetnumber,lat,centrum,addr:street,building,building:colour,addr:city,roof:shape,addr:postcode,medical,addr:place,healthcare,addr:country
,doctors,,,,21,,,,21,,,21.8950103,Poliklinika A. Leňa,,kapor2,,,,,,,,,,48.9324312,,1. mája,yes,,Humenné,,06601,,,doctor,SK
,doctors,,,,,,,,,,,21.2119822,Reedukačný domov pre deti a mládež,,kapor2,,,,https://www.rc-kosice.sk/,,,,+421 55/633 72 32,,48.7449636,,,yes,,,,,,,doctor,
,doctors,chiropractic,,,,,,,,,,18.0325192,Rehabilitačná Ambulancia,,,,,,,,,,,,48.8764205,,,,,,,,,,ambulatorio,
,doctors,,,,,,,,,,,19.4068007,Rescue Center,,kapor2,budovy201004,,,,,naozaj anglicky nazov?,,,,48.5405741,,,yes,,,,,,,,
,doctors,,,,,,,,,,,17.4399588,Všeobecný lekár,,,,,,,,,,,,48.4664426,,,yes,,,,,,,,
,doctors,,,,,,,,,,,19.4178481,Zdravotnicke centrum,,,,,,,,,,,,48.5620819,,,yes,,,,,,,,
,doctors,,,,,,,293,293,,,18.2098179,Zdravotné stredisko,,kapor2,,,kapor2,,,,,,,49.0280150,,,yes,,Pruské,,,,Pruské,,SK
,doctors,,,,2,,,548,548/2,,,16.9130441,Zdravotné stredisko,zdravotne stredisko+Lekaren,kapor2,,,,,,,,,,48.3242766,,Krátka,yes,,Vysoká pri Morave,,,,,,SK
,doctors,,,,,,,,,,,17.5760908,Zdravotné stredisko,,kapor2,,,,,,,,,,48.1629602,,,yes,,,,,,,,
,doctors,,,,5,municipality,,773,773/5,,,18.1451436,Zdravotné stredisko,,kapor2,budovy201004,,kapor2,,,,,,municipality,48.9334616,,Gagarinova,yes,,Nová Dubnica,,,,,,SK
,doctors,,,,,,,257,257,,,17.9734282,Zdravotné stredisko,,,,,,,,,,,,47.7688179,,Cesta kráľa IV. Bélu,detached,,Zlatná na Ostrove,,946 12,,Zlatná na Ostrove,,SK
,doctors,,,,,,,,,,,17.8190604,Zdravotné stredisko,,,,,,,,,,,,48.2537437,,,yes,,,,,,,,
,doctors,,,,,,,,,1,,19.3171084,Zdravotné stredisko,,kapor2,,,,,,,,,,49.0745380,,,yes,,,,,,,,
,doctors,,,,9,,,,9,3,,19.1412618,Zdravotné stredisko,,kapor2,,,,http://www.gynpor.sk,,,,+421455429902,,48.6147925,,SNP,yes,,Sliač,,,,,,
,doctors,,,,,,,126,126,,,18.6407269,Zdravotné stredisko,,bing,,,kapor2,,,,survey,,,48.2797638,,,civic,,Nová Dedina,,,,Nová Dedina,,SK
,doctors,,,,,,,,,,,17.9272598,Zdravotné stredisko,,kapor2,,,,,,,,,,48.1508448,,,,,,,,,,,
,doctors,,,,,,,256,256,,,18.2252818,Zdravotné stredisko,,kapor2,budovy201004,,kapor2,,,,,,,47.7503356,,,yes,,Iža,,,,Iža,doctor,SK
,doctors,,,,,,,,,,,18.3840249,Zdravotné stredisko,,kapor2,budovy201004,,,,,,,,,48.3875710,,,yes,,,,,,,,
,doctors,,,,2,,,6543,6543/2,2,,17.0522290,Zdravotné stredisko Lamač,,kapor2,,,,,,,,,,48.1951632,,Malokarpatské námestie,yes,,Bratislava,,841 03,,,,
,doctors,,,,,,,,,2,,19.6428149,Zdravotné stredisko POLIMED,,kapor2,budovy201004,,,,,,,,,48.8031417,,,yes,,,,,,,,
,doctors,,,,,,Falck Healthcare,6889,,,Mo-Fr 07:00-18:00,16.9919041,Zdravotné stredisko VW,,,,,,,,,,,,48.2257522,,Jána Jonáša,public,,Bratislava,,,,,,SK
,doctors,,,,5,,,2788,2788/5,1,,18.1934105,Zdravotné stredisko Šurany,,kapor2,budovy201004,,,,,,,,,48.0875191,,Družstevná,yes,yellow,Šurany,,,,,,SK
,doctors,,,,111,,,,111,,,17.0167340,ambulancia MUDr. Marianna Maršálková - Pediater,,kapor2,budovy201004,,,,,,,,,48.4396852,,1. mája,yes,,,,901 01,,,,
,doctors,,,,2A,,,2616,2616/2A,2,,19.6405123,lekárska služba prvej pomoci,,local knowledge,budovy201004,,,,,,,,,48.8053190,,Malinovského,yes,,Brezno,,,,,,SK
