old_name:fr,roof:levels,amenity,building:colour,maxstay,health_specialty:psychiatry,healthcare:speciality,addr:housename,contact:website,parking,social_facility,layer,surface,lon,access:employee,loc_name,wikidata,alt_name,social_facility:for,operator,name:de,alt_name:fr,addr:housenumber,access,fee,capacity,short_name,source:geometry:entity,area,building:levels,ref:OnroerendErfgoed,hospital,contact:phone,wikipedia,heritage:website,name,note,source,name:fr,heritage,opening_hours:url,name:etymology:wikidata,website,destination:symbol,fax,abandoned,name:nl,description,emergency,contact:email,addr:province,capacity:disabled,opening_hours,phone,addr:street:nl,old_name,lat,OnroerendErfgoed:criteria,alt_name:nl,wheelchair:description,addr:street:fr,addr:street,building,disabled,name:en,operator:type,addr:city,designation,roof:shape,addr:postcode,wheelchair,source:geometry,phone:emergency,email,ref:UrbIS,old_name:nl,healthcare,toilets:wheelchair,landuse,disused,addr:country,heritage:operator,internet_access
,,hospital,,,,,,,,,,,3.1219107,,,,,,,,,90,,,,,,,,,,,,,AZ Delta campus Brugsesteenweg,,,,,,,https://www.azdelta.be/,,,,,,,,,,,+32 51 23 61 11,,Stedelijk Ziekenhuis Roeselare,50.9547734,,,,,Brugsesteenweg,,,,,Roeselare,,,8800,,,,info@szr.be,,,,,,,,,
,,hospital,,,,,,,,,,,3.1216664,,,Q2718834,,,,,,2,,,,,,,,,,,nl:Heilig-Hartziekenhuis (Roeselare),,AZ Delta campus Wilgenstraat,,,,,,,,,,,,,yes,,,,,,,Heilig-Hartziekenhuis,50.9389763,,,,,Wilgenstraat,,,,,,,,8800,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.0518246,,,,,,,,,,,,,,,,,,,,,,AZ Diest Campus Hasseltsestraat,,,,,,,http://www.azdiest.be,,,,,,,,,,,,,,50.9804781,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.0516469,,,,,,,,,,,,,,,,,,,,,,AZ Diest Campus Statiestraat,,,,,,,http://www.azdiest.be,,,,,,,,,,,+32 13 35 40 11,,,50.9863320,,,,,,,,,,,,,,,,,die.info@uzleuven.be,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.6051066,,,,,,,,,,,,,,,,,,,,,,AZ Glorieux,,,,,,,,,,,,,,,,,,,,,50.7548259,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.2621457,,,Q2553113,,,,,,4,,,,,,,,,,,,,AZ Groeninge - campus Kennedylaan,,,,,,,https://www.azgroeninge.be/,,,,,,yes,,,,,,,,50.8018199,,,,,President Kennedylaan,,,,,Kortrijk,,,8500,,,,,,,hospital,,,,BE,,
,,hospital,,,,,,,,,,,3.2599253,,,,,,,,,4,,,,,,,,,,,,,AZ Groeninge - campus Reepkaai,,,,,,,,,,,,,no,,,,,,,,50.8298986,,,,,Reepkaai,,,,,Kortrijk,,,8500,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.7004804,,,,,,,,,5,,,,,,,,,,,,,AZ Jan Palfijn site Watersportbaan,,,,,,,,,,,,,yes,,,,,,,,51.0478855,,,,,Henri Dunantlaan,,,,,Gent,,,9000,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.4888286,,,,,,,,,100,,,,,,,,,,,,,AZ Klina,,,,,,,,,,,,,,,,,,,,,51.2989382,,,,,Augustijnslei,hospital,,,,,,,2930,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.7024463,,,Q2801704,,,,,,1026,,,,Maria Middelares,,,,,,,,,AZ Maria Middelares,,,,,,,,,,,,,yes,,,,,,,,51.0238507,,,,,Kortrijksesteenweg,,,,,Gent,,,9000,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.7570078,,,,Maria Middelares,,,,,27,,,,Sint-Jozef,,,,,,,,,AZ Maria Middelares campus Sint-Jozef,,,,,,,http://www.huisartsenwachtposten.be/,,,,,,yes,,,,,+32 9 236 50 00,,,51.0436009,,,,,Kliniekstraat,,,,,Gentbrugge,,,9050,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.4706491,,,,,,AZ Monica,,,,,,,,,,,,,,,,AZ Monica,,,,,,,,,,,,,yes,,,,,,,,51.2073111,,,,,,,,,private_non_profit,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.4085780,,,,,,,,,,,,,,,,,,,,,,AZ Monica Antwerpen,,,,,,,,,,,,,,,,,,,,,51.2015676,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.1511064,,,,,,,,,,,,,,,,,,,,,,AZ Nikolaas (Meesterstraat),,,,,,,,,,,,,,,,,,,,,51.1631351,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.1509993,,,,,,,,,1,,,,,,,,,,,,,AZ Nikolaas (Moerland),,,,,,,,,,,,,,,,,,,,,51.1609406,,,,,Moerlandstraat,,,,,,,,,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.2508722,,,,,,AZ Nikolaas,,,,,,,,,,,,,,,,AZ Nikolaas Campus Beveren,,,,,,,,,,,,,,,,,,,,,51.2104909,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,general;emergency,,,,,,,3.6017520,,,,,,AZ Oudenaarde vzw,,,3,,,,,,,,,,,,,AZ Oudenaarde,,,,,,,https://www.azoudenaarde.be/,,+32 55 33 66 95,,,,,,,,,+32 55 33 61 11,,,50.8430108,,,,,Minderbroedersstraat,,,,,Oudenaarde,,,9700,,,,info@azoudenaarde.be,,,,,,,,,
,,hospital,,,,,,,,,,,4.0266977,,,,,,,,,6,,,,,,,,,,,,,AZ Sint-Blasius Dagkliniek,,,,,,,,,,,,,no,,,,,,,,51.0665191,,,,,Koevliet,yes,,,,Zele,,,9240,,,,,,,hospital,,,,,,
,,parking,,,,,,,surface,,,,5.0015767,,,,,,AZ St-Dimpna,,,,customers,yes,,,,,,,,,,,AZ Sint-Dimpna,,,,,,,,,,,,,,,,,,,,,51.1583474,,,,,,,,,,,,,,,,,,,,,,,,,,
,,parking,,,,,,,surface,,,,5.0021894,,,,,,AZ St-Dimpna,,,,employees,no,,,,,,,,,,,AZ Sint-Dimpna (enkel personeel),,,,,,,,,,,,,,,,,,,,,51.1583373,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.1977402,,,Q2804407,Sint-Janshospitaal,,,,,10,,,,,,,,,,,,,AZ Sint-Jan,,,,,,,http://www.azsintjan.be/,,,,,,yes,,,,,,,,51.2213677,,,,,Ruddershove,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,2.9144458,,,,,,,,,,,,,,,,,,,,,,AZ Sint-Jan Brugge-Oostende - Campus Hendrik Serruys,,,,,,,,,,,,,,,,,,,,,51.2239481,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.6428568,,,,,,,,,,,,,,,,,,,,,,AZ Sint-Jozef,,,,,,,,,,,,,yes,,,,,,,,51.2755462,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.2466793,,,Q3499845,,,,,,,,,,,,,,,,,nl:AZ Sint-Lucas (Brugge),,AZ Sint-Lucas,,,,,,,https://www.stlucas.be/,,,,,,,,,,,+32 50 36 91 11,,,51.1850017,,,,,,,,,,,,,,,,+32 50 36 91 12,info@stlucas.be,,,,,,,,,
,,hospital,,,,,,,,,,,3.8227428,,,,,,,,,,,,,,,,,,,,,,AZ Sint-Lucas,Medisch Centrum Zelzate,,,,,,,,,,,,,,,,,,,,51.1957238,,,,,,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.4733557,,,,,,,,,,,,,,,,,,,,,,AZ Sint-Maarten,,,,,,,https://www.azsintmaarten.be/,,,,,Algemeen Ziekenhuis Sint-Maarten,,,,,,,,,51.0522222,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,parking,,,,,,,surface,,,asphalt,5.0007994,,,,,,AZ St-Dimpna,,,,customers,no,,,,,,,,,,,AZ St-Dimpna,,,,,,,,,,,,,,,,12,,,,,51.1595944,,,,,,,yes,,,,,,,,,,,,,,,,,,,
,,parking,,,,,,,surface,,,,4.9999523,yes,,,,,AZ St-Dimpna,,,,private,no,70,,,,,,,,,,AZ St-Dimpna,,,,,,,,,,,,,,,,,,,,,51.1606838,,,,,,,,,,,,,,,,,,,,,,,,,,
,,parking,,,,,,,surface,,,,5.0001508,,,,,,AZ St-Dimpna,,,,customers,yes,,,,,,,,,,,AZ St-Dimpna,,,,,,,,,,,,,,,,,,,,,51.1603920,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.9432027,,,,,,,,,,,,,,,,,,,,,,AZ Turnhout Campus Sint Elizabeth,,Bing,,,,,,,,,,,,,,,,,,,51.3127219,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.9185066,,,,,,,,,,,,,,,,,,,,,,AZ Turnhout Campus Sint Jozef,,,,,,,,,,,,,,,,,,,,,51.3342037,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,2.6715605,,,Q27984824,,,,,,,,,,,,,,,,,,,AZ West,,,,,,,,,,,,,,,,,,,,,51.0613313,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.1251157,,,,,,AZ Zeno,,,1,,,,,,,,,,,,,AZ Zeno campus Blankenberge,,,,,,,http://www.azzeno.be/,,,,,,yes,,,,,+32 50 43 41 11,,Fabiolaziekenhuis,51.3080095,,,,,Dr. Frans Verhaegestraat,hospital,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.2902951,,,,,,AZ Zeno,,,260,,,,,,,,,,,,,AZ Zeno campus Knokke-Heist,,,,,,,http://www.azzeno.be/,,+32 50 53 50 09,,,,yes,,,,,+32 50 53 50 00,,,51.3250828,,,,,Kalvekeetdijk,,,,,,,,,,,,info@azzeno.be,,,,,,,,,
,,hospital,,,,,,,,,,,4.1245789,,,,,,,,,,,,,,,,,,,,,,AZ-Nikolaas,,,,,,,,,,,,,,,,,,,,,51.2237040,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.0161419,,,,,,,,,,,,,,,,,,,,,,Algemeen Stedelijk Ziekenhuis Aalst,,,,,,,,,,,,,yes,,,,,,,,50.9363633,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.1133228,,,,,,,,,,,,,,,,,,,,,,Algemeen Ziekenhuis Sint-Blasius,,,,,,,,,,,,,,,,,,,,,51.0262041,,,,,,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.1909480,,,,,,,,,,,,,,,,,,,,,,Asster Psychiatrisch Ziekenhuis Campus Melveren,,,,,,,,,,,,,,,,,,,,Sancta Maria,50.8388810,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,psychiatry,,,,,,,5.1739956,,,,,,,,,,,,,,,,,,,,,,Asster Psychiatrische ziekenhuis Campus Stad,,,,,,,,,,,,,,,,,,,,Ziekeren,50.8099876,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.6352129,,Clinique des Bruyères,,,,,,,600,,,,Clinique des Bruyères,,,,,,,,,C.H.U. Notre-dame des Bruyères,,,,,,,,,,,,,yes,,,,,,,,50.6243239,,,,,Rue de Gaillarmont,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.2205068,,,,,,,,,,,,,,,,,,,,,,CHM,,,,,,,,,,,,,yes,,,,,,,,50.7489336,,,,,,yes,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.9607193,,,,,,,,,5,,,,,,,,,,,,,CHR Mons-Hainaut Site Saint-Joseph,,,,,,,,,,,,,yes,,,,,,,,50.4547493,,,,,Avenue Baudouin de Constantinople,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.8040234,,,,,,,,,27,,,,,,,,,,,,,CHR Mons-Hainaut Site Warquignies,,,,,,,,,,,,,yes,,,,,,,,50.4187734,,,,,Rue des Chaufours,,,,,Boussu,,,7300,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.8572288,,,,Hôpital de Verviers,,CHR Verviers,,,29,,,,,,,,,,,,,CHR Verviers | La Tourelle,,,,,,,https://www.chrverviers.be/,,,,,,yes,,,,,,,,50.5819777,,,,,Rue du Parc,,,,,Verviers,,,4800,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.9606929,,,Q3145129,,,,,,,,,,,,,,,,,,,CHU Ambroise Paré,,,,,,,,,,,,,yes,,,,,,,,50.4581915,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.3300592,,,,,,,,,4,,,,,,,,,,,fr:Centre hospitalier universitaire Brugmann,,CHU Brugmann - UVC Brugmann,,,CHU Brugmann,,,,https://www.chu-brugmann.be/,,,,UVC Brugmann,,yes,,,,,,,,50.8851079,,,,,Place Arthur Van Gehuchten - Arthur Van Gehuchtenplein,,,Brugmann UH,,Bruxelles - Brussel,,,1020,yes,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.4401943,,,Q19951058,,,,,,,,,,,,,,,,,fr:Hôpital civil Marie Curie,,CHU Charleroi - Marie Curie (Lodelinsart),,,,,,Q7186,http://www.chu-charleroi.be/sites/hopital-civil-marie-curie,,,,,,yes,,,,,+32 71 92 07 01,,,50.4304463,,,,,Chaussée de Bruxelles,yes,,,,Lodelinsart,,,6042,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.5770286,,,,,,,,,25-27,,,,,,,,,,,,,CHU Esneux,,,,,,,,,,,,,no,,,,,,,,50.5322087,,,,,rue Grandfosse,hospital,,,,Esneux,,,4130,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.5782780,,,,,,,,,33,,,,,,,,,,,,,CHU Esneux Polyclinique,,,,,,,,,,,,,no,,,,,,,,50.5323707,,,,,rue Grandfosse,hospital,,,,Esneux,,,4130,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.3457406,,,Q3145220,,,,,,322,,,,,,,,,,,fr:Hôpital Saint-Pierre,,CHU Saint-Pierre - UMC Sint-Pieter,,,CHU Saint-Pierre,,,,https://www.stpierre-bru.be/,,,,UMC Sint-Pieter,,yes,,,,,,,,50.8344015,,,,,Rue Haute - Hoogstraat,,,Saint-Pierre University Hospital,,Bruxelles - Brussel,,,1000,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.9405981,,,,,,,,,115,,,,,,,,,,,,,Campus Sint-Jan,,,,,,,,,,,,,,,Vlaams-Brabant,,,,,,50.8154846,,,,,Houtemstraat,yes,,,,Tienen,,,3300,,,,,,,,,,,BE,,
,,hospital,,,,,,,,,,,3.8910473,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier Hornu - Frameries,,,,,,,,,,,,,no,,,,,,,,50.4071136,,,,,,,,,,,CH Hornu-Frameries,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,6.0230262,,,,,,,,,2,,,,,,,,,,,,,Centre Hospitalier Reine Astrid Malmedy,,,,,,Q230238,,,,,,,yes,,,,,,,Clinique Reine Astrid,50.4263570,,,,,Rue Devant les Religieuses,,,,,Malmedy,,,,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.2395055,,,,,,,,,2,,,,,,,,,,,,,Centre Hospitalier Régional de Huy,,bing,,,,,https://www.chrh.be/,,,,,,yes,,,,,+32 85 27 21 11,,,50.5134521,,,,,Rue des Trois Ponts,,,,,Huy,,,4500,limited,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.5448588,,,,,,Centre Hospitalier Spécialisé Notre-Dame des Anges asbl,,,67,,,,,,,,,,,,,Centre Hospitalier Spécialisé Notre-Dame des Anges,,,,,,,http://www.cnda.be,,,,,,no,,,,,,,,50.6480674,,,,,Rue Émile Vandervelde,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.7873744,,,,,,,,,15,,,,,,,,,,,,,Centre Hospitalier Spécialisé l'Accueil,,,,,,,http://www.isosl.be/index.php/left-menu-1-accueil/hopitaux-specialises/site-lierneux,,,,,,,,,,,,,,50.2895360,,,,,Rue du Doyard,,,,,Lierneux,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.2030516,,,,,,,,,8,,,,,,,,,,,,,Centre Hospitalier Tubize Nivelles - Site de Tubize,,,,,,,,,,,,,,,,,,,,,50.6926293,,,,,Avenue de Scandiano,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.3168064,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier Tubize-Nivelles site de Nivelles,,,,,,,,,,,,,yes,,,,,,,,50.5942888,,,,,,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.2054339,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier Universitaire Tivoli,,,,,,,,,,,,,yes,,,,,,,,50.4781266,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,
,,hospital,,,,,,,,,,,3.2195680,,,,,,,,,49,,,,,,,7,,,,,,Centre Hospitalier de Mouscron,,,,,,,http://chmousron.be,,,,,,,,,,,+32 56 85 85 85,,,50.7489812,,,,,Avenue de Fécamp,yes,,,,,,,7700,,,,info@chmouscron.be,,,,,,,,,wlan
,,hospital,,,,,,www.chwapi.be,,,,,3.4010519,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier de Wallonie picarde - site IMC,,,,,,,,,,,,,,,,,,,,,50.5931911,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.3781149,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier de l'Ardenne,,,,,,,,,,,,,yes,,,,,,,,49.9254962,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,general,,,,,,,4.0660158,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier de la Haute Senne - site Saint Vincent,,,,,,,,,,,,,no,,,,,,,,50.5767818,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.5418784,,,,,,,,,122,,,,,,,,,,,,,Centre Medical Mosan,,,,,,,http://www.centre-medical-mosan.be/,,,,,,,,,,,+32 4 247 81 20,,,50.6757850,,,,,Rue de Lantin,,,,,Rocourt,,,4000,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.4348292,,,,,,,,,,,,,,,,,,,,,,Centre Neurologique et de Réadaptation Fonctionnelle,,,,,,,,,,,,,,,,,,,,,50.4865525,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.3432567,,,,,,,,,3,,,,,,,,,,,,,Centre de Réadaptation Heysel - Revalidatiecentrum Heizel,,,Centre de Réadaptation Heysel,,,,,,,,Revalidatiecentrum Heizel,,,,,,,,,,50.8911933,,,,,Rue du Heysel - Heizelstraat,,,,,Bruxelles - Brussel,,,1020,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.3101295,,,,,,,,,18,,,,,,,,,,,,,Centre de santé des Fagnes,,,,,,,,,,,,,,,,,,,,,50.0444351,,,,,Boulevard Louise,yes,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.3777079,,,,,,,,,63,,,,,,,,,,,,,Centre hospitalier Etterbeek-Ixelles - Ziekenhuizencentrum Etterbeek-Elsene,,,Centre hospitalier Etterbeek-Ixelles,,,,,,,,Ziekenhuizencentrum Etterbeek-Elsene,,yes,,,,,+32 2 641 41 11,,,50.8256318,,,,,Rue Jean Paquot - Jean Paquotstraat,,,,,Ixelles - Elsene,,,1050,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.2502706,,,,,,,,,2,,,,,,,,,,,,,Centre hospitalier Joseph Wauters,,,,,,,,,,,,,,,,,,,,,50.6924025,,,,,Avenue de la Résistance,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.3850323,,,Q20669939,,,CHU Brugmann,,,36,,,,,,,,,,,fr:Centre hospitalier Paul Brien,,Centre hospitalier Paul Brien - Verplegingscentrum Paul Brien,,,Centre hospitalier Paul Brien,,,,,,,,Verplegingscentrum Paul Brien,,yes,,,,,,,,50.8707003,,,,,Rue du Foyer Schaerbeekois - Schaarbeekse Haardstraat,,,,,Schaerbeek - Schaarbeek,,,1030,,,,,,,,,,,,,
Hôpital français,,hospital,,,,,,,,,,,4.3069906,,,,,,,,,180,,,,,,,,,,,,,Centre hospitalier Valida,,,Centre hospitalier Valida,,,,,,,,,,,,,,,+32 2 482 40 00,,Hôpital français - Frans Gasthuis,50.8669094,,,,,Avenue Josse Goffin - Josse Goffinlaan,,,,,Berchem-Sainte-Agathe - Sint-Agatha-Berchem,,,1082,,,,,,Frans Gasthuis,,,,,,,
,,hospital,,,,,,,,,,,5.4918099,,,,,,,,,,,,,,,,,,,,,,Centre hospitalier du Bois de l'Abbaye,,,,,,,,,,,,,,,,,,,,,50.5819246,,,,,,,,,,,,,,limited,,,,,,,,,,,,
,,hospital,,,,,,www.chwapi.be,,,,,3.3827826,,,,,,,,,,,,,,,,,,,,,,ChWaPi Site Union,,,,,,,,,,,,,,,,,,,,,50.5998092,,,,,Rue des Sports,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,4.3672156,,,,,,,,,35,,,,,,,,,,,,,Chirec - Hôpital de Braine-Waterloo,,,,,,,http://chirec.be/,,,,,,yes,,,,,+32 2 434 91 11,,,50.6856278,,,,,Rue Wayez,,,,,Braine-l'Alleud,,,1420,,,,,,,hospital,,,,BE,,
,,hospital,,,,psychiatry,,,,,,,3.9783570,,,,,,,,,,,,,,,,,,,,,,Chêne aux Haies,,,,,,,,,,,,,,,,,,,,,50.4605019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.6034381,,,,,,,,,,,,,,,,,,,,,,Clairs Vallons,,,,,,,,,,,,,,,,,,,,,50.6591836,,,,,,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.6338726,,,,,,,,,,,,,,,,,,,,,,Clinique André Renard,,,,,,,,,,,,,,,,,,,,,50.6746387,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.5269602,,,,,,,,,48,,,,,,,,,,,,,Clinique Edmond-Jacques,,,,,,,,,,,,,,,,,,,,,49.5535980,,,,,Rue d'Harnoncourt,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.6874787,,,,,,,,,,,,,,,,,,,,,,Clinique Notre-Dame,,,,,,,,,,,,,,,,,,,,,50.7323090,,,,,,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.2435165,,,,,,,,,47,,,,,,,,,,,,,Clinique Notre-Dame,,,,,,,,,,,,,yes,,,,,,,,50.6916389,,,,,Rue Edmond de Sélys-Longchamps,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.4286740,,,,,,Clinique Notre-Dame de Grâce ASBL,,,212,,,,,,,,,,,,,Clinique Notre-Dame de Grâce,,,,,,,https://www.cndg.be/,,,,,,yes,,,,,,,,50.4738036,,,,,chaussée de Nivelles,,,,,Charleroi,,,6041,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,5.8540349,,,,,,,,,107,,,,,,,,,,,,,Clinique Peltzer (CHR),,,,,,,https://www.chrverviers.be/sites-peltzer__verviers_-2.html,,,,,,,,,,,,,,50.5843596,,,,,Rue de Liège,,,,,Verviers,,,4800,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,5.9533300,,,,,,,,,68,,,,,,,,,,,,,Clinique Psychiatrique des Frères Alexiens,,,,,,,,,,,,,,,,,,,,,50.6740217,,,,,Rue du Chateau de Ruyff,,,,,Welkenraedt,,,4840,,,,,,,,,,,,,
