amenity,drive_through,building:part,contact:website,roof:colour,source_dat,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,source,email,website,name:sl,source:addr,contact:email,source:date,phone,lat,smoking,addr:street,building,name:en,contact:fax,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:city,dispensing,healthcare,addr:country
pharmacy,,,,,,,,,,,13.5686918,GURS,,,,,,20010829,,45.5288040,,Tartinijev Trg - Piazza Giuseppe Tartini,yes,,,Lekarna - Farmacia,,,,,,,,
pharmacy,,,,,,,,,"Mo-We 07:30-19:00; Th,Fr 07:30-15:00; Sa 07:30-12:00",,16.2335980,,,,,,,,,46.6092979,,,yes,,,Lekarna Beltinci,,,,,,,,
pharmacy,,,,,,,12C,,,,15.8646311,,,,,,,,+3862 788 53 46,46.4165983,,Zadružni trg,yes,,,Lekarna Breg,,2250,,,Ptuj,,,
pharmacy,,,,,,,37,,,,14.4169319,,,,,,,,,46.0547076,,Polhograjska cesta,house,,,Lekarna Dobrova,,1356,,,Dobrova,,,
pharmacy,,,,,,,18,,,,15.6174172,,,,,,,,,46.5551806,,Kalohova ulica,yes,,,Lekarna Kalohova,,2000,,,Maribor,yes,,
pharmacy,,,,,,Lekarna Ljubljana,,,,,14.6535155,,,,,,,,,45.9592735,,,yes,,,Lekarna Ljubljana,,,yes,,,,,
pharmacy,,,,,,,29a,,,,16.1900842,,,www.najlekarna.si,,,,,,46.6852716,,Martjanci,yes,,,Lekarna Martjanci,,9221,,,Martjanci,,,
pharmacy,,,,,,,1,,,,14.4107283,,,,,,,,,46.1424183,,Donova cesta,yes,,,Lekarna Medvode,,1215,,,Medvode,,,
pharmacy,,,,,20010829,Koroška lekarna,17,,Mo-Fr 07:30-14:00;We-Th 07:30-16:00;Sa 08:00-12:00;PH off,,14.8537462,GURS,,,,,,,,46.5192043,,Partizanska cesta,yes,,,Lekarna Mežica,,2392,,,Mežica,yes,,SI
pharmacy,,,,,,,2,,,,13.6457358,,,,,,,,,45.9578911,no,Rejčeva ulica,yes,,,Lekarna Nova Gorica,,5000,,,Nova Gorica,,,
pharmacy,yes,,http://www.kraske-lekarne.si/pharmacy/lekarna-ruj-sezana/,,,"Hana Brelih Čebron, mag.farm.",73/b,2,Mo-Fr 08:00-20:00; Sa 08:00-16:00,+386 5 731 17 74,13.8554983,,,,,,rujsezana@krl.si,,,45.7045027,,Partizanska cesta,retail,,,Lekarna Ruj Sežana,,6210,yes,,Sežana,yes,pharmacy,
pharmacy,,,,,,Mariborske lekarne,7b,,Mo-We 08:00-17:00; Th-Fr 08:00-15:00; Sa 08:00-13:00,,15.5133996,,,,,,,,,46.5384948,,Trg vstaje,yes,,,Lekarna Ruše,,2342,,,Ruše,yes,,
pharmacy,,,http://www.krl.si/index.php?page=lekarna-sezana,,,Kraške lekarne,25,2,Mo-Fr 08:00-19:00; Sa 08:00-13:00,+386 5 7311770,13.8709314,,,,,,sezana@krl.si,,,45.7079618,,Partizanska cesta,commercial,,+386 5 7311772,Lekarna Sežana,,6210,yes,,Sežana,yes,,SI
pharmacy,,,,,,Lekarna Vir,,,,,14.6067927,,,,,,,,,46.1478328,,,yes,,,"Lekarna Vir, Kos Blanka, Mag.Farm.",,,,,,yes,pharmacy,
pharmacy,,,http://www.lekarnaljubljana.si/si/lokacije-in-kontakti/lekarne/lekarna-vic,silver,,Lekarna Ljubljana,10,,Mo-Fr 07:15-19:15; Sa 08:00-13:00,+386 1 2306100,14.4868791,,,https://www.zd-lj.si/zdlj/,,,lekarna.vic@lekarna-lj.si,,,46.0466989,,Šestova ulica,yes,,,Lekarna Vič,flat,1000,,,Ljubljana,yes,,
pharmacy,,,,,,,22,,,,15.8287858,,,,,,,,,46.5774271,,Maistrova ulica,yes,,,Lekarna lenart,,2230,,,Lenart v Slov. Goricah,,,
pharmacy,,,,,,,25a,,,,14.5769769,,,,,,,,012306100,45.9810216,,Kočevska cesta,yes,,,Lekarna Škofljica,,1291,,,Škofljica,,,
pharmacy,,,,,,,2,,,,15.9930422,,info@lekarna-springer.si,https://www.lekarna-springer.si/,,,,,+386 59 044 999,46.6731135,,Cankarjeva cesta,yes,,,Lekarna Špringer,,9250,,,Gornja Radgona,,,
pharmacy,,,,,,,24D,,,,16.2869135,,,,,,,,,46.5200688,,Šafarsko,yes,,,Lekarna Špringer,,9246,,,Razkrižje,,,
pharmacy,,,,,,,9,,,,15.8656603,,,,,,,,,46.4162511,,Zadružni trg,yes,,,Lekarne Ptuj,,2250,,,Ptuj,,,
pharmacy,,,,,,,42a,,,,14.5831806,,,,,,,,+386 1 5291543,46.0643688,,Zadobrovška cesta,yes,,,MEDICOtehna,,1260,,,Ljubljana-Polje,,,
