shop,amenity,drive_through,addr:housename,addr:ward,roof:colour,height,payment:debit_cards,wikidata,alt_name,operator,payment:credit_cards,addr:housenumber,area,building:levels,opening_hours,contact:phone,wikipedia,source,lon,catastro:ref,ref,email,website,wheelchair,addr:unit,survey:date,description,emergency,nohousenumber,building:material,payment:cash,addr:full,source:date,phone,source:geometry,addr:province,lat,roof:shape,tourism,addr:street,building,building:colour,fixme,name,wheelchair:description,level,addr:postcode,roof:material,addr:place,addr:city,source:geometry:url,disused:name,dispensing,healthcare,landuse,addr:country,name:es
,pharmacy,,,,,,,,,,,78B,,,,+34972451664,,Generalitat de Catalunya,3.1184622,,3623956,info@farmaciafajol.cat,https://www.farmaciafajol.cat/,,,,,,,,,,03/11/2020 07:59:55 AM +0000,+34 972451664,,,42.2481098,,,Avinguda de Joan Carles I,,,,Fajol,,,17486,,,Castelló d'Empúries,,,yes,,,,
,pharmacy,,,,,,,,,,,,,2,,,,Catastro,-5.4245402,,,,,,,,,,,,,,2015,,,,36.2054164,,,,yes,,,Farmacia,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,Catastro,-5.4330891,,,,,,,,,,,,,,2015,,,,36.2154882,,,,yes,,,Farmacia,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-2.5974483,,,,,,,,,,,,,,,,,,36.9841843,,,,yes,,,Farmacia,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-3.8598366,,,,,,,,,,,,,,,,,,40.2612070,,,,yes,,,Farmacia,,,,,,,,,,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-7.1524602,,,,,,,,,,,,,,,,,,37.2830817,,,,yes,,,Farmacia,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.7916629,,,,,,,,,,,,,,,,,,41.2807183,,,,,,,Farmacia,,,,,,,,,yes,,,,
,pharmacy,,,Embajadores,,,,,Farmacia Martínez Honduvilla Carlos José,,,8,,,,+34 913691710,,Ayuntamiento de Madrid,-3.7052656,,,,,,,,"Acceso: METRO: Tirso de Molina, BUS: 6, 26, 32 , Servicios: Análisis Clínicos, Óptica y Ortopedia",,,,,,,,,,40.4114492,,,Calle Meson de Paredes,,,,Farmacia - Calle Mesón de Paredes 8,,0,28012,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,3,,1,,,,,-6.7393716,,,,,,,,,,,,,,,+34 923 48 81 65,,Salamanca,40.7391398,,,Calle San Juan,yes,,,Farmacia Alberto Bujan de Gonzalo,,,37488,,,Villar de Ciervo,,,,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-2.5868446,,,,,,,,,,,,,,,,,,36.9901433,,,,yes,,,Farmacia Alhabia,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,2,,2,,,,,-6.6409856,,,,,,,,,,,,,,,+34 923085904,,Salamanca,40.3372242,,,Calle Larga,yes,,,Farmacia Aurora Fernández Fidalgo,,,37522,,,Villasrubias,,,,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-8.5451853,,,,,,,,,,,,,,,,,,42.8771619,,,,yes,,,Farmacia Bescansa,,,,,,,,,yes,pharmacy,,,
,pharmacy,no,,,,,yes,,,,yes,160,,,Mo-Sa 08:00-20:00,,,,-16.4523808,,,,,,,,,,,,yes,,,,,,28.4500917,,,Calle Real,yes,,Especificar mejor los métodos de pago. https://wiki.openstreetmap.org/wiki/Key:payment,Farmacia Calle Real Luz María Moreno,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,Embajadores,,,,,Farmacia - Plaza Cascorro 6,,,6,,,,+34 915272819,,Ayuntamiento de Madrid,-3.7071658,,,,,no,,,"Acceso: METRO: La Latina, BUS: 17, 18, 23, 35, 60",,,,,,,,,,40.4104077,,,Plaza Cascorro,,,,Farmacia Cascorro,Escalon > 7cm,0,28005,,,,,,,,,,
,pharmacy,,,,,,,,,,,30,,,,,,,-1.0029016,,,,,,,,,,,,,,,,,,40.6351776,,,Calle Mesón,yes,,,Farmacia Cases Culla,,,44163,,,Perales del Alfambra,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.6960593,,,,,,,,,,,,,,,,,,43.1500188,,,,yes,,,Farmacia Codorniu,,,,,,,,,,,,,
,pharmacy,,,Embajadores,red-brown,,,,,,,46,,6,,+34 913692000,,Ayuntamiento de Madrid,-3.6997900,,,,,,,,"Acceso: METRO: Anton Martin, Tirso de Molina, BUS: 6, 26, 32, 57",,,,,,2009,,,,40.4124696,,,Calle Atocha,yes,red,,Farmacia Del Globo,,,28012,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,11,,,,,,,-5.3289116,,,,,,,,,,,,,,,,,,39.1032364,,,Capitán Carracedo,yes,,,Farmacia Donoso Bermejo,,,06770,,,Casas de Don Pedro,,,,pharmacy,,,
,pharmacy,no,,,,,,,,,,,,,,,,,-16.2993207,,,,,,,,,,yes,,,,,,,,28.4513801,,,Avenida El Cardonal,yes,,,Farmacia El Cardonal,,,38108,,,"Urb. El Cardonal, Taco - San Cristóbal de La Laguna",,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.0261940,,,,,,,,,,,,,,,,,,40.3451964,,,,,,,Farmacia El Hórreo,,,,,,,,,,,retail,,
,pharmacy,,,,,,,,,,,85,,,,,,,-3.9006173,,,,,,,,,,,,,,,,,,40.3545195,,,Avenida del Príncipe de Asturias,yes,,,Farmacia El Mirador Encarnación Tudela Recovenis,,,,,,Villaviciosa de Odón,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,33,,,,,,,-8.9575579,,,,,,,,,,,,,,,,,,42.5839162,,,Rúa do Norte,yes,,,Farmacia Enguix,,,15959,,,Palmeira-Ribeira,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.1638044,,,,,,,,,,,,,,,,,,40.8535768,,,,yes,,,Farmacia Esperanza Rodríguez,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-6.4477077,,,,,,,,,,,,,,,,,,41.8697604,,,,yes,,,Farmacia Figueruela,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,2.6952419,,,,,,,,,,,,,,,,,,39.5546991,,,,yes,,,Farmacia Gaspar Real Vicens,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,1.4813920,,,,,,,,,no,,,,,,,,,41.1700441,,,,yes,,,Farmacia Gregoria Rubio Moreno,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,17,,,,,,,-6.6901731,,,,,,,,,,,,,,,,,,38.9283485,,,Calle Mayor,yes,,,Farmacia Guadiana,,,06186,,,Guadiana del Caudillo,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.1121525,,,,,,,,,,,,,,,,,,39.6366591,,,,yes,,,Farmacia Gómez Bermejo,,,,,,,,,,,,ES,
,pharmacy,,,,,,,,,,yes,,,,"Tu 10:00-14:00, Th 10:00-14:00, Sa 10:00-14:00",,,,-0.5026210,,,,,,,,,,,,,,,,,,39.9841642,,,,yes,,Especificar mejor los métodos de pago. https://wiki.openstreetmap.org/wiki/Key:payment,Farmacia Higueras,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,0.0090519,,,,,,,,,,,,,,,,,,38.8458203,,,,yes,,,Farmacia Infantes,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-8.5423512,,,,,,,,,,,,,,,,,,42.8796369,,,,yes,,,Farmacia J. Martinez,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-6.1531508,,,,,,,,,,,,,,,,,,36.3944658,,,,yes,,,Farmacia La Rana Verde,,,,,,Chiclana de la Frontera,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.5798103,,,,,,,,,,,,,,,,,,38.3964440,,,,yes,,,Farmacia Las Partidas,,,,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.8676645,,,,,,,,,,,,,,,,,,42.3486334,,,,yes,,,Farmacia Lda. Carmen Delgado,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,22,,,,,,,-0.8945199,,,,,,A,,,,,,,,,,,,38.0901768,,,Carretera Orihuela - Guardamar,yes,,,Farmacia Lda. Luísa Ramírez,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,2,,,,,,,-8.7430241,,,,,,,,,,,,,,,,,,42.2118073,,,Rúa Ponte da Veiga,yes,,,Farmacia Lestón,,,,,,,,,,pharmacy,,,
optician,pharmacy,,,,,,,,,,,,,,,,,,-0.7348019,,,,,,,,,,,,,,,+34 968 14 20 16,,,37.6828013,,,,yes,,,Farmacia Licenciada Ascención Martínez Martínez,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,17,,,,,,,-1.8965116,,,,,,,,,,,,,,,,,,42.3081232,,,Av. la Paz,yes,,,Farmacia Luri Dendarieta,,,31560,,,Azagra,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,36,,1,,,,,-6.6952469,,,,,,,,,,,,,,,+34 923 47 15 77,,Salamanca,40.4835433,,,Avenida de Portugal,yes,,,Farmacia María Agustina Martín Encinas,,,37551,,,Ituero de Azaba,,,,,,ES,
,pharmacy,,,,,,,,,,,16,,2,,,,,-6.8137428,,,,,,,,,,,,,,,,,Salamanca,40.4110221,,,Calle Maravedí,yes,,,Farmacia Miguel De Pando Jiménez-Ridruejo,,,37555,,,La Alberguería de Argañán,,,,,,ES,
,pharmacy,,,,,,,,,María Milagros Gómez Roel,,10,,,"Mo-Fr 09:00-15:00,16:30-20:15; Sa 10:00-13:45",,,,-8.2760556,,,,,yes,,,,,,,,,,,,,43.2434588,,,A Igrexa,house,,,Farmacia Milagros Roel,,,15318,,,Abegondo,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,Ministerio de Defensa,,,,,,,,,-1.0276560,,,,,,,,,,,,,,,+34976708174,,,41.6705615,,,,yes,,,Farmacia Militar,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.7272984,,,,,,,,,,,,,,,,,,38.2653074,,,,yes,,,Farmacia Peña las Aguilas,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,5,,,Mo-Fr 09:00-13:30; Mo-Fr 17:30-21:00,,,,-6.1297964,,,,,,,,,,,,,,,,,,36.6835253,,,Calle María Antonia de Jesús Tirado,yes,,,Farmacia Pío XII,,,11401,,,Jerez de la Frontera,,,yes,pharmacy,,,
,pharmacy,no,,,,,,,,,,,,,Mo-Sa 09:00-20:00,,,local knowledge;aerial imagery,-4.5913488,,,,,,,,,,,,,,,,,,41.4745598,,,Calle Antonio Molpeceres,yes,,,Farmacia Pío del Río Hortega,,,47160,,,Portillo,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-6.2465257,,,,,,,,,,,,,,,,,,40.4071960,,,Avenida Castilla Y León,yes,,,Farmacia Rivas Giner Marcelo,,,10626,,,Nuñomoral,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,"Mo-Fr 09:30-13:45,17:00-20:00; Sa 10:00-13:45",,,,-4.0900285,,,,,,,,,,,,,,,,,,40.6712401,,,,,,,Farmacia Sala,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,2,,,,,,,2.4403058,,,,,,,,,,,,,,,,,,41.6521768,,,Via Augusta,yes,,,Farmacia Sitja,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-3.7755724,,,,,,,,,,,,,,,,,,38.0963700,,,,yes,,,Farmacia Torres Guillén,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-1.2857586,,,,,,,,,,,,,,,,,,38.1065857,,,,yes,,,Farmacia Trinidad Gomez Carrasco,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,11,,,L-D 8:30 - 22:00,,,,-5.9474306,,,,,,,,,,,,,,,+34 954 79 07 26,,,37.4848352,,,Calle Alberto Lista,yes,,,Farmacia Villalba Orellana,,,41300,,,San Jose de la Rinconada,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-8.6996112,,,,,,,,,,,,,,,,,,42.2473185,,,Rúa do Toural,yes,,,Farmacia Villanueva,,,36207,,,Vigo,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.9719899,,,,,,,,,,,,,,,,,,43.3352864,,,,yes,,,Farmacia de Benia,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-4.4981652,,,,,,,,,,,,,,,,,,39.9578798,,,Avenida de Castilla la Mancha - CM-4015,yes,,,Farmacia de Erustes,,,,,,Erustes,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,José María González Esteban,,22,,,,,,Eusko Jaurlaritza-Gobierno Vasco,-2.4927981,,,,,,,,,,,,,,,+34 945317412,,Araba/Álava,42.9172216,,,Calle Uría/Uria kalea,yes,,,Farmacia de Ozaeta,,,01206,,,Ozaeta,,,,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-6.7457535,,,,,,,,,,,,,,,,,,43.5455089,,,,yes,,,Farmacia de Xarrio,,,,,,Mouguías,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-3.5888279,,,,,,,,,,,,,,,,,,38.0722697,,,,yes,,,Farmacia de la Estacion,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.1699667,,,,,,,,,,,,,,,,,,36.6237816,,,Calle Fuente Caraila,yes,,,Farmacia del Pueblo,,,29462,,,Júzcar,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.3181782,,,,,,,,,,,,,,,,,,39.3097069,,,,yes,,,Farmacia el Palmar,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,6,,,,,,,-4.3983170,,,,,,,,,,,,,,,+34 925 78 21 99,,,40.1595543,,,Calle Ajofrín,yes,,,Farmacia-Óptica Ribera del Alberche,,,,,,,,,,,,,
,pharmacy,,,,,,,,,Ajuntament dels Arcs,,,,,,,,,0.8297854,,,,,,,,,,,,,,,,,,41.6940385,,,Carrer Nou,yes,,,Farmaciola els Arcs,,,25144,,,els Arcs,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,1,,,,,-0.3548266,,,,,,,,,,,,,,,,,,42.1337219,,,,yes,,,Farmatierz,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,1,,,,,,,-1.9831976,,,,,,,,,,,,,,,+34 948513312,,,43.0335893,,,Orellako auzoa,yes,,,Farmazia - Albataria,,,31891,,,,,,,,,,Farmacia Garmendia Goicoechea
,pharmacy,,,,,,,,,,,,,,,,,,2.1072763,,,,,,,,,,,,,,,,,,41.5508998,,,Via Massagué,,,,Farmàcia Blanchart,,,,,,,,,no,,,,
,pharmacy,,,,,,,,,,,24,,,,+34977688541,,Generalitat de Catalunya,1.5586194,,3623072,,,,,,,,,,,"carrer Carretera, 24",03/11/2020 08:00:55 AM +0000,,,,41.2978841,,,carrer Carretera,yes,,,"Farmàcia Carbó Royo, Manuel",,,43713,,,Sant Jaume dels Domenys,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,310,,,,,,,2.6031469,,,,,,,,,,,,,,,,,,39.5526440,,,Avinguda de Joan Miró,yes,,,Farmàcia Mayol,,,07015,,,Palma,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,2.3275696,,,,,,,,,,,,,,,,,,41.4816859,,,,,,,Farmàcia Ocata,,,,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,km 2,,,08:30-20:30,+34972526073,,Generalitat de Catalunya,2.9652308,,3623944,,,,,,,,,,,"carretera Nacional Iia, KM2, 5",03/11/2020 07:59:50 AM +0000,,,,42.2347338,,,carretera Nacional IIa,industrial,,,"Farmàcia Pi Herrero, Pietat",,,17469,,,Vilamalla,,FirstStop,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.3826329,,,,,,,,,,,,,,,,,,38.8531548,,,,yes,,,Francisco Javier Sanz Valero,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,L 13,,,,,,,-0.6751148,,,,,,,,,,,,,,,,,,38.1387052,,,Avenida de Londres,yes,,,Isabel Gual,,,03177,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-1.7993086,,,,,,,,,,,,,,,,,,43.0014339,,,,yes,,,Jauntsarats,,,,,,,,,no,,,,
,pharmacy,,,,,,,,,,,51,,,,,,,-7.4457440,,,,,,,,,,,,,,,+34 982543004,,,42.8649890,,,Benigno Quiroga,yes,,,Javier Iglesias Rodil,,,27360,,,Pobra de San Xiao,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,23,,,,,,,-6.6095807,,,,,,,,,,,,,,,+34 923 49 10 43,,Salamanca,40.3838319,,,Calle Arrieros,,,,Jesús Alberto Herrero Martín,,,37521,,,El Robleda,,,,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-1.2580155,,,,,,,,,,,,,,,,,,40.0960538,,,,yes,,,Joaquín Villanueva Hernández,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-0.2694903,,,,,,,,,,,,,,,,,,38.6837076,,,,yes,,,José Manuel Zaragoza,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,3,,,,catastro,-0.2717704,,,,,,,,,,,,,,,+34 965 87 91 16,,,38.6081188,,,,yes,,,José Vicente Herrero,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,Mo-Fr 09:00-22:00; Sa-Su 09:30-21:30,,,,-6.1213565,,,,,,,,,,,,,,,,,,36.6844145,,,,yes,,,Judith Roa del Castillo,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.3387038,,,,,,,,,,,,,,,,,,36.1764647,,,,yes,,,La Atunera,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,Farmacia de Las Torres,,,81,,2,"Mo-Fr 09:00-13:30, Sa 09:30-13:15",,,,-15.4533018,,,,,no,,,,,,,,,,,,,28.1121334,,,Madreselva,house,,,Lcda. Olga Muñoz Pérez de Óbanos,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,21,,,,,,,-5.6286177,,,,,,,,,,,,,,,,,,42.8045257,,,Calle Mayor,house,,,Lda. Aurora Vicente Tapia,,,24640,,,La Robla,,,no,,,ES,
,pharmacy,,,,,,,,,,,19,,,"08:30-12:30,15:30-20:00",,,,-5.6287231,,,,,,,,,,,,,,,,,,42.8018678,,,Calle Ramón y Cajal,yes,,,Lda. Maria del Pilar Pérez Gutiérrez,,,24640,,,La Robla,,,yes,,,ES,
,pharmacy,,,,,,,,,,,,,,,,,,-5.8040606,,,,,,,,,,,,,,,,,,42.7823961,,,,yes,,,Lda. María Dolores Fernández García,,,,,,,,,yes,,,,
,pharmacy,,,,,,,,,,,36,,,,,,,-6.7264935,,,,,,,,,,,,,,,,,,41.1051525,,,Calle Grande,yes,,,Ldo. Víctor Manuel Soriano Abejaro,,,37258,,,Vilvestre,,,yes,,,,
,pharmacy,,,,,,,,,,,,,,,,,,0.3423866,,,,,,,,,,,,,,,,,,41.5217030,,,,yes,,,MARCH VILELLA MIGUEL,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,24/7,,,,-6.6128643,,,,,,,,,,,,,,,,,,38.9071596,,,Calle Concepción Arenal,yes,,,Manuel Benítez-Donoso Cuesta 24HORAS,,,06480,,,Montijo,,,yes,pharmacy,,,
,pharmacy,no,,,,,,,,,,,,,Mo-Fr 08:00-13:00,,,,-6.3375065,,,,,,,,,,,,,,,,,,39.1542703,,,Calle Paz,yes,,,Mendoza Gómez,,,06488,,,Carmonita,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,27,,,,,,,0.3364683,,,,,,,,,,,,,,,,,,41.5226018,,,Avenida Hondos,yes,,,Monica Franco Cerezo,,,22520,,,Fraga,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,8,,,,,,,-3.9400424,,,,,,,,,,,,,,,,,,42.8062587,,,Calle Peñalosa,yes,,,Nuria concepción Gutiérrez Bedia,,,39220,,,Polientes,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,2.0979922,,,,,,,,,,,,,,,,,,41.3769204,,,,,,,Parafarmacia,,0,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.7997370,,,,,,,,,,,,,,,,,,36.6056443,,,,yes,,,Parafarmacia,,,,,,,,,,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-3.0153961,,,,,,,,,,,,,,,,,,39.6732144,,,,,,,Pascual García Viso,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,-5.6039272,,,,,,,,,,,,,,,,,,42.6427487,,,,yes,,,Pharrmacia Helena Garcia Calama,,,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,,,,,,,0.3355823,,,,,,,,,,,,,,,,,,41.4734525,,,,yes,,,Vera Trems  Amalia,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,,,,,,,,,,,,,,,,-8.7901995,,,,,,,,,,,,,,,,,,42.1393065,,,Rúa dos Padróns,yes,,,bialactis,,,,,,vigo,,,,,,,
