health_facility:type,maxspeed,source:name:oc,healthcare:speciality,contact:postcode,social_facility,name:co,payment:cash,postal_code,CLC:code,ref:FR:FINESS,capacity:parent,children,is_in,addr:housenumber,lit,alt_name_1,electricity,tourism,name:de,source,location,capacity:disabled,image,fax,payment:discover_card,junction,short_name,source:name,ref:FR:SIREN,name:als,leisure,ref:FR:SIRET,historic,facebook,motor_vehicle,foot,internet_access:ssid,source:FINESS,smoothness,wikimedia_commons,addr:street,bmo:type,architect:wikipedia,fixme,name:en,contact:fax,name,official_name,level,type:FR:FINESS,addr:postcode,name:etymology:wikidata,shortest_name,source:geometry:date,ref:mhs,contact:email,maternity,operator_type,CLC:id,disused,type:FR:PLU,source:addr:housenumber:ref,payment:mastercard,bicycle,twitter,parking,loc_name,payment:credit_cards,AUCAME:ID_Unique,source:addr,capacity,network,internet_access:fee,political_division,wikipedia,access,url:merime,source:heritage,boundary,ref,email,highway,barrier,healthcare,name:br,roof:shape,alt_name:br,ref:structurae,contact:twitter,ref:FR:FANTOIR,wall,operator:short_name,inscription:fr,health_facility_type,tracktype,source:geometry,addr:city,source:building,CLC:year,military,toilets:wheelchair,internet_access,old_short_name,health_amenity:type,addr:territoire,maxstay,name:oc,lon,contact:website,survey:date,layer,addr:streetnumber,height,name:source,alt_name,type,operator,name:pl,contact:city,source:alt_name:br,area,opening_hours,contact:phone,addr:housename,description1,whc:inscription_date,source:name:br,heritage,park_ride,start_date,website,contact:housenumber,nohousenumber,capacity:women,source:date,phone,construction,old_name:en,old_name,mhs:inscription_date,ref:FR:NAP,aeroway,architect,dispensing,ref:FR:NAF,url:drac,landuse,source:amenity,roof:levels,source:ref:FR:FINESS,addr:street_1,amenity,operator:type,entrance:width,source:addr:version,updated,surface,building:level,wikidata,hospital:for,payment:notes,social_facility:for,operational_status,emergency,addr:district,building:levels,provided_for,cycleway,note,operator:wikipedia,name:fr,contact:street,AUCAME:ID_Source,description,building:material,note:fr,addr:full,fence_type,emergency_phone,payment:visa,old_name:wikipedia,roof:colour,lat,medical_system:western,building,building:colour,natural,payment:coins,url,wheelchair,addr:place,dog,beds,entrance:step_count,ref:whc,oneway,entrance:step:height,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancien hôtel-Dieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,5.0490016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9197151,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancienne Clinique Fardeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0831390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,47.2530800,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,540003027,,,,,,,,,,,,,,,,,,,,,,20004216600047,,,,,,,,,,,,,,,Anciens Hôpitaux Maringer Villemin Fournier,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1888116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8610Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6775166,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antenne medico-psychologique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.2804961,,,,,,,,,CHS Nouville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5588743,,yes,,,,,,,,,,,,,,,
,,,surgery;physiatry,,,,,,,060800166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnault Tzanck Mougins,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,7.0115289,,,,,,,,,,,,,,,,,,,,,,,https://www.tzanck.org/mougins,,,,,+33 4 97 16 68 00,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6078282,,,,,,,,,,,,,,,,,
,,,,,,,,,,110785516,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,Association Audoise Sociale et Médicale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.2202385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,43.0558555,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,750813628,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.3104442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,48.8294695,,hospital,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Automne en Aspe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6146610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9950110,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Avenue du Docteur Santy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9080471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,,,44.9149623,,,,,,,,,,,,,yes,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bercail Saint-Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7106935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7003010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologie du cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3431408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,48.8442219,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard Franklin Roosevelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9087127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,44.9123072,,,,,,,,,,,,,yes,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9077377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,lane,,,,,,,,,,,,,,,44.9120235,,,,,,,,,,,,,no,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9057837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,44.9117857,,,,,,,,,,,,,yes,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9055168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,lane,,,,,,,,,,,,,,,44.9116889,,,,,,,,,,,,,no,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9084546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,lane,,,,,,,,,,,,,,,44.9121338,,,,,,,,,,,,,no,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9086393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,44.9122428,,,,,,,,,,,,,yes,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9063751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,44.9118162,,,,,,,,,,,,,yes,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,roundabout,,,,,,,,,,,,,,,,,,,,,Boulevard du Maréchal Juin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,4.9061369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,44.9118344,,,,,,,,,,,,,,,,,
,,,proton_therapy;oncology;radiotherapy,,,,,,,,,,,Bâtiment 101,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2010,,,,+33 1 69 07 55 00,,,,,,,,,,,,,,,,,Avenue Irène et Frédéric Joliot-Curie,,,,,,Bâtiment 101 - Centre de protonthérapie,,,,91400,,,,,,,,,,,,,,,,,,,,,,,,fr:Institut Curie,,,,,,,,,hospital,,,,,,,,,,,,,Orsay,,,,,,,,,,,2.1765925,,,,,,,Institut Curie - Centre de protonthérapie,,Institut Curie,,,,,,,,,,,,,,https://curie.fr/liste/centre-de-protontherapie,,,,,+33 1 69 29 87 00,,,,,,,,,,,,,,,,hospital,private_non_profit,,,,,,Q2451973,,,,,no,,,,,,,,,,,,,,,,,,,48.6978483,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Bâtiment Constant Burg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3456223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8435477,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,850000258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.H.S Georges Mazurelle,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,-1.4260234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6444648,,,,,,,,,,,,,,,,,
,,,,,,,,,,440003291,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,C.H.U Saint-Jacques,,,,,,,,PA44000012,,,,,,,,,,,,,,,,,,,,fr:Hôpital Saint-Jacques de Nantes,,,Ministère de la Culture - 06/2019,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,-1.5362714,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1997-04-24,,,,,,,,,,,,hospital,,,,,,,Q3145209,,,,,,,,,,,,,,,,,,,,,,,,47.1960267,,,,,,,,,,,,,,,,mhs,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DE DIALYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4992628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5703668,,,,,,,,,,,,,,,,,
,,,,,,,,,,420789067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH Maurice André,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,4.3016140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5981890,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH de Grasse - Site du Petit Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,6.9133394,,,,,,,,,Centre Hospitalier de Grasse,,,,,,,,,,,,,,http://www.ch-grasse.fr/,,,,,,,,,,,,,,,,healthcare,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6497373,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHCBE (Centre Hospitalier de Capesterre B-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.5637822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0458832,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,540002698,,,,,,,,,,,,,,,,,,,,,,20004216600161,,,,,,,,,,,,,,,CHRU de Nancy Brabois,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1458600,,,,,,,,,,,,,,,+33 3 83 15 30 30,,,,,,,,,,,,,,,,,,,,,,8610Z,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,48.6485660,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,CHSA - Centre de Psychothérapie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9584370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2797275,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,800000614,,,,,,,,,,Bing;knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,CHU Amiens Picardie - Centre Saint-Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.3185096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9029602,,,,,,,,,,,,,,,,,
,,,,,,,,,,800000192,,,,,,,,,,Le ministère des solidarités et de la santé - 10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,CHU Amiens Picardie Hôpital Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2930547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9058360,,,,,,,,,,,,,,,,,
,,,intensive,,,,,,,800006124,,,,,,,,,,,,,,+33 3 22 66 85 95,,,,,,,,,,,,,,,,,,,,,,,CHU Amiens Sud,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,2.2480667,,,,,,,,,,,,,,,,,,,,,,,www.chu-amiens.fr,,,,,+33 3 22 45 60 00,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,49.8700095,,,,,,,,,,,,,,,,,
,,,maternity;emergency;intensive,,,,,,,970400024,,,,,,,,,,,,,,0262 90 50 51,,,,,,,,,,,,,,,,,Allée des Topazes,,,,,,CHU Félix Guyon,,,101,97400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direction.fguyon@chu-reunion.fr,,,,,,,,,,,,,,,,Saint-Denis,,,,,,,,,,,55.4447582,,,,,,,CHU Nord,,CHU de la Réunion,,,,,,,,,,,,,,,,,,,0262 90 50 50,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,-20.8899622,,,,,,,,,,,,,,,,,
,,,,,,,,,,340021260,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,CHU Larche Bleu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8999804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,mental_health,,,,,,,,,,,,,,,,,,,,,43.6625975,,,,,,,,,,,,,,,,,
,,,,,,,,,,630783538,,,,61,,,,,,Le ministère des solidarités et de la santé - 08/2018,,,,,,,,,,,,,,,,,,,,,Route de Châteaugay,,,,,,CHU Louise Michel Hopital Nord,,,,63118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cébazat,,,,,,,,,,,3.0924428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hopital Nord,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,45.8388679,,,,,,,,,,,,,,,,,
