shop,cameras,name:cy,building:part,indoor,addr:parentstreet,survey_date,payment:cash,postal_code,smoking,is_in,addr:housenumber,source:addr:housenumber,old:fhrs:id,ref:store,payment:debit_cards,office,addr:town,addr:state,pharmacy,source,ref:NPLG:UPRN:1,source:number,opening_hours:url,covered,addr:village,fhrs:local_authority_id,fax,survey:date,emergency,food,material,contact:facebook,disused:shop,building:roof:orientation,sponser,addr:hamlet,source:area,addr:terrace,wikimedia_commons,addr:street,source:postal_code,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,stroller,parking:disabled,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,floors,money_transfer,disused,internet_access,payment:mastercard,opening_hours:pharmacy,opening_hours:post_office,amenity_1,twitter,designation,roof:height,lawyer,medical_supply,payment:american_express,description,alcohol,not:addr:postcode,contact:email,wikipedia,addr:province,fhrs:rating,fhrs:authority,brand:wikidata,ref:cadw,check_date,leasing_number,ref,email,takeaway,phone2,recycling:batteries,fhrs:id,roof:shape,contact:twitter,old_amenity,addr:source,atm,source:geometry,addr:city,source:building,roof:direction,fhrs:name,source:listed_status,toilets:wheelchair,retail,opticians,comment,drive_through,source:location,ref:pol_id,lon,contact:website,roof:colour,layer,height,dispensing_hours,int_name,alt_name,building:roof:shape,operator,brand:wikipedia,previous_name,fixme:addr2,fixme:addr4,currency:GBP,area,opening_hours,contact:phone,addr:housename,old_fhrs:id,heritage,architect,dogs,website,addr:unit,source:height,listed_status,brand,addr:suburb,phone,old_name,source:outline,indoor:level,disused:fhrs:id,room,note:fsha,atm:fee,start_date,deaf:description:en,dispensing,landuse,source:amenity,roof:levels,amenity,addr:street:en,source:shape,parking,telephone,addr:floor,admin_name,wikidata,source:postcode,alt_shop,cuisine,verified,ref:gphc,fhrs:inspectiondate,building:levels,image,note,nhs,addr:locality,branch,FIXME,source:addr,building:material,addr:full,payment:visa,fhrs:localauthoritybusinessID,levels,building:architecture,addr:county,source:addr:postcode,lat,old_shop,building,building:colour,addr:district,store_ref,url,wheelchair,addr:place,branch:ref,historic,parking:access,healthcare,colour,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,839,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,Stratford Road,,,,,,Advance Pharmacy,,,B11 4DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,-1.8580368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4438106,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgware Road,,,,,,Al Farabi Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,,,,,,,,-0.1627390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Vision,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5147636,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewsbury Road,,,,,,Al Shafa,,,LS11 5HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds,,,,,,,,,,,,-1.5457186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7745218,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,566-568,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,Stratford Road,,,,,,Alcock May & Iles,,,B11 4AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,-1.8646857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4516311,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alderston Drive,,,,,,Alderston Pharmacy,,,KY12 0XU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunfermline,,,,,,,,,no,,,-3.4362656,,,,,,,,,NHS Fife,,,,,,,,,Alderston Pharmacy,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0817629,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Allcures,,,RM17 6NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grays,,,,,,,,,no,,,0.3225058,,,,,,,,,,,,,,,,Mo-Fr 08:00-20:00; Sa-Su off,,,,,,,,,,,,,+44 1375 378706,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4766850,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Allcures Pharmacy,,,SS17 0HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4267636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5154432,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allens Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7447935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6461505,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,64a,,,,,,,,,survey;OS_OpenData_StreetView,,,,,,,,,,,,,,,,,,,,Windhill Road,,,,,,Alliance Pharmacy,,,WF1 4SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4768320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6899269,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlisle Road,,,,,,Alphega Pharmacy,,,CA5 7LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalston,,,,,,,,,,,,-2.9834021,,,,,,,,,,,,,,,,,,Vicars Cottages,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8430384,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alphington Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5353990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6995802,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bing; survey,,,,,,,,,,,,,,,,,,,,,,,,,,Alrewas Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7494006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7325999,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,South Gloucestershire,,,,,,,Alveston,,,,,,,,,,,,,,,Green Hill Parade,,,,,,Alveston Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,,,,,no,,,-2.5320868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5900554,,retail,,,,,,,,,,pharmacy,,GB,,
,,,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton Road,,,,,,Andrew McCoig Pharmacy,,,CR2 6ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Croydon,,,,,,,,,,,,-0.0989826,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:30; Sa 09:00-13:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3508294,,retail,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyde Park Road,,,,,,Andrew Tylee Pharmacy,,,LS6 1PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466999,,,,,,,Leeds,,,,,,,,,,,,-1.5691546,,,,,,,,,,,,,,,,,,,,,,,,,,,Numark,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8058686,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armoy Community Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3263321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1311555,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Lanes,,,,,,Armstrong Pharmacy,,,N4 2EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,,,,,no,,,-0.0927936,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,3,,,,,,,,brick,,,,,,,,51.5642201,,yes,grey,,,,,,,,,,,,,
,,,,,,,,,,,62,,,,,,,,,Bing; survey,,,,,,,,,,,,,,,,,,,,Poole Road,,,,,,Arrowedge Ltd,,,BH4 9DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9023801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7230077,,yes,,,,,,,,,,,,,,
supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asda Ashington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5715470,,,1,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1851494,,retail,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asda Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2093694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0279114,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't know where in the store.,,,Asda Pharmacy,,,HX1 4JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088812,,,,,,,,,,,,Halifax,,,,,,,,,,,,-1.8891731,,,,,,,,,Asda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7250929,,,,,,,,,,,,,,GB,,
travel_agency,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asda Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1393754,,,,,,,,,Asda,,,,,,,Mo-Fr 09:00-21:00; Sa 08:30-20:00; Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0634832,,,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,97-99,,,,,,,,,gps,,,,,,,,,,,,,,,,,,,,Ashley Down Road,,,,,,Ashgrove Pharmacy,,,BS7 9JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385694,,,,,,,Bristol,,,,,,,,,,,,-2.5829011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishopston,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,51.4811047,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cities_revealed_aerial_imagery,,,,,,,,,,,,,,,,,,,,,,,,,,Asif's Pharmacy,,,B8 1LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8577307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4910210,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Aspire Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidcup,,,,,,,,,,,,0.1043749,,,,,,,,,Aspire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4257452,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,87,,,,,,,,,Warwickshire_CC_ Aerial_Imagery_2013,,,,,,,,,,,,,,,,,,,,Long Street,,,,,,Atherstone Pharmacy,,,CV9 1BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atherstone,,,,,,,,,,,,-1.5472819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5774180,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avenue Villa Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1664812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6794435,,,,,,,limited,,,,,pharmacy,,,,
,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rownhams Road,,,,,,Avicenna Pharmacy,,,SO16 5EB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton,,,,,,,,,,,,-1.4472967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9360734,,retail,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avicenna Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9090071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7489004,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avonmouth Road,,,,,,Avonmouth Pharmacy Ltd,,,BS11 9EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385026,,,,,,,Bristol,,,,,,,,,,,,-2.6957304,,,,,,,,,,,,,,,,,,,,,,,,,,,Vantage Pharmacy,Avonmouth,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4992516,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B A. Christie Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1869654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1763285,,retail,,,,,,,,,,pharmacy,,,,
