building:ruian:type,amenity,contact:phone,healthcare:speciality,addr:conscriptionnumber,addr:housename,contact:website,roof:colour,building:flats,layer,addr:streetnumber,internet_access:ssid,email,wikidata,alt_name,surface,source:position,operator,name:ru,parking,short_name,is_in,addr:housenumber,addr:housename:de,barrier,lon,building:levels,opening_hours,fenced,wikipedia,name:de,note,source,source:addr,heritage,ref:ruian:building,start_date,website,fax,loc_name,description,emergency,addr:housename:cs,name:cs,fence_type,leisure,addr:suburb,phone,historic,official_name,old_name,lat,smoking,ref:ruian:addr,contact:databox,addr:street,building,building:colour,fixme,name:en,contact:fax,name,designation,ref:NPU,url,addr:postcode,wheelchair,addr:place,addr:city,height,internet_access:fee,heritage:operator,healthcare,toilets:wheelchair,landuse,addr:country,contact:email,internet_access
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.5787082,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,49.1763040,,,,,,,,,,Fakultní nemocnice Bohunice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,-1,,,,Q11989336,,,,,больницы Королевского университета,,,,,,,14.4738890,,,,,,,,,,,,,,Vinohradská nemocnice,,yes,,,,,,,,,,50.0761686,,,,,,,,,,Fakultní nemocnice Královské Vinohrady,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.3493238,,,,,Universitätskrankenhaus Motol,,,,,,,,,,,,,,,,,,,,,50.0749962,,,,,,,,,,Fakultní nemocnice Motol,,,,,yes,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.2401479,,,,,,,,,,,,https://www.fnol.cz/,,,,yes,,,,,,,,,,49.5818652,,,,,,,,,,Fakultní nemocnice Olomouc,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,Q11989351,,,,,,,FN Ostrava,,,,,18.1620009,,,,,,,,,,,,https://www.fno.cz/,,,,,,,,,,,,,,49.8298762,,,,,,,,,,Fakultní nemocnice Ostrava,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,wall,13.3747185,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.7334454,,,,,,,,,,Fakultní nemocnice Plzeň,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4213067,,,,,,,cuzk:km,,,,,http://www.vfn.cz/,,,,,,,,,,+420 224 961 111,,,,50.0760429,,,,,,,,,,Fakultní poliklinika Všeobecné fakultní nemocnice v Praze,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,Všeobecná fakultní nemocnice v Praze,,,,,,,,14.4281035,,,,,Gynäkologisch-geburtshilfliche Klinik,,,,,,,,,,,,,,,,,,,,,50.0706027,,,,,,,,,,Gynekologicko-porodnická klinika,,,,,,,,,,,hospital,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.5340441,,,,,,,cuzk:ruian,,,46824456,,www.gyncentrum.cz,,,,no,,,,,,,,,,50.1029361,,,,,civic,,,,,Gynekologická klinika,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.0309868,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,49.8894985,,,,,,,,,,Hamzova dětská léčebna,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.7827606,,,,,,,,,,,,https://www.hnsp.cz/,,,,,,,,,,,,,,50.5409057,,,,,,,,,,Hornická nemocnice s poliklinikou,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,Nemocnice České Budějovice a.s.,,,,,,,,14.4702966,,,,,,,,,,,,,,,,,,,,,,,,,,48.9614081,,,,,,,"zmapovat přesně, oddělit od silnice",,,Horní areál Nemocnice České Budějovice,,,,,,,,,,,,,,,,
15,hospital,,,,,,,8,,,,,,,,,,,,,,,,,17.3383759,2,,,,,,cuzk:ruian,,,22881425,,,,,,,,,,,,,,,,49.6286189,,,,,civic,,,,,Hospic,,,,,,,,,,,,,,,,
,hospital,,,,,,,,-1,,,,,,,,,,,,,,,,14.4661331,,,,,,,,,,,,,,,,,,,,,,,,,,50.0234508,,,,,,,,,,IKEM,,,,,,,,,,,,,,,,
15,hospital,,,,,,,1,,,,,,,,,,,,,,,,,13.4163839,1,,,,,,cuzk:ruian,,,24052191,,,,,,,,,,,,,,,,49.7550170,,,,,civic,,,,,IV. Poliklinika,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.0874385,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,49.4752958,,,,,yes,,,,,Informace,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.2894049,,,,,,,,,,,,,,,,,,,,,,,,,,49.8337334,,,,,,,,,,Institut onkologie a rehabilitace Na Pleši,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.8631438,3,,,,,,cuzk:ruian,,,8087806,,,,,,,,,,,,,,,,49.8823620,,,,,civic,,,,,Interna,,,,,,,,,,,hospital,,,,,
,hospital,,,,,http://www.jesnem.cz/,,,,,,,,,,,,,,,,,,,17.1958735,,,,,,,,,,,,,,,,,,,,,,,,,,50.2279077,no,,,,,,,,,Jesenická nemocnice,,,,,,,,,,,,,,,nemocnice@jesnem.cz,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,12.8739682,,,,,,,,,,,,,,,,,,,,,,,,,,50.2338567,,,,,,,,,,Karlovarská krajská nemocnice a.s.,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.9105213,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.4186549,,,,,,,,,,Klaudiánova nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.0637477,,,,,,,cuzk:km,,,,,https://www.nemlib.cz/,,,,,,,,,,,,,,50.7706674,,,,,,,,,,Krajská nemocnice Liberec,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q21598513,,,,,,,,,,,,17.6934465,,,,,,,,,,,,,,,,,,,,,,,,,,49.2286815,,,,,,,,,,Krajská nemocnice Tomáše Bati,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6100893,,,,,,,,,,,,,,,,,,,,,,,,,,50.8936783,,,,,,,,,,Krankenhaus Varnsdorf,,,,,,,,,,,,,,,,
3,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.9814270,1,,,,,,cuzk:ruian,,,15446395,,,,,,,,,,,,,,,,50.5243566,,,,,hospital,,,,,LDN,,,,,,,,,,,,,,,,
15,hospital,,,,,,,2,,,,,,,,,,,,,,,,,16.8627143,3,,,,,,cuzk:ruian,,,8087695,,,,,,,,,,,,,,,,49.8821752,,,,,civic,,,,,LDN,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.5913942,,,,,,,,,,,,,,,,,,,,,,,,,,50.1084629,,,,,,,,,,LRS Chvaly,,,,,,,,,,,,,,,,
,hospital,,geriatrics;orthopaedics;surgery;urology;diagnostic_radiology,,,,,,,,,aeskulap@ldncv.cz,,,,,Aesculap s. r. o.,,,,,,,,16.7355304,,,,,,,,,,,,https://www.aeskulap.cz/,+420 465 626 436,,,,,,,,,+420 465 626 321,,,,50.0435679,,,,,,,,,,Lečební ústav Červená Voda,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,info@litnem.cz,,,,,,,,,,,,,16.3120361,,,,,,,,,,,,litomysl.nempk.cz,,,,,,,,,,+420 461 655 111,,,,49.8650749,,,,,,,,,,Litomyšlská nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.5455313,,,,,,,,,,,,,,,,,,,,,,,,,,50.9489183,,,,,,,,,,Lužická nemocnice Rumburk,,,,,,,,,,,,,,,,
,hospital,,,500,,,,,,,,,,,,,,,,,,500,,,13.6644218,,,,,,,cuzk:km,cuzk:ruian,,,,http://www.janov.cz/,,Sanatorium,,,,,,park,,+420 371 512 111,,Léčebna tuberkulózy a respiračních nemocí Janov,,49.7048777,,24339644,,U léčebny,,,,,,Léčebna TRN Janov,,,,33843,,Mirošov,Mirošov,,,,,,,CZ,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.3515394,,,,,,,,,,,,,,,,,,,,,,,,,,49.8188843,,,,,yes,,,,,Léčebna dlouhodobě nemocných,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.5858252,,,,,,,,,,,,,,,,,,,,,,,,,Epidemická nemocnice,49.1814112,,,,,,,,,,Léčebna pro dlouhodobě nemocné,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6178512,,,,,,,,,,,,,,,,,,,,,,,,,,50.7901108,,,,,,,,,,Léčebna respiračních chorob pro dospělé,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.4992293,,,,,,,,,,,,,,,,,,,,,,,,,,50.6130793,,,,,,,,,,Masarykova městská nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.0264981,,,,,,,,,,,,,,,,,,,,,,,,,,50.6782292,,,,,,,,,,Masarykova nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.9185065,,,,,,,,,,,,,,,,,,,,,,,,,,50.5607969,,,,,,,,,,Masarykova nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,13.7146089,,,,,,,,,,,,https://www.nemorako.cz/,,,,,,,,,,,,,,50.1090176,,,,,,,,,,Masarykova nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.1526980,,,,,,Léčebna dlouhodobě nemocných,cuzk:km,,,,,,,,,,,,,,,,,,,49.7898517,,,,,yes,,,,,Masarykovo sanatorium,,,,,,,,,,,,,,,,
5,hospital,,,,,http://www.mulacovanemocnice.cz/,,,,,,,,,,,,,,,,,,,13.3696860,,,,,,,cuzk:ruian,,,24115878,,,,,,,,,,,,,,,,49.7275102,,,,,civic,,,,,Mulačova nemocnice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.2728561,,,,,,,,,,,,,,,,,,,,,,,,,,49.8347221,,,,,,,,,,Městská nemocnice Ostrava Fifejdy,,,,,,,,,,,,,,,,
15,hospital,572 629 111,,,,www.nemub.cz,,,,,,,,,,,Město Uherský Brod,,,,,2174,,,17.6533259,,,,,,,cuzk:ruian,,,4992822,,,,,,yes,,,,,,,,,,49.0289712,,,,Partyzánů,civic,,,,,"Městská nemocnice s poliklinikou Uh. Brod, s.r.o.",,,,68801,,,Uherský Brod,,,,,,,,reditel@nemub.cz,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.4014539,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.9032537,,,,,,,,,,Městská nemocnice Čáslav,,,,,,,,,,,,,,,,
5,hospital,,,,II. poliklinika,,,,,,,,,,,,,,,,,2080/4,,,13.4007278,,,,,,,cuzk:ruian,,,24095150,,http://poliklinikaslovany.cz/,,,,,,,,,,+420 378 014 111,,,,49.7310253,,,,Francouzská třída,civic,,,,,Městská poliklinika Slovany,,,,32600,,,Plzeň,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.0090978,,,,,,,,,,,,,,,,,,,,,,,,,,49.6918981,,,,,,,,,,Nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.8502878,,,,,,,,,,,,http://www.nem-cb.cz/,,,,,,,,,,,,,,50.0719765,,,,,,,,,,Nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.6433953,,,,,,,,,,,,,,,,,,,,,,,,,,49.4916452,,,,,,,,,,Nemocnice Boskovice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6514864,,,,,,,,,,,,http://www.nemocnicebrandysnadlabem.cz/,,,,,,,,,,,,,,50.1870451,,,,,,,,,,Nemocnice Brandýs nad Labem,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.0164834,,,,,,,,,,,,,,,,,,,,,,,,,,49.7642479,,,,,,,,,,Nemocnice Bílovec,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.8817671,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,48.7514291,,,,,,,,,,Nemocnice Břeclav p.o.,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,12.3631789,,,,,,,,,,,,,,,,,,,,,,,,,,50.0692705,,,,,,,,,,Nemocnice Cheb,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.4064808,,,,,,,,,,,,http://www.mnul.cz/cz/cv/,,,,,,,,,,,,,,50.4537741,,,,,,,,,,Nemocnice Chomutov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.2249729,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,50.7827750,,,,,,,,,,Nemocnice Děčín,,,,,,,,,,,,,,,,
,hospital,+420 558 415 111,,,,http://www.nemfm.cz/,,,,,,,,,,,,,,,,,,,18.3565468,,,,,,,,,,,,,,,,,,,,,,,,,,49.6909182,,,,,,,,,+420 558 415 010,Nemocnice Frýdek-Místek,,,,,,,,,,,,,,,sekretariat@nemfm.cz,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.9136748,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,49.8403843,,,,,,,,,,Nemocnice Hořovice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.7438825,,,,,,,uhul:ortofoto,,,,,,,,,,,,,,,,,,,49.5548959,,,,,,,,,,Nemocnice Hranice,Nemocnice Hranice a.s.,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.7301701,,,,,,,,,,,,,,,,,,,,,,,,,,48.9456103,,,,,,,,,,Nemocnice Hustopeče p.o.,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,16,,,16.3714762,,,,,,,,,,,,http://www.nspiv.cz/,,,,yes,,,,,,,,,,49.1018213,,,,Široká,,,,,,Nemocnice Ivančice,,,,66491,,,Ivančice,,,,,,,,,
,hospital,,,,,,,,,,,,Q12034594,,,,,,,,,,,,15.5701361,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.3988566,,,,,,,,,,Nemocnice Jihlava,,,,,yes,,,,,,,,,,,
19,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.2919049,3,,,,,,cuzk:ruian,,,21238545,2014-05-22,,,,,,,,,,,,,,,49.4045239,,,,,yes,,,,,Nemocnice Klatovy,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q33312868,,,,,,,,,,,,15.2511758,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.9469531,,,,,,,,,,Nemocnice Kutná Hora,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.1096008,,,,,,,cuzk:km,,,,,,,,,yes,,,,,,,,,,49.0104209,,,,,,,,,,Nemocnice Kyjov,,,,,,,,,,,,,,,,
5,hospital,,,,,,,,,,,,,,,,,,,,,,,,12.7043505,,,,,,,cuzk:ruian,,,42660149,,,,,,,,,,,,,,,,49.9602198,,,,,hospital,,,,,Nemocnice Mariánské Lázně,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.8502021,1,,,,,,cuzk:ruian,,,3923223,,,,,,,,,,,,,,,,49.2191713,,,,,civic,,,,,Nemocnice Milosrdných bratří,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q27016768,,,,,,,,,,,,16.5953946,,,,,,,,,,,,http://www.nmbbrno.cz/,,,,yes,,,,,,+420 532 299 111,,,,49.1850390,,,,,,,,Brothers of Charity Hospital,,Nemocnice Milosrdných bratří,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.5790725,,,,,,,,,,,,,,,,,,,,,,,,,,49.5448366,,,,,,,,,,Nemocnice Milosrdných bratří Letovice,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,13.6232669,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.5088243,,,,,,,,,,Nemocnice Most,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.4831661,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.3476392,,,,,,,,,,Nemocnice Mělník,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,bulovkafree,,Q12040654,,,,,,,,,,,fence,14.4646655,,,,,,,cuzk:km,,,,,http://bulovka.cz,,,,yes,,,,,,,,,,50.1155676,,,,,,,,,,Nemocnice Na Bulovce,,,,,,,,,no,,,,,,,wlan
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,14.3527297,,,,,,,cuzk:km,,,,,,,,,,,,,,,,,,,50.0736721,,,,,,,,,,Nemocnice Na Homolce,,,,,,,,,,,,,,,,
5,hospital,,,1921,,,gray,,,4,,,,,,,,,,,,1921/4,,,14.3911833,4,,,,,,cuzk:ruian,cuzk:ruian,,22041630,,http://www.dialyza-strahov.cz/,,,Interního oddělení Strahov Všeobecné fakultní nemocnice v Praze,no,,,,,Praha 6,+420 225 003 111,,,,50.0792136,,22739289,,Šermířská,civic,,,,,Nemocnice Na Strahově,,,,16900,,Břevnov,Praha,,,,,,,CZ,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.4804126,,,,,,,,,,,,,,,,,,,,,,,,,,50.2441356,,,,,,,,,,Nemocnice Nový Bydžov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.0073401,,,,,,,,,,,,,,,,,,,,,,,,,,49.5886731,,,,,,,,,,Nemocnice Nový Jičín,,,,,,,,,,,,,,,,
,hospital,,,,,http://www.nemnbk.cz/,,,,,,,,,,,,,,,,,,,15.0363042,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.1876453,,,,,,,,,,Nemocnice Nymburk,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.8284277,,,,,,,,,,,,,,,,,,,,,,,,,,49.6653837,,,,,,,,,,Nemocnice Odry,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.2285851,,,,,,,,,,,,,,,,,,,,,,,,,,49.4330302,,,,,,,,,,Nemocnice Pelhřimov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,AGEL a.s.,,,,,,,,18.6406928,,,,,,,,,,,,,,,,,,,,,,,,,,49.6816749,,,,,,,,,,"Nemocnice Podlesí, a.s.",,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.0099671,,,,,,,,,,,,https://www.nempt.cz/,,,,,,,,,,,,,,49.0084260,,,,,,,,,,Nemocnice Prachatice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,17.0832354,,,,,,,,,,,,https://nemocniceprostejov.agel.cz/,,,,yes,,,,,,,,,,49.4773831,,,,,,,,,,Nemocnice Prostějov,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.1548704,,,,,,,,,,,,,,,,,,,,,,,,,,49.3010675,,,,,,,,,,"Nemocnice Písek, a.s.",,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.4764317,,,,,,,,,,,,https://nemocniceprerov.agel.cz/,,,,yes,,,,,,,,,,49.4576644,,,,,,,,,,Nemocnice Přerov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.6040944,,,,,,,,,,,,http://www.nemocnice-ro.cz/,,,,yes,,,,,,,,,,49.7472337,,,,,,,,,,Nemocnice Rokycany,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6822282,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.7874858,,,,,,,,,,Nemocnice Rudolfa a Stefanie Benešov,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,"MEDITERRA-Sedlčany, s.r.o.",,,,,161,,,14.4257929,,,,,,,,,,,,,,,,,,,,,,,,,,49.6586197,,,,Tyršova,,,,,,Nemocnice Sedlčany,,,,26401,,,Sedlčany,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.3516850,,,,,,,,,,,,http://www.nemsem.cz/,,,,,,,,,,,,,,50.5977294,,,,,,,,,,Nemocnice Semily,,,,,,,,,,,,,,,,
,hospital,,,,,http://www.nemsl.cz/,,,,,,,,,,,,,,,,,,,14.0854517,,,,,,,,,,,,,,,,,,,,,,,,,,50.2352308,,,,,,,,,,Nemocnice Slaný,,,,,,,,,,,,,,,,
15,hospital,,,,,,,1,,,,,,,,,,,,,,,,,17.1449975,1,,,,,,cuzk:ruian,,,22834401,,,,,,,,,,,,,,,,48.8641600,,,,,civic,,,,,Nemocnice TGM,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.3009296,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.7402699,,,,,,,,,,Nemocnice Tanvald,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,"Krajská zdravotní, a.s.",,,,,,,,13.8084200,,,,,,,,,,,,,,,,,,,,,,,,,,50.6358639,,,,,,,,,,Nemocnice Teplice,,,,,,,,,,,,,,,,
,hospital,,,,,https://www.nemta.cz/,,,,,,,,,,,,,,,,,,,14.6509461,,,,,,,local_knowledge;bing,,,,,,,,,yes,,,,,,,,,,49.4181039,,,,,,,,,,"Nemocnice Tábor, a.s.",,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,Q12040656,,,,,,,,,,,,15.8884389,,,,,,,cuzk:km,,,,,https://www.nem-tr.cz/,,,,,,,,,,,,,,49.2131406,,,,,,,,,,Nemocnice Třebíč,,,,,yes,,,,,,,yes,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.6900448,,,,,,,,,,,,,,,,,,,,,,,,,,49.6728078,,,,,,,,,,Nemocnice Třinec,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.7592693,,,,,,,,,,,,,,,,,,,,,,,,,,48.7444524,,,,,,,,,,Nemocnice Valtice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.6050718,,,,,,,,,,,,https://www.nemocnicevrchlabi.cz/,,,,,,,,,,,,,,50.6229274,,,,,,,,,,Nemocnice Vrchlabí,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.9976375,,,,,,,,,,,,https://www.nemocnice-vs.cz/,,,,,,,,,,,,,,49.3313526,,,,,,,,,,Nemocnice Vsetín,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.1507315,,,,,,,,,,,,,,,,,,,,,,,,,,49.9552098,,,,,,,,,,Nemocnice Vysoké Mýto,,,,,,,,,,,hospital,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.9824803,,,,,,,,,,,,,,,,yes,,,,,,,,,,49.2768252,,,,,,,,,,Nemocnice Vyškov,,,,,,,,,,,,,,,,
15,hospital,,,1304,,,,,,1,,,,,,,,,,,"Most, Ústecký kraj, CZ",1304/1,,,13.6337728,4,,,,,,cuzk:ruian,mvcr:adresa,,5063124,,,,,,,,,,,,,,,,50.5164111,,,,Jana Žižky,civic,,,,,Nemocnice následné péče,,,,,,,,,,,,,,CZ,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.3711099,,,,,,,,,,,,,,,,,,,,,,,,,,50.5277582,,,,,,,,,,Nemocnice následné péče,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,fence,16.6540855,,,,,,,,,,,,,,,,,,,,,,,,,,49.7575601,,,,,,,,,,Nemocnice následné péče Moravská Třebová,,,,,,,,,,,,,,,,
