shop,payment:bancomat,amenity,drive_through,handrail,building:part,ramp,contact:website,addr:hamlet,addr:suburb,official_name,payment:cash,payment:notes,operator,payment:debit_cards,brand:wikipedia,addr:housenumber,payment:maestro,ref:UrbIS,lon,building:levels,opening_hours,image,contact:phone,addr:housename,ref:OnroerendErfgoed,heritage:website,note,source,name:fr,building:material,brand:wikidata,heritage,opening_hours:url,source:geometry:ref,addr:street,email,website,fax,indoor,name:nl,description,contact:email,addr:province,brand,addr:unit,payment:visa,source:geometry,phone,roof:levels,historic,roof:orientation,lat,OnroerendErfgoed:criteria,level,addr:city,building,building:colour,contact:facebook,contact:fax,name,payment:mastercard,roof:shape,addr:postcode,wheelchair,payment:coins,addr:place,start_date,payment:contactless,payment:visa_debit,source:geometry:date,dispensing,healthcare,roof:material,addr:country,heritage:operator
,,pharmacy,,,,,,,,,,,,,,5,,,4.8423983,,,,,,,,,bing;survey,,,,,,,,,,,,,,,,,,,,,,,,50.8817513,,,,yes,,,,Apotheek Coekaerts,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,3.0813784,,,,,,,,,,,,,,,,,,http://www.apodessein.eu/?page_id=71,,,,,,,,,,,,,,,51.3014048,,,,yes,,,,Apotheek Cools,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,4.0968771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8673966,,,,yes,,,,Apotheek De Baere,,,,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,1,,,3.1249924,,,,,,,,,,,,,,,,Hof van 't Henneken,,,,,,,,,,,,,,,,,50.9410749,,,,house,,,,Apotheek De Beer,,,,,,,,,,,,,,,
,,pharmacy,no,,,,,,,,,,Apotheek De Belie NV,,,,,,3.7286465,,Mo-Fr 08:30-18:30; Sa 09:00-18:00,,,,,,,,,,,,,,,apotheek.debelie@gmail.com,https://www.apotheekdebelie.be/,,,,,,,,,,,,,,,51.0480963,,,,,,,,Apotheek De Belie,,,,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,Surplus,,,9,,,4.7264615,,,,,,,,,,,,,,,,Bergstraat,,,,,,,,Antwerpen,,,,,+32 15 24 18 55,,,,51.0752115,,,Heist-op-den-Berg,yes,,,,Apotheek De Lindeboom,,,2220,,,,,,,,yes,,,BE,
,,pharmacy,,,,,,,,,,,,,,3,,,4.7087469,3,,,,,,,,,,brick,,,,,Boudewijnlaan,,,,,,,,,,,,,+32 15 24 40 24,,,,51.0742854,,,Heist-op-den-Berg,yes,,,,Apotheek De Lindeboom,,flat,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,354,,,4.2603893,,"Mo-Fr 09:00-12:30,14:00-19:00; Sa 09:00-12:30",,,,,,,,,,,,,,Ninoofsesteenweg,,,,,,,,,,,,,,,,,50.8435144,,,Dilbeek,yes,,,,Apotheek De Maeyer,,,1700,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,456,,,4.2460660,,,,,,,,,AGIV Vlaanderen GRB and survey,,,,,,,Brusselstraat,,,,,,,,,,,,,,,,,50.8735835,,,Groot-Bijgaarden,yes,,,,Apotheek De Maeyer,,,1702,,,,,,,,,pharmacy,,BE,
,,pharmacy,,,,,,,,,,,,,,7,,,4.8643068,,,,,,,,,,,,,,,,Leopoldstraat,,,,,,,,,,,,,,,,,51.3575821,,,,yes,,,,Apotheek De Marck,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,24,,,4.2815003,,,,,,,,,,,,,,,,Dorpsstraat,,,,,,,,,,,,,,,,,50.9004524,,,,yes,,,,Apotheek De Smet,,,1731,,,,,,,,yes,,,,
,,pharmacy,,,,,,,,,,,,,,26,,,3.1245644,,,,,,23864,,,,,,,4,,,Grote Markt,,https://www.apotheekdefauw.be/,,,,,,,,,,,,,,,50.9452124,M,,,house,,,,Apotheek Defauw,,,,,,,,,,,,,,,OnroerendErfgoed
,,pharmacy,,,yes,,,,,,,,,,,142,,,3.4478142,,,,,,,,,,,,,,,,Stationsstraat,,,,,,,,,,,,,,,,,51.0888663,,,,,,,,Apotheek Delhuvenne,,,,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,99,,,3.1200406,2,,,,,,,,,,,,,,Gbg/6192428,Bornstraat,,,,,,,,,,,,,,,,,50.9285273,,,,house,,,,Apotheek Demaitre,,,,,,,,,,2018-01-20,,,,,
,,pharmacy,,,,,,,,,,,,,,1,,,4.3593192,,,,,,,,,,,,,,,,Koekoekstraat,,,,,,,,,,,,,,,,,51.1098742,,,Niel,yes,,,,Apotheek Depuydt,,,2845,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,16,,,3.2716138,,,,,,,,,,,,,,,,Wingensestraat,,https://www.apotheekdevriendt.be/,,,,,,,,,,,,,,,51.1035687,,,Hertsberge,retail,,,,Apotheek Devriendt,,,8020,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,3,,,3.2102808,,,,,,,,voorlopige vestiging,,,,,,,,Kloosterstraat,,,,,,,,,,,,,,,,,51.0020577,,,,house,,,,Apotheek Devroe,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,Heusden,,,,,,,39,,,5.2774625,,"Mo-Fr 08:30-12:00, 13:30-18:30",,,,,,,,,,,,,,Guido Gezellelaan,,,,,,,,Limburg,,,,,+32 11 42 37 42,,,,51.0312143,,,Heusden-Zolder,yes,,,,Apotheek Draulans,,,3550,,,,,,,,,pharmacy,,BE,
,,pharmacy,,,,,,,,,,,,,,,,,3.2848169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3388514,,,,yes,,,,Apotheek Duinenwater,,,,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,Pharma Noord Apotheek BVBA,,,48,,,4.7384860,,,,,,,,,,,,,,,,Meerdorp,,,,,,,,,,,,,+32 3 315 77 73,,,,51.4458660,,,Meer,yes,,,,Apotheek Farma Noord,,,2321,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,13,,,3.0627252,,,,,,,,,,,,,,,,Marktplaats,,,,,,,,,,,,,,,,,50.8912599,,,,house,,,,Apotheek Grillet,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,yes,yes,,,,14,yes,,4.9042143,,Mo-Fr 09:00-12:00 13:30-19:00 Sa 09:00-12:00,,,,,,,,,,,,,,Stationsstraat,,,,,,,,,,,,,,,,,51.1688224,,,Olen,apartments,,,,Apotheek Hellings,,,2250,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,215,,,5.2550241,,,,,,,,,,,,,,,,Capucienenstraat,,,,,,,,,,,,,,,,,51.1331398,,,,yes,,,,Apotheek Innesto,,,3970,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,40,,,3.1083743,,"Mo-Fr 08:30-12:00,13:30-19:00; Sa 08:30-12:00",,,,,,,,,,,,,Gbg/1287109,Generaal Lemanstraat,info@apotheekdebal.be,https://www.apotheekdebal.be/,+32 56 51 05 72,,,,,,,,,,+32 56 51 34 51,,,,50.7980120,,,Menen,house,,,,Apotheek Jan De Bal,,,8930,yes,,,,,,2015-03-06,,,,,
,,pharmacy,,,,,,,,,,,Jorissen,,,47b,,,5.4882271,,,,,,,,,,,,,,,,Tongersesteenweg,,https://www.apotheekjorissen.be/,,,,,,,,,,,+32 89 51 01 25,,,,50.8471274,,,Hoeselt,yes,,,,Apotheek Jorissen,,,3730,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,12,,,4.5138995,,,,,,,,,,,,,,,,Provinciestraat,,,,,,,,,,,,,,,,,51.0938684,,,,house,,,,Apotheek Kestens,,,,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,7,,,5.7603850,,,,,,,,,3dShapes,,,,,,,Kloosterstraat,,,,,,,,,,,,,,,,,50.7589933,,,'s-Gravenvoeren,yes,,,,Apotheek Krausch Aurélie,,,3798,,,,,,,,,,,,
,,pharmacy,,,,,,,Kumtich,,,,Apt. Steven Dekerk,,,25,,,4.8881238,,Mo-Fr 08:30-19:00; Sa 08:30-12:30,,,,,,,,,,,,,,Kumtichstraat,,,,,,,,,,,,,+32 16 69 94 15,,,,50.8206010,,,Tienen,commercial,,,,Apotheek Kumtich,,,3300,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,98,,,4.7620793,,,,,,,,,,,,,,,,Vrijheid,,,,,,,,,,,,,,,,,51.4040316,,,Hoogstraten,yes,,,,Apotheek L. Horsten,,,2320,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,4.0896585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8690130,,,,yes,,,,Apotheek Lefever,,,,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,26,,,5.5548902,,,,,,,,,,,,,,,,Elderenweg,,,,,,,,,,,,,,,,,50.7917881,,,,house,,,,Apotheek Libens,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,64,,,4.9270511,,,,,,,,,,,,,,,,Vierde Lansierslaan,,,,,,,,,,,,,+32 16 81 14 80,,,,50.8082510,,,Tienen,yes,,,,Apotheek Lievens,,,3300,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,48,,,4.8934509,,,,,,,,,,,,,,,,Tiensestraat,,https://www.apotheekmaes.be/,,,,,,,,,,,,,,,50.7773732,,,Hoegaarden,yes,,,,Apotheek MAES,,,3320,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,295,,,3.1633050,,"Mo-Fr 08:30-12:15,13:30-19:00; Sa 08:30-12:30",,,,,,,,,,,,,,Menenstraat,,,,,,,,,,,,,+32 56 40 20 39,,,,50.8037385,,,Wevelgem,yes,,,,Apotheek Maertens,,,8560,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,234,,,3.4041737,,,,,,,,,,,,,,,,Roterijstraat,,,,,,,,,,,,,,,,,50.8992593,,,Sint-Eloois-Vijve,house,,,,Apotheek Mahieu,,,8793,,,,,,,,,pharmacy,,,
,,pharmacy,no,,,,,,,,,,Lloyds Pharma,,,31A,,,4.5333864,,,,,,,,,,,,,,https://storelocator.lloydspharma.be/nl/s/pharma/nagels---st-catharina/nagels,,Markt,,,,,,,,,,,,,,,,,51.0697494,,,Sint-Katelijne-Waver,yes,,,,Apotheek Nagels,,,2860,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,239-241,,,3.1208491,,,,,,,,,,,,,,,,Brugsesteenweg,,,,,,,,,,,,,,,,,50.9579074,,,,yes,,,,Apotheek Oostpark,,,,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,936,,,4.1989624,,"Mo-Fr 09:00-12:00,13:30-19:30; Sa 09:00-12:00; Su,PH off",,,,,,,,,,,,,,Ninoofsesteenweg,,http://www.optifar.be/,,,,,,,,,,,+32 2 569 21 39,,,,50.8382985,,,Schepdaal,yes,,,,Apotheek Optiek Optifar,,,1703,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,4.7077908,,,,,191,,,,,,,,,,,Erasme Ruelensvest,,,,,,,,,,,,,,,,,50.8688298,,,Heverlee,yes,,,,Apotheek Parkpoort,,,3001,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,208,,,3.3469610,,,,,,,,,,,,,,,,Kortrijkseweg,,,,,,,,,,,,,,,,,50.8736911,,,Beveren-Leie,house,,,,Apotheek Pia Desmet,,,8791,,,,,,,,,pharmacy,,,
,,pharmacy,no,,,,,,,,,,,,,1,,,4.1636341,,,,,,,,,,,,,,,,Weverstraat,,,,,,,,,,,,,,,,,50.8534340,,,Wambeek,yes,,,,Apotheek Poppe,,,1741,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,yes,,,,,,,,,,,,,,4.6637823,2,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,+32 15 24 15 68,,,across,51.0839815,,,,,,,,Apotheek Proost,,gabled,,,,,,,,,,,slate,,
,,pharmacy,,,,,,,,,,,,,,2,,,5.3649872,2,"Mo-Fr 09:00-12:00,12:30-19:00; Sa-Su off",,,,,,,,,,,,,,Don Boscostraat,,,,,,,,,,,,,+32 11 73 43 37,,,,51.1251766,,,Hechtel,yes,,,,Apotheek R. François,,,3940,,,,,,,,yes,,,BE,
,,pharmacy,,,,,,,,,,,,,,1A,,,3.0212101,,,,,,,,,,,,,,,,Molenstraat,,,,,,,,,,,,,,,,,50.9011256,,,,yes,,,,Apotheek Schaubroeck,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,38,,,5.3321553,,,,,,,,,,,,,,,,Dorpsstraat,,,,,,,,,,,,,,,,,50.8409783,,,,house,,,,Apotheek Schoenaers,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,2,,,4.7433999,,,,,,,,,,,,,,,,Stationlei,,,,,,,,,,,,,,,,,51.1719975,,,,yes,,,,Apotheek Sempels,,,,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,83,,,3.1302385,,,,,,,,,,,,,,,,Kerkstraat,,,,,,,,,,,,,,,,,51.3142556,,,,yes,,,,Apotheek Spaens,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,13B,,,4.5672532,,,,,,,,,,,,,,,,Eikenlei,,https://www.apotheeksintjob.be/,,,,,,,,,,,,,,,51.3036409,,,,house,,,,Apotheek St. Job,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,17,,,4.8621551,,,,,,,,,,,,,,,,Lubbeeksestraat,,,,,,,,,,,,,,,,,50.8338256,,,"Roosbeek, Boutersem",yes,,,,Apotheek Stalpaert,,,3370,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,11,,,4.7953943,,,,,,,,,,,,,,,,Worteldorp,,http://www.apotheekswaenen.be/,,,,,,,,,,,,,,,51.3970150,,,Wortel,yes,,,,Apotheek Swaenen,,,2323,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,54,,,3.4243004,,,,,,,,,,,,,,,,Vijfseweg,,,,,,,,,,,,,,,,,50.8953549,,,Waregem,yes,,,,Apotheek T'Jollyn,,,8790,,,,,,,,,pharmacy,,,
,,pharmacy,no,,,,,,,,yes,,,yes,,132,yes,,4.2415427,,"Mo-Fr 08:00-12:30,13:30-19:00; Sa 08:00-12:30,13:30-16:30",,,,,,,,,,,,,Gbg/3546899,Sint-Rochusstraat,,https://www.apotheektanghe.com/,,,,,,,,,,,+32 2 356 58 19,,,,50.7292553,,,,yes,,,,Apotheek Tanghe,,,,,,,,,,2016-05-09,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,40,,,5.4773282,,"Mo-We,Fr 09:00-18:30; Th,Sa 09:00-12:30",,,,,,,,,,,,,,Eind,,,,,,,,,,,,,+32 11 80 57 57,,,,51.2631989,,,Hamont-Achel,house,,https://www.facebook.com/pages/Apotheek-Thijs/447283638708119,,Apotheek Thijs,,,3930,,,,,,,,,,,BE,
,,pharmacy,no,,,,,,,,,,Sofie Thomaes,,,114-120,,,3.7170415,,,,,,,,,,,,,,,,Kortrijksesteenweg,,,,,,,,,,,,,,,,,51.0405624,,,Gent,yes,,,,Apotheek Thomaes,,,9000,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,230,,,5.2197916,,,,,,,,,,,,,,,,Koolmijnlaan,,,,,,,,,,,,,+32 11 422 638,,,,51.0723753,,,Beringen,commercial,,,,Apotheek Van Dyck,,,3582,,,,,,,,,pharmacy,,BE,
,,pharmacy,,,,,,Runkst,,,,,,,,89A,,,5.3262120,,"Mo-Fr 09:00-12:15, 13:30-18:15; Sa 09:00-12:15",,,,,,,,,,,,,,Gaarveldstraat,,,,,,,,Limburg,,,,,+32 11 27 17 30,,,,50.9258464,,,Hasselt,yes,,,,Apotheek Van Elewijck,,,3500,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,5,,,4.8878537,,,,,,,,,Bing,,,,,,,Cingel,,,,,,,,,,,,,,,,,51.3126448,,,Vosselaar,yes,,,,Apotheek Van Eyck & Desmidt,,,2350,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,29,,,4.7593455,,,,,,,,,,,,,,,,Dorpsstraat,,,,,,,,,,,,,,,,,50.8281540,,,,yes,,,,Apotheek Van Hulle,,,3360,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,154,,,3.3547583,,,,,,,,,,,,,,,,Liebaardstraat,,,,,,,,,,,,,,,,,50.8826799,,,Desselgem,house,,,,Apotheek Van Wynsberghe,,,8792,,,,,,,,,pharmacy,,,
,,pharmacy,no,,,,,,,,,,Jan Vande Ginste,,,43,,,3.2247082,,"Mo-Tu 9:00-12:30, 14:00-18:30; We 9:00-12:30; Th-Fr 9:00-12:30, 14:00-18:30; Sa 9:00-12:20; Su 9:00-12:30, 14:00-18:30",,,,,,,,,,,,,,Annuntiatenstraat,vandeginste@skynet.be,http://www.apotheekvandeginste.be/,+32 50 34 75 85,,,,,,,,,,+32 50 33 38 67,,,,51.2158436,,,Brugge,yes,,,,Apotheek Vande Ginste,,,8000,,,,,,,,yes,,,BE,
,,pharmacy,,,,,,,,,,,,,,,,,5.2431567,,,,,,,,,AGIV Flandres GRB,,,,,,,,caroline@apotheek-eversel.be,,,,,,,,,,,,+32 11 91 37 30,,,,51.0248550,,,,yes,,,,Apotheek Vandebergh,,,,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,3,,,4.8856162,,,,,,,,,Bing,,,,,,,Schoolstraat,,,,,,,,,,,,,,,,,51.3136449,,,Vosselaar,house,,,,Apotheek Vanden Bussche,,,2350,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,24-26,,,3.3514746,,,,,,,,,,,,,,,,Nieuwstraat,,,,,,,,,,,,,,,,,50.8873394,,,Desselgem,house,,,,Apotheek Vandenbulcke,,,8792,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,,,,5.3871745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8575951,,,,yes,,,,Apotheek Vandeplas,,,,,,,,,,,,,,,
,,pharmacy,no,,,,,,,,,,,,,6,,,4.0376377,,,,,,,,,,,,,,,,Cesar Meeusstraat,,,,,,,,,,,,,,,,,51.0679924,,,Zele,yes,,,,Apotheek Vanhuysse,,,9240,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,74,,,5.4693262,,,,,,,,,,,,,,,,Beverststraat,,,,,,,,,,,,,,,,,50.8935819,,,,yes,,,,Apotheek Vanmeer,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,126,,,3.6427004,,,,,,,,,,,,,,,,Steenweg,,,,,,,,,,,,,,,,,50.9590559,,,Eke,yes,,,,Apotheek Vanoost - De Ridder,,,9810,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,76,,,4.9267982,,,,,,,,,,,,,,,,Vierde Lansierslaan,,,,,,,,,,,,,,,,,50.8078799,,,Tienen,yes,,,,Apotheek Vanoppré Inge,,,3300,,,,,,,,,pharmacy,,BE,
,,pharmacy,,,,,,,,,,,,,,125,,,3.1298249,,,,,,,,,,,,,,,,Rumbeeksesteenweg,,,,,,,,,,,,,,,,,50.9399631,,,,house,,,,Apotheek Verbelen,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,72,,,5.3135016,,,,,,,,,,,,,,,,Kerkstraat,,,,,,,,,,,,,,,,,51.2285201,,,Lommel,apartments,,,,Apotheek Verdonk,,,,,,,,,,,,,,BE,
,,pharmacy,no,,,,,,,,,,,,,5,,,4.4902232,,,,,,,,,,,,,,,,Appelkantstraat,,,,,,,,,,,,,+32 3 455 90 72,,,,51.1603872,,,Boechout,yes,,,,Apotheek Vitam,,,2530,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,16,,,5.5913068,,,,,,,,,,,,,,,,Smisstraat,,,,,,,,,,,,,,,,,50.8335226,,,,yes,,,,Apotheek Vlijtingen,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,42,,,5.3120187,,,,,,,,,,,,,,,,Kerkstraat,,,,,,,,,,,,,,,,,51.2295482,,,Lommel,house,,,,Apotheek Vreys,,,3920,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,,,,3.5957832,,,,,,,,,,,,,,,,,,https://www.apotheekwaeghe.be/,,,,,,,,,,,,,,,50.9595531,,,,yes,,,,Apotheek Waeghe,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,7,,,3.0794185,,,,,,,,,,,,,,,,Kerkstraat,,https://wenduine.apotheekwaelkens.be/,,,,,,,,,,,+32 50 41 18 46,,,,51.3008244,,,,yes,,,,Apotheek Waelkens,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,24,,,4.1261736,,,,,,,,,AGIV Vlaanderen GRB,,,,,,,Nieuwbaan,,https://www.aposite.be/15671/,,,,,,,,,,,,,,,50.8805699,,,Ternat,commercial,,,,Apotheek Walraevens,,,1740,,,,,,,,,,,BE,
