healthcare_1,healthcare:speciality,building:part,social_facility,postal_code,contact:yelp,is_in,addr:housenumber,contact:alt_mobile,religion,electricity,created_by,name:de,source,covered,it:fvg:ctrn:code,Longitude,image,ISTAT,fax,short_name,material,contact:facebook,leisure,foot,addr:street,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,addr:state,internet_access:fee,disused,internet_access,email:pec,name:it,parking,loc_name,cafeteria,emergency:conditional,operational_status,wikipedia,contact:alt_phone,access,addr:province,ref,email,highway,addr:full,barrier,contact:email,importance,roof:shape,key,contact:twitter,FEATURE_ID,health_specialty:paediatrics,insurance:health,refugees,source:geometry,addr:city,roof,toilets:wheelchair,health_amenity:type,lon,contact:website,layer,height,email_1,alt_name,operator,ele,ref:vatin,fee,service,area,opening_hours,contact:phone,addr:housename,rer_edi_id:ref,elevator,contact:mobile,park_ride,start_date,website,addr:unit,phone,surface,old_name,smoking,name:zh,type,it:fvg:ctrn:revision,aeroway,landuse,wheelchair,amenity,operator:type,addr:place,addr:hamlet,reg_name,telephone,official_name,Latitude,wikidata,social_facility:for,water_source,information,emergency,building:levels,contact:instagram,note,operator:wikipedia,name:fr,ref:corine_land_cover,name:nl,description,healthcare,fence_type,linkpdf,first_aid,levels,trees,what3words,lat,building,url,roof:levels,wifi,name:fur,beds,oneway,addr:country,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1830936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7644253,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2417442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3588839,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6870417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2705904,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6245331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0562056,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7831501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,39.1147507,yes,,,,,,,,
,,,,,,,4,,,,,,,,,,,,,,,,,,Via dei Longobardi,,,,ASL - Corteolona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corteolona,,,,9.3721834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1546725,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL 15 Alta Padovana - Distaccamento Carmignano di Brenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7020772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6266725,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL 5 Unità Cure Primarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7016994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,43.5405701,yes,,,,,,,,
,Medicina_Generale;Cardiologia;Chirurgia_Generale;Ortopedia_e_traumatologia;Ostetricia_e_ginecologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASL Avellino, Presidio Ospedaliero Sant'Ottone Frangipane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0831758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,41.1495151,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL BI - Presidio sanitario (ex Ospedaletto),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1591287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6726811,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL Bari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8418377,,,,,Ex C.T.O.,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,41.1365938,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Anguillarese,,,,ASL Casaccia,,,00123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3022279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0444536,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL Caserta Palazzo della salute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3419016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,41.0555128,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Piano Ripa,,,,ASL Cepagatti DSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0674803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,42.3586956,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Palmiro Togliatti,,,,ASL Cirò Marina,,,88811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cirò Marina,,,,17.1250336,,,,,Azienda Sanitaria Locale,ASP Crotone,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,39.3660542,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL Dipartimento di prevenzione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7278175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,42.6735871,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL Mandello del Lario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3225104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9182254,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA 1 - Poliambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1912676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.8200240,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA 2 NORD - Distretto 46 Acerra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3787784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9467693,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA1 - Poliambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1981080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.8311550,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA1 - Poliambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2466195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.8305118,public,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA1 - Poliambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2016262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.8418316,public,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL NA1 Poliambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2722031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,40.8586844,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL RM5 Sede di Palestrina,,,,,,,,,,,,,,,,,,,,urppalestrinah@aslromag.it,,,,,,,,,,,,,,,,,,12.8881213,,,,,,,,,,,,,,,,,,,,www.aslromag.info,,+39 06 95322211,,,,,,,,,yes,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,41.8392209,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL TO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7699919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,44.9513694,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1141431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,hospital,,,,,,,39.0576588,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASP 5 Reggio Calabria - Ex ASL 10 Palmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8696914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3778989,,,,,,,,,
,,,,,,,,,,,,,,,4AED,,,,,,,,,,,,,,ASS4 - Centro territoriale di Tricesimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2245783,,,2 m,,,,,,,,,,,,,,,,,,,,,,,,,1A0,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,46.1582849,yes,,,,ASS4 - Centri teritoriâl di Tresesin,,,,
,,,,,,,2,,,,,,,,,,,,,,,,,,Viale Natale Betelli,,,,ASST Bergamo Ovest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6019667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.6482800,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administration and mortuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4956226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3006894,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1069814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1418978,,,,,,,,,
,,,,,,,,,,,,,,,4AED,,,,,,,,,,,,,,Ambulatori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1564266,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,1A0,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2421170,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6035660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0584616,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio ASL 9 Siena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5889376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8336795,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Medico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3137863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,39.8287965,yes,,,,,,,,
,,,,,,,1040,,,,,,,,,,,,,,,,,,Via Casilina,,,,Ambulatorio Policlinico Casilino - Edificio D,,,00169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roma,,,,12.5882558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,3,,,,,,,,hospital,,,,,,,41.8674904,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amedeo di Savoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6596936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0887575,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Tortora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6210240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,40.7472555,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8564099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1038554,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcispedale Sant'Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,44.8014753,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area Malpighi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3663723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4892451,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area Malpighi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3649961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4897670,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Pratozanino,,,,Area ed edifici Ex Ospedale Psichiatrico,,,16016,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cogoleto,,,,8.6235732,,,,,,FinTecna S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,hospital,,,,,,,44.3944180,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnaldo Angelucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0862424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9322255,,,,,,,,,
,,,,,,,94,,,,,,,,,,,,,,,,,,Corso Lodi,,,,Asl,,,20139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milano,,,,9.2185176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,45.4425983,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6758523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9054467,,,,,,,,,
,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asl 5 Presidio Distrettuale Vecchiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3851504,,,,,,Azienda USL Toscana Nord Ovest,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,hospital,,,,,,,43.7848792,,,,,,,,,Q61692653
,ambulance,,,,,,75,,,,,,,,,,,,,,,,,,Via venticinque Aprile,,,,Associazione Pubblica Assistenza Castello di Serravalle Onlus,,,40050,,,,,,,,,,,,,,,,,info@serravalle.org,,,,,,,,,,,,,,Castello di Serravalle,,,,11.0648908,,,,,,Pubblica Assistenza Castello di Serravalle per la Valsamoggia Onlus,,,,,,,,,,,,,,,,0516704815,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,hospital,,,,,,,44.4408795,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ausl Cerversi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7355588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9522419,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6846950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,45.7183006,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via Guerrazzi,,,,Avis comunale di Casalmaggiore - Associazione volontari italiani sangue,,,26041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casalmaggiore,,,,10.4122618,,,,,,AVIS,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,44.9944056,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avis sezione di Platania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3214929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0068851,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedale Piemonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5454678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1816969,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Cardinale Giovanni Panico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3576239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9366230,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Gravina e Santo Pietro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4904143,,,,,,,,,,,,,+39 0933 20178,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1061523,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Via delle Battaglie,,,,Azienda Ospedaliera Mellino Mellini,,,25032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiari,,,,9.9336571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.5389887,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Ospedale di Circolo di Busto Arsizio,,,,,,,,,,,,,,,it:Ospedale di Circolo di Busto Arsizio,,,,,,,,,,,,,,,,,,,,,yes,,8.8447564,,,,,Ospedale di Busto Arsizio,,,,,,,,,,,,,,,,,,,,,,,,,,yes,hospital,,,,,,,,Q23655529,,,,yes,,,,,,,,,,,,,,,,45.6245180,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Papardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5955523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,38.2653678,,,,,,,,,
,,,,,,,5,,,,,,"Bing, Local knowledge",,,,,,,,,,,,Via di Santo Stefano Rotondo,,,,Azienda Ospedaliera San Giovanni Addolorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4980921,,,,,,,,,,,,,,,,,,,,hsangiovanni.roma.it,,06 7705 4503,,,,,,,,,,hospital,,,,,,,,,,,,,,,Clinica privata,,,,,,,,,,,,,41.8851918,yes,,,,,,,,
,,,,,,,4,,,,,,,,,,,,+39 0331 751259,,,,,,Via Eusebio Pastori,,,,Azienda Ospedaliera Sant'Antonio Abate - Gallarate,,,21013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gallarate,,,,8.7916406,,,,,,,,,,,,,,,,,,,,http://www.ospedaledigallarate.it/,,+39 0331 751111,,,,,,,,,yes,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,45.6576103,,,,,,,,IT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Universitaria - sassari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5553419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7208265,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azienda Ospedaliera Universitaria Federico II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2225716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,Q3631448,,,,,,,,,,,,,,,,,,,,40.8677902,,,,,,,,,
