amenity,int_name,ref:ipa,healthcare:speciality,ref:dgpc,wikipedia,contact:website,name:pt,official_name,lon,owner,wikidata,alt_name,parking,operator,sport,INF_MORADA,addr:housenumber,layer,capacity,short_name,addr:district,heritage:since,building:levels,opening_hours,contact:phone,addr:housename,heritage:website,name:de,note,source,name:fr,site_status,boundary,addr:street,email,protection_title,website,ref:vatin,fax,description,emergency,contact:email,building:material,heritage,addr:unit,barrier,phone,source:ref,historic,ownership,old_name,lat,operator:type,heritage:ref,addr:city,building,building:colour,contact:facebook,name:en,contact:fax,name,source:pkey,castle_type,addr:postcode,wheelchair,area,addr:place,name:es,start_date,electricity,protect_class,healthcare,heritage:website:sipa,toilets:wheelchair,landuse,disused,addr:country,heritage:operator
hospital,,,,,,,,,-9.3925944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.7515398,,,,,,,,,Centro Médico,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.4191227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,37.1878757,,,,yes,,,,,Centro Médico Internacional do Guadiana,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5690623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7546691,,,,,,,,,Centro Médico Privado de Estarreja,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5367072,,,,,,,,245,,,,,,,,,,,,,,,,,Praça Manuel Guedes,,,,,,,,,,,,,,,,,,41.1444153,,,Gondomar (São Cosme),yes,,,,,Centro Médico de Gondomar,,,4420-193,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5724526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2115299,,,,,,,,,Centro Médico dos Moutidos,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5603793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3580956,,,,,,,,,Centro Saúde Ribeirão,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6261504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2333858,,,,,,,,,Centro Saúde da Maia,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.7725090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7088676,,,,,,,,,Centro Saúde de Santa Marta de Portuzelo,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.9137767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6446396,,,,,,,,,Centro Saúde de Viseu III,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.0910552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,41.0744460,,,,,,,,,Centro de Atendimento Permanente Cinfães (Hospital),,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.4030812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,fence,,,,,,38.7342798,,,,,,,,,Centro de Medicina de Reabilitação de Alcoitão,,,,yes,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6562546,,,,,Misericórdia do Porto,,,349,,,CRN,,,,,,,,,,Própria,,,,Avenida Infante de Sagres,,,https://www.chvng.pt/,,,,no,,,,,,,,,,,41.0902993,,,Vila Nova de Gaia,,,,,,Centro de Reabilitação do Norte,,,4405-565,yes,,,,,,,,,yes,,,,
hospital,,,,,,,,,-8.2780487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2804533,,,,,,,,,Centro de Saude,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5852160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6567843,,,,,,,,,Centro de Saude,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-16.8440640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6794793,,,,yes,,,,,Centro de Saude Camacha,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.2809712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1233553,,,,,,,,,Centro de Saude de Arronches,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.7844574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,39.1655198,,,,,,,,,Centro de Saude do Cartaxo,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.4013958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1454737,,,,,,,Health Centre,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.7404685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3021596,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.3409756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.3854350,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.8983827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,40.5038420,,,,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,general,,,,,,-8.2673709,,,,,SNS,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.0401845,public,,,,,,,,Centro de Saúde,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-7.3975222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6298510,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.0789946,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,41.2716385,,,,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.0976313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6184104,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.8404725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,37.0360147,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-6.2772463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.4956414,,,,,,,,,Centro de Saúde,,,,,,,Centro de Salud,,,,,,,,,,
hospital,,,,,,,,,-8.7014073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.6484789,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.3773116,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,41.2770598,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,general,,,,,,-7.7886325,,,,,Ministério da Saúde,,,,,,,,,,,,,,,,,,,,Rua do Doutor José de Sousa,,,,,,,,,,,,,,,,,,41.1665075,,,Peso da Régua,yes,,,,,Centro de Saúde,,,5050-275,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.3193359,,,,,,,,,,,,,,,,,,,,,Local survey,,,,,,,,,,,no,,,,,,,,,,,39.0899996,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.7009409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,39.2380844,,,,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.6445133,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,41.4989481,,,,,,,,,Centro de Saúde,,,,yes,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4964120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,40.8951804,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-27.0657010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7289513,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.0818805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9817047,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.2349624,,,,,Sistema Nacional de Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1242919,,,,,,,,,Centro de Saúde,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-9.2370388,,,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,Avenida 1º de Maio,,,,,,,,,,,,,21 291 85 10,,,,,38.6449465,,,Costa da Caparica,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.1575504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3095109,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4793029,,,,,,,,,,,,,,,,,,,,,,,,,Rua Carlos Mendes Gonçalves,,,,,,,,,,,,,249 979 180,,,,,39.4028206,,,Golegã,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.9275857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8991222,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.6030399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,40.4935425,,,,,,,,,Centro de Saúde,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-7.7095415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4175099,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6887854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1017261,,,,yes,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.4563728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4142090,,,Castelo de Vide,,,,,,Centro de Saúde,,,,,,,,,grid,,hospital,,,,,,
hospital,,,,,,,,,-8.1396253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.6353499,,,,,,,,,Centro de Saúde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.1913379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4742868,,,,,,,,,Centro de Saúde - Alferrarede,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.2012969,,,,,,,,,,,,,,,,,,,,,Local information; bing,,,,,,,,,,,no,,,,,,,,,,,41.3962709,,,,,,,,,Centro de Saúde - Extensão de Jugueiros,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.8298147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233946381,,,,,40.0914966,,,,,,,,,Centro de Saúde - Extensão de Lavos,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.7997295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.6784894,,,,,,,,,Centro de Saúde Darque,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.5472763,,,Centro de Saúde Aguiar da Beira,,,,,121,,,,,,,,,,,,,,,,,Avenida da Liberdade,,,,,,,,,,,,,,,,,,40.8094917,,,Aguiar da Beira,,,,,,Centro de Saúde Doutor Corte Real,,,3570-025,,,,,,,,,,,,,PT,
hospital,,,,,,,,,-8.0928145,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,37.0711229,,,,,,,,,Centro de Saúde Quarteira,,,,,,,,,,,hospital,,,,,,
hospital,,,general,,,,,,-8.5080127,,,,,,,,,,,,,,,,,,,,,,,,,R. da Associação Desportiva de São Pedro da Cova,,,,,,,,,,,,,,,,,,41.1602572,,,Fânzeres e São Pedro da Cova,,,,,,Centro de Saúde São Pedro da Cova,,,4510,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.3027821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4472663,,,Guimarães,,,,,,Centro de Saúde da Amorosa,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6204879,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,no,,,,,,,,,,,41.0948849,,,,,,,,,Centro de Saúde da Boa Nova,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.8541564,,,,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1558441,,,,,,,,,Centro de Saúde da Figueira da Foz,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.7120291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6355804,,,,yes,,,,,Centro de Saúde da Gafanha da Nazaré,,,,,,,,,,,,,,,,,
hospital,,,general,,,,,,-25.5773545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7478313,,,,,,,,,Centro de Saúde da Lagoa,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-28.5238778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5308728,,,,,,,,,Centro de Saúde da Madalena,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4562682,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,no,,,,,,,,,,,40.3801291,,,,,,,,,Centro de Saúde da Mealhada,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.9927929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6482642,,,,,,,,,Centro de Saúde da Moita,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.0472821,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,38.5577130,,,,,,,,,Centro de Saúde da Quinta do Conde,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4481180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4132109,,,,yes,,,,,Centro de Saúde de Aguim,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4818358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6861759,,,,,,,,,Centro de Saúde de Albergaria-a-Velha,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.9987112,,,,,Serviço Nacional de Saúde,,,s/n,,,,,,,,,,,,,,,,,Rua Francisco José Lopes,,,https://www.portaldasaude.pt/portal/servicos/prestadoresV2/?providerid=453,,,,no,,,,,,+351263731340,,,,,39.0506209,,,Alenquer,yes,,,,,Centro de Saúde de Alenquer,,,2580-393,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6510938,,,,,,,,,,,,,,,,,Extensão de Saúde de Alfarelos,,,,,,,,Praça de Luís de Camões,,,,,,,,,,,,,,,,,,40.1499440,,,Alfarelos,yes,,,,,Centro de Saúde de Alfarelos,,,3130,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.1774154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2359995,,,,,,,,,Centro de Saúde de Alte,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.3588630,,,,,,,,,,,,,,,,,,,,,Centro de Saúde de Amares,,,,,,,,,,,no,,,,,,,,,,,41.6303396,,,,,,,,,Centro de Saúde de Amares,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.4407012,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,no,,,,,,,,,,,40.4351608,,,,,,,,,Centro de Saúde de Anadia,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-27.2125129,,,,,,,,2,,,,,,,,,,,,,,,,,Canada dos Melancólicos,,,,,,,no,,,,,,+351 295 402900,,,,,38.6615270,,,Angra do Heroísmo,no,,,,,Centro de Saúde de Angra do Heroísmo,,,9700-869,,,Nossa Sra. da Conceição,,,,,,,,,,,
hospital,,,,,,,,,-8.6362436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6057862,,,,yes,,,,,Centro de Saúde de Aradas,,,,limited,,,,,,,,,,,,,
hospital,,,,,,,,,-9.0461591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9063482,,,,public,,,,,Centro de Saúde de Arcena e Bom Sucesso,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.2548963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9303860,,,,,,,,,Centro de Saúde de Arouca,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.8729904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0685519,,,,,,,,,Centro de Saúde de Azambuja,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.0380182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1600095,,,,,,,,,Centro de Saúde de Baião,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6178809,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,no,,,,,,,,,,,41.5214628,,,,,,,,,Centro de Saúde de Barcelinhos,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.9926410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,40.7171426,,,,,,,,,Centro de Saúde de Bodiosa,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.1545845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1320052,,,,,,,,,Centro de Saúde de Boliqueime,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.5876475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3414743,,,,,,,,,Centro de Saúde de Cantanhede,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.0841288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7026173,,,,,,,,,Centro de Saúde de Castro Verde,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.0007891,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,no,,,,,,,,,,,41.3845813,,,,,,,,,Centro de Saúde de Celorico de Basto,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.3627933,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,41.2275798,,,,yes,,,,,Centro de Saúde de Cristelo,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5690923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6282835,,,,,,,,,Centro de Saúde de Eixo,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5457430,,,,,,,,735,,,,,,,,,,,,,,,,,Rua da Bela,ermesinde@csermesinde.min-saude.pt,,,,,,,,,,,,+351 229 698 520,,,,,41.2265562,,,Ermesinde,,,,,,Centro de Saúde de Ermesinde,,,4445-344,,,Ermesinde,,,,,,,,,,PT,
hospital,,,,,,,,,-8.5743475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7604510,,,,,,,,,Centro de Saúde de Estarreja,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6298927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4012183,,,,yes,,,,,Centro de Saúde de Febres,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.5360859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6207884,,,,,,,,,Centro de Saúde de Fornos de Algodres,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.8115156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1002810,,,,,,,,,Centro de Saúde de Lamego,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6976763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1990996,,,,,,,,,Centro de Saúde de Leça da Palmeira,,,,,,,,,,,,,,,,,
hospital,,,,,,,Centro de Saúde de Loulé,,-8.0130823,,,,,,,,,,,,,,,,,,,,,,Clinique Publique de Loulé,,,,,,,,,,,,,,,,,,,,,37.1462390,,,,,,,Loulé's Public Clinic,,Centro de Saúde de Loulé,,,,,,,Clinica Pública de Loulé,,,,,,,,,,
hospital,,,,,,,,,-8.8884390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6842149,,,,,,,,,Centro de Saúde de Maceira,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.6486649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7474419,,,,yes,,,,,Centro de Saúde de Murtosa,,,,,,,,,,,,,,,,,
