shop,office,healthcare:speciality,building:part,clinic,addr:housenumber,addr:state,name:de,source,opening_hours:url,image,fax,survey:date,short_name,fixme,historic,name:uk,tourism,addr:street,contact:facebook,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,source:user,WroclawGIS:building:ID,ewmapa:warstwa,full_name,building:usage:pl,description,wikipedia,mapillary,addr:street:sym_ul,ref,email,highway,WroclawGIS:building:ringIndex,barrier,contact:email,addr:source,addr:city:simc,roof:shape,source:geometry,addr:city,building:use:pl,source_ref,building:type:pl,lon,contact:website,roof:colour,height,lat,alt_name,operator,area,opening_hours,contact:phone,addr:housename,building:parts,heritage,start_date,website,addr:subdistrict,phone,official_name,emuia:id,dispensing,landuse,source:amenity,amenity,operator:type,WroclawGIS:building:date,wikidata,source_ref:3D,emergency,addr:district,building:levels,note,building:fireproof,source:addr,building:material,addr:county,building,building:colour,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,29,,,,,,,,,,,,,Karmelicka,,,Centrum Kardiologiczne NZOZ KardioMED,,,34-100,,,,,,,,,,,,,,,,,,,,,,Wadowice,,,,19.4890046,,,,49.8784903,,,,,,,,,,,,+48 33 8737442,,,,,,clinic,,,,,,,,,,EMUiA (wadowice.e-mapa.net),,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Centrum Leczniczo-Rehabilitacyjne i Medycyny Pracy Attis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9500531,,,,52.2367786,,,,,,,,,,http://www.attis.com.pl,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,9A,,,,,,+48 85 741 79 37,,,,,,,Piasta,,,Centrum Medycyny Oddechowej,,,15-044,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1800728,,,,53.1349662,,,,,+48 85 732 30 78,,,,,http://www.cmo-med.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,PL,
,,,,,19,,,,,,,,,,,,,Cybernetyki,,,Centrum Medycyny Pracy Medicover,,,02-677,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,20.9895136,,,,52.1769604,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,99,,,,,,,,,,,,,Stefana Wyszyńskiego,,,Centrum Medyczne,,,65-536,,,,,,,,,,,,,,,,,,,,,,Zielona Góra,,,,15.4826562,,,,51.9375761,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,77,,,,,,,,,,,,,Aleja Stefana Batorego,,,"Centrum Medyczne ""Batorego""",,,33-300,,,,,,,,,,,,,,,,,,,,,,Nowy Sącz,,,,20.7008462,,,,49.6104278,,,,,,,,,,http://www.cmbatorego.pl/,,+48 18 4420006,,,,,,clinic,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,yes,,,yes,,,,,
,,,,,18,,,,,,,,,,,,,Legionów Polskich,,,"Centrum Medyczne ""LEGIONÓW""",,,84-300,,,,,,,,,,,,,,,,,,,,,,Lębork,,,,17.7386372,,,,54.5334564,,,,,,,,,,,,,,,,,,clinic,,,,,,,3,,,mlebork.punktyadresowe.pl,,,hospital,,,,,,,,
,,,,,16A,,,,,,,,,,,,,Bolesława Chrobrego,,,Centrum Medyczne B.Larsen,,,15-057,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1862356,,,,53.1300641,,,,,,,,,,http://cmlarsen.pl/,,85 654 48 15 ‎,,,,,,clinic,,,,,,,2,,,EMUiA (emuia.gugik.gov.pl),,,hospital,,,,,,,PL,
,,,,,7,,,,,,,,,,,,,Lęborska,,,Centrum Medyczne Bieńkowski - Klinika Chirurgii Plastycznej,,,85-728,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,18.0480079,,,,53.1214699,,,,Mo-Fr 09:00-19:00,,,,,,https://www.wbienkowski.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,Centrum Medyczne Boruta Sp. z o.o.,,,,,,,,,,,,,,,,sekretariat@cm-boruta.pl,,,,,,,,,,,,,19.4008564,,,,51.8508317,,,,,,,,,,http://cm-boruta.pl/,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,23,,,,,,,2014-12-10,,,,,,Kłodnicka,,,Centrum Medyczne FEMINA,,,40-703,,,,,,,,,,,,,,,,,,,,,,Katowice,,,,18.9895957,http://www.femina.katowice.pl,,,50.2266684,,,,,+48 32 2064060,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,22 465 24 91,Centrum Medyczne Gamma,,,,,,,,,,,,,,,,,,,,kontakt@cmgamma.pl,,,,,,,,,20.9769580,http://www.cmgamma.pl,,,52.2619808,,,,,22 273 90 00,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,14,,,Starostwo Powiatowe Będzin,,,,,,,,,,Ignacego Krasickiego,,,Centrum Medyczne INTER-MED,,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1311417,,,,50.3159491,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,healthcare,,,,,,,,
,,,,,21/23,,,,,,,,,,,,,Ogrodowa,,,Centrum Medyczne Ogrodowa,,,96-100,,,,,,,,,,,14834,,,,,,,,0976942,,,Skierniewice,,,,20.1458121,,,,51.9559314,,,,Mo-Fr 07:30-20:00; Sa 07:30-12:00,,,,,,http://centrumogrodowa.pl/,,,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,,,clinic,,
,,,,,5,,,,,,,,,,,,,Belgradzka,,,Centrum Medyczne Onkologii i Hipertermii,,,02-793,,,,,,,,,,,00980,,,,,,,,0918123,,,Warszawa,,,,21.0614288,,,,52.1406036,,,,,,,,,,http://www.hipertermia.pl/,,,,,,,,clinic,,,,,no,,,,,mapa.um.warszawa.pl,,,clinic,,,,,,clinic,,
,,,,,10,,,Bing,,,,,,,,,,Aleja Józefa Piłsudskiego,,,Centrum Medyczne Wielkoszyński,,,41-300,,,,,,,,,,,,,rejestracja(@)wielkoszynski.pl,,,,,,,,,Dąbrowa Górnicza,,,,19.2135539,,,,50.3291677,,,,Mo-Th 08:00-20:00; Fr 08:00-16:00,,,,,,https://wielkoszynski.pl/,,+48 506 112 819,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,38,,,,,,,,,,,,,Sowia,,,Centrum Narodzin MAMMA,,,,,,,,,,,,,,,,recepcja@centrumnarodzin.pl,,,,,,,,,,,,,14.6942769,,,,53.3752800,,Centrum Narodzin MAMMA Sp. z o.o.,,,,,,,,http://centrumnarodzin.pl/,,+48914628000,,,,,,clinic,,,,,,,2,,,gis.um.szczecin.pl,,,hospital,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Centrum Profilaktyczno-Diagnostyczne - Centrum Onkologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1125555,,,,53.1482022,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Centrum Rehabilitacji Rolnikow KRUS w Jedlcu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9472778,,,,51.8184566,,,,,,,,,,http://www.jedlec.pl,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,1A,,,,,,,,,,,,,Leśna,,,Centrum Rehabilitacyjno–Lecznicze Medpharma,,,83-200,,,,,,,,,,,,,,,,,,,,,,Nowa Wieś Rzeczna,,,,18.4870175,,,,53.9610455,,,,,,Centrum Rehabilitacyjno–Lecznicze Medpharma,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,33,,,,,,,,,,,,,Grunwaldzka,,,Centrum Stomatologiczne,,,83-000,,,,,,,,,,,,,,,,,,,,,,Pruszcz Gdański,,,,18.6356674,,,,54.2603908,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,clinic,,
,,,,,28a,,,photograph,,,,,,,,,,Senatorska,,,Centrum Stomatologiczne Ossowscy,,,58-316,,,,,,,,,,,,,walbrzych@dentarama.pl,,,,,,,,,Wałbrzych,,https://www.flickr.com/photos/124589265@N07/14099529650/,,16.2880075,,,,50.8248404,,,,,,,,,,https://dentarama.pl/,,+48 74 84 19 595,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,,,,Starostwo Powiatowe Będzin,,,,,,,,,,,,,Centrum Stomatologiczno-Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1324080,,,,50.3183425,,,,,,,,,,,,,,,,,,clinic,,,,,,,1,,,,,,healthcare,,,,,,,,
,,,,,47,,,,,,,,,,,,,Ludwika Zamenhofa,,,Centrum Usług Medycznych Eskulap sp. z o.o.,,,58-100,,,,,,,,,,,,,,,,,,,,,geoportal.gov.pl. GPS,Świdnica,,,,16.4725415,,,,50.8461411,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,9,,,,,,,,,,,,,Romualda Traugutta,,,Centrum Zdrowia Psychicznego,,,,,,,,,,,,,,,,,,,,,,,,,Gdynia,,,,18.5361304,,,,54.5115296,,,,,,,,,,http://czpgdynia.pl,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,21,,,,,,,,,,,,,,,,"Centrum leczenia uzależnień ""Zaroślak""",,,89-650,,,,,,,,,,,,,biuro@leczenie-uzaleznien.com,,,,,,,,,Kurcze,,,,17.9927526,,,,53.7405886,,,,,,,,,,https://www.leczenie-uzaleznien.com/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,Kurcze,,,,
,,,,,317,,,,,,,,,,,,,Krakowska,,,"Centrum medyczne ""Intermed""",,,32-080,,,,,,,,,,,,,info@cmintermed.pl,,,,,,,,,Zabierzów,,,,19.8329709,,,,50.1092264,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,,,,http://www.cmintermed.pl/,,+48 12 267 0589,,,,,,clinic,,,,,,,2,,,EMUiA (emuia.geoportal.gov.pl),,,yes,,,,,,,,
,,,,,24,,,,,,,,,,,,,Prezydenta Gabriela Narutowicza,,,Centrum medyczne Farma-med,,,88-100,,,,,,,,,,,,,,,,,,,,,,Inowrocław,,,,18.2536102,,,,52.7983230,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,6,,,,,,,,Centrum Medyczne nr 2 Prywatnej Lecznicy Certus,,,,,Wagrowska,,,Certus,,,61-369,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,16.9464350,,,,52.3781385,,,,,,,,,,https://certus.med.pl/,,+48 61 887 78 00,Prywatna Lecznica Certus Sp. z o.o. Centrum Medyczne nr 2,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,PL,
,,,,,17,,,,,,,,,,,,,Druskienicka,,,Chirurgia Poznańska,,,60-476,,,,,,,,,,,,,,,,,,,,,,Poznań,,,,16.8875812,,,,52.4452398,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,yes,,,,,,,,
,,,,,11,,,,,,,,,,,,,Józefa Montwiłła-Mireckiego,,,Clinica Medica,,,,,,,,,,,,,,,,,,,,,,,,,Gdynia,,,,18.5032336,,,,54.5287617,,,,,,,,,,http://www.clinica-medica.pl/,,,,,,,,clinic,,,,,,,,,,,,,hospital,,,,,,,PL,
,,,,,36,,,,,,,,,,,,,Kujawska,,,Dentico & Rehabilis Clinic,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1989005,,,,53.1265947,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,40,,,,,,,,Dolmed,,,,,Legnicka,,,Dolnośląskie Centrum Medyczne,,,53-674,,,,,,,,,,,,,,,,,,,,,,Wrocław,,,,17.0034750,,,,51.1138363,,,,,,,,,,http://www.dolmed.pl,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,general;psychiatry;internal;gynaecology;paediatrics,,,1,,,,,,,,,,,,,Gdyńska,,,Dom Medyczny „Gdyńska”,,0;1,80-340,,,,,,,,,,,,,gdynska@ncm.com.pl,,,,,,,,,Gdańsk,,,,18.5774876,,,,54.4210705,,Nadmorskie Centrum Medyczne,,Mo-Fr 07:00-19:00,,,,,,https://www.ncm.com.pl/domymedyczne/gdynska,,58 763 92 00,,,,,,clinic,,,,,,,2,,,,,,commercial,,,,,,clinic,PL,
,,cardiology;allergology;pulmonology;internal,,,7,,,,,,,,,,,,,Gospody,,,Dom Medyczny „Gospody”,,,80-344,,,,,,,,,,,,,gospody@ncm.com.pl,,,,,,,,,Gdańsk,,,,18.5802350,,,,54.4228198,,Nadmorskie Centrum Medyczne,,Mo-Th 07:00-19:00; Fr 07:00-15:00,,,,,,https://www.ncm.com.pl/domymedyczne/gospody,,58 763 92 90,,,,,,clinic,,,,,,,2,,,Urząd Miasta Gdańsk,,,commercial,,,,,,clinic,PL,
,,internal;paediatrics;gynaecology;surgery,,,34,,,,,,,,,,,,,Jana Kilińskiego,,,"Dom Medyczny „Kilińskiego""",,,80-452,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,18.6050612,,,,54.3861296,,Nadmorskie Centrum Medycznego Sp. z o.o.,,Mo-Fr 07:00-19:00,,,,,,https://www.ncm.com.pl/domymedyczne/kilinskiego,,+48 58 763 9500,,,,,,clinic,,,,,,,,,,Urząd Miasta Gdańsk,,,yes,,,,,,clinic,PL,
,,,,,19,,,,,,,,,,,,,Kardynała Stanisława Hozjusza,,,Dom Opieki „Laurentius”,,,11-041,,,,,,,,,,,,,,,,,,,,,,Olsztyn,,,,20.4379525,,,,53.8097712,,,,,,,,,,http://www.laurentius.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,company,,,,5,,,,,,,,,,,,spa_resort,Stanisława Rokosza,,,Dormed Medical Spa Klinika Zdrowia i Urody,,,28-100,,,,,,,,,,,18808,,,,,,,,0946651,,,Busko-Zdrój,,,,20.7124449,,,,50.4571478,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Dzienny Ośrodek Psychiatrii i Zaburzeń Mowy dla Dzieci i Młodzieży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0266807,,,,51.1461721,,,,,,,,,,http://www.dopdim.pl/,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,40,,,,,,,,,,,,,Stanisława Żółkiewskiego,,,Euroklinika,,,43-300,,,,,,,,,,,,,rejestracja@euroklinika.pl,,,,,,,,,Bielsko-Biała,,,,19.0234155,,,,49.8262784,,,,,,,,,,www.euroklinika.pl,,+48 698 991 577,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,88J,,,,,,,,,,,,,Konstantego Ciołkowskiego,,,FCMed,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.2154829,,,,53.1251810,,,,"Mo-Fr 08:00-20:00, Sa 08:00-14:00; Su, PH off",+48856777022,,,,,https://fcmed.pl/,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,61a,,,,,,,,,,,,,Modlińska,,,"Filia przychodni lekarskiej ""BER-MED""",,,05-135,,,,,,,,,,,,,,,,,,,,,,Wieliszew,,,,20.9713013,,,,52.4503746,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,25,,,,,,,,,,,,,,,,GK-MED,,,39-225,,,,,,,,,,,,,,,,,,,0821530,,,,,,,21.3046171,,,,49.8771313,,,,,,,,,,,,,,,,,,clinic,,,,,,,3,,,emuia1.gugik.gov.pl,,,yes,,,,Jodłowa,,,,
,,,,,22,,,geoportal.gov.pl:ortofoto,,,,,,,,,,Dworcowa,,,Gminny Ośrodek Zdrowia,,,,,,,,,,,,,,,,,,,,,,,,,Lubichowo,,,,18.3987802,,,,53.8485978,,,,,,,,,,,,585885213,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,yes,,,,,,,,
,,,,,3,,,,,,,,,,,,,Słoneczna,,,Gminny Ośrodek Zdrowia,,,42-120,,,,,,,,,,,,,,,,,,,,,,Miedźno,,,,18.9826709,,,,50.9678737,,,,,,Gminny Ośrodek Zdrowia,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,23,,,,,,,,,,,,,Kaliska,,,Gminny Ośrodek Zdrowia w Gizałkach,,,63-308,,,,,,,,,,,,,,,,,,,,,,Gizałki,,,,17.7698767,,,,52.0420675,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,EMUiA (gizalki.e-mapa.net),,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,Mściwojów,,,Gminny Ośrodek Zdrowia w Mściwojowie,,,59-407,,,,,,,,,,,,,,,,,,,,,,Mściwojów,,,,16.2780295,,,,51.0443735,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,20,,,WMS UM Siemianowice Śląskie,,,,,,,,,,Wiejska,,,Grupowa Praktyka Lekarzy Rodzinnych Familia,,,41-100,,,,,,,,,,,,,,,,,,,,,,Siemianowice Śląskie,,,,19.0513529,,,,50.3335175,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Halluxmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8212082,,,,52.3371215,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,hospital,,,,,,,,
,,,,,4A,,,,,,,,,,,,,Wągrowiecka,,,Hipokrates,,,62-085,,,,,,,,,,,,,,,,,,,0971459,,,Skoki,,,,17.1579822,,,,52.6717220,,,,,,,,,,,,+48 61 892 51 91,,,,,,clinic,,,,,,,,,,EMUiA (skoki.e-mapa.net),,,yes,,,,,,,,
,,,,,14,,,,,,,,,,,,,Indiry Gandhi,,,Instytut Hematologii i Transfuzjologii,,,02-776,,,,,,,,,pl:Instytut Hematologii i Transfuzjologii,,,,,,,,,,,,,Warszawa,,,,21.0324597,,,,52.1454246,,,,,,,,,,http://www.ihit.waw.pl,,+48 22 3496100,,,,,,clinic,,,Q11713050,,,,,,,mapa.um.warszawa.pl,,,hospital,,,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,Instytut Medyczny im. Jana Pawła II,,,,,,,,,,,,,,,,biuro@insmed.com.pl,,,,,,,,,,,,,14.5516583,,,,53.4419946,,,,,,,,,,http://insmed.com.pl/,,+48 91 454 00 52,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,
,,,,,52,Zachodniopomorskie,,survey,,,+48 94 713 62 44,,,,,,,Podporucznika Edmunda Łopuskiego,,,Inter Medical,,,78-100,,,,,,,,,,,,,kontakt@inter-medical.pl,,,,,,,flat,,Kołobrzeg,,,,15.5622254,,,,54.1714733,,,,Mo-Fr 07:30-21:00;Sa 10:00-18:00;PH off,,Inter Medical,,,,http://www.inter-medical.pl/,,+48 94 71 362 23;+48 94 71 362 24,,,,,,clinic,,,,,,,4.5,,,,brick,Kołobrzeski,hospital,firebrick,,yes,,,clinic,PL,
,,,,,2,,,,,,,,,,,,,Bolesława Krzywoustego,,,Intermedicatus,,,56-416,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Twardogóra,,,,17.4669463,,,,51.3670339,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,15,,,UM Ruda Śląska,,,,,,,,,,Ludwika Solskiego,,,KORLAB Laboratoria Medyczne sp. z o.o.,,,41-703,,,,,"Przyziemie budynku ognioodpornego, podpory, podcienia z pomiaru w terenie",,,,,,,,,,,,,,,,,Ruda Śląska,,,,18.8751279,,,,50.3150897,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,yes,,,,yes,,,,,,,,
,,,,,71-75,,,,,,,,,,,,,Częstochowska,,,Kalmedica,,,62-800,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,18.0956579,,,,51.7466875,,,,,,,,,,http://www.kalmedica.com.pl/,,,,,,,,clinic,,,,,,,4,,,,,,healthcare,,,,,,,,
,,,,,3,,,msi,,,,,,,,,,Wojciecha Oczki,,,Katedra i Klinika Chemii Medycznej,,,,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,20.9994555,,,,52.2239239,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,4,,,,,,,,,,,,,Williama Heerleina Lindleya,,,Katedra i Klinika Ortopedii i Traumatologii Narządu Ruchu,,,02-005,,,,,,,,,,,11083,20,,,,,,,0918123,,,Warszawa,,,,20.9971800,,,,52.2247508,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,28,,,,,,+48422765585,,,,,,,Plac Tadeusza Kościuszki,,,Kliniczne Centrum Medyczne,,,95-070,,,,,,,,,,,09580,,,,,,,,0958654,,,Aleksandrów Łódzki,,,,19.3023440,,,,51.8199962,,,,Mo-Fr 08:00-22:00; Sa 19:00-16:00,,,,,,http://kcmaleksandrow.pl,,+48882137147,,,,,,clinic,,,,,,,,,,emuia.gugik.gov.pl,,,public,,,,,,,PL,
,,,,,26,,,,,,,,,,,,,Akademicka,,,Klinika Bocian,,,15-267,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,23.1614163,,,,53.1285108,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,yes,,,,,,,,
,,,,,59C,,,,,,,,,,,,,Nowogrodzka,,,"Klinika Chirurgii Czaszkowo-Szczękowo-Twarzowej, Chirurgii Jamy Ustnej i Implantologii",,,02-006,,,,,,,,,,,,4,,,,,,,,,,Warszawa,,,,20.9990375,,,,52.2250375,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,59,,,,,,,,,,,,,Tytusa Chałubińskiego,,,Klinika Chirurgii Ogólnej i Transplantacyjnej,,,02-004,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,21.0020523,,,,52.2252206,,,,,,,,,,,,,,,,,,clinic,,,,,,,4,,,,,,yes,,,,,,,,
,,,,,59B,,,,,,,,,,,,,Nowogrodzka,,,Klinika Chorób Wewnętrznych i Kardiologii,,,02-006,,,,,,,,,,,,3,,,,,,,,,,Warszawa,,,,20.9997392,,,,52.2251919,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,82A,,,,,,,,,,,,,Koszykowa,,,Klinika Dermatologiczna WUM,,,02-008,,,,,,,,,,,09537,,,,,,,,0918123,,,Warszawa,,,,20.9994805,,,,52.2234106,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
