health_facility:type,office,healthcare:speciality,building:part,indoor,health_specialty:oral_surgery,payment:cash,currency:others,postal_code,wheelchair:access,building:type,addr:housenumber,toilets,addr:state,name:de,heritage:since,opening_hours:url,image,fax,survey:date,emergency,building:roof,contact:facebook,historic,currency:EUR,addr:street,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,cn_ukd:token,lastcheck,roof:orientation,source:outline,designation,roof:height,owner,source:addr,source:address,wikipedia,mapillary,health_specialty:physiotherapy,check_date,ref,email,building:height,source:housenumber,contact:email,name:historic,roof:shape,building:use,publisher,name:hsb,atm,source:geometry,addr:city,source:building,toilets:wheelchair,source_ref,historic:addr:housenumber,lon,contact:website,roof:colour,layer,height,phone:mobile,alt_name,operator,short_name,source,opening_hours,contact:phone,addr:housename,heritage,start_date,website,phone,health_specialty:dentistry,old_name,smoking,heritage:ref,historic:addr:street,wheelchair:description:de,architect,wheelchair,amenity,health_specialty:periodontology,opening_hours:emergency,operator:type,addr:hamlet,building:flats,addr:suburb,official_name,toilets:access,payment:notes,medical_system:western,addr:district,payment:girocard,building:levels,health_facility,note,kvl_hro:type,FIXME,description,building:material,kvl_hro:amenity,kvl_hro:desc,building:architecture,lat,building,building:colour,payment:coins,url,roof:levels,healthcare,healthcare:for,addr:country,heritage:operator
,,,,,,,,,,,85,,,,,,,,,,,,,,Wasserfuhr,,,,Bergmann,,,32108,,,,,,,,,,,,,,,,info@zahnaerzte-bergmann.de,,,,,,,,,,,Bad Salzuflen,,,,,8.7678310,,,,,,,Dr. Svenja und Claas Bergmann,,,,,,,,https://zahnaerzte-bergmann.de/,+49 5222 83060,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.0694622,yes,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethäußer,,,97922,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauda-Königshofen,,,,,9.7019328,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,Lauda,,,,,,,,,,,,,,,,,49.5674558,yes,,,,,dentist,,,
,,,,,,,,,,,69,,,,,,,,,,,,,,Birker Straße,,,,Birkenpraxis,,,53797,,,,,,,,,,,,,,,,,,,,,,,,,,,Lohmar,,,,,7.2819275,,,,,,,Edeltraut Glaß,,Bing Sat,,,,,,,,,,,,,,,,dentist,,,,,,Birk,,,,,,,,,,,,,,,,,50.8332762,yes,,,,,dentist,,DE,
,,,,,,,,,,,8,,,,,,,,,,,,,,Geigelsteinstraße,,,,Blattl-Bieling Sybille,,,83209,,,,,,,,,,,,,,,,,,,,,,,,,,,Prien am Chiemsee,,,,,12.3436853,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,47.8534908,yes,,,,,,,,
,,,,,,,,,,,10,,,,,,,,,,,,,,Friedhofweg,,,,Blatz,,,74838,,,,,,,,,,,,,,,,,,,,,,,,,,,Limbach,,,,,9.2136477,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,49.4626753,yes,,,,,,,DE,
,,,,,,,,,,,21,,,,,,,,,,,,,,Mörikestraße,,,,Bodammer & Walz Zahnärzte,,,72296,,,,,,,,,,,,,,,,,,,,,,,,,,,Schopfloch,,,,,8.5580948,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,48.4547827,yes,,,,,dentist,,DE,
,,,,,,,,,,,5,,,,,,,,,,,,,,Girrlenweg,,,,Bott,,,76437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1609884,,,,,,,,,,,+49 7222 26633,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,48.8626699,yes,,,,,,,DE,
,,,,,,,,,,,20,,,,,,,,,,,,,,Landstraße,,,,Brett,,,77694,,,,,,,,,,,,,,,,,,,,,,,,,,,Kehl,,,,,7.8715024,,,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00, Sa 08:00-15:00",,,,,https://zahnarzt-brett.de,+49 7851 72034,,,,,,,,,dentist,,,,,,Kork,"Zahnarztpraxis Dr. med. dent. Brett, Brett-Baumert & Koll.",,,,,,,,"Webseite hat keine Samstags-Öffnungszeiten, ist aber so an der Tür angebracht (Stand Mai 2019)",,,,,,,,48.5628306,yes,,,,,,,DE,
,,,,,,,,,,,12a,,,,,,,,,,,,,,Erich-Weinert-Straße,,,,Bärbel Tönniges,,,19205,,,,,,,,,,,,,,,,,,,,,,,,,,,Gadebusch,,,,,11.1090729,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,53.6970961,yes,,,,,dentist,,DE,
,,,,,,,,,,,15,,,,,,,,,,,,,,Brunnenstraße,,,,Büchel Dentaltechnik GmbH,,,53840,,,,,,,,,,,,,,,,,,,,,flat,,,,,,Troisdorf,,,,,7.1807721,,grey,,9.00,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,,dentist,,,,,,Mitte,,,,,,,3,,,,,,,,,modern,50.8148613,residential,,,,,,,DE,
,,,,,,,,,,,27,,,,,,,,,,,,,,In der Welheimer Mark,,,,C. Bock,,,46238,,,,,,,,,,,,,,,,,,,,,,,,,,,Bottrop,,,,,6.9666227,,,,,,,,,,"Mo 08:00-12:00,14:00-18:00 ; Tu 09:00-12:00,14:00-19:00; We 09:00-12:00,13:00-17:00; Th 08:00-12:00,14:00-18:00; Fr 09:00-14:00",,,,,,+49 2041 60893,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.5106122,yes,,,,,,,DE,
,,,,,,,,,,,10,,,,,,,,,,,,,,Barbarossastraße,,,,C. und J. Georgi,,,09112,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemnitz,,,,,12.9041320,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.8277954,yes,,,,,dentist,,DE,
,,,,,,,,,,,16,,,,,,,,,,,,,,Billingstraße,,,,Carl-Heinrich Behn,,,29320,,,,,,,,,,,,,,,,,,,,,,,,,,,Südheide,,,,,10.0898896,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,Hermannsburg,,,,,,,,,,,,,,,,,52.8335626,yes,,,,,dentist,,,
office,physician,,,,yes,,,,,,37,,,,,,,+49 2236 843255,,,,,,,Ahrstraße,,,,Casa Dental,,,50389,roof_tiles,,,along,,,,,,,,,,,,wolfram.Arndt@t-online.de,,,,,gabled,,,,,,Wesseling,,,,,6.9865936,,black,,,,,Wolfram Arndt,,,Mo 08:00-19:00; Tu 08:00-21:00; We 08:00-18:00; Th 08:00-20:00; Fr 08:00-14:00,,,,,https://www.casa-dental.de/,+49 2236 45512,yes,,,,,,,,dentist,yes,,,,,,,,,yes,,,2,,,,,,,,,,50.8140291,yes,,,,1,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Herold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6420789,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,49.6673801,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian M. Baer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7999130,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,49.4778261,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,Jahnstraße,,,,Christian Schumann,,,97616,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Neustadt an der Saale,,,,,10.2054137,,,,,,,,,Bing,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.3199679,yes,,,,,,,DE,
,,,,,,,,,,,5,,,,,,,,,,,,,,Bähringstraße,,,,Christine Döhner,,,07422,,,,,,,,,,,,,,,,,,,,,gabled,,,,,,Bad Blankenburg,,,,,11.2658147,,red,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,2,,,,,,brick,,,,50.6831687,yes,orange,,,,,,,
,,,,,,,,,,,39b,,,,,,,,,,,,,,August-Bebel-Straße,,,,Christine und Frank Zeuner,,,08321,,,,,,,,,,,,,,,,,,,,,,,,,,,Zschorlau,,,,,12.6490521,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.5684238,yes,,,,,,,DE,
,,,,,,,,,,,90,,,,,,,,,,,,,,Friedrich-Ebert-Ring,,,,Christoph Blank,,,14712,,,,,,,,,,,,,,,,,,,,,,,,,,,Rathenow,,,,,12.3534434,,,,,,,,,,,+493385514687,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.6058363,yes,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,,,,Goethestraße,,,,Christoph Nemitz,,,17121,,,,,,,,,,,,,,,,,,,,,,,,,,,Loitz,,,,,13.1363547,,,,,,,,,,,,,,,,+49 39998 10300,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,53.9754511,yes,,,,,,,DE,
,,,,,,,,,,,34,,,,,,,,,,,,,,Langenstücken,,,,Christoph Ülzmann,,,22393,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamburg,,,,,10.0977395,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,53.6545693,yes,,,,,dentist,,DE,
,,,,,,,,,,,178,,,,,,,,,,,,,,Druseltalstraße,,,,Claar Zahnärzte,,,34131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4211233,http://dr-claar.de,,,,,,Dr. Michael Claar,,,Mo-Fr 07:00-18:00; PH off,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.3038875,commercial,,,,,,,,
,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Conrads,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,6.1097442,,,,,,,,,,"Mo,Tu,Fr 09:00-12:00,14:30-18:00; We 09:00-13:00; Th 09:00-12:00,14:30-19:00",,,,,,,,,,,,,,no,dentist,,,,,,,,,,,,,1,,,,,,,,,,50.7651288,,,,,,dentist,,,
,,,,,,,,,,,8,,,,,,,,2015-06-07,,,,,,Erich-Schmidt-Weg,,,,D. Neumann,,,37083,,,,,,,,,,,,,,,,,,,,,flat,,,,,,Göttingen,,,,,9.9455612,,,,,,,,,,"Mo,Tu,We,Fr 08:00-12:00; Mo,Tu 15:00-18:00; Th 10:00-18:00",+49 551 73393,,,,,,,,,,,,,,dentist,,,,,,Geismar,,,,,,,1,,,,,,,,,,51.5148880,office,,,,,dentist,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DR. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2212017,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.6645973,yes,,,,,dentist,,,
,,,,,,,,,,,71A,,,,,,,,,,,,,,Hauptstraße,,,,Dan Roland Eiworth,,,74869,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwarzach,,,,,8.9826367,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,49.3689552,yes,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,,,,Bülowstraße,,,,Daniel Bocianiak,,,46562,,,,,,,,,,,,,,,,info@zahnarztpraxis-bocianiak.de,,,,,,,,,,,Voerde (Niederrhein),,,,,6.6479250,,,,,,,,,,"Mo-Th 08:00-12:00,14:00-18:00; We 08:00-14:00; Fr 08:00-12:00",,,,,https://www.zahnarztpraxis-bocianiak.de/,+49 281 43040,,,,,,,,no,dentist,,,,,,,,,,,,,,,,,,,,,,,51.6287089,yes,,,,,dentist,,DE,
,,,,,,,,,,,58,,,,,,,,,,,,,,Schwabstraße,,,,Das Zahnärtze Haus,,,74360,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilsfeld,,,,,9.2528613,,,,,,,,,guess,,,,,,http://www.das-zahnaerztehaus.de/,+49 7062 973370,,,,,,,,,dentist,,,,,,,,,,,,,,,"Kieferorthopädie: Annekathrin Tschritter, phone=07062/9733720",,,,,,,,49.0526753,yes,,,,,,,,
,,dentistry,,,,,,,,,104,,,,,,,,,,,,,,Alte Landstraße,,,,Dental Zentrum Wegberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2510486,https://dz-wegberg.de/,,,,,,Karl Olaf Hamacher,,,"Mo,We 08:00-19:30; Tu 08:00-18:00; Th 08:00-19:00; Fr 08:00-17:00; Sa 09:00-13:00; Su, PH off",+49 2434 6552,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.1360279,yes,,,,,dentist,,,
,,,,,,,,,,,13,,,,,,,,,,,,,,Humboldtstraße,,,,Dental-Labor Dieter Schierz GmbH,,,09599,,,,,,,,,,,,,,,,,,,,,gabled,,,,,,Freiberg,Bing,,,,13.3450190,,,,,,,,,OSB,Mo-Th 07:30-18:00; Fr 07:30-16:00,,,,,,,,,,,,,,no,dentist,,,,,,,,,,,,,4,,,,,,,,,,50.9102380,apartments,,,,1,dentist,,DE,
,,,,,,,,,,,19,,,,,,,,,,,,,,Seewiesenstraße,,,,Dentallabor Alfons Blümle GmbH,,,71334,,,,,,,,,,,,,,,,,,,,,,,,,,,Waiblingen,,,,,9.3447536,,,,,,,,,Bing,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,48.8192450,commercial,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dentanet,,,,,,,,,Zahnarzt,,,,,,,,,,,,,,,,,,,,,,,,,,8.1620908,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.1120759,yes,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,Kirchstraße,,,,Dickebohm u. Apfel,,,26903,,,,,,,,,,,,,,,,,,,,,,,,,,,Surwold,,,,,7.5181320,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.9725080,yes,,,,,,,DE,
,,,,,,,,,,,223,,,,,,,,,,,,,,Kieler Straße,,,,Die Zahnärzte Tungendorf,,,24536,,,,,,,,,,,,,,,,,,,,,,,,,,,Neumünster,,,,,9.9871335,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,54.0913411,residential,,,,,dentist,,,
,,,,,,,,,,,6,,,,,,,,,,,,,,Schulstraße,,,,Dietmar Hermann Zahnarzt,,,73547,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorch,,,,,9.6874397,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de","Mo,Tu,Th 08:00-12:00,14:00-18:00; We 13:00-19:00; Fr 08:00-12:00; Ph off",+49 7172 6140,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,48.7979814,yes,,,,,,,DE,
,,,,,,,,,,,28,,,,,,,,,,,,,,Ernst-Thälmann-Straße,,,,Dipl. Stom. Almut Spillmann Zahnärztin,,,06571,,,,,,,,,,,,,,,,,,,,,,,,,,,Roßleben-Wiehe,,,,,11.4335546,,,,,,,,,,,,,,,,,,,,,,,,yes,dentist,,,,,,Roßleben,,,,,,,,,,,,,,,,,51.2977856,apartments,,,,,,,DE,
,,,,,,,,,,,49,,,,,,,,,,,,,,Hauptstraße,,,,Dipl. Stom. Annegret Berger,,,08115,,,,,,,,,,,,,,,,,,,,,,,,,,,Lichtentanne,,,,,12.4209818,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.6967921,yes,,,,,,,DE,
,,,,,,,,,,,8,,,,,,,,,,,,,,Wasserstraße,,,,Dipl. Stom. Edith Bachmann,,,06556,,,,,,,,,,,,,,,,,,,,,,,,,,,Artern,,,,,11.2908746,,,,,,,,,,,,,,,,+49-3466-31029,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.3645124,apartments,,,,,,,DE,
,,,,,,,,,,,15,,,,,,,,,,,,,,Wernerplatz,,,,Dipl. Stom. Manfred Lohmann und Jörg Groß,,,09599,,,,,,,,,,,,,,,,,,,,,,,,,,,Freiberg,Bing Aerial Imagery,,,,13.3470722,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,ehemaliges Huthaus der Kuhschacht-Fundgrube,,,,,50.9133109,yes,,,,,dentist,,DE,
,,,,,,,,,,,7,,,,,,,,,,,,,,Lutherstraße,,,,Dipl. Stom. Marion Krauß,,,08324,,,,,,,,,,,,,,,,,,,,,,,,,,,Bockau,,,,,12.6862406,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.5404394,yes,,,,,,,DE,
,,,,,,,,,,,1a,,,,,,,,,,,,,,Quergasse,,,,Dipl. Stom. Sabine Recknagel,,,06567,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Frankenhausen/Kyffhäuser,,,,,11.0992542,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.3555704,yes,,,,,,,,
,,,,,,,,,,,55,,,,,,,,,,,,,,Curlandstraße,,,,Dipl. Stomatologin Dietlind Kegel,,,14712,,,,,,,,,,,,,,,,,,,,,,,,,,,Rathenow,,,,,12.3416457,,,,,,,,,Bing,"Mo 08:00-12:00,14:00-19:00; Tu 08:00-13:00; We 13:00-19:00; Th 08:00-12:00,13:00-16:00; Fr 08:00-12:00",,,,,,,,,,,,,,no,dentist,,,,,,,,,,,,,,,,,,,,,,,52.6132896,yes,,,,,dentist,,,
,,,,,,,,,,,10,,,,,,,,,,,,,,Hammerweg,,,,Dipl.-Stom. Bettina Barthelmä,,,98587,,,,,,,,,,,,,,,,,,,,,,,,,,,Steinbach-Hallenberg,,,,,10.5572345,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.6861627,yes,,,,,,,DE,
,,,,,,,,,,,5,,,,,,,+4936475049952,,,,,,,Jüdeweiner Straße,,,,Dipl.-Stom. Detlef Weise,,,07381,,,,,,,,,,,,,,,,,,,,,,,,,,,Pößneck,,,,,11.6039589,,,,,,,,,,,,,,,,+493647412086,,,,,,,,limited,dentist,,,,,,,,,,,,,,,,,,,,,,,50.6990353,yes,,,,,,,DE,
,,,,,,,,,,,5,,,,,,,,,,,,,,Nordstraße,,,,Dipl.-Stom. Eberhard Schmidt,,,04808,,,,,,,,,,,,,,,,,,,,,,,,,,,Wurzen,,,,,12.8377292,,,,,,,,,,,,,,,https://www.zahnarzt-e-schmidt.de/,,,,,,,,,,dentist,,,,,,Kühren,,,,,,,,,,,,,,,,,51.3470390,yes,,,,,,,DE,
,,,,,,,,,,,1,,,,,,,,,,,,,,Herweghstraße,,,,Dipl.-Stom. Joachim Nuck,,,02977,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoyerswerda,,,,,14.2267401,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.4404225,yes,,,,,dentist,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,Am Erlengrund,,,,Dipl.-Stom. Lothar Rother,,,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,,,,,,,13.0195489,,,,,,,,,,,03725/77244,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,2,,,,,,,,,,50.6968304,detached,,,,1,,,,
,,,,,,,,,,,11,,,,,,,,,,,,,,Heinrich-Zille-Straße,,,,Dipl.-Stom. U. D. Günther,,,04895,,,,,,,,,,,,,,,,,,,,,,,,,,,Falkenberg/Elster,,,,,13.2417261,,,,,,,,,,,,,,,http://www.zahnarztpraxis-guenther.de,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.5867678,yes,,,,,,,DE,
,,,,,,,,,,,6,,,,,,,+49 34341 44654,,,,,,,Schillerstraße,,,,Dipl.-Stom.Heike Vogel,,,04643,,,,,,,,,,,,,,,,praxis@zahnheilkunde-vogel.de,,,,,,,,,,,Geithain,,,,,12.6932447,,,,,,,,,,"Mo-Th 07:30-12:00,13:00-18:00; Fr 07:30-12:00; PH off",,,,,http://www.zahnheilkunde-vogel.de/,+49 34341 42107,,,,,,,,limited,dentist,,,,,,,,,,,,,,,,,,,,,,,51.0588212,yes,,,,,,,DE,
,,,,,,,,,,,33,,,,,,,,,,,,,,Am Lohhof,,,,Dirk Derda,,,22880,,,,,,,,,,,,,,,,,,,,,,,,,,,Wedel,,,,,9.7092081,,,,,,,,,,"Mo-Th 08:00-12:00, Mo,Th 14:00-18:00, Tu 14:00-19:00; Fr 08:00-14:00",,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,53.5766668,yes,,,,,dentist,,DE,
