amenity,drive_through,lon,surveillance:type,indoor,payment:mastercard,int_name,name:it,payment:notes,operator,name:ru,payment:american_express,brand:wikipedia,addr:housenumber,building:levels,opening_hours,payment:jcb,contact:phone,addr:housename,name:fr,surveillance,source,contact:mobile,brand:wikidata,name:de,addr:street,email,website,surveillance:zone,fax,payment:discover_card,brand,payment:visa,phone,historic,building:architecture,lat,condition,addr:city,building,name:el,fixme,name:en,name,level,addr:postcode,wheelchair,payment:coins,payment:visa_electron,payment:visa_debit,payment:diners_club,dispensing,healthcare,addr:country
pharmacy,,23.6792546,,,,,,,Καπλάνη Αφροδίτη Π.,,,,36,,"Mo,We 08:00-14:00; Tu,Th-Fr 08:00-14:00,17:30-20:00",,,,,,,,,,25ης Μαρτίου,,,,,,,,+302105015044,,,38.0444220,,Πετρούπολη,yes,,,,ΚΑΠΛΑΝΗ ΑΦΡΟΔΙΤΗ ΚΑΙ ΣΙΑ ΟΕ (Καπλάνη Αφροδίτη Π.),,13231,,,,,,,pharmacy,
pharmacy,,27.2708530,,,,,,,,,,,,,,,,,,,,,,,ASKLIPIOU,,,,,,,,0030:224 203 0222,,,36.8843417,,,yes,,,,ΚΑΣΣΑΝΗ ΣΤΑΥΡΟΥΛΑ,,,,,,,,,,
pharmacy,,27.2960605,,,,,,,,,,,32,,,,,,,,,,,,Μακρυγιάννη,,,,,,,,,,,36.8895299,,,yes,,,,ΚΙΑΠΟΚΑΣ ΣΤΑΜΑΤΗΣ,,,,,,,,,,
pharmacy,,21.3497182,,,,,,,Παπαγεωργίου Πατρούλα,,,,14,,,,,,,,,,,,Ρήγα Φεραίου,,,,,,,,,,,37.7972923,,Αμαλιάδα,yes,,,Kontogianatou - Papageorgiou Patroula,Κοντογιαννάτου - Παπαγεωργίου Πατρούλα,,27200,,,,,,yes,pharmacy,
pharmacy,,21.8329913,,,,,,,,,,,77,,,,,,,,,,,,Λ. Ίλαρχου Τζαβέλλα,,,,,,,,,,,38.3946592,,Ναύπακτος,,,,,Κούμπιος Νικόλαος,,,,,,,,,pharmacy,GR
pharmacy,,27.2840296,,,,,,,,,,,35,,,,,,,,,,,,K. Kanari,,,,,,,,,,,36.8985522,,,yes,,,,ΛΟΥΜΠΑΡΔΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,,,,,,,,,,
pharmacy,,23.0035689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2595012,,,yes,,,,ΜΑΛΑΜΗ ΑΓΓΕΛΙΚΗ,,,,,,,,,,
pharmacy,,27.2882353,,,,,,,,,,,4,,,,,,,,,,,,ΑΝΤΩΝΙΟΥ ΙΩΑΝΝΙΔΗ,,,,,,,,,,,36.8939757,,,yes,,,,ΠΑΠΑΧΡΗΣΤΟΥ ΖΩΗ,,,,,,,,,,
pharmacy,,21.8378066,,,,,,,,,,,,,,,,Φαρμακείο Παπαθανάσης Θανάσης,,,,,,,Θεμιστοκλή Νόβα,,,,,,,,,,,38.3931049,,,yes,,,,Παπαθανάσης Θανάσης,,,,,,,,,,
pharmacy,,22.7995421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,37.5657065,,,yes,,,,Πρώτο Φαρμακείο της Ελλάδος,,,,,,,,,,
pharmacy,,27.2857819,,,,,,,,,,,1,,,,,,,,,,,,K. Kanari,,,,,,,,00302242020206,,,36.8960071,,,yes,,,,ΣΤΑΜΑΤΙΑΔΗ ΚΩΝΣΤΑΝΤΙΝΑ,,,,,,,,,,
pharmacy,,27.2830215,,,,,,,,,,,51,,,,,,,,,,,,GRHGORIOU E,,,,,,,,00302242023070,,,36.8898601,,,yes,,,,ΦΑΡΜΑΚΕΙΟ ΑΓΓΕΛΟΠΟΥΛΟΣ Σ.Φ. & ΜΑΡΚΑΚΗΣ Ι.,,,,,,,,,,
pharmacy,,27.2903319,,,,,,,,,,,1,,,,,,,,,,,,Μακρυγιάννη,,,,,,,,00302242025515,,,36.8901639,,,yes,,,,ΦΑΡΜΑΚΕΙΟ ΦΟΥΡΝΑΡΗΣ ΝΙΚΟΛΑΟΣ,,,,,,,,,,
pharmacy,,20.2774254,,,,Pharmacy,Farmacia,,,Аптека,,,,,,,,,Pharmacie,,,,,Apotheke,,,,,,,,,,,,39.4509176,,,yes,ΦΑΡΜΑΚΕΪΟ,,Pharmacy,ΦΑΡΜΑΚΕΪΟ,,,,,,,,,pharmacy,
pharmacy,,21.8347623,,,,,,,,,,,6,,,,,,,,,,,,Λ. Αθηνών,,,,,,,,,,,38.3944162,,Ναύπακτος,,,,,Φαρμακείο Θεοφάνης Περικλής,,,,,,,,,,GR
pharmacy,no,23.7979123,,,,,,,,,,,26,,Mo-Sa 08:00-23:00; Su off,,,,,,,,,,Ανδρέα Παπανδρέου,,https://www.doctorpharmacy.gr/,,,,,,21 1012 4572,,,38.0207248,,Χαλάνδρι,yes,,,,Φαρμακείο Λάμπρος Παπαφάνης & Σια Ο.Ε.,,15232,,,,,,,pharmacy,
pharmacy,,20.6563500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8215704,,,yes,,,,Φαρμακείο Μπεκούλης Γεώργιος,,,,,,,,yes,pharmacy,
pharmacy,,21.8318197,,,,,,,,,,,53,,,,,,,,,,,,Λ. Ίλαρχου Τζαβέλλα,,,,,,,,,,,38.3942743,,,,,,,Φαρμακείο Πατούχα Αναστασία,,,,,,,,,,
pharmacy,,21.8303182,,,,,,,,,,,31,,,,,,,,,,,,Λ. Ίλαρχου Τζαβέλλα,,,,,,,,,,,38.3937820,,,,,,,Φαρμακείο Ράπτης Ιωάννης,,,,,,,,,,
pharmacy,no,23.8104523,,,,,,,Χριστίνα Αρβανίτη,,,,139,,,,,,,,,,,,Τατοΐου,,,,,,,,+30 210 6256853,,,38.0990592,,Κηφισιά,yes,,,,Φαρμακείο Χριστίνα Αρβανίτη,,14564,,,,,,yes,pharmacy,
pharmacy,,21.7875141,,,,,,,,,,,,,,,,,,,Kaart Ground Survey 2018,,,,Μοναστηρίου,,,,,,,,,,,40.3072028,,,yes,,,,Φαρμακειο,,,,,,,,,,
pharmacy,,23.8479367,,,,,,,,,,,,,,,,,,,,,,,Κορωπίου - Αγίας Μαρίνας,,,,,,,,,,,37.8218068,,,yes,,,,Φαρμακειο,,,,,,,,,,
pharmacy,,27.2825222,,,,,,,,,,,2,,,,,,,,,,,,ΚΟΡΥΤΣΑΣ,,,,,,,,,,,36.8922686,,,yes,,,,ΧΑΤΖΗΠΕΤΡΟΥ  ΕΛΕΝΗ,,,,,,,,,,
pharmacy,,22.9175493,,,,,,,,,,,,,,,,,,,Kaart Ground Survey 2018,,,,Αεροδρομίου,,,,,,,,,,,40.7228299,,,yes,,,,φαρμακειο,,,,,,,,,,
