amenity,int_name,addr:street:en,healthcare:speciality,wikipedia,building:use,addr:suburb,surface,loc_name,wikidata,alt_name,parking,operator,name:ru,is_in,addr:housenumber,barrier,lon,building:levels,contact:phone,short_name,ele,note,source,branch,addr:street,email,website,fax,abandoned,description,emergency,addr:housename,addr:suburb:en,fence_type,phone,old_name,lat,name:bg,addr:city,building,name:en,operator:type,name,designation,level,url,addr:postcode,wheelchair,addr:housenumber:en,start_date,healthcare,source_type_GPS,toilets:wheelchair,internet_access,addr:country,name:it
hospital,,,,,,,,,Q12297238,,,,,,,,23.3109057,,,,,,,,Козяк,,http://www.lozenetz-hospital.bg/,,,,,,,,,,42.6658904,,,,,,Болница Лозенец,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.0362656,,,,,,,,,,,,,,yes,,,,,,42.6124109,,,,,,Болница Рахила Ангелова,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.7068380,,,,,,,,,,,,,,,,,,,,42.6679611,,,,Sunny Beach Hospital,,Болница Слънчев Бряг,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.1447434,,,,,,,,,,,,,,,,,,,,42.7031026,,,,,,"Болница за долекуване, продължително лечение и рехабилитация",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7562809,,,,,,,,,,,,,,,,,,,,42.1373027,,,,,,ВМА МБАЛ Пловдив (Военна болница),,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8236052,,,,,,,,,,,,,,,,,,,,43.2574100,,,,,,Ветеринарна клиника,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.3296981,,,,,,,,,,,,,,,,,,,,42.2589705,,,,,,Ветеринарна лечебница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.8048457,,,,,,,,,,,,,,,,,,,,42.6427216,,,yes,,,Вита Мед,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.3340630,,,,,,,,,,,,,,,,,,,,42.6422940,,,hospital,,,Витоша СБАЛ по ортопедия и травматология,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.6299359,,,,,,,,,,,,,,,,,,,,43.4149579,,,,,,Военна болница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.5629320,,,,,,,,,,,,,,,,,,,,41.9334572,,,,,,Военна болница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,fence,27.9247120,,,,,,,,,,,,,,yes,,,metal,,,43.2271136,,,,,,Военно-морска болница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.6205129,,,,,,,,,,,,,,,,,,,,43.4066061,,,yes,,,Втора Градска Поликлиника,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,120,,23.3179169,,,,,,,,бул. Христо Ботев,,http://www.vtora-mbal.org/,,,,no,,,,+359 2 931 4024,,42.7066070,,,,,,Втора Многопрофилна Болница за Активно Лечение,,,,1202,,,,,,,,,
hospital,,,,,,,,,,,,,,,34,,25.3877237,,,,,"part of relation 5989294, k: building, v: hospital","knowledge, aerial photography",,Ул. Ген. Скобелев,,,,,,,,,,,,42.6217336,,,,,,ДКЦ,,,,6100,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.3278160,,,,,,,,,,,,,,,,,,,,42.2002817,,,yes,,,"ДКЦ ""Д-р Николай Тошев""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.6098698,,,,,,,,,,,,,,,,,,,,43.4163833,,,yes,,,ДКЦ 1,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.3109433,,,,,,,,,,,,,,,,,,,,42.6791919,,,yes,,,ДКЦ 2,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,26.5000971,1,,,,,,,,,,,,,,,,,,,42.4798615,,,yes,,,ДКЦ 2,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8955097,,,,,,,,,,,,,,,,,,,,43.1815763,,,yes,,,ДКЦ 2 Св.Иван Рилски,,,,,,,,,,,,,
hospital,,,,,hospital,,,,,,,,,,,,27.8468726,,+35952510310,,,,,,,,http://dkc3.com,,,,,,,,,,43.2480133,ДКЦ III,,hospital,,,ДКЦ 3,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,ДКЦ 3,,24.5990951,,,,,,,,ж.к. Сторгозия,,,,,,,,,,,,43.4211101,,Плевен,yes,,,ДКЦ 3,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.2763136,,,,,,,,,,,,,,,,,,,,42.7440613,,,clinic,,,ДКЦ 30,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.9171614,,,,,,,,,,,,,,,,,,,,43.2148978,,,hospital,,,ДКЦ 4 - Варна,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8949810,,,,,,,,,,,,,,,,,,,,43.2088927,,,,,,ДКЦ 5 Св. Екатерина,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7405961,,,,,,,,,,,,,,,,,,,,42.1399210,,,yes,,,ДКЦ 6,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.0919877,,,,,,,,,,,,,,,,,,,,42.0257756,,,yes,,,ДМСГД-Благоевград,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,60,,23.0940217,,,,,,,,Славянска,,,,,,,,,,,,42.0254256,,,,,,ДМСГД-Благоевград,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,60,,23.0917638,,,,,,,,Славянска,,,,,,,,,,,,42.0259576,,,yes,,,ДМСГД-Благоевград,,,,,,,,,,,wlan,,
hospital,,,,,,,,,,,,,,,,,25.4763448,,,,,,,,,,,,,,,,,,,,42.8670631,,,yes,,,Детска специализирана болница за белодробни заболявания Царица Йоана,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,26.3240720,,,,,,,,ул.Гео Милев,,,,,,,,,,,,42.6765224,,Сливен,,,,Детско отделение,,,,8800,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,23.2548243,,,,,,,,,,,,,,,,,,,,42.6595557,,,,,,Детско-юношеска психиатрична клиника,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,11A,,27.8901418,,,,,,,,Mануш Войвода,,,,,,,,,,,,43.2095695,,Варна,,Lungs treating Dispensary,,Диспансер за белодробни заболявания,,,,9009,,,,,,,,,
hospital,,,,,,,,,,,,,,,12,,24.7857486,,,,,+359301640 50 +359301645 56,,,Хаджи Христо Попгеоргиев,,,,,,,,,,+359301643 66,,41.5721802,,,yes,,,Диспансер за психични заболявания със стационар,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.6297866,,,,,,,,,,,,,,,,,,,,43.4026194,,,yes,,,Дом за медико-социални грижи за деца,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.9226854,,,,,,,,,,,,,,,,,,,,42.2873226,,,,,,"Държавна психиатрична болниза ""Д-р Георги Кисьов""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,fence,28.0181944,,,,,,,,,,,,,,,,,,,,43.4741738,,,,,,Държавна психиатрична болница,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,140,,23.3691942,,,,,,,,ул. Христо Ботев,,,,,,no,,,,,,42.8282335,,,,,,"Държавна психиатрична болница ""Св. Иван Рилски""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.1863342,,,,,,,,,,,,,,,,,,,,42.6743189,,,,,,Държавна психиатрична болница за лечение на наркомании и алкохолизъм,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.3434973,,,,,,,,,,,,,,no,,,,,,42.6924395,,,,,,Ева,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.3307886,,,,,,,,,,,,,,no,,,,,,42.1987229,,,,,,Ескулап,,,,,limited,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.3450215,,,,,,,,,,,,,,,,,,,,42.9614019,,,,,,"Здравен център ""ОЛИМП""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.8181833,,,,,,,,,,,,,,,,,,,,43.2164498,,,yes,,,Здравна служба,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.7081766,,,,,,,,,,,,,,yes,,,,,,43.2531438,,,yes,,,Здравна служба,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.3306230,,,,,Ушаците могат да ви приберат ако ви хванат вътре ;) The cops can arrest you if they catch you in this.This is an restricted area. 1.3.1.2,,,,,,,,,,,,,,,42.6813993,,,,,,Изоставена болница(Бивша болница за туберкулоза),,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.3264341,,,,,,,,,,,,,,,,,,,,42.6747252,,,,,,КОЖЕН ДИСПАНСЕР,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,23.9938604,,,,,,,,,,,,,,,,,,,,42.0299370,,,,,,КУРОРТНА ПОЛИКЛ.,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,11,,26.3237824,,,,,,,,ул. Криволак,,,,,,,,,,,,42.6764657,,Сливен,,,,Кардиологичен център,,,,8800,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,89,,24.6321641,,,,,,,,бул. Русе,,,,,,,,,,,,43.4119488,,Плевен,yes,,,Клиника по Ортопедия и Травматология,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.4750003,,,,,,,,,,,,,,,,,,,,42.5012300,,,yes,,,Комплексен онкологичен център-Бургас ЕООД,,3,,,,,,,,,,,
hospital,,,,,,кв. Чайка,,,,,,,,,2,,27.9349711,,,,,,,,"ул. ""Никола Вапцаров""",,,,,,,,,,,,43.2129431,"Курортна поликлиника, ДКЦ “Чайка”",,hospital,,,Курортна поликлиника,,,,,no,,,,,no,,,
hospital,Life Hospital,,,,,,,,,,,,,,,,27.4679489,,,,,,,,,,,,,,,,,,,,42.5275944,,,yes,,,Лайф Хоспитал,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.8586284,,,,,,,,,,,,,,,,,,,,42.1412139,,,,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.8585102,,,,,,,,,,,,,,,,,,,,42.1412993,,,,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,28.1602158,,,,,,,,,,,,,,,,,,,,43.4105280,,,yes,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.4683585,,,,,,,,,,,,,,,,,,,,41.8914322,,,yes,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.8125504,,,,,,,,,,,,,,,,,,,,43.1654043,,,yes,,,МБАЛ,,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7077842,,,,,,,,,,,,,,,,,,,,42.8902993,,,,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.4680525,,,,,,,,,,,,,,,,,,,,41.8910515,,,yes,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,22.9590605,,,,,,,,,,,,,,,,,,,,42.5433531,,,,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.1346005,,,,,,,,,,,,,,,,,,,,41.5801670,,,yes,,,МБАЛ,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7179878,,,,,,,,,,,,,,,,,,,,41.5740166,,,,,,"МБАЛ ""Д-р Братан Шукеров""",,,,,,,,,,,,,
hospital,"""Dr. Ivan Seliminski"" Hospital Sliven",,,,,,,,,,,,,,,,26.3244332,,,,,,,,,,,,,,yes,,,,,,42.6754058,,,,,,"МБАЛ ""Д-р Иван Селимински"" Сливен",,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,23.2464802,,,,,,,,,,,,,,,,,,,,42.6851386,МБАЛ „Доверие“,,,"МБАЛ ""Doverie""",,"МБАЛ ""Доверие""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7990910,,,,,,,,,,,,,,,,,,,,42.6450578,,,yes,,,"МБАЛ ""Доктро Киро Попов""",,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.4489459,,,,,,,,,,,,,,,,,,,,42.8832110,,,yes,,,"МБАЛ ""Проф.д-р Цончев""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.5354440,,,,,,,,,,,,,,yes,,,,,,43.5293766,,,,,,"МБАЛ ""СВ. ИВАН РИЛСКИ"" - РАЗГРАД АД",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.5915198,,,,,,,,,,,,,,,,,,,,43.4408617,,,yes,,,"МБАЛ ""Св. Марина""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.2314199,,,,,,,,,,,,,,,,,,,,43.8280610,,,,,,"МБАЛ ""Св. Николай Чудотворец""",,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,25.5876437,,,,,,,,,,,,,,,,,,,,42.0519734,,,,,,"МБАЛ ""Света Екатерина""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.3375001,,,,,,,,,,,,,,no,,,,,,42.2015091,"МБАЛ ""Света Екатерина""",,,,,"МБАЛ ""Света Екатерина""",,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,104,,23.2844253,,,,,,,,бул. България,,https://www.mbal-sofia.com/,,,,,,,,,,42.6598916,,София,hospital,,,"МБАЛ ""Света София""",,,,1618,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.5807519,,,,,,,,,,,,,,,,,,,,42.1774474,,,,,,"МБАЛ ""Свети Иван Рилски""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,100,,24.1864516,,,,,,,,Георги Бенковски,uni@unihospitalbg.com,http://www.unihospitalbg.com,,,,,,,,+359 (357) 88 581,,42.4925838,,Панагюрище,,,,"МБАЛ ""Уни Хоспитал""",,,,4500,,,,,,,,BG,
hospital,,,,,,,,,Q7270400,,,,,,,,23.3372624,,,,,,,,,,,,,,,,,,,,42.7010571,,,,,,"МБАЛ ""Царица Йоанна""",,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.3423049,,,,,,,,,,,,,,,,,,,,42.2037501,,,,,,МБАЛ - Чирпан,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7395660,,,,,,,,,,,,,,,,,,,,42.1384007,,,yes,,,МБАЛ Central,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.8796103,,,,,,,,,,,,,,,,,,,,42.0166244,,,,,,МБАЛ Асеновград,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.4668899,,,,,,,,,,,,,,,,,,,,42.5124648,МБАЛ Бургас,,,Hospital,,МБАЛ Бургас,,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.4201530,,,,,,,,,,http://hospitalburgasmed.bg,,,,yes,,,,,,42.4635694,,,,Burgasmed,,МБАЛ Бургасмед,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.9286685,,,,,,,,,,,,,,yes,,,,,,43.4784942,,,yes,,,МБАЛ Бяла Слатина,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.8757185,,,,,,,,,,,,,,,,,,,,42.9335361,,,yes,,,МБАЛ Д-р Димитър Моллов,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.4653335,,,,,,,,,,,,,,,,,,,Частна хирургическа болница,42.5183654,МБАЛ Д-р Маджуров,,yes,Private Surgical Hospital,,МБАЛ Д-р Маджуров,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,1,,22.6999253,,,,,,,,"пл. ""17 януари""",,,,,,,,,,,,42.2804807,,гр. Кюстендил,,,,МБАЛ Доктор Никола Василиев,,,,2500,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.8393309,,,,,,,,,,,,,,,,,,,,43.7129681,,,,,,МБАЛ Исперих,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,36,,28.3381256,,,,,,,,ул. Васил Левски,,,,,,,,,,,,43.4257546,,Каварна,,,,МБАЛ Каварна,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,26.9945433,,,,,,,,,,,,,,,,,,,,42.6502385,,,,,,МБАЛ Карнобат,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,24.0782660,,,,,,,,,,,,,,,,,,,,43.4865973,,,,,,МБАЛ Кнежа,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,25.1331542,,,,,,,,,,,,,,,,,,,,43.3667891,,,,,,МБАЛ Левски,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,24.1596108,,,,,,,,,,,,,,,,,,,,43.2125558,,,,,,МБАЛ Луковит,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,23.7097807,,,,,,,,,,,,,,,,,,,,43.1473050,,,,,,МБАЛ Мездра,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,23.2740112,,,,,,Bing 2012 (locally calibrated by GPS tracks),,,,,,,,,,,,,,42.6885230,,,,,,МБАЛ Надежда,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.9452521,,,,,,,,,,,,,,,,,,,,43.7314943,,,,,,МБАЛ Оряхово,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,,,,,24.1691689,,,,,,,,,,,,,,,,,,,,42.7028422,,,,,,МБАЛ Пирдоп,,,,,,,,hospital,,,,,
hospital,,,,,,,,,,,,,Грязелечебница,,,,27.6384825,,,,,,,,,,,,,,,,,,,,42.5635441,,,,,,МБАЛ Поморие,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.2069226,,,,,,,,,,,,,,yes,,,,,,41.3981825,,,,,,МБАЛ Рокфелер,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.6354232,,,,,,,,,,,,,,,,,,,,42.4234572,,,yes,,,МБАЛ Св. Иван Рилски,,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,30,,26.5147807,,,,,,,,Панйот Хитов,,,,,,yes,,,,,,42.4875285,,Ямбол,,,,МБАЛ Св. Пантелеймон,,,,8600,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,27.9335944,,,,,,,,,,,,,,,,,,,,43.2258763,,,,,,МБАЛ Света Марина,,,,,yes,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7364568,,,,,,,,,,,,,,,,,,,,42.1397087,,,yes,,,МБАЛ Свети Георги,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.7430412,,,,,,,,,,,,,,no,,,,,,42.1363392,,,yes,,,МБАЛ Свети Мина,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.5663018,,,,,,,,,,,,,,,,,,,,41.9319522,,,,,,МБАЛ Хасково,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.0848629,,,,,,,,,,,,,,,,,,,,43.2733278,,,,,,МБАЛ Червен бряг,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.9443754,,,,,,,,,,,,,,,,,,,,42.2927025,,,,,,МБАЛ д-р Димитър Чакмаков,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,25.0957690,,,,,,,,,,,,,,,,,,,,41.3786431,,,,,,МБАЛ проф. д-р. Асен Шопов,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,24.3110654,,,,,,,,,,,,,,,,,,,,42.0392062,,,,,,МБАЛ проф.Димитър Ранев,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,23.9992791,,,,,,,,,,,,,,,,,,,,42.8401779,,,,,,МБАЛ „Проф.д-р Ал.Герчев” Етрополе,,,,,yes,,,,,yes,,,
hospital,,,general;emergency;intesive_care;cardiovascular_disease,,,,,,,,yes,Dr. Peter Keremedchiev,,,66,,23.5593930,,,,2,"The management of the hospital is carried out in accordance with the Law on Medical Institutions by the Executive Director - Dr. Peter Keremedchiev, the Director of Financial and Economic Activities - Tanya Peshkovska and Chief Nurse Daniela Genova.",,,bul. 2-ri Yuni,mbal_vratsa@mbalvratsa.org,https://www.mbalvratsa.org,+35992 923072,,"The hospital currently has 300 beds and 576 staff.  The mission of the hospital is to provide high quality and comprehensive health care in diagnostic, curative and rehabilitation activities, to provide inpatient and outpatient treatment.",yes,,,,+35992923039,,43.1984838,,Vratsa,,MBAL Hristo Botev,public,"МБАЛ „Христо Ботев""",,,,3001,yes,,09/1888,hospital,40.196495 23.558492,,,BG,
