drinking_water,amenity,healthcare:speciality,building:part,lon,roof:colour,wikidata,alt_name,operator,name:ru,addr:housenumber,short_name,building:levels,contact:phone,wikipedia,name:de,source,roof:material,addr:street,email,website,fax,name:sl,source:addr,emergency,roof:angle,name:etymology:wikipedia,source:date,phone,lat,addr:city,building,name:en,name,roof:shape,addr:postcode,wheelchair,name:etymology:wikidata,healthcare,relation,toilets:wheelchair,landuse,addr:country,name:it
,hospital,,,14.5219009,,,,UKC,,,,,,,,,roof_tiles,,,,,,,,,,,,46.0560848,,hospital,,Klinični oddelek za gastroenterologijo,hipped,,,,,,,,,
,hospital,,,14.5233779,,,,,,,,,,,,,,,,,,,,,,,,,46.0532416,,yes,,Leonišče,,,,,hospital,,,,,
,hospital,,,15.5766830,,,,Univerzitetni klinični center Maribor,,7,,,,,,,,Slivniško Pohorje,,,,,,,,,,,46.4831385,Pohorje,yes,,Oddelek za pljučne bolezni,,2208,,,,,,,,
,hospital,,,14.5291640,,,,,,46,,,,,,,,Grablovičeva ulica,,,,,,,,,,,46.0552459,Ljubljana,hospital,,Očesna klinika Ljubljana,,1000,,,hospital,,,,,
yes,hospital,,,15.6404030,,,,,,,,,,,Trinkhalle,,,Zdraviliški trg,,,,,,,,,,,46.2389391,Rogaška Slatina,yes,,Pivnica Donat,,3250,,,,,,,,
,hospital,,,14.5693615,,,,,,,,,,,,,,,,,,,,,,,,,46.0518964,,yes,,Psihiatrična klinika Ljubljana,,,,,,,,,,
,hospital,,,14.4828394,,,,,,35,,2,,,,,,Derčeva ulica,,,,,,,,,,,46.0713751,Ljubljana,office,,Specialistični pregledi,,1000,,,,,,,,
,hospital,,,15.5780869,,,,,,62,,,,,,,,Bistriška cesta,,,,,,,,,,,46.3130359,Poljčane,yes,,Splošna Ambulanta Poljčane,,2319,,,,,,,,
,hospital,,,13.6851455,,,,,,40,,,,,,,,Polje,info@sb-izola.si,https://www.sb-izola.si/,+386 5 6606 305,Splošna Bolnišnica Izola,,yes,,,,+386 5 6606 299,45.5449708,Izola-Isola,,,Splošna Bolnišnica Izola - Ospedale Generale Isola,,6310,,,,,,,SI,Ospedale Generale Isola
,hospital,,,15.0812473,,,,,,,,,,,,,,,,,,,,yes,,,,,46.5092984,,,,Splošna Bolnišnica Slovenj Gradec,,,,,,,,,,
,hospital,,,15.0821904,,,,,,,,,,,,,,,,,,,,,,,,,46.5084666,,yes,,Splošna bolnišnica,,,yes,,,,,,,
,hospital,,,15.1630882,,,,,,1,,,,,,,,Šmihelska cesta,,,,,,,,,,,45.8001691,Novo mesto,yes,,Splošna bolnišnica,,8000,yes,,,,,,,
,hospital,,,15.5937925,,,,,,15,,,,,,,,Černelčeva cesta,,,,,,,,,,,45.9089144,Brežice,,,Splošna bolnišnica Brežice,,8250,,,,,,,,
,hospital,,,15.2606090,,,,,,,,,,,,,,Oblakova ulica,,,,,,,,,,,46.2324647,Celje,,,Splošna bolnišnica Celje,,3000,yes,,,,yes,,,
,hospital,,,14.0378893,,,,,,,,,,,,,,,,,,,,,,,,,46.4434432,,,,Splošna bolnišnica Jesenice,,,,,,,,commercial,,
,hospital,,,16.1856969,,,Bolnišnica Rakičan,,,6,,,,,,,,Ulica dr. Vrbnjaka,,https://www.sb-ms.si/,,,,yes,,,,,46.6484582,Rakičan,,Murska Sobota general hospital,Splošna bolnišnica Murska Sobota,,9000,,,hospital,,,,,
,hospital,,,15.8757550,,,,,,,,,,,,,,,,,,,,yes,,,,,46.4279247,,,,Splošna bolnišnica dr. Jožeta Potrča Ptuj,,,yes,,,,,,,
,hospital,ophthalmology;orthopaedics;gynaecology;surgery;paediatrics;emergency;cardiology;geriatrics;radiology;internal,,13.6395990,,,,,,13A,,9,,,,,,Ulica padlih borcev,,http://www.bolnisnica-go.si/,,,,yes,,,,,45.9330110,Šempeter pri Gorici,,,Splošna bolnišnica »Dr. Franca Derganca« Nova Gorica,,5290,,,hospital,,,,,
,hospital,,,15.6408477,,,,,,9,,,,,,,,Zdraviliški trg,,,,,,,,,,,46.2388383,Rogaška Slatina,yes,,Terapija,,3250,,,,,,,,
,hospital,,,14.5202926,,Q6470942,UKC Ljubljana,,,7,,,,,,,,Zaloška cesta,,https://www.kclj.si/,,Univerzitetni klinični center,,yes,,,,,46.0548693,Ljubljana,yes,University Medical Centre Ljubljana,Univerzitetni klinični center Ljubljana,,1000,yes,,,,,,,
,hospital,,,15.6492422,,Q12805065,Bolnica Maribor;Bolnišnica Maribor,,Университетский клинический центр Марибор,5,UKC Maribor,,,,Universitätsklinikum Maribor,,,Ljubljanska ulica,,http://www.ukc-mb.si,,,,yes,,,,+386 2 321 10 00,46.5510318,Maribor,,University Medical Centre Maribor,Univerzitetni klinični center Maribor,,2000,yes,,,,,,,
,hospital,,,14.5243584,,,,,,51,,,,,,,,Linhartova cesta,,,,,,,,,,,46.0680333,,,,Univerzitetni rehabilitacijski inštitut Republike Slovenije - Soča,,1000,yes,,,,yes,,,
,hospital,,,15.8752805,,,,,,,,,,,,,,,,,,,,,,,,,46.4260436,,yes,,Urgenca,,,,,,,,,,
,hospital,,,13.7305527,,,,,,,,,,,,,,,,,,,,,,,,,45.5804744,,,,Valdoltra Ortopedska Bolnišnica,,,,,,,,,,
,hospital,,,14.6528267,,,,,,14,,,,,,,,Pod gozdom cesta I,,,,,,,,,,,45.9597725,Grosuplje,yes,,ZD Grosuplje,,1290,,,,,,,,
,,,,14.6530558,,,,,,14,,,,,,,,Pod gozdom cesta I,,,,,,,,,,,45.9595707,Grosuplje,yes,,ZD Grosuplje,,1290,,,,,,,,
,hospital,,,14.5315846,,,,,,,,,,,,,,,,,,,,,,,,,46.0562106,,yes,,ZD Ljubljana - MOSTE-POLJE,,,,,,,,,,
,hospital,,,14.5246430,,,,,,6,,,,,,,,Šlajmerjeva ulica,,,,Zavod RS za transfuzijsko medicino,,no,,,,,46.0541296,Ljubljana,yes,Institute for transfusionary medicine,Zavod RS za transfuzijsko medicino,,1000,,,hospital,,,,,
,hospital,,,14.3531117,,,,Osnovno zdravstvo Gorenjske,,10,,,,,,,,Gosposvetska ulica,,,,,"GURS, 8.11.2016",,,,,,46.2487383,Kranj,hospital,,Zdrastveni dom Kranj,,4000,,,,,,,,
,hospital,,,15.0817966,,,,,,,,,,,,,,,,,,,,,,,,,46.5069207,Slovenj Gradec,yes,,Zdravstveni Dom,,,,,,,,,,
,hospital,,,13.7322074,,,,,,,,,,,,,,,,,,,,,,,,,45.5396937,,,,Zdravstveni Dom Koper,,,,,,,,,,
,hospital,,,15.1622176,,,,,,,,,,,,,,,,,,,,,,,,,45.8014829,,yes,,Zdravstveni dom,,,yes,,,,,,,
,hospital,,,14.5109652,,,,,,10,,,,,,,,Kržičeva ulica,,,,,,,,,,,46.0647107,Ljubljana,yes,,Zdravstveni dom,,1000,,,,,,,SI,
,hospital,,,15.6340617,,,,,,10,,,,,,,,Celjska cesta,,,,,,,,,,,46.2393506,Rogaška Slatina,yes,,Zdravstveni dom,,3250,,,,,,,,
,hospital,,,14.1087336,,,,,,,,,,,,,,,,,,,,,,,,,46.3715951,,public,,Zdravstveni dom Bled,,,,,,,,,,
,hospital,,,15.2629202,,,,,,,,,,,,,,,,,,,,,,,,,46.2320416,,yes,,Zdravstveni dom Celje,,,yes,,,,,,,
,hospital,,,14.3656569,,,,,,17,,,,,,,,Cesta 4. maja,,,,,,,,,,,45.7915497,Cerknica,yes,,Zdravstveni dom Cerknica,,1380,,,,,,,,
,hospital,,,14.6776918,,,,,,,,,,,,,,,,,,,,,,,,,46.0940015,,yes,,Zdravstveni dom Dolsko,,,,,,,,,,
,hospital,,,14.5963693,,,,,,2,,,,,,,,Mestni trg,,,,,,yes,,,,,46.1398576,Domžale,yes,,Zdravstveni dom Domžale,,1230,,,,,,,,
,hospital,,,15.6267712,,,,,,,,,,,,,,,,,,,,,,,,,46.4562998,,,,Zdravstveni dom Fram,,,,,,,,,,
,hospital,,,13.6604463,,,,,,11,,,,,,,,Ulica oktobrske revolucije,,,,,,yes,,,,,45.5345953,Izola,yes,,Zdravstveni dom Izola,,6310,,,,,,,,
,hospital,,,14.0449418,,,,,,78,,,,,,,,Cesta maršala Tita,,,,,GURS,,,,8.11.2016,,46.4402939,Jesenice,yes,,Zdravstveni dom Jesenice,,4270,,,,,,,,
,hospital,,,14.6130757,,,,,,26,,,,,,,,Novi trg,,,,,,yes,,,,,46.2216688,Kamnik,yes,,Zdravstveni dom Kamnik,,1241,yes,,,,,,,
,hospital,,,13.5781474,,,,,,,,,,,,,,,,,,,,,,,,,46.2472883,,apartments,,Zdravstveni dom Kobarid,,,,,hospital,,,,,
,hospital,,,14.3537490,,,,Osnovno zdravstvo Gorenjske,,10a,,,,,,,,Kidričeva cesta,,,,,"GURS, 8.11.2016",,,,,,46.2485413,Kranj,hospital,,Zdravstveni dom Kranj,,4000,,,,,,,,
,hospital,,,15.4832334,,,,,,132c,,,+386 7 4880200,,,,,Cesta Krških žrtev,,,,,,yes,,,,,45.9430913,Krško,yes,,Zdravstveni dom Krško,,8270,,,,,,,,
,hospital,,,14.4872853,silver,,,,,10,,2,,,,,,Šestova ulica,,https://www.zd-lj.si/zdlj/,,,,,10,,,,46.0464308,Ljubljana,hospital,,"Zdravstveni dom Ljubljana, enota Vič-Rudnik",gabled,1000,,,,,,,,
,hospital,,,14.4869466,silver,,,,,10,,,,,,,,Šestova ulica,,https://www.zd-lj.si/zdlj/,,,,,10,,,,46.0466040,Ljubljana,yes,,"Zdravstveni dom Ljubljana, enota Vič-Rudnik",hipped,1000,,,,,,,,
,hospital,,,14.4869410,silver,,,,,10,,,,,,,,Šestova ulica,,https://www.zd-lj.si/zdlj/,,,,,,,,,46.0464762,Ljubljana,yes,,"Zdravstveni dom Ljubljana, enota Vič-Rudnik",flat,1000,,,,,,,,
,hospital,,,14.4055907,,,,,,,,,,,,,,,,,,,,,,,,,46.1457838,,yes,,Zdravstveni dom Medvode,,,,,,,,,,
,hospital,,,14.5150286,,,,,,9,,,,,,,,Metelkova ulica,,,,,,yes,,,,,46.0568520,Ljubljana,yes,,Zdravstveni dom Metelkova,,1000,yes,,,,,,,
,hospital,,,14.7471923,,,,,,,,,,,,,,,,,,,,,,,,,46.1373708,,yes,,Zdravstveni dom Moravče,,,,,,,,,,
,hospital,,,15.9026067,,,,,,51,,,,,,,,Videm pri Ptuju,,,,,,,,,,,46.3692239,Videm pri Ptuju,yes,,Zdravstveni dom Videm pri Ptuju,,2284,,,hospital,,,,,
,hospital,,,14.2933391,,,,,,,,,,,,,,,,,,,,yes,,,,,45.9629571,,yes,,Zdravstveni dom Vrhnika,,,,,,,,,,
,hospital,,,15.8284543,,,,,,,,,,,,,,,,,,,,,,,,,46.5773109,Lenart v Slov. Goricah,yes,,Zdravstveni dom lenart,,2230,,,,,,,,
,hospital,,,14.5318629,,,,,,,,,,,,,,,,,,,,,,,,,46.1031662,,yes,,Zdravstveni dom Črnuče,,,,,,,,,,
,hospital,,,14.4873610,,,,,,5,,,,,,yahoo,,Derčeva ulica,,https://www.zd-lj.si/zdlj/index.php?option=com_k2&view=item&layout=item&id=159&Itemid=271,,,,,,,,,46.0690035,,hospital,,Zdravstveni dom Šiška,,,,Q2354591,,,,,,
,hospital,,,14.3126890,,,,,,,,,,,,,,,,,,,,,,,,,46.1662526,,yes,,Zdravstveni dom Škofja Loka,,,,,,,,,,
,hospital,,,14.5765075,,,,,,25,,,,,,,,Kočevska cesta,,,,,,no,,,,,45.9807367,Škofljica,yes,,Zdravstveni dom Škofljica,,1291,,,,,,,,
,hospital,,,15.6715022,,,,Šolmed,,103,,,,,,,,Zagrebška cesta,,,,,,,,,,08 205 75 70,46.5235822,Maribor,yes,,Šolska in pediatrična ambulanta,,2000,,,,,,,,
,hospital,,,14.5007116,,,,"Splošna ambulanta 5, Fizioterapija",,1,,,,,,,,Pivovarniška ulica,,,,,,,,,,,46.0608944,Ljubljana,yes,,Železniški zdravstveni dom,,1000,,,,,,,,
