amenity,drive_through,office,contact:website,name:pt,payment:debit_cards,wikidata,alt_name,operator,brand:wikipedia,addr:housenumber,TIPO,building:levels,opening_hours,contact:phone,lon,access,source,brand:wikidata,covered,addr:street,email,highway,website,addr:unit,fax,emergency,contact:email,payment:cash,brand,phone,old_name,lat,addr:city,building,contact:facebook,name,NOME,addr:postcode,wheelchair,level,addr:place,dispensing,healthcare,addr:country
pharmacy,,,,,,,,,,,,,,,-8.4004373,,,,,,,,,,,,,,,,,40.4896554,,,,Farmácia Duarte,,,,,,,,
pharmacy,,,https://www.facebook.com/Farmacia-Estacio-Xabregas-1711644005725577,,,,,,,1,,,Mo-Sa 09:00-21:00; Su 10:00-20:00,+351 213 225 540,-9.1126242,,,,,Rua Bispo de Cochim,,,,,,,farmacia.estacio.xabregas@gmail.com,,,,,38.7243475,,yes,,Farmácia Estácio Xabregas,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.2979500,,,,,,,,,,,,,,,,,40.7995267,,,,Farmácia Fernandes,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.5085209,,,,,,,,,,,,,,,,,40.6214566,,yes,,Farmácia Ferreira,,,,,,no,,
pharmacy,,,,,,,,,,,,,,,-8.6094578,,,,,,,,,,,,,,,,,41.1493083,,yes,,Farmácia Ferreira Carvalho,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-7.4909921,,,,,,,,,,,,,,,,,39.8257056,,yes,,Farmácia Ferrer,,,,,,,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6167649,,,,,,,,,,,,,,,,,41.1500362,,yes,,Farmácia Figueiredo,,,,,,yes,,
pharmacy,,,,,,,,,,99,,,Mo-Fr 09:00-19:30; Sa 09:00-13:00,,-8.6023836,,,,,Rua da Firmeza,,,,,,,,,,,,41.1509557,Porto,yes,,Farmácia Firmeza,,4000-228,,,,yes,,PT
pharmacy,,,,,,,,,,,,,,,-16.8042292,,,,,,,,,,,,,,,,,32.6688514,,yes,,Farmácia Gaula,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,69,,,,,-7.4910796,,,,,Rua de Santo António,,,,,,,,,,+351 272 344 542,,39.8245912,Castelo Branco,yes,,Farmácia Grave,,6000-180,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6147468,,,,,,,,,,,,,,,,,41.1479694,,yes,,Farmácia Guilherme Fernandes,,,,,,yes,,
pharmacy,,,,остановка тур автобуса. 18евро день,,,,,,,,,,,-8.6062924,,,,,,,,,,,,,,,,,41.1445711,,yes,,Farmácia Herculano,,,,,,yes,,
pharmacy,,,,,,,,,,135,,,,,-27.2191335,,,,,Rua Direita,,,,,,,,,,,,38.6557667,Angra do Heroismo,shop,,Farmácia Lisboa,,9700-066,,,,yes,,
pharmacy,,,,,,,,,,14,,,Mo-Su 08:00-24:00,,-7.7564957,,,,,Rua da Estremadura,farmacialordelo@farmacialordelo.com,,https://www.farmacialordelo.com/,,,,,,,+351 259 341031,,41.3069898,Vila Real,yes,,Farmácia Lordelo,,5000-546,yes,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.7079956,,,,,,,,,,,,,,,,,40.4155510,,yes,,Farmácia Manaia,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.3218660,,,,,Rua Catarina Eufémia,,,,,,,,,,+351 266 877 665,,38.7209151,,yes,,Farmácia Mayer,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.3745559,,Bing,,,,,,,,,,,,,,,41.2773000,,yes,,Farmácia Moderna,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.7735453,,,,,,,,,,,,,,,,,41.6289682,,yes,,Farmácia Moreira,,,,,,,,
pharmacy,,,,,,,,,,23,,,,,-7.8413407,,,,,Rua da Igreja,,,,,,,,,,,,38.8318474,Vimieiro,yes,,Farmácia Moreira,,7040,,,,,pharmacy,
pharmacy,yes,,,,,,,,,,,,,,-8.4836926,,,,,Rua de Santo António,,,,,,,,,,,,39.5517404,Soudos,yes,,Farmácia Nascimento,,2350-201,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.4863161,,,,,,,,,,,,,,,,,39.4019062,,yes,,Farmácia Oliveira Freire,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.8402426,,,,,,,,,,,,,,,,,39.8287839,,yes,,Farmácia Ortigosa,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6809634,,,,,,,,,,,,,,,,,41.3794200,,,,Farmácia Padrão,,,,,,no,,
pharmacy,,,,,,,,,,26,,,Mo-Fr 09:00-19:00; Sa 09:00-13:00,,-7.4756780,,,,,Avenida de Santo Amaro,farmaciapfiles@gmail.com,,,,,,,,,+351 276 318816,,41.7388120,Chaves,,https://www.facebook.com/pg/Farm%C3%A1cia-Paula-Files-305936952865804/,Farmácia Paula Files,,5400-055,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-16.8290547,,,,,,,,,,,,,,,,,32.7711151,,,,Farmácia Penha d'Aguia,,,,,,no,,
pharmacy,,,,,,,,,,,,,,,-9.1406898,,,,,Rua Doutor Augusto Saudade Silva,,,,,,,,,,,,39.4045388,Caldas da Rainha,yes,,Farmácia Perdigão,,2500-116,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.4788267,,,,,,,,,,,,,,,,,39.8256833,,yes,,Farmácia Pereira Rebelo,,,,,,,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.3580415,,,,,,,,,,,,,,,,,41.0382382,,yes,,Farmácia Pinho Lopes,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.0212801,,,,,,,,,,,,,,,,,37.1389033,,yes,,Farmácia Pinto,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,44 e 46,,,"09:00-13:00,15:00-19:00",,-16.9762991,,,,,Rua São João de Deus,,,,,,,,,,,,32.6489241,Câmara de Lobos,yes,,Farmácia Popular,,9300,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.4007415,,,,,,,,,,,,,,,,,37.1267573,,yes,,Farmácia Porches,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6151884,,,,,,,,,,,,,,,,,41.1453930,,yes,,Farmácia Porta do Olival,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6277210,,,,,,,,,,,,,,,,,41.0495263,,,,Farmácia Portuense,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-7.2261445,,,,,,,,,,,,,,,,,38.2107572,,,,Farmácia Portugal,,,,,,,,
pharmacy,,,,,,,,,,,,,Tu-Su 08:00-15:00;Sa 08:00-12:00,,-8.3340774,,,,,,,,,,,,,,,,,41.2068784,,yes,,Farmácia Ruão,,,,,,yes,,
pharmacy,,,,,,,,Farmácia S. Bento,,17,,2,09:00-20:00,,-27.2100351,,,,,Largo de S.Bento,,,,,,,,,,+351295213299,,38.6602501,Angra do Heroísmo,commercial,,Farmácia S. Bento,,,,,S. Bento,yes,,
pharmacy,,,,,,,,,,,,,Mo-Su 08:30-21:00,,-9.1148336,,,,,,,,,,,,,,,,,38.7984874,,yes,,Farmácia Sacavém,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.2767637,,,,,,,,,,,,,,,,,41.2718437,,,,Farmácia Silva Rocha Unip. Lda,,,,,,,,
pharmacy,,,,,,,,,,2,,,,,-9.3487290,,,,,Estrada de Mem Martins,memmartins@farmaciasilveira.com,,http://www.farmaciasilveira.com/,,219 229 165,,,,,219 229 045,,38.7804251,Mem Martins,commercial,,Farmácia Silveira,,2725-109,,,,,,PT
pharmacy,,,,,,,,,,,,,,,-7.4673276,,,,,,,,,,,,,,,,,40.0969468,,,,Farmácia Trindade Lourenço,,,,,,,,
pharmacy,no,,,,,,,,,,,,24/7,,-8.7009633,,,,,Rua João Pinto Figueiredo,,,,,,,,,,,,39.0496960,Marinhais,yes,,Farmácia União,,2125-181,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.4317473,,,,,,,,,,,,,,,,,40.1109416,,yes,,Farmácia Vale de Prazeres,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-25.6587609,,,,,,,,,,,,,,,,,37.7515319,,apartments,,Farmácia da Associação de Socorros Mútuos,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-16.8457791,,,,,,,,,,,,,,,,,32.6805249,,yes,,Farmácia da Camacha,,,,,,,,
pharmacy,,,,,,,,,,380 382,,,,,-8.6774744,,,,,Rua da Senhora da Luz,,,,,,,,,,,,41.1522899,Porto,yes,,Farmácia da Foz,,4150-694,,,,yes,pharmacy,
pharmacy,,,,,,,Farmácia da Madalena,,,,,,,,-16.9313068,,,,,,,,,,,,,,,,,32.6599231,,,,Farmácia da Madalena,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-7.9127927,,,,,,,,,324,,,,,,,,40.6528631,,yes,,Farmácia da Misericórdia,,,,,,,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6101904,,,,,,,,,,,,,,,,,41.1516756,,hospital,,Farmácia da Ordem da Trindade,,,,,,yes,,
pharmacy,,,,,,,,,,,,,09:00-19:00,,-8.9295537,,,,,Rua 5 de Outubro - Vieira de Leiria,,,,,,,,,,,,39.8699493,Marinha Grande,yes,,Farmácia da Praia,,,,,,,,
pharmacy,,,,,,,,,,188,,,,,-9.4199621,,,,,Rua de Alvide,,,,,,,,,,,,38.7086677,Cascais,yes,,Farmácia das Fontaínhas,,,,,,,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6403139,,Bing,,,,,,,,,,,,,,,41.0833693,,yes,,Farmácia de Francelos,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.6546015,,,,,,,,,,,,,,,,,41.1727998,,yes,,Farmácia de Pereiró,,,,,,,,
pharmacy,,,,,,,,,,,,,09:00-19:30,,-17.1935507,,,,,,,,,,,,,,,,,32.7332506,,,,Farmácia do Estreito da Calheta,,,yes,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.4610272,,,,,,,,,,,,,,,,,40.1953619,,hospital,,Farmácia dos Covões,,,,,,,,
pharmacy,no,,,,,,,,,,,,,,-8.0602401,,,,,,,,,,,,,,,,,37.5125088,,yes,,Farmácia Áurea,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.4301709,,,,,,,,,,,,,,,,,40.1590608,,,,Juca_Farma,,,,,,yes,,
pharmacy,,,,,,Q1410441,,,,,,,,,-7.7259011,,,,,,,,,,,,,,,,,41.2981589,,yes,,Mateus,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.4359614,,,,,,,,,,,,,,,,,39.9135197,,yes,,Moniz Nogueira,,,,,,,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.9032375,,,,,,,,,,,,,,,,,40.5036690,,,,Pelourinho,,,,,,,,
pharmacy,,,,,,,,,,,,,Segunda a Sexta-Feira das 09h00 às 18h00 / Sábado das 09h00 às 13h00,,-25.2657036,,http://cmnordeste.pt,,,Rua do Ramal,,,,,,,,,,+351 296 452187,,37.8510955,Achada,yes,,Posto Farmacêutico da Santa Casa da Misericórdia da Achada,,9630,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.0468872,,,,,,,,,,,,,,,,,37.2412368,,yes,,Posto Farmacêutico de Salir,,,,,,yes,pharmacy,
pharmacy,,,,,,,,Farmácia,,,,,,,-31.1129789,,,,,,,,,,,,,,,,,39.6729627,,yes,,Posto da Farmácia da Santa Casa da Misericórdia,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-27.2697077,,Field work,,,,,,,,,,,,,,,38.6568554,,,,São Mateus's Pharmacy ,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6148404,,,,,,,,,,,,,,,,,40.6495627,,,,Wells,,,,0,,no,,
