health_facility:type,shop,office,healthcare:speciality,building:part,description:de,social_facility,building:type,addr:housenumber,toilets,fenced,addr:state,ele,source,image,fax,survey:date,name_alt,emergency,fixme,leisure,historic,ref:gdke,wikimedia_commons,addr:street,contact:facebook,name:en,contact:fax,name,wheelchair:description,addr:postcode,roof:material,ref:bldam,internet_access:fee,roof:orientation,registration_hours,disused,internet_access,health_specialty:psychiatry,designation,roof:height,provided_for:adolescent,loc_name,building:name,source:addr,capacity,wikipedia,language:others,access,check_date,ref,email,highway,building:height,barrier,contact:email,roof:shape,building:use,health_specialty:psychotherapy,health_specialty:psychiatrics,source:geometry,addr:city,roof:direction,language:de,health_person:type,toilets:wheelchair,provided_for:child,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,construction_date,operator,short_name,service,area,opening_hours,contact:phone,addr:housename,vehicle,start_date,website,heritage:description:de,health_specialty:rheumatology,heritage,telephone,source:date,phone,old_name,smoking,opening_hours:signed,note_de,source:url,landuse,wheelchair,contact:mail,amenity,operator:type,addr:hamlet,addr:suburb,official_name,building:min_level,wikidata,social_facility:for,health_specialty:cardiology,medical_system:western,addr:district,building:levels,note,kvl_hro:type,old_amenity,description,TMC:cid_58:tabcd_1:LocationCode,building:material,healthcare,fence_type,kvl_hro:amenity,health_specialty:orthopaedics,lat,addr:subdistrict,building,building:colour,url,roof:levels,addr:place,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:Class,year_of_construction,healthcare:for,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admedia Plauen GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1223378,,,,,,,,,,,,,,,,,http://www.admedia-reha.de,,,,,,+49 3741 2895 100,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,50.5025601,,,,,,,,,,,,,
,,,cardiology,,,,,166,,,,,,,+49 2642 407-155,,,,,,,,,Hauptstraße,,,,Ahrtal-Klinik Bad Bodendorf,,53489,,,,,,,,,,,,,,,,,,,,,info@ahrtal-klinik.de,,,,,,,,,,Sinzig,,,,,,7.2125663,,,,,,,,,,,,,,,,,https://ahrtal-klinik.de,,,,,,+49 2642 407-0,,,,,,,,,clinic,,,Bad Bodendorf,,,,,,,,,,,,,,,clinic,,,,50.5579276,,hospital,,,,,,,,,DE,,
,,,,,,,,8,,,,,,,+49 2473 689893,,,,,,,,,Kammerbruchstraße,,,,Alexianer Khs Tagesklinik,,52152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simmerath,,,,,,6.3011113,,,,,,,,,,,,,,,,,,,,,,,+49 2473 689895,,,,"Tagesklinik für Psychiatrie, Psychotherapie und Psychosomatik",,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.6050623,,hospital,,,,,,,,,DE,,
,,,,,,,,20b,,,,,,,,,,,,,,,,Am Eisenbrand,,,,Alexianer-Klinik Meerbusch,,40667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meerbusch,,,,,,6.6753751,http://www.alexianer-krefeld.de/,,,,,,,Alexianer,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.2484017,,yes,,,,,,,,,DE,,
,,,,,,,,20c,,,,,,,,,,,,,,,,Am Eisenbrand,,,,Alexianer-Klinik Meerbusch GmbH,,40667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meerbusch,,,,,,6.6755453,,,,,,,,Alexianer,,,,,,,,,https://www.alexianer-krefeld.de/unsere_angebote/krankenhaus_maria_hilf_psychiatrische_kliniken/klinik_fuer_allgemeinpsychiatrie_und_psychotherapie/alexianer_klinik_meerbusch/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.2484292,,yes,,,,,,,,,DE,,
,medical_supply,,orthopaedics,,,,,2,,,,,,,,,,,,,,,,Kärntenstraße,,,,AlphaMed Orthopädisch-unfallchirurgische Praxisklinik,Praxis barrierefrei über Rampe,96052,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,Bamberg,,,,yes,,10.9044231,http://www.alphamed-bamberg.de/,,,,,,,,,,,,+40 951 9179730,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,2,,,,,,,clinic,,,,49.9096910,,yes,,,,,,,,,DE,,
,,,,,,,,45,,,,,,,,,,,,,,,,Mehringer Straße,,,,Ambulante Beatmungs- und Intensivpflege,,84489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burghausen,,,,,,12.8269097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.1700384,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulantes Zentrum Albertus Magnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0274565,,,,,,,,St. Marien-Krankenhaus gGmbH,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,centre,,,,50.8807496,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,Schillingstraße,,,,Ambulatorium Schillingstraße 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin,,,,,,13.4218568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,clinic,,,,52.5186986,,yes,,,,,,,,,,,
,,,,,,,,23,,,,,,,+49 821 50282-52,,,,,,,,,Halderstraße,,,,ArthroKlinik Augsburg,,86150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augsburg,,,,,,10.8903116,,,,,,,,,,,,,,,,,https://arthro-klinik.de,,,,,,+49 821 50282-0,,,,,,,,,clinic,,,,,,,,,,,7,,,,,,,clinic,,,,48.3646051,,yes,,,,,,,,,DE,,
,,,,,,,,17,,,,,,,,,,,,,,,,Werner-Petzold-Straße,,,,Asklepios Fachklinikum Tagesklinik,,07549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gera,,,,,,12.0639901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.8374233,,,,,,,,,,,DE,,
,,,,,,,,66,,,,,,,,,,,,,,,,Leher Heerstraße,,,,AugenZentrumBauer,,28359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bremen,,,,,,8.8742976,,,,,Ambulante Augen-Operationsklinik,,,,,,,,,,,,http://www.augen-zentrum-bauer.de/,,,,,,+49 421 24684 0,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,53.1016455,,,,,,,,,,,DE,,
,,,ophthalmology,,,,,21,,,,,,,,,,,,,,,,Mittelstraße,,,+4923629998010,Augenarzt Frau Dr. med. Elisabeth Lorens-Glowania,,46514,,,,,,,,,,,,,,,,,,,,,,,,,augenklinik@mvznet.de,,,,,,Schermbeck,,,,,,6.8700549,http://www.augenklinik-dorsten.de,,,,,,,,,,,"We 08:00-12:00,13:30-16:30; Fr 08:00-12:00; Sa 09:00-11:00",+4928534485835,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.6926901,,house,,,,,,,,,DE,,
,,,ophthalmology,yes,,,,,,,,,,,,,,,,,,,,,,,,Augenklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9929249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.4100029,,,,,,,,,,,,,
,,,ophthalmology,,,,,7,,,,,,,,,,yes,,,,,,Elfriede-Aulhorn-Straße,,,,Augenklinik,,72076,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,Tübingen,,,,,,9.0346606,,,,,,,,Universitätsklinikum Tübingen,,,,,,,,2016,https://www.medizin.uni-tuebingen.de/de/Presse_Aktuell/Einrichtungen+A+bis+Z/Kliniken/augenheilkunde/augenklinik-port-10443.html,,,,,,+49 7071 29-88088,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,48.5313034,,hospital,,,,,,,,,DE,,
,,,ophthalmology,,,,,12,,,,,,,,,,,,,,,,Brunnenstraße,,,,Augenklinik Stadthagen,,31655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stadthagen,,,,,,9.2064906,,,,,,,,,,,,,,Augenklinik Stadthagen,,,https://www.augenklinik.org/ueber-uns/klinik-stadthagen/,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.3177315,,yes,,,,,,,,,DE,,
,,,ophthalmology,,,,,,,,,,,,,,,,,,,,,,,,,Augentagesklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6803367,,,,,,,,,,,,,,,,,,,,,,,+49 661 6791240,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.5517674,,yes,,,,,,,,,,,
,,,ophthalmology,,,,,15,,,,,,,,,,,,,,,,Kurfürstenstraße,,,+49-2461-34175-17,Augenzentrum Jülich,,52428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jülich,,,,,,6.3631892,http://www.augen-online.de/,,,,,,,,,,,"Mo-Th 08:00-12:00,14:00-18:00; Fr 08:00-12:00,14:00-17:00",+49-2461-34175-0,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.9277714,,yes,,,,,,,,,DE,,
,,,ophthalmology,,,,,60,,,,,,,,,,,,,,,,Daimlerstraße,,,,Augenzentrum Michelfeld,,74545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michelfeld,,,,,,9.6967191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,49.1024679,,yes,,,,,,,,,DE,,
,,,psychiatry,,,,,7,,,,,,,,,,,,,,,,Campus,,,,Awo Tagesklinik Gifhorn,,38518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gifhorn,,,,,,10.5455445,http://www.awo-psychiatriezentrum.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.4973558,,yes,,,,,,,,,DE,,Q627256
,,,,,,,,16,,,,,,,,,,,,,,,,Lauterbacher Straße,,,,BG Klinik für Berufskrankheiten Falkenstein,,08223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falkenstein/Vogtl.,,,,,,12.3435383,,,,,,,,,,,,,,,,,https://www.klinik-falkenstein.com/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,50.4916645,,yes,,,,,,,,,,,
,,,rehabilitation,,,,,35,,,,,,,,,,,,,,,,Heinrich-von-Bibra-Straße,,,,Betty Ford Klinik,,97769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Brückenau,,,,,,9.7425881,,,,,My Way Betty Ford Klinik,,,,,,,,,,,,https://www.mywaybettyford.com/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,"Suchtklinik; Suchttherapie; Alkohol-, Drogen-, Medikamentensucht",,,clinic,,,,50.3019971,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bezirksklinik Rehau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0374720,https://www.gebo-med.de/standorte/bezirksklinik-rehau,,,,,,,Bezirk Oberfranken,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.2384407,,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BioMed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Bergzabern,,,,,,7.9874894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.0952935,,yes,,,,,,,,,DE,,
,,,,,,,,5,,,,,,,,,,,,,,,,Tischbergerstraße,,,,BioMed,,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Bergzabern,,,,,,7.9887082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.0949861,,yes,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burgenlandklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7245374,http://www.burgenlandklinik.de/,,,,,,,Me­di­net GmbH,,,,,+49 34463 60600,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,51.1359710,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,Oberisnyberg,,,,Celenus Fachklinik Bromerhof,,88260,,,,,,,,,,,,,,,,,,,,,info@fachklinik-bromerhof.de,,,,,,,,,,Argenbühl,,,,,,9.9861829,,,,,,,,Celenus Fachklinik Bromerhof GmbH,,,,Mo-Su 09:00-17:00,,,,,https://fachklinik-bromerhof.de,,,,,,+4975669450,,,,,,,,,clinic,private,,,,,,,,,,,,,,,,,hospital,,,,47.6747826,,yes,,,,,,,,,,,
,,,,,,,,42,,,,,,,,,,no,,,,,,Kurpromenade,,,,Celenus Klinik Bad Herrenalb,,76332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Herrenalb,,,,,,8.4415739,,,,,,,,Celenus-Kliniken GmbH,,,,,,,,,https://www.klinik-bad-herrenalb.de/,,,,,,+49 7083 509-0,,,,,,,limited,,clinic,,,,,,,,,,,,Fachklinik für Psychosomatische Medizin & Rehabilitation,,,,,,,,,,48.8006962,,yes,,,,,,,,,DE,,
,,,,,,,,21,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,no,,,,,,Lindenweg,,,,Celenus Klinik Bad Herrenalb,,76332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Herrenalb,,,,,,8.4424358,,,,,,,,Celenus-Kliniken GmbH,,,,,,,,,https://www.klinik-bad-herrenalb.de,,,,,,+49 7083 509-0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,48.8011179,,yes,,,,,,,,,DE,,
,,,,,,,,32,,,,,,,,,,,,,,,,Riedstraße,,,+49 371 8142111,Celenus Klinik Carolabad,,09117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8171210,http://www.carolabad.de,,,,,,,RehaKonzept GmbH,,,,,+49 371 81420,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.8202309,,yes,,,,,,,,,,,
,,,psychiatry,,,,,,,,,,,,+49 6343 942-299,,,,,,,,,,,,,Celenus Parkklinik Bad Bergzabern,,,,,,,,,,,,,,,,,,de:Celenus Kliniken,,,,,info@parkklinik-bad-bergzabern.de,,,,,,,,,,,,,,,,7.9726517,,,,,,,,,,,,,,,,,https://parkklinik-bad-bergzabern.de,,,,,,+49 6343 942-0,,,,,,,,,clinic,,,,,,,,,,,,,,,Fachklinik für Psychosomatik und Verhaltensmedizin,,,clinic,,,,49.1027368,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrum für Integrierte Onkologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9186899,,,,,CIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9243131,,,,,,,,,,,,,
,,,surgery,,,,,33,,,,,,,,,,,,,,,,Brühlstraße,,,+49 571 8700-48,Chirurgische Innenstadtklinik Minden,,32423,,,,,,,,,,,,,,,,,,,,,,,,,info@innenstadtklink.de,,,,,,Minden,,,,,,8.9173197,http://www.innenstadtklinik.de,,,,,,,Chirurgische Innenstadt Klinik Minden GmbH & Co KG,,,,"Mo-Fr 08:00-12:00,15:00-18:00; Sa-Su 16:00-18:00",+49 571 8700-0,,,,,,,,,,,,,,,,,limited,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.2970339,,,,,,,,,,,,,
,,,surgery,,,,,,,,,,,,,,,,,,,,,,,,,CityClinic Erfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0431290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.9820524,,yes,,,,,,,,,,,
,,,cardiology,,,,,,,,,,,,,,,,,,,,,,,,,Curschmann Klink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7834297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,4,,,,,,,clinic,,,,53.9981531,,yes,,,,,,,,,,,
,,,psychiatry,,,,,11,,,,,,,,,,,,,,,,Karl-Binz-Weg,,,+49 6531 58-13190,Cusanus-Krankenhaus Bernkastel-Kues - Abteilung Psychiatrie und Psychotherapie,,54470,,,,,,,,,,,,,,,,,,,,,,,,,psychiatrie@verbund-krankenhaus.de,,,,,,Bernkastel-Kues,,,,,,7.0637771,https://www.verbund-krankenhaus.de/medizin-pflege/psychiatrie-und-psychotherapie/,,,,,,,,,,,24/7,+49 6531 58-13115,,,2019-10-26,,,,,,,,,,,,,,,,clinic,,,Kues,,,,,,,,,,,,,,,clinic,,,,49.9158853,,hospital,,,,,,,,,DE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLRG / Wasserwacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2248376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.9515251,,yes,,,,,,,,,,,
,,,geriatrics,,,,,10,,,DE,,,,,,,,,,,,,Saaruferstraße,,,,DRK Klinik Mettlach für Geriatrie und Rehabilitation,,66693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mettlach,,,,,,6.5971337,,,,,,,,DRK gemeinnützige Krankenhausgesellschaft mbH Saarland,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,49.4962001,,hospital,,,,,,,,,DE,,
,,,,,,,,10,,,,,,,,,,,,,,,,Maximilianstraße,,,,DRK Tagesklinik Worms,,67547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worms,,,,,,8.3684575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.6349623,,yes,,,,,,,,,DE,,
,,,,,,,,3,,,,,,,,,,,,,,,,Prof.-Paul-Köhler-Straße,,,,Dekimed,,08645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Elster,,,,,,12.2344598,http://www.dekimed.de/klinik/,,,,,,,Deutschen Klinik für Integrative Medizin und Naturheilverfahren GmbH,,,,,,Deutsche Klinik für Integrative Medizin und Naturheilverfahren,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,50.2839865,,yes,,,,,,,,,DE,,
,,,,,,,,7A,,,,,,,,,,,,,,,,Am Finkenhügel,,,,Dermatologie für berufsbedingte Hautkrankheiten,,49076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osnabrück,,,,,,8.0030076,,,,,,,,,,,,,,,,,https://www.iderm.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.2797892,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,Hannoversche Straße,,,,Deutsche Klinik Bad Münder - Zentrum für IVF und Reproduktionsmedizin,,31848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Münder am Deister,,,,,,9.4732244,,,,,,,,"MVZ wagnerstibbe für Gynäkologie, Reproduktionsmedizin, Zytologie, Pathologie und Innere Medizin GmbH",,,,,,,,,https://kinderwunsch.com/,,,,,,+49 5042 940360,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.1978596,,yes,,,,,,,,,,,
,,,,,,,,17–19,,,,,,,,,,no,,,,,,Heßlinger Straße,,,,Diagnostikzentrum Wolfsburg,,38440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsburg,,,,,,10.7949898,,,,,,,,"Dr. med. Klaus Lahme, Joachim Kretschmer, Dr. med. Souzan Hahne",,,,,,,,,http://www.diagnostikzentrum-wolfsburg.de,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,52.4279852,,yes,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,Bautzener Straße,,,+49 3588 264333,Diakonissenanstalt Emmaus,,02906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niesky,,,,,,14.8157833,http://www.emmaus-niesky.de/,,,,,,,Diakonissenanstalt EMMAUS Niesky,,,,,+49 3588 2640,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,51.2942190,,,,,,,,,,,DE,,
,,,,,,,,33,,,,,,,,,,,,,,,,Albert-Schweitzer-Straße,,,,Dialyse Zentrum,,08280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aue,,,,,,12.7197874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,50.5914510,,yes,,,,,,,,,,,
