comment,roof:levels,amenity,start_date,healthcare:speciality,lon,contact:website,roof:colour,addr:suburb,official_name,height,source:date,wikidata,alt_name,operator,internet_access,addr:housenumber,capacity,emergency,religion,building:levels,opening_hours,contact:phone,wikipedia,name:de,note,source,roof:material,ref,email,website,fax,description,short_name,contact:email,building:material,fence_type,contact:facebook,leisure,denomination,barrier,phone,old_name,lat,wikimedia_commons,addr:street,building,building:colour,fixme,name:en,contact:fax,name,roof:shape,url,addr:postcode,wheelchair,addr:place,CLC:surfaceoverlap,addr:city,CLC:year,healthcare,source:url,url:miserend,toilets:wheelchair,CLC:id,disused,addr:country,CLC:code
,,,,,16.5997498,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,47.6775640,,,yes,,,,,E. épület,,,,,,,,,,,,,,,,
,,hospital,,,18.8264442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3856686,,,,,,,,Egészségház,,,,,,,,,,,,,,,,
,,hospital,,,22.1407295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2183358,,Kossuth Lajos utca,,,,,,Egészségház és Patika,,,4631,yes,,,Pap,,,,,,,,,
,,hospital,,,17.8256612,,,,,,,,,Kaposvári Egyetem,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3829002,,Dr. Guba Sándor utca,,,,,,"Egészségügyi Központ (CT, MR)",,,7400,,,,Kaposvár,,,,,,,,,
,,hospital,,,21.9034194,,,,,,,,,,,,,yes,,2,,,,,,,,,,,,,,,,,,,,,,,47.7616914,,,,,,,,Egészségügyi központ,,,,,,,,,,,,,,,,
,,hospital,,,21.6498071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3987012,,,,,,,,Erzsébet Kórház,,,,yes,,,,,,,,,,,,
,,,,,16.5999100,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,47.6777035,,,yes,,,,,F. épület,,,,,,,,,,,,,,,,
,,hospital,,,22.5142596,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9960519,,Damjanich utca,,,,,,Fehérgyarmati Kórház és Gyógyfürdő,,,4900,,,,Fehérgyarmat,,,,,,,,,
,,hospital,,,18.6179292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8891853,,,yes,,,,,Fejér Megyei Önkormányzat Szent György Kórháza és Rendelőintézete,,,,,,,,,,,,,,,,
,,hospital,,,18.2245357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0731468,,,,,,,,Fogászati és Szájsebészeti Klinika,,,,,,,,,,,,,,,,
,,hospital,,otolaryngology;surgery,20.1487527,,,,,,,,,,,111,,,,,,,,,,,,,,http://www.klinikaikozpont.u-szeged.hu/orl/,,,,,,,,,,,,,46.2454724,,Tisza Lajos körút,hospital,,,,,Fül- Orr- Gégészeti és Fej- Nyaksebészeti Klinika,,,6725,,,,Szeged,,hospital,,,,,,,
,,hospital,,,19.0849676,,,,,,,,,,,29,,yes,,10,,,,,,,,,,,,,,,,,,,,,+3612151220,,47.4768380,,Haller utca,yes,,,,,Gottsegen György Országos Kardiológiai Intézet,,,1096,,,,Budapest,,hospital,,,,,,,
,,hospital,,,17.4704257,,,,,,,,,,,,,,,,,,,,,,,,,http://www.papaikorhaz.hu/,,,,,,,,,,,,,47.3273624,,,,,,,,Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő,,,,,,,,,,,,,,,,
,,hospital,,,21.5432495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2266519,,,,,,,,Gróf Tisza István Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,16.6187320,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,+36 94 311 490,,47.2466479,,11-es huszár út,,,,,,"Gyermek és Ifjúság Pszichiátriai Gondozó, Vas megyei",,,9700,,,,Szombathely,,,,,,,,,
,,hospital,,,18.2224283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0696102,,,,,,,,Gyermekklinika,,,,,,,,,,,,,,,,
,,hospital,,psychiatry,18.9655352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6652410,,,,,,,,Gálfi Béla Szakkórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.9302386,,,,,,,,,Honvédelmi Minisztérium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5222705,,,hospital,,,,,"HM 3. számú Rehabilitációs,. Krónikus Utókezelő osztály",,,,,,,,,,,,,,,,
,,hospital,,,19.0926209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4799241,,,,,,,,Heim Pál Gyermekkórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.3951421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5809705,,Dózsa György út,,,,,,Helikopter leszállóhely,,,2800,,,,,,,,,,,,,
,,hospital,,,20.1700975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1544787,,,,,,,,Hetényi Géza Kórház,,,,,,,,,,,,,,,,
,,hospital,,paediatrics,19.0782725,,,,,,,,,Semmelweis Egyetem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4845425,,,,,,,,I. Sz. Gyermekgyógyászati Klinika,,,,,,,,,hospital,,,,,,,
,,,,,16.5976360,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,47.6776296,,,yes,,,,,I. épület,,,,,,,,,,,,,,,,
,,,,,16.5973462,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,47.6767703,,,yes,,,,,I. épület,,,,,,,,,,,,,,,,
,,hospital,,paediatrics,19.0705460,,,,,,,Q1329410,,Semmelweis Egyetem,,,,,,,,,hu:Semmelweis Egyetem Tűzoltó Utcai II. Sz. Gyermekgyógyászati Klinika,,,Bing,,,,,,,,,,,,,,,,,47.4839010,,,hospital,,,,,II. Sz. Gyermekgyógyászati Klinika,,,,,,,,,hospital,,,,,,,
,,,,,16.5983604,,,,,,,,,,,,,,,,,,,,,,,II,,,,,,,,,,,,,,,47.6760274,,,yes,,,,,II. épület,,,,,,,,,,,,,,,,
,,,,,16.5984195,,,,,,,,,,,,,yes,,,,,,,,,,III,,,,,,,,,,,,,,,47.6766734,,,yes,,,,,III. épület,,,,,,,,,,,,,,,,
,,,,,16.5990873,,,,,,,,,,,,,,,,,,,,,,,IV,,,,,,,,,,,,,,,47.6755711,,,yes,,,,,IV. épület,,,,,,,,,,,,,,,,
,,,,,16.5980515,,,,,,,,,,,,,,,,,,,,,,,IX a,,,,,,,,,,,,,,,47.6781076,,,yes,,,,,IX./A. épület,,,,,,,,,,,,,,,,
,,hospital,,,21.7338982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1343871,,,,,,,,Ibrány-Nagyhalász Kistérségi Járóbeteg Szakellátó Intézet,,,,,,,,,,,,,,,,
,,hospital,,,19.0381383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5162084,,,,,,,,Irgalmasrendi Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.1255052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7786224,,,,,,,,Irgalmasrendi kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.0364882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5192245,,,,,,,,Irgalmasrendiek Kórháza,,,,,,,,,,,,,,,,
,,hospital,,,20.6501421,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3162931,,Mária táró,,,,,,Izsófalvi Pszichiátriai Szakkórház,,,3741,,,,Izsófalva,,,,,,,,,
,,hospital,,,19.1368276,,,,,,,,,,,,,,,,,,,,,,,,,https://www.delpestikorhaz.hu/,,,,,,,,,,,,,47.4249336,,,,,,,,Jahn Ferenc Dél-Pesti Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.0594773,,,,,,,,,,,11,,,,,Mo-Su 06:00-19:00,,,,,,,,,https://www.delpestikorhaz.hu/,,,,,,,,,,,+3612782060,,47.4255591,,Déli utca,,,,,,Jahn Ferenc Dél-pesti Kórház Csepeli Weiss Manfréd Telephelye,,,1211,,,,Budapest,,,,,,,,,
,,hospital,,,19.1507978,,,,,,,,,Egyesített Szent István és Szent László Kórház-Rendelőintézet,,62-66,,no,,,,,,,,,,,,,,,,,,,,,,,,,47.4497060,,Jáhn Ferenc utca,,,,,,Jahn Ferenc Rehabilitációs Centrum,,,1195,limited,,,Budapest,,hospital,,,,,,,
,,hospital,,,19.3260349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2978004,,,yes,,,,,Jánoshalmi Kistérségi Egészségügyi Központ,,,,,,,,,,,,,,,,
,,hospital,,,19.1498361,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,47.7821158,,,,,,,,Jávorszky Ödön Városi Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,21.7171179,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,fence,,,47.9794114,,Sóstói út,,,,,,Jósa András Oktató Kórház és Szanatórium,,,4400,yes,,,Nyíregyháza,,,,,,,,,
,,hospital,,,21.7298101,,,,,,,,,,,68,,yes,,,,,,,,,,,,http://www.szszbmk.hu/,+36 42 461 174,,,,,,,,,,+36 42 599 700;+36 42 506 800,,47.9522607,,Szent István utca,,,,,,Jósa András Oktatókórház,,,4400,yes,,,Nyíregyháza,,hospital,,,,,,,
"no helipad, but limited open areas nearby",,hospital,,,16.9973638,,,,,,,,,,,2-8,,yes,,,,,,,,,,,titkarsag@nkkorhaz.hu,http://www.nkkorhaz.hu/,,,,,,,,,,,+36 93 502 092,,46.4505899,,Szekeres József utca,,,,,,Kanizsai Dorottya kórház,,,8800,,,,Nagykanizsa,,hospital,,,,,,,
,,hospital,,,17.7974317,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,46.3603655,,,,,,,,Kaposi Mór Megyei Kórház,,,,,,,,,,,,,,,,
,,hospital,,,17.9921295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3553190,,,,,,,,Kaposi Mór Oktató Kórház Mosdósi Telephely,,,,,,,,,,,,,,,,
,,hospital,,,17.9940832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3549610,,,yes,,,,,Kaposi Mór Oktató Kórház Tüdő és szívkórháza.,,,,,,,,,,,,,,,,
,,hospital,,,17.8252708,,,,,,,,,Kaposvári Egyetem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3818024,,,,,,,,Kaposvári Egyetem Egészségügyi Központ - Sugárterápia,,,,,,,,,,,,,,,,
,,hospital,,,17.2693784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8739999,,,,,,,,Karolina Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.0260048,,,,,,,,,,,20,,,,,,,,,,,,,,http://www.kelen.hu/,,,,,,,,,,,+3612050205,,47.4614914,,Than Károly utca,yes,,,,,Kelen kórház,,,1119,,,,Budapest,,,,,,,,,
,,hospital,,,17.1575087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2556860,,,,,,,,Kemenesaljai Egyesített Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,18.2099522,,,,,,,,,,,,,,,,,,,,,,,,,,,A gyermekkórház alapítója Dr. Barla Szabó Jenő (1901-1979).,,,,,,,,,,,46.0783203,,,,,,,,Klinikai Központ,,,,,,,,,,,,,,,,
,,hospital,,,20.7262414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2953779,,,,,,,,Koch Róbert Kórház és Rendelőintézet,,,,,,,,,,,,,,,,
,,hospital,,,18.7370769,,,Kertváros,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7553694,,Dr. Niedermann Gyula utca,,,,,,Komárom-Esztergom Megyei Integrált Szociális Intézmény Pszichiátriai Betegek Otthona,,,2509,,,,Esztergom,,hospital,,,,,,,
,,hospital,,,19.0738347,,,,,,,,egykori BM Kórház,(zárva),,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,47.5078535,,,,,,,,Korvin Ottó Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.1043529,,,,,,,,,,,103,,,,,,,,,,Bing,,,,,,,,,,,,,,,+361 369 2111,,47.5585871,,Nyár utca,,,,,,Károlyi Sándor Kórház,,,1041,,,,Budapest,,,,,,,,,
,,hospital,,,18.2724032,,,,,,,,,,,1,,,,,,,,,,,,,,http://www.komloikorhaz.hu/,,,,,,,,,,,+36 72 582 340,,46.1875460,,Majális tér,,,,,,Kórház,,,7300,,,,Komló,,,,,,,,HU,
,,hospital,,,20.7878476,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0994073,,Corvin utca,,,,,,Körzeti Orvosi Rendelő (felnőtt),,,3530,,,,Miskolc,,hospital,,,,,,,
,,hospital,,,21.6696619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6827709,,,yes,,,,,Központi Orvosi Ügyelet,,,,,,,,,,,,,,,,
,,hospital,,,19.0041463,,,,,,,,,,,4,,,,,Mo-Fr 08:00-20:00,,,,,,,,jarobeteg.kut@semmelweis-univ.hu,http://www.kutvolgyi.hu,,,,,,,,,,,+3613251100,,47.5117973,,Kútvölgyi út,,,,,,Kútvölgyi Klinika,,,1125,,,,Budapest,,,,,,,,,
,,hospital,,,19.0733221,,,,,,,,Honvédkórház 2. sz. Podmaniczky utcai telephelye,,,109-111,,,,,,,,,,,,,,http://www.honvedkorhaz.hu/cikk/6/az-allami-egeszsegugyi-kozpont-telep,,,,,,,,,,,+36 1 465 1800,MÁV Kórház,47.5174330,,Podmaniczky utca,,,,,,MH Egészségügyi Központ Podmaniczky utcai telephely,,,1062,yes,,,Budapest,,hospital,,,,,,,
,,hospital,,,19.0745502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5493204,,,,,,,,Madarász Utcai Gyermekkórház,,,,,,,,,,,,,,,,
,,hospital,,,17.8984525,,,,,,,,,,,,,,,,,,,,"This hospital is in the area of Állami Szívkórház. They have a park together, and by foot you can walk within the area, but Magyar Honvédség hospital only owns 1 building, and they have a different car entry, with own parking spaces.",,,,,,,,,,,,,,,,,,46.9568514,,,,,,,,Magyar Honvédség Balatonfüredi Kardiológiai Rehabilitációs Intézet,,,,,,,,,,,,,,,,
,,hospital,,,19.6782290,,,,,,2011-06-24,,,,,,,,,,,,,,,turistautak.hu,,,,,,,,,,,,,,,,Repülőkórház,46.9105724,,,,,,,,Magyar Honvédség Egészségügyi Központ,,,,,,,,,,http://turistautak.hu/poi.php?id=36236,,,,,,
,,hospital,,,17.5648937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1115353,,,hospital,,,,,Magyar Imre Kórház,,,,,,,,,,,,,,,,
,,hospital,,,17.2471805,,,,,,,,,,,46,,,,,,,,,,,,,,http://www.margitkorhaz.hu/,,,,,,,,,,,,,47.6104158,,Soproni út,,,,,,Margit Kórház,,,9300,yes,,,Csorna,,,,,,,,HU,
,,hospital,,,20.3753925,,,,,,,,,,,,,yes,,,,,,,,,,,,https://www.mfkh.hu/,,,,,,,,,,,,,47.9049144,,,yes,,,,,Markhot Ferenc Oktatókórház és Rendelőintézet,,,,yes,,,,,,,,,,,,
,,hospital,,,16.6179525,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,47.2361436,,,,,,,,Markusovszky Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.1008441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,47.4681746,,,,,,,,Merényi Gusztáv Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.2723772,,,,,,,,,,,,,,,,,,,,,,,,titkarsag@misszio.hu,https://www.misszio.hu/,+36-28-386-795,,,,,,,,,,+36-28-389-625,,47.6624144,"File:Misszió Egészségügyi Központ, keleti sarok, 2019 Veresegyház.jpg",,yes,,,,,Misszió Egészségügyi Központ,,,,,,,,,,,,,,,,
,,hospital,,,21.6244729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5569508,,,yes,,,,,Művese Állomás,,,,,,,,,,,,,,,,
,,,,,16.6009069,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,47.6770139,,,yes,,,,,N. épület,,,,,,,,,,,,,,,,
,,hospital,,,17.3612229,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,+3682 / 504 – 400,,46.2326690,,Bajcsy-Zsilinszky Endre utca,,,,,,Nagyatádi Kórház,,,7500,,,,Nagyatád,,,,,,,,,
,,hospital,,,19.0664477,,,,,,,,,,,15/a,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5181659,,Dévai utca,,,,,,Nyírő Gyula Kórház - OPAI - Tüdőszűrő állomás,,,1134,,,,Budapest,,,,,,,,,
,,hospital,,,20.6575700,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5597381,,Könd utca,,,possible duplicated amenity (POI & poly),,,Orosháza Kórház,,,5900,,,,Orosháza,,,,,,,,,
,,hospital,2005,,19.0234425,,,,,,,,,,,1-3,,,,,,(+36) 1 887-7900,,,,,,,,https://ogk.hu,,,,info@ogk.hu,,,https://www.facebook.com/orszagos.gerincgyogyaszati.kozpont,,,fence,,Honvéd Kórház (1982),47.4962338,,Királyhágó utca,,,,,(+36) 1 88-77-987,Országos Gerincgyógyászati Központ,,,1126,,,,Budapest,,,,,,,,,
,,hospital,,,19.0980390,,,,,,,,OKITI,,,57,,,,,,,,,,bing,,,,,,,,,,,,,,,,OITI,47.5189703,,Amerikai út,yes,,,,,Országos Klinikai Idegtudományi Intézet,,,1145,,,,Budapest,,,,,,,,,
,,hospital,,,19.0226009,,,,,,,,,,,13,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,47.5006716,,Kék Golyó utca,,,,,,Országos Onkológiai Intézet,,,1123,,,,Budapest,,,,,,,,,
,,hospital,,surgery;emergency,19.0803534,,,,,,,,,,,17,,yes,,,,,,,,,,,,https://www.peterfykh.hu/,,,,,,,,,,,,Péterfy Baleseti Központ,47.4965437,,Fiumei út,,,,,,Országos Traumatológiai Intézet,,,1081,yes,,,Budapest,,hospital,,,,,,HU,
,,hospital,,,18.2118448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0185181,,Kossuth Lajos utca,,,,medical station,,Orvosi rendelő,,,8164,,,,Balatonfőkajár,,,,,,,,,
,2,hospital,,,18.2640969,,brown,,,,,,,,,,,,,3,"Mo 15:30-24:00; Tu-Fr 00:00-07:00,15:30-24:00; Sa,Su 00:00-24:00",,,,,,,,,,,,,,,,,,,,+36 72 481 510,,46.1906078,,,yes,,,,,Orvosi Ügyelet,hipped,,,,,,,,,,,,,,,
,,hospital,,,18.2285030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0533374,,,,,,,,PTE Akác utcai klinikai tömb,,,,,,,,,,,,,,,,
,,hospital,,,18.2102403,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0791788,,Édesanyák útja,,,,,,PTE Szülészeti és Nőgyógyászati Klinika,,,7624,,,,Pécs,,hospital,,,,,,,
,,hospital,2015,,20.1467857,,,,,,,,,Szegedi Tudományegyetem Általános Orvostudományi Kar Szent-Györgyi Albert Klinikai Központ,,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,46.2444289,,Semmelweis utca,hospital,,,,,Petri Gábor Klinikai Tömb,,,6725,yes,,,Szeged,,hospital,,,,,,,
,,hospital,,,17.6376110,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6777378,,Zrínyi utca,,,,,,Petz Aladár Megyei Oktató Kórház,,,9024,,,,Győr,,,,,,,,,
