health_facility:type,healthcare_1,name:cy,healthcare:speciality,building:part,indoor,payment:debit_cards,clinic,health_specialty:traditional_chinese_medicine,postcode,smoking,is_in,addr:housenumber,source:addr:housenumber,addr:state,pharmacy,source,health_specialty:physiotherapy,addr:village,fhrs:local_authority_id,fax,emergency,source:name,leisure,source:area,wikimedia_commons,addr:street,payment:bitcoin,fixme,name:en,contact:fax,name,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,HE_ref,postal_code,health_specialty:general_practice,health_specialty:podiatry,amenity_1,operator,full_name,loc_name,source:addr,power,access,fhrs:authority,generator:output:electricity,ref,email,building:height,barrier,contact:email,addr:province,fhrs:id,roof:shape,building:use,source:geometry,addr:city,source:building,toilets:wheelchair,health_specialty:orthopaedics,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,lat,alt_name,nhs,generator:source,fee,addr:floor_1,addr:floor_2,area,opening_hours,contact:phone,addr:housename,heritage,website,addr:unit,listed_status,telephone,phone,old_name,source:outline,generator:type,room,dispensing,landuse,roof:levels,amenity,source:shape,operator:type,out-of-hours,addr:suburb,building:min_level,generator:method,wikidata,source:postcode,health_specialty:cardiology,verified,building:levels,image,note,FIXME,description,building:material,health_specialty:acupuncture,last_check,min_height,levels,toilets,addr:county,source:addr:postcode,building,building:colour,medical_system:chinese,website_3,website_2,website_1,name:gd,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,86,,,,Bing;OS StreetView,,,,,,,,,,Peckham High Street,,,,,Acuherbal,,SE15 5ED,,,,,,,,,,,,,,,,,,,,,acuherbal@hotmail.com,,,,,,London,,,,,-0.0691937,http://acuherbal.co.uk,,,,51.4736285,,,,,,,,Mo-Fr 09:30-20:00;Sa 09:30-19:30;Su 11:00-19:00,+44 20 7635 6686,,,,,,,,,,,,,,,clinic,,,,,,,,,,,4,,,,"Traditional Chinese Medicine, acupuncture",,,,,,,,,yes,,,,,,,,,,,clinic,GB,
,,,,,,,,,,,,26-30,,,,,,,,,,,,,,Newland,,,,,AddAction,,LN1 1XG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5437479,,,,,53.2295055,,,,,,,,Mo-Fr 08:00-17:00,,,,,,,,+44 1522 305518,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,46,,,,,,,,,,,,,,Ravenswood Road,,,,,Addison Road Medical Practice,,E17 9LY,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0101152,,,,,51.5825043,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,Walthamstow,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adipose Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2890871,,,,,54.6012654,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Railway Road,,,,,Adlington Clinic,,PR6 9RG,,,,,,,,,Lancashire Care NHS Foundation Trust,,,,,,,,,,,,,,,,,,Chorley,,,,,-2.6017883,,,,,53.6149836,Adlington Health Centre,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Adlington,,,,
,,,neurophysiology;eeg,,,,,,,,,,,,,,,,,,,,,,,Dolgwili Road,,,Neurophysiology,,Adran Niwroffisioleg / Neurophysiology,,SA31 2AF,,,,,,,,,Glangwili General Hospital,,,,,,,,,,,,,,,,,,Carmarthen,,,,,-4.2845172,,,,,51.8666717,,,,,,,,,,Tŷ Glyndwr,,,,,,+44 1267 227084,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Glangwili General Hospital,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahoghill Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3688577,,,,,54.8507677,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airlie Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0021557,,,,,56.1879977,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akerman Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1050821,,,,,51.4753753,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,32,,,,,,,,,,,,,,Briar Close,,,,,Albert Road Chiropractic,,WR11 4JJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9485904,,,,,52.0962469,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,open_data_sources,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,30,,,,,,,,,,,,,,Alma Vale Road,,,,,Alma Vale Centre,,BS8 2HY,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,-2.6143007,,,,,51.4626834,,,,,,,,,,,,,,,,+44 1173771186,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Alsager Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3013505,,,,,53.0932813,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,Anstey Road,,,,,Alton Health Centre,,GU34 2QX,,,,,,,,,,,,,,,,,,,,,,,,flat,,,Alton,,,,,-0.9669062,,grey,,,51.1539119,,yes,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,brick,,,,,,,,public,,,,,,,,yes,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alva Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8044962,,,,,56.1524737,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,Ambulatory Emergency Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1799523,,,,,52.1916293,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,https://www.nhs.uk/Services/clinics/Overview/DefaultView.aspx?id=95767,,,,,,,,,,Old Mill Street,,,,,Ancoats Primary Care Centre,,M4 6EE,,,,,,,,,Beacon Medical Services Group Limited,,,,,,,,,,,,,,,,,,Manchester,,,,,-2.2229675,,,,,53.4823244,,,,,,,,,,Ancoats Primary Care Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,85,,,,,,,,,,,,,,Chapel Market,,,,,Angel Eye Clinic,,N1 9EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1099768,,,,,51.5333678,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anglia Community Eye Serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1441885,,,,,52.6478386,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angmering Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4865903,,,,,50.8276590,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,9,,,,,,,,,,,,,,Bath Road,,,,,April House,,SO19 5ES,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton,,,,,-1.3538163,,,,,50.9129523,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,bing,,,,,,,,,,Connaught Road,,,,,Aquarius,,WV1 4SJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolverhampton,,,,,-2.1434473,,,,,52.5873014,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,Westminster Avenue North,,,,,Arches Centre,,BT4 1NS,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,Belfast,,,,,-5.8889731,,,,,54.5986245,,,,,,,,Mo 08:00-18:00; Tu-Th 08:00-21:00; Fr 08:00-18:00,,Arches Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,civic,,,,,,,,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arden House Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0025698,,,,,53.3667385,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Levin Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4454800,,,,,52.7557644,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,35,,,,,,,,,,,,,,Landguard Manor Road,,,,,Arthur Webster Clinic,,PO37 7HZ,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,Shanklin,,,,,-1.1802535,,,,,50.6364751,,,,,,,,,+44 1983 862 589,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,322; 324; 326,,,,,,,,,,,,,,Northolt Road,,,,,Ash Tree Clinic - Harrow CAMHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3563941,,,,,51.5628518,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,Ashcombe Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0408312,,,,,53.0735080,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashford Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4704844,,,,,51.4388137,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,670,,,,,,,,,,,,,,Blackburn Road,,,,,Astley Bridge Chiropody,,BL1 7AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolton,,,,,-2.4320448,,,,,53.6037651,,,,,,,,,,,,http://www.astleybridgechiropody.co.uk/,,,,+44 1204 597779,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Quarry Road,,,,,Aurora Medical Practice,,AB16 5UU,,,,,,,,,NHS Grampian,,,,,,,,,Aurora.administrator@nhs.net,,,,,,,,,Aberdeen,,,,,-2.1603890,,,,,57.1659426,,,,,,,,,,Aurora Medical Practice,,,,,,+441224662911,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,commercial,,,,,,,,,,,clinic,,
,,,,,,,,,,,,420,,,,,,,,,,,,,,Manchester Road,,,,,Avandale Lodge,,CW9 7QA,,,,,,,,,,,,,,,,,,,,,,,,,,,Lostock Gralam,,,,,-2.4645553,,,,,53.2719001,,,,,,,,,,,,https://www.hc-one.co.uk/,,,,+44 1606 48978,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,941,,Middlesex,,,,,,,,,,,,Great West Road,,,,,BMI Syon Clinic,,TW8 9DU,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.3244179,,,,,51.4836201,,,,,,,,,,,,https://www.bmihealthcare.co.uk/hospitals/bmi-syon-clinic,,,,+44 20 8322 6000,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,Brentford,,,GB,
,,,abortion,,,,,,,,,32-36,,,,,,,,,,,,,,Romford Road,,,,,BPAS London East,,E15 4BT,,,,,,,,,British Pregnancy Advisory Service,,,,,,,,,,,,,,,hipped,,bing,London,,,,,0.0054922,,,,,51.5420918,,,,,,,,,,,,,,,,,,,,,,,1,clinic,,,,,,,,,,,3,,,,,,,,,,,,OS Opendata Codepoint,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back and Body Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8756579,,,,,52.2033463,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,357,,,,,,,,,,,,,,Duffield Road,,,,,Bainbridge Hand Clinic,,DE22 2DG,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,-1.4793504,,,,,52.9551532,,,,,,,,,,,,http://www.hand-surgery.co.uk/styled/,,,,,,,,,,,,clinic,,,,Allestree,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,11,,,,,,,,,,,,,,Brook Parade,,,,,Balanced Life Therapy Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0749773,,,,,51.6191231,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,retail,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballymena Specialist Clinic,,,,,,,,,,,Mark Diamond and Associates,,,,,,,,,,,,,,,,,,,,,,,-6.2790168,,,,,54.8654156,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballysillan Group Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9693107,,,,,54.6250293,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banchory Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5007072,,,,,57.0508695,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Newtownards Road,,,,,Bangor Health Centre,,BT20 4LD,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangor,,,,,-5.6754782,,,,,54.6552434,,,,,,,,,,,,http://www.bangorhealthcentre253.co.uk/,,,,028 9151 5200,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,,,,,,,5,,,,Business owner,,,,,,,,,,Machon Bank Road,,,,,Bannerdale Osteopaths,,S7 1PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4879075,,,,,53.3596777,,,,,,,,Mo-Fr 08:30-19:00; Sa 09:00-15:00,,,,https://www.bannerdaleosteopaths.com/,,,,+44 114 255 6255,,,,,,,,clinic,,,,,,,,,,,3,,,,,,,,,,,,,yes,,,,,,,,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbourne Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2247345,,,,,52.2092822,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnard Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1054148,,,,,51.4281973,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnoldswick Clinic,,,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,,,,,,-2.1906601,,,,,53.9157162,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnoldswick Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1863193,,,,,53.9152886,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,,,,,,Barrhead Health & Care Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3875127,,,,,55.8025692,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,centre,,
,,,,,room,,,,,,,,,,,,,,,,,,,,,,,,,,Bath Fertility,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5725063,,,,,51.5427548,,,,,,,,,,Aztec Centre,,,1,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,homeopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bath Healthcare Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3667717,,,,,51.3727710,,,,,,,,,,,,http://www.bath-healthcare.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,alternative,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bath Road Pain Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5468652,,,,,51.4333672,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bath University Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3337464,,,,,51.3786992,,,,,,,,,,,,http://www.umcbath.co.uk/site/index.aspx,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,university,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batheaston Medical Centre,,,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,,,,,,-2.3170542,,,,,51.4061491,,,,,,,,,,,,http://www.batheastonmedicalcentre.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Whitburn Road,,,,,Bathgate Primary Care Centre,,EH48 2SS,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathgate,,,,,-3.6470918,,,,,55.8979787,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beacon Community Cancer and Palliative Care Centre,,,,,,,GU2 7WW,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6112897,,,,,51.2406496,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
