amenity,healthcare:speciality,house,contact:website,roof:colour,alt_name,building:roof:shape,operator,roof:angle,addr:housenumber,lon,building:levels,opening_hours,contact:phone,addr:housename,name,source,contact:mobile,check_date,email,website,fax,contact:email,phone,lat,opening_hours:signed,addr:street,building,name:en,addr:city,roof:shape,addr:postcode,wheelchair,roof:orientation,healthcare,addr:country
dentist,,,,,,,,,159,-6.2552851,,Mo 09:00-17:00; Tu-Fr 09:00-17:30; We 10:00-19:00; Sa 09:00-16:00,,,Drumcondra Village Dental,,,,info@drumcondravillagedental.ie,https://www.drumcondravillagedental.ie/,,,+353 1 441 1420,53.3676246,,Drumcondra Road Lower,yes,,Dublin,,,,,dentist,
dentist,,,,,,,,,1,-6.2450568,,Mo-Fr 08:30-17:30; Sa-Su off,,,Dundrum Dental Surgery,,,,,,,,,53.2907331,,Pembroke Terrace,yes,,,,,,,dentist,
dentist,,,,,,,,,,-7.8176006,,,,,Friairy Dental Care,,,,,,,,,52.6783776,,,yes,,,,,,,dentist,
dentist,,,,,,,,,,-9.5091892,,,,,Fuller Dental practice,,,,,,,,+353 64 6632955,52.0626361,,,yes,,,,,,,dentist,
dentist,,,,grey,,,,40,,-6.3817719,1,,,,Giles Baily,,,,,,,,,53.3821533,,,yes,,,hipped,,,across,dentist,
dentist,,,,,,,,,,-6.3437248,,,,,Glenview Dental Surgery,,,,,,,,,53.2888001,,Glenview Park,commercial,,,,,,,dentist,
dentist,,,,,,,,,5,-6.2439896,,Mo 08:00-17:00; Tu 10:00-19:00; We 08:00-17:00; Th 10:00-19:00; Fr 08:00-16:00; Sa-Su off,,,Glenville Dental,,,,,https://glenvilledental.ie/,,,+353 1 298 1133,53.2898788,,Pembroke Cottages,yes,,,,,,,dentist,
dentist,,,,,,,,,,-8.4014731,,,,,HSE Mahon Health Centre,,,,,,,,,51.8923340,,Lakelands Crescent,yes,,Cork,,,,,dentist,
dentist,,,,,,,,,51,-6.3558708,,,,,Mountain Park Dental Practice,,,,,https://www.facebook.com/pages/Mountain-Park-Dental-Practice-Tallaght/303556849678485,,,,53.2841453,,Mountain Park,yes,,,,,,,dentist,
dentist,,,,,,,,,116,-6.2718620,,Mo-Fr 08:00-17:00,,,O'Loughlin's Dental Practice,,,,,http://www.oloughlindental.ie/,,,+353 1 8304731,53.3638697,,Phibsborough Road,yes,,Dublin,,,,,dentist,
dentist,,,,,,,,,7,-6.5894311,,,,,"O'Reilly, Johnston, Merrick Dentists",,,,,,,,,53.3819079,,Main Street,yes,,Maynooth,,,,,dentist,IE
dentist,,,,,,,,,,-7.3347343,,,,,Orthopoint Orthodontic Clinic,visual survey; bing,,,,,,,,53.5253354,,,yes,,,,,,,dentist,
dentist,orthodontics,,,,,,:pd,,,-6.6537110,,,,,Paul Dowling Orthodontics,,,,,,,,,53.2242479,,,yes,,,,,,,dentist,
dentist,,,,,,,,,,-9.5058574,,,,,Rosemary Smith - Dental Clinic,,,,,,,,,53.7949175,,,yes,,,,,,,dentist,
dentist,,,,,,,,,25,-6.1672251,,,,,Seapoint Clinic,,,,,,,,,53.2984707,,Seapoint Avenue,house,,,,,,,dentist,
dentist,,,,,,,,,3,-6.1361329,2,Mo-Fr 08:00-20:00; Sa 09:00-17:00; off,,,Smiles,,,2019-01-04,,https://www.smiles.ie/clinic/dentist-dun-laoghaire/,,,+353-1-907-3320,53.2922076,,George's Street Upper,retail,,Dún Laoghaire,,,,,dentist,
dentist,,,,,,,,,21,-9.0522585,,,,,Smiles Dental Spa,,,,,,,,,53.2719245,,Middle Street,yes,,Galway,,,,,dentist,
dentist,dentistry,,,,,,,,23,-6.3827442,,Mo 8:00-17:00; Tu 8:00-18:30; We-Th 8:00-17:00; Fr 8:00-13:00; ,,,Springfield Dental Surgery,,,,,,,,,53.2875616,,Maplewood Road,yes,,Dublin,,24,,,dentist,
dentist,,,,,,,,,,-6.2201246,,,,,Swords Orthodontist,,,,,,,,,53.4584637,,,yes,,,,,no,,dentist,
dentist,,,,,,,,,,-9.3222654,,,,,Tawnycoolawee Dental Surgery,,,,,http://fairytoothmother.com/,,,+353 94 90 28728,53.8792892,,,yes,,,,,,,,
dentist,,,,,,,,,67,-6.2621651,,,,,The Fresh Breath Clinic,,,,,,,,,53.2960518,,Churchtown Road Upper,house,,,,,,,dentist,
dentist,,,,,,,,,12,-6.4618279,,,,,The Lucan Clinics,,,,,,,,,53.3521000,,Dodsboro Road,yes,,Lucan,,,,,dentist,IE
dentist,,,,,,,,,,-7.8129296,,,,,The Mall Dental Practice,,,,,,,,,52.6773013,,,yes,,,,,,,dentist,
dentist,,,,,,,,,,-8.6429974,,,,,Wallace Dental Clinic,,,,,,,,,52.6298209,,,yes,,,,,,,dentist,
dentist,,,,,,,,,,-8.4564087,,,,,Wrightville Clinic,,,,,,,,+353 21 496 6379,51.8878694,,Douglas Road,yes,,Cork,,,,,dentist,
dentist,,,http://www.youghaldentist.ie,,,,,,,-7.8442483,,,+353 0 24-92777,,Youghal Dentist,,+353 0 87-2871100,,,,,info@youghaldentist.ie,,51.9499219,,,yes,,,,,,,dentist,
