health_facility:type,roof:levels,amenity,loc_name,healthcare:speciality,addr:housename,contact:website,building:use,reg_name,indoor:wall:material,official_name,lon,abbreviation,indoor:level,wikidata,alt_name,smoking,operator,name:de,opening_hours:phone,is_in,addr:housenumber,alt_name_1,emergency,addr:district,area,building:levels,opening_hours,image,contact:phone,wikipedia,layer,alt_name1,note,source,email,covered,start_date,website,alt_name_2,fax,at_bev:addr_date,description,short_name,contact:email,healthcare,addr:suburb,phone,orig_name,alt_name2,health_specialty:orthopaedics,old_name,lat,operator:type,smoking:outside,tourism,addr:street,building,building:colour,name:en,contact:fax,name,designation,level,url,addr:postcode,wheelchair,addr:place,addr:city,local_name,military,toilets:wheelchair,landuse,addr:country,indoor:area
,,hospital,,cardiology,,,,,,,13.6134532,,,,,,,,,,9,,,,,,,,,,,,,bad-ischl.ooe.gv.at/Umpostung_von_PLZ_5351_Aigen-Voglhub_auf_PLZ_4820_Bad_Ischl_ab_26_Februar_2018,,,,,,,,,,,hospital,,,,,,,47.7097904,,,,Gartenstraße,yes,,,,HerzReha Bad Ischl,,,,4820,yes,,Bad Ischl,,,,,AT,
,,hospital,,,,http://www.linz.at/akh,,,,,14.3043075,KUK - MC III,,Q2648976,Allgemeines öffentliches Krankenhaus der Stadt Linz,,,,,,,,,,,,,,+43 732 78060,de:Allgemeines Krankenhaus der Stadt Linz,,,,,,,,,,,,,,akh@akh.linz.at,,,,,,,Allgemeines Krankenhaus Linz,48.3021918,,,,,,,General hospital Linz,+43 732 78061325,Kepler Universitätsklinikum - Med Campus III,,,,,yes,,,,,,,,
,,hospital,,,,http://www.frauen-kinderklinik-linz.at,,,,,14.3071566,KUK - MC IV,,,,,,,,,,,,,,,,,+43 5 0554630,,,,,,,,,,,,,,,contact.kk@gespag.at,,,,,,,Landes- Frauen- und Kinderklinik Linz,48.3019513,,,,,,,,+43 5 05546322204,Kepler Universitätsklinikum - Med Campus IV,,,,,yes,,,,,,,,
,,hospital,,,,http://www.wagner-jauregg.at,,,,,14.2956139,KUK - NMC,,Q1802031,Nervenklinik Linz;Med Campus V,,,,,,,,,,,,,,+43 5 0554620,de:Landes-Nervenklinik Wagner-Jauregg,,,,,,,,,,,,,,contact.wj@gespag.at,,,,,,,Landesnervenklinik Wagner-Jauregg,48.2797019,,,,,,,Psychiatric clinic Wagner-Jauregg,+43 5 05546222564,Kepler Universitätsklinikum - Neuromed Campus,,,,,yes,,,,,,health,,
,,hospital,,,,,,,,,13.6775092,,,,,,Diakoniewerk,,,,777,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://http://www.schladming.diakonissen.at/,,,,,,,,,+43 3687 2020 0,,,,,47.3915863,,,,Salzburger Straße,,,,,Klinik Diakonissen Schladming,,,,8970,yes,,Schladming,,,yes,,AT,
,,hospital,,,,,,,,,16.4048833,,,Q1786542,Krankenhaus Nord,,KAV Wien,,,,,,yes,,,,,,,de:Krankenhaus Nord (Wien),,,,,,,Mai 2019,https://www.khnord.at/,,,,,,,hospital,,+43 1 27700 - 0,,,,,48.2694155,community,,,,,,,,Klinik Floridsdorf,,,,1210,,,Wien,,,,,,
,,hospital,,,,,,,,,13.8208565,,,,,,Klinikum Wels - Grieskirchen GmbH,,,,27,,,,,,,,,,,,,geoimage.at,,,,https://www.klinikum-wegr.at/,,,,,,,,,+43-7248-601-0,,,,,48.2388023,,,,Georg-Wagenleithner-Straße,yes,,,,Klinikum Grieskirchen,,,,4710,yes,,Grieskirchen,,,,,AT,
,,hospital,,,,www.klinikum-klagenfurt.at,,,,,14.3004593,,,Q1774626,,,KABEG,,,,,,,,,,,,+434635380,de:Klinikum Klagenfurt am Wörthersee,,,,geoimage. at,,,,,,,,,,help@lkh-klu.at,,,,,,,,46.6367150,,,,,,,,,Klinikum Klagenfurt am Wörthersee,,,,,yes,,,,,yes,,,
,,hospital,,,,,,,,,14.0227935,,,,Krankenhaus Wels,,,,,,42,,,,,,,http://www.klinikum-wegr.at/klinikum/image/582127231698182011_603710582744388327_70_0_bf_fIlslLQ-.jpg,,,,,,,,,,https://www.klinikum-wegr.at/,,+43 7242 415 3774,,,,,,,+43 7242 415 0,,Spital Wels,,,48.1743123,,,,Grieskirchner Straße,,,,,Klinikum Wels,,,,4600,,,Wels,,,,,AT,
,,hospital,,,,,,,,,16.3891181,,,Q1526557,,,Wiener Krankenanstalten Verbund,,,,25,,yes,,,,,,,de:Rudolfstiftung,,,,,kar.post@wienkav.at,,,http://www.wienkav.at/kav/kar/,,+43 (1) 711 65-1009,,,,,hospital,,+43 (1) 711 65-0,,,,,48.1950723,,,,Juchgasse,,,,,Krankenanstalt Rudolfstiftung,,,,1030,yes,,Wien,,,,,AT,
,,hospital,,,,,,,,,13.3472536,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5654730,,,,Markt,yes,,,,Krankenhaus Abtenau,,,,5441,,,Abtenau,,,,,,
,,hospital,,,,,,,,,13.0506956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7976468,,,,,,,,,Krankenhaus Barmherzige Brüder Salzburg,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,16.3055002,,,Q1762988,,,,,,,20-26,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.2284567,,,,Dornbacher Straße,,,,,Krankenhaus Göttlicher Heiland,,,,1170,yes,,Wien,,,yes,,AT,
,,hospital,,,,,hospital,,,,13.1120345,,,Q55809105,,,Halleiner Krankenanstaltenbetriebsges. m.b.H.,,,,34,,yes,,,,,,,de:Landesklinik_Hallein,,,,,,,,http://www.kh-hallein.at/,,,,,,,hospital,,+43 6245 7990,,,,,47.6855242,,,,Bürgermeisterstraße,hospital,,,,Krankenhaus Hallein,,,,5400,yes,,Hallein,,,,,AT,
,,hospital,,,,,,,,,13.1120605,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6860986,,,,,,,,,Krankenhaus Hallein,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,16.2811033,,,Q1786533,,,,,,,,,,,,,,,,de:Krankenhaus Hietzing,,,,wien.gv.at,,,,,,,,Krankenhaus Hietzing mit Neurologischem Zentrum Rosenhügel,,,,,,,,,Krankenhaus Lainz,48.1682215,,,,,,,,,Krankenhaus Hietzing,,,,,yes,,,,,,,,
,,hospital,,,,,,,,Ladislaus-Batthyány-Strattmann-Krankenhaus,17.0648818,,,,,,,,,,3,,yes,,,,,,,,,,,,,,,https://www.krages.at/,,,,,,,hospital,,,,,,,48.0930438,,,,Hauptplatz,yes,,,,Krankenhaus Kittsee,,,,2421,,,Kittsee,,,,,AT,
,,hospital,,,,,,,,,16.2025256,,,,,,Burgenländische Krankenanstalten Ges.m.b.H,,,,80,,,,,,,,,,,,,,khoberwart@krages.at,,,,,,,,,,,,,,,,,47.2804757,,,,Dornburggasse,hospital,,,,Krankenhaus Oberwart,,,,7400,yes,,Oberwart,,,yes,,AT,
,,hospital,,,,,,,,,14.3069624,,,,,,Kreuzschwestern Sierning GmbH,,,,14,,,,,,,,,,,,,,office@khs.kreuzschwestern.at,,,https://khs.kreuzschwestern.at/de/krankenhaus-sierning/home,,,2016-10-02,,,,hospital,,07259 / 2142 - 0,,,,,48.0427692,religious,,,Neustraße,yes,,,,Krankenhaus Sierning,,,,4522,,,Sierning,,,,,AT,
,,hospital,,,,,,,,,13.4898409,,,,,,,,,,,,,,,,,,+43 4762 622-0,,,,,,,,,https://www.khspittal.com,,,,,,,hospital,,,,,,,46.8021679,,,,,,,Hospital Spittal/Drau,,Krankenhaus Spittal/Drau,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,10.5937612,,,Q38046333,,,,,,,43,,,,,,,,,de:Krankenhaus St. Vinzenz (Zams),,,,geoimage.at,,,,,,,,,,,,,,,,,,47.1613611,,,,Sanatoriumstraße,yes,,,,Krankenhaus St. Vinzenz Zams,,,,6511,yes,,Zams,,,,,AT,
rehabilitation,1,hospital,,,,,,,,,15.3238161,,,,,,,,,,3-5,,no,,,3,,,,,,,,,info@theresienhof.at,,,https://www.theresienhof.at/,,,,Orthopädische Rehabilitation,,,rehabilitation,,+4331264700-0,,,yes,,47.2707562,,,,,yes,,,,Krankenhaus Theresienhof,,,,8130,,Hauptplatz,Frohnleiten,,,,,,
,,hospital,,,,,,,,,16.3811781,,,Q1525096,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2157345,,,,,,,,,Krankenhaus der Barmherzigen Brüder,,,,,,,,,,,,,
,,hospital,,,,,,,,,14.3538153,,,,,,Barmherzige Brüder,,,,26,,,,,,,,,,,,,,,,,,,,2017-10-01,,,,,,,,,,,46.7691935,,,,Spitalgasse,yes,,,,Krankenhaus der Barmherzigen Brüder,,,,9300,yes,,St. Veit an der Glan,,,,,AT,
,,hospital,,,,,,,,Ordenskrankenhaus Graz-Mitte,15.4312866,,,,,,,,24/7,,12,,no,,,,24/7,,,,,,,,,,,,,,,,,,,,+43 316 7067 0,,,,,47.0719730,,,,Marschallgasse,,,,,Krankenhaus der Barmherzigen Brüder Graz,,,,8020,yes,,Graz,,,,,AT,
,,hospital,,,,,,,,,15.3919683,,,,,,,,,,26+27,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0787135,,,,Bergstraße,yes,,,,Krankenhaus der Barmherzigen Brüder Graz-Eggenberg,,,,8020,,,Graz,,,,,AT,
,,hospital,,general;paediatrics;ophthalmology;orthopaedics;gynaecology;emergency;surgery;cardiology;oncology;internal;radiology;maternity;geriatrics,,,,,,,13.4932608,,,Q37763756,,,Barmherzige Schwestern Ried,,,,1,,yes,,,,,,,,,,,plan.at 2009,,,,,,,,,,,hospital,,,,,,,48.2104406,government,,,Schloßberg,,,,,Krankenhaus der Barmherzigen Schwestern Ried,,,,4910,,,Ried im Innkreis,,,,,,
,,hospital,,,,http://www.elisabethinen.or.at,,,,,14.2951269,,,,Ordensklinikum Linz,,,,,,,,,,,,,,+43 732 76760,,,,,,,,,,,,,,,krankenhaus@elisabethinen.or.at,,,,,,,,48.3039292,,,,,,,,+43 732 76762106,Krankenhaus der Elisabethinen,,,,,yes,,,,,,healthcare,,
,,hospital,,,,,,,,,15.4248782,,,Q1786554,,,,Krankenhaus der Elisabethinen,,,14,,no,,,,,,,de:Krankenhaus der Elisabethinen Graz,,,,,,,,,,,,,,,,,,,,,,47.0703163,,,,Elisabethinergasse,,,,,Krankenhaus der Elisabethinen,,,,8020,,,Graz,,,,,AT,
,,hospital,,,,http://www.barmherzige-brueder.at,,,,,14.2874385,,,,,,,,,,,,,,,,,,+43 732 78970,,,,,,,,,,,,,,,,,,,,,,,48.3002974,,,,,,,,+43 732 78971099,Krankenhaus der barmherzigen Brüder,,,,,yes,,,,,yes,healthcare,,
,,hospital,,,,http://www.bhs.at/linz/,,,,,14.2894600,,,Q22679063,Ordensklinikum Linz,,,,,,,,,,,,,,+43 732 76770,,,,,,,,,,,,,,,office.linz@bhs.at,,,,,,,,48.2996312,,,,,,,,+43 732 76777200,Krankenhaus der barmherzigen Schwestern,,,,,yes,,,,,yes,healthcare,,
,,hospital,,,,,,,,,12.9471000,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,47.9369641,,,,Paracelsusstraße,apartments,,,,Krankenhaus/Rehabilitationszentrum,,,,5110,,,Oberndorf bei Salzburg,,,,,AT,
,,hospital,,,,,,,,,13.6240858,,,,,,,,,,8-10,,,,,,,,,,,,,bad-ischl.ooe.gv.at/Umpostung_von_PLZ_5351_Aigen-Voglhub_auf_PLZ_4820_Bad_Ischl_ab_26_Februar_2018,,,,,,,,,,,,,,,,,,47.7059692,,,,Dr. Mayer Straße,yes,,,,LKH Bad Ischl,,,,4820,yes,,Bad Ischl,,,,,AT,
,,hospital,,,,,,,,,9.6807817,,,Q14532161,,,,,,,31,,,,,,,,,de:Landeskrankenhaus Hohenems,,,,geoimage.at,,,,,,,,,,,hospital,,,,,,,47.3628371,,,,Bahnhofstraße,yes,,,,LKH Hohenems,,,,6845,yes,,Hohenems,,,yes,,AT,
,,hospital,,,,,,,,,14.3021858,,,,,,,,,,,,no,,,,,,+43 (0)463 538 22667,,,,,bing,,,,,,,,,,geriatrie.klagenfurt(at)kabeg.at,,,,,,,,46.6323712,,,,,,,,+43 (0)463 538 23024,LKH Klagenfurt,,,,,,,,,,,,,
,,hospital,,general,,,,,,,14.3663120,,,,,,,,,,2-4,,yes,,,4,,,,,,,,geoimage.at,,,,,,,2016-10-02,,,,hospital,,,,,,,47.5257619,,,,,hospital,,,,LKH Rottenmann,,,,8786,,Sankt Georgen,Rottenmann,,,,,AT,
,,hospital,,,,,,,,,13.8089122,,,,,,Salzburger Landeskliniken - Universitätsklinikum Salzburg,,,,7,,yes,,,,,,,,1,,,,,,,,,,,,,,hospital,,,,,,,47.1288853,,,,Bahnhofstraße,yes,,,,Landesklinik Tamsweg,,,,5580,yes,,Tamsweg,,,,,,
,,hospital,,,,,,,,,16.2530320,,,Q19799153,,,NÖ Landeskliniken-Holding,,,,,,yes,,,,,,,de:Landesklinikum Baden,,,,,,,,,,,,,,,,,,,,,,48.0000387,,,,,,,,,Landesklinikum Baden,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,14.9754542,,,Q1802299,,,Landeskliniken-Holding,,,,17,,yes,,,,,,,,,,,,office@gmuend.lknoe.at,,,https://www.gmuend.lknoe.at/,,,,,,,,,+43 2852 9004 0,,,,,48.7603520,,,,Conrathstraße,,,,,Landesklinikum Gmünd,,,,3950,,,Gmünd,,,,healthcare,AT,
,,hospital,,,,,,,,,16.0909834,,,Q1436774,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5616934,,,,,,,,,Landesklinikum Hollabrunn,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,15.6599476,,,,,,,,,,,,yes,,,,,,,,,,,geoimage.at,office@horn.lknoe.at,,,https://www.horn.lknoe.at/,,02982/2661-3600,,,,,,,02982/2661-0,,,,,48.6697962,,,,,,,,,Landesklinikum Horn,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,16.3228541,,,,,,,,,,12-14,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.3076087,,,,Kreutzergasse,,,,,Landesklinikum Klosterneuburg,,,,3400,yes,,Klosterneuburg,,,,,AT,
,,hospital,,,,,,,,,16.3373865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.3438861,,,,,yes,,,,Landesklinikum Korneuburg,,,,2100,yes,,Korneuburg,,,,,,
,,hospital,,,,,,,,,15.5801579,,,Q1255312,,,NÖ Landeskliniken-Holding,,,,2,,,,,,,,,,,,,node 204767802,,,,https://www.lilienfeld.lknoe.at/,,,,,,,,,+43 2762/9004-0,,,,,48.0097810,,,,Im Tal,hospital,,,,Landesklinikum Lilienfeld,,,,,,,Lilienfeld,,,,,AT,
,,hospital,,psychiatry,,,,,,,14.8099893,,,Q38531810,Landesklinikum Mostviertel Amstetten-Mauer,,Landeskliniken-Holding,,,,221,,,,,,,,,,,,,,office@mauer.lknoe.at,,,https://mauer.lknoe.at/,,+43 7475/9004-499,,,,,,,+43 7475/9004,,,,,48.0956324,,,,Hausmeninger Straße,,,,,Landesklinikum Mauer,,,,3362,yes,,Mauer bei Amstetten,,,,,AT,
,,hospital,,,,,,,,,15.3383440,,,Q1802294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2272155,,,,,,,,,Landesklinikum Melk,,,,,limited,,,,,,,,
,,hospital,,,,,,,,,16.5801756,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.5676042,,,,Liechtensteinstraße,,,,,Landesklinikum Mistelbach-Gänserndorf,,,,2130,,,Mistelbach,,,,,AT,
,,hospital,,emergency;orthopaedics,,,,,,,16.2957719,,,Q1802296,,,,,,,12,,yes,,,,,,,de:Landesklinikum Mödling,,,,,,,,https://www.moedling.lknoe.at/,,,,,,,hospital,,,,,,,48.0901654,,,,Schwester-Maria-Restituta-Gasse,,,,,Landesklinikum Mödling,,,,2340,,,Mödling,,,,,,
,,hospital,,,,,,,,,16.2047124,,,Q1288884,,,,,,,18,,yes,,,4,,,,,,,,basemap.at,,,,,,,,,,,,,,,,,,48.3860920,,,,Landstraße,hospital,,,,Landesklinikum Stockerau,,,,2000,yes,,Stockerau,,,,,AT,
,,hospital,,,,,,,,,15.2843194,,,,,,,,,,31,,yes,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,48.8131318,,,,Moriz-Schadek-Gasse,,,,,Landesklinikum Waidhofen/Thaya,,,,3830,,,,,,,,,
,,hospital,,,,,,,,,14.7885095,,,,,,NÖ Landeskliniken-Holding,,,,,,yes,,,5,,,,,,,,bing,,,,,,,,,,,hospital,,,,,,,47.9525849,,,,,yes,,,,Landesklinikum Waidhofen/Ybbs,,,,3340,,,Waidhofen an der Ybbs,,,,,AT,
,,hospital,,,,,,,,,16.2482145,,,,,,,,,,3-5,,yes,,,,,,,,,,,,,,,https://www.wienerneustadt.lknoe.at/,,,,,,,hospital,,+43 2622 321-0,,,,,47.8167248,,,,Corvinusring,,,,,Landesklinikum Wiener Neustadt,,,,,yes,,,,,yes,,,
,,hospital,,,,,,,,,13.8569658,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6164966,,,,,yes,,,,Landeskrankenhaus,,,,,yes,,,,,,,,
,,hospital,,,,,,,,,13.7739402,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,396,,yes,,,,,,,,,,,,,,,,,,2018-10-01,,,,hospital,,,,,,,47.6069202,,,,Sommersbergseestraße,yes,,,,Landeskrankenhaus Bad Aussee,,,,8990,,,Lerchenreith,,,,,AT,
,,hospital,,,,,,,,,15.9933519,,,Q37960602,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,1,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-badradkersburg.at,,,,,,,,,+43 3476 2401 0,,,,,46.6919561,,,,Dr. Schwaiger-Straße,,,,,Landeskrankenhaus Bad Radkersburg,,,,8490,,,Bad Radkersburg,,,,,AT,
,,hospital,,,,,,,,,9.8200143,,,Q1802320,,,,,,,13,,,,,,,,,de:Landeskrankenhaus Bludenz,,,,,,,,,,,,,,,,,,,,,,47.1599039,,,,Spitalgasse,yes,,,,Landeskrankenhaus Bludenz,,,,6700,yes,,Bludenz,,,,,AT,
,,hospital,,,,,,,,,15.2653419,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,1,,,,,,,,,,,,,,,,,http://www.lkh-bruck.at,,,,,,,,,+43 3862 895 0,,,,,47.4237265,,,,Tragößer Straße,,,,,Landeskrankenhaus Bruck an der Mur,,,,8600,yes,,Bruck an der Mur,,,,,AT,
,,hospital,,,,,,,,,15.2318154,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,29,,yes,,,,,,,,,,,GeoImage.at,,,,http://www.lkh-deutschlandsberg.at,,,,,,,hospital,,+43 3462 4411 0,,,,,46.8115594,,,,Radlpaßstraße,,,,,Landeskrankenhaus Deutschlandsberg,,,,8530,,,Deutschlandsberg,,,,,AT,
,,hospital,,,,,,,,,15.2943541,,,,LKH Enzenbach,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,30,,,,,,,,,,,,,GeoImage.at High-Res,,,,,,,2016-10-02,,,,hospital,,,,,,,47.1535096,,,,Hörgas,hospital,,,,Landeskrankenhaus Enzenbach,,,,8112,,Hörgas,Gratwein-Straßengel,,,,,AT,
,,hospital,,,,,,,,,15.8816196,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,18,,yes,,,,,,,,,,,GeoImage.at High-Res,,,,http://www.lkh-feldbach.at,,,,,,,,,+43 3152 899 0,,,,,46.9518041,,,,Ottokar-Kernstock-Straße,,,,,Landeskrankenhaus Feldbach,,,,8330,,,Feldbach,,,,,AT,
,,hospital,,,,,,,,,16.0848675,,,,,,Steiermärkische Krankenanstaltengesellschaft m.b.H.,,,,1,,yes,,,,,,,,,,,,,,,http://www.lkh-fuerstenfeld.at,,,,,,,,,+43 3382 506 0,,,,,47.0460342,,,,Krankenhausgasse,,,,,Landeskrankenhaus Fürstenfeld,,,,8280,,,Fürstenfeld,,,,,AT,
