health_facility:type,shop,office,healthcare:speciality,building:part,payment:debit_cards,ref:addr,addr:housenumber,emergency,contact:youtube,ele,source,opening_hours:url,image,fax,short_name,fixme,historic,facebook,name:uk,wikimedia_commons,addr:street,colour,contact:facebook,name:en,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,WroclawGIS:addr:postcode:id,payment:credit_cards,roof:orientation,source:user,internet_access,name_1,WroclawGIS:addr:layer,roof:height,WroclawGIS:building:ID,ewmapa:warstwa,WroclawGIS:addr:date,payment:cash,loc_name,phone_2,building:usage:pl,phone_1,3dr:type,source:address,mapillary,boundary,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,contact:twitter,health_specialty:internal_medicine,addr:city:simc,WroclawGIS:addr:id,building:buildyear,source:geometry,addr:city,source:building,source_ref,building:type:pl,drive_through,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,operator,name:pl,old_name:de,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,admin_level,source:height,survey:url,is_in:suburb,addr:subdistrict,delivery,phone,WroclawGIS:building:date,old_name,smoking,OBJECTID_height_lidar,WroclawGIS:addr:postcode:layer,nat_name,source:note,note:pl,buildingpart,architect,dispensing,source:addr,landuse,wheelchair,amenity,operator:type,health_specialty:gynaecology,telephone,official_name,addr:last_update,building:use:pl,medical_system:western,addr:district,building:levels,health_specialty:family_medicine,contact:instagram,note,collection_times,building:fireproof,disused:amenity,description,building:material,takeaway,levels,lat,building,building:colour,url,roof:levels,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator,health_specialty:dentistry
,,,,,,,,,,,gis.um.szczecin.pl,,,,,,,,,,,,,,,"4: Radioterapia, Komisja onkologiczna",,,,,,,,,,,,,,,,,,,,Szpital lub zakład opieki medycznej,,,,,,,,,,,,,,,,,,,,,,,,,14.5934143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,53.4695273,healthcare,,,,,,,,,
,,,,,,,228,,,,,,,,,,,,,,,,,,,ALFAMED Jasionka,,,36-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0664237,,,,Jasionka,,,,,,22.0520641,,,,,,,,,,,,,,,,,,,,,,,17 772 30 15,,,,,,,,,,,,trzebownisko.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,50.1174351,yes,,,,Jasionka,,doctor,,,
,,,,,,,13,,,,,,,,,,,,,,Koncertowa,,,,,ALMED,,,02-787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,,,21.0291517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.1657190,yes,,,,,,doctor,,,
,,,,,,,1,,,,,,,,,,,,,,Legionów,,,,,ARS Medica,,,37-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radymno,,,,,,22.8195146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,49.9503247,yes,,,,,,,,,
,,,,,,,30,,,,,,,,,,,,,,1 Maja,,,,,ARS Medica,,,67-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nowa Sól,,,,,,15.6931719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.8020246,yes,,,,,,doctor,,,
,,,,,,,6,,,,,,,,,,,,,,Zamkowa,,,,,ARS Medica,,,99-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutno,,,,,,19.3542983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,52.2314100,apartments,,,,,,,,,
,,,,,,,7A,,,,,,,,,,,,,,Korabnicka,,,,,Ad Vitam,,,32-050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skawina,,,,,,19.8331233,,,,,,,NFZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.9746511,yes,,,,,,doctor,,,
,,,general;paediatrics;dermatology;cardiology;radiology;orthopaedics,,yes,,94a,,,,GEOPOZ Obrysy budynków,,,792 080 820,,,,,,,Szczepankowo,,,,,Admedica,,,61-306,,,,yes,,,,,,,,,,yes,,,,,,,,,,,biuro@admedica-centrummedyczne.pl,,,,,,,,,,,Poznań,,,,,,17.0153762,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,http://admedica-centrummedyczne.pl/,,,,,,,+48618751908,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,yes,doctors,,,,,,,,,2,,,,,,,Centrum Medyczne Admedica to najwyższa jakość usług w trosce o zdrowie naszych pacjentów. Kompleksowe badania i opieka najlepszych specjalistów. Świadczymy usługi w ramach NFZ.,,,,52.3610852,yes,,,,,,doctor,,,
,,,,,,,6A,,,,,,,,,,,,,,Mariana Langiewicza,,,,,Akademicki Ośrodek Zdrowia,,,20-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lublin,,,,,,22.5363805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,51.2462945,yes,,,,,,doctor,,,
,,,,,,,8a,,,,,,,,,,,,,,Mikołaja Kopernika,,,,,Alamed,,,05-600,,,,,,,,,,,,,,,,,,,,,,,09282,,,,,,,,,0973352,,,,Grójec,,,,,,20.8752980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grojec.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,51.8640024,yes,,,,,,doctor,,,
,,,,,,,20,,,,UM Zielona Góra,,,,,,,,,,Towarowa,,,,,Aldemed Centrum Medyczne,,,65-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zielona Góra,,,,,,15.5142583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.9481440,yes,,,,,,doctor,,,
,,,,,,,1,,,,,,https://d1cuyjsrcm0gby.cloudfront.net/ASh3mfZYxpJ2q4yDblxN7w/thumb-2048.jpg,,,,,,,,Aleja Niepodległości,,,,,Aldemed Centrum Medyczne,,,65-048,,,,,,,,,,,,,,,,,,,,,https://www.mapillary.com/map/im/ASh3mfZYxpJ2q4yDblxN7w,,,,,,,,,,,,,,,Zielona Góra,,,,,,15.5068830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,"https://lubuskie.fotopolska.eu/7673,obiekt.html?map_z=18",,,,51.9401852,yes,,"https://dolny-slask.org.pl/537684,Zielona_Gora,Kamienica_nr_1.html",,,,doctor,,,
,convenience,,,,,,9,,,,,,,,,,,,,,Grażyny,,,,,Alfa,,,43-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,,19.0351067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.8113864,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7383833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.5909858,yes,,,,,,doctor,,,
,,,,,,,12,,,,,,,,,,,,,,Wiejska,,,,,Alina Gruszka Lekarz Specjalista Chorób Oczu,,,44-362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluszczów,,,,,,18.3293799,,,,,,,,,,,32 451 24 56,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.9902377,yes,,,,,,doctor,PL,,
,,,,,,,111,,,,,,,,,,,,,,Aleja Tysiąclecia,,,,,Allmedica,,,34-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nowy Targ,,,,,,20.0513988,,,,,,,,,,,,,,,,https://allmedica.pl/placowki/nowy-targ-al-tysiaclecia-111,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.4775812,yes,,,,,,doctor,,,
,,,,,,,5A,,,,,,,,,,,,,,Marii Konopnickiej,,,,,Almamed,,,99-320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żychlin,,,,,,19.6277799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (zychlin.e-mapa.net),,,doctors,,,,,,,,,,,,,,,,,,,,52.2375739,yes,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6685012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,49.2109803,yes,,,,,,,,,
,,,,,,,17,,,,,,,,,,,,,,Piastów,,,,,Amika Konsorcjum Medyczne,,,62-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0971637,,,,Września,,,,,,17.5893716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (wrzesnia.e-mapa.net),,,doctors,,,,,,,,,,,,,,,,,,,,52.3228586,yes,,,,,,,,,
,,,,,,,13,,,,,,,,,,,,,,Ignacego Jana Paderewskiego,,,,,Amodent,,,05-820,,,,,,,,,,,,,,,,,,,,,,,,,piastow@amodent.pl,,,,,,,0921496,,,,Piastów,,,,,,20.8304490,,,,,,,,,,Mo-Fr 07:30-20:00,,,,,,https://amodent.pl/,,,,,,,+48 22 753 85 85,,,,,,,,,,,,piastow.e-mapa.net,,yes,doctors,,,,,,,,,,,,,,,,,,,,52.1869531,yes,,,,,,,,,
,,,gynaecology,,,,20,,,,,,,,,,,,,,Stanisława Staszica,,,,,Andrzej J. Balcerzak,,,62-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konin,,,,,,18.2476519,,,,,,,,,,"Mo,Th 15:00-19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,2,,,,,,,,,,,52.2094145,residential,,,,,,doctor,,,
,,,,,,,285,,,,,,,,,,,,,,,,,,,Ars Medica,,,37-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bing, geoportal.gov.pl:ortofoto",,,,,,,22.1653238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,50.0402335,yes,,,,Kraczkowa,,,,,
,,,,,,,24,,,,,,,,,,,,,,Zamkowa,,,,,Ars-Medica,,,63-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostrzeszów,,,,,,17.9264464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.4282567,yes,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,Skalmierzycka,,,,,Arsmedica,,,62-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalisz,,,,,,18.0887645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.7515568,yes,,,,,,doctor,,,
,,,,,,,9,,,,ortofotomapa geoportal,,,,,,,,,,Ogrodowa,,,,,Asmed Przychodnia Lekarzy Specjalistów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9073323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.8116913,yes,,,,,,doctor,,,
,,,,,,,5,,,,,,,,,,,,,,Karola Kurpińskiego,,,,,Atma - Centrum Opieki Leczniczej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,,18.0280506,,,-1,,,,,,,,,,,,,https://www.atma.bydgoszcz.pl/,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1251782,yes,,,,,,doctor,,,
,,,otolaryngology,,,,6,,,,,,,,,,,,,,Szarych Szeregów,,,,,Audio-Med Poradnia Laryngologiczno - Audiologiczna,,,62-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konin,,,,,,18.2520712,,,,,,,,,,,,,,,,,,,,,,,+48632436348,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,52.2088582,yes,,,,,,centre,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,BOMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5679820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.2160970,yes,,,,,,doctor,,,
,,,,,,,20A,,,,,,,,,,,,,,Racławicka,,,,,BetaMed,,,41-506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chorzów,,,,,,18.9508812,,,,,,,,,,,,,,,,https://www.betamed.pl/oddzial/chorzow-osrodek-stacjonarny/,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,50.2796602,yes,,,,,,doctor,,,
,,,,,,,12,,,,,,,,,,,,,,Lecha i Marii Kaczyńskich,,,,,Bełchatowskie Centrum Medyczne,,,97-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bełchatów,,,,,,19.3736880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,51.3681918,yes,,,,,,doctor,,,
,,,,,,,8,,,,,,,,,,,,,,Nowowiejska,,,,,Bit - Med,,,42-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zawiercie,,,,,,19.3924678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.5100582,yes,,,,,,,,,
,,,,,,,56,,,,,,,,,Duplicate address in import (zdublowane adresy w promieniu 100 metrów),,,,,Adama Mickiewicza,,,,,Bądź zdrów,,,34-200,,,,,,,,,,,,,,,,,,,,,,,12740,,,,,,,,,0925287,,,,Sucha Beskidzka,,,,,,19.5850918,,,,,,,,,,Mo-Sa 07:30-21:00; Su 08:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,49.7415277,yes,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,,,Leśna,,,,,CDT Medicus - Przychodnia Specjalistyczna,,,59-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lubin,,,,,,16.2037297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.3837196,yes,,,,,,,,,
,,,,,,,4,,,,,,,,,,,,,,Królowej Jadwigi,,,,,CENTERMED,,,64-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leszno,,,,,,16.5780274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.8444235,yes,,,,,,,,,
,,,,,,,2,,,,,,,,,,,,,,Herbowa,,,,,CENTRUM MEDYCZNE DĄBRÓWKA BĄK JUSZCZAK SPÓŁKA JAWNA,,,62-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dąbrówka,,,,,,16.7504019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.3756893,yes,,,,,,,,,
,,,,,,,5,,,,,,,,,,,,,,Kazimierza Hoffmana,,,,,CENTRUM REHABILITACJI NEURON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bydgoszcz,,,,,,18.1287339,,,,,,,,,,,,,,,,https://osrodekneuron.pl/,,,,,,,+48 52 344 90 84,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,53.1543766,yes,,,,,,,,,
,,,,,,,7,,,,,,,,,,,,,,Aleja Jana Pawła II,,,,,CM LUX MED,,,80-462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,,,18.6074028,,,,,,,,,,,,,,,,https://www.luxmed.pl/dla-pacjentow/centra-medyczne-grupy-lux-med/placowki-grupy-lux-med/cm-trojmiasto/cm-lux-med-al-jana-pawla-ii-7.html,,,,,,,+48 22 33 22 888,,,,,,,,,,,,Urząd Miasta Gdańsk,,,doctors,,,,,,,,,1,,,,,,,,,,,54.4002931,yes,,,,,,,PL,,
,,,,,,,11,,,,survey,,,,,,,,,,Leona Berensona,,,,,CMP Białołęka,,,03-287,,,,,,,,,,,,,,,,,,,,,,,01051,,berensona@cmp.med.pl,,,,,,,0918123,,,geoportal.gov.pl:ortofoto,Warszawa,,,,,,21.0527941,,,,,,,Centrum medyczne CMP,,,Mo-Fr 07:30-20:00; Sa 8:00-14:00,,,,,,,,,,,,,+48 22 737 50 50,,,,,,,,,,,,mapa.um.warszawa.pl,,limited,doctors,,,,,,,,,,,,,,,,,,,,52.3248448,yes,,,,,,,,,
,,,,yes,,,,,,,,,,,,,,,,,,,,,,Caritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4976742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,50.9409487,,,,,,,,,,
,,,,,,,45a,,,,,,,,,,,,,,Cegielna,,,,,Cegielna s.c. NZOZ,,,88-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inowrocław,,,,,,18.2667898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,doctors,,,,,,,,,,,,,,,,,,,,52.7924966,yes,,,,,,doctor,,,
,,,,,,,9,,,,,,,,,,,,,,Opolska,,,,,Center-Medical Grzegorz Pradela,,,42-134,,,,,,,,,,,,,,,,,,,,,,,15095,,center.medical.truskolasy@op.pl,,,,,,,0147358,,,,Truskolasy,,,,,,18.8240255,,,,,,,,,,Mo-Fr 12:00-20:00,,,,,,http://centermedical24.pl/,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,yes,doctors,,,,,,,,,,,,,,,,ZABIEGI Fizykoterapia Kinezyterapia Kinesiotaping - oklejanie plastrami Masaż Terapia manualna Terapia metodą PNF Terapia metodą McKenziego,,,,50.8681334,yes,,,,,,doctor,,,
,,,,,,,20A,,,,,,,,,,,,,,Tysiąclecia,,,,,CenterMed,,,62-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0971502,,,PODGiK Poznań,Swarzędz,,,,,,17.0704433,,,,,,,,,,Mo-Fr 07:30-20:00; Sa 09:00-14:00; Su off,,,,,,https://www.centermed.pl/,,,,,,,+48 61 883 2770,,,,,,,,,,,,EMUiA (swarzedz.e-mapa.net),,,doctors,,,,,,,,,,,,,,,,,,,,52.4019026,yes,,,,,,,,,
,,,,,,,5A,,,,,,,,,,,,,,Ogólna,,,,,Centermed,,,82-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elbląg,,,,,,19.4110652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,54.1871069,yes,,,,,,doctor,,,
,,,,,,,47,,,,mapa.lodz.pl,,,,,,,,,,Bolesława Limanowskiego,,,,,Centra Medyczne Medyceusz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Łódź,,,,,,19.4437612,,,,,,,,,,,,,,,,https://centramedycznemedyceusz.pl/kontakt/medyceusz-limanowskiego,,,,,,,+48 42 613 69 47,,,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,doctors,,,,,,,,,2,,,,,,,,,,,51.7879337,yes,,,,,,doctor,,,
,,,dermatology,,,,18A,,,,,,,,,,,,,,Wyszogrodzka,,,,,Centrum Dermatologiczne DERMA-MED,,,09-402,,,,,,,,,,,,,,,,,,,,,,,,,,,dermamed@wp.pl,,hipped,,,,,,,Płock,,,,,,19.7092540,http://www.derma-med.com.pl,,,,,,,,,Mo 08:00-16:00; Tu-Th 08:00-18:00; Fr 08:00-16:00,+48 24 262-76-70,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,doctors,,,,,,,,,2,,,,,,,,,,,52.5391879,yes,,,,,,doctor,,,
,,,,,,,43,,,,,,,,,,,,,,Szpitalna,,,,,Centrum Diagnostyczno Terapeutyczna „MEDYK”,,,62-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konin,,,,,,18.2401979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,52.1964046,yes,,,,,,doctor,,,
