shop,building:part,indoor,payment:cash,ref:addr,addr:housenumber,payment:debit_cards,addr:state,source,drive_in,short_name,addr:street,source:name,fixme,name,designation,level,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:user,payment:mastercard,recycling:drugs,amenity_1,building:usage:pl,description,payment:maestro,3dr:type,brand:wikidata,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:simc,atm,source:geometry,payment:visa_electron,addr:city,source:building,payment:visa_debit,source_ref,drive_through,lon,contact:website,roof:colour,height,operator,name:pl,brand:wikipedia,area,opening_hours,contact:phone,addr:housename,building.source:levels,start_date,website,brand,addr:subdistrict,phone,smoking,emuia:id,room,buildingpart,dispensing,landuse,roof:levels,amenity,source:opening_hours,payment:notes,building:use:pl,source:amenity,addr:district,building:levels,note,ref:source,source:addr,building:material,source_ref:name,payment:visa,lat,payment:telephone_cards,building,building:colour,payment:coins,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country
,,,,,59,,,,,,,,,Aloesowa,,,59-720,,,,,,,,,,,,,,,,,,,,,,,,,Raciborowice Dolne,,,,,15.6948699,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.1962944,,service,,,,,Raciborowice Dolne,,,
,,,,,,,,,,,,,,Anika,,0,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,22.9352115,,,,,,,,,,,,,,,,,,,,room,,,,pharmacy,,,,,,,,,,,,,54.1075956,,,,,,,,,,
,,,,,2b,,,,,,Kazimierza Pułaskiego,,,Apeka Pro Nobis,,,18-300,,,,,,,,,,,,,18099,,,,,,,,0957637,,,,Zambrów,,,,,22.2485919,,,,,,,,Mo-Fr 07:30-21:00; Sa 08:00-18:00; PH off,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,52.9917179,,yes,,,,,,,,
,,,,,4,,,,,,Zielonogórska,,,Apteka,,,,,,,,,,,,,,,,26102,,,,,,,,0912630,,,,Niwiska,,,,,15.3888566,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,nowogrodbobrzanski.e-mapa.net,,,,51.8192597,,yes,,,,,,,,
,,,,,15A,,,,,,Wiejska,,,Apteka,,,55-200,,,,,,,,,,,,,,,,,,,,,,,,,Oława,,,,,17.2817327,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,molawa.e-mapa.net,,,,50.9433159,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1746272,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.4071395,,yes,,,,,,,,
,,,,,1,,,,,,Spółdzielcza,,,Apteka,,,21-345,,,,,,,,,,,,,,,,,,,,,,,,,Borki,,,,,22.5237672,,,,Statim,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.7212668,,yes,,,,,,,,
,,,,,7,,,,,,Siodlarska,,,Apteka,,,01-461,,,,,,,,,,,,,19931,,,,,,,,0918123,,,,Warszawa,,,,,20.9176793,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,mapa.um.warszawa.pl,,,,52.2429356,,yes,,,,,,,,
,,,,,551,,,,,,,,,Apteka,,,34-483,,,,,,,,,,,,,,,,,,,,,0440791,,,,,,,,,19.6150788,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,49.4976618,,yes,,,,,Lipnica Wielka,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0948731,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.4162325,,,,,,,,,,
,,,,,4,,,,,,Kościelna,,,Apteka,,,26-806,,,,,,,,,,,,,,,,,,,,,,,,,Podgajek,,,,,20.9030330,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.4683765,,yes,,,,,,,,
,,,,,18,,,,,,Plac Tadeusza Kościuszki,,,Apteka,,,42-445,,,,,,,,,,,,,09580,,,,,,,,0932413,,,,Szczekociny,,,,,19.8171634,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,szczekociny.e-mapa.net,,,,50.6263439,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9993685,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.4404588,,yes,,,,,,,,
,,,,,18,,,,,,Wojska Polskiego,,,Apteka,,,59-975,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",,Sulików,,,,,15.0612272,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.0780655,,yes,,,,,,,,
,,,,,86,,,,,,Księdza Marcina Załuskiego,,,Apteka,,,05-230,,,,,,,,,,,,,,,,,,,,,,,,,Kobyłka,,,,,21.2129857,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.3414600,,yes,,,,,,,,
,,room,,,,,,,,,,,,Apteka,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9667721,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.2902097,,,,,,,,,pharmacy,
,,,,,6,,,,,,Marii Konopnickiej,,,Apteka,,,55-106,,,,,,,,,,,,,09186,,,,,,,,0883672,,,,Czeszów,,,,,17.2455110,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.3816995,,retail,,,,,,,,
,,,,,1,,,,,,Eugeniusza Stasieckiego,,,Apteka,,,26-612,,,,,,,,,,,,,,,,,,,,,,,,,Radom,,,,,21.1253848,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.3878858,,yes,,,,,,,,
,,,,,,,,Bing,,,,,,Apteka,,,32-854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6784372,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,49.9347956,,,,,,,,,,
,,,,,5,,,,,,Dworcowa,,,Apteka,,,97-330,,,,,,,,,,,,,04434,,,,,,,,0968233,,,,Sulejów,,,,,19.8865600,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,sulejow.e-mapa.net,,,,51.3539330,,yes,,,,,,,,
,,,,,3,,,,,,Grunwaldzka,,,Apteka,,,,,,,,,,,,,,,,06260,,,,,,,,0983824,,"geoportal.gov.pl, GPS",,Boguszów-Gorce,,,,,16.1687139,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,boguszowgorce.e-mapa.net,,,,50.7647303,,yes,,,,,,,pharmacy,
,,,,,45/47,,,,,,Antoniego Józefa Madalińskiego,,,Apteka,,,02-544,,,,,,,,,,,,,11877,,,,,,,,0918123,,,,Warszawa,,,,,21.0132652,,,,,,,,Mo-Fr 08:00-21:00; Sa 08:00-15:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mapa.um.warszawa.pl,,,,52.2035916,,yes,,,,,,,,
,,,,,,,,http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/POI-Radom.pnt-converted.txt),,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szydłowiec,,,,,20.8642379,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.2279432,,yes,,,,,,,,
,,,,,40,,,,,,Zamojska,,,Apteka,,,22-460,,,,,,,,,,,,,,,,,,,,,,,,,Szczebrzeszyn,,,,,22.9818341,,,,,,,,"Mo,We-Fr 08:00-18:00;Sa 08:00-17:00;PH closed;Tu 07:00-18:00",,,,,,,,+48846821061,,,,,,,,pharmacy,,,,,,,,,szczebrzeszyn.e-mapa.net,,,,50.6957252,,yes,,,,,,,,
,,,,,79,,,Bing,,,Tarnogórska,,,Apteka,,,42-674,,,,,,,,,,,,,,,,,,,,,,,,,Kamieniec,,,,,18.7233777,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (zbroslawice.e-mapa.net),,,,50.4040662,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9810797,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.6974794,,yes,,,,,,,,
,,,,,6,,,,,,Tysiąclecia,,,Apteka,,,36-050,,,,,,,,,,,,,,,,,,,,,,,,,Sokołów Małopolski,,,,,22.1224470,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,EMUiA@iMPA (sokolowmalopolski.e-mapa.net),,,,50.2333580,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1327920,,,,,,,,,,,,,,,,,,,,,,retail,,pharmacy,,,,,,,,,,,,,52.2675390,,,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6527453,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.1599444,,,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4203851,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,inne niemieszkalne,,,1,,,,,,,51.3255264,,yes,,,,,,,,
,,,,,11,,,,,,Radomska,,,Apteka,,,26-400,,,,,,,,,,,,,18316,,,,,,,,0973777,,,,Przysucha,,,,,20.6322493,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.3580655,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,inny niemieszkalny,,,,,,,,,,,,,,,,,,,,,,18.6859369,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.7077739,,yes,,,,,,,,
,,,,,2,,,,,,Główna,,,Apteka,,,34-123,,,,,,,,,,,,,,,,,,,,,,,,,Chocznia,,,,,19.4536873,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (wadowice.e-mapa.net),,,,49.8737757,,yes,,,,yes,,,pharmacy,
,,,,,16,,,,,,Harcerska,,,Apteka,,,05-820,,,,,,,,,,,,,,,dm.apteka@op.pl,,,,,,,,,,Piastów,,,,,20.8427892,,,,MIŁOSZ D.” Sp. J.,,,,Mo-Fr 08:00-20:00; Sa 09:00-14:00,,,,,,,,+48227234921,,,,,yes,,,pharmacy,,,,,,,,,,,,,52.1770659,,yes,,,,no,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5784429,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.3999380,,commercial,,,,,,,,
,,,,,138,,,,,,Zdrojowa,,,Apteka,,,43-384,,,,,,,,,,,,,25944,,,,,,,,0055290,,,,Jaworze,,,,,18.9466377,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,49.7940347,,yes,,,,,,,,
,,,,,7,,,,,,Szkolna,,,Apteka,,,43-384,,,,,,,,,,,,,21970,,,,,,,,0055290,,,,Jaworze,,,,,18.9465145,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,49.7936739,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6481590,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.1595688,,,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,16.7101971,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.7963467,,yes,,,,,,,,
,,,,,,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6566218,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,51.1603978,,,,,,,,,,
,,,,,3,,,,,,Polna,,,Apteka,,,59-305,,,,,,,,,,,,,17011,,,,,,,,0367373,,,,Rudna,,,,,16.2592636,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,rudna.e-mapa.net,,,,51.5108760,,yes,,,,,,,,
,,,,,426,,,,,,,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,0460925,,,,,,,,,20.5909712,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,49.5752835,,yes,,,,,Podegrodzie,,,
,,,,,6,,,,,,Ofiar Katynia,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rzeszów,,,,,21.9787462,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,UMRzeszow,,,,50.0526619,,yes,,,,,,,,
,,,,,27,,,bing,,,Smugowa,,,Apteka,,,95-200,,,,,,,,,,,1.0,,20388,,,,,,,,0959079,,,,Pabianice,,,,,19.3797915,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,1,,,emuia.gugik.gov.pl,,,,51.6527465,,yes,,,,,,,,
,,,,,8,,,,,,Szarych Szeregów,,,Apteka,,,86-134,,,,,,,,,,,,,21787,,,,,,,,0084735,,,,Grupa,,,,,18.6409417,,,,,,,,,,,,,,,,,no,,,,,,,pharmacy,,,,,,,,,,,,,53.5048788,,yes,,,,,,,,
,,,,,58,,,,,,Wiekowej Sosny,,,Apteka,,,05-540,,,,,,,,,"Apteka
",,,,,,,,,,,,,,,,Zalesie Górne,,,,,21.0402295,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.0222668,,yes,,,,,,,pharmacy,
,,,,,1,,,,,,Błonie,,,Apteka,,,38-524,,,,,,,,,,,,,,,,,,,,,,,,,Besko,,,,,21.9480542,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,besko.e-mapa.net,,,,49.5886526,,yes,,,,,,,,
,,,,,2,,,,,,Księdza Juliana Michalca,,,Apteka,,,39-434,,,,,,,,,,,,,39300,,,,,,,,0791711,,,,Trześń,,,,,21.7825245,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,gorzycetarnobrzeskie.e-mapa.net,,,,50.6549831,,yes,,,,,,,,
,,,,,38,,,,,,Wincentego Witosa,,,Apteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,Białystok,,,,,23.1012492,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,53.1332067,,yes,,,,,,,,
,,,,,159,,,,,,Gilarska,,,Apteka,,,03-589,,,,,,,,,,,,,05520,,,,,,,,0918123,,,,Warszawa,,,,,21.0524738,,,,,,,,Mo-Fr 08:00-21:00; Sa 09:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mapa.um.warszawa.pl,,,,52.2834431,,yes,,,,,,,,
,,,,,53c,,,,,,Generała Władysława Sikorskiego,,,"Apteka ""Aloes""",,,42-300,,,,,,,,,,,,,19900,,,,,,,,0932057,,,,Myszków,,,,,19.3416954,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,50.5773762,,yes,,,,,,,pharmacy,
,,,,,10,,,,,,Niepodległości,,,"Apteka ""Dyżurna""",,,14-200,,,,,,,,,,,,,,,,,,,,,,,,,Iława,,,,,19.5627342,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,,,+48 89 648 26 88,,,,,,,,pharmacy,,,,,,,,,,,,,53.5972664,,yes,,,,yes,,,,
,,,,,6,,,,,,Mikołaja Kopernika,,,"Apteka ""Dyżurna""",,,14-200,,,,,,,,,,,,,,,,,,,,,,,,,Iława,,,,,19.5671853,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,,,+48 89 644 82 60,,,,,,,,pharmacy,,,,,,,,,,,,,53.5900325,,yes,,,,,,,,
,,,,,20b,,,,,,Helenowska,,,"Apteka ""Helenowska""",,,05-800,,,,,,,,,,,,,,,,,,,,,,,,,Pruszków,,,,,20.7902921,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.1547377,,yes,,,,,,,,
,,,,,46B,,,,,,Jarosława Dąbrowskiego,,,"Apteka ""Lipowy Dwór """,,,14-200,,,,,,,,,,,,,03687,,,,,,,,0964650,,,,Iława,,,,,19.5674092,,,,,,,,Mo-Fr 08:00-20:00; Sa 09:00-14:00; Su off,,,,,,,,+48896420154,,,,,,,,pharmacy,,,,,,2,,,,,,,53.6046844,,retail,,,,,,,,
,,,,,12,,,,,,Hoża,,,"Apteka ""Na Stogach""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Gdańsk,,,,,18.7118837,,,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,,,,,,583073052,,,,,,,,pharmacy,,,,,,1,,,,,,,54.3604890,,yes,,,,,,,,PL
,,,,,15,,,,,,Długa,,,"Apteka ""Nad Tanwią""",,,37-413,,,,,,,,,,,,,,,,,,,,,,,,,Harasiuki,,,,,22.4763486,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,harasiuki.e-mapa.net,,,,50.4756462,,retail,,,,,,,,
,,,,,3/4,,,,,,Mikołaja Kopernika,,,"Apteka ""Nova""",,,14-200,,,,,,,,,,,,,,,,,,,,,,,,,Iława,,,,,19.5671101,,,,,,,,24/7,,,,,,,,+48 89 6488381,,,,,,,,pharmacy,,,,,,,,,,,,,53.5896681,,yes,,,,,,,,
,,,,,2c,,,,,,Generała Władysława Andersa,,,"Apteka ""Panaceum""",,,14-200,,,,,,,,,,,,,,,,,,,,,,,,,Iława,,,,,19.5688380,,,,,,,,,,,,,,,,+48 89 6487096,,,,,,,,pharmacy,,,,,,,,,,,,,53.5862394,,yes,,,,,,,,
,,,,,21a,,,"UM Rzeszów, wms.erzeszow.pl",,,Graniczna,,,"Apteka ""Pod Aniołem""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rzeszów,,,,,22.0070086,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.0149461,,retail,,,,,,,,
,,,,,,,,,,,,,,"Apteka ""Pod Koroną""",,,58-309,,,,,,,,,,,,,,,,,,,,,,,,,Wałbrzych,,,,,16.2859904,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.8099032,,yes,,,,,,,pharmacy,
,,,,,2,,,,,,Dworcowa,,,"Apteka ""Pod Modrzewiem""",,,11-612,,,,,,,,,,,,,,,,,,,,,,,,,Kruklanki,,,,,21.9204784,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,54.0885657,,yes,,,,,,,pharmacy,
,,,,,10b,,,,,,Aleje Lipowe,,,"Apteka ""Przy Fontannie""",,,58-160,,,,,,,,,,,,,36228,,,,,,,,0984663,,,,Świebodzice,,,,,16.3254303,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mswiebodzice.e-mapa.net,,,,50.8599138,,commercial,,,,,,,,
,,,,,6,,,,,,Górska,,,"Apteka ""Przy Górskiej""",,,34-370,,,,,,,,,,,,,,,,,,,,,,,,,Rajcza,,,,,19.1006320,,,,,,,,Mo-Fr 07:30-17:30; Sa 07:30-13:00,+48338643398,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,49.5031405,,yes,,,,,,,,
,,,,,1,,,,,,Wojska Polskiego,,,"Apteka ""Przy Ryunku""",,,64-800,,,,,,,,,,,,,,,,,,,,,0966760,,geoportal.gov.pl:BDOT,,Chodzież,,,,,16.9179506,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,mchodziez.e-mapa.net,,,,52.9925455,,commercial,,,,yes,,,pharmacy,
,,,,,,,,survey,,,,,,"Apteka ""Szczepankowo""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0101786,,,,"Mo-Fr 08:00-20:00, Sa 08:00-15:00;Su 10:00-14:00",,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.3646717,,yes,,,,,,,,
,,,,,29,,,,,,Henryka Sienkiewicza,,,"Apteka ""Słoneczna""",,,58-160,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",,Świebodzice,,,,,16.3167364,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-15:00; Su 08:00-14:00,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,50.8599646,,commercial,,,,,,,,PL
,,,,42ba1d76-464b-4660-8b5e-5c198c641fde,47A,,,,,,Rynek,,,"Apteka ""Słoneczna""",,,,,,,,,,,,,,,,,,,,,,,,0683743,,,,Parysów,,,,,21.6804837,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,parysow.e-mapa.net,,,,51.9750797,,yes,,,,,,,pharmacy,
,,,,,,,,,,,,,,"Apteka ""Świętego Maksymilina""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9932481,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,51.2868257,,,,,,,,,,
,,,,,1,,,,,,1 Maja,,,"Apteka ""Żywiecka""",,,34-300,,,,,,,,,,,,,,,,,,,,,,,,,Żywiec,,,,,19.1888131,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,49.6804624,,yes,,,,,,,pharmacy,
,,,,,1,,,,,,Dworska,,,Apteka 2001,,,41-219,,,,,,,,,,,,,,,,,,,,,,,,,Sosnowiec,,,,,19.1828309,,,,,,,,Mo-Fr 08:00-19:00; Sa 09:00-14:00,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,50.2965748,,yes,,,,,,,,
,,,,,37,,,,,,Partyzantów,,Duplicate address in import (zdublowany adres w promieniu 100 metrów),"Apteka 36,6",,,26-300,,,,,,,,,,,,,15733,,,,,,,,0967943,,,,Opoczno,,,,,20.2774845,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.3780849,,yes,,,,,,,,
,retail,,,,,,,survey,,,,,,Apteka A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8344321,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,52.3539044,,,,,,,,,,
,,,,,31,,,,,,Konstytucji 3 Maja,,,Apteka Adoloran,,,87-100,,,,,,,,,,,,,,,,,,,,,,,,,Toruń,,,,,18.6898783,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,,53.0233535,,yes,,,,,,,,
,,,,,1a,,,,,,Stanisława Staszica,,,Apteka Agawa,,,55-080,,,,,,,,,,,,,21071,,,,,,,,0987124,,"geoportal.gov.pl, GPS",,Kąty Wrocławskie,,,,,16.7658888,,,,,,,,,,Apteka,,,,,,,,,,,,,,pharmacy,,,,,,,,,emuia.gugik.gov.pl,,,,51.0323651,,yes,,,,,,,pharmacy,
