shop,seasonal,healthcare:speciality,building:part,postal_code,rooms,educamadrid:codigo_postal,name:ca,addr:housenumber,educamadrid:transporte,ele,source,emergency_telephone_code,educamadrid:cod_centro,contact:website,fax,short_name,sorting_name,material,educamadrid:nombre_via,wheelchair:description,addr:street,colour,fixme,name:en,contact:fax,name,designation,addr:postcode,roof:material,roof:orientation,educamadrid:horario_amp,name:eu,name:es,internet_access,name:ar,educamadrid:url,parking,loc_name,phone_1,wikipedia,educamadrid:comedor,ine:municipio,access,religion,ref,email,highway,barrier,contact:email,addr:province,denomination,educamadrid:numero_portal,ref:cadastre:building,roof:shape,emergency,b5m:urlOrto,addr:city,b5m:id,supervised,military,toilets:wheelchair,educamadrid:telefono,health_facility:type,wall,lon,educamadrid:bilingue,roof:colour,layer,height,indoor:level,educamadrid:tipo,alt_name,operator,fee,area,opening_hours,contact:phone,addr:housename,stars,catastro:ref,educamadrid:publico_bilingue,start_date,website,addr:unit,lanes,nohousenumber,source:date,phone,construction,old_name,name:zh,abandoned:building,source:url,landuse,roof:levels,amenity,educamadrid:municipio,operator:type,addr:hamlet,official_name,wikidata,addr:neighbourhood,medical_system:western,building:levels:underground,building:levels,note,b5m:url,description,building:material,fence_type,educamadrid:fax,source:date:pnoa,lat,local_code,building,building:colour,addr:city:es,url,wheelchair,addr:place,name:gl,educamadrid:tipo_via,healthcare,addr:country
,,,,,,,,,,,,,,,,,,,,,,,,,,Antiguo centro de salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0061718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.1685234,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Asepeyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6772779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4366899,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Asepeyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0783926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.4904369,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Asunción klinika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0691858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.1407953,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Barbarela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4458660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,36.7122694,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Basurtoko Ospitalea,,,,,,,Hospital de Basurto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9525313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,Q11682611,,,,,,,,,,,,43.2598928,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Benito Menni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5271273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.1445761,,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Bermeoko Ospitale Psikiatrikoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7210011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.4221235,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Bloque Técnico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1631718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9314287,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Bola Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,36.8483304,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,C.A.E. Galdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.6540197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.1439543,,,,,,,,,,hospital,
,,,,,,,,6,,,,,,,,,,,,,Calle Obispo Lepe,,,,,C.A.R.P.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logroño,,,,,,,,-2.4305597,,,,,,,Carpa,,,,,,,,,,,,,,,,+34 941 298000,,,,,,,,hospital,,,,Centro de Alta Resolución San Millán,,,,,,,,,,,,,42.4624656,,hospital,,,,,,,,hospital,
,,general,,,,,,1,,,,,,,,,,,,,Plaça Lluís Companys,,,,,CAP - Ambulatori,,08849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sant Climent de Llobregat,,,,,,,,1.9956399,,,,,,,,,,,,,,,,,,,,,,,+34 93 637 11 12,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.3372538,,,,,,,,,,hospital,
,,general,,,,,,,,,,,,,,,,,,,Carrer Verge del Remei,,,,,CAP ARENYS DE MUNT,,08358,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,Arenys de Munt,,,,,,,,2.5386195,,,,,,,,,,,,,,,,,,,,,yes,,+34 93 795 02 41,,,,,,,,hospital,,,,,,,,,,Horari d'atenció al públic: de dilluns a divendres de 8 a 14 h i de 15 a 20 h. Hores convingudes,,,,,,,41.6100409,,,,,,yes,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRO DE SALUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.4395221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.2354243,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,CHARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,-4.7519757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.3987301,,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,Calle Santuario de Cabañas,,,,,CM San José Norte,,50013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaragoza,,,,,,,,-0.8707120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.6425469,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Calle de Luis Aula,,,,,CME San José,,50013,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,Zaragoza,,,,,,,,-0.8725210,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.6383249,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CS Finca España,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3006270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.4727826,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Cap Roda de Bara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4530570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.1843646,,,,,,,,,,hospital,
,,,,,,,,,,,catastro,,,,,,,,,,,,,,,Capilla,,,,along,,,,,,,,,,,,,,christian,,,,,,,roman_catholic,,,hipped,,,,,,,,,,,-3.8312840,,,,,,,,,,,,,,,,,,,,,,2013-01,,,,,,,,,place_of_worship,,,,,,,,,1,,,,,,,,43.4557361,,chapel,,,,,,,,,
,,,,,,,,6,,,,,,,,,,,,,Calle Eladio Salinero Santos,,,,,Capio Clideba,,06011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Badajoz,,,,,,,,-6.9906061,,,,,,,,Capio,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.8713932,,yes,,,,,,,,hospital,
,,,,,,,,288-302,,,,,,,,,,,,,Carrer de Viladomat,,,,,Capio Hospital Universitari Sagrat Cor,,08029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,2.1458195,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,12,,,,,,,,41.3886335,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Central Térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1615356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9312783,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centre d'Atenció Primària (CAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2684633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.5463393,,,,,,,,,,,
,,general,,,,,,,,,,,,,,,,,,,,,,,,Centre de Salut Sant Jordi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,1.3963807,,,,,,,,Conselleria de Salut i Consum,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.8930230,,,,,,,,,,hospital,
,,,,,,,,43,,,,,,,,,,,,,Avenida Alcalde Díaz Saavedra Navarro,,,,,Centro Ambulatorio de Especialidades Prudencio Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,-15.4128054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.0963757,,yes,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Hospitalario Benito Menni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7235054,,,,,,,,Hermanas Hospitalarias del Sagrado Corazón de Jesús,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.6272367,,,,,,,,,,physiotherapist,
,,psychiatry,,,,,,,,,,,,,,,,,,,,,,,,Centro Hospitalario Padre Menni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8029466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.4764422,,,,,,,,,,hospital,
,,,,,,,,3,,,,,,,,,,,,,Rúa Filantropía,,,,,Centro Materno Infantil Nosa Sra. de Belén,,15011,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,A Coruña,,,,,,,,-8.4148806,,,,,,,,HM,,,,,,,,,,,,,,,,,,,,,,1,hospital,,private,,,,,,,3,,,,,,,,43.3656378,,hospital,,,,,,,,hospital,ES
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Médico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4110822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.3827062,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Médico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,-16.8520213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,health,,hospital,,,,,,,,,,,,,,,,,28.3743605,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Médico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.8165116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.3658254,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Médico Virgen de la Caridad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9882822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.6154596,,,,,,,,,,hospital,
,,general,,,,,,,,,,,,,,,,,,,,,,,,Centro Médico de La Matanza de Acentejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.4540703,,,,,,,,,,,,,,,,,,,,,,,+34 922 57 90 16,,,,,,,,hospital,,,,,,,,,,,,Centro de atención médica general de la Matanza de Acentejo.,,,,,28.4530378,,,,,,yes,,,,hospital,
,,psychiatry,,,,,,,,,,,,,,,,,,,,,,,,Centro Psiquiatrico Zamudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8542003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.2909083,,,,,,,,,,,
,,urgencias,,,,,,,,,,,,,,,,,,,,,,,,Centro Salud Camargo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8416742,,,,,,,,SCS,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.4214658,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Salud Valtierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6308483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,42.1957516,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro San Juan de Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6121588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.1598718,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro San Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4428940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.3907015,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro Sociosanitario 'Cristo de los Mineros',,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,-0.9055350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.6382901,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Plaza del Molinillo,,,,,Centro de Alta Resolución,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,Trujillo,,,,,,,,-5.8826599,,,,,,,,Servicio Extremeño de Salud,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,39.4546291,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Atención a Minusválidos Físicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8406874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.3792562,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Consultas Externas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6091703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.1895800,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Cuidados paliativos Laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7477513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4008055,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Día Renedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9509095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.3516495,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Especialidades Avenida de Portugal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madrid,,,,,,,,-3.7382376,,,,,,,Ambulatorio Avda. Portugal,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4109963,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Especialidades Coronel de Palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,-3.8717183,,,,,,,,,,,"Mo-Fr 08:30-20:00; Sa,Su 08:00-15:00; PH off",,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.3188602,,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Especialidades Zaídin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,-3.5997961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.1610753,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Especialidades de Peñagrande.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7251019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4748814,,,,,,,,,,,
,,general,,,,,,21,,,,,,,,,,,,,Camino Torrijos,,,,,Centro de Especialidades de Torrijos,,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,Torrijos,,,,,,,,-4.2784727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,39.9896783,,,,,,,,,,hospital,
,,,,,,,,82,,,,,,,,,,,,,Calle de Arturo Soria,,,,,"Centro de Investigación de Medicina Aeroespacial, Ejército del Aire",,28027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madrid,,,,,,,,-3.6429257,,,,,,,,,,,,,Centro de Investigación de Medicina Aeroespacial,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4445398,,yes,,,,,,,,,ES
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Parálisis Cerebral Infanta Elena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4150092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.4150257,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Protonterapia de Quirónsalud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7905680,,,,,,,,,,,,,,,,,,https://www.quironsalud.es/es/protonterapia,,,,,+34 914 52 19 00,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.3975088,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Recuperación y Rehabilitación de Levante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4798651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,39.5535745,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Rehabilitación Psicosocial Santo Cristo de los Milagros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4135582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,42.1507577,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Rehabilitación San Juan de Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1133016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.3456090,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Rehabilitación de Salud Mental de Cartagena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9770130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.6108186,,yes,,,,,,,,hospital,
,,general,,,,,,,,,,,,,,,,,,,Calle Plaza de Abajo,,,,,Centro de Salud,,19120,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,Sacedón,,,,,,,,-2.7325146,,,,,,,,,,,,,,,,,,,,,yes,,+34 949350676,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.4824495,,yes,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Centro de Salud ""La Chopera""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6399595,,,,,,,Centro de Salud La Chopera,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.5407939,,yes,,,,,,,,,
,,general,,,,,,2,,,,,,,,,,,,,Avenida Puebla de la Calzada,,,,,"Centro de Salud ""Montijo-Puebla de la Calzada""",,06480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montijo,,,,,,,,-6.6213396,,,,,,,,Servicio Extremeño de Salud,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.9010474,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Centro de Salud ""Rosa Luxemburgo""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6325043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.5592664,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Salud Adeje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,-16.7271976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,28.1183824,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Salud Aldea Moret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3889596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,39.4514011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Avenida Aragón,,,,,Centro de Salud Antiguo,,44600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcañiz,,,,,,,,-0.1296800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,41.0459843,,,,,,,,,,hospital,
,,,,,,,,,,,Catastro,,,,,,,,,,,,,,,Centro de Salud Arroyo de la Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6316020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,40.5380690,,,,,,,,,,,
