health_facility:type,shop,amenity,contact:phone,healthcare_1,healthcare:speciality,medical_system:western,addr:street:it,social_facility,addr:unit,official_name,height,loc_name,email_1,wikidata,name:it,lon,social_facility:for,operator,air_conditioning,phone_1,addr:housenumber,note,short_name,religion,building:levels,opening_hours,operator:type,addr:housename,name:de,access,source,contact:mobile,ref:anncsu,it:fvg:ctrn:code,addr:street,email,website,ref:vatin,fax,addr:hamlet,description,emergency,contact:email,addr:province,addr:street:de,fence_type,fixme,leisure,denomination,barrier,phone,old_name,lat,area,roof:shape,level,indoor,addr:city,building,building:colour,min_level,contact:fax,name,addr:inclusion,addr:postcode,wheelchair,addr:interpolation,addr:place,it:fvg:ctrn:revision,start_date,source:geometry,max_level,healthcare,room,source:addr,addr:country,alt_name
,,clinic,,,,,,,,,,,,,,11.8261215,,,,,,,,,,,,,,,,,,,Via Roma,,,,,,,,,,,,,,,,,,45.2863285,,,,,Due Carrare,yes,,,,Ambulatorio Medico,,35020,,,,,,,,,,,,
,,clinic,,,,,,,,,,Ambulatorio del Serro,,,,8.9009010,,Cooperativa SABA,,,9,,,,,,,,,,,,,,Salita da Serro a Morego,morego@coopsaba.it,https://www.ambulatoriomorego.it/,,,,,,,,,,,,,,+39 010 098 7850,,44.4755925,,,,,Genova,hospital,,,,Ambulatorio Morego - San Quirico,,16163,,,,,,,,clinic,,,,Ambulatorio Morego
,,clinic,,,,,,,,,,,,,,9.2326359,,Azienda Socio Sanitaria Territoriale di Vimercate,,,12,,,,,Mo-Fr 09:00-16:00; We off,,,,,,,,,Via Gaetano Donizetti,,,,,,,,,,,,,,,,,,45.6781540,,,,,,,,,,Ambulatorio Psichiatrico di Carate Brianza,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.7872954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5373289,,,,,,,,,,Ambulatorio medico,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,14.1946201,,,,,,,,,,,,,,,,,,,Viale della Libertà,,,,,,,,,,,,,,,,,,40.9611351,,,,,Lusciano,yes,,,,Analisi Cliniche Nobisso,,81030,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,9.1551457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5728060,,,,,,yes,,,,Angiografia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,17.1178847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0670244,,,,,,yes,,,,Anmic,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,12.8868556,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,41.8339093,,,,,,yes,,,,Ars Medica Praeneste,,,yes,,,,,,,yes,,,,
,,clinic,,,,,,,,,,,,,,14.4363367,,,,,12,,,,3,,,,,,,,,,Via Pasquale Fusco,,,,,,,,,,,,,,,,,,40.7566108,,,,,Torre Annunziata,yes,,,,Asl Napoli 3 Sud Distretto 56,,80058,,,,,,bing,,,,survey,,
,,clinic,,,,,,,,,,,,,,9.1458030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6306652,,,,,,yes,,,,Ats Brianza - Sede di Cesano Maderno,,,,,,,,,,,,,,ASL
,,clinic,,,,,,,,,,,,,,12.6661118,,,,,4,,,,,,,,,,,,,,Viale San Nilo,,http://www.aslromah.it/,,,,,,,,,,,,,,+39 06 941 0952,,41.7875519,,,,,Grottaferrata,service,,,,Azienda Asl Roma H,,00046,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,14.0521754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4006557,,,,,,yes,,,,Azienda USL Pescara - Punto erogativo Pianella,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,14.4569869,,,,,23-31,,,,,07:00-20:00,,,,,,,,,Via Roma,,http://www.cmocentropolispecialistico.it,,,,,,,,,,,,,,+39 081 861 2428,,40.7514755,,,,,Torre Annunziata,yes,,,,C.M.O. Centro Polispecialistico - Sede Centrale,,80058,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,9.1199455,,,,,,,,,,,,,,,,,,,,,http://www.cdi.it/,,,,,,,,,,,,,,,,45.4586615,,,,,,yes,,,,CDI - Centro Diagnostico Italiano,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,11.4861402,,,,,,verificare se man_made=works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5189220,,,,,,industrial,,,,CMSR,,,yes,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.3719942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1030247,,,,,,,,,,CSM Bellocchio,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,17.0948552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1074860,,,,,,public,,,,Calabro Dental,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.5356517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5960108,,,,,,yes,,,,"Casa Del Comune, Ufficio Parrocchiale, Medico",,,,,,,,,,,,,,Ex Ospedaletto
,,clinic,,,,,,,,,,,,,,8.7747328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4214969,,,,,,,,,,Casa Manai,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.8283552,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8408806,,,,,Zagarolo,yes,,,,Casa della Salute,,00039,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,15.6574767,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.1157263,,,,,,hospital,,,,"Casa di Cura ""Villa Aurora""",,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,17.2602482,,,,,64,,,,,,,,,,,,,,Via Scoglio del Tonno,,http://www.clinicabernardini.it,IT00601480742,,,,,,,,,,,,,+39 099 7728896,,40.4403183,,,,,Taranto,,,,,Casa di Cura Bernardini,,74121,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,Clinica Bonvicini,11.3337935,,,,,,,,,,,,,Bonvicini-Klinik,,,,,,,,,IT01745190213,,,,no,,,,,check the boundary of the amenity,,,,,,46.5063597,,,,,,,,,,Casa di Cura Bonvicini - Privatklinik Bonvicini,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.4605777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5573012,,,,,,yes,,,,Casa di Cura I Cedri,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,10.9384521,,,,,,,,,,,,,,,,,,,,,http://www.casadicuraleonardo.com,,,,,,,,,,,,,,,,43.7332120,,,,,,,,,,Casa di Cura Leonardo,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,18.1961981,,Casa di Cura del Prof. Petrucciani S.r.l.,,,,,,,,,,,,,,,,,,info@casadicurapetrucciani.com,https://www.casadicurapetrucciani.com/,IT01813160759,,,,no,,,,,,,,,+39 0832 448111,,40.3558078,,,,,,,,,,Casa di Cura Prof. Petrucciani,,,yes,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.5455920,,,,,8,,,,,,,,,,,,,,Via Oleggio Castello,,http://sancarloarona.it/,,,,,,,,,,,,,,+39 0322 243722,,45.7491661,,,,,Arona,yes,,,,Casa di Cura San Carlo di Arona,,28041,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,11.2486134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8022254,,,,,,,,,,Casa di Cura Ulivella e Glicini (IFCA),,,,,,,,,,,,,,
,,clinic,,,general;cardiology,,,,,,,,,,,10.5531333,,,,,21,,,,5,,,,,,,,,,Via Spiaggia d'oro,,http://villagemma.it,,,,,,,,,,,,,,+39 0365 298 000,,45.6136082,,,,,Barbarano,yes,,,,Casa di Cura Villa Barbarano,,25087,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,12.4505883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8683167,,,,,,,,,,Casa di Cura Villa Pia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,7.7388182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0342653,,,,,,,,,,Casa di Cura e di Riposo San Luca,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,13.3664753,,,,,23,,,,,,,,,,local_knowledge,,,,Piazza Fonderia,,http://www.triolozancla.com,,,,,,,,,,,,,,+39 091 6054111,,38.1196086,,,,,,yes,,,,Casa di Cure Triolo-Zancla,,90133,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,"Casa di cura ""Villa Melitta""",11.3426282,,,,,,,,,,,,,"Privatklinik ""Villa Melitta""",,,,,,,,https://www.villamelitta.it/,IT01542250210,+39 0471 471400,,,no,,,,,,,,,+39 0471 471471,,46.5044720,,,,,,yes,,,,"Casa di cura ""Villa Melitta"" - Privatklinik ""Villa Melitta""",,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.4863999,,USI,,,41,,,,5,,,,,,,,,,Viale Marco Polo,,,,,,,,,,,,,,,,+39 06 3286848,,41.8746159,,,,,Roma,yes,,,,Casa di cura Marco Polo,,,,,,,,,,,,,,
,,clinic,,,neuropsychiatry,,,,,,,,,,,11.6884393,,,,,1,,,,,,,,,,,,,,VIa Monticello,info@parcotigli.it,https://www.parcotigli.it/,,,Costigliola,,,,,,,,,,,+39 049 9997511,,45.3661173,,,,,,yes,,,,Casa di cura Parco dei tigli,,35033,,,,,,,,clinic,,,IT,
,,clinic,,,,,,,,,,,,,,17.9241374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6288958,,,,,,yes,,,,Casa di cura Salus,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.1815160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8980592,,,,,,yes,,,,Casa di cura Sant'Anna,,,,,,,,,,,,,,
,,clinic,+39 0933 817111,,,,,,,,,,,,,14.2092300,,,,,1,,,,,,,,,,,,,,Via Minerbio,,http://www.casadicurasantabarbara.com,,,,,,info@casadicurasantabarbara.it,,,,,,,,,,37.0788781,,,,,,,,,+39 0933 817211,Casa di cura Santa Barbara,,93012,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,15.2981723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0804195,,,,,,,,,,Casa di cura Santa Lucia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.2692140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1013825,,,,,,,,,,Casa di cura Villa Aurelia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.2693721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1022500,,,,,,,,,,Casa di cura Villa Azzurra,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,18.1753712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3430548,,,,,,,,,,Casa di cura Villa Bianca,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.2695858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1008217,,,,,,,,,,Casa di cura Villa Mauritius,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.2312963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1088282,,,,,,,,,,Casa di cura Villa Salus,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,9.2497695,,,,,1,,CAM,,,Mo-Fr 07:30-21:00; Sa 08:00-12:00,,,,,,,,,Via Martiri delle Foibe,caminfo@cam-monza.com,http://www.cam-monza.com/,,+39 039 2397402,,,,,,,,,,,,+39 039 23971,,45.5958754,,,,,Monza,commercial,,,,Centro Analisi Monza,,20900,,,,,,,,,,,IT,
,,clinic,,rehabilitation,neurology;neuropsychiatry;physiatry;psychiatry;orthopaedics;child_psychiatry,,,,,,,,segreteriamedica.an.falconara@dongnocchi.it,,,13.3956145,,Fondazione Don Carlo Gnocchi Onlus,,,56,,,,,,,,,,,,,,Via Giacomo Matteotti,info.falconara@dongnocchi.it,https://www.dongnocchi.it/i-centri/centro-bignamini-don-gnocchi,,,,"Presso la struttura operano un’Unità di Riabilitazione Intensiva, che fornisce trattamenti integrati per disabilità gravi conseguenti a lesioni cerebrali, soprattutto vascolari, e patologie ortopediche post-acute comportanti, di norma, non autosufficienza",,,,,,,,,,+39 071 9160971,,43.6252594,,,,,Falconara Marittima,yes,,,,Centro Bignamini-Don Gnocchi,,60015,,,,,1989,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.4398200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chain_link,,,,fence,,,45.5437458,,,,,,,,,,Centro Diagnostico Martesana,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.4764413,,,,,41,,,,,24/7,,,,,,,,,Via dell'Architettura,,cirm.it,,,,,,,,,,,,,,06 5929 0263,,41.8301474,,,,,,yes,,,,Centro Internazionale Radio Medico (CIRM),,,,,,,,,,clinic,,,,
,,clinic,+39 039 9515548,,orthopaedics; osteopathy; physiotherapist; rheumatology; neurosurgery,,,,,,,,,,,9.4292553,,,,,,,,,,,,2,,private,,,,,Via Salette,,http://cascinalasalette.it/,IT04406740961,,,,,info@cascinalasalette.it,,,,,,,,,,45.6721363,,,,,,,,,,Centro Medico Cascina La Salette,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.1967463,,,,,,,,,,,,,,,Regione Lombardia - La banca dati territoriali CTR10000 è prodotta da Regione Lombardia - Infrastruttura per l'Informazione Territoriale,,,,,,,,,,,,,,,,,,,,,,45.4532898,,,,,,yes,,,,Centro Medico Mediolanum,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,18.1654421,,,,,45,,,,5,"Mo-Fr 08:30-12:30, 16:30-19:00",,,,,,,,,Via Don Bosco,centromedico@labpignatelli.it,http://www.labpignatelli.it/centro-medico.html,,,,,,,,,,,,,,+39 0832 242641,,40.3473532,,,,,Lecce,yes,,,,Centro Medico Pignatelli,,73100,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.4685118,,,,,2,,,,,,,,,,,,,,Via Piave,,http://www.clinicasanluigi.it,,,,,,,,,,,,,,+39 0322 846754,,45.7014843,,,,,Borgomanero,yes,,,,Centro Medico Polispecialistico Ambulatoriale San Luigi,,28021,,,,,,,,clinic,,,,
,,clinic,+39 035 825316,,,,,,,,,,,,,9.9933550,,,,,172,,,,,,,,,,,,,,Via Del Tonale E Della Mendola,,https://centromedicosangiorgio.com/,,,,,,,,,,,,,,,,45.7882786,,,1,room,Endine Gaiano,,,,,Centro Medico San Giorgio,,24060,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,8.5103132,,San Nicolò Srl,,,43,,,,,,,,,,Regione Liguria,,,,Corso Giuseppe Mazzini,,,,,,,,,,,,,,,,+39 019 489815,,44.3367469,,,1,,,house,,,,Centro Medico San Nicolò,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,16.8864568,,Fondazione Salvatore Maugeri,,,4,,,,,,,,,,,,,,Via della Chiesa,,https://www.fsm.it/istituto.php?id=9553,,,Marina di Ginosa,Clinica ad indirizzo riabilitativo accreditata con il Servizio Sanitario Nazionale e centro per la diagnosi e la cura delle patologie di competenza riabilitativa e delle patologie respiratorie.,,,,,,,,,,+39 099 8279611,,40.4274461,,,,,Ginosa,,,,,Centro Medico di Riabilitazione,,74025,,,,,,,,,,,,
,,clinic,,,cardiology;paediatrics;orthopaedics;osteopathy,,,,,,,,,,,14.3955336,,MWM Medical Wellness,yes,,21,,,,,,private,,,,,,,,Via indipendenza,,https://www.centromorra.it,,,,,,,,,,,,,,,,40.9089644,,,,,Pomigliano d'Arco,yes,,,,"Centro Morra, Cardiologia e studi medici privati",,80038,yes,,,,,,,clinic,,,,
,medical_supply,clinic,+39 0933 936881,,orthopaedics,,,,,,,,,,,14.2303965,,Centro Ortopedico Aliotta S.a.s.,,,132,Centro Ortopedico,,,,,,,,,,,,,Via Palazzi,,http://centroortopedicoaliotta.com,IT01830930853,,,,,manuelealiotta@gmail.com,,,,,,,,,,37.0741389,,,,,,,,,+39 0933 823586,Centro Ortopedico Aliotta,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,9.2127041,,Azienda Socio Sanitaria Territoriale di Vimercate,,,17,,,,,,,,,,,,,,Via Ivo Oliveti,,,,,,,,,,,,,,,,,,45.6454606,,,,,,,,,,Centro Psico - Sociale Seregno,,,,,,,,,,rehabilitation,,,,
,,clinic,+39 0933 914730,,,,,,,,,,,,,14.2523842,,ASP Caltanissetta,,,,,,,,,,,,,,,,,Piazza Trento,,,,,,,,,,,,,,,,,,37.0625510,,,,,,,,,,Centro Radioterapico,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,14.7977176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9266054,,,,,,yes,,,,Centro Riabilitativo Australia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.3943045,,Azienda Unità Sanitaria Locale Umbria n. 1,,,42,,,,,,public,,,,,,,,Via della Pallotta,,,,,,,,,,,,,,,,,,43.0965974,,,,,Perugia,yes,,,,Centro Servizi Pietro Grocco,,06126,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,7.8720097,mental_health,Asl TO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4691372,,,,,,yes,,,,Centro Terapie Psichiatriche,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.7123049,,,,,,,,,,,,,,,,,,,,info@centroradiofisio.it,www.centroradiofisio.it,,+39 035 290358,,,,,,,,,,,,+39 035 290636,,45.6894957,,,,,,yes,,,,Centro di radiologia e fisioterapia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.6145664,,Azienda Unità Sanitaria Locale Umbria n. 2,,,16,,,,,,public,,,,,,,,Via Sant'Anna,marilina.giulianelli@uslumbria2.it,http://www.uslumbria2.it/servizi/centro-di-salute-sede-di-bevagna,,,,,,,,,,,,,,+39 0742 361996,,42.9368836,,,,,Bevagna,,,,,Centro di salute Bevagna,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.4329663,,Azienda Unità Sanitaria Locale Umbria n. 1,,,94,,,,,,,,,,,,,,Via Principe Umberto,,,,+39 075 8020290,,,,,,,,,,,,+39 075 8020170,,43.0261111,,,,,Torgiano,,,,,Centro di salute Torgiano,,06089,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,8.9311381,,ASP Emanuele Brignole,,,26A,,RSA,,,,,,,,Regione Liguria,,,,Corso Firenze,,,,,,"Servizio semiresidenziale rivolto ad anziani, con vario grado di non autosufficienza, che per il loro declino funzionale e/o cognitivo esprimono bisogni non sufficientemente gestibili al domicilio.",,,,,,,,,,,,44.4183389,,,,,,yes,,,,Centro diurno anziani Brignole Sede,,,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,9.2561236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8064306,,,,,,yes,,,,Centro medicina dello sport,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.2398841,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,43.1297262,,,,,,yes,,,,Centro medico,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.5581531,,,,,,,,,,,,,,,,,,,Via Fogliotti,,,,,,,,,,,,,,,,,,45.7614609,,,,,Arona,yes,,,,Centro prelievi,,28041,,,,,,,,laboratory,,,,
,,clinic,,,,,,,,,,,,,,8.8861693,,ASL Milano 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4690326,,,,,,yes,,,,Centro psico sociale,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.0460131,,Azienda Unità Sanitaria Locale Umbria n. 2,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,42.8731855,,,,,,yes,,,,Centro salute di Fabro,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.1090775,,ASL Viterbo,,,15,,,,,Mo-Fr 08:00-18:00,,,,,,,,,Via Enrico Fermi,,http://www.asl.vt.it/,,,,,,,,,,,,,,+39 0761 3391,,42.4096365,,,,,Viterbo,public,,,,Cittadella della Salute,,01100,yes,,,,,,,,,,IT,
,,clinic,,,,,,,,,,,,,,11.3186214,,,,,,,,,,,,,,,,,,,,,https://www.cityclinic.it/,IT02922000217,,,,,,,,,,,,,+39 0471 1551010,,46.4697339,,,,,,yes,,,,CityClinic,,,,,,,,,,,,,,
,,clinic,,,,,,,,,9 m,,,,,12.5781154,,,,,,,,,,,,,,,,,,4AED,,,,,,,,,,,,,,,,,,,46.0687673,,,,,,yes,,,,Clinic,,,,,,000,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.5450418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4536376,,,,,,yes,,,,"Clinica ""Colonnello d'Avanzo""",,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.0827535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5173654,,,,,,yes,,,,Clinica - Casa Vagliasindi,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,18.1302899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3407222,,,,,,,,,,Clinica Città di Lecce Hospital,,,,,,,,,,,,,,
