short_name:sv,amenity,source:location,healthcare:speciality,addr:housename,contact:website,roof:colour,addr:unit,official_name,lon,email,wikidata,alt_name,operator,name:ru,old_name:sv,is_in,addr:housenumber,old_name:fi,short_name,operator:wikipedia,building:levels,name:fi,operator:type,wikipedia,note,source,old_name,start_date,website,alt_name:fi,fax,emergency,source:name,opening_hours,phone,old_name:en,building:use,lat,name:sv,alt_name:sv,addr:street,building,colour,fixme,name:en,name,wheelchair:description,level,url,addr:postcode,wheelchair,area,addr:city,healthcare,toilets:wheelchair,operator:wikidata,addr:country,internet_access
,hospital,,,,,,,,25.0699554,,,,,,,,4,,,,4,HYKS Vanhuspsykiatrian osasto P4,,,,Bing,,,,,,,,,,,,60.3215298,HYKS Vanhuspsykiatrian osasto P4,,Paimenentie,yes,gray,Official en and sv names?,HYKS Vanhuspsykiatrian osasto P4,HYKS Vanhuspsykiatrian osasto P4,,,,01360,,,Vantaa,,,,FI,
,hospital,,,,,,,,24.9044010,,,,,,,,5,,,,,Haagan terveysasema,,,,,,,https://www.hel.fi/www/helsinki/fi/sosiaali-ja-terveyspalvelut/terveyspalvelut/terveysasemat/terveysasemien-yhteystiedot/haagan-terveysasema,,,,,,09 3104 9270,,,60.2225837,,,Huovitie,,,,Haaga Health Station,Haagan terveysasema,,,,00400,,,Helsinki,,,,,
,hospital,,,,,,,,25.3730466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1370602,,,,yes,,,,Haapaveden terveyskeskus,,3,,,,,,,,,,
,hospital,,,,,,,,23.0372037,,Q18757573,,,,,,,,,,,Halikon sairaala,,fi:Halikon sairaala,,,,,,,,,,,,,,60.4361778,Halikko sjukhus,,,,,,,Halikon sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.1778124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5775653,,,,,,,,Haminan terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,22.9731601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8293094,,,,,,,,Hangon terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,22.1496307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3109359,,,,yes,,,,Harjavallan Terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,22.1462276,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,61.3033082,,,Sairaalantie,,,,,Harjavallan sairaala,,,,29200,,,Harjavalta,hospital,,,,
,hospital,,,,,,,,27.6361734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8975937,,,,,,,,Harjulan sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,23.7534150,,Q30279728,Hatanpään sairaala,,,,,,,,,,,,,,,,,,,,no,,,,,,61.4850073,,,,,,,,Hatanpään kantasairaala,,,,,,,,,,,,
,hospital,,,,,,,,25.3587989,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,65.1713683,,,,yes,,,,Haukiputaan terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,26.0344001,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,61.2069940,,,,hospital,,,,Heinolan sairaala,,,,,,,,,,,,
,hospital,,,,,,,,28.6256900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4231034,,,,,,,,Heinäveden terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,25.0374586,,,,,,,,8,,,,,Herttoniemen sairaala,,,,,,,https://www.hus.fi/sairaanhoito/sairaalat/herttoniemen-sairaala/,,,,,,,,,60.2079877,Hertonäs sjukhus,,Kettutie,,,,Herttoniemi Hospital,Herttoniemen sairaala,,,,00800,,,Helsinki,hospital,,,,
,hospital,,,,,,,,23.6455546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0587062,,,,,,,,Himangan terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,22.9849259,,,,,,,,3,,,,,,,,,,,,http://www.loimaa.fi/laakareiden_ja_hoitajien_vastaanotot__,,,,,,02 761 2020,,,60.8686075,,,Kanta-Loimaantie,,,,,Hirvikosken terveysasema,,,,32210,,,Loimaa,hospital,,,,
,hospital,,,Hyrylän terveyskeskus,,,,,25.0237123,,,,,,,,13,,,,,Hyrylän terveyskeskus,,,,,,,,,,,,,,,,60.4015382,Skavaböle hälsocentral,,Hyryläntie,,,,Hyrylä health center,Hyrylän terveyskeskus,,,http://www.tuusula.fi/sivu.tmpl?sivu_id=2648,04300,,,Tuusula,,,,FI,
,hospital,,,,,,,,28.4909662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6812817,,,,,,,,Hyrynsalmen terveyskeskus,,,,,,,Hyrynsalmi,hospital,,,,
,hospital,,,,,,,,24.8579408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6360344,,,,,,,,Hyvinkään pääterveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,24.8269413,,Q3744085,,,,,,1,,,,,,,,"2016-08-23: liikennejärjestelyt muuttuneet, osittain pysyvästi 
2016-09-21: tämän hetkiset liikennejärjestelyt merkitty enimmäkseen oikein
2017-09-16: Sairaalankadulla ei suurta muutosta",,,before 1976,,,,yes,,,,,,60.6116990,,,Sairaalankatu,,,,,Hyvinkään sairaala,,,,05850,yes,,Hyvinkää,,,,,
,hospital,,,,,,,,21.6975064,,,,,,,"Korsholm, Finland",,,,,,Terveyskeskus,,,,survey; landsat,,,,,,,,,,,,63.1225545,Hälsovårdscentral,,,,,,,Hälsovårdscentral,,,,,,,,,,,,
,hospital,,,,,,,,24.4741992,,,,,,,,1-3,,,,,,,,,,,,http://www.hameenlinna.fi/Palvelut/Terveyspalvelut/Yhteystiedot/Terveysasemat/Viipurintien-terveysasema/,,,,,,,,,60.9984414,,,Viipurintie,yes,,,,Hämeenlinnan terveyskeskus,,,,13200,,,Hämeenlinna,,,,,
,hospital,,,,,,,,24.4981868,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,61.0056477,,,Anttilankatu,yes,,,,Idänpään terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,24.8950001,,,,HUS,,,,2,,,,,Iho- ja allergiasairaala,,,,,,,https://www.hus.fi/sairaanhoito/sairaalat/iho-ja-allergiasairaala/Sivut/default.aspx,,,,,,,,,60.1922742,Hud- och allergisjukhuset,,Meilahdentie,,,,Skin and Allergy Hospital,Iho- ja allergiasairaala,,,,00250,yes,yes,Helsinki,,,,,
,hospital,,,,,,,,25.4005943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3202213,,,,,,,,Iin terveysasema,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.1832009,,,,,,,,21-23,,,,,,,,,,,,www.ylasavonsote.fi,,,,,,,,,63.5631676,,,Riistakatu,hospital,,,,Iisalmen aluesairaala,,,,74101,,,Iisalmi,,,,FI,
,hospital,,,,,,,,26.3430762,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,60.8970744,,,,yes,,,,Iitin terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,23.0718572,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,61.7693425,,,,,,,,Ikaalisten terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,22.5698208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7375705,,,,,,,,Ilmajoen terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,30.9209561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6685977,,,,,,,,Ilomantsin terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,21.9559030,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,62.1166189,,,,,,,,IsojoenTerveysKeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,25.7568003,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,60.9999014,,,Alasenkatu,yes,,,,Itäinen lähiklinikka,,,,15300,,,Lahti,,,,,
,hospital,,,,,,,,22.7507112,,,,,,,,,,,,,Jalasjärven terveyskeskus,,,,,,,,,,,,,,,,62.4913882,,,,,,,,Jalasjärven terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,25.1859147,,Q18659512,,PIhlajalinna,,,,,,,,,,,fi:Jokilaakson sairaala,,,,,http://www.jamsanterveys.fi/,,,,,,,,,61.8758448,,,,,,,,Jokilaakson sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.8257419,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,62.1820088,,,,,,,,Joroisten terveysasema,,,,,,,,hospital,,,,
,hospital,,,,http://www.hus.fi/sairaanhoito/sairaalat/jorvin-sairaala/Sivut/default.aspx,,,,24.6911512,,Q219283,,,,,,150,,,,,,,,,,,,,,,yes,,,,,,60.2229537,,,Turuntie,,,,,Jorvin sairaala,,,,02740,yes,,Espoo,,,,,
,hospital,,,,,,,,28.3362901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0720841,,,,,,,,Juankosken terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,24.4189193,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,60.9833545,,,Eeronkuja,yes,,,,Jukolan terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,27.6304754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9340100,,,,,,,Julkula Hospital,Julkulan sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.8647734,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,61.8939950,,,,,,,,Juvan terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,22.3747343,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,60.4071572,,,Voivalantie,,,,,Kaarinan pääterveysasema,,,,20780,,,Kaarina,,,,,
,hospital,,,,,,,,28.4827776,,Q65236227,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9741423,,,,yes,,,,Kaavin terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,25.4814975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0613165,,,,,,,,Kaijonharjun terveysasema,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.7249615,,Q18659707,,,,,,13,,,,,,,fi:Kainuun keskussairaala,,,,,https://sote.kainuu.fi/palvelut/keskussairaala,,,yes,,,,,,64.2127595,,,Sotkamontie,,,,Central Hospital of Kainuu,Kainuun Keskussairaala,,,,87300,,,Kajaani,,,,,
,hospital,,,,,,,,27.7186886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2284564,,,,,,,,Kajaanin pääterveysasema,,,,,,,,hospital,,,,
,hospital,,,,,,,,23.9395412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2617927,,,,,,,,Kalajoen terveyskeskus,,,,,,,,hospital,,,,
,hospital,,dentistry;general,,,,A,,24.9798252,,Q56404024,Kalasataman terveyskeskus,Helsingin kaupunki / Terveysvirasto,,,,14,,,,6,Kalasataman terveys- ja hyvinvointikeskus,,fi:Kalasataman terveys- ja hyvinvointikeskus,,,,2018-02-05,,,,,,,+358 9 310 5015,,,60.1882121,Fiskehamnens central för hälsa och välbefinnande,,Työpajankatu,yes,,,Kalasatama Health and Well-being Centre,Kalasataman terveys- ja hyvinvointikeskus,,,https://www.hel.fi/sote/toimipisteet-fi/aakkosittain/kalasataman-thk/terveysasemapalvelut,00580,,,Helsinki,yes,,,,
,hospital,,,,,,,,26.6357818,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,61.9933902,,,Sairaalantie,,,,,Kangasniemen terveyskeskus,,,,,,,Kangasniemi,,,,FI,
,hospital,,,,,,,,25.8030294,,,,,,,,1,,,,,,,,,,,,,,,no,,,,,,62.2676342,,,Huhta,,,,,Kangasvuoren sairaala,,,,40340,yes,,Jyväskylä,,,,FI,
,hospital,,,,,,,,22.3759744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7993239,,,,,,,,Kankaanpään terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,24.4164301,,Q56403577,,Kanta-Hämeen sairaanhoitopiiri,,,,20,,,,,,,fi:Kanta-Hämeen keskussairaala,,,,,https://www.khshp.fi/,,,yes,,,,,,60.9906120,,,Ahvenistontie,,,,,Kanta-Hämeen keskussairaala,,,,13530,,,Hämeenlinna,hospital,,,,
,hospital,,,,,,,,24.7450659,,,,,,,,77,,,,,,,,,,Riihimäen aluesairaala,,,,,yes,web,,,,,60.7475521,,,Kontiontie,,,"Tämä se ""sairaala"" varmasti on jonne bussireitti johtaa?",,"Kanta-Hämeen keskussairaala, Riihimäen yksikkö",,,,,yes,,,,,,,
,hospital,,,,,,,,26.9380728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5164277,,,,,,,,Karhulan sairaala,,,,,,,,,,,,
,hospital,,,,,,,,24.2253912,,,,,,,,,,,,,Karkkilan terveysasema,,,,,,,,,,,,,,,,60.5403074,,,,,,,,Karkkilan terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,22.2783568,,,,Turun kaupunki,,,,3,,,,,Kaskenlinnan sairaala,public,,,,,,https://www.turku.fi/toimipaikat/kaskenlinnan-sairaala,,,,,,,,,60.4386597,Kaskenlinna sjukhus,,Vähäheikkiläntie,,,,,Kaskenlinnan sairaala,,,,,,,Turku,hospital,,,,
,hospital,,,,,,,,26.6595081,,,,Kymsote,,,,17,,,,,,public,,,,,,,,,yes,,,,,,60.8786785,,,Puhjontie,,,,,Katajaharjun terveysasema,,,,45720,,,Kouvola,hospital,,,,
,hospital,,,Katriinan sairaala,,,,,24.8732769,,Q11870412,,,,,,4,,,,,Katriinan sairaala,,,,,,,,,,yes,,,,,,60.3464111,Katrinesjukhuset,,Katriinankuja,yes,,,Katriina hospital,Katriinan sairaala,,,,01760,,,Vantaa,,,,,
,hospital,,,,,,,,22.1706754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4251510,,,,,,,,Kauhajoen terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,24.6980182,,Q11870555,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2200350,Kauniala krigsinvalidsjukhus,,,yes,,,,Kaunialan sotavammasairaala,,,,,,,,,,,,
,hospital,,,,,,,,25.1067637,,Q23045441,,,,,,,,,,,Kellokosken sairaala,,,,,,,,,,,,,,,,60.5318080,Mariefors sjukhus,,,,,,,Kellokosken sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,26.8326846,,,,Kymsote,,,,15A,,,,,,public,,,,,,,,,yes,,,,,,60.7463458,,,Sairaalankaari,yes,,,,Keltakankaan terveysasema,,,,46860,,,Keltakangas,hospital,,,,
,hospital,,,,,,,,24.5419361,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,65.7983692,,,Väylätie,,,,,Keminmaan terveyskeskus,,,,94400,,,Keminmaa,,,,,
,hospital,,,,,,,,25.4885324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9145881,,,,,,,,Kempeleen terveyskeskuksen laajennus,,,,,,,,hospital,,,,
,hospital,,,,,,,,23.1126648,,Q30279715,,Keski-Pohjanmaan sairaanhoitopiiri,,,,,,,,,Keski-Pohjanmaan keskussairaala,public,,,,,,https://www.soite.fi/keskipohjanmaan_keskussairaala,,,yes,,,,,,63.8475781,Mellersta Österbottens centralsjukhus,,,,,,,Keski-Pohjanmaan keskussairaala,,,,67200,,,Kokkola,hospital,,,,
,hospital,,,,,,,,25.6637374,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,60.9802867,,,Harjukatu,yes,,,,Keskustan lähiklinikka,,,,15100,,,Lahti,,,,,
,hospital,,,,,,,,24.7111528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2625723,,,,yes,,,,Keuruun Terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,23.1809736,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,62.2141316,,,Kivinevantie,,,,,Kihniön terveysasema,,,,39820,,,Kihniö,hospital,,,,
,hospital,,,,,,,,30.2498179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4952324,,,,,,,,Kiihtelysvaaran terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,25.7760185,,,,,,,,1,,,,,,,,,Bing,,,,,,,,,,,,65.1289485,,,Terveystie,hospital,,,,Kiimingin terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,23.6121999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3093422,,,,yes,,,,Kirkonkylän terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,24.9503878,,Q3145262,,,,,,11-13,,,,,Kirurginen sairaala,,fi:Kirurginen sairaala (Helsinki),,,,,http://hus.fi/sairaanhoito/sairaalat/kirurginen-sairaala/Sivut/default.aspx,,,,,,,,,60.1612568,Kirurgiska sjukhuset,,Kasarmikatu,,,,Surgical Hospital,Kirurginen sairaala,,,,00130,yes,,Helsinki,,,,,
,hospital,,,,,,,,30.1276347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0969869,,,Arppentie,,,,,Kiteen terveyskeskus,,,,82500,,,Kitee,hospital,,,,
,hospital,,,,,,,,24.9232820,,,,Kittilän kunta,,,,2,,,,,,,,,,,,http://www.kittila.fi/paivystys-ja-ensiapu,,,yes,,,+358 400 356 498,,,67.6478666,,,Sairaalantie,,,,,Kittilän terveyskeskus,,,,99100,,,Kittilä,,,,,
,hospital,,,,,,,,26.6117105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6593847,,,,,,,,Kiuruveden terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,24.9195631,,,,,,,,,,,,,Kivelän sairaala,,,,,,,,,,,,,,,,60.1770240,Stengårds sjukhus,,,,,,Kivelä hospital,Kivelän sairaala,,,,,,,,,,,,
,hospital,,,,,,,,24.6358455,,,,,,,,3,,,,,Kivenlahden terveysasema,,,,,,,,,,,,,,,,60.1549242,Stensviks hälsostation,,Meriusva,yes,,,Kivenlahti helth station,Kivenlahden terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,25.1593144,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,61.5589920,,,,yes,,,,Kuhmoisten terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,29.5117317,,,,,,,,,,,,,Kuhmon terveysasema,,,,,,,,,,,,,,,,64.1279605,,,,,,,Kuhmo health centre,Kuhmon terveysasema,,,,,,,,hospital,,,,
,hospital,,,,,,,,25.7735339,,,Kuokkalan terveysasema,,,,,,,,,,,,,,,,,https://www.jyvaskyla.fi/sote/terveysasemat/kuokkala,,,,,,,,,62.2262864,,,,,,,,Kuokkalan sosiaali- ja terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,27.6845956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8944058,,,,,,,,Kuopion terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.6420486,,Q11873596,KYS,,,,,2,,,,,Kuopion yliopistollinen sairaala,,fi:Kuopion yliopistollinen sairaala,,,,,,,,,,,+358 17 173 311,,,62.8969737,,,Puijonlaaksontie,,,,Kuopio University Hospital,Kuopion yliopistollinen sairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,23.5052931,,,,,,,,55,,,,,,,,,,,,,,,no,,,,,,62.8072770,,,Keskustie,hospital,,,,Kuortaneen terveysasema,,,,63100,,,Kuortane,,,,,
,hospital,,,,,,,,22.3938085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6267946,,,,,,,,Kurikan terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,23.7294348,,,,Ylöjärven kaupunki,,,,1,,,,,Kurun terveysasema,public,,,,,,,,,,,,,,,61.8813810,,,Kisatie,,,,,Kurun terveysasema,,,,34300,,,Ylöjärvi,hospital,,,,
,hospital,,,,,,,,29.1920204,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,65.9648312,,,Vanttajantie,,,,,Kuusamon terveyskeskus,,,,,,,Kuusamo,hospital,,,,
,hospital,,,,,,,,26.6294544,,,,Kouvolan kaupunki,,,,3,,,,,,,,,,,,,,,no,,,,,,60.9071541,,,Kymenlaaksonkatu,,,,,Kuusankosken terveyskeskus,,,,45700,,,Kuusankoski,,,,,
,hospital,,,,,,,,21.8377623,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,63.1615540,,,,,,,,Kvevlax hälsostation,,,,,,,,,,,,
,hospital,,,,,,,,25.7065649,,,,,,,,20,,,,,,,,,,,,https://www.jyvaskyla.fi/sote/terveysasemat/kyllo,,,,,,+358 14 266 2011,,,62.2332491,,,Keskussairaalantie,yes,,,,Kyllön terveysasema,No accessible toilet at public areas including Café,,,40700,yes,,Jyväskylä,,no,,FI,
,hospital,,,,,,,,26.9142786,,Q11873971,,,,,,,,,,,,,fi:Kymenlaakson keskussairaala,,,,,,,,,,,,,,60.4765330,,,,,,,,Kymenlaakson keskussairaala,,,,,,,,,,,,
,hospital,,,,,,,,22.7513959,,,,Pöytyän kansanterveystyön kuntayhtymä,,,,10,,,,,"Pöytyän terveyskeskus, Kyrön terveysasema",,,,,,,https://www.poytyanterveyskeskus.fi/yhteystiedot/,,,,,,,,,60.7011578,,,Kehityksentie,,,,,Kyrön terveysasema,,,,21800,,,Pöytyä,hospital,,,,
,hospital,,,,,,,,25.7590196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9797311,,,,,,,,Kärsämäen terveyskeskus,,,,,,,,hospital,,,,
,hospital,,,,,,,,24.9154260,,Q11874308,,,,,,,,,,,Laakson sairaala,,,,,,,,,,,,,,,,60.1925577,Dals sjukhus,,,,,,Laakso hospital,Laakson sairaala,,,,,yes,yes,,,,,,
,hospital,,,,,,,,25.7685485,,Q30280654,,,,,,,,,,,Lapin keskussairaala,,,,,,,,,,yes,,,,,,66.4936078,,,,,,,Lapland Central Hospital,Lapin keskussairaala,,,,,,,,hospital,,,,
,hospital,,,,,,,,27.3959999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3647494,,,,yes,,,,Lapinlahden terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,23.0424772,,,,,,,,3,,,,,,,,,Bing,,,,,,yes,,,,,,62.9682926,,,Sairaalantie,yes,,,,Lapuan Terveyskeskus,,,,,,,Lapua,,,,,
,hospital,,,,,,,,27.7979990,,Q64647577,,KYS Sairaalat,,,,17,,,,,,,,,,,,https://www.psshp.fi/yhteystiedot/kysteri/leppavirta,,,,,,+35817171307,,,62.4880828,,,Savonkatu,,,,,Leppävirran terveysasema,,,,79101,,,Leppävirta,,,,,
,hospital,,,,,,,,24.0176353,,,,,,,,8,,,,,Lohjan sairaala,,,,,,,https://www.lohja.fi/,,,yes,,,,,,60.2223391,Lojo sjukhus,,Sairaalatie,,,,,Lohjan sairaala,,,,08200,yes,,Lohja,,,,,
,hospital,,,,,,,,23.0485123,,,,,,,,15,,,,,,,,,,,,http://www.loimaanaluesairaala.fi,,,yes,,,+358 2 314 3000,,,60.8529470,,,Seppälänkatu,,,,Loimaa Regional Hospital,Loimaan aluesairaala,,,,32200,,,Loimaa,,,,,
,hospital,,,,,,,,24.4267415,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,60.7182075,,,Harjutie,,,,,Lopen terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,21.6218580,,,,,,,"Luvia,Finland",3,,,,,,,,,,,,http://ksthky.fi/yhteystiedot/luvian_terveysasema,,,,,Mo-Th 08:00-16:00; Fr 08:00-14:00,02 677 3111,,,61.3610067,,,Kuivalahdentie,yes,,,Luvia Healthcare Center,Luvian Terveyskeskus,,,,29100,,,,,,,,
,hospital,,,,,,,,24.5551069,,Q18660674,,,,,,,,,,,,,,,Bing,,,,,,yes,,,,,,65.7336561,,,,hospital,,,,Länsi-Pohjan keskussairaala,,,,,yes,,,,,,,
