shop,health_facility:type,amenity,operational_status,office,healthcare:speciality,wall,lon,image,indoor,payment:mastercard,FIXME,ref:FR:FINESS,street,payment:cash,operator,payment:credit_cards,addr:housenumber,network,building:levels,opening_hours,contact:phone,addr:housename,layer,source,payment:cheque,contact:housenumber,contact:street,addr:street,start_date,website,noname,fax,description,source:amenity,building:material,ref:FR:SIREN,addr:full,payment:visa,ref:FR:SIRET,phone,construction,lat,healthcare:speciality_1,healthcare:speciality_2,addr:city,building,source:date,fixme,operator:type,name,ref:FR:NAF_1,level,type:FR:FINESS,addr:postcode,wheelchair,payment:coins,source:geometry,email,source:building,length,source:geometry:date,architect,healthcare,ref:FR:NAF,addr:country,building:part
,,dentist,,,,,-0.3689554,,,,,,,,,,,,,,+33549756842,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,46.3173839,,,,yes,,,,Cabinet Dentaire Bourgaux,,,,,,,,,,,,,,,,
,,dentist,,,,,4.8448133,,,,,,,,,,,,,,,,,,,,,,,https://selarl-dr-maziere-olivier.chirurgiens-dentistes.fr/,,,,,,,,,,,,46.7882376,,,,,,,,Cabinet Dentaire Docteur Olivier Mazière - Docteur Vincent Chaumont,,,,,,,,,,,,,,,,yes
,,dentist,,,,,4.8899202,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,45.0763273,,,,yes,,,,Cabinet Dentaire Sourire et Santé,,,,,yes,,,,,,,,,,,
,,dentist,,,,,-0.4067974,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,,,,,,,,,,,,,,,,,,45.2871476,,,,yes,,,,Cabinet Dentaire de Montendre,,,,,yes,,,,,,,,,,,
,,dentist,,,,,2.4804327,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,48.8970396,,,,yes,,,,Cabinet Dentaire du Moulin,,,,,,,,,,,,,,,,
,,dentist,,,,,2.9184923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8283762,,,,yes,,,,Cabinet Pujol-Durand,,,,,,,,,,,,,,,,
,,dentist,,,,,2.0232780,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,47.6000880,,,,yes,,,,Cabinet Richard,,,,,,,,,,,,,,,,
,,dentist,,,,,2.9774208,,,,,,,,,,1ERE,,,,,,,,,,,Rue du Muguet,,,,,,,,,,,,,,42.7265508,,,Villelongue-de-la-Salanque,yes,,,,Cabinet d'orthodontie,,,,66410,,,,,,,,,dentist,,,
,,dentist,,,,,2.9525990,,,,,,,,,,57,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,Avenue du Général Leclerc,,,,,,,,,,,,+33 3 21 49 44 62,,50.4621640,,,Courrières,yes,,,,Cabinet de dentistes,,,,62710,yes,,,,,,,,,,,
,,dentist,,,,,2.3332637,,,,,,,,,,179,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Rue Saint-Honoré,1997,,,,,,,,,,,,,48.8642268,,,Paris,yes,,,,Cabinet de radiologue dentaire,,,,,,,,,,,,Philippe de Fouchier,,,,
,,dentist,,,,,3.5541880,,,,,,,,,,10,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,Chemin de Notre-Dame,,,,,,,,,,,,+33 4 67 60 55 30,,43.6510010,,,,yes,,,,Cabinet dentaire,,,,,yes,,,,,,,,,,,
,,dentist,,,,,6.3515250,,,,,,,,,,,,1,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,48.6221730,,,,yes,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,dentistry,,2.2194597,,,,,,,,"Docteur Florian Laurent, Docteur Servane Baheux, Docteur Elsa Bernaudin",,32,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Rue Pierre Lescot,,,,,,,,,,,,+33 1 69 41 27 78,,48.7334295,,,Igny,yes,,,,Cabinet dentaire,,,,91430,,,,,,,,,dentist,,,
,,dentist,,,dentistry,,6.3343297,,,,,,,,,,7,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Grande Rue,,,,,,,,,,,,,,47.1489613,,,Valdahon,yes,,,,Cabinet dentaire,,,,25800,,,,,,,,,dentist,,,
,,dentist,,,,,4.5917380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7257881,,,,office,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,7.4917177,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,48.5365515,,,,yes,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,1.0139744,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,43.1978978,,,,yes,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,7.7317959,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,48.8188762,,,,yes,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,5.2199880,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,47.2419560,,,,yes,,,,Cabinet dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,-4.0694150,,,,,,,,,,15,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Place Lyautey,,,,,,,,,,,,,,48.5117180,,,,yes,,,,Cabinet dentaire,,,,,yes,,,,,,,,,,,
,,dentist,,,,,0.3158287,,,,,,,,,,,,,"Mo-Fr 09:00-12:00, 14:00-20:00",,,,BDOrtho IGN; Cadastre MàJ 2015,,,,,,,,,,,,,,,,+33 5 53 97 52 52,,44.1955405,,,,residential,,,,Cabinet dentaire - Docteur Fuentès,,,,,,,,,,,,,,,,
,,dentist,,,,,3.0891407,,,,,,,,,,36,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Rue Bernos,,,,,,,,,,,,,,50.6332668,,,Lille,yes,,,,Cabinet dentaire 36 rue Bernos,,,,59000,,,,,,,,,dentist,,,
,,dentist,,,,,0.2962623,,,,,,,,,,,,,,,,,BDOrtho IGN; Cadastre MàJ 2015,,,,,,,,+33 5 53 65 79 28,,,,,,,,+33 5 53 65 55 91,,44.1787500,,,,residential,,,,Cabinet dentaire Annick Gajac-Halatre et Yves Lecouls,,,,,,,,,,,,,,,,
,,dentist,,,,,-0.3454040,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,44.7723700,,,,yes,,,,Cabinet dentaire Strohl-Schlegel,,,,,limited,,,,,,,,,,,
,,dentist,,,,,2.4870877,,room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8540441,,,,,,,,Cabinet dentaire Val de Fontenay,,0,,,,,,,,,,,dentist,,,
,,dentist,,,,,-0.1719389,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2019,,,,,,,,,,,,,,,,,,49.1224323,,,,yes,,,,Cabinet dentaire d'Argences,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,7.5660850,,,,,,,,,,11,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Rue du Maréchal Foch,,,,,,,,,,,,,,48.4751940,,,Krautergersheim,yes,,,,Cabinet dentaire du Dr Schmutz-Fincker,,,,67880,,,,,,,,,,,,
,,dentist,,,,,0.7093821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2773735,,,,yes,,,,Cabinet dentaire du Val de l'Indre,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,-61.2703845,,,,,,,,,,13,,,Mo-Fr 00:00-24:00,,,,,,,,résidence des arcades,,http://cabinetdugolf.fr,,,,,,,,,,+590 590884242,,16.2570120,,,Saint-François,yes,,,,Cabinet dentaire du golf,,,,97118,,,,,,,,,dentist,,,
,,dentist,,,dentistry,,4.6213210,,,,,,,,,,114,,,lu ve 9:00-12:00 / 14:00-19:00,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Avenue de la Gare,,,,,,,,,,,,04.81.65.60.90,,45.8863290,,,Chessy,yes,,,,Cabinet denttaire Chessy les Mines,,,,69380,,,,,,,,,dentist,,,
,,dentist,,,,,2.7760260,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,https://selarl-cotelle-martel.chirurgiens-dentistes.fr/,,,,,,,"8-10 Rue Neuve des Ardents, 62000 Arras",,,+33 3 21 71 31 00,,50.2919740,,,,yes,,,,Cabinet des Docteurs Martel et Cotelle,,,,,yes,,,,,,,,,,,
,,dentist,,,,,4.8292981,,,,,,,,,,,,,,,,,INSEE - 07/2017,,,,,2006-07-01,,,,Cabinet dentaires,survey 2013,,,,,49176709100011,,,44.1297845,,,,public,,,,Cabinet du Docteur Meyer-Benzecrit,,,,,,,,,,,,,,,,
,,dentist,,,,,4.7635347,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,44.1786673,,,,public,,,,Cabinet medical,,,,,,,,,,,,,,,,
,,dentist,,,,,4.8178099,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,44.1371016,,,,commercial,,,,Cabinet médical,,,,,,,,,,,,,,,,
,,dentist,,,osteopathy;dentistry,,-0.0377458,,,,,,,,,,24,,,Mo 09:00-19:00; Tu 09:00-19:00; We 13:00-19:00; Th 9:00-14:00; Fr 13:00-19:00,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2019,,,,Rue du 19 Mars 1962,,http://www.docteur-herrouet-josselin.chirurgiens-dentistes.fr/cabinet.php,,,,,,,,,,+335 45 66 23 16,,45.5331791,,,Val-des-Vignes,yes,,,,Cabinet médical et paramédical de Jurignac,,,,16250,yes,,,,,,,,dentist,,,
,,dentist,,,,,-1.9950651,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,http://www.implantsforce8.com/,,,,,,,,,,,,48.6256036,,,,,,,,Centre Jupiter,,,,,,,,,,,,,,,,
,,dentist,,,,,166.4430231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.2802859,,,,yes,,,,Centre d'Orthodontie,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,2.3352020,,,,,620019778,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,50.3818960,,,,yes,,,,Centre de Santé Dentaire,,,,,,,,,,,,,yes,,,
,,dentist,,,,,5.5502610,,,,,,,,,,230,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Rue Regard,,,,,,,,,,,,+33 3 84 86 20 00,,46.6758556,,,Lons-le-Saunier,yes,,,,Centre de Santé Dentaire Mutualiste,,,,39000,,,,,,,,,dentist,,,
,,dentist,,,,,4.4179890,,,,,,,,,,2bis,,,,,,,Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Avenue Jean Jaurès,,,,,,,,,,,,+33 4 66 01 80 93,,44.0132430,,,,yes,,,,Centre de Santé Dentaire d'Uzès,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,4.8247940,,,,,,,,EOVI,,,,,,,,,survey 2015,,,,,,,,,,,,,,,,,,43.9420696,,,,yes,,,,Centre de santé dentaire,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,
,,dentist,,,,,1.8319850,,,,,620111286,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,50.6687880,,,,yes,,,,Centre de santé dentaire,,,,,,,,,,,,,yes,,,
,dispensary,dentist,operational,,,,-149.7899369,,,,,,,,Pays,,,,,,,,,,,,,,,,,,,,hard,,,,,,,-17.5497296,,,,yes,2012-07-30,,government,Centre dentaire,,,,,,,Aerial photogrammetry,,,,2010,,,,,
,,dentist,,,,,3.8993830,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,43.6610740,,,,yes,,,,Centre dentaire Adamantium,,,,,,,,,,,,,,,,
,,dentist,,,,,-2.9996820,,,,,,,,,,40,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,Rue Principale,,,,,,,,,,,,,,47.8456560,,,Camors,yes,,,,Chantreperdrix Pascal,,,,56330,,,,,,,,,dentist,,,
,,dentist,,,,,4.0360493,,,,,,,,,,,,,,,,,,,,,Rue Jules Ferry,,,,,,,,,,,,,,46.4117095,,,Saint-Yan,yes,,,,Chirurgien Dentiste,,,,71600,,,,,,,,,dentist,,,
,,dentist,,,,,4.2304678,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,43.9800477,,,,yes,,,,Chirurgien Dentiste Raoul Tremolet,,,,,,,,,,,,,,,,
,,dentist,,,,,4.7998969,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,2005-11-01,,,,,,,,,,47781598900025,+33 4 90 34 37 50,,44.1340273,,,,commercial,,,,Clinique dentaire Les dentelles,,,,,,,,,,,,,,,,
,,dentist,,,,,5.7249720,,,,,,,,,,,Mutuelles de France Réseau Santé,2,Mo-Fr 08:00-19:00,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,,,,,,,,,,,,,,,,,45.1791647,,,,yes,,,,Clinique dentaire mutualiste,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,2.4033552,,,,,,,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,51.0457952,,,,yes,,,,Corroyez,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,0.7148993,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,47.2877902,,,,yes,,,,Deherre,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,1.4078812,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,43.6178337,,,,yes,,,,Dentaire des Sept Deniers,,,,,,,,,,,,,,,,
,,dentist,,,,,-63.0835808,,,,,,,,,,4,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,18.0685895,,,,yes,,,,Dental Clinic,,,,,,,,,,,,,,,,
,,dentist,,company,,,1.1066528,http://www.dentanor.fr/img/dentanor-logo.png,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,http://www.dentanor.fr/,,,,,,,,,,+33 2 35 88 64 19,,49.4187685,,,,yes,,,,Dentanor,,,,,,,,contact@dentanor.fr,,,,,,,,
,,dentist,,,,,0.3668390,,,,,,,,,,6,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Route de La Rochefoucauld,,,,,,,,,,,,,,45.6474050,,,,yes,,,,Dentist Baillon,,,,16380,,,,,,,,,,,,
laundry,,dentist,,,,,-1.8081190,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,49.5135890,,,,retail,,,,Dentiste,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,6.5402002,,,,,,,,,,15 bis,,,,,,,,,,,Grande Rue,,,,,,,,,,,,,,47.2161557,,,Pierrefontaine-les-Varans,yes,,,,Dentiste,,,,25510,,,,,,,,,dentist,,,
,,dentist,,,,,2.3754470,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,51.0182870,,,,,,,,Dentiste Brigitte Pelerein,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,0.1819068,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,+33 5 49 50 51 34,,46.7854751,,,,yes,,,,Dentiste Brothier-Lanco Isabelle et Baudry Jean-Claude,,,,,,,,,,,,,,,,
,,dentist,,,dentistry,,7.2805230,,,,,,,,,,,,,,,,,Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,47.7600751,,,,yes,,,,Dentiste Dr. Cournault,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,-0.5403186,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,46.2537254,,,,yes,,,,Dentiste Jean Louis Lacombe,,,,,,,,,,,,,,,,
,,dentist,,,,,0.2019120,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,46.0308780,,,,yes,,,,Dentiste Joachim,,,,,,,,,,,,,,,,
,,dentist,,,dentistry,,2.8435160,,,,,,,,Dr Thieu,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015;local knowledge,,,,,,,,,,,,,,,,,,49.5874950,,,,yes,,,,Dentiste Thieu,,,,,yes,,,,,,,,dentist,,,
,,dentist,,,dentistry,,0.6554015,,,,,,,,,,15,,,,,,,,,,,Allée Beauregard,,,,,,,,,,,,,,48.1741446,,,Cherré-Au,yes,,,,Dentistes,,,,72400,,,,,,,,,dentist,,,
,,dentist,,,,,2.3942265,,,,,,,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,51.0463080,,,,yes,,,,Deransy-Michalski,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,2.3912576,,,,,,,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,51.0455208,,,,yes,,,,Devos,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,1.0857930,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,+33254803909,,47.9191400,,,,office,,,,Docteur Brunet,,,,,,,,,,,,,,,,
,,dentist,,,dentistry,,-1.1982762,,,,,,,,,,21,,,,,,,,,,,Rue de Nantes,,,,,,,,,,,,,,47.0145412,,,,yes,,,,Docteur Camélia Raileanu,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,3.0932454,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,50.6725497,,,,yes,,,,Docteur Emmanuelle Pottie,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,3.0943292,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,50.6236008,,,,yes,,,,Docteur François Biard,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,-1.7188541,,,,,,,,,,1,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,Rue Professeur Yves Boquien,,,,,,,,,,,,,,47.1712032,,,Brains,yes,,,,Docteur Greaud Pierre-Yves,,,,44830,,,,,,,,,,,,
,,dentist,,,dentistry;surgery,no,6.5799580,,,yes,,,,yes,Docteur James Converset,yes,21,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Grande Rue,01/05/1977,,,,,,,,,yes,,+33 4 50 98 13 38,,46.0606000,,,Cluses,apartments,,,private,Docteur James Converset,,2,,74300,,yes,,,,,,,dentist,,,
,,dentist,,,,,0.4959451,,,,,,,,,,7,,1,Mo-Fr 09:00-19:00,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,place du Fort,,http://dr-capsal-jean-guillaume.chirurgiens-dentistes.fr/,,,,,,,,,,+33 5 53 83 44 83,,44.3968598,,,Castelmoron-sur-Lot,yes,,,,Docteur Jean-Guillaume CAPSAL,,,,47260,,,,,,,,,dentist,,,
,,dentist,,,,,-0.6572084,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,45.7450973,,,,yes,,,,Docteur Philippe Rosec,,,,,,,,,,,,,,,,
,,dentist,,,,,3.0000780,,,,,,,,,,33,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,Rue Marcel Sembat,,,,,,,,,,,,,,50.4696020,,,,yes,,,,Docteur Reichardt & Docteur Bloquet,,,,,,,,,,,,,,,,
,,dentist,,,,,1.0215430,,,,,,,,,,13,,,"Mo-Fr 08:30-12:00,14:00-19:00; Th off",,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,+33563959607,,44.0648039,,,,yes,,,,Docteurs Isabelle Boyals-Labezin et Marie-George Bufferne,,,,,,,,,,,,,,,,
,,dentist,,,,,1.2075840,,,,,,,,,,47,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,Boulevard Jacques Chapou,,,,,,,,,,,,,,44.3372320,,,,yes,,,,Dr Botezatu,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,3.0767244,,,,,,,,,,,,1,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,44.1010273,,,,yes,,,,Dr Case,,,,,,,,,,,,,dentist,,,
,,dentist,,,,,2.3217482,,,,,,,,,,103,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,48.7952754,,,,yes,,,,Dr Dupuy,,,,,,,,,,,,,,,,
