shop,office,healthcare:speciality,building:part,payment:debit_cards,postal_code,private_treatment,smoking,addr:housenumber,source:addr:housenumber,description,addr:state,addr:terrace,source,ref:NPLG:UPRN:1,opening_hours:url,addr:village,building:color,fax,roof:colour,source:amenity,contact:facebook,former_amenity,height,wheelchair:description,addr:street,source:name,fixme,name:en,contact:fax,addr:city,designation,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,source:footprint,payment:mastercard,addr:flats,amenity_1,cqc:location:id,payment:american_express,building_name,building:start_date,access,payment:cheque,check_date,email,contact:email,addr:province,roof:shape,building:use,contact:twitter,last_check,nhs_treatment,source:geometry,source:building,roof:direction,source:listed_status,old_website,diet:vegetarian,source:location,lon,contact:website,survey:date,layer,source:area,long_name,alt_name,nhs,source_1,operator,fee,source:building:start_date,wheelchair:description:en,area,opening_hours,contact:phone,addr:housename,name,heritage,website,addr:unit,source:height,listed_status,source:listed,phone,dentist,old_name,source:outline,opening_hours:signed,architect,dispensing,cqc:location_id,landuse,wheelchair,amenity,source:shape,building:flats,addr:suburb,building:min_level,lat,building:level,wikidata,source:postcode,addr:town,emergency,building:levels,image,website2,note,FIXME,source:addr,building:material,payment:visa,toilets,addr:county,source:addr:postcode,toilets:wheelchair,old_shop,building,building:colour,name:gd,url,roof:levels,addr:place,uri,healthcare,telephone,addr:country,heritage:operator
,,,,,,,,38,,Dental Surgery in West Street Warwick,,,bing,,,,,,,,,,,,West Street,,,,,Warwick,,,CV34 6AN,,,,,,,,,,,,,,,,,,ahdentalcare@btconnect.com,,,,,,,,,,,,,,,-1.5922782,,,,,,,,,,,,,,Mo-Fr 08:30-17:00,,A & H Dental Care,A & H Dental Care,,http://www.ahdentalcare.co.uk/,,,,,+44 1926 499991,,,,,,,,,,dentist,,,,,52.2787487,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4889191,,,,,,,,,,,,,,,,,A J Cale,,,,,,,,,,,,,,,,,dentist,,,,,53.5506953,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,27,,,,,Bing; survey,,,,,,,,,,,,Mansfield Road,,,,,,,,NG1 3FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1494501,,,,,,,,,,,,,,,,,A&D Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.9583077,,,,,,,,,,,NCC Open Data,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,5,,,,,bing,,,,,,,,,,,,Middleton Hall Road,,,,,Birmingham,,,B30 1AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9325830,,,,,,,,,,,,,,,,,A. W. Davies Dental Surgery,,,,,,,,,,,,,,,,,dentist,,,,,52.4151758,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GU22 7QU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5598011,,,,,,,,,,,,,,Mo-Fr 09:00-16:00; Sa-Su off,01483 722994,,AD Dental Laboratories,,,,,,,,,,,,,,,,,dentist,,,,,51.3143700,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,CO15 4RY,,,,,,,,,,,,,,,private,,,,,,,,,,,,bing,,,,,,1.1637183,,,,,,,,,,,,,,,,,ADF Clinic,,,,,,,,,,,,,,,,,dentist,,,,,51.8152397,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,
,company,,,,,,,,,,,,photograph,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7946308,,,,,,,,,,,,,yes,,,,ADP,,,,,,,+44 1722 410320,,,,,,,,,,dentist,,,,,51.0684586,,,,,,,,,Includes NHS treatment,,,,,,,,,,,,,,,,,,,,
,,,,,,,,136-138,,,,,survey,,,,,,,,,,,,Derby Road,,,,,Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2839215,,,,,,,,,,,,,,,,,AJ Moore & Associates,,,,,,,,,,,,,,,,,dentist,,,Long Eaton,,52.9016721,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1941701,,,,,,,,,,,,,,,,,AR Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,53.3766881,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,19,,,,,,,,,,,,,,,,,Oakleigh Road North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1736144,,,,,,,,,,,,,,,,,Aaron Marcus Dental surgery,,,,,,,,,,,,,,,,,dentist,,,,,51.6301972,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,3,,,,,,,,,,,,,,,,,Kingsmead Square,,,,,Northwich,,,CW9 8UW,,,,,,,,,,,,,,,,,,,,,gabled,,,,,,,,,,,,-2.5199737,,,,,,,,,,,,,,,,,Abbey,,,,,,,,,,,,,,,,,dentist,,,Kingsmead,,53.2430459,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4236696,,,,,,,,,,,,,,,,,Abbey Cottage Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.0383039,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,Isle of Man Government aerial imagery (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6300137,,,,,,,,,,,,,,"Mo,Tu,Th 08:30-12:30,13:30-17:30, We 08:30-13:00,14:00-18:30, Fr 08:30-13:00",,,Abbey Dental,,,,,,,,,,,,,,,,,dentist,,,,,54.0959018,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IG11 7RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804943,,,,,,,yes,,,,,,,,,,Abbey Dental,,https://www.abbeydentalbarking.co.uk/,,,,,+44 20 85944129,,,,,,,,,,dentist,,,,,51.5368844,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,
,,,,,,,,25,,,,,survey,,,,,,,,,,,,St James's Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0328133,,,,,,,,,,,,,,,,,Abbey Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.5807598,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,GB,
,,,,,,,,93,,,,,,,,,,,,,,,,,Abbey End,,,,,,,,CV8 1LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5805797,,,,,,,,,,,,,,,,,Abbey End Dental Practice,,http://www.abbeyenddental.co.uk/,,,,,,,,,,,,,,,dentist,,,,,52.3445471,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2784253,,,,,,,,,,,,,,,,,Abercrombie Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,57.1460911,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,107,,,,,,,,,,,,,,,,,Sheen Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2948949,,,,,,,,,,,,,,,,,Ace Dental Care,,,,,,,+44 20 8940 1416,,,,,,,,,,dentist,,,,,51.4620771,,,,,,2,,,,,,,,,,,,,house,,,,1,,,dentist,,,
,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5487564,,,,,,,,,,,,,,,,,Acle Dental Surgery,,,,,,,,,,,,,,,,,dentist,,,,,52.6392377,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,1078,,,,,visual survey;OS_OpenData_StreetView,,,,,,,,,,,,Warwick Road,,,,,Birmingham,,,B27 6BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8232190,,,,,,,,,,,,,,,,,Acocks Green Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.4464303,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YO24 3BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1280106,,,,,,,,,,,,,,,,,Acomb Dental Surgery,,,,,,,,,,,,,,,,,dentist,,,,,53.9542797,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,
,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,SL6 8GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7126572,,,,,,,,,,,,,,,,,Acorn Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,51.5234953,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,11,,,,,,,,,,,,,,,,,Vine Street,,,,,,,,WR11 4RE,,,,,147543,,,,,,,,,,,,,,,,,,,,,,,,English Heritage,,,,-1.9485069,,,,,,,,,,,,,,,,Grafton House,Active Smile,,,,,Grade II,,,,,,,,,,,,dentist,,,,,52.0920636,,,,,,,,,,,,,,,,CQC open data,,,yes,,,,,,,,,,
,,,,,,,,44,,,,,survey,,,,,,,,,,,,High Pavement,,,,,,,,NG1 1HW,,,,,1254513,,,,,,,,,,,,,,,,,,,,,,,,English Heritage,,,,-1.1428082,,,,,,,,,,,,,,,,,Aesthetic Dental Studio,,http://www.aestheticdentalstudio.co.uk/,,,Grade II,,,,Denticare,,,,,,,,dentist,,,,,52.9509241,,Q26546174,NCC Open Data planning,,,,,,,,,,,,,,,,commercial,,,,,,,dentist,,,
,,,,,,,,2,,,,,Bing;OS StreetView,,,,,,,,,,,,Lordship Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0754720,http://dulwichdentists.co.uk/,,,,,,,,,,,,,,+44 20 8299 1434,,Aesthetic Dental Zone,,,,,,,,,,,,,,,,,dentist,,,,,51.4605602,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3583625,,,,,,,,,,,,,,,,,Ainsworth Village Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.5880348,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,30,,,,,,,,,,,,,,,,,Parkhurst Road,,,,,Bexhill-on-Sea,,,TN40 1DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4718904,,,,,,N R Forsythe Dental Surgery,,,,,,,,"Mo-Th 09:00-13:00, 14:00-17:00",+44 1424 731753,,Albany Dental Practice,,,,,,,,,,,,,,,,yes,dentist,,,,,50.8395755,,,,,,3,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,1 & 1A,,,,,,,,,,,,,,,,,Albert Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9470617,,,,,,,,,,,,,,,,,Albert Road Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.0960114,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,215,,,,,,,,,,,,,,,,,Bradford Road,,,,,Batley,,,WF13 2HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6311412,,,,,,,,,,,,,,,,,Albion Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,53.7012983,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5591221,,,,,,,,,,,,,,,,,Alexandra Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.7711585,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2499654,,,,,,,,,,,,,,,,,Alexandra Dental Surgery,,,,,,,,,,,,,,,,,dentist,,,,,51.3308384,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1593624,,,,,,,,,,,,,,,,,Alexandra Road Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,52.6634220,,,,,,2,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,55,,,,,,,,,,,,,,,,,All Saints Green,,,,,Norwich,,,NR1 3LY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2942258,,,,,,,,,,,,,,,,,All Saints Green Dentists Surgery,,,,,,,+44 1603 623936,,,,,,,,,,dentist,,,,,52.6234254,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,slate,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,-0.9678295,,,,,,,,,,,,,,,,,Alton Dental,,http://www.altondental.co.uk,,,,,,,,,,,,,,,dentist,,,,,51.1540338,,,,,,2,,,,,,plaster,,,,,,,yes,white,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4038553,,,,,,,,,,,,,,,,,Amber Valley Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.0747141,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,72,,,,,,,,,,,,,,,,,Amwell Street,,,,,,,,EN11 8UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0111302,,,,,,,,,,,,,,,,,Amwell Street Dental Practice,,,,,,,+44 1992 443649,,,,,,,,,,dentist,,,,,51.7647360,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,88,,,,,,,,,,,,,,,,,Hall Road,,,,,Norwich,,,NR1 3HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2975017,,,,,,,,,,,,,,,,,Andrew Brown Dental Surgeon,,,,,,,,,,,,,,,,,dentist,,,,,52.6186303,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1551907,,,,,,,,,,,,,,,,,Anele de Novo,,,,,,,,,,,,,,,,,dentist,,,,,51.3702195,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,92,,,,,,,,,,,black,,,,,,Chamberlayne Road,,,,,,,,NW10 3JL,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,-0.2183961,http://www.angel-implants-centre.co.uk/,,,,,,,,,,,,,,,,Angel Dental Implant Centre,,,,,,,,,,,,,,,,no,dentist,,,,,51.5330665,,,,,,2,,,,,,,,,,,,,residential,grey,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cambridge,,,CB3 9HX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1110678,,,,,,,,,,,,,,,,Lammas Field Pavilion,Anglia Orthodontics,,,,,,,,,,,,,,,,,dentist,,,,,52.1963357,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,James Street,,,,,Brightlingsea,,,CO7 0DA,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,1.0254303,,,,,,,,,,,,,,Mo-Fr 07:00-17:00,,,Anthony Coe Dental Laboratory,,https://www.anthonyjcoe-dental.co.uk/,,,,,+44 1206 305069,,,,,,,,,,dentist,,,,,51.8094234,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,210,,,,,,,,,,,,,,,,,New London Road,,,,,,,,CM2 9AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4614134,,,,,,,,,,,,,,,,,Apex Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,51.7241472,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4794740,,,,,,,,,,,,,,,,,Apple,,,,,,,,,,,,,,,,,dentist,,,,,53.5509176,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,Bing;photographic_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2028741,,,,,,,,,,,,,,,,,Apple,,,,,,,,,,,,,,,,,dentist,,,,,51.4853907,,,,,,4,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188400,,,,,,,,,,,,,,,,,Apple Tree Dental Practice,,http://www.appletreedentalpractice.co.uk/,,,,,,,,,,,,,,,dentist,,,,,52.1868840,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,Testwood Lane,,,,,"Totton, Southampton",,,SO40 3AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4873531,,,,,,,,,,,,,,,,,Appollonia Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,50.9193712,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2159876,,2017-01-15,,,,,,,,,,,,,,,Archway Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.7438259,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3556168,,,,,,,,,,,,,,,,,Archway Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.6815596,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,34,,,,,,,,,,,,,,,,,St John's Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1331703,,,,,,,,,,,,,,,,,Archway Park Dental,,http://www.access-smile.co.uk/why-access-smile/london-consultation,,,,,,,,,,,,,,,dentist,,,,,51.5663282,,,,,,3,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,59,,,,,bing,,,,,,,,,,,,Arrowe Park Road,,,,,Upton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0976248,,,,,,,,,,,,,,,,,Arrowe Park Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.3789425,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1650561,,,,,,,,,,,,,,,,,Arundel Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.3592709,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7336500,,,,,,,,,,,,,,,,,Ashfield House,,,,,,,,,,,,,,,,,dentist,,,,,52.8773358,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,138,,,,,,,,,,,,,,,,,Ashgate Road,,,,,Chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4473145,,,,,,,,,,,,,,,,,Ashgate Dentist Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.2390885,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,27,,,,,OS_OpenData_StreetView,,,,,,,,,,,,Ashley Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3710523,,,,,,,,,,,,,,,,,Ashley Dental Centre,,,,,,,,,,,,,,,,,dentist,,,,,51.4162881,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,380,,,,,,,,,,,,,,,,,Gloucester Road,,,,,,,,BS7 8TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5870080,,,,,,,,,,,,,,Mo-We 09:00-18:00; Th 08:30-17:30; Fr 08:30-13:00,,,Ashley Down Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,51.4838758,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,44,,,,,,,,,,,,,,,,,High Street,,,,,Ashwell,,,SG7 5NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1532301,,,,,,,,,,,,,,"Mo-Fr 08:30-13:00,14:00-17:00",,,Ashwell Dental Surgery,,,,,,,,,,,,,,,,,dentist,,,,,52.0410546,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4424830,,,,,,,,,,,,,,,,,Aspen House Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,50.7146030,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,5a-7a,,,,,,,,,,,,,,,,,High Street,,,,,,,,BS31 1DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4986205,,,,,,,,,,,,,,,,,Avon House Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.4170599,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,Warwicks CC Aerial Imagery 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4926443,,,,,,,,,,,,,,,,,BUPA Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,52.4079029,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
