amenity,healthcare:speciality,wikipedia,layer,alt_name,operator,addr:housenumber,alt_name_1,addr:town,service,lon,building:levels,opening_hours,operator:type,addr:housename,name,note,source,addr:place_1,email,website,fax,description,emergency,fixme,leisure,phone,historic,old_name,lat,addr:street,building,phone_alt,name:ga,name:en,addr:city,addr:postcode,wheelchair,addr:place,healthcare,landuse
clinic,,,,,,,,,,-6.1557053,,,,,HSE Health Clinic,,,,,,,,,,,,,,53.2706297,,,,,,,,,,clinic,
clinic,,,,Health Service Executive,HSE,,,,,-6.1371863,,"Mo-Fr 09:00-12:45,01:45-17:00",government,,HSE Our Lady's Clinic,,,,,https://www.hse.ie/,,,,,,,,,53.2914317,Patrick Street,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-7.7664364,,,,,HSE Primary Care Centre,,,,,,,,,,,,,,54.8050288,,yes,,,,,,,,clinic,
clinic,,,,,,,,,health,-8.2194838,,,,,"HSE, The Derg Centre",,,,,,,,,,,,,,52.8719816,,,,,,,,,,,
clinic,,,,,,,,,,-9.3028959,,,,,Health Centre,,,,,,,,,,,,,,53.8527525,,yes,,,,,,,,clinic,
clinic,,,,,HSE,,,,,-7.0431644,,,,,Health Centre,,,,,,,,,,,,,,52.9423387,,yes,,,,,,,,,
clinic,general;psychiatry;dentistry;social_work;physiotherapy;public_health,,,,Health Service Executive,,,,,-6.3147542,,,,,Inchicore Primary Care and Mental Health Centre,,,,,,,,,,,,,,53.3378493,St Michael's Estate,,,,,,,,,clinic,
clinic,,,,,,,,,,-8.2242985,1,Mo-Fr 09:00-05:00,,,Ionad Sláinte,,,,,,,,,,,,,,55.2644589,,service,,Ionad Sláinte,Tory Health Centre,,,,,clinic,
clinic,,,,,,"43,44",,,,-9.5145456,,,,,Kingdom Clinic,,,,,,,,,,,,,,52.0586086,New Street,yes,,,,Killarney,,,,clinic,
clinic,,,,,,,,,,-9.2868350,,,,,Lisdoonvarna Health Centre,,,,,,,,,,,,,,53.0292672,,yes,,,,,,,,,
clinic,,,,,,,,,,-9.8064937,,Mo-Fr 09:00-17:00,,,Louisburgh Medical Practice,,,,,,,,,,,,,,53.7631755,,detached,,,,,,,,,
clinic,,,,Marian House,,,Autism services (South Lee),,,-8.4932752,,,,,Marian House ASD Services,,,,,,,,,,,+353 21 434 7087,,,51.8588902,,yes,,,,,,,,clinic,
clinic,general,,,,,,,,,-6.5296050,2,Mo-Fr 09:00-18:00,,,McGreals Primary Care Centre,,,,,http://mcgrealsprimarycare.ie/,,,,,,,,,53.1765033,Blessington Business Park,commercial,,,,,,,,clinic,
clinic,,,,,,,,,,-6.3554102,,,,,Millbrook Lawns Health Centre,,,,,,,,,,,,,,53.2845061,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-7.8654143,,,,,Mohill Primary Care Centre,,,,,,,,,,,,,,53.9234678,,yes,,,,,,,,,
clinic,,,,,,,,,,-7.3455377,,,,,Mullingar Primary Care Centre,,,,,,,,,,,,,,53.5326851,,,,,,,,,,clinic,
clinic,,,,,,,,,,-6.2561453,2,,,,Northbrook Clinic,,,,,http://www.northbrookclinic.ie/,,,,,,,,,53.3285908,Northbrook Road,yes,,,,Dublin,,,,clinic,
clinic,,,,,,,,,,-6.3026502,,,,,Old County Road Health Centre,,,,,http://www.hse.ie/eng/services/list/1/LHO/DublinSW/,,,,,,+353 1 4154700,,,53.3289558,Crumlin Road,,,,,Dublin 12,,,,clinic,
clinic,,,,,,,,,,-8.8524384,,,,,Palace Medical Centre,,,,,,,,,,,,,,53.5228586,,,,,,,,,,clinic,
clinic,,,,,,,,,,-9.4894407,,,,,Park Medical & Dental Centre,,,,,,,,,,,,,,52.0606536,Park Road,yes,,,,Killarney,,,,clinic,
clinic,,,,,,,,,,-6.3060069,,,,,Primary Care Centre,,,,,,,,,,,,,,53.3194176,Armagh Road,,,,,,D12 W62N,,,clinic,
clinic,general;community,,,,HSE,,,,,-6.2823827,,,,,Primary Care Centre,,,,,,,,,,,,,,53.3569212,Grangegorman Upper,,,,,,,,,clinic,
clinic,,,,,Health Service Executive,,,,,-8.4747158,,,,,Primary Care Centre Sligo,"A building containing 3 separate doctor practices. The mall family practice, medicentre and the health centre. A total of 12 doctors and 6 practice nurses. A conference room is also in the building.",,,,,,,,,,,,,54.2768244,Barrack Street,yes,,,,Sligo,,yes,,clinic,
clinic,,,,,,,,,,-9.1500886,,,,,Primary Care Medical Centre,,,,,,,,,,,,,,53.1142297,,yes,,,,,,,,,
clinic,addictions;physiotherapy,,,,,6,,,,-6.2439189,,,,,Priority Medical,,,,,http://prioritymedicalclinic.ie/,,,,,,+353 1 291 6153,,,53.2898266,Pembroke Cottages,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-6.9926090,,09:00-18:00,,,Rathangan Medical Center,,,,,,,,,,,,,,53.2208388,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-8.2810167,,,,,Rathcormac Clinic,,,,,,,,,,,,,,52.0785389,,,,,,,,,,,
clinic,,,,,,,,,,-7.5339952,,,,,Rathmullan Health Centre,,,,,,,,,,,,,,55.0956526,,yes,,,Rathmullan Health Centre,,,,,clinic,
clinic,,,,,,,,,,-7.8652410,,,,,Reflections,,,,,,,,,,,,,,53.9219172,,yes,,,,,,,,,
clinic,,,,,,,,,,-6.3828729,,,,,Roselawn Health Centre,,,,,,,,,,,,,,53.3844999,,clinic,,,,,,,,clinic,
clinic,,,,,,,,,,-6.2009724,,Mo-Th 08:00-19:30; Fr 08:00-17:00; Sa 10:00-13:00,,Slievemore Clinic,Slievemore Clinic,,,,,https://www.slievemore-clinic.com/,,,,,,+353-1-200-0501,,,53.2926380,Old Dublin Road,commercial,+353-1-200-0502,,,Stillorgan,,,,clinic,
clinic,,,,,,,,Youghal,,-7.8626907,,,,,South Doc Youghal,,,Foxhole Industrial Park,,https://www.southdoc.ie,,Health Centre and Out of Hours Doctor service.,,,,1850 335 999,,,51.9710190,,,,,,,,,Millenium Park,centre,
clinic,,,,,,,,,,-6.2215601,,,,,Swords Health Centre,,,,,,,,,,,+353 1 890 2200,,,53.4595885,,yes,,,,,,,,centre,
clinic,,,,,,,,,,-8.4976020,,Mo-Fr 09:00-17:00,,,The Cork Clinic,,,,,http://www.thecorkclinic.ie,,,,,,,,,51.8936248,Western Road,,,,,Cork,,,,clinic,
clinic,,,,,,,,,,-9.2879402,,,,,The Mayo Clinic,,,,,,,,,,,,,,53.8556081,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-6.2808994,,,,,Thomas Court Primary Care Clinic,,,,,,,,,,,,,,53.3424219,Hanbury Lane,yes,,Ionad Cúram Príomhúil Chúirt San Tomás,,,,,,clinic,
clinic,,,,,,,,,,-8.8533571,,Mo-Fr 09:30-17:00,,,Tuam Health Centre,,,,,,,,,,,,,,53.5119146,,yes,,,,,,,,clinic,
clinic,,,,,HSE,,,,,-6.7306141,,,,,Tullow Health Centre,,,,,,,,,,,,,,52.8037328,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-8.8935277,,,,,Turloughmore Clinic,,,,,,,,,,,,,,53.3690210,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-7.0683527,,,,,Virginia Community Health Centre,,,,,,,,,,,,,,53.8309260,,,,Ionad Sláinte Pobail Achadh An Iúir,,,,,,clinic,
clinic,,,,,,,,,,-6.1748913,,,,,Walmer College and Holistic Centre,,,,,,,,,,,,,,53.3843386,,yes,,,,,,,,clinic,
clinic,,,,,Health Service Executive,,,,,-6.4658331,,"Mo-Fr 09:00-17:00; Sa,Su off",public,,Wexford Community Services,,,,,,,,,,,,,,52.3398680,Upper Georges Street,,,,,Wexford,,,,clinic,
clinic,,,,,Health Service Executive,,,,,-6.4659669,,,public,,Wexford Primary Care Centre,,,,,,,,no,,,,,,52.3351370,Grogans Road,,,,,Wexford,,,,clinic,
clinic,,,,,,,,,,-7.1738185,,,,,Whitfield Clinic,,,,,,,,,,,,,,52.2403224,,,,,,,,,,clinic,
clinic,,,,,,,,,,-8.5792816,,,,,health centre,,,,,,,,,,,,,,53.8997838,,yes,,,,,,,,,
