amenity,name:da,fvst:navnelbnr,uuid:building,lon,contact:website,layer,loc_name,wikidata,alt_name,operator,emergency,contact:phone,wikipedia,name:de,source,smokefree,healthcare:speciality,type,email,website,description,short_name,phone,old_name,lat,smoking,smoking:outside,name:lt,building,name:en,operator:type,name,fvst:name,wheelchair,healthcare,toilets:wheelchair
hospital,,,,10.6085358,,,,,,,,,,,,,,,,,,,,,55.0562255,,,,,,,OUH Svendborg Sygehus,,,,
hospital,,,,10.3622345,,,,Q2496415,,,yes,,,Universitätsklinikum Odense,,,,,,http://www.ouh.dk/,,OUH,,,55.3891189,,,,,Odense University Hospital,,Odense Universitetshospital,,yes,,
hospital,,,,9.4058323,,,,,,,,,,,,,,,,,,,,,56.4448854,,,,yes,,,Patienthotellet,,yes,,
hospital,,72258,,9.5370458,,,,,,,,,,,,,,,,,,,,,55.6988877,,,,hospital,,,Privathospitalet Mølholm,,,,
hospital,,,,11.6592871,,,,,,,,,,,Geodatastyrelsen : FOT ortofoto,,,,,,,,,,55.9087252,,,,,,,Psykiatri Hospitalet Nykøbing Sjælland,,,,
hospital,,,,8.4406232,,,,,,,,,,,,,,,,,,,,,55.4941919,,,,,,,"Psykiatricenter Vest, Esbjerg",,,,
hospital,,,,12.3564078,,,,,,,,,,,,,,,,,,,,,55.7234806,,,,,,,Psykiatrisk Center Ballerup,,,,
hospital,,,,12.4441544,,,,,,,yes,,,,,,,,,,,,,,55.6504542,,,,,,,Psykiatrisk Center Glostrup (afdeling Hvidovre),,,,
hospital,,,,12.3243049,,,,,,,,,,,,,,,,,,,,,55.9310123,,,,,,,Psykiatrisk Center Nordsjælland - Afdeling Hillerød,,yes,,
hospital,,,,12.0660418,,,,Q10661356,,,,,,,,,psychiatry,,,,,,,,55.6523149,,,,,,,Psykiatrisk Center Sct. Hans,,,hospital,
hospital,,,,9.9958883,,,,Q30039051,,,,,,,,,,,,,,,,,57.4530766,,,,,,,Regionshospital Nordjylland,,,,
hospital,,,,8.6284558,,,,Q12333114,,,yes,,da:Regionshospitalet Holstebro,,,,,,,,,,,,56.3625856,,,,,,,Regionshospitalet Holstebro,,,,
hospital,,,,9.8713133,,,,,,,yes,,,,,,,,,http://www.regionshospitalet-horsens.dk/,,,,,55.8642910,,,,,,,Regionshospitalet Horsens,,,,
hospital,,,,10.0462763,,,,Q12333115,,,yes,,da:Regionshospitalet Randers,,,,,,,,,,,,56.4694205,,,,,,,Regionshospitalet Randers,,,,
hospital,Regionshospitalet Silkeborg,,,9.5580562,http://www.hospitalsenhedmidt.dk/regionshospitalet+silkeborg,,,Q17312478,,,yes,+4578415000,da:Regionshospitalet Silkeborg,,,,,,,,,,,,56.1710665,,,,,,,Regionshospitalet Silkeborg,,yes,,
hospital,,,,12.2485936,,,,,,,,,,,,,,,,,,,,,55.5938427,,,,yes,,,Rehabiliteringscentret Hedebo,,,,
hospital,,,,12.5646201,,,,Q3357360,Riget,,yes,,da:Rigshospitalet,,,,,,,https://www.rigshospitalet.dk/,,,,,55.6995964,no,no,,,,,Rigshospitalet,,yes,,
hospital,,,,11.7896470,,,,,,,,,,,,,,,,,,,,,55.4504763,,,,,,,Ringsted Sygehus,,,,
hospital,,,,12.0947700,,,,Q12333823,"Sjællands Universitetshospital, Roskilde",,yes,,,,,,,,,https://www.regionsjaelland.dk/sundhed/geo/roskildesygehus,,,,,55.6358365,,,,,,,Roskilde Sygehus,,yes,,
hospital,,,,10.5903912,,,,Q12334459,,,yes,,da:Samsø Sundheds- og Akuthus,,,,,,,,,,,,55.8307263,,,,,,,Samsø Sundheds- og Akuthus,,,,
hospital,,,,11.9448063,,,,,,,,,,,,,,,,,,,,,55.3372384,,,,,,,Sclerosehospitalet Haslev,,,,
hospital,,539391,,9.5958870,,,,,,,,,,,,,,,,,,,,,55.7257344,,,,yes,,,Sct. Maria Hospice Center,,,,
,,,,10.5343081,,,,,,,,,,,,,,,,,,,,,57.4454501,,,,,,,"Sengeafsnit N7, Frederikshavn",,,,
hospital,,,,9.9282981,,,,,"Skanderborg Sundhedscenter, Hospitalsenheden Horsens",,,,,,,,,,,,,,,,56.0339807,,,,yes,,,Skanderborg Sundhedscenter,,,,
hospital,,23789,,9.8751178,,,,,,,,,,,,,,,,,,,,,56.8360904,,,,yes,,,Skørping Privat Hospital,PRIVATHOSPITALET SKØRPING,,,
hospital,,700526,,12.5236738,,,,,,,,,,,,,,,,,,SDCC,,,55.7554454,,,,,,,Steno Diabetes Center Copenhagen,,,hospital,
hospital,,,,11.6213601,,,,,,,,,,,,,,,,,,,,,54.8001079,,,,,,,Støttecenter Saxenhøj,,,,
hospital,,,,11.6263777,,,,,,,,,,,,,,,,,,,,,54.8014586,,,,,,,Støttecenter Saxenhøj,,,,
hospital,,,517C0C0F-A8FA-4FCF-88C7-D2E8A5A8400D,9.4821491,,,,,,,,,,,Kolding Kommune,,,,,,,,,,55.5007520,,,,yes,,,Sundhedsområdet Klostergården,,,,
hospital,,,,8.4555340,,,,Q25110238,,,yes,,da:Esbjerg Sygehus,,,,,,,,,,,,55.4734797,,,,,,,"Sydvestjydsk Sygehus, Esbjerg",,,,
hospital,,,,10.2359368,,,,Q12300343,Psykiatrisk Hospital,,,,da:Aarhus Universitetshospital,,,,,,,http://www.auhrisskov.dk/,,,,,56.1839778,,,,,,,Århus Universitetshospital Risskov,,,,
hospital,,,,10.1904339,,,,Q12326201,,,,,da:Marselisborg Hospital,,,,,,,,,,,Marselisborg Hospital,56.1416224,,,,,,,Århus Universitetshospital Århus Sygehus,,yes,,
hospital,,,,10.4062921,,,,,,,yes,,,,,,,,,,,,,,54.8924021,,,,yes,,,Ærø Sygehus,,,,
