amenity,office,healthcare:speciality,building:part,ref:bag,contact:website,layer,height,wikidata,alt_name,operator,ele,addr:housenumber,access,short_name,building:levels:underground,electricity,opening_hours,contact:phone,wikipedia,name,note,source,smokefree,roof:material,addr:housename,start_date,website,lon,description,emergency,toponym,source:date,phone,construction,name:local,old_name,lat,smoking,addr:street,building,name:en,operator:type,addr:city,designation,roof:shape,url,addr:postcode,wheelchair,email,building:levels,healthcare,toilets:wheelchair,health_amenity:type,addr:country,internet_access
hospital,,,,,,,,,,,,,,,,,,,,Basalt Revalidatiecentrum,,,,,,,,4.4691982,,,,,,,,,52.1697278,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,Beatrixziekenhuis,,,,,,,,4.9552317,,,,,,,,,51.8401003,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Bernhoven,,,,,,,,5.6060862,,,,,,,,,51.6720866,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Bethesda,,,,,,,,6.4605510,,,,,,,,,52.7273353,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,Q2043120,,,,,,,,,,,,BovenIJ Ziekenhuis,,,,,,,,4.9208111,,,,,,,,,52.4050181,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,100,,,,,,,,Canisius-Wilhelmina Ziekenhuis,,BAG,,,,,https://www.cwz.nl/,5.8326534,,yes,,2014-05-07,+31243657657,,,,51.8186865,,Weg door Jonkerbos,,,,Nijmegen,,,,6532SZ,,,,,,,,
hospital,,,,,,,,Q3120439,,,,2,,,,,,,,Catharina Ziekenhuis,,BAG,,,,,https://www.catharinaziekenhuis.nl/,5.4694144,,yes,,2017-03-30,,,,,51.4644195,,Michelangelolaan,,,,Eindhoven,,,,5623EJ,,,,,,,NL,
hospital,,,,,,,,,,Sein,,,,,,,,,,Cruquiushoeve,,,,,,,,4.6482895,,no,,,,,,,52.3302143,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,CMC,,,,,,Curaçao Medical Center,,,,,,2019-11-15,https://cmc.cw/,-68.9426995,,yes,,,+599 9 745 0000,building,,,12.1104340,,J. H. J. Hamelbergweg,,,,,,,,,,info@cmc.cw,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,De Canha Physical Therapy,,KG Ground Survey 2015,,,,,,-68.9041058,,,,,,,,,12.1055343,,Dokter W. P. Maalweg,yes,,,Willemstad,,,,,,,,,,,CW,
hospital,,,,,,,,,,,,,,,,,,,,Delta Ziekenhuis,,,,,,,,4.3917481,,,,,,,,,51.8464042,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,75,,,,,,,,Deventer Ziekenhuis,,BAG,,,,,https://www.dz.nl/,6.1893770,,yes,,2014-02-11,+570 53 53 53,,,,52.2627765,,Nico Bolkesteinlaan,,,,Deventer,,,,7416SE,,,,,,,,wlan
hospital,,general,,405100000551806,,,,,,Dijklander Ziekenhuis,,3,,,,,,,,Dijklander Ziekenhuis,,BAG,,,,2001,,5.0552318,,yes,,2014-03-24,,,,Westfriesgasthuis,52.6471812,,Maelsonstraat,yes,,public,Hoorn,,,,1624NP,yes,,3,hospital,yes,,,
hospital,,,,758100000006709,,,,,,,,26,,,,,,,,Doornbos Fysio Groep,,BAG,,,,1969,https://doornbosfysio.nl/,4.7956926,,no,,2014-02-11,+31 76 572 00 57,,,,51.5987116,,Abdijstraat,,,,Breda,,,,4816JL,yes,,,,,,,
hospital,,,,,,,,,,,,1,,,,,,,,Dr. Horacio Oduber Hospital,,,,,,,http://www.arubahospital.com/,-70.0602569,,yes,,,+297 527 4000,,,,12.5432798,,Dr Horacio Oduber Boulevard,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,EHBO building,,,,,,,,4.2556009,,,,,,,,,51.8734753,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,ETZ Elisabeth ziekenhuis,,Eyes,,,,,,5.1011230,,yes,,,,,,,51.5400210,,,,,,,Ziekenhuis,,,,,,,,,,,
hospital,,,,,,,,,,,,5,,,,,,,,ETZ TweeSteden ziekenhuis,,,,,,,https://www.etz.nl,5.0567980,,,,,,,,,51.5789916,,Doctor Deelenlaan,,,,Tilburg,,,,5042AD,yes,,,,yes,,,
hospital,,,,,,,,Q36423143,,,,,,,,,,,nl:Daniel den Hoedkliniek,Erasmus MC Daniel den Hoed,,,,,,,,4.5034912,,,,,,,,,51.8861095,,,,,,,,,http://www.erasmusmc.nl/overerasmusmc/bereikbaarheid/daniel.den.hoed/,,,,,,,,,
hospital,,,,,,,,Q3126873,,,,40,,,,,,,nl:Erasmus MC,Erasmus Medisch Centrum,,,,,,,https://www.erasmusmc.nl/,4.4668569,,yes,,,+31 107040704,,,,51.9121723,,Dokter Molewaterplein,,,,Rotterdam,,,,3015 GD,,,,hospital,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,Flevoziekenhuis,,,,,,,https://www.flevoziekenhuis.nl,5.2228711,,yes,,,,,,,52.3681365,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,Fundashon Mariadal,Decompression chamber,KG Ground Survey 2015,,,,,,-68.2749353,,yes,,,,,,,12.1546622,,Kaya Soeur Bartola,,,,Kralendijk,,,,,,,,,,,,
hospital,,,yes,,,,,,,,,128,,,,,,,,GGD Den Haag,,BAG,,,,,https://www.denhaag.nl/ggd/,4.3018915,,,,,14 070,,,,52.0753913,,Westeinde,,,,'s-Gravenhage,,,,2512 HE,,,,,,,NL,
hospital,,,,,,,,,,,,130,,,,,,,,GGZ Centraal / Fornhese,,,,,,,,5.6091141,,no,,,,,,,52.3058205,,Horsterweg,,,,Ermelo,GGZ,,,3853JE,,,,,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,GGZ Delfland,,,,,,,,4.3608398,,,,,,,,,52.0202132,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,GGZ Rivierduinen,,,,,,,,4.4580431,,,,,,,,,52.1720971,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,GGZ Rivierduinen,,,,,,,,4.4664676,,,,,,,,,52.1753359,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,Gelre Ziekenhuizen,,31,,,,,,,,"Gelre Apeldoorn, Lukas",,,,,,,https://www.gelreziekenhuizen.nl/Gelreziekenhuizen,5.9444701,,,,,055 581 81 81,,,,52.1816343,,Albert Schweitzerlaan,,,,Apeldoorn,,,,7334DZ,,,,,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,Gelre Zutphen,,,,,,,,6.2162075,,,,,,,,,52.1219588,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Gezondheidscentrum Het Noorderdok,,,,,,,,5.1750391,,,,,,,,,52.3892951,,,,,,,,,,,,,,hospital,,,,
hospital,,,,518100000229054,,,,Q2688157,,Haaglanden Medisch Centrum,,5,,,,,,,,HMC Bronovo,,BAG,,,,1966,http://www.haaglandenmc.nl/,4.3183272,,yes,,2014-02-11,070-3124141,,,,52.1013863,,Bronovolaan,yes,,,'s-Gravenhage,,,,2597AX,,,,,,,NL,
hospital,,,,518100000326658,,1,,Q13797957,,Haaglanden Medisch Centrum,,32,,,,,,,,HMC Westeinde,,BAG,,,,1979,http://www.haaglandenmc.nl/,4.2986074,,yes,,2014-02-11,,,,,52.0745127,,Lijnbaan,,,,'s-Gravenhage,,,,2512VA,,,,,,,,
hospital,,,,,,,,Q1867417,,,,275,,,,,,,"nl:HagaZiekenhuis, locatie Leyweg",HagaZiekenhuis locatie Leyweg,,BAG,,,,,https://www.hagaziekenhuis.nl/locaties/Leyweg/,4.2620612,,yes,,2017-02-21,070 210 0000,,,,52.0568138,,Els Borst-Eilersplein,,,,'s-Gravenhage,,,,2545AA,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Hearing Aid Screening,,KG Ground Survey 2015,,,,,,-68.9168534,,,,,,,,,12.1005855,,Wageningenstraat,yes,,,Willemstad,,,,,,,,,,,CW,
hospital,,,,0889100000274568,,,,,,,,,,,,,,,,Huisartsenpost Reuver,,BAG,,,,1994,,6.0813748,,,,2019-08-20,,,,,51.2830442,,,yes,,,,,,,,,,,,,,,
hospital,,,,299100000398462,,,,,,,,,,,,,Mo-Fr 17:00-23:00; Sa-Su 08:00-23:00,,,Huisartsenpost Zevenaar,,BAG,,,,2006,https://www.onzehuisartsen.nl/onze-huisartsen/huisartsenposten/huisartsenpost-zevenaar/,6.0696315,,yes,,2014-03-24,0900-1598,,,,51.9430275,,,yes,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,IJsselland Ziekenhuis,,,,,,,,4.5644474,,,,,,,,,51.9393031,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,"IMSAN Dr, Rudy Engelbrecht Medical Center",,,,,,,,-69.9161344,,,,,,,,,12.4401075,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Ikazia Ziekenhuis,,,,,,,,4.4935193,,,,,,,,,51.8869302,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,2,,,,,,,,Isala,,bing,,,,,https://www.isala.nl/contact-en-locaties/isala-zwolle/,6.1205668,,yes,,,+3138424500,,,,52.5137535,,Dokter van Heesweg,,,,Zwolle,,,,8025AB,yes,,,,yes,,NL,
hospital,,,,,,,,,,Isala,,,,,,,,,,Isala Diaconessenhuis,,,,,,,,6.2149550,,yes,,,,,,,52.6913555,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,LUMC Curium,,,,,,,,4.4577736,,,park,,,,,,52.1728507,,,,,,,,,www.curium.nl,,,,,hospital,,,,
hospital,,,,,,,,Q2406409,,,,2,,LUMC,,,,,,Leids Universitair Medisch Centrum,,,,,,,https://www.lumc.nl/,4.4744932,,yes,,,+31 71 5269111,,,,52.1670801,,Albinusdreef,,,,Leiden,,,,2333 ZA,yes,,,,,,NL,
hospital,,psychiatry,,,,,,,,,,,,,,,,,,Lentis Zuidlaren,,,,,,,,6.6656931,,,,,,,,,53.0888003,,,,,,,,,,,,,,hospital,,,,
hospital,,,,677100000605105,https://www.zorgsaam.org/ziekenhuis/service-contact/contact-route,,,,,ZorgSaam Zorggroep Zeeuws-Vlaanderen,,,,,,,,+31 114 373000,,Liduina,,BAG,,,,1995,,4.0511734,,,,2014-03-24,,,,,51.2873154,,,hospital,,,,,,,,,,,hospital,,,,
hospital,,,,72100000288855,,,,,,,,,,,,,,,,MCL Harlingen,,BAG,,,,1974,,5.4279888,,,,2014-09-08,,,Oranjeoord,,53.1622772,,,yes,,,,,,,,yes,,,,yes,,,
hospital,,,,,,,,,,MMC,,3,,,,,,,,MMC Meander Medisch Centrum,,,,,,,,5.3694539,,,,,,,,,52.1730851,,Maatweg,,,,Amersfoort,,,,3828NK,,,,,,,NL,
hospital,,,,,,,,,Maxima Medisch Centrum Veldhoven,,,4600,,,,,,,,MMC Veldhoven,,,,,,,https://www.mmc.nl/,5.4148429,,,,,040 888 8000,,,,51.4067898,,De Run,,,,Veldhoven,,,,5504 DB,,,,,,,NL,
hospital,,,,,,,,Q2106000,,,,21,,,,,,,,Maasstad Ziekenhuis,,,,,,,https://www.maasstadziekenhuis.nl/,4.5350041,,yes,,,,,,,51.8779520,,Maasstadweg,,,,Rotterdam,,,,3079DZ,,,,,,,NL,
hospital,,,,,,,,,,,,25,,,,,,,,Maastricht UMC+,,,,,,,https://www.mumc.nl/,5.7098035,,,,,+31 (0)43-3876543,,,,50.8324448,,P. Debyelaan,,,,Maastricht,,,,6229 HX,,,,hospital,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,Make Me Smile Dentist,,KG Ground Survey 2015,,,,,,-68.9455486,,,,,,,,,12.1127174,,Kraayenhofstraat,yes,,,Willemstad,Dentist,,,,,,,,,,CW,
hospital,,,,,,,,Q1829327,,,6,1,,,,,,,nl:Martini Ziekenhuis,Martini Ziekenhuis,,,,,,,https://www.martiniziekenhuis.nl/,6.5486747,,yes,,,+31 050 524 5245,,,,53.1910220,,Van Swietenplein,,,,Groningen,,,,9728NT,yes,,,,,,,
hospital,,,,,,,,,,,,,,MCL,,,,,,Medisch Centrum Leeuwarden,,,yes,,,,https://www.mcl.nl/,5.8004441,,yes,,,+31 58 2866666,,,,53.1902029,no,,,,,,,,,,,,,,,,,
hospital,,,,585100001327841,,,,,,,,101;103,,,,,Mo 08:00-19:00; Tu-Fr 08:00-17:00,,,Medisch Centrum Puttershoek,,BAG,,,,2007,,4.5638078,,no,,2014-10-09,,,,,51.8007600,,Standerdmolen,yes,,,Puttershoek,,,,3297TL,,,,,,,,
hospital,,,,,,,,Q2974418,,,,1,,,,,,,,Medisch Spectrum Twente,,,,,,,https://www.mst.nl/,6.8904235,,yes,,,+3153 487 2000,,,,52.2171957,,Koningsplein,,,,Enschede,,,,7512 KZ,,,,hospital,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,Máxima Medisch Centrum Eindhoven,,,,,,,,5.4896205,,no,,,,,,,51.4560812,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,Nij Smellinghe,,,,,,,,6.1094675,,yes,,,,,,,53.0980406,,,,,,,,,,,yes,,,,yes,,,
hospital,,radiology,,,,,,,,Noordwest Ziekenhuisgroep,,49,,,,,,,,Noordwest Ziekenhuisgroep,,,,,,,,4.8226999,,,,,,,,,52.6693789,,Stationsplein,,,,Heerhugowaard,,,,1703WD,,,,hospital,,,,
hospital,,,,400100000019941,,,,,,,,5,,,,,,,,Noordwest Ziekenhuisgroep,,BAG,,,,1962,,4.7448203,,yes,,2014-05-07,,,,,52.9585218,,Huisduinerweg,yes,,,Den Helder,,,,1782GZ,yes,,,,,,,
hospital,,,,,,,,,,,,131,,,,,,,,Noordwest Ziekenhuisgroep locatie Alkmaar,,,,,,,,4.7347704,,yes,,,,,,,52.6264921,,Wilhelminalaan,,,,,,,,1815 HM,,,,hospital,,,,
hospital,,,,,,,,,SLAZ,,,164,,,,,,,,OLVG Locatie West,,BAG,,,,,https://www.olvg.nl/,4.8388294,,,,2014-03-24,,,,,52.3723525,,Jan Tooropstraat,,,,Amsterdam,,,,1061AE,,,,,,,NL,
hospital,,maternity,,,,,,Q2491047,Onze Lieve Vrouwe Gasthuis,Onze Lieve Vrouwe Gasthuis (OLVG),,,,,,grid,24/7,,nl:Onze Lieve Vrouwe Gasthuis,"OLVG, locatie Oost",,,,,,,https://www.olvg.nl/,4.9165856,,yes,,,,,,,52.3590655,,,,,,,,,,,,,,doctor;hospital,,ultrasound,,yes
hospital,,,,,,,,,,,,,,,,,,,,Ommelander Ziekenhuis Groningen,,,,,,,https://www.ommelanderziekenhuis.nl/home/,6.9569542,,,,,,,,,53.1856664,,,,,,,,,,,,,,,,,,
hospital,,psychiatry,,,,,,,,,,,,,,,,,,Parnassia,,,,,,,,4.2049534,,,,,,,,,52.0439209,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Parnassia psycho-medisch centrum,,,,,,,,4.2470216,,,,,,,,,52.0610335,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Plexus Medical Center,,KG Ground Survey 2015,,,,,,-68.9076913,,,,,461 7790,,,,12.0959570,,Rotterdamweg,yes,,,Willemstad,,,,,,,,,,,CW,
hospital,,,,166100000015779,,,,,,,,,,,,,,,,Polikliniek,,BAG,,,,1998,,5.9191083,,,,2014-02-11,,,,,52.5517727,,,yes,,,,,,,,,,,,,,,
hospital,,,,518100000335217,,1,,,,,,,,,,,,,,PsyQ,,BAG,,,,2004,https://www.psyq.nl/,4.2987431,,no,,2014-02-11,,,,,52.0742126,,,yes,,,,,,,,,,,,,,,
hospital,,,,363100012137257,,,,,JBI,,,2,,,,,,,,Reade (JBI),,BAG,,,,1967,https://reade.nl/,4.8444895,,,,2014-03-24,,,,Jan van Breemen Instituut,52.3702008,,Dr. Jan van Breemenstraat,yes,,,Amsterdam,,,,1056AB,,,,,,,NL,
hospital,,,,,,,,,,Red Cross,,2,,,,,,,,Red Cross,,,,,,,,-62.9867763,,,,,,,,,17.4936409,,Weg leidende naar Under the Hill,yes,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Rehabilitations,,KG Ground Survey 2015,,,,,,-68.9090010,,,,,,,,,12.1070292,,Kaminda Saliña,yes,,,Willemstad,,,,,,,,,,,CW,
hospital,,,,1916100000101974,,,,,,,,,,,,,,,,Reinier de Graaf Diaconessenhuis,,BAG,,,,1963,,4.3513113,,,,2014-02-11,,,,,52.0610802,,,yes,,,,,,,,,,,,,,,
hospital,,,,,,,,Q14255098,,,,5,,,,,,,,Reinier de Graaf Gasthuis,,local_knowledge,,,,,https://reinierdegraaf.nl/,4.3394290,,yes,,,+31 15 2603060,,,,51.9983595,,Reinier de Graafweg,,,,Delft,,,,2625AD,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,Revalidatiecentrum De Vogellanden,,,,,,,,6.1173666,,,,,,,,,52.5027312,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,55,,,,,,,,Rijnstate Arnhem,,,,,,,https://www.rijnstate.nl/,5.9079105,,yes,,,+3188 055 8888,,,,52.0019291,,Wagnerlaan,,,,Arnhem,,,,6815 AG,,,,,,,NL,
hospital,,,,,,,,,,,,14A,,,,,,,,Rijnstate Ziekenhuis Zevenaar,,,,,,,https://www.rijnstate.nl/praktische-informatie/,6.0686639,,,,,+3188 055 8887,,,,51.9438021,,Hunneveldweg,,,,Zevenaar,,,,6903ZN,,,,,,,NL,
hospital,,,,375100000017357,,,,Q2715637,,,,,,,,,,,,Rode Kruis Ziekenhuis,,BAG,,,,1995,,4.6517641,,yes,,2014-06-10,,,,,52.4786730,,,hospital,,,,,,,,,,8,,,,,
hospital,,,,,,,,,,Saxenburgh Groep,,,,,,,,,,Röpcke-Zweers Ziekenhuis,,,,,,,,6.6315538,,yes,,,,,,,52.5740127,,,,,,,,,,,,,,,,,,
hospital,,psychiatry,,,,-1,,Q61875737,,,,,,,,,,,,Sinai Centrum,,,,,,,https://www.sinaicentrum.nl/,4.8756974,,no,,,,,,,52.2932477,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Sint Antonius Ziekenhuis Nieuwegein,,,,,,,,5.0785922,,,,,,,,,52.0244236,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,Q2632418,,,,500,,,,,,,nl:Franciscus Gasthuis,Sint Franciscus Gasthuis,,BAG,,,,,https://www.franciscus.nl/,4.4659297,,,,2014-02-11,,,,,51.9441478,,Kleiweg,,,,Rotterdam,,,,3045PM,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Sophia revalidatie,,,,,,,,4.2660989,,,,,,,,,52.0409252,,,,,,,,,,,yes,,,,yes,,,
hospital,,,,,,,,,Kennemer Gasthuis Locatie Noord,,,,,,,,,,nl:Spaarne Gasthuis,Spaarne Gasthuis Haarlem-Noord,,,,,,,https://spaarnegasthuis.nl/locatie/haarlem-noord,4.6487621,,,,,,,,,52.4225152,,,,,,,,,,,yes,,,hospital,,,,
hospital,,,,,,,,,Kennemer Gasthuis Locatie Zuid,,,22,,,,,,,,Spaarne Gasthuis Haarlem-Zuid,,,,,,,http://www.kg.nl,4.6488861,,yes,,,+31 23 5453545,,,,52.3674422,,Boerhaavelaan,,,,Haarlem,,,,2035 RC,,,,,,,NL,wlan
hospital,,,,397100000002486,,,,,Spaarne Ziekenhuis Locatie Heemstede,,,2A,,,,,,,,Spaarne Gasthuis Heemstede (Dagziekenhuis),,BAG,,,,1973,http://www.spaarneziekenhuis.nl/,4.6337768,,,,2014-03-24,+31 23 8908900,,,,52.3550914,,Händellaan,yes,,,Heemstede,,,,2102 CW,,,,,,,NL,
hospital,,,,,,,,,Spaarne Ziekenhuis,,,1,,,,,,,,Spaarne Gasthuis Hoofddorp,,,,,,,http://www.spaarneziekenhuis.nl/,4.6496544,,yes,,,+31 23 8908900,,,,52.3239227,,Spaarnepoort,,,,Hoofddorp,,,,2134 TM,,,,,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,St Antonius Ziekenhuis,,,,,,,,5.0558132,,yes,,,088-3203000,,,,52.1045929,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Ter Schorre,,,,,,,,3.8472663,,,,,,,,,51.3197082,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Treant Scheper,,,,,,,https://www.treant.nl/,6.9106726,,yes,,,+31591691911,,,,52.7872650,,Boermarkeweg,,,,Emmen,,,,,,,,,,,,
hospital,,,,,,,,Q2057113,,,,1,,UMCG,,,,,nl:Universitair Medisch Centrum Groningen,Universitair Medisch Centrum Groningen,,,,,,,,6.5756466,,yes,,,+315 0361 61 61,,,,53.2204140,,Hanzeplein,,University Medical Centre Groningen,,Groningen,,,http://umcg.nl,9713 GZ,yes,,,hospital,,,NL,
hospital,,,,,,,,Q2456800,,,,100,,UMC Utrecht,,,,,,Universitair Medisch Centrum Utrecht,,BAG,,,UMC Hoofdingang,,https://www.umcutrecht.nl/nl/,5.1781958,,yes,,2014-08-25,+31887555555,,,,52.0878653,,Heidelberglaan,,University Medical Centre Utrecht,,Utrecht,,,,3584CX,,,,hospital,,,NL,
hospital,,,,,,,,,,,,,,,,,,,,Veldwijk,,,,,,,,5.6064997,,,,,,,,,52.3058433,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,Q2435226,,,,,,,,,,,,VieCuri,,,,,,,,6.1521764,,yes,,,,,,,51.3551561,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Windward Island Emergency Medical Services,,KG Ground Survey 2015,,metal,,,,-63.0662260,,,,,,,,,18.0301079,,Welegen Road,hospital,,,Phillipsburg,,hipped,,,,,2,,,,,
hospital,,,,,,-1,,Q30270640,Ziekenhuis Amstelveen,,,,,,,,,,nl:Ziekenhuis Amstelland,Ziekenhuis Amstelland,,,,,,,https://www.ziekenhuisamstelland.nl/,4.8721131,,,,,,,,,52.2936895,,Laan van de Helende Meesters,,,,Amstelveen,,,,,,,,,,,,
hospital,,,,,,,,,,,,100,,,,,,,,Ziekenhuis Rijnstate Velp,,,,,,,https://www.rijnstate.nl/,5.9780226,,no,,,088-0058888,,,,51.9865349,,President Kennedylaan,,,,Velp,,,,6883AZ,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Ziekenhuis Rivierenland,,,,,,,,5.4168515,,,,,,,,,51.8913841,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,ZorgSaam Ziekenhuis - De Honte,,,,,,,,3.8572841,,yes,,,,,,,51.3087402,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,,Zorgpark Goes,,,,,,,,3.9132467,,,,,,,,,51.4858319,,,,,,,,,,,,,,,,,,
hospital,,,,1883100000058903,,,25,Q2549749,,,,,,,2,,,,nl:Zuyderland Medisch Centrum,Zuyderland,,BAG,,,,2008,,5.8424624,,yes,,2014-03-24,,,,,50.9834341,,,yes,,,,,,https://www.zuyderland.nl/,,limited,,6,hospital,,,,
hospital,,,,0917100000037417,,,,Q2549749,,,,,,,,,,,nl:Zuyderland Medisch Centrum,Zuyderland,,BAG,,,,1968,https://www.zuyderland.nl/,5.9768915,,,,2016-09-17,,,,,50.8685633,,,hospital,,,,,,,,,,,hospital,,,,
