amenity,operator:type,ssr:stedsnr,lon,image,layer,wikidata,alt_name,operator,name:ru,addr:housenumber,emergency,name:se,building:levels,opening_hours,healthcare:speciality,wikipedia,emergency:helipad,note,source,name:nn,addr:street,email,website,description,short_name,name:nb,source:date,phone,old_name,lat,name:lt,addr:city,building,building:colour,name:sme,name:en,name,roof:shape,url,addr:postcode,wheelchair,start_date,healthcare,toilets:wheelchair,landuse,addr:country,internet_access
hospital,,,5.5114479,,,,,,,,yes,,,,,,,,,,,,,,,,,,,59.7932041,,,yes,,,,Stord sjukehus,,,,,,,,,,
hospital,,,10.6383239,,,Q12003999,,,,,,,,,,en:Sunnaas Hospital,,,,,,,,Specializes on rehabilitation. No other services.,,,,,,59.8346439,,,,,,,Sunnaas sykehus,,,,yes,,,yes,residential,,
hospital,,,11.5695765,,,,Elverum sykehus,,,,yes,,,,,,,,,,,,,,,,,,,60.8779128,,,,,,,Sykehuset Innlandet HF Elverum,,,,,,,,,,
hospital,,,10.6778687,,,,Gjøvik sykehus,,,,,,,,,,,,,,,,,,,,,,,60.8039008,,,,,,,Sykehuset Innlandet HF Gjøvik,,,,,,,,,,
hospital,,,10.4730043,,,,Lillehammer Sykehus,,,,yes,,,,,,,,website,,,,https://sykehuset-innlandet.no/omoss/avdelinger/divisjon-lillehammer/Sider/enhet.aspx,,,,,06200,,61.1111473,,,,,,,Sykehuset Innlandet HF Lillehammer,,,,yes,,,,,,
hospital,,,10.7755758,,,,Tynset Sykehus,,,,,,,,,,,,,,,,,,,,,,,62.2706896,,,yes,,,,Sykehuset Innlandet Tynset,,,,,,,,,,
hospital,,,11.5046675,,,Q6962088,,,,,yes,,,,,,,,,,,,,,,,,,Namdal Sykehus,64.4718134,,,,,,,Sykehuset Namsos,,,,,,,,,,
hospital,,,9.2541306,,,,,,,9,,,,,,,,,,,Henrik Wergelands gate,,https://www.sthf.no/steder/notodden,,,,,,,59.5663592,,Notodden,,,,,Sykehuset Telemark - Notodden,,,3675,,,hospital,,,,
hospital,,,9.5886445,,,,,,,,yes,,,,,,,,,,,,,,,,,,,59.1923384,,,,,,,"Sykehuset Telemark, Skien",,,,,,,,,,
hospital,,,10.4225446,,,,,SiV,,14,no,,,,psychiatry,,,,,,Ørsnesalleen,,https://www.siv.no/,,,,,,,59.2556667,,Nøtterøy,,,,,"Sykehuset i Vestfold, DPS nord",,,3120,yes,,hospital,,,,yes
hospital,,,10.0409563,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0513463,,,,,,,"Sykehuset i Vestfold, DPS sør",,,,,,hospital,,,,
hospital,,,10.2355804,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1330474,,,,,,,"Sykehuset i Vestfold, DPS sør",,,,,,hospital,,,,
hospital,,,10.3030672,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2910239,,,,,,,"Sykehuset i Vestfold, Granli",,,,,,hospital,,,,
hospital,,,10.0346478,,,,Larvik Sykehus,,,,,,,,,,,,,,,,,,,,,,,59.0537353,,,,,,,"Sykehuset i Vestfold, Larvik",,,,,,hospital,,,,
hospital,,,10.4157759,,,Q7923433,,,,17,yes,,,,,en:Vestfold Hospital Trust,,,,,Halfdan Wilhelmsens allé,post@siv.no,https://www.siv.no/,,,,,+47 33342000,,59.2722950,,Tønsberg,,,,,"Sykehuset i Vestfold, Tønsberg",,,3116,yes,,hospital,,,NO,
hospital,,,11.0180150,,,,,,,,yes,,,,,,,,,,,,,,,,,,,59.3181672,,,,,,,Sykehuset Østfold Kalnes,,,,yes,,,yes,,,
hospital,,,8.7519258,,,Q12004884,,,,,yes,,,,,,,,,,,,,,,,,,,58.4674849,,,,,,,Sørlandet Sykehus Arendal,,,,limited,,,,,,
hospital,public/government,,7.9790683,,,Q12004887,,Helse Sør-Øst RHF,,100,yes,,,,,no:Sørlandet sykehus Kristiansand,,,,,Egsveien,,https://sshf.no,,,,,+47 906 10 600,,58.1628736,,Kristiansand S,,,,,Sørlandet sykehus Kristiansand,,,4615,,,hospital,,,,
hospital,,,10.3029898,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3137172,,,,,,,Tretten Sjukeheim,,,,,,,,,,
hospital,,,10.4240187,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2657660,,,,,,,Træleborg sykehjem,,,,,,hospital,,,,
hospital,,,18.9793753,,,Q4586373,,,,,yes,,,,,no:Universitetssykehuset Nord-Norge,,,,Universitetssjukehuset Nord-Noreg,,,,,UNN,Universitetssykehuset Nord-Norge,,,Regionsykehuset i Tomsø,69.6829833,,,,,Davvi-Norgga universitehtabuohcceviessu,University Hospital of North Norway,Universitetssykehuset Nord-Norge,,http://www.unn.no/,,,,hospital,,,,
hospital,,,10.9337489,,,,,,,,no,,,,,,,,Bing,,,,,,,,,,,59.2512273,,,,,,,Veum sykehus,,,,,,,,,,
hospital,,,6.0910887,,,,,,,,yes,,,,,,,,,,,,,,,,,,,62.1504559,,Volda,,,,,Volda Sjukehus,,,6103,,,,,,,
hospital,,,6.4203051,,1,,,,,,,,,,,,,,,,,,,,,,,,,60.6332930,,,hospital,,,,Voss sjukehus,,,,yes,,,,,,
hospital,,,6.3113868,,,,Ålesund Sykehus,,,,yes,,,,,,,,,,,,https://helse-mr.no/steder/alesund-sjukehus,,,,,,,62.4640169,,,,,,,Ålesund sjukehus,,,,,,,,,,
hospital,,,10.4493360,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4514201,,,,,,,Østmarka psykiatriske sykehus,,,,,,,,,,
