amenity,source:conscriptionnumber,source:shape,healthcare:speciality,building:part,wikipedia,contact:website,social_facility,addr:suburb,addr:streetnumber,height,loc_name,postal_code,alt_name,urbanatlas:LUZ_OR_CIT,operator,is_in,addr:housenumber,barrier,lon,building:levels,opening_hours,operator:type,short_name,created_by,name,note,source,import,boundary,addr:conscriptionnumber,website,FIXME,emergency,building:colour,brand,urbanatlas:CODE,official_name,old_name,lat,urbanatlas:CITIES,name:hu,addr:street,building,source:name,contact:facebook,name:en,addr:city,phone,addr:postcode,wheelchair,addr:place,urbanatlas:PROD_DATE,healthcare,wikidata,toilets:wheelchair,addr:country,addr:housename
hospital,,,,,,,,,11A,,,,,,,,11A,,18.1497035,,,,,,Fakultná nemocnica s poliklinikou Nové Zámky,,kapor2,,,,http://www.nspnz.sk/,,,,,,,,47.9932743,,,Slovenská,,,,,Nové Zámky,,940 34,,,,hospital,,,SK,
hospital,,,,,,,,,,,,,,,,,,,17.2281031,,,,,,"Fakultná nemocnica s poliklinikou Skalica, a. s.",,,,,,http://www.nspskalica.sk/,,,,,,,,48.8422693,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,18.7449224,,,,,,Fakultná nemocnica s poliklinikou Žilina,,,,,,http://www.fnspza.sk/,,yes,,,,,,49.2184185,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,I,13,,,,,,,,13,,21.2497062,8,,,,,Geriatrické centrum sv. Lukáša,,kapor2,,,1099,,,,,,,,,48.7272892,,,Strojárenská,yes,,,,Košice,,04001,,,,hospital,,,SK,
hospital,,,,,,,,,,,,,,,,,,fence,19.6003184,,,,,,Hornooravská nemocnica s poliklinikou Trstená,,,,,,,,,,,,,,49.3583495,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.kysuckanemocnica.sk/,,,,,,,,,,Čadca,2311,fence,18.7746070,,,,,,Kysucká nemocnica s poliklinikou Čadca,,survey,,,,,,yes,,,,,,49.4383154,,,Palárikova,,,https://www.facebook.com/Nemocnica-%C4%8Cadca-444542929026514/?ref=hl,,Čadca,,022 16,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,21.2535260,4,,,,,Lekárska služba prvej pomoci,,bing,,,,,,yes,,,,,,48.7349378,,,,yes,,,,,,,,,,hospital,,,,Colná správa SR
hospital,,,,,,,,,,,,,,,,,1,,21.2548636,,,,,,"Letecká vojenská nemocnica, a.s.",,,,,,http://www.lvn.sk/,,,,,,,,48.7180591,,,Murgašova,,,,,Košice,,04086,yes,,,hospital,,yes,,
hospital,,,,,,,group_home,,,,,,,,Žilinská župa,,,fence,19.3429235,,,,,,Liečebňa pre dlhodobo chorých Štiavnička,,Bing,,,,http://www.ldch.sk/,,,,,,,,49.0744005,,,,,,,,,,,,,,,,,,
hospital,,,,,,http://nemocnica2.skyweb.sk/,,,,,,,,,,,25,,19.5990758,,,,,,Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu,,,,,,,,yes,,,,,,49.0850070,,,Palúčanská,,,https://www.facebook.com/liptovskanemocnica/,,Liptovský Mikuláš,,03123,,,,,,,,
hospital,,,,,,,,,,,,,,,ProCare,,,,17.1091640,,Mo 07:00-19:15; Tu 07:00-19:30; We 07:00-19:00; Th 07:00-18:00; Fr 07:00-15:30,,,,Medissimo,,,,,,https://www.procare.sk/poliklinika/procare-medissimo/,,,,ProCare,,,,48.1026362,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,337/16,,21.5154785,,,,,,Mestská poliklinika Dr. Jozefa Goldbergera,,kapor2,budovy201004,,337,,,no,,,,,,49.1109530,,,Kukorelliho,yes,,,,,,08701,,,,,,,,
hospital,,,,,,https://www.nemocnicahandlova.sk/index.html,,,,,,,,,,,,,18.7560577,,,,,,Nemocnia Handlová - 2. súkromná nemocnica s.r.o.,,,,,,,,,,,,,,48.7294427,,,,,,,,,,,,,,,,,,
hospital,,,,,,http://www.naw.sk/,,,,,,,,,,,66,,17.8376658,,,,,,"Nemocnica Alexandra Wintera, n.o.",,,,,,,,,,,,,,48.5880720,,,Winterova,,,,,Piešťany,,92163,,,,,,,,
hospital,,,,,,https://www.nemocnicabanovce.sk/index.html,,,3,,,,,,,,23/3,,18.2580603,,,,,,"Nemocnica Bánovce - 3. súkromná nemocnica, s.r.o.",,kapor2,,,23,,,,,,,,,48.7206156,,,Hviezdoslavova,hospital,,,,Bánovce nad Bebravou,,,,,,,,,SK,
hospital,,,,,,,,,,,,,,,,,,,20.4280176,,,,,,Nemocnica Dr. V. Alexandra,,,,,,,,no,,,,,,49.1327402,,,Hviezdoslavova,yes,,,,Kežmarok,,06001,,,,,,,,
hospital,,,,,sk:Nemocnica Košice-Šaca,https://www.nemocnicasaca.sk/index.html,,,,,,,,,Nemocnica Košice Šaca,,,,21.1724086,,,,,,"Nemocnica Košice-Šaca a.s., 1. súkromná nemocnica",,,,,,,,yes,,,,,,48.6439647,,,,,,,,Košice,,,yes,,,hospital,Q63967028,,,
hospital,,,,,,https://www.nemocnicakrompachy.sk/index.html,,,,,,,,,,,,,20.8722359,,,,,,Nemocnica Krompachy spol. s r.o.,,Bing;survey,,,,,,yes,,,,,,48.9055989,,,,,,,,,,,,,,,,,,
hospital,,guess,,,,https://www.nemocnicalevice.sk/index.html,,,19,,,,,,Nemocnice s poliklinikami n.o.,,19,,18.6137602,,,,,,Nemocnica Levice s.r.o.,,,,,,,,,,,,,,48.2230003,,,SNP,,,,,Levice,,934 01,,,,,,,SK,
hospital,,,,,,http://www.nemocnicamalacky.sk/kontakt,,,,,,,,,Nemocničná a.s.,,,,17.0313907,,,,,,Nemocnica Malacky,,bing,,,,,,,,,,,,48.4402891,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,https://www.nemocnicapp.sk/,,,,,,,,,,,,,20.3001441,,,,,,"Nemocnica Poprad, a. s.",,,,,,,,,,,,,,49.0510906,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.nemocnicamoravce.sk/index.html,,,4,,,,,,,,4,,18.3978105,,,,,,Nemocnica Zlaté Moravce a.s.,,,,,,,,yes,,,,,,48.3833885,,,Bernolákova,,,,,Zlaté Moravce,,953 01,,,,,,,,
hospital,,,,,,https://www.nemocnicazvolen.sk/index.html,,,,,,,,,,,,,19.1330622,,,,,,Nemocnica Zvolen a. s.,,,,,,,,,,,,,,48.5822089,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.procare.sk/nemocnica/nemocnica-arm-generala-l-svobodu-svidnik-s/,,,,,,,,,,,,,21.5700429,,,,,,"Nemocnica arm. generála L. Svobodu Svidník, a.s.",,,,,,,,,,,,,,49.3109246,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.nspbr.sk/web/,,,,,,,,,,,,,19.6250841,,,,,,"Nemocnica s poliklinikou Brezno, n.o.",,bing,,,,,,,,,,,,48.8099158,,,,,,,,,,,,,,,,,,
hospital,,guess,,,,https://www.procare.sk/nemocnica/nemocnica-s-poliklinikou-dunajska-streda-s/,,,,,,,,,,,,,17.6078077,,,,,,Nemocnica s poliklinikou Dunajská Streda a.s.,,,,,,,,,,,,,,47.9997392,,Kórház és Rendelőintézet Rt.,,,,,,,,,,,,,,,,
hospital,,,,,,http://www.nspilava.sk/,,,,,,,,,,,,,18.2297860,,,,,,Nemocnica s poliklinikou Ilava,,kapor2,,,,,,yes,,,,,,48.9941958,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,http://www.nemocnicapb.sk/,,,,,,,,,,,,,18.4580030,,,,,,Nemocnica s poliklinikou Považská Bystrica,,,,,,,,yes,,,,,,49.1045113,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,2,,,,,,,Bojnice,581/2,,18.5868956,,,,,,Nemocnica s poliklinikou Prievidza so sídlom v Bojniciach,,kapor2,,,581,http://www.hospital-bojnice.sk,,,,,,,,48.7857114,,,Nemocničná,,,,,Bojnice,+421 46 511 21 11,972 01,,,,,,,SK,
hospital,,,,,,https://www.procare.sk/nemocnica/nemocnica-s-poliklinikou-spisska-nova-ves-s/,,,,,,,,,,,,,20.5657185,,,,,,"Nemocnica s poliklinikou Spišská Nová Ves, a.s.",,,,,,,,,,,,,,48.9572226,,,,,,,,,,,,,,,,,,
hospital,,,,,,http://www.nsp-bardejov.sk/,,,,,,,,,,,,,21.2716040,,,,,,"Nemocnica s poliklinikou Sv. Jakuba, n.o., Bardejov",,,,,,,,,,,,,,49.2881501,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.procare.sk/nemocnica/nemocnica-poliklinikou-sv-lukasa-galanta-s/,,,38,,,,,,"Svet zdravia, a.s.",Galanta,373/38,,17.7193993,,,,,,"Nemocnica s poliklinikou Sv. Lukáša Galanta, a. s.",,,,,373,,,,,,,,,48.1952919,,,Hodská,,,,,Galanta,,924 22,,,,,,,SK,
hospital,,,,,,https://www.procare.sk/nemocnica/nemocnica-s-poliklinikou-sv-barbory-roznava-s/,,,,,,,,,,,1,,20.5339312,,,,,,"Nemocnica s poliklinikou sv. Barbory Rožňava, a.s.",,,,,,,,,,,,,,48.6649963,,,Špitálska,,,,,Rožňava,,04801,,,,hospital,,,,
hospital,,,,,,,,,1,,,,,,,Bratislava - Nové Mesto,1,,17.0907712,,,,,,Národný onkologický ústav,,,,,,https://www.nou.sk/,,,,,,,,48.1727678,,,Klenová,,,,,Bratislava,,833 10,,,,,,,SK,
hospital,,,,,,,,,1,,Detská nemocnica Kramáre,,,,,,1,,17.0895447,,,,NÚDCH,,Národný ústav detských chorôb,,,,,,http://www.dfnsp.sk/,,,,,,,Detská fakultná nemocnica s poliklinikou Kramáre,48.1676103,,,Limbová,,,,,,,833 40,yes,,,,,yes,,
hospital,kapor2,,,,,,,,,,,,,,,,126,,20.1108319,,,,,,"Odborný liečebný ústav psychiatrický, Predná Hora",,kapor2,budovy201004,,126,,,no,,,,,,48.7719824,,,,yes,,,,Muránska Huta,,,,Muránska Huta,,,,,SK,
hospital,,,,,,,,,,,,,,,,,10,,17.1133748,,,,,,"Onkologický ústav sv. Alžbety, s.r.o.",,,,,,http://www.ousa.sk,,,,,,,,48.1474825,,Szent Erzsébet Onkológiai Intézet,Heydukova,,,,,Bratislava,,812 50,yes,,,,,yes,SK,
hospital,kapor2,,,,,,,,,,,,,,,,1212,,19.6052720,3,,,,,Poliklinika,,kapor2,,,1212,,,no,yellow,,,,,49.0870332,,,,yes,,,,Liptovský Mikuláš,,,,Liptovský Mikuláš,,,,,SK,
hospital,,,,,,,,,41,,,,,,,,41,,17.7629963,2,,,,,Poliklinika,,kapor2,budovy201004,,1679,,,no,,,,,,47.8500971,,,Poľovnícka,yes,,,,Veľký Meder,,,,,,,,,SK,
hospital,,,,,,,,,,,,,,,,,12,,20.5291487,,,,,,Poliklinika Janka Kráľa,,kapor2,,,,,,,,,,,,48.6597667,,,Janka Kráľa,,,,,Rožňava,,048 01,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,4,,21.2847217,4,,,,,Poliklinika Nad jazerom,,bing,,,,,,,,,,,,48.6894360,,,Spišské námestie,yes,,,,Košice,,04012,yes,,,hospital,,yes,,
hospital,,,,,,,,,,,,,,,,,,,21.2517046,6,,,,,Poliklinika Sever,,bing,,,,,,,,,,,,48.7326771,,,,yes,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,Nemocnica Šaca,,,,21.1916529,,,,,,Poliklinika U. S. Steel,,kapor2,,,,,,no,,,,,,48.6249165,,,,yes,,,,,,,yes,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,"Košice III, Košický Kraj, Východné Slovensko, Slovensko",,,21.2827439,4,,,,,Poliklinika Východ,,,,,,,,,,,,,,48.7399308,,,,yes,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,21.2377899,7,,,,,Poliklinika Západ,,,,,,,,yes,,,,,,48.7224577,,,,yes,kapor2,,,,,,yes,,,hospital,,yes,,
hospital,,,,,,https://pnh.sk/,,,,,,,,,,,,,18.6563935,,,,,,Psychiatrická nemocnica Hronovce,,,,,,,,,,,,,,48.0020412,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.pnpp.sk/,,,,,,,,,,,,,17.2511902,,,,,,Psychiatrická nemocnica Philippa Pinela Pezinok,,,,,,,,,,,,,,48.3178123,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,http://www.pnvz.sk/,,,,,,,,,,Veľké Zálužie,334,,17.9421934,,,,,,Psychiatrická nemocnica Veľké Zálužie,,kapor2,budovy201004,,,,,no,,,,,,48.3022650,,,Rínok,hospital,,,,Velké Zálužie,,951 35,,,,,,,SK,
hospital,,,,,,http://www.rn-sobrance.sk/,,,,,,,,,,,,,22.1849153,,,,,,"Regionálna nemocnica Sobrance, n.o.",,kapor2,,,,,,,,,,,,48.7448275,,,,hospital,,,,,,,,,,,,,,
hospital,,,,,,https://www.suscch.eu/page.php?13,,Banská Bystrica,61,,,,,,,,5600/61,,19.1604522,,,,,,"Stredoslovenský ústav srdcových a cievnych chorôb, a.s.",,kapor2,,,5600,,,no,,,,,,48.7419552,,,Cesta k nemocnici,hospital,,,,Banská Bystrica,,97404,,,,,,,SK,
hospital,,,,,,https://www.procare.sk/nemocnica/svet-zdravia-nemocnica-topolcany-s/,,,,,,,,,,,,,18.1667499,,,,,,"Svet zdravia Nemocnica Topoľčany, a.s.",,,,,,,,,,,,,,48.5534277,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,1,,,,,,,,1,,17.1168533,,,,,,"Univerzitná nemocnica - Nemocnica svätého Michala, a.s.,",,survey,,,,http://www.nsmas.sk/,,,,,,,,48.1462555,,,Satinského,,,,,Bratislava,,811 08,limited,,,,,,SK,
hospital,,,,,,,,,13,,,,,,Univerzitná nemocnica Bratislava,,13,,17.1169345,,,,,,Univerzitná nemocnica Bratislava - Nemocnica Staré Mesto,,,,,,http://www.unb.sk/nemocnica-stare-mesto/,,,,,,,Fakultná nemocnica - Nemocnica Staré Mesto,48.1515735,,,Mickiewiczova,,,,,Bratislava,,813 69,,,,,,,SK,
hospital,,,,,sk:Univerzitná nemocnica Bratislava – Nemocnica akademika Ladislava Dérera,,,,5,,Nemocnica Kramáre,,,,Univerzitná nemocnica Bratislava,,5,,17.0896277,,,,,,Univerzitná nemocnica Bratislava - Nemocnica akademika L. Dérera - Kramáre,,,,,,http://www.unb.sk/nemocnica-akademika-ladislava-derera/,,,,,,,Fakultná nemocnica s poliklinikou Bratislava – Nemocnica akademika Ladislava Dérera,48.1658008,,,Limbová,,,,,,,833 05,yes,,,,Q16519438,yes,,
hospital,,,,,sk:Univerzitná nemocnica Bratislava – Nemocnica svätého Cyrila a Metoda,,,Petržalka,11,,,,Nemocnica Antolská,,Univerzitná nemocnica Bratislava,,11,,17.1156951,,,,,,Univerzitná nemocnica Bratislava - Nemocnica sv. Cyrila a Metoda,,,,,,http://www.unb.sk/nemocnica-sv-cyrila-a-metoda/,,yes,,,,,,48.1023156,,,Antolská,,,,,Bratislava,,851 07,,,,hospital,Q12778090,,SK,
hospital,,,,,sk:Univerzitná nemocnica Bratislava – Nemocnica Ružinov,,,,,,,,,,Univerzitná nemocnica Bratislava,Bratislava - Ružinov,,,17.1511697,,,,,,Univerzitná nemocnica Bratislava – Nemocnica Ružinov,,,,,,http://www.unb.sk/nemocnica-ruzinov/,,,,,,,Nemocnica s poliklinikou Ružinov,48.1558897,,,,,,,,,,,yes,,,,Q12778089,yes,,
hospital,,guess,,,,,,,91,,,,,,Univerzitná nemocnica Bratislava,,91,,17.2072558,,,,,,Univerzitná nemocnica Bratislava – Špecializovaná geriatrická nemocnica,,,,,,http://www.unb.sk/specializovana-geriatricka-nemocnica-podunajske-biskupice/,zistit skutocny areal nemocnice,,,,,Univerzitná nemocnica Bratislava - Špecializovaná geriatrická nemocnica Podunajské Biskupice,,48.1245915,,,Krajinská,,,,,Bratislava,,825 56,,,,,,,SK,
hospital,,,,,sk:Univerzitná nemocnica Louisa Pasteura Košice,http://www.unlp.sk/,,,,,,,,,Univerzitná nemocnica Louisa Pasteura Košice,,,,21.2538699,,,,,,Univerzitná nemocnica L. Pasteura,Rastislavova,,,,,,,yes,,,,,,48.7092102,,,Rastislavova,,,,,,,,limited,,,hospital,Q16519440,yes,,
hospital,,,general;psychiatry;chiropractic;paediatrics;orthopaedics;gynaecology;radiology;emergency;acupuncture;dermatology;surgery;dentistry;oncology;cardiology;osteopathy;physiatry;internal;neurology,,sk:Univerzitná nemocnica Louisa Pasteura Košice,,,,,,,,,,UNLP KE,,,,21.2365270,,,,,,Univerzitná nemocnica Louisa Pasteura,,,,,,,,yes,,,,,,48.7242228,,,Trieda SNP,,,,,Košice,,04011,yes,,,hospital,Q16519440,,,
hospital,,,,,,https://www.unm.sk/,,,,,,,,,,,4248/2,,18.9142442,,,,,,Univerzitná nemocnica Martin,,survey,,,,,,,,,,,,49.0596403,,,Kollárova,,,,,Martin,,03601,,,,,,,,
hospital,,,,,,,,,10,,Milosrdní bratia,,,,Hospitalská rehoľa sv.Jána z Boha - Milosrdní bratia,Bratislava - Staré Mesto,10,,17.1117674,,,,,,Univerzitná nemocnica s poliklinikou Milosrdní bratia,,,,,,https://www.milosrdni.eu/site/bratislava/home,,,,,,,,48.1458548,,Irgalmasok Egyetemi Kórháza és Rendelőintézete,Námestie Slovenského národného povstania,,,,,Bratislava,,,,,,,,,SK,
hospital,,,cardiology,,,,,,,,,,,,,,,,21.2408617,5,,,VÚSCH,,Východoslovenský ústav srdcových a cievnych chorôb,,kapor2,,,,,,yes,,,,,,48.7211980,,,,yes,,,,,,,yes,,,hospital,,yes,,
hospital,,,,,,http://www.nemocnicagelnica.sk/,,,,,,,,,,,,,20.9336183,,,,,,Všeobecná nemocnica Gelnica,,,,,,,,,,,,,,48.8581818,,,,,,,,,,,,,,,,,,
hospital,,,,,,https://www.nemocnicakomarno.sk/index.html,,,39,,,,,,Forlife n.o.,,39,,18.1257438,,,,,,Všeobecná nemocnica Komárno,,,,,,,,,,,,,,47.7664208,,,Mederčská,,,,,Komárno,,945 01,,,,,,,SK,
hospital,,,,,,https://www.procare.sk/nemocnica/vseobecna-nemocnica-rimavska-sobota/,,,,,,,,,,,,,20.0241590,,,,,,Všeobecná nemocnica Rimavská Sobota,,kapor2,,,,,,yes,,,,,,48.3845488,,,,,,,,,,,yes,,,,,yes,,
hospital,,,,,,https://www.lcnsp.sk/old/web,,,,,,,,,,Lučenec,,,19.6579217,,,,,,"Všeobecná nemocnica s poliklinikou Lučenec, n.o.",,,,,,,,yes,,,,,,48.3296186,,,,,,,,,,,limited,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,18.3237084,,,,,,Zdravie,,kapor2,budovy201004,,,,,,,,,,,49.1297130,,,,yes,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,17.4863890,,,,,,Zdravotné stredisko,,,,,,,,no,,,,,,48.4110070,,,,yes,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,17.2843937,,"Mo,Th 14:00-18:00; Tu 08:00-13:00; We 08:00-14:30; Fr 07:30-13:00",,,,Zdravotné stredisko,,kapor2,,,,,,,,,,,,48.2541820,,,,yes,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,20.2032440,,,,,,Zdravotné stredisko Svit,,local knowledge,,,,,,no,,,,,,49.0564703,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,21.2695460,,,,,,poliklinika,,kapor2,,,,,,,,,,,,49.2925877,,,,yes,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,fence,19.3124346,,,,,,Ústredná vojenská nemocnica SNP Ružomberok - FN,,Bing,,,,http://www.uvn.sk/,,,,,,,,49.0763028,,,,,,,,,,,,,,,,,,
hospital,,,,,,http://www.uvn.sk/,,,,,,,,,,,,,19.2978630,,,,,,Ústredná vojenská nemocnica SNP Ružomberok - FN,,Bing,,,,,,,,,,,,49.0863791,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,,18.9153688,,,,,,Územná poliklinika,,kapor2,budovy201004,,,,,,,,,,,48.7005853,,,,yes,,,,,,,,,,,,,,
hospital,,,,,,https://lubovnianskanemocnica.sk/,,,,,,,,,,,3,,20.6880224,,,,,,"Ľubovnianska nemocnica, n.o.",,,,,,,,,,,,,,49.2976998,,,Obrancov mieru,,,https://www.facebook.com/lubovnianskanemocnica.sk,,Stará Ľubovňa,,06401,,,,,,,,
hospital,,,,,,,,II,42,,,,,,,,42,,17.1298797,4,,,,,"Špecializovaná nemocnica pre ortopedickú protetiku Bratislava, n. o.",,kapor2,,,4880,https://www.snop.sk/,,,,,,,,48.1538792,,,Záhradnícka,hospital,,,,Bratislava - Ružinov,,821 08,,,,,,,SK,
hospital,,,,,,,,,134,,,,,,,Nitra,134,,18.0936180,,,,,,Špecializovaná nemocnica sv. Svorada,,kapor2,,,,https://www.snzobor.sk/,,,,,,,,48.3458700,,,Kláštorská,,,,,Nitra,,949 88,,,,,,,SK,
hospital,,,,,,,,,110,,,,,,"Novapharm, s.r.o.",,110,,17.1246318,8,Mo-Fr 06:30-18:00,,,,Železničná nemocnica a poliklinika,,kapor2,,,3150,http://www.znap.sk,,,,ProCare,,,,48.1579160,,,Šancová,hospital,,,,Bratislava,,831 04,,,,,,,SK,
hospital,,,,,,http://www.zzke.sk/pre-pacientov/,,,,,,,,,,,,,21.2588677,,,,,,Železničná nemocnica s poliklinikou Košice,,,,,,,,yes,,,,,,48.7281181,,,,,,,,,,,yes,,,hospital,,,,
