old_name:1934-2016,amenity,healthcare:speciality,building:part,addr:housename,contact:website,roof:colour,email,operator,addr:housenumber,lon,building:levels,opening_hours,contact:phone,ref:bag,name:de,note,source,name:fr,ref,start_date,website,emergency,contact:email,source:date,phone,lat,addr:street,building,building:colour,name:en,contact:fax,name,url,addr:postcode,wheelchair,source:geometry,addr:city,architect,healthcare,note:BAG,addr:country
,doctors,,,,,,,,,6.5583656,,,,106100000000473,,,BAG,,,1982,,,,2014-03-24,,53.0058038,,commercial,,,,Gezondheidscentrum Assen Noord,,,,,,,,,
,doctors,,,,,,,,,5.7875081,,,,,,,,,,,http://bonnehus.com/,,,,,53.2119933,,,,,,Gezondheidscentrum Bonnehûs,,,,,,,doctor; pharmacy; physiotherapist; midwife,,
,doctors,,,,,,,,,4.4790435,,,,637100000127612,,,BAG,,,1981,,,,2013-11-26,,52.0664627,,yes,,,,Gezondheidscentrum Buitenwegh,,,,,,,,,
,doctors,,,,,,,,,5.2663807,,,,,,,,,,,,,,,,52.3714649,,,,,,Gezondheidscentrum Castrovalva,,,,,,,,,
,doctors,,,,,,,,2,5.2355067,,,,216100000001341,,,BAG,,,1956,,,,2014-03-24,,51.9568286,Constantijnlaan,yes,,,,Gezondheidscentrum Culemborg,,4101JK,,,Culemborg,,psychotherapist;physiotherapist;rehabilitation;doctor,,
,doctors,,,,,,,,,5.1803947,,,,,,,,,,,,,,,,52.3577034,,,,,,Gezondheidscentrum De Archipel,,,,,,,,,
,doctors,,,,,,,,,5.2769902,,,,,,,,,,,,,,,,52.3856535,,,,,,Gezondheidscentrum De Binder,,,,,,,,,
,doctors,,,,,,,,,5.1974357,,,,,,,,,,,,,,,,52.3823116,,,,,,Gezondheidscentrum De Boog,,,,,,,,,
,doctors,,,,,,,,,4.4949380,,,,637100000151643,,,BAG,,,1960,,,,2013-11-26,,52.0730946,,yes,,,,Gezondheidscentrum De Leyens,,,,,,,,,
,doctors,,,,,,,,,6.3739466,,,,1663100000002874,,,BAG,,,1960,,,,2014-03-24,,53.3623395,,yes,,,,Gezondheidscentrum De Marne,,,,,,,,,
,doctors,,,,,,,,,5.1915207,,,,34100000070044,,,BAG,,,1991,,,,2014-03-24,,52.3662795,,yes,,,,Gezondheidscentrum De Opmaat,,,,,,,,,
,doctors,,,,,,,,,5.2053637,,,,,,,,,,,,,,,,52.3685756,,,,,,Gezondheidscentrum De Schakel,,,,,,,,,
,doctors,,,,,,,,,6.0591381,,,,928100000112687,,,BAG,,,1971,,,,2014-05-20,,50.8937725,,yes,,,,Gezondheidscentrum Eygelshoven,,,,,,,doctor,,
,doctors,,,,,,,,,5.2304367,,,,,,,,,,,,,,,,52.3716036,,,,,,Gezondheidscentrum Filmwijk,,,,,,,,,
,doctors,,,,,,,,,6.4954567,,,,1735100000057392,,,BAG,,,2015,,,,2016-10-23,,52.2339025,,civic,,,,Gezondheidscentrum Het Stroaten,,,,,,,,,
,doctors,,,,,,,,,6.5495860,,,,14100010910648,,,BAG,,,1988,,,,2014-03-24,,53.2149400,,yes,,,,Gezondheidscentrum Hoendiep,http://gchoendiep.nl,,,,,,,,
,doctors,,,,,,,,500,4.7522810,,,,361100000030168,,,BAG,,,1973,,,,2014-06-02,072 5611644,52.6458790,Muiderwaard,yes,,,,Gezondheidscentrum Huiswaard,,1824 XW,,,Alkmaar,,,,
,doctors,,,,,,,,,4.5194649,,,,637100000164477,,,BAG,,,1987,,,,2013-11-26,,52.0751369,,yes,,,,Gezondheidscentrum Noordhove,,,,,,,,,
,doctors,,,,,,,,,5.2435684,,,,,,,,,,,,,,,,52.3738116,,,,,,Gezondheidscentrum Parkwijk,,,,,,,,,
,doctors,,,,,,,,,4.4313194,,,,1926100000497166,,,BAG,,,2004,,,,2013-11-26,,52.0200551,,yes,,,,Gezondheidscentrum Pijnacker,,,,,,,,,
,doctors,,,,,,,,,5.2906853,,,,,,,,,,,,,,,,52.3978613,,,,,,Gezondheidscentrum Prisma,,,,,,,,,
,doctors,,,,,,,,,4.4927151,,,,637100000136792,,,BAG,,,1995,,,,2013-11-26,,52.0386807,,yes,,,,Gezondheidscentrum Rokkeveen Oost,,,,,,,,,
,doctors,,,,,,,,,5.8478349,,,,202100000847576,,,BAG,,,2015,,,,2017-05-25,,51.9528195,,yes,,,,Gezondheidscentrum Schuytgraaf,,,,,,,,,
,doctors,,,,,,,,,4.5139466,,,,637100000171195,,,BAG,,,1978,,,,2013-11-26,,52.0643228,,yes,,,,Gezondheidscentrum Seghwaert,,,,,,,,,
,doctors,,,,,,,,4,-68.9491768,,,,,,,,,,,,,,,,12.1594262,Schonegevelstraat,yes,,,,Gezondheidscentrum Sta. Maria,,,,,Willemstad,,doctor,,
,doctors,,,,,,,,,4.3002274,,,,,,,,,,,,,,,,52.0697774,,,,,,Gezondheidscentrum Vaillantplein,,,,,,,,,
,doctors,,,,,,,,,5.1507456,,,,,,,,,,,,,,,,52.3470894,,,,,,Gezondheidscentrum Vizier,,,,,,,,,
,doctors,,,,,,,,,4.3518356,,,,1916100000363935,,,BAG,,,1963,,,,2014-02-11,,52.0613956,,yes,,,,Gezondheidscentrum Voorburg-West,,,,,,,,,
,doctors,,,,,,,,,4.3743257,,,,503100000031283,,,BAG,,,1991,,,,2013-11-26,,52.0069340,,yes,,,,Gezondheidscentrum Wippolder,,,yes,,,,,,
,doctors,,,,,,info@gezondheidscentrumzaandamoost.nl,,,4.8255025,,,,479100000002784,,,BAG,,,1960,https://gezondheidscentrumzaandamoost.nl/,,,2014-06-02,075 618686,52.4511479,,commercial,,,,Gezondheidscentrum Zaandam Oost,,,,,,,centre,,
,doctors,,,,,,,,,5.4075031,,,,0307100000338252,,,BAG,,,1990,http://www.gezondheidscentrumzielhorst.nl/,,,2019-10-23,,52.1819670,,yes,,,,Gezondheidscentrum Zielhorst,,,,,,,,,
,doctors,,,,,,,,1,4.4471076,,,,626100000005758,,,BAG,,,1900,http://gezondheidscentrumdelindehoeve.nl,,,2014-02-11,,52.1215750,Lindepad,house,,,,Gezondheidscentrum de Lindehoeve,,2251 PK,yes,,Voorschoten,,doctor,,NL
,doctors,,,,,,,,11-37,4.7784547,2,,,416100000242293,,geometrie lijkt bewust af te wijken van de BAG geometrie. De BAG geometrie lijkt hier een uitgestrekt ondergronds stuk te omvatten.,BAG,,,2015,,,,2016-11-26,,52.6631032,de Helling,yes,,,,Gezondheidscentrum de Vroonen,,1834DA,,not from the BAG,Sint Pancras,,,,
,doctors,,,,,,,,,4.6922809,,,,505100000025179,,,BAG,,,1980,https://www.huisartsenop1lijn.nl/,,,2014-03-24,,51.8056984,,yes,,,,Gezondheidscentrum op 1 lijn,,,,,,,,,
,doctors,,,,,,,,,5.6224622,,,,,,,,,,,,,,,,52.3064920,,,,,,Gezondheidscentum,,,,,,,,,
,doctors,,,,,,,,,6.0578153,,,,193100000051413,,,BAG,,,2003,,,,2014-05-25,,52.5335390,,yes,,,,Gezondsheidshuis Stadshagen,,,,,,,,,
,doctors,,,,,,,,,4.6095745,,,,585100001328228,,,BAG,,,1978,,,,2014-03-24,,51.7770320,,yes,,,,Gouweloos,,,,,,,,,
,doctors,,,,,,,,2,5.6285527,,,,1685100000132474,,,BAG,,,1974,,,,2017-04-08,,51.7477323,Bossestraat,yes,,,,Groepspraktijk Schaijk,,5374 HT,,,Schaijk,,,,NL
,doctors,,,,,,,,,6.0705161,,,,58100000204873,,,BAG,,,1848,,,,2014-03-24,,53.3599882,,apartments,,,,H M A Wijmenga,,,,,,,,,
,doctors,,,,,,,,1,5.3484461,,,,352100000004447,,,BAG,,,1910,,no,,2014-05-07,+31 343-571220,51.9721447,Wildemansteeg,yes,,,,HAP Wildemansteeg,,3961AP,yes,,Wijk bij Duurstede,,,,
,doctors,,,,,,,,,5.6285460,,,,184100000003082,,,BAG,,,2006,,,,2014-02-11,,52.6640707,,yes,,,,Het Dok,,,,,,,,,
,doctors,,,,,,,,,4.5985406,,,,597100000282566,,,BAG,,,2016,,,,2017-11-08,,51.8514591,,yes,,,,Het Doktershuis Rijsoord,,,,,,,,,
,doctors,,,,,,,,,6.0527564,,,,213100000034066,,,BAG,,,1970,,,,2014-05-07,,52.1058977,,yes,,,,Huisarts Bouman,,,,,,,,,
,doctors,,,,,,,,30,-68.8992490,,,,,,,,,,,,,,,,12.1287524,Cas Coraweg,yes,,,,"Huisarts Dr W.W. de Jonge,/Dra Durand",,,,,,,,,
,doctors,,,,,,,,,4.9591762,,,,439100000010371,,,BAG,,,1981,,,,2014-05-24,,52.4986668,,yes,,,,Huisartsen praktijk de Gors,,,,,,,,,
,doctors,,,,,,,,,4.6233596,,,,377100000011725,,,local knowledge,,,1930,,,,2014-03-24,,52.4108820,,yes,,,,Huisartsencentrum Bloemendaal,,,,,,,,,
,doctors,,,,,,,,,6.5786254,,,+31543478646,197100000028648,,,BAG,,,1982,,,,2014-03-24,,51.9224943,,house,,,,"Huisartsenpraktijk ""Het Station""",,,,,,,,,
,doctors,,,,,,,,,4.4667147,,,,1916100000102181,,,3dShapes;BAG,,,1962,,,,2014-02-11,,52.1043251,,house,,,,Huisartsenpraktijk A.J.A. Barendse,,,,,,,,,
,doctors,,,,,,,,,5.8353540,,Mo-Fr 08:00-17:00,,55100000252920,Hausarzt Akkrum,,BAG,,,1970,,,,2014-06-21,,53.0505959,,yes,,GP Akkrum,,Huisartsenpraktijk Akkrum,http://www.huisartsenpraktijkakkrum.nl/pg-24055-7-34212/pagina/home.html,,,,,,,,
,doctors,,,,,,,,,5.2259869,,,,797100000029472,,,BAG,,,2004,,,,2014-06-02,,51.6998318,,yes,,,,Huisartsenpraktijk Amaru,,,,,,,,,
,doctors,,,,,,,,,4.7252806,,,,361100000102329,,,BAG,,,1965,,,,2014-06-01,,52.6372067,,yes,,,,Huisartsenpraktijk Bergerhoef,,,,,,,,,
,doctors,,,,,,,,,6.1126843,,,,193100000031930,,,BAG,,,1964,,,,2014-05-24,,52.4876454,,yes,,,,Huisartsenpraktijk Berkenhove,,,,,,,,,
,doctors,,,,,,,,,6.1126930,,,,193100000031928,,,BAG,,,1964,,,,2014-05-24,,52.4875158,,house,,,,Huisartsenpraktijk Berkenhove,,,,,,,,,
,doctors,,,,,,,,,5.2913502,,,,214100000019391,,,BAG,,,2015,,,,2017-10-23,,51.9517817,,yes,,,,Huisartsenpraktijk Beusichem,,,,,,,,,
,doctors,,,,,,,,,4.7057764,,,,513100011135037,,,BAG,,,1975,,,,2014-03-24,,52.0306303,,yes,,,,Huisartsenpraktijk Bloemendaal,,,,,,,,,
,doctors,,,,,,,,44bis,5.2786611,,,,236100000005130,,,BAG,,,1963,,,,2014-03-24,,51.8894085,Groeneweg,yes,,,,Huisartsenpraktijk Buurmalsen-Tricht,,4197HH,,,Buurmalsen,,,,
,doctors,,,,http://teselaar.praktijkinfo.nl,,,,,5.8939316,,,+31481461233,1705100000002425,,,BAG,,,2004,,,,2014-05-07,,51.8879393,,yes,,,,Huisartsenpraktijk De Teselaar,,,,,,,,,
,doctors,,,,,,,,1-B,4.2084538,,,,1783100000002579,,De hier genoemde kerk bestaat niet meer.,BAG,,,1968,https://hapdewoerd.praktijkinfo.nl/,,,2018-09-08,0174-624765,51.9964354,Verdilaan,retail,,,,Huisartsenpraktijk De Woerd,,,,,,,,,
,doctors,general,,,,,,,191,-68.8530900,,,,,,,KG Ground Survey 2015,,,,,,,,,12.1067933,Kaminda Winfrido Hermans,yes,,,,Huisartsenpraktijk Dr. E.A. Doran,,,,,Willemstad,,doctor,,
,doctors,,,,,,,,,5.5329218,,,,50100000350304,,,BAG,,,1996,,,,2014-05-07,,52.3246520,,commercial,,,,Huisartsenpraktijk Het Gildenhuis,,,,,,,,,
,doctors,,,,,,,,272,5.3777458,,,,307100000352577,,,BAG,,,1931,https://valkmeijer.praktijkinfo.nl/,,,2014-01-22,033-4615412,52.1398307,Leusderweg,yes,,,,Huisartsenpraktijk M.J.M. Valk en L.J. Meijer,,3817 KJ,,,Amersfoort,,,,
,doctors,,,,,,,,,6.0605823,,,,74100000345617,,,BAG,,,1960,https://huisartsenpraktijknieuwehorne.praqtijkplus.nl/,,,2014-05-07,+31513541224,52.9518724,,house,,,,Huisartsenpraktijk Nieuwehorne,,,,,,,,,
,doctors,,,,,,,,,5.3898714,,,,304100000000370,,,BAG,,,1909,,,,2014-03-24,,51.8465845,,yes,,,,Huisartsenpraktijk Ophemert,,,,,,,doctor,,
,doctors,,,,http://www.huisartsoverasselt.praktijkinfo.nl/,,,,,5.7854646,,,+31 24 6221567,252100000004010,,,BAG,,,2002,,,huisartsoverasselt@hetnet.nl,2014-08-05,,51.7610560,,public,,,+31 24 6221511,Huisartsenpraktijk Overasselt,,,,,,,,,
,doctors,,,,,,,,8,6.3845930,,,,1509100000208698,,,BAG,,,1987,https://huisartsenpraktijksilvolde.praktijkinfo.nl/,,,2014-02-11,0315 323 131,51.9128931,Monseigneur Nolensstraat,yes,,,,Huisartsenpraktijk Silvolde,,7064GT,,,Silvolde,,,,
,doctors,,,,,,,,4,5.3426074,,,,352100000000027,,,BAG,,,1920,,,,2014-05-07,+31 343 571673,51.9870798,Langbroekseweg,yes,,,,Huisartsenpraktijk Stoop,,3962EH,,,Wijk bij Duurstede,,,,
,doctors,,,,,,,,10,6.2121208,,,,0222100000575043,,,BAG,,,1951,,,,2019-10-14,,51.9587702,Isidorusstraat,yes,,,,Huisartsenpraktijk Wehl,,7031BE,,,Wehl,,,,
,doctors,,,,,,,,,4.2576926,,,,518100000242410,,,BAG,,,1960,https://www.zonneoord.com/,,,2014-02-11,,52.0421969,,yes,,,,Huisartsenpraktijk Zonneoord,,,,,,,,,
,doctors,,,,,,,,,6.5320239,,,,53100000001400,,,BAG,,,1983,,,,2014-03-24,,53.2935705,,yes,,,,Huisartspraktijk Gussenhoven,,,,,,,doctor,,
,doctors,,,,http://www.docvadis.nl/huisartspraktijkhiddink/member/ahiddink.html,,,,,5.8911266,,,,1705100000002639,,,BAG,,,2000,,,,2019-04-12,,51.8925399,,house,,,,Huisartspraktijk Hiddink,,,,,,,,,
,doctors,,,,,,,,,5.6890513,,,,60100000126578,,,BAG,,,1950,,,,2014-02-11,,53.4458641,,yes,,,,Huisartspraktijk Jacobs BV,,,,,,,,,
,doctors,,,,,,,,4,-70.0302391,,,,,,,Central Bureau of Statistics Aruba,,,,,,,,,12.5206481,Hospitaalstraat,yes,,,,Lands Laboratorium,,,,,Oranjestad,,,,
,doctors,,,,,,,,,5.2740852,,,,,,,,,,,,,,,,52.3888253,,,,,,Medimere,,,,,,,,,
,doctors,,,,,,,,,5.8335722,,,,1883100000059597,,,BAG,,,2010,,,,2014-03-24,,50.9598467,,civic,,,,Medisch Cenntrum Kluis,,,,,,,,,
,doctors,,,,,,,,25,5.2364914,,,,532100000015178,,,BAG,,,2013,,,,2014-03-24,,52.6977352,Hoofdstraat,service,,,,Medisch Centrum,,1611AB,,,Bovenkarspel,,doctor,,
,doctors,,,,,,,,,4.7487950,,,,1901100000022753,,,BAG,,,2017,,,,2017-10-08,,52.0877458,,yes,,,,Medisch Centrum Bodegraven,,,,,,,,,
,doctors,general,,,,,,,,6.0033709,,,,957100000218113,,,BAG,,,1990,,,,2014-06-27,,51.1925583,,yes,,,,Medisch Centrum Bredeweg,,,,,,,center,,
,doctors,,,,,,,,,5.8137149,,,,,,,,,,,http://buitenhove.nl/,,,,,53.1954540,,,,,,Medisch Centrum Buitenhove,,,,,,,doctor,,
,doctors,,,,,,,,,6.2863426,,,,177100000196610,,,BAG,,,1984,,,,2017-08-01,,52.3306905,,civic,,,,Medisch Centrum Heeten,,,,,,,,,
,doctors,,,,,,,,4,5.1777392,,,,321100000027846,,,BAG,,,2014,,,,2017-01-06,,52.0247715,Hofspoor,yes,,,,Medisch Centrum Hofspoor,,3994VZ,,,Houten,,centre,,
,doctors,,,,,,,,,6.0319144,,,,928100000110426,,,BAG,,,1980,,,,2014-05-20,,50.8608693,,service,,,,Medisch Centrum Kerkrade West,,,,,,,,,
,doctors,,,,,,,,,6.0682586,,,,928100000112350,,,BAG,,,1980,,,,2014-05-07,,50.8603675,,yes,,,,Medisch Centrum Kruisstraat,,,,,,,,,
Lambertuskerk,doctors,general,,,,,,,,6.1488538,,,,983100000032176,,,BAG,,,1934-12-16,,,,2014-06-08,,51.3717623,,church,,,,Medisch Centrum Lambertus,,,,,,Jacq Grubben,centre,,
,doctors,,,,,,,,,6.4667770,,,,163100000524588,,,BAG,,,2000,,,,2014-05-07,,52.3602950,,civic,,,,Medisch Centrum Nijverdal,,,,,,,,,
,doctors,,,,,,,,,5.8698747,,,,962100000221875,,,BAG,,,1840,,,,2014-03-24,,50.9550708,,yes,,,,Medisch Centrum Puth,,,,,,,,,
,doctors,,,,,,,,,6.5185183,,,,1742100000023597,,,BAG,,,2009,,,,2014-02-11,,52.3019798,,yes,,,,Medisch Centrum Rijssen,,,,,,,,,
,doctors,,,,,,,,,6.0056292,,,,0200100000086055,,,BAG,,,2002,,,,2014-02-11,,52.2162243,,retail,,,,Medisch Centrum de Linie,,,,,,,,,
,doctors,general,,,,,,,,6.1125463,,,,90100000596658,,,BAG,,,2006,,,,2014-07-04,,53.1098647,,yes,,,,Medisch Centrum de Poort,,,,,,,,,
,doctors,,,,,,,,,6.4945746,,,,1700100000010692,,,BAG,,,2005,,,,2014-03-24,,52.4615223,,yes,,,,Medisch centrum,,,,,,,,,
,doctors,,,,,,,,,-68.9456204,,,,,,,KG Ground Survey 2015 Curaçao,,,,,,,,,12.1619591,,yes,,,,N.X.M. Rog-Wanner,,,,,,,,,
,doctors,,,,,,,,,6.0656757,,,,213100000057966,,,BAG,,,1930,,,,2014-05-07,,52.0984245,,house,,,,PHM Maas,,,,,,,,,
,doctors,,,,,,plchmaduro@gmail.com,,179,-68.9017314,,"Mo-Fr 09:00-12:00, 15:00-18:00",,,,,KG Ground Survey 2015 Curaçao,,,,,,,,0059997371099,12.1163549,Schottegatweg Oost,yes,,,,"Praktijk A.E. Maduro, plastisch chirurg",,,,,,,,,
,doctors,,,,,,,,,4.4659232,,,,637100000145771,,,BAG,,,1980,,,,2013-11-26,,52.0529469,,commercial,,,,Praktijk Chiropraktie M.H. den Baars,,,,,,,,,
,doctors,general,,,,,,,,4.8062145,,,,479100000013606,,,BAG,,,1994,,,,2014-06-01,,52.4470034,,yes,,,,Praktijk Nieuwendam,,,,,,,doctor,,
,doctors,,,,,,,,17,4.9287829,,,,744100000006757,,,BAG,,,2001,,,,2014-03-24,,51.4407999,Pastoor Van Herdegomstraat,yes,,,,Praktijkhuis Baarle,,2387,,,Baarle-Hertog,,,,
,doctors,,,,,,,,,6.0682706,,,,0213100000061115,,,BAG,,,1930,,,,2019-09-30,,52.1078290,,yes,,,,R. Korpershoek,,,,,,,,,
,doctors,,,,,,,,,4.2827251,,,,,,,Bing,,,,,official,,,,52.1154955,Strandweg,yes,,,,Rode Kruis,,,,,,,,BAG straatnaam: Strand Noord,
,doctors,,,,,,,,15,-63.0803971,,,,,,,,,,,,,,,,18.0307969,Welfare Road,yes,,,,"Sint Maarten Health Care Clinic, Physiotherapy",,,,,Koolbaai,,,,
,doctors,,,,,,,,,-68.8824402,,,,,,,KG Ground Survey 2015 Curacao,,Med Cntr Caracasbaai,,,,,,,12.1044775,Caracasbaaiweg,yes,,,,Sorsaka,,,,,Zuurzak,,,,CW
,doctors,,,,,,,,,6.0655398,,,,0213100000112552,,,BAG,,,2008,,,,2019-09-30,,52.1042764,,yes,,,,Tandarts v/d Kerkhof,,,,,,,doctor,,
,doctors,,,,,,,,,5.9903045,,,,200100000713560,,,BAG,,,1996,https://www.therapeuticum-de-es.nl/,defibrillator,,2014-02-11,,52.2043050,,yes,,,,Therapeuticum de Es,,,,,,,,,
,doctors,,,,,,,,,4.3518916,,,,1916100000085750,,,BAG,,,1998,,,,2014-02-11,,52.0757337,,yes,,,,Vaste Burcht,,,,,,,doctor,,
,doctors,,,,,,,,,4.4694746,,,,637100000159504,,,BAG,,,1979,,,,2013-11-26,,52.0660281,,yes,,,,W.J.Eenink,,,,,,,,,
,doctors,,,,,,,,,5.1630095,,,,321100000007231,,,BAG,,,1995,,,,2014-03-24,,52.0240754,,commercial,,,,Zorggebouw Houten,,,,,,,doctor,,
,doctors,,,,,,,,,5.8987471,,,,737100000003686,,,BAG,,,1991,,,,2014-03-24,,53.2518884,,yes,,,,huisartsenpraktijk oenkerk,,,,,,,,,
