amenity,building:colour,healthcare:speciality,lon,contact:website,roof:colour,layer,official_name,alt_name,smoking,operator,addr:housenumber,emergency,addr:district,no,building:levels,opening_hours,contact:phone,addr:housename,heritage:website,note,source,start_date,email,highway,website,ref:vatin,fax,description,short_name,contact:email,name:pt,addr:unit,leisure,barrier,phone,historic,ownership,old_name,lat,contact:fax,healthcare:speciality_1,addr:street,building,source:name,name:en,operator:type,name,level,castle_type,addr:postcode,wheelchair,addr:place,addr:city,place,healthcare,addr:country,internet_access
clinic,,,-9.2164764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4325984,,,,yes,,,,Centro de Saude da Foz do Arelho,,,,,,,,,,
clinic,,general,-8.6250814,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,,,,,41.1266587,,,,yes,,,,Centro de Saude de Barão do Corvo,,,,,,,,clinic,,
clinic,,,-9.0479671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3683865,,,,yes,,,,Centro de Saude dos Vidais,,,,,,,,clinic,,
clinic,,,-7.9937313,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5580966,,,,yes,,,,Centro de Saúde,,,,,,,,clinic,,
clinic,,,-7.9379925,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0275957,,,,,,,,Centro de Saúde,,,,,,,,clinic,,
clinic,,,-7.4968801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1426474,,,,clinic,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-7.6931547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1077277,,,,,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-8.4141532,,,,,,,,,no,,,,,,,,,bing,,,,,,,,,,,,,,,,,,41.8077992,,,,,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-9.2264918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8145233,,,,yes,,,,Centro de Saúde,,,,,,,,clinic,,
clinic,,,-8.4221670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8427383,,,,,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-8.5649207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+351251780320,,,,41.9128456,,,,yes,,,,Centro de Saúde,,,,,,,,clinic,,
clinic,,,-8.4366546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9141182,,,,yes,,,,Centro de Saúde,,,,,,,,,,
clinic,,general,-8.3977575,,,,,,,,,,,,,Mo-Fr 09:00-16:00,,,,,,,,,,,,,,,,,,,,,,,37.1271691,,,,yes,,,,Centro de Saúde,,,,,,,,clinic,,
clinic,,,-7.9897077,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5123015,,,,,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-8.5386799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8672641,,,,yes,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-9.1607916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8136982,,,,,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-7.9850771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7195484,,,,yes,,,,Centro de Saúde,,,,,,,,,,
clinic,,,-9.1639676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7974229,,,,,,,,Centro de Saúde - Extensão,,,,,,,,,,
clinic,,,-8.6147948,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,229867035,,,,41.2598530,,,Rua Professor Lafayete Rodrigues Vieira de Castro,yes,,,,Centro de Saúde Castêlo da Maia,,,,,,Castêlo da Maia,,clinic,,
clinic,,,-9.2202560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7461026,,,,yes,,,,Centro de Saúde Conde Lousã,,,,,,,,clinic,,
clinic,,,-8.4130226,,,,,,,Serviço Nacional de Saúde,,no,,,,Mo-Fr 08:30-17:00,,,,,bing,,,,,,,,,,,,,,+351 239 794 110,,national,,40.1949289,,,Avenida Mendes Silva,,,,,"Centro de Saúde Norton de Matos (USF Briosa, USF Pulsar, USF Norton de Matos)",,,3030-193,,,Coimbra,,,,
clinic,,,-9.1542293,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6776555,,,,public,,,,Centro de Saúde Rainha D. Leonor,,,,,,,,,,
clinic,,,-28.0090943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+351 295 730070,,,,39.0795715,,,Avenida Mouzinho de Albuquerque,,,,,Centro de Saúde Santa Cruz da Graciosa,,,9880-320,,,Santa Cruz da Graciosa,,clinic,,
clinic,,,-8.8288253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6948373,,,,public,,,,Centro de Saúde Viana do Castelo,,,,yes,,,,,,
clinic,,,-8.7434671,,,,,,,,,,,,,,,,,,,,cscerveira@csvncerveira.min-saude.pt,,,,+351 251 795 539,,,,,,,,+351 251 795 289,,,,41.9447426,,,Largo das Oliveiras,yes,,,,Centro de Saúde Vila Nova de Cerveira,,,4920-275,,,Vila Nova de Cerveira,,clinic,PT,
clinic,,,-8.5802946,,,,,,no,,,no,,,1,"Mo-Fr 08:00-18:00,20:00-23:00; Sa,Su,PH 09:00-19:00",,,,,,,,,,,,,,,,,,,,,,,41.1032003,,,Rua Escultor Alves de Sousa,yes,,,,Centro de Saúde Vilar de Andorinho,,,,,,,,clinic,,
clinic,,,-9.2348155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7582827,,,,,,,,Centro de Saúde da Amadora,,,,,,,,,,
clinic,,,-9.1139217,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6276480,,,,,,,,Centro de Saúde da Amora,,,,,,Amora,,,,
clinic,,,-8.9784265,,,,,,,,s/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4293819,,,Rua Luís de Camões,,,,,Centro de Saúde da Benedita,,,2475-135,,,Benedita,,,,
clinic,,,-8.5008747,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0945985,,,,,,,,Centro de Saúde da Foz do Sousa,,,,,,,,,,
clinic,,,-8.2338050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1241227,,,Rua Ernesto Melo Antunes,,,,,Centro de Saúde da Lousã,,,,,,Lousã e Vilarinho,,,,
clinic,,,-8.9319643,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7426167,,,,,,,,Centro de Saúde da Marinha Grande,,,,,,,,,,
clinic,,,-9.0703485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6018589,,,Rua dos Caixins,yes,,,,Centro de Saúde da Nazaré,,,,,,,,,,
clinic,,,-9.0696655,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5959225,,,,,,,,Centro de Saúde da Nazaré,,,,,,,,,,
clinic,,,-9.3578804,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6979348,,,,,,,,Centro de Saúde da Parede,,,,,,,,,,
clinic,,,-8.6575903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1915256,,,,yes,,,,Centro de Saúde da Senhora da Hora,,,,,,,,clinic,,
clinic,,,-6.7650634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,,,,,,41.8035194,,,,,,,,Centro de Saúde da Sé,,,,,,,,clinic,,
clinic,,,-6.9002650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7248439,,,,yes,,,,Centro de Saúde de Almeida,,,,,,,,,,
clinic,,,-8.6260660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2096763,,,,yes,,,,Centro de Saúde de Almeirim,,,,,,,,clinic,,
clinic,,,-9.0397982,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8909826,,,,yes,,,,Centro de Saúde de Alverca,,,,,,,,,,
clinic,,,-7.9941584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2586342,,,,yes,,,,Centro de Saúde de Alvito,,,,,,Alvito,,,,
clinic,,,-8.6476159,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6317845,,,Praça Rainha D. Leonor,yes,,,,Centro de Saúde de Aveiro,,,3810-042,yes,,Aveiro,,clinic,,
clinic,,,-7.8870391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0535996,,,,yes,,,,Centro de Saúde de Avis,,,,,,,,clinic,,
clinic,,,-9.2820206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7472321,,,,yes,,,,Centro de Saúde de Barcarena,,,,,,,,clinic,,
clinic,,,-8.8713124,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1655886,,,,,,,,Centro de Saúde de Buarcos,,,,,,,,,,
clinic,,,-8.4706922,,,,,,,SNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1851271,,,,yes,,,public,Centro de Saúde de Campo,,,,,,,,clinic,,
clinic,,,-8.6539400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1287122,,,,yes,,,,Centro de Saúde de Canidelo,,,,,,,,,,
clinic,,,-8.4135828,,,,,,,Serviço Nacional de Saúde,6,no,,,,Mo-Fr 08:00-20:00,,,,,,,,,http://www.cscelas.min-saude.pt/,,,,,,,,,,+351 239 488 610,,national,,40.2126956,,,Rua Augusto Rocha,,,,,Centro de Saúde de Celas,,,3000-063,,,Coimbra,,,,
clinic,,,-8.7071587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7989189,,,,yes,,,,Centro de Saúde de Colmeias,,,,,,,,clinic,,
clinic,,,-8.3364830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4790207,,,,yes,,,,Centro de Saúde de Constância,,,,,,,,,,
clinic,,,-9.1535319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6389728,,,,,,,,Centro de Saúde de Corroios,,,,,,,,,,
clinic,,,-8.5012222,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0666772,,,,,,,,Centro de Saúde de Crestuma,,,,,,,,clinic,,
clinic,,,-8.5052365,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8766251,,,,,,,,Centro de Saúde de Cucujães,,,,,,,,,,
clinic,,,-8.4251726,,,,,,,Serviço Nacional de Saúde,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,+351 239 499 500,,national,,40.2502067,,,Rua Doutor João Manuel Lopes Pinheiro,,,,,"Centro de Saúde de Eiras (USF Topázio, USF Coimbra Norte)",,,3020,,,Coimbra,,,,
clinic,,,-8.6377778,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0018575,,,,yes,,,,Centro de Saúde de Espinho,,,,,,,,,,
clinic,,,-8.1153587,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,+351 284 738110,,,,38.0616292,,,Rua Infante Dom Henrique,,,,,Centro de Saúde de Ferreira do Alentejo,,,7900-647,,,,,,,
clinic,,,-8.3377644,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,http://www.docvadis.pt/usffreamunde/index.html,,+351 255 880 508,,,,,,,,+351 255 880 507,,,,41.2903362,,,Praça 19 de Abril,yes,,,,Centro de Saúde de Freamunde,,,4590-301,,,Freamunde,,,,
clinic,,general,-8.1106642,,,,,,,Ministério da Saúde,,,,,,Mo-Su 08:00-20:00,,,,,,,cs15@srscoimbra.min-saude.pt,,,,,,,,,,,,+351 235 770 180,,,,40.1570754,,,Av. Comendador Augusto Luis Rodrigues,yes,,,,Centro de Saúde de Góis,,,3330-301,,,Góis,,clinic,,
clinic,,general,-8.4229115,,,,,,,,15,,,,,,,Centro de Saúde de Infias,,,,,,,,,,,,,,,,,,,,,41.5602430,,,Rua António Freire,yes,,,,Centro de Saúde de Infias,,,,,,,,clinic,,
clinic,,,-8.8113886,,,,,,,Ministério da saúde,,,,,,,,,,,,,secdir@csghenriques.srsleiria.min-saude.pt,,,,,,,,,,,,244 816 400,,,,39.7362345,,,,yes,,,government,Centro de Saúde de Leiria - Dr. Gorjão Henriques,,,,,,,,clinic,,
clinic,,,-9.2348320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7149792,,,,yes,,,,Centro de Saúde de Linda-a-Velha,,,,,,,,clinic,,
clinic,,,-8.4160852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2332567,,,,,,,,Centro de Saúde de Lordelo,,,,,,,,,,
clinic,,,-9.1635505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8251487,,,,yes,,,,Centro de Saúde de Loures,,,,,,,,,,
clinic,,,-8.6799242,,,,,,,,,,,,,,,,,,,,,,,,,Centro de Saude,,,,,,,,,,,41.1856828,,,,yes,,,,Centro de Saúde de Matosinhos,,,,,,,,clinic,,
clinic,,,-8.7377036,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4260932,,,,,,,,Centro de Saúde de Mira,,,,,,,,,,
clinic,,,-8.4863978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0697178,,,,,,,,Centro de Saúde de Monção,,,,,,,,clinic,,
clinic,,,-7.4523261,,,,,,,SNS,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1383001,,,,,,,,Centro de Saúde de Moura (SUB-Moura),,,,,,,,hospital,,
clinic,,,-7.4522133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4035422,,,,public,,,,Centro de Saúde de Murça,,,,,,,,,,
clinic,,,-7.6611202,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6409398,,,,yes,,,,Centro de Saúde de Mértola,,,,,,,,clinic,,
clinic,,,-7.2618744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9608298,,,,,,,,Centro de Saúde de Mêda,,,,,,,,,,
clinic,,,-8.2262976,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6533068,,,,public,,,,Centro de Saúde de Ourique,,,,yes,,,,,,
clinic,,,-7.9493232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0438750,,,,,,,,Centro de Saúde de Pampilhosa da Serra,,,,,,,,,,
clinic,,,-8.2724817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2062088,,,,yes,,,,Centro de Saúde de Penafiel,,,,,,,,,,
clinic,,,-7.0691174,,,,,Centro de Saúde de Pinhel,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7710966,,,,yes,,,,Centro de Saúde de Pinhel,,,,,,,,,,
clinic,,,-9.2210668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2845875,,,,,,,,Centro de Saúde de Reguengo Grande,,,,,,,,,,
clinic,,general;emergency,-8.5083524,,,,,,,Agrupamento de Centros de Saúde Médio Tejo,67,,,,,,,,,,,,,,,,,,,,,,,,+351 249 829 298,,,,39.4460201,,,Rua Doutor Rivoti,yes,,,,Centro de Saúde de Riachos,,,2350-365,yes,,Riachos,,clinic,,
clinic,,,-8.4747553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5821138,,,,,,,,Centro de Saúde de Ruães,,,,,,,,,,
clinic,,,-8.0456959,,,,,,,,7,no,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2406160,,,Rua José Viegas Gregório,,,,,Centro de Saúde de Salir,,,8100-202,,,Salir,,hospital,,
clinic,,,-8.4450867,,,,,,,Serviço Nacional de Saúde,,no,,,,Mo-Fr 08:00-20:00,,,,,bing,,,,,,,,,,,,,,+351 239 802 110,,national,,40.2022183,,,Rua Salgueiro Maia,,,,,"Centro de Saúde de Santa Clara (USF Rainha Santa Isabel, USF Coimbra Sul)",,,3040-006,,,São João do Campo,,,,
clinic,,,-8.1316303,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4067667,,,,,,,,Centro de Saúde de Santa Comba Dão,,,,,,,,,,
clinic,,,-6.7525362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8184784,,,,yes,,,,Centro de Saúde de Santa Maria,,,,,,,,clinic,,
clinic,,,-8.4831315,,,,,,,,s/n,,,,,,,Rua do Jornal de Santo Tirso,,,,,,,,,,,,,,,,,,,,,41.3466589,,,Rua do Jornal Santo Tirso,yes,,,,Centro de Saúde de Santo Tirso,,,4780-484,,,Santo Tirso,,clinic,,
clinic,,,-7.6023278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9413557,,,,yes,,,,Centro de Saúde de Serpa,,,,,,,,,,
clinic,,,-8.4268838,,,,Centro de Saúde de Eiras - Extensão de Souselas,,,Serviço Nacional de Saúde,23 D,,,,,Mo-Th 08:00-17:00;Fr 08:00-13:00,,,,,,,,,,,,,,,,,,,+351 239 913 412,,national,,40.2929161,,,Rua do Vale de São Pedro,,,,,Centro de Saúde de Souselas,,,3020-888,,,Souselas,,,,
clinic,,,-8.5247906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1391040,,,,,,,,Centro de Saúde de São Cosme,,,,,,,,,,
clinic,,,-8.4602343,,,,,,,Serviço Nacional de Saúde,,no,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,+351 239 802 900,,national,,40.1941679,,,Estrada do Espírito Santo das Touregas,,,,,"Centro de Saúde de São Martinho do Bispo (UCSP Manuel da Cunha, USF Mondego)",,,3045-059,,,Coimbra,,,,
clinic,,,-7.5024553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8221850,,,,yes,,,,Centro de Saúde de São Tiago,,,,,,,,clinic,,
clinic,,,-8.4880578,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5081116,,,,yes,,,,Centro de Saúde de Tandim,,,,,,,,,,
clinic,,,-8.4977022,,,,Centro de Saúde de São Martinho do Bispo - Extensão de Taveiro,,,Serviço Nacional de Saúde,,,,,,Mo-Th 08:00-18:00;Fr 08:00-13:30,,,,,,,,,,,,,,,,,,,+351 239 981 276,,national,,40.2049159,,,Rua dos Combatentes da Grande Guerra,yes,,,,Centro de Saúde de Taveiro,,,3045-469,,,Taveiro,,,,
clinic,,general,-7.6513357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1164877,,,Estrada de Santa Luzia,,,,,Centro de Saúde de Tavira,,,8800-534,,,Tavira,,,,
clinic,,,-8.3091766,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7171385,,,,yes,,,,Centro de Saúde de Terras de Bouro,,,,,,,,clinic,,
clinic,,,-9.1298743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4484885,,,Estrada Nacional 8,hospital,,,,Centro de Saúde de Tornada,,,2500-315,,,Tornada,,,,
clinic,,,-7.0467398,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1745930,,,,,,,,Centro de Saúde de Torre de Moncorvo,,,,,,,plot,,,
clinic,,,-8.2612513,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1657275,,,,,,,,Centro de Saúde de Tunes,,,,,,,,,,
clinic,,,-8.0219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3626062,,,,yes,,,,Centro de Saúde de Tábua,,,,,,,,,,
clinic,,,-8.4555584,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6748650,,,,yes,,,,Centro de Saúde de Vendas Novas,,,,,,,,clinic,,
clinic,,,-8.0042073,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3344474,,,,,,,,Centro de Saúde de Viana do Alentejo,,,,,,,,,,
clinic,,,-7.5359134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1759476,,,,yes,,,,Centro de Saúde de Vila Nova de Cacela,,,,,,,,,,
clinic,,,-8.5272610,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,Bing,,famalic1@csfamalicao1.srsbraga.min-saude.pt,,,,+351 252 330231,,,,,,,,+351 252 330230,,,,41.4065857,,,Avenida 25 de Abril,,,,,Centro de Saúde de Vila Nova de Famalicão,,,4760-101,,,Vila Nova de Famalicão,,,,
clinic,,general,-7.4194649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1903613,,,,yes,,,,Centro de Saúde de Vila Real de Santo António,,,8900,,,Vila real de Santo António,,clinic,,
clinic,,,-6.8375939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6154294,,,,yes,,,,Centro de Saúde de Vilar Formoso,,,,,,,,clinic,,
clinic,,,-7.0116491,,,,,,,,128,,,,,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00; PH Sa-Su 09:00-22:00,,,,,http://www.portaldasaude.pt/portal/servicos/prestadoresV2/?providerid=270,,,,,,,,,,,,,,+351273770150,,,,41.8301460,,,Rua José Morais Sarmento,,,,,Centro de Saúde de Vinhais,,,5320-334,,,Vinhais,,,,
