source:addr:ref,amenity,int_name,addr:street:en,healthcare:speciality,addr:housenumber:en,contact:website,roof:colour,addr:suburb,roof:height,alt_name,operator,source:addr,addr:housenumber,barrier,note:cadastre:id,note:cadastre:building_use,building:levels,opening_hours,contact:phone,lon,note,source,source:geometry:ref,email,website,description,emergency,addr:suburb:en,phone,check_date,lat,created_by_1,air_conditioning,name:bg,source:addr:date,source:loc,addr:street,building,name:en,ekatte,name,roof:shape,addr:postcode,wheelchair,name:old,addr:city,source:geometry,source:geometry:date,healthcare,operator:type,toilets:wheelchair,roof:material
,clinic,,,,,,,,,,,,,,,,,,,27.4648539,,,,,,,,,,,42.5140303,,,Диагностично консултативен център-1,,,,yes,Diagnostic Consultation Center-1,,Диагностично консултативен център-1,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.4763259,,,,,,,,,,,42.5015580,,,Диагностично консултативен център-2,,,,,Diagnostic Consultation Center-2,,Диагностично консултативен център-2,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.0223110,,,,,,,,,,,41.7377164,,,,,,,yes,,,Здравна служба,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.9570742,,,,,,,,,,,43.4294087,,,,,,,yes,,,Здравна служба,,,,,,,,,,,
,clinic,Health service,,,,,,,,,,,,,,,,,,24.4157626,,,,,,,,,,,42.1496372,,,,,,,yes,,,Здравна служба,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,28.0161372,,,,,,,,,,,43.2400049,,,,,,,yes,,,Здравна служба,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.3071878,,survey 2013.12,,,,,,,,,42.6833208,,,,,Bing 2012,,yes,,,Клиника по Детска Психиатрия,,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,,,,23.3092701,,survey 2013.12,,,,,,,,,42.6821932,,,,,Bing 2012,,yes,,,Клиника по дерматология и венерология,,,,,,,,clinic,,,
,clinic,,,,,,,,,,Министерство на Здравеопазването,,,,,,2,,,25.9698567,,,,,,,,,,,43.8468974,,,,,,,yes,,,Кожно-венерологичен диспансер,,,,,,,,,,,
4890,clinic,,Bryanska,,1,,,Център,,,,http://gis.gabrovo.bg:6080/arcgis/rest/services/BaseMap/MapServer/0,1,,,,,,,25.3168182,,,,,,,,Centre,,,42.8775586,,,,2017-01-12,,Брянска,,,,Консултативна поликлиника,,5306,,,,,,,,,
,clinic,,,,,,,,,,Люлин МЕД,,29,,,,,,,23.2581089,,,,,,,,,,,42.7151539,,,,,,Христо Фотев,hospital,,,Люлин МЕД,,,,,София,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.8838990,,,,,,,,,,,43.2295752,,,,,,,yes,MC Sanita,,МЦ Санита,,,,,,,,clinic,,,
,clinic,,,,,,,,,Детска консултативна поликлиника,,,2,,,,,,,23.2998567,,,,,www.mcdc-sofia.eu,,,,+359 2 9521814,,42.6838522,,,,,,Найден Геров,yes,,,МЦ по детски болести,,1612,,,София,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.4442398,,,,,,,,,,,42.5205034,,,Медецински център 2,,,,yes,The school center 2,,Медецински център 2,,,,,,,,,,,
,clinic,,,dentistry;orthopaedics,,,,,,,,,72В,,,,,09:00-17:00,,23.3191175,,,,,https://www.eurovita.bg/bg,,,,+359 2 444 44 24,,42.6380949,,yes,,,,Околовръстен път,yes,,,"Медико-дентален център ""Евровита""",,1415,,,София,,,clinic,,,
,clinic,,,,,,,,,,,,21,,,,,,,24.7467547,,,,,,,,,+359-32-634-463,,42.1403362,,,,,,Велико Търново,yes,Medicus Alpha,,Медикус Алфа,,4000,,,Пловдив,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.4707553,,,,,,,,,,,42.9742717,,,,,,,yes,,,Медицински Център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.4701922,,,,,,,no,,,,42.4912247,,,,,,,yes,,,Медицински Център 1,,,,Втора Поликлиника,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.7130903,,,,,,,,,,,43.1044902,,,,,,Капитан Дядо Никола,yes,Medical Centre 1,,Медицински Център 1,,5140,,,Лясковец,,,clinic,,,
,clinic,,,,,,,,,,,,123,,,,2,,,23.3915871,,,,,,,,,,,41.5234892,,,,,,ул. Мелник,yes,,,Медицински център,,2820,,,Мелник,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.8594611,,,,,,,,,,,41.6367663,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.5338515,,,,,,,,,,,43.4678152,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,26.1301889,,,,,,,,,,,41.5282805,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.3198486,,,,,,,,,,,42.9790686,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.9793264,,,,,,,,,,,42.6104129,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.2380614,,,,,,,,,,,42.6770603,,,,,,,yes,,,Медицински център,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.6201709,,,,,,,,,,,42.4273047,,,,,,,yes,,,"Медицински център ""Селена-Л""",,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,26.0116023,,,,,,,,,,,42.4862859,,,,,,,,,,Медицински център 1,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.2866861,,,,,,,,,,,43.1921345,,,,,,,yes,,,Медицински център Вършец,,,,,,,,,,,
,clinic,,,,,http://www.gineka.eu/,,,,,,,5,,,,2,,,23.3648948,,,,,,,,,,,42.6796272,,,,,,Климент Денчев,yes,,,Медицински център Гинека,,1111,,,София,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.2859635,,,,,,,,,,,43.1906953,,,,,,,yes,,,Новата минерална баня,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.8192893,,,,,,,,,,,42.4794904,,,,,,,,,,Обществена баня,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.2917447,,,,,,,,,112,,42.5822044,,,,,,,yes,,,Планинска Спасителна Служба,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.7195817,,,,,,,no,,,,42.6594477,,,,,,,yes,,,Поликлиника,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.7538499,,,,,,,,,,,43.4267132,,,,,,,yes,,,Поликлиника,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.6376641,,,,,,,,,,,42.5627471,,,,,,,yes,,,Поликлиника,,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,9,,,,,,,23.3637289,,Bing,,,http://uromed2001.com/,,,,,,42.6935691,,,,,,Погледец,,,,СУБАЛ Уромед,,,,,,,,,,,
,clinic,,,,,,,,,,,,2,,,,,,,26.4963691,,,,,,,,,,,42.4839767,,,,,,Българка,yes,,,СХБАЛ Св. Йоан Рилски,,8600,,,Ямбол,,,,,,
,clinic,,,,,,,,,,,,,,,,4,,,23.3705371,,,,,,,,,,,42.6654924,,,,,,,yes,,,Софиямед 2,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.9159425,,,,,,,,,,,43.2137478,,,,,,,yes,,,Спешен център,,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,,,,25.9710250,,,,,,,,,,,43.8310576,,,,,,,yes,,,Спешен център,,,,,,,,,,,
,clinic,,,,,,maroon,,3,,,,,,,,,,,25.9526956,,,,,,В продажба,,,,,43.8358333,,,,,,ул. Николаевска,yes,,,Стар АГ Комплекс-Русе,hipped,,,,Русе,,,,,,roof_tiles
,clinic,,,,,,,,,,,,,,,,,,,23.2862012,,,,,,,,,,,43.1909305,,,,,,,yes,,,Старата минерална баня,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.7159769,,,,,,,,,,,43.1355628,,,,,,,yes,,,Стоматологична клиника,,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,3,,,25.9458424,,,,,,,,,,,43.8470881,,,,,,,yes,,,Транспортен Диагситичноконсултативен Център,,,,,,,,,,,
,clinic,,,,,,,,,,,,86,,,,,,,25.6352294,,,,,,,,,,,42.4242758,,,,,,,yes,,,Трета поликлиника,,,,,,,,,,,
,clinic,,,,,,,,,,Център за спешна медицинска помощ - Пловдив,,16,,,,,,,25.0770359,,,,,,,,,,,42.3483282,,,,,,Георги Димитров,yes,,,ФСМП,,,,,Брезово,,,clinic,government,,
