health_facility:type,addr:city:it,amenity,health_specialty:periodontology,healthcare:speciality,contact:website,addr:street:it,health_specialty:oral_surgery,height,health_specialty:endodontics,room,operator,addr:hamlet:it,addr:housenumber,medical_system:western,area,building:levels,opening_hours,contact:phone,lon,contact:alt_phone,indoor,source,contact:mobile,addr:city:de,addr:hamlet:de,addr:street:de,it:fvg:ctrn:code,ref,email,website,addr:unit,addr:hamlet,contact:email,health_specialty:prosthodontics,phone,health_specialty:dentistry,lat,addr:street,building,payment:bitcoin,contact:fax,name,level,addr:postcode,wheelchair,addr:place,it:fvg:ctrn:revision,addr:city,health_specialty:orthodontics,healthcare,addr:country
,,dentist,,,,,,,,,,,12,,yes,,,,9.1363163,,yes,,,,,,,,,,,,,,+39 02 35 46 646,,45.5346025,Via Monte Grappa,,,,Dr. Beretta Walter,,20026,,,,Novate Milanese,,,
,,dentist,,,,,,,,,,,84,,,,15:00-20:00,,8.7819789,,,,,,,,,,,,,,,,,,39.6979265,Via Nazionale,yes,,,Dr. Mauri Sergio,,,,,,Masuddas/Masullas,,dentist,
,Egna,dentist,,,,Via Dante,,,,,,Laghetti,5,,,,,,11.2410766,,,,,Neumarkt,Laag,Dantestraße,,,,,,Laag - Laghetti,,,+39 0471 81 83 03,,46.2718266,Dantestraße - Via Dante,yes,,,Filippi Lucia Studio Dentistico,,39044,,,,Neumarkt - Egna,,,
,,dentist,,,,,,,,,,,,,,,,+39 0923944606,12.6074917,,,,,,,,,,,,,,,,,,37.6580412,,yes,,,Foderà Dr. Pietro,,,,,,,,,
,,dentist,,,,,,7 m,,,,,,,,,,,13.5239380,,,,,,,,4AED,,,,,,,,,,45.8019570,,yes,,,Galassini,,,,,1AM,,,,
,,dentist,,,,,,,,,,,,,,,,,12.7467215,,,,,,,,,,,,,,,,,,43.8422248,,,,,Gambarara,,,,,,,,,
,,dentist,,,,,,,,,,,287,,,,,,12.5139035,,,,,,,,,,,,B,,,,,,41.9075099,Viale Regina Elena,yes,,,"Ospedale Odontoiatrico ""George Eastman""",,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,12.9596147,,,,,,,,,,,,,,,,,,37.9764865,,yes,,,P.V. Dental s.r.l.,,,,,,,,dentist,
,,dentist,,,,,,,,,,,,,,,,,13.0054735,,,,,,,,,,,,,,,,,,41.7430578,,yes,,,Smile Center Italia Srl,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,12.5052683,,,,,,,,,,,,,,,,,,37.8247393,,,,,Studio Dentistico De Vita,,,,,,,,,
,,dentist,,,,,,,,,Dottor Riccardo Giorgi,,12,,,3,,,9.9133730,,,,,,,,,,dott.riccardo.giorgi@gmail.com,http://www.dentista.sp.it/,,,,,+39 0187 987630,,44.1159244,Via della Repubblica,yes,,,Studio Dentistico Dott. Riccardo Giorgi,,19021,,Ponte di Arcola,,Arcola,,,IT
,,dentist,,,,,,,,,,,4,,,2,,,14.4184743,,,,,,,,,,,,,,,,,,40.7650439,Via Nuova Trecase,residential,,,Studio Dentistico Dott. Vaccarella Raffaele,,80059,,,,Torre del Greco,,,
,,dentist,,,,,,,,,,,,,,1,,,18.3559859,,,,,,,,,,,,,,,,,,39.9316769,,yes,,,Studio Dentistico Dott.ssa Carmen Errico,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,9.1731008,,,,,,,,,,,,,,,,,,45.7759609,,yes,,,Studio Dentistico Dr. Freni,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,12.0490196,,,,,,,,,,,,,,,,,,43.1260617,,yes,,,Studio Dentistico Dr. Roger Dalton,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,12.7490628,,,,,,,,,,,,,,,,,,43.8441107,,,,,Studio Dentistico Nucci,,,,,,,,,
,,dentist,,,,,,,,,Studio Dentistico Stefanelli S.r.l.,,25,,,2,,,18.3491270,,,,,,,,,,studiostefanellisrl@gmail.com,http://www.studiodentisticostefanellisrl.com,,,,,+39 0833 545105,,39.9415424,Via Luigi Galvani,yes,,,Studio Dentistico Stefanelli,,73039,,,,Tricase,,,
,,dentist,,,,,,,,,,,,,,3,,,12.8741090,,,,,,,,,,,,,,,,,,41.8251675,,yes,,,Studio Medico Dentistico,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,9.3671097,,,,,,,,,2,,,,,,,,,45.6409785,,,,,Studio Star,,,yes,,,,,,
,,dentist,,,,,,,,,,,12,,,,,,10.6205257,,,Regione Emilia Romagna,,,,,,,,,,,,,,,44.6836996,Via Bismantova,yes,,,Studio dentistico Dott.ssa Alessia Lauriola,,,,,,,,dentist,
,,dentist,,,,,,,,,,,,,,,,,13.8531826,,,,,,,,,,,,,,,,,,42.9836037,,,,,Studio dentistico Fares,,,,,,,,,
,,dentist,,dentistry,,,,,,,,,14,,,,Mo-Fr 09:00-19:00,,10.6392939,,,,,,,,,,,http://www.studiodentisticoreggioemilia.com/contatti/,,,,,+39 0522 453199,,44.6913901,Via Giacomo Matteotti,yes,yes,,Studio dentistico Reggio Emilia | Marialuisa Biagini,,42122,,,,Reggio nell'Emilia,,dentist,
,,dentist,,,,,,7 m,,,,,,,,,,,13.3616244,,,,,,,,4AED,,,,,,,,,,45.8733805,,yes,,,Studio dentistico Sorriso,,,,,1A0,,,,
,,dentist,,,,,,,,,,,,,,,,,11.9134586,,,,,,,,,,,,,,,,,,45.7297232,,yes,,,Toniolo,,,,,,,,,
